user_id,experiment_id,pre_window_days,daily_active_usage_score,pre_window_sessions,pre_window_revenue_usd
u0000114,exp005,7,0.7937,9,31.87
u0000115,exp005,7,0.7517,24,20.84
u0000116,exp005,7,0.9376,5,14.3
u0000117,exp005,7,0.6298,7,22.91
u0000118,exp005,7,0.6551,19,1.49
u0000119,exp005,7,0.6735,4,13.8
u0000120,exp005,7,0.2958,13,3.6
u0000121,exp005,7,0.7157,4,34.31
u0000122,exp005,7,0.4838,10,0.75
u0000123,exp005,7,0.6423,5,38.24
u0000124,exp005,7,0.7814,20,15.03
u0000125,exp005,7,0.7921,21,17.56
u0000126,exp005,7,0.534,4,21.08
u0000127,exp005,7,0.5121,22,5.27
u0000128,exp005,7,0.3958,19,13.1
u0000129,exp005,7,0.7459,13,43.04
u0000130,exp005,7,0.5609,12,4.8
u0000131,exp005,7,0.5895,19,21.66
u0000132,exp005,7,0.4235,22,25.64
u0000133,exp005,7,0.6529,8,12.58
u0000134,exp005,7,0.8061,15,13.21
u0000135,exp005,7,0.412,3,2.65
u0000136,exp005,7,0.5639,5,41.29
u0000137,exp005,7,1,7,34.8
u0000138,exp005,7,0.8194,9,1.49
u0000139,exp005,7,0.6311,4,16.08
u0000140,exp005,7,0.8236,22,6.99
u0000141,exp005,7,0.6371,21,43.89
u0000142,exp005,7,0.6243,14,28.58
u0000143,exp005,7,0.4084,15,29.43
u0000144,exp005,7,0.8579,8,2.65
u0000145,exp005,7,0.8699,19,2.03
u0000146,exp005,7,1,8,12.02
u0000147,exp005,7,0.4052,14,30.03
u0000148,exp005,7,0.7357,19,16.89
u0000149,exp005,7,0.621,13,38.87
u0000150,exp005,7,0.7288,7,31.75
u0000151,exp005,7,0.6228,20,20.12
u0000152,exp005,7,0.5673,4,7.03
u0000153,exp005,7,0.8315,16,33.47
u0000154,exp005,7,0.6764,11,19.8
u0000155,exp005,7,0.8522,7,0.6
u0000156,exp005,7,0.7513,19,6.4
u0000157,exp005,7,0.8337,20,19.73
u0000158,exp005,7,0.5646,9,6.48
u0000159,exp005,7,0.6034,18,28.89
u0000160,exp005,7,0.5857,22,5.67
u0000161,exp005,7,0.7822,5,33.88
u0000162,exp005,7,0.4079,3,7.35
u0000163,exp005,7,0.8402,8,21.29
u0000164,exp005,7,0.3375,14,40.04
u0000165,exp005,7,0.8399,11,15.69
u0000166,exp005,7,0.6518,25,43.7
u0000167,exp005,7,0.8152,20,5.5
u0000168,exp005,7,0.6543,3,2.85
u0000169,exp005,7,0.5899,17,10.69
u0000170,exp005,7,0.7709,3,26.04
u0000171,exp005,7,0.6755,9,30.98
u0000172,exp005,7,0.9005,19,1.46
u0000173,exp005,7,0.4022,10,9.84
u0000174,exp005,7,0.6378,22,28.52
u0000175,exp005,7,0.5482,22,15.82
u0000176,exp005,7,0.3472,20,35.56
u0000177,exp005,7,0.9378,10,33.7
u0000178,exp005,7,0.8803,19,1.84
u0000179,exp005,7,0.5036,5,7.62
u0000180,exp005,7,0.5957,14,30.02
u0000181,exp005,7,0.7356,10,41.29
u0000182,exp005,7,0.8131,10,7.68
u0000183,exp005,7,0.5181,15,12.75
u0000184,exp005,7,0.7539,20,26.67
u0000185,exp005,7,0.7044,23,40.41
u0000186,exp005,7,0.3475,17,8.13
u0000187,exp005,7,0.6524,25,28.96
u0000188,exp005,7,0.6939,22,3.55
u0000189,exp005,7,0.8716,9,39.44
u0000190,exp005,7,0.6686,5,34.47
u0000191,exp005,7,0.5845,12,8.55
u0000192,exp005,7,0.5174,10,34.05
u0000193,exp005,7,0.0921,18,13.21
u0000194,exp005,7,1,17,36.27
u0000195,exp005,7,0.5835,22,19.85
u0000196,exp005,7,0.4326,13,5.67
u0000197,exp005,7,0.4387,16,23.58
u0000198,exp005,7,0.6172,16,13.01
u0000199,exp005,7,0.3776,12,42.22
u0000200,exp005,7,0.4571,5,38.66
u0000201,exp005,7,0.6809,10,33.59
u0000202,exp005,7,0.6639,17,11.06
u0000203,exp005,7,0.7075,16,18.58
u0000204,exp005,7,0.7001,4,22.2
u0000205,exp005,7,0.2671,22,26.23
u0000206,exp005,7,0.6954,10,31.59
u0000207,exp005,7,0.8566,13,17.2
u0000208,exp005,7,0.533,21,27.68
u0000209,exp005,7,0.6657,6,42.54
u0000210,exp005,7,0.4198,6,37.08
u0000211,exp005,7,0.4906,8,2.99
u0000212,exp005,7,0.7226,10,17.89
u0000213,exp005,7,0.6682,19,40.11
u0000214,exp005,7,0.7636,12,2.96
u0000215,exp005,7,0.4301,13,42.91
u0000216,exp005,7,0.6154,19,24.1
u0000217,exp005,7,0.6085,19,22.11
u0000218,exp005,7,0.9069,20,3.9
u0000219,exp005,7,0.5935,8,0.51
u0000220,exp005,7,0.4953,25,15.95
u0000221,exp005,7,0.9226,21,16.99
u0000222,exp005,7,0.3874,8,41.59
u0000223,exp005,7,0.6607,11,6.71
u0000224,exp005,7,0.7236,6,33.91
u0000225,exp005,7,0.586,17,12.14
u0000226,exp005,7,0.8829,5,11.65
u0000227,exp005,7,0.975,3,28.85
u0000228,exp005,7,0.4842,14,15.5
u0000229,exp005,7,0.7194,5,36.69
u0000230,exp005,7,0.6124,10,32.9
u0000231,exp005,7,0.4967,6,18.63
u0000232,exp005,7,0.9428,14,36.91
u0000233,exp005,7,0.6699,12,8.61
u0000234,exp005,7,0.6617,3,29.78
u0000235,exp005,7,0.4877,7,30.63
u0000236,exp005,7,0.3509,6,35.59
u0000237,exp005,7,0.4955,4,27.75
u0000238,exp005,7,0.939,22,14.77
u0000239,exp005,7,1,3,23.14
u0000240,exp005,7,0.9386,4,31.79
u0000241,exp005,7,0.5727,10,0.2
u0000242,exp005,7,0.5842,5,38.43
u0000243,exp005,7,0.4588,5,7.8
u0000244,exp005,7,0.5625,22,21.64
u0000245,exp005,7,0.5851,7,6.53
u0000246,exp005,7,0.5894,12,23.6
u0000247,exp005,7,0.439,24,44.01
u0000248,exp005,7,0.8401,16,15.23
u0000249,exp005,7,0.5797,19,21.43
u0000250,exp005,7,0.7858,10,26.78
u0000251,exp005,7,0.4211,20,33.23
u0000252,exp005,7,0.5848,11,2.84
u0000253,exp005,7,0.6887,12,27.7
u0000254,exp005,7,0.5298,12,40.76
u0000255,exp005,7,0.7911,9,12.79
u0000256,exp005,7,0.8322,5,17.28
u0000257,exp005,7,0.8627,19,3.79
u0000258,exp005,7,0.5798,16,14.79
u0000259,exp005,7,0.7349,13,35.46
u0000260,exp005,7,0.7531,3,29.31
u0000261,exp005,7,0.5052,16,5.37
u0000262,exp005,7,0.4589,6,40.78
u0000263,exp005,7,0.7886,23,32.15
u0000264,exp005,7,0.3716,23,37.14
u0000265,exp005,7,0.5822,10,16.24
u0000266,exp005,7,0.7413,15,35.36
u0000267,exp005,7,0.6368,24,37.22
u0000268,exp005,7,0.5268,9,12.89
u0000269,exp005,7,0.7121,20,10.88
u0000270,exp005,7,0.4159,3,12.99
u0000271,exp005,7,0.7927,18,24.57
u0000272,exp005,7,0.7488,19,32.38
u0000273,exp005,7,0.7776,19,9.19
u0000274,exp005,7,0.8145,22,24.28
u0000275,exp005,7,0.8175,14,17.47
u0000276,exp005,7,0.1253,15,42.71
u0000277,exp005,7,0.7185,7,5.11
u0000278,exp005,7,0.5249,17,1.3
u0000279,exp005,7,0.5404,18,44.48
u0000280,exp005,7,0.5879,8,5.58
u0000281,exp005,7,0.5992,4,16.88
u0000282,exp005,7,0.8264,16,23.33
u0000283,exp005,7,0.8408,15,1.41
u0000284,exp005,7,0.4262,8,10.75
u0000285,exp005,7,0.6553,9,26.82
u0000286,exp005,7,0.591,24,9.3
u0000287,exp005,7,0.5978,6,22.83
u0000288,exp005,7,0.8981,20,7.3
u0000289,exp005,7,0.6204,20,15.49
u0000290,exp005,7,0.3897,22,44.66
u0000291,exp005,7,0.6358,22,35.85
u0000292,exp005,7,0.6639,3,1.2
u0000293,exp005,7,0.2523,7,20.95
u0000294,exp005,7,0.7343,9,32.36
u0000295,exp005,7,1,23,32.98
u0000296,exp005,7,0.6038,8,23.05
u0000297,exp005,7,0.5223,7,44.16
u0000298,exp005,7,0.9806,12,0.58
u0000299,exp005,7,0.7271,23,32.29
u0000300,exp005,7,0.65,13,37.69
u0000301,exp005,7,0.8301,16,25.44
u0000302,exp005,7,0.4274,11,40.68
u0000303,exp005,7,0.4867,15,31.95
u0000304,exp005,7,0.5226,10,19.37
u0000305,exp005,7,0.9268,8,31.24
u0000306,exp005,7,0.7611,18,29.25
u0000307,exp005,7,0.5566,16,31.28
u0000308,exp005,7,0.8339,16,13.3
u0000309,exp005,7,0.5781,7,37.5
u0000310,exp005,7,0.5066,12,22.72
u0000311,exp005,7,0.8258,23,35.18
u0000312,exp005,7,0.5464,17,23.87
u0000313,exp005,7,0.747,14,13.9
u0000314,exp005,7,0.7265,9,24.22
u0000315,exp005,7,0.6762,15,40.57
u0000316,exp005,7,0.6526,5,2.91
u0000317,exp005,7,0.7632,12,20.13
u0000318,exp005,7,0.7795,24,27.66
u0000319,exp005,7,0.7844,12,5.36
u0000320,exp005,7,0.5094,18,21.99
u0000321,exp005,7,0.6354,4,16.66
u0000322,exp005,7,0.5115,25,38.32
u0000323,exp005,7,0.6467,3,40.97
u0000324,exp005,7,0.7751,24,4.01
u0000325,exp005,7,0.5398,18,25.61
u0000326,exp005,7,0.7004,7,35.88
u0000327,exp005,7,0.4932,13,30.87
u0000328,exp005,7,0.6533,7,5.57
u0000329,exp005,7,0.7475,7,24.98
u0000330,exp005,7,0.7256,23,44.7
u0000331,exp005,7,0.9651,20,29.07
u0000332,exp005,7,0.3863,18,23.78
u0000333,exp005,7,0.9385,5,20.91
u0000334,exp005,7,0.5251,18,1.77
u0000335,exp005,7,1,9,25.83
u0000336,exp005,7,0.6182,23,15.24
u0000337,exp005,7,0.7487,21,17.86
u0000338,exp005,7,0.5012,14,8.38
u0000339,exp005,7,0.4554,8,40.82
u0000340,exp005,7,0.5901,14,21.46
u0000341,exp005,7,0.8607,25,31.31
u0000342,exp005,7,0.564,22,16.76
u0000343,exp005,7,0.6691,4,33.1
u0000344,exp005,7,0.196,23,28.06
u0000345,exp005,7,0.6333,21,36.01
u0000346,exp005,7,0.369,16,2.23
u0000347,exp005,7,0.6135,25,26.62
u0000348,exp005,7,0.8714,25,5.98
u0000349,exp005,7,0.4612,7,4.93
u0000350,exp005,7,0.7796,16,35.81
u0000351,exp005,7,0.1908,3,21.4
u0000352,exp005,7,0.4794,17,14.91
u0000353,exp005,7,0.6694,9,42.3
u0000354,exp005,7,0.4898,13,1.49
u0000355,exp005,7,0.3495,3,14.56
u0000356,exp005,7,0.5495,10,24.45
u0000357,exp005,7,0.79,23,19.34
u0000358,exp005,7,0.9879,3,16.9
u0000359,exp005,7,0.5034,11,7.77
u0000360,exp005,7,0.6904,8,6.34
u0000361,exp005,7,0.687,14,40.38
u0000362,exp005,7,0.5468,3,41.2
u0000363,exp005,7,0.6293,7,29.59
u0000364,exp005,7,0.7112,7,19.71
u0000365,exp005,7,0.5183,12,4.79
u0000366,exp005,7,0.3606,13,18.62
u0000367,exp005,7,0.8729,3,21.48
u0000368,exp005,7,0.7509,21,31.24
u0000369,exp005,7,0.6847,9,37.53
u0000370,exp005,7,0.4555,21,34.17
u0000371,exp005,7,0.5309,10,35.01
u0000372,exp005,7,0.7395,11,19.78
u0000373,exp005,7,0.6251,15,13.61
u0000374,exp005,7,0.6504,12,9.51
u0000375,exp005,7,0.7137,18,29.63
u0000376,exp005,7,0.3936,9,22.84
u0000377,exp005,7,0.6533,20,6.64
u0000378,exp005,7,0.5221,17,4.71
u0000379,exp005,7,0.7147,9,22.66
u0000380,exp005,7,0.656,16,32.52
u0000381,exp005,7,0.3695,7,4.83
u0000382,exp005,7,0.7817,13,37.14
u0000383,exp005,7,0.7786,8,24.47
u0000384,exp005,7,0.5904,23,30.21
u0000385,exp005,7,0.7581,12,44.05
u0000386,exp005,7,0.4769,13,9.07
u0000387,exp005,7,0.917,12,13.83
u0000388,exp005,7,0.7843,9,35.59
u0000389,exp005,7,0.8654,14,9.82
u0000390,exp005,7,0.8016,6,43.71
u0000391,exp005,7,0.6178,5,36.42
u0000392,exp005,7,0.5179,17,6.15
u0000393,exp005,7,0.7687,5,34.3
u0000394,exp005,7,0.6436,13,40.69
u0000395,exp005,7,0.9976,4,39.63
u0000396,exp005,7,0.3929,12,21.2
u0000397,exp005,7,0.7304,6,27.06
u0000398,exp005,7,0.5386,19,5.28
u0000399,exp005,7,0.6505,12,19.85
u0000400,exp005,7,0.8066,17,4.23
u0000401,exp005,7,0.7485,21,12.7
u0000402,exp005,7,0.3076,25,44.14
u0000403,exp005,7,1,17,23.19
u0000404,exp005,7,0.6391,19,19.37
u0000405,exp005,7,0.7833,10,5.13
u0000406,exp005,7,0.8778,21,41.76
u0000407,exp005,7,0.4776,10,12.08
u0000408,exp005,7,0.426,6,20.7
u0000409,exp005,7,0.7289,12,21.04
u0000410,exp005,7,0.8878,11,17.2
u0000411,exp005,7,0.8068,17,0.98
u0000412,exp005,7,0.4243,14,21.02
u0000413,exp005,7,0.6823,7,27.4
u0000414,exp005,7,0.5226,25,0.49
u0000415,exp005,7,0.7626,20,25.58
u0000416,exp005,7,0.8894,10,39.49
u0000417,exp005,7,0.447,19,19.82
u0000418,exp005,7,0.631,19,25.64
u0000419,exp005,7,0.4967,8,20.58
u0000420,exp005,7,0.6819,19,3.4
u0000421,exp005,7,0.8971,15,2.03
u0000422,exp005,7,0.6948,11,19.58
u0000423,exp005,7,0.6724,18,14.19
u0000424,exp005,7,0.7871,22,8.14
u0000425,exp005,7,0.4677,9,38.2
u0000426,exp005,7,0.7268,18,37.47
u0000427,exp005,7,0.5824,18,33.86
u0000428,exp005,7,0.9136,9,7.27
u0000429,exp005,7,0.7528,5,9.23
u0000430,exp005,7,0.8728,19,10.22
u0000431,exp005,7,1,21,3.61
u0000432,exp005,7,0.8113,13,0.98
u0000433,exp005,7,0.7128,9,3.04
u0000434,exp005,7,0.9741,24,31.03
u0000435,exp005,7,0.6435,25,0.32
u0000436,exp005,7,0.6718,10,43.22
u0000437,exp005,7,0.5177,23,31.71
u0000438,exp005,7,0.7045,8,41.73
u0000439,exp005,7,0.8408,7,11.07
u0000440,exp005,7,0.3413,3,36.97
u0000441,exp005,7,0.6323,3,8.68
u0000442,exp005,7,0.7228,5,25.54
u0000443,exp005,7,0.6183,25,25.61
u0000444,exp005,7,0.9034,12,21.64
u0000445,exp005,7,0.6894,3,2.25
u0000446,exp005,7,0.7981,16,11.8
u0000447,exp005,7,0.8625,5,29.21
u0000448,exp005,7,0.3097,25,41.87
u0000449,exp005,7,0.6112,7,29.77
u0000450,exp005,7,0.6981,18,18.44
u0000451,exp005,7,0.699,9,1.28
u0000452,exp005,7,0.6844,13,34.15
u0000453,exp005,7,0.4397,22,1.7
u0000454,exp005,7,0.4777,16,12.82
u0000455,exp005,7,1,22,11.88
u0000456,exp005,7,0.7747,14,2.98
u0000457,exp005,7,0.6922,7,20.94
u0000458,exp005,7,0.6763,11,38.93
u0000459,exp005,7,0.7827,25,19.58
u0000460,exp005,7,0.5278,18,35.25
u0000461,exp005,7,0.8827,19,6.68
u0000462,exp005,7,1,25,22.71
u0000463,exp005,7,0.4175,6,16.59
u0000464,exp005,7,0.5854,25,17.88
u0000465,exp005,7,0.9064,9,31.26
u0000466,exp005,7,0.6375,7,9.62
u0000467,exp005,7,0.7528,6,0.72
u0000468,exp005,7,0.72,20,33.7
u0000469,exp005,7,0.5813,20,27.68
u0000470,exp005,7,0.5154,19,3.11
u0000471,exp005,7,0.603,6,37.38
u0000472,exp005,7,0.5345,10,20.2
u0000473,exp005,7,0.7764,22,7.2
u0000474,exp005,7,0.64,12,28.13
u0000475,exp005,7,1,5,26.71
u0000476,exp005,7,0.6228,7,12.53
u0000477,exp005,7,0.7527,20,4.4
u0000478,exp005,7,0.8069,3,27.72
u0000479,exp005,7,0.8245,12,9.68
u0000480,exp005,7,0.7754,13,14.77
u0000481,exp005,7,0.5491,3,3.75
u0000482,exp005,7,0.7065,22,4.77
u0000483,exp005,7,0.6313,11,17.89
u0000484,exp005,7,0.5708,23,26.63
u0000485,exp005,7,0.4912,19,35.53
u0000486,exp005,7,0.7346,18,7.98
u0000487,exp005,7,0.6067,8,33.66
u0000488,exp005,7,0.9116,11,28.58
u0000489,exp005,7,0.649,11,9.4
u0000490,exp005,7,0.4371,11,36.91
u0000491,exp005,7,0.548,24,14.53
u0000492,exp005,7,0.9847,7,42.74
u0000493,exp005,7,0.5651,20,12.76
u0000494,exp005,7,0.8099,10,4.27
u0000495,exp005,7,0.8033,10,3.77
u0000496,exp005,7,0.672,17,16.82
u0000497,exp005,7,0.879,10,6.47
u0000498,exp005,7,0.9411,3,34.03
u0000499,exp005,7,0.7282,21,27.0
u0000500,exp005,7,0.6222,13,8.91
u0000501,exp005,7,0.6114,25,14.33
u0000502,exp005,7,0.8337,9,34.78
u0000503,exp005,7,0.6355,24,27.11
u0000504,exp005,7,0.3675,8,39.7
u0000505,exp005,7,0.6178,14,1.82
u0000506,exp005,7,0.5813,20,17.28
u0000507,exp005,7,0.4378,10,31.19
u0000508,exp005,7,0.7312,14,40.34
u0000509,exp005,7,0.2327,11,20.2
u0000510,exp005,7,0.2264,8,42.79
u0000511,exp005,7,0.4889,19,25.53
u0000512,exp005,7,0.1762,16,1.54
u0000513,exp005,7,0.6212,8,21.75
u0000514,exp005,7,0.3273,9,35.6
u0000515,exp005,7,0.7479,25,20.17
u0000516,exp005,7,0.2555,19,41.86
u0000517,exp005,7,0.6692,6,29.51
u0000518,exp005,7,0.8896,24,28.67
u0000519,exp005,7,0.6408,5,17.63
u0000520,exp005,7,0.2624,19,2.36
u0000521,exp005,7,0.5468,12,1.98
u0000522,exp005,7,0.4493,7,29.19
u0000523,exp005,7,0.4991,4,32.16
u0000524,exp005,7,1,4,32.51
u0000525,exp005,7,0.5111,16,40.8
u0000526,exp005,7,0.423,22,37.63
u0000527,exp005,7,0.526,16,10.63
u0000528,exp005,7,0.5569,15,12.41
u0000529,exp005,7,0.3936,4,11.3
u0000530,exp005,7,0.8182,8,38.88
u0000531,exp005,7,0.3986,8,26.96
u0000532,exp005,7,0.253,10,12.42
u0000533,exp005,7,0.7792,10,20.02
u0000534,exp005,7,0.6236,17,27.14
u0000535,exp005,7,0.7119,6,1.84
u0000536,exp005,7,0.6904,8,10.35
u0000537,exp005,7,0.6228,17,7.48
u0000538,exp005,7,0.7709,13,5.09
u0000539,exp005,7,0.6193,22,26.55
u0000540,exp005,7,0.304,23,10.37
u0000541,exp005,7,0.4969,12,35.13
u0000542,exp005,7,0.8784,15,0.9
u0000543,exp005,7,0.5724,5,9.81
u0000544,exp005,7,0.5226,10,4.17
u0000545,exp005,7,0.7028,14,12.11
u0000546,exp005,7,0.8692,6,36.77
u0000547,exp005,7,0.6651,17,29.56
u0000548,exp005,7,0.5443,13,14.05
u0000549,exp005,7,0.8274,7,44.93
u0000550,exp005,7,0.6337,7,39.48
u0000551,exp005,7,0.7256,23,44.24
u0000552,exp005,7,0.6662,8,42.24
u0000553,exp005,7,0.5988,10,4.28
u0000554,exp005,7,0.6124,21,36.04
u0000555,exp005,7,0.7421,10,16.82
u0000556,exp005,7,0.5544,23,10.46
u0000557,exp005,7,0.6443,11,20.17
u0000558,exp005,7,0.676,6,43.21
u0000559,exp005,7,0.6328,15,30.91
u0000560,exp005,7,0.4468,17,25.34
u0000561,exp005,7,0.421,21,22.16
u0000562,exp005,7,0.8631,22,11.38
u0000563,exp005,7,0.4822,10,6.04
u0000564,exp005,7,0.5239,10,16.79
u0000565,exp005,7,0.3377,23,11.75
u0000566,exp005,7,0.818,12,14.53
u0000567,exp005,7,0.99,23,31.2
u0000568,exp005,7,0.5333,6,33.4
u0000569,exp005,7,0.5619,24,0.2
u0000570,exp005,7,0.5772,16,12.51
u0000571,exp005,7,1,9,29.14
u0000572,exp005,7,0.7321,6,38.64
u0000573,exp005,7,0.6775,6,1.11
u0000574,exp005,7,0.904,25,39.47
u0000575,exp005,7,0.425,14,18.44
u0000576,exp005,7,0.9826,6,23.97
u0000577,exp005,7,0.6565,3,23.52
u0000578,exp005,7,0.8809,10,44.98
u0000579,exp005,7,0.3921,9,18.82
u0000580,exp005,7,0.4883,21,0.92
u0000581,exp005,7,1,24,27.26
u0000582,exp005,7,0.7832,18,11.2
u0000583,exp005,7,0.6292,3,27.17
u0000584,exp005,7,0.7543,21,24.7
u0000585,exp005,7,0.7527,17,28.03
u0000586,exp005,7,0.5191,19,9.33
u0000587,exp005,7,0.6609,7,42.93
u0000588,exp005,7,0.7,7,39.94
u0000589,exp005,7,0.5169,20,31.51
u0000590,exp005,7,0.5222,16,19.73
u0000591,exp005,7,0.7058,16,16.97
u0000592,exp005,7,0.5197,10,11.37
u0000593,exp005,7,0.5286,12,12.22
u0000594,exp005,7,0.2435,9,1.84
u0000595,exp005,7,0.387,21,32.35
u0000596,exp005,7,0.6876,7,33.27
u0000597,exp005,7,0.8618,6,33.39
u0000598,exp005,7,0.8782,6,29.94
u0000599,exp005,7,0.9075,9,39.82
u0000600,exp005,7,0.6428,4,32.16
u0000601,exp005,7,0.6078,7,17.6
u0000602,exp005,7,0.8219,9,18.93
u0000603,exp005,7,0.7385,10,12.38
u0000604,exp005,7,0.6275,12,25.31
u0000605,exp005,7,0.9279,15,39.24
u0000606,exp005,7,0.834,17,36.47
u0000607,exp005,7,0.6784,18,16.73
u0000608,exp005,7,0.6304,7,25.39
u0000609,exp005,7,0.6111,21,35.18
u0000610,exp005,7,0.9085,17,0.47
u0000611,exp005,7,0.707,20,23.28
u0000612,exp005,7,0.8548,13,3.53
u0000613,exp005,7,0.5744,18,42.29
u0000614,exp005,7,0.0732,16,22.73
u0000615,exp005,7,0.7327,4,5.24
u0000616,exp005,7,0.5438,8,15.06
u0000617,exp005,7,0.7328,11,41.05
u0000618,exp005,7,0.71,22,41.86
u0000619,exp005,7,0.6087,17,31.37
u0000620,exp005,7,0.5217,3,10.73
u0000621,exp005,7,0.4612,18,12.21
u0000622,exp005,7,0.7226,4,19.28
u0000623,exp005,7,0.9692,4,4.39
u0000624,exp005,7,0.7313,18,27.91
u0000625,exp005,7,0.6191,6,41.89
u0000626,exp005,7,0.4421,21,39.99
u0000627,exp005,7,0.3948,9,40.07
u0000628,exp005,7,0.7647,8,37.93
u0000629,exp005,7,0.768,17,38.45
u0000630,exp005,7,0.611,11,33.19
u0000631,exp005,7,0.5627,17,14.46
u0000632,exp005,7,0.69,16,3.81
u0000633,exp005,7,0.775,4,31.63
u0000634,exp005,7,1,4,36.48
u0000635,exp005,7,0.7965,8,38.37
u0000636,exp005,7,0.5785,15,29.49
