user_id,segment,plan_type,country,acquisition_channel,tenure_days,monthly_spend_usd,is_mobile_primary
u0000073,champion,pro,NL,referral,982,96.35,1
u0000074,new_user,free,NL,referral,601,0.0,1
u0000075,casual,free,US,direct,954,0.0,1
u0000076,new_user,starter,AU,email,562,147.5,0
u0000077,champion,free,IN,referral,808,0.0,1
u0000078,at_risk,free,GB,email,27,0.0,0
u0000079,casual,starter,AU,social,55,65.85,1
u0000080,champion,free,IN,email,1241,0.0,1
u0000081,new_user,free,US,paid_search,1802,0.0,0
u0000082,power_user,free,US,referral,735,0.0,0
u0000083,new_user,starter,US,paid_search,1227,44.57,1
u0000084,casual,pro,FR,paid_search,1142,118.05,0
u0000085,casual,pro,FR,organic,1223,5.93,1
u0000086,power_user,free,US,organic,389,0.0,0
u0000087,casual,free,NL,organic,1662,0.0,1
u0000088,new_user,starter,IN,paid_search,1147,31.08,0
u0000089,champion,free,CA,organic,40,0.0,0
u0000090,at_risk,pro,US,email,836,9.93,1
u0000091,casual,free,GB,social,809,0.0,1
u0000092,casual,pro,US,organic,1602,133.26,1
u0000093,new_user,starter,NL,direct,535,130.44,0
u0000094,power_user,free,GB,organic,134,0.0,1
u0000095,new_user,pro,DE,email,1758,141.27,1
u0000096,new_user,free,JP,organic,346,0.0,1
u0000097,casual,free,CA,organic,148,0.0,1
u0000098,at_risk,starter,US,paid_search,1094,60.01,0
u0000099,champion,starter,FR,direct,77,76.92,0
u0000100,at_risk,starter,DE,paid_search,893,94.78,0
u0000101,casual,starter,US,direct,414,22.35,0
u0000102,power_user,free,CA,organic,1404,0.0,1
u0000103,power_user,pro,NL,paid_search,1104,138.88,0
u0000104,power_user,starter,CA,referral,981,29.9,1
u0000105,champion,starter,CA,referral,1135,115.58,0
u0000106,at_risk,free,IN,referral,276,0.0,0
u0000107,at_risk,starter,US,paid_search,1065,94.74,1
u0000108,casual,starter,NL,referral,1099,137.26,0
u0000109,at_risk,starter,US,social,1225,5.63,1
u0000110,power_user,free,GB,organic,1278,0.0,1
u0000111,at_risk,free,AU,referral,1824,0.0,0
u0000112,at_risk,free,NL,email,848,0.0,1
u0000113,new_user,pro,CA,direct,482,143.64,0
u0000114,power_user,free,US,social,175,0.0,1
u0000115,power_user,starter,GB,organic,1537,111.68,0
u0000116,at_risk,enterprise,US,organic,393,45.24,1
u0000117,power_user,starter,CA,email,1137,121.84,0
u0000118,at_risk,pro,DE,organic,1688,32.16,1
u0000119,power_user,enterprise,US,social,1774,55.59,1
u0000120,new_user,free,DE,email,383,0.0,1
u0000121,new_user,free,US,paid_search,671,0.0,1
u0000122,casual,pro,GB,email,319,135.83,0
u0000123,power_user,enterprise,AU,organic,1627,130.14,0
u0000124,casual,free,US,direct,1525,0.0,1
u0000125,at_risk,starter,US,referral,138,131.47,0
u0000126,casual,free,AU,paid_search,616,0.0,1
u0000127,at_risk,pro,GB,social,1217,128.44,0
u0000128,new_user,free,JP,paid_search,1322,0.0,0
u0000129,casual,free,AU,social,1513,0.0,1
u0000130,power_user,free,GB,direct,90,0.0,0
u0000131,casual,free,US,paid_search,831,0.0,1
u0000132,at_risk,enterprise,US,organic,1801,10.83,0
u0000133,casual,free,GB,organic,382,0.0,0
u0000134,new_user,free,US,paid_search,805,0.0,0
u0000135,power_user,pro,US,direct,688,148.93,0
u0000136,casual,free,DE,social,1387,0.0,1
u0000137,new_user,free,US,email,1335,0.0,1
u0000138,at_risk,pro,US,social,1405,74.46,1
u0000139,new_user,free,US,social,1467,0.0,0
u0000140,new_user,starter,NL,organic,996,31.55,0
u0000141,casual,pro,FR,email,1396,94.73,0
u0000142,new_user,starter,GB,organic,1783,138.87,0
u0000143,casual,pro,GB,paid_search,1688,89.02,0
u0000144,at_risk,free,DE,email,335,0.0,0
u0000145,casual,free,NL,referral,1448,0.0,0
u0000146,at_risk,pro,BR,paid_search,1531,118.42,1
u0000147,casual,free,NL,email,493,0.0,1
u0000148,casual,starter,GB,paid_search,779,91.38,0
u0000149,casual,pro,GB,social,428,60.75,0
u0000150,at_risk,free,FR,referral,1292,0.0,0
u0000151,power_user,free,CA,social,155,0.0,1
u0000152,new_user,starter,GB,paid_search,997,99.07,0
u0000153,new_user,free,CA,organic,1299,0.0,0
u0000154,new_user,pro,DE,email,64,8.34,1
u0000155,power_user,starter,NL,paid_search,30,140.84,1
u0000156,champion,starter,JP,organic,1346,137.21,1
u0000157,casual,starter,JP,organic,570,33.01,1
u0000158,new_user,free,US,email,176,0.0,0
u0000159,power_user,free,FR,referral,496,0.0,1
u0000160,casual,free,GB,paid_search,1432,0.0,0
u0000161,new_user,free,US,social,5,0.0,0
u0000162,at_risk,free,IN,paid_search,1479,0.0,0
u0000163,new_user,free,DE,organic,63,0.0,0
u0000164,casual,free,US,organic,914,0.0,1
u0000165,casual,free,BR,paid_search,413,0.0,1
u0000166,casual,free,AU,referral,662,0.0,1
u0000167,at_risk,free,US,paid_search,132,0.0,1
u0000168,at_risk,pro,US,paid_search,744,93.17,1
u0000169,at_risk,pro,AU,paid_search,480,65.92,0
u0000170,new_user,starter,US,direct,424,83.38,0
u0000171,power_user,free,US,social,151,0.0,0
u0000172,casual,free,AU,organic,1820,0.0,1
u0000173,at_risk,starter,CA,paid_search,1483,97.01,1
u0000174,new_user,pro,GB,organic,1679,103.83,1
u0000175,at_risk,free,GB,referral,1532,0.0,0
u0000176,casual,starter,NL,direct,1561,74.53,1
u0000177,casual,free,BR,organic,482,0.0,0
u0000178,power_user,enterprise,DE,email,1818,58.51,0
u0000179,casual,free,AU,paid_search,1397,0.0,0
u0000180,casual,free,DE,social,1014,0.0,1
u0000181,new_user,free,NL,referral,1478,0.0,0
u0000182,power_user,free,IN,referral,1495,0.0,1
u0000183,at_risk,free,NL,referral,655,0.0,1
u0000184,power_user,enterprise,JP,paid_search,274,130.91,0
u0000185,new_user,free,US,paid_search,822,0.0,1
u0000186,casual,starter,US,social,37,8.79,1
u0000187,new_user,starter,US,email,963,61.98,1
u0000188,casual,free,US,paid_search,1252,0.0,1
u0000189,casual,free,US,organic,1205,0.0,1
u0000190,power_user,starter,US,referral,202,66.26,1
u0000191,at_risk,pro,CA,paid_search,629,64.4,1
u0000192,casual,free,FR,direct,1580,0.0,0
u0000193,at_risk,free,US,social,459,0.0,0
u0000194,casual,starter,JP,paid_search,1084,25.01,0
u0000195,casual,free,AU,social,814,0.0,0
u0000196,casual,free,AU,email,915,0.0,1
u0000197,new_user,pro,CA,referral,1206,54.41,0
u0000198,casual,free,FR,organic,121,0.0,1
u0000199,champion,starter,BR,email,1147,33.67,1
u0000200,power_user,starter,IN,social,1129,114.4,0
u0000201,power_user,free,FR,paid_search,1246,0.0,0
u0000202,casual,free,GB,organic,375,0.0,0
u0000203,champion,free,NL,referral,227,0.0,1
u0000204,power_user,free,GB,email,1247,0.0,1
u0000205,at_risk,free,US,paid_search,1150,0.0,0
u0000206,at_risk,free,US,organic,141,0.0,1
u0000207,new_user,free,NL,direct,879,0.0,1
u0000208,power_user,free,IN,referral,1046,0.0,0
u0000209,at_risk,pro,BR,social,180,105.96,0
u0000210,casual,free,US,organic,172,0.0,1
u0000211,new_user,free,DE,social,756,0.0,1
u0000212,new_user,free,CA,organic,97,0.0,0
u0000213,casual,free,GB,referral,1664,0.0,0
u0000214,casual,pro,GB,email,363,107.05,1
u0000215,at_risk,free,BR,paid_search,831,0.0,0
u0000216,power_user,starter,JP,social,882,12.27,1
u0000217,casual,starter,DE,email,698,51.13,0
u0000218,new_user,free,NL,social,1441,0.0,1
u0000219,champion,free,NL,email,631,0.0,1
u0000220,power_user,free,US,email,1716,0.0,0
u0000221,at_risk,free,US,organic,723,0.0,1
u0000222,casual,free,GB,direct,1556,0.0,1
u0000223,casual,free,GB,paid_search,1088,0.0,1
u0000224,casual,free,GB,organic,858,0.0,0
u0000225,casual,free,GB,referral,625,0.0,1
u0000226,new_user,free,CA,social,383,0.0,1
u0000227,new_user,starter,JP,referral,404,64.77,1
u0000228,casual,enterprise,GB,social,515,63.16,0
u0000229,power_user,free,JP,organic,1703,0.0,0
u0000230,new_user,free,BR,email,1655,0.0,0
u0000231,new_user,free,GB,referral,736,0.0,1
u0000232,at_risk,free,US,referral,592,0.0,1
u0000233,new_user,free,CA,paid_search,235,0.0,0
u0000234,power_user,enterprise,US,referral,69,34.78,1
u0000235,at_risk,starter,JP,organic,125,132.76,1
u0000236,at_risk,free,AU,social,478,0.0,1
u0000237,casual,free,NL,email,1285,0.0,0
u0000238,casual,free,GB,social,1071,0.0,1
u0000239,casual,enterprise,FR,social,474,99.12,0
u0000240,power_user,free,AU,referral,705,0.0,0
u0000241,at_risk,free,GB,direct,259,0.0,0
u0000242,casual,free,NL,organic,971,0.0,0
u0000243,casual,starter,CA,organic,702,60.47,1
u0000244,casual,free,US,organic,1405,0.0,1
u0000245,new_user,free,GB,social,890,0.0,1
u0000246,new_user,free,US,paid_search,101,0.0,1
u0000247,power_user,pro,GB,organic,622,93.7,0
u0000248,casual,free,AU,email,792,0.0,0
u0000249,new_user,enterprise,US,organic,644,18.41,0
u0000250,casual,free,US,referral,1793,0.0,0
u0000251,at_risk,free,IN,email,1167,0.0,1
u0000252,at_risk,pro,AU,organic,1301,81.28,0
u0000253,at_risk,free,FR,direct,1378,0.0,0
u0000254,casual,starter,NL,email,389,1.25,0
u0000255,casual,starter,NL,email,291,111.35,1
u0000256,at_risk,free,CA,referral,1224,0.0,1
u0000257,new_user,free,JP,email,635,0.0,0
u0000258,power_user,starter,US,social,637,12.62,0
u0000259,casual,free,CA,organic,1076,0.0,0
u0000260,power_user,free,IN,email,821,0.0,1
u0000261,new_user,free,US,paid_search,603,0.0,0
u0000262,new_user,starter,CA,referral,701,109.79,0
u0000263,power_user,starter,AU,social,639,48.12,0
u0000264,at_risk,starter,US,paid_search,625,82.8,0
u0000265,new_user,free,US,email,1527,0.0,1
u0000266,at_risk,starter,JP,referral,796,61.72,0
u0000267,new_user,free,US,social,1463,0.0,1
u0000268,new_user,free,CA,email,725,0.0,0
u0000269,casual,starter,JP,direct,850,48.43,1
u0000270,casual,free,US,paid_search,1430,0.0,0
u0000271,at_risk,free,US,paid_search,396,0.0,0
u0000272,new_user,free,AU,referral,1557,0.0,0
u0000273,casual,free,NL,referral,500,0.0,1
u0000274,casual,free,US,referral,1485,0.0,1
u0000275,at_risk,enterprise,IN,organic,1598,40.72,0
u0000276,new_user,free,JP,paid_search,728,0.0,0
u0000277,at_risk,free,BR,organic,1745,0.0,1
u0000278,new_user,pro,IN,email,191,19.13,1
u0000279,new_user,pro,JP,paid_search,522,76.71,1
u0000280,casual,pro,DE,organic,41,61.33,0
u0000281,at_risk,pro,CA,email,1455,88.74,0
u0000282,power_user,pro,JP,organic,46,26.59,0
u0000283,casual,pro,NL,paid_search,1483,44.85,1
u0000284,casual,starter,NL,email,374,2.86,1
u0000285,at_risk,free,DE,social,1295,0.0,1
u0000286,at_risk,starter,US,direct,576,24.7,1
u0000287,at_risk,pro,NL,paid_search,1623,94.46,1
u0000288,casual,starter,US,organic,1745,82.92,0
u0000289,casual,free,US,email,327,0.0,1
u0000290,at_risk,free,US,email,1140,0.0,0
u0000291,champion,free,DE,paid_search,188,0.0,0
u0000292,new_user,starter,CA,organic,204,141.23,1
u0000293,at_risk,pro,AU,email,1188,94.67,0
u0000294,power_user,enterprise,US,paid_search,601,39.7,1
u0000295,casual,starter,NL,paid_search,130,90.69,1
u0000296,power_user,free,US,email,493,0.0,1
u0000297,champion,starter,FR,email,278,108.78,1
u0000298,casual,pro,JP,referral,515,77.61,0
u0000299,power_user,free,NL,paid_search,819,0.0,0
u0000300,at_risk,free,NL,social,517,0.0,0
u0000301,new_user,starter,AU,direct,230,97.59,0
u0000302,casual,starter,IN,direct,1219,63.92,0
u0000303,at_risk,free,FR,email,1512,0.0,0
u0000304,casual,pro,CA,organic,1578,77.15,0
u0000305,casual,starter,US,organic,849,102.01,0
u0000306,casual,starter,US,organic,254,143.14,0
u0000307,power_user,free,FR,organic,1671,0.0,0
u0000308,new_user,free,US,social,1383,0.0,1
u0000309,casual,starter,US,social,369,71.16,1
u0000310,power_user,free,US,social,55,0.0,1
u0000311,at_risk,starter,CA,email,1597,50.82,0
u0000312,at_risk,starter,US,referral,558,99.93,1
u0000313,at_risk,free,FR,organic,791,0.0,1
u0000314,casual,enterprise,GB,social,851,34.16,0
u0000315,power_user,enterprise,GB,social,14,143.82,0
u0000316,new_user,starter,US,paid_search,447,8.94,1
u0000317,casual,free,FR,social,1071,0.0,0
u0000318,casual,free,AU,referral,1426,0.0,0
u0000319,casual,free,US,email,1531,0.0,0
u0000320,power_user,free,AU,paid_search,155,0.0,0
u0000321,power_user,free,US,social,473,0.0,1
u0000322,champion,pro,US,organic,676,97.59,1
u0000323,at_risk,enterprise,CA,social,954,20.02,0
u0000324,new_user,free,AU,email,1524,0.0,0
u0000325,new_user,starter,IN,paid_search,1189,78.15,0
u0000326,casual,free,US,organic,504,0.0,1
u0000327,at_risk,free,US,direct,1694,0.0,1
u0000328,at_risk,starter,DE,referral,1201,19.62,0
u0000329,at_risk,free,US,email,512,0.0,1
u0000330,new_user,free,IN,paid_search,1281,0.0,1
u0000331,power_user,free,US,email,1122,0.0,0
u0000332,new_user,free,NL,referral,1486,0.0,0
u0000333,casual,free,GB,direct,1375,0.0,0
u0000334,casual,pro,GB,organic,1002,16.87,0
u0000335,at_risk,pro,US,paid_search,1117,86.68,0
u0000336,new_user,free,GB,email,1577,0.0,0
u0000337,new_user,free,GB,paid_search,1636,0.0,1
u0000338,casual,pro,DE,paid_search,367,138.68,0
u0000339,champion,free,NL,social,916,0.0,1
u0000340,power_user,free,FR,organic,1014,0.0,1
u0000341,casual,pro,CA,email,988,35.73,1
u0000342,casual,enterprise,NL,direct,1565,58.76,1
u0000343,champion,free,GB,organic,772,0.0,1
u0000344,champion,free,US,paid_search,1143,0.0,0
u0000345,new_user,pro,US,referral,1783,143.53,1
u0000346,new_user,starter,US,organic,1025,136.78,0
u0000347,casual,free,US,organic,1158,0.0,1
u0000348,casual,free,DE,email,1276,0.0,1
u0000349,champion,free,GB,social,184,0.0,0
u0000350,at_risk,free,US,referral,1370,0.0,1
u0000351,new_user,free,JP,organic,1106,0.0,1
u0000352,at_risk,free,DE,email,192,0.0,1
u0000353,at_risk,free,DE,referral,29,0.0,0
u0000354,at_risk,free,GB,social,580,0.0,1
u0000355,champion,free,US,referral,1650,0.0,0
u0000356,casual,starter,US,email,1468,73.29,0
u0000357,power_user,pro,BR,social,1429,92.9,1
u0000358,power_user,free,NL,referral,220,0.0,0
u0000359,new_user,starter,NL,direct,477,35.47,1
u0000360,casual,pro,US,referral,894,98.92,1
u0000361,new_user,free,US,social,985,0.0,1
u0000362,at_risk,enterprise,US,referral,1261,149.68,1
u0000363,casual,free,CA,referral,230,0.0,1
u0000364,casual,starter,GB,organic,1239,127.65,1
u0000365,casual,free,NL,social,1481,0.0,0
u0000366,casual,starter,NL,paid_search,217,149.98,0
u0000367,new_user,free,US,organic,1699,0.0,1
u0000368,casual,free,US,organic,1199,0.0,0
u0000369,casual,free,NL,direct,652,0.0,0
u0000370,casual,pro,US,paid_search,1753,41.42,0
u0000371,new_user,free,US,organic,1737,0.0,0
u0000372,casual,pro,US,organic,1426,104.03,0
u0000373,new_user,starter,DE,organic,288,68.93,1
u0000374,casual,free,US,paid_search,213,0.0,0
u0000375,new_user,free,GB,social,1313,0.0,0
u0000376,at_risk,free,US,referral,390,0.0,1
u0000377,power_user,free,GB,paid_search,607,0.0,0
u0000378,at_risk,enterprise,US,social,1227,84.3,0
u0000379,at_risk,pro,DE,social,1391,85.84,0
u0000380,casual,starter,BR,paid_search,36,26.23,1
u0000381,new_user,pro,GB,email,1767,137.61,1
u0000382,casual,free,US,paid_search,1218,0.0,1
u0000383,casual,free,NL,organic,386,0.0,1
u0000384,power_user,free,NL,organic,304,0.0,1
u0000385,at_risk,free,US,social,1418,0.0,1
u0000386,power_user,free,US,organic,1529,0.0,0
u0000387,new_user,free,IN,paid_search,547,0.0,0
u0000388,new_user,starter,AU,organic,1622,88.2,0
u0000389,power_user,starter,GB,direct,1770,112.13,1
u0000390,at_risk,starter,GB,referral,434,51.24,0
u0000391,casual,free,AU,email,1480,0.0,0
u0000392,new_user,pro,US,referral,1693,130.89,0
u0000393,casual,starter,US,social,612,45.64,0
u0000394,at_risk,free,US,paid_search,1117,0.0,0
u0000395,casual,free,NL,social,946,0.0,1
u0000396,power_user,free,GB,organic,1770,0.0,0
u0000397,casual,pro,GB,referral,507,53.75,1
u0000398,casual,free,US,email,702,0.0,0
u0000399,at_risk,pro,IN,social,1019,5.3,1
u0000400,new_user,starter,FR,paid_search,182,3.73,0
u0000401,casual,free,US,email,695,0.0,0
u0000402,new_user,free,NL,social,1751,0.0,1
u0000403,at_risk,starter,DE,social,1502,59.22,1
u0000404,new_user,starter,US,paid_search,1594,126.65,1
u0000405,power_user,free,NL,direct,685,0.0,1
u0000406,casual,enterprise,US,referral,1556,105.6,1
u0000407,casual,free,US,social,516,0.0,0
u0000408,champion,free,GB,organic,1788,0.0,1
u0000409,casual,free,CA,referral,1740,0.0,1
u0000410,power_user,free,US,referral,691,0.0,0
u0000411,power_user,enterprise,US,referral,1809,39.75,0
u0000412,casual,starter,BR,paid_search,1179,26.25,0
u0000413,casual,free,US,direct,1799,0.0,0
u0000414,at_risk,free,NL,email,1011,0.0,0
u0000415,new_user,starter,CA,social,1396,89.27,0
u0000416,power_user,starter,GB,paid_search,447,40.36,1
u0000417,new_user,free,FR,email,975,0.0,0
u0000418,power_user,pro,GB,direct,1288,47.63,0
u0000419,casual,free,US,paid_search,1279,0.0,0
u0000420,casual,starter,GB,email,1273,108.0,0
u0000421,casual,free,US,direct,43,0.0,1
u0000422,casual,free,CA,organic,1193,0.0,0
u0000423,casual,starter,US,social,391,66.16,0
u0000424,new_user,free,FR,referral,1392,0.0,0
u0000425,at_risk,starter,US,organic,242,25.84,0
u0000426,power_user,starter,NL,organic,599,43.61,0
u0000427,casual,free,NL,organic,712,0.0,0
u0000428,casual,free,US,organic,1750,0.0,0
u0000429,casual,pro,US,direct,189,1.55,0
u0000430,new_user,pro,US,paid_search,1658,18.09,0
u0000431,casual,free,US,direct,1163,0.0,0
u0000432,casual,free,IN,paid_search,1665,0.0,1
u0000433,casual,free,DE,paid_search,136,0.0,0
u0000434,power_user,starter,CA,paid_search,1178,85.58,1
u0000435,at_risk,free,FR,direct,418,0.0,0
u0000436,casual,starter,CA,email,1648,105.76,0
u0000437,champion,free,US,social,1801,0.0,1
u0000438,new_user,free,US,social,1503,0.0,0
u0000439,power_user,free,FR,email,1052,0.0,1
u0000440,at_risk,free,FR,paid_search,1733,0.0,1
u0000441,casual,free,US,organic,186,0.0,0
u0000442,casual,free,NL,email,959,0.0,0
u0000443,casual,free,AU,email,1655,0.0,1
u0000444,casual,pro,NL,organic,1372,116.15,0
u0000445,casual,starter,DE,organic,1244,80.82,1
u0000446,new_user,free,US,social,1020,0.0,0
u0000447,casual,free,NL,social,236,0.0,0
u0000448,power_user,free,US,referral,1372,0.0,0
u0000449,at_risk,free,DE,paid_search,1563,0.0,0
u0000450,new_user,free,DE,organic,1171,0.0,0
u0000451,new_user,starter,FR,social,688,54.86,1
u0000452,at_risk,enterprise,CA,organic,1518,118.31,1
u0000453,new_user,free,AU,social,1163,0.0,0
u0000454,at_risk,free,GB,paid_search,669,0.0,0
u0000455,at_risk,pro,US,paid_search,1488,105.11,0
u0000456,at_risk,starter,US,organic,1158,69.12,0
u0000457,power_user,starter,AU,organic,120,110.28,1
u0000458,casual,starter,US,organic,238,65.72,1
u0000459,power_user,pro,US,social,1823,141.09,0
u0000460,casual,free,US,direct,383,0.0,0
u0000461,new_user,free,CA,organic,424,0.0,1
u0000462,casual,pro,US,social,1518,73.58,1
u0000463,power_user,free,US,organic,728,0.0,0
u0000464,new_user,starter,US,paid_search,1206,118.08,0
u0000465,casual,free,CA,organic,1070,0.0,0
u0000466,casual,starter,GB,direct,996,54.02,0
u0000467,new_user,free,US,email,616,0.0,1
u0000468,new_user,free,US,social,666,0.0,0
u0000469,at_risk,free,GB,referral,1451,0.0,1
u0000470,casual,pro,GB,paid_search,1670,26.18,1
u0000471,power_user,enterprise,US,email,944,102.09,1
u0000472,champion,starter,NL,organic,1108,45.25,0
u0000473,casual,free,US,paid_search,1390,0.0,0
u0000474,casual,pro,US,organic,1451,58.06,1
u0000475,champion,pro,IN,organic,1658,94.52,0
u0000476,casual,free,AU,referral,1816,0.0,0
u0000477,at_risk,free,US,organic,865,0.0,0
u0000478,at_risk,pro,US,paid_search,1684,117.22,0
u0000479,casual,free,CA,referral,926,0.0,0
u0000480,new_user,free,IN,email,1041,0.0,0
u0000481,casual,free,NL,social,330,0.0,0
u0000482,new_user,enterprise,US,organic,620,105.25,1
u0000483,at_risk,free,IN,direct,650,0.0,1
u0000484,casual,free,GB,paid_search,611,0.0,1
u0000485,power_user,pro,CA,referral,852,14.06,0
u0000486,casual,starter,DE,email,1725,140.22,1
u0000487,at_risk,free,US,paid_search,191,0.0,1
u0000488,at_risk,free,US,social,605,0.0,1
u0000489,at_risk,free,US,organic,325,0.0,1
u0000490,casual,starter,US,social,482,5.08,0
u0000491,at_risk,free,US,social,1008,0.0,1
u0000492,at_risk,starter,GB,paid_search,673,110.36,0
u0000493,casual,starter,DE,paid_search,575,106.8,1
u0000494,at_risk,pro,DE,paid_search,1172,123.93,1
u0000495,casual,free,NL,paid_search,768,0.0,1
u0000496,at_risk,free,BR,direct,6,0.0,1
u0000497,champion,free,NL,paid_search,1130,0.0,0
u0000498,at_risk,free,NL,organic,688,0.0,1
u0000499,casual,free,IN,organic,829,0.0,0
u0000500,champion,enterprise,US,organic,1445,25.21,1
u0000501,at_risk,pro,US,organic,378,56.09,0
u0000502,casual,free,GB,paid_search,755,0.0,0
u0000503,casual,free,US,paid_search,587,0.0,0
u0000504,power_user,free,US,paid_search,1503,0.0,1
u0000505,power_user,starter,US,organic,1090,131.68,0
u0000506,new_user,starter,FR,organic,727,77.9,1
u0000507,power_user,free,DE,email,431,0.0,1
u0000508,at_risk,starter,US,social,256,138.53,0
u0000509,new_user,free,US,paid_search,1749,0.0,1
u0000510,casual,free,US,social,1053,0.0,0
u0000511,power_user,free,IN,referral,276,0.0,0
u0000512,at_risk,starter,US,paid_search,1221,62.32,0
u0000513,casual,starter,GB,email,374,94.54,1
u0000514,power_user,starter,GB,social,750,101.09,1
u0000515,at_risk,free,US,paid_search,537,0.0,0
u0000516,casual,free,DE,email,1000,0.0,0
u0000517,power_user,free,JP,organic,154,0.0,0
u0000518,at_risk,free,US,paid_search,1499,0.0,1
u0000519,at_risk,free,US,direct,1653,0.0,1
u0000520,at_risk,pro,CA,organic,995,113.46,1
u0000521,at_risk,pro,US,paid_search,1447,41.07,0
u0000522,new_user,free,NL,direct,1470,0.0,0
u0000523,new_user,free,US,referral,1321,0.0,1
u0000524,casual,free,BR,organic,1593,0.0,1
u0000525,power_user,free,US,organic,1092,0.0,1
u0000526,at_risk,starter,US,email,1584,129.43,1
u0000527,casual,enterprise,US,social,1710,62.28,1
u0000528,new_user,starter,GB,social,131,58.82,1
u0000529,casual,starter,NL,referral,498,87.28,0
u0000530,at_risk,free,US,direct,478,0.0,0
u0000531,new_user,enterprise,US,social,1798,18.7,0
u0000532,new_user,starter,US,organic,1645,69.09,0
u0000533,power_user,free,US,direct,1109,0.0,0
u0000534,new_user,starter,DE,paid_search,1118,40.0,0
u0000535,new_user,free,NL,referral,1013,0.0,0
u0000536,casual,free,GB,organic,211,0.0,0
u0000537,new_user,starter,IN,paid_search,683,30.52,1
u0000538,casual,starter,DE,social,879,126.58,1
u0000539,new_user,starter,NL,email,622,87.98,0
u0000540,new_user,free,CA,social,1138,0.0,0
u0000541,new_user,free,DE,paid_search,1442,0.0,0
u0000542,power_user,starter,IN,social,660,40.2,0
u0000543,casual,free,GB,paid_search,380,0.0,1
u0000544,power_user,free,DE,social,1316,0.0,1
