paper_id	paper_doi	researcher_group	journal	year	fig_pair	similarity_score	verdict	method	review_status	analyst	notes
UPD1-0013	10.1182/bld.upd1-0012	Carrasco	Nature Medicine	2003	Fig.1C	0.7727	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #1
UPD1-0014	10.1182/bld.upd1-0013	Ghobrial	Blood	1999	Fig.7C	0.7779	DISTINCT	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #1
UPD1-0015	10.1182/bld.upd1-0014	Hahn	Nature Medicine	2005	Fig.1B	0.7771	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #1
UPD1-0016	10.1182/bld.upd1-0015	Anderson	Leukemia	2020	Fig.6A	0.6624	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #1
UPD1-0017	10.1182/bld.upd1-0016	Carrasco	Leukemia	2007	Fig.5B	0.4552	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #1
UPD1-0018	10.1182/bld.upd1-0017	Anderson	Science	2000	Fig.8C	0.5265	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #1
UPD1-0019	10.1182/bld.upd1-0018	Hahn	Cancer Cell	1996	Fig.8C	0.9304	SIMILAR	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #1
UPD1-0020	10.1182/bld.upd1-0019	Anderson	Leukemia	2016	Fig.2B	0.7761	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #1
UPD1-0021	10.1182/bld.upd1-0020	Anderson	Nature Medicine	2000	Fig.8C	0.7045	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #1
UPD1-0022	10.1182/bld.upd1-0021	Glimcher	Cancer Cell	2003	Fig.7C	0.7084	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #1
UPD1-0023	10.1182/bld.upd1-0022	Hahn	Cancer Cell	2017	Fig.2C	0.7781	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #1
UPD1-0024	10.1182/bld.upd1-0023	Glimcher	Blood	1998	Fig.2C	0.5922	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #1
UPD1-0025	10.1182/bld.upd1-0024	Ghobrial	Leukemia	2008	Fig.3B	0.8338	SIMILAR	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #1
UPD1-0026	10.1182/bld.upd1-0025	Ghobrial	Cancer Cell	2004	Fig.6B	0.52	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #1
UPD1-0027	10.1182/bld.upd1-0026	Ghobrial	Blood	2014	Fig.2C	0.6383	DISTINCT	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #1
UPD1-0028	10.1182/bld.upd1-0027	Glimcher	Leukemia	2000	Fig.3A	0.9112	SIMILAR	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #1
UPD1-0029	10.1182/bld.upd1-0028	Anderson	Nature Medicine	1996	Fig.3A	0.9589	DUPLICATE	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #1
UPD1-0030	10.1182/bld.upd1-0029	Anderson	Nature Medicine	1997	Fig.3C	0.6844	DISTINCT	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #1
UPD1-0031	10.1182/bld.upd1-0030	Ghobrial	Nature Medicine	2000	Fig.2C	0.5741	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #1
UPD1-0032	10.1182/bld.upd1-0031	Glimcher	Blood	1998	Fig.7B	0.5987	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #1
UPD1-0033	10.1182/bld.upd1-0032	Carrasco	Blood	2021	Fig.6B	0.6014	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #1
UPD1-0034	10.1182/bld.upd1-0033	Anderson	Cancer Cell	2005	Fig.5B	0.6359	DISTINCT	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #1
UPD1-0035	10.1182/bld.upd1-0034	Glimcher	Blood	2019	Fig.2A	0.8495	SIMILAR	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #1
UPD1-0036	10.1182/bld.upd1-0035	Carrasco	Leukemia	2009	Fig.4A	0.8185	SIMILAR	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #1
UPD1-0037	10.1182/bld.upd1-0036	Hahn	Leukemia	2002	Fig.3A	0.4841	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #1
UPD1-0038	10.1182/bld.upd1-0037	Carrasco	Leukemia	2018	Fig.7C	0.453	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #1
UPD1-0039	10.1182/bld.upd1-0038	Anderson	Cancer Cell	2021	Fig.7A	0.9695	DUPLICATE	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #1
UPD1-0040	10.1182/bld.upd1-0039	Ghobrial	Nature Medicine	2007	Fig.4B	0.5193	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #1
UPD1-0041	10.1182/bld.upd1-0040	Hahn	Science	1995	Fig.6C	0.9027	SIMILAR	ImageTwin_v2.2	confirmed	analyst_c	Update1 batch scan #1
UPD1-0042	10.1182/bld.upd1-0041	Carrasco	Leukemia	2016	Fig.3A	0.7525	DISTINCT	ImageTwin_v2.2	confirmed	analyst_c	Update1 batch scan #1
UPD1-0043	10.1182/bld.upd1-0042	Carrasco	Blood	2002	Fig.3C	0.5174	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #1
UPD1-0044	10.1182/bld.upd1-0043	Ghobrial	Science	1999	Fig.8B	0.795	DISTINCT	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #1
UPD1-0045	10.1182/bld.upd1-0044	Anderson	Blood	2015	Fig.5B	0.6469	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #1
UPD1-0046	10.1182/bld.upd1-0045	Hahn	Leukemia	2020	Fig.8B	0.5606	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #1
UPD1-0047	10.1182/bld.upd1-0046	Carrasco	Leukemia	2018	Fig.6C	0.7669	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #1
UPD1-0048	10.1182/bld.upd1-0047	Anderson	Science	2022	Fig.8C	0.7291	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #1
UPD1-0049	10.1182/bld.upd1-0048	Ghobrial	Blood	2008	Fig.2C	0.4629	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #1
UPD1-0050	10.1182/bld.upd1-0049	Glimcher	Leukemia	2001	Fig.7B	0.478	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #1
UPD1-0051	10.1182/bld.upd1-0050	Anderson	Science	2006	Fig.8B	0.7963	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #2
UPD1-0052	10.1182/bld.upd1-0051	Hahn	Blood	1997	Fig.8B	0.705	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #2
UPD1-0053	10.1182/bld.upd1-0052	Hahn	Leukemia	2012	Fig.5B	0.642	DISTINCT	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #2
UPD1-0054	10.1182/bld.upd1-0053	Hahn	Leukemia	1995	Fig.4A	0.4595	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #2
UPD1-0055	10.1182/bld.upd1-0054	Glimcher	Blood	2015	Fig.4B	0.7085	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #2
UPD1-0056	10.1182/bld.upd1-0055	Hahn	Cancer Cell	1996	Fig.4B	0.4513	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #2
UPD1-0057	10.1182/bld.upd1-0056	Carrasco	Cancer Cell	2009	Fig.1B	0.4782	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #2
UPD1-0058	10.1182/bld.upd1-0057	Anderson	Science	2017	Fig.3A	0.8048	SIMILAR	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #2
UPD1-0059	10.1182/bld.upd1-0058	Glimcher	Nature Medicine	1997	Fig.5A	0.8301	SIMILAR	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #2
UPD1-0060	10.1182/bld.upd1-0059	Glimcher	Cancer Cell	2012	Fig.4B	0.7032	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #2
UPD1-0061	10.1182/bld.upd1-0060	Anderson	Blood	2012	Fig.4A	0.5331	DISTINCT	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #2
UPD1-0062	10.1182/bld.upd1-0061	Carrasco	Science	2002	Fig.8A	0.4874	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #2
UPD1-0063	10.1182/bld.upd1-0062	Carrasco	Cancer Cell	2021	Fig.3C	0.4974	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #2
UPD1-0064	10.1182/bld.upd1-0063	Glimcher	Science	2007	Fig.4B	0.545	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #2
UPD1-0065	10.1182/bld.upd1-0064	Carrasco	Science	2000	Fig.7A	0.5923	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #2
UPD1-0066	10.1182/bld.upd1-0065	Carrasco	Leukemia	2004	Fig.7C	0.7185	DISTINCT	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #2
UPD1-0067	10.1182/bld.upd1-0066	Carrasco	Leukemia	2023	Fig.3A	0.5874	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #2
UPD1-0068	10.1182/bld.upd1-0067	Glimcher	Science	2020	Fig.1A	0.8305	SIMILAR	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #2
UPD1-0069	10.1182/bld.upd1-0068	Carrasco	Leukemia	2017	Fig.5C	0.4578	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #2
UPD1-0070	10.1182/bld.upd1-0069	Anderson	Leukemia	2023	Fig.6C	0.5371	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #2
UPD1-0071	10.1182/bld.upd1-0070	Ghobrial	Science	2002	Fig.1C	0.9537	DUPLICATE	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #2
UPD1-0072	10.1182/bld.upd1-0071	Glimcher	Nature Medicine	2002	Fig.3B	0.5598	DISTINCT	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #2
UPD1-0073	10.1182/bld.upd1-0072	Glimcher	Science	2023	Fig.7B	0.8183	SIMILAR	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #2
UPD1-0074	10.1182/bld.upd1-0073	Anderson	Leukemia	2005	Fig.7B	0.7147	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #2
UPD1-0075	10.1182/bld.upd1-0074	Glimcher	Science	2018	Fig.6A	0.9185	SIMILAR	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #2
UPD1-0076	10.1182/bld.upd1-0075	Glimcher	Science	2003	Fig.8A	0.8817	SIMILAR	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #2
UPD1-0077	10.1182/bld.upd1-0076	Glimcher	Nature Medicine	2007	Fig.1A	0.7703	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #2
UPD1-0078	10.1182/bld.upd1-0077	Hahn	Blood	2018	Fig.8A	0.8929	SIMILAR	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #2
UPD1-0079	10.1182/bld.upd1-0078	Ghobrial	Cancer Cell	2020	Fig.1B	0.6447	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #2
UPD1-0080	10.1182/bld.upd1-0079	Ghobrial	Nature Medicine	1995	Fig.5B	0.4878	DISTINCT	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #2
UPD1-0081	10.1182/bld.upd1-0080	Anderson	Cancer Cell	1999	Fig.1B	0.9813	DUPLICATE	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #2
UPD1-0082	10.1182/bld.upd1-0081	Ghobrial	Science	2010	Fig.4C	0.633	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #2
UPD1-0083	10.1182/bld.upd1-0082	Anderson	Blood	2020	Fig.3C	0.8339	SIMILAR	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #2
UPD1-0084	10.1182/bld.upd1-0083	Carrasco	Blood	2013	Fig.5B	0.9677	DUPLICATE	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #2
UPD1-0085	10.1182/bld.upd1-0084	Hahn	Leukemia	2006	Fig.8A	0.6666	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #2
UPD1-0086	10.1182/bld.upd1-0085	Glimcher	Nature Medicine	2002	Fig.4B	0.7515	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #2
UPD1-0087	10.1182/bld.upd1-0086	Hahn	Leukemia	2008	Fig.5B	0.4855	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #2
UPD1-0088	10.1182/bld.upd1-0087	Anderson	Blood	2021	Fig.7B	0.5641	DISTINCT	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #2
UPD1-0089	10.1182/bld.upd1-0088	Glimcher	Nature Medicine	2000	Fig.7B	0.8719	SIMILAR	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #2
UPD1-0090	10.1182/bld.upd1-0089	Anderson	Leukemia	1995	Fig.1A	0.9923	DUPLICATE	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #2
UPD1-0091	10.1182/bld.upd1-0090	Anderson	Nature Medicine	2014	Fig.5A	0.8168	SIMILAR	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #2
UPD1-0092	10.1182/bld.upd1-0091	Ghobrial	Cancer Cell	2023	Fig.3B	0.8126	SIMILAR	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #2
UPD1-0093	10.1182/bld.upd1-0092	Carrasco	Blood	2005	Fig.4A	0.6469	DISTINCT	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #2
UPD1-0094	10.1182/bld.upd1-0093	Glimcher	Science	2004	Fig.2A	0.6525	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #2
UPD1-0095	10.1182/bld.upd1-0094	Carrasco	Cancer Cell	2004	Fig.4C	0.6318	DISTINCT	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #2
UPD1-0096	10.1182/bld.upd1-0095	Anderson	Cancer Cell	2018	Fig.2C	0.6515	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #2
UPD1-0097	10.1182/bld.upd1-0096	Glimcher	Blood	2018	Fig.8C	0.7386	DISTINCT	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #2
UPD1-0098	10.1182/bld.upd1-0097	Anderson	Blood	1999	Fig.6C	0.5229	DISTINCT	ImageTwin_v2.2	confirmed	analyst_c	Update1 batch scan #2
UPD1-0099	10.1182/bld.upd1-0098	Glimcher	Leukemia	2017	Fig.5C	0.793	DISTINCT	ImageTwin_v2.2	confirmed	analyst_c	Update1 batch scan #2
UPD1-0100	10.1182/bld.upd1-0099	Ghobrial	Science	1999	Fig.7B	0.8776	SIMILAR	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #2
UPD1-0101	10.1182/bld.upd1-0100	Hahn	Cancer Cell	2019	Fig.6A	0.7545	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #3
UPD1-0102	10.1182/bld.upd1-0101	Carrasco	Nature Medicine	2004	Fig.2B	0.5648	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #3
UPD1-0103	10.1182/bld.upd1-0102	Anderson	Leukemia	2019	Fig.7A	0.8177	SIMILAR	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #3
UPD1-0104	10.1182/bld.upd1-0103	Anderson	Leukemia	1999	Fig.2A	0.4731	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #3
UPD1-0105	10.1182/bld.upd1-0104	Ghobrial	Cancer Cell	2007	Fig.5C	0.7945	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #3
UPD1-0106	10.1182/bld.upd1-0105	Carrasco	Science	2020	Fig.2A	0.6612	DISTINCT	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #3
UPD1-0107	10.1182/bld.upd1-0106	Hahn	Science	1995	Fig.1C	0.5667	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #3
UPD1-0108	10.1182/bld.upd1-0107	Carrasco	Leukemia	2020	Fig.2A	0.6654	DISTINCT	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #3
UPD1-0109	10.1182/bld.upd1-0108	Ghobrial	Nature Medicine	2011	Fig.5C	0.7599	DISTINCT	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #3
UPD1-0110	10.1182/bld.upd1-0109	Ghobrial	Nature Medicine	2016	Fig.7A	0.8293	SIMILAR	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #3
UPD1-0111	10.1182/bld.upd1-0110	Anderson	Leukemia	2023	Fig.5B	0.9068	SIMILAR	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #3
UPD1-0112	10.1182/bld.upd1-0111	Glimcher	Nature Medicine	2013	Fig.7A	0.8371	SIMILAR	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #3
UPD1-0113	10.1182/bld.upd1-0112	Anderson	Science	2005	Fig.4B	0.6772	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #3
UPD1-0114	10.1182/bld.upd1-0113	Anderson	Leukemia	2008	Fig.6B	0.8591	SIMILAR	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #3
UPD1-0115	10.1182/bld.upd1-0114	Ghobrial	Blood	2005	Fig.8C	0.7803	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #3
UPD1-0116	10.1182/bld.upd1-0115	Hahn	Science	2019	Fig.7B	0.8976	SIMILAR	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #3
UPD1-0117	10.1182/bld.upd1-0116	Carrasco	Leukemia	2011	Fig.5B	0.9314	SIMILAR	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #3
UPD1-0118	10.1182/bld.upd1-0117	Glimcher	Leukemia	2008	Fig.7C	0.4925	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #3
UPD1-0119	10.1182/bld.upd1-0118	Carrasco	Leukemia	2013	Fig.8B	0.9283	SIMILAR	ImageTwin_v2.2	confirmed	analyst_c	Update1 batch scan #3
UPD1-0120	10.1182/bld.upd1-0119	Anderson	Nature Medicine	2008	Fig.4B	0.6565	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #3
UPD1-0121	10.1182/bld.upd1-0120	Carrasco	Blood	2011	Fig.2C	0.6911	DISTINCT	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #3
UPD1-0122	10.1182/bld.upd1-0121	Glimcher	Blood	2004	Fig.4A	0.8336	SIMILAR	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #3
UPD1-0123	10.1182/bld.upd1-0122	Anderson	Blood	2015	Fig.6B	0.6561	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #3
UPD1-0124	10.1182/bld.upd1-0123	Ghobrial	Science	1998	Fig.8C	0.9025	SIMILAR	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #3
UPD1-0125	10.1182/bld.upd1-0124	Anderson	Blood	2017	Fig.5B	0.9743	DUPLICATE	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #3
UPD1-0126	10.1182/bld.upd1-0125	Ghobrial	Science	2005	Fig.1B	0.5576	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #3
UPD1-0127	10.1182/bld.upd1-0126	Hahn	Nature Medicine	2002	Fig.8C	0.6681	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #3
UPD1-0128	10.1182/bld.upd1-0127	Glimcher	Science	2019	Fig.5B	0.6828	DISTINCT	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #3
UPD1-0129	10.1182/bld.upd1-0128	Anderson	Nature Medicine	2001	Fig.6A	0.6088	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #3
UPD1-0130	10.1182/bld.upd1-0129	Hahn	Nature Medicine	2005	Fig.2A	0.6449	DISTINCT	ImageTwin_v2.2	confirmed	analyst_c	Update1 batch scan #3
UPD1-0131	10.1182/bld.upd1-0130	Hahn	Nature Medicine	2013	Fig.8A	0.7534	DISTINCT	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #3
UPD1-0132	10.1182/bld.upd1-0131	Ghobrial	Nature Medicine	2013	Fig.7B	0.5461	DISTINCT	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #3
UPD1-0133	10.1182/bld.upd1-0132	Glimcher	Cancer Cell	2011	Fig.5B	0.5577	DISTINCT	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #3
UPD1-0134	10.1182/bld.upd1-0133	Carrasco	Leukemia	2019	Fig.6A	0.9712	DUPLICATE	ImageTwin_v2.2	confirmed	analyst_a	Update1 batch scan #3
UPD1-0135	10.1182/bld.upd1-0134	Carrasco	Cancer Cell	2012	Fig.1B	0.6705	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #3
UPD1-0136	10.1182/bld.upd1-0135	Glimcher	Leukemia	2021	Fig.6C	0.6131	DISTINCT	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #3
UPD1-0137	10.1182/bld.upd1-0136	Hahn	Cancer Cell	1998	Fig.7B	0.9629	DUPLICATE	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #3
UPD1-0138	10.1182/bld.upd1-0137	Glimcher	Science	2001	Fig.2C	0.5922	DISTINCT	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #3
UPD1-0139	10.1182/bld.upd1-0138	Carrasco	Science	2022	Fig.2C	0.7697	DISTINCT	ImageTwin_v2.2	pending	analyst_b	Update1 batch scan #3
UPD1-0140	10.1182/bld.upd1-0139	Glimcher	Leukemia	2003	Fig.6C	0.887	SIMILAR	ImageTwin_v2.2	reviewed	analyst_c	Update1 batch scan #3
UPD1-0141	10.1182/bld.upd1-0140	Glimcher	Leukemia	1996	Fig.8A	0.9795	DUPLICATE	ImageTwin_v2.2	disputed	analyst_a	Update1 batch scan #3
UPD1-0142	10.1182/bld.upd1-0141	Glimcher	Leukemia	1996	Fig.6A	0.8026	SIMILAR	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #3
UPD1-0143	10.1182/bld.upd1-0142	Carrasco	Leukemia	2015	Fig.6A	0.8365	SIMILAR	ImageTwin_v2.2	reviewed	analyst_a	Update1 batch scan #3
UPD1-0144	10.1182/bld.upd1-0143	Glimcher	Blood	2000	Fig.4B	0.9747	DUPLICATE	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #3
UPD1-0145	10.1182/bld.upd1-0144	Anderson	Science	2007	Fig.3A	0.9699	DUPLICATE	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #3
UPD1-0146	10.1182/bld.upd1-0145	Ghobrial	Blood	2018	Fig.3B	0.6055	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #3
UPD1-0147	10.1182/bld.upd1-0146	Glimcher	Science	2019	Fig.2A	0.4942	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #3
UPD1-0148	10.1182/bld.upd1-0147	Ghobrial	Science	1997	Fig.2A	0.7837	DISTINCT	ImageTwin_v2.2	pending	analyst_c	Update1 batch scan #3
UPD1-0149	10.1182/bld.upd1-0148	Glimcher	Blood	2018	Fig.2B	0.7304	DISTINCT	ImageTwin_v2.2	disputed	analyst_c	Update1 batch scan #3
UPD1-0150	10.1182/bld.upd1-0149	Glimcher	Cancer Cell	2015	Fig.2C	0.8659	SIMILAR	ImageTwin_v2.2	confirmed	analyst_b	Update1 batch scan #3
UPD1-0151	10.1182/bld.upd1-0150	Glimcher	Cancer Cell	2010	Fig.3C	0.5079	DISTINCT	ImageTwin_v2.2	disputed	analyst_b	Update1 batch scan #4
UPD1-0152	10.1182/bld.upd1-0151	Carrasco	Nature Medicine	2008	Fig.3C	0.6966	DISTINCT	ImageTwin_v2.2	reviewed	analyst_b	Update1 batch scan #4
UPD1-0153	10.1182/bld.upd1-0152	Ghobrial	Blood	2018	Fig.3A	0.5788	DISTINCT	ImageTwin_v2.2	pending	analyst_a	Update1 batch scan #4
UPD1-0154	10.1182/bld.upd1-0153	Ghobrial	Nature Medicine	2000	Fig.6B	0.9676	DUPLICATE	ImageTwin_v2.2	confirmed	analyst_c	Update1 batch scan #4
