doi,journal,year,lead_author,issue_type,researcher_group,flagged_by
10.1002/jco.26147307,Leukemia,2007,Carrasco et al.,western_blot_manipulation,Carrasco,Sholto_David
10.1073/pnas.77023538,Journal of Clinical Oncology,2020,Glimcher et al.,western_blot_manipulation,Ghobrial,Sholto_David
10.1073/pnas.95691719,Cancer Cell,2012,Mitsiades et al.,mouse_figure_fabrication,Hahn,Sholto_David
10.1038/ncb.74886872,Blood,2005,Glimcher et al.,image_duplication,Carrasco,Sholto_David
10.1016/j.ccr.60053088,Oncogene,2023,Richardson et al.,image_duplication,Glimcher,Sholto_David
10.1038/ncb.96588419,Blood,2016,Munshi et al.,western_blot_manipulation,Anderson,Sholto_David
10.1182/blood.64068781,Oncogene,2008,Glimcher et al.,mouse_figure_fabrication,Hahn,Sholto_David
10.1073/pnas.93231396,PNAS,2014,Munshi et al.,western_blot_manipulation,Anderson,Sholto_David
10.1182/blood.40134552,Journal of Clinical Oncology,2021,Richardson et al.,image_duplication,Glimcher,Sholto_David
10.1016/j.cell.70019212,Leukemia,2004,Carrasco et al.,image_duplication,Glimcher,Sholto_David
10.1038/nm.74863291,Nature,1999,Glimcher et al.,western_blot_manipulation,Hahn,Sholto_David
10.1038/nm.58448246,Cell,1998,Ghobrial et al.,image_duplication,Carrasco,Sholto_David
10.1038/ncb.63658537,Molecular Cell,1995,Hahn et al.,western_blot_manipulation,Hahn,Sholto_David
10.1038/ncb.20977144,Molecular Cell,2003,Hahn et al.,western_blot_manipulation,Glimcher,Sholto_David
10.1016/j.cell.42689421,Nature,2020,Ghobrial et al.,western_blot_manipulation,Hahn,Sholto_David
10.1002/jco.76538305,Journal of Clinical Oncology,2009,Richardson et al.,western_blot_manipulation,Anderson,Sholto_David
10.1182/bld.03859914,PNAS,2006,Richardson et al.,mouse_figure_fabrication,Carrasco,Sholto_David
10.1016/j.cell.95367187,Molecular Cell,2005,Anderson et al.,image_duplication,Ghobrial,Sholto_David
10.1038/ncb.85981825,Oncogene,2003,Mitsiades et al.,mouse_figure_fabrication,Ghobrial,Sholto_David
10.1038/nm.18373432,Oncogene,2000,Mitsiades et al.,image_duplication,Hahn,Sholto_David
10.1002/jco.24011117,Molecular Cell,2015,Ghobrial et al.,image_duplication,Carrasco,Sholto_David
10.1182/blood.47796275,Journal of Clinical Oncology,2004,Richardson et al.,western_blot_manipulation,Carrasco,Sholto_David
10.1002/jco.36228563,Nature Cell Biology,2000,Munshi et al.,western_blot_manipulation,Glimcher,Sholto_David
10.1002/jco.91934112,Cell,2011,Glimcher et al.,image_duplication,Anderson,Sholto_David
10.1002/jco.77566135,PNAS,2020,Anderson et al.,western_blot_manipulation,Carrasco,Sholto_David
10.1038/nm.27607025,Cell,1995,Munshi et al.,western_blot_manipulation,Anderson,Sholto_David
10.1182/blood.20311460,Nature Cell Biology,2015,Munshi et al.,mouse_figure_fabrication,Anderson,Sholto_David
10.1016/j.ccr.73218778,Leukemia,2008,Anderson et al.,mouse_figure_fabrication,Carrasco,Sholto_David
10.1182/bld.65764025,Cell,2022,Richardson et al.,image_duplication,Ghobrial,Sholto_David
10.1073/pnas.33212907,Science,2011,Carrasco et al.,western_blot_manipulation,Hahn,Sholto_David
10.1002/jco.77602059,Experimental Hematology,2007,Richardson et al.,western_blot_manipulation,Hahn,Sholto_David
10.1182/blood.68023599,Molecular Cell,2015,Anderson et al.,western_blot_manipulation,Glimcher,Sholto_David
10.1038/ncb.12232777,Science,2009,Glimcher et al.,western_blot_manipulation,Glimcher,Sholto_David
10.1073/pnas.75670685,Experimental Hematology,1997,Mitsiades et al.,image_duplication,Carrasco,Sholto_David
10.1038/nm.97555289,Cancer Cell,1997,Richardson et al.,western_blot_manipulation,Hahn,Sholto_David
10.1016/j.ccr.73053204,Experimental Hematology,2006,Mitsiades et al.,western_blot_manipulation,Ghobrial,Sholto_David
10.1038/nm.03739614,Journal of Clinical Oncology,2007,Glimcher et al.,western_blot_manipulation,Hahn,Sholto_David
10.1016/j.ccr.56161050,Cell,2006,Ghobrial et al.,image_duplication,Anderson,Sholto_David
10.1182/blood.23191625,Leukemia,2012,Carrasco et al.,western_blot_manipulation,Ghobrial,Sholto_David
10.1002/jco.14144812,Cancer Cell,2019,Hahn et al.,western_blot_manipulation,Glimcher,Sholto_David
10.1002/jco.43877321,Nature,2002,Carrasco et al.,western_blot_manipulation,Glimcher,Sholto_David
10.1016/j.cell.35617178,Nature,2004,Ghobrial et al.,western_blot_manipulation,Hahn,Sholto_David
10.1002/jco.24121700,Cancer Cell,1996,Carrasco et al.,image_duplication,Glimcher,Sholto_David
10.1038/ncb.45278184,Leukemia,2001,Ghobrial et al.,western_blot_manipulation,Ghobrial,Sholto_David
10.1016/j.ccr.14852859,PNAS,2006,Ghobrial et al.,western_blot_manipulation,Carrasco,Sholto_David
10.1038/nm.93221696,Cell,2001,Richardson et al.,image_duplication,Glimcher,Sholto_David
10.1038/ncb.00237094,Nature,2011,Glimcher et al.,image_duplication,Hahn,Sholto_David
10.1038/ncb.17539498,Nature Cell Biology,2003,Anderson et al.,mouse_figure_fabrication,Carrasco,Sholto_David
10.1038/nm.06193393,Science,2001,Carrasco et al.,image_duplication,Anderson,Sholto_David
10.1182/bld.36244863,Science,2020,Mitsiades et al.,mouse_figure_fabrication,Glimcher,Sholto_David
10.1002/jco.94236061,Oncogene,2008,Richardson et al.,mouse_figure_fabrication,Glimcher,Sholto_David
10.1002/jco.47148055,Cell,2014,Glimcher et al.,image_duplication,Glimcher,Sholto_David
10.1073/pnas.36687499,Oncogene,2015,Richardson et al.,image_duplication,Carrasco,Sholto_David
10.1182/bld.87221371,Blood,2021,Carrasco et al.,western_blot_manipulation,Carrasco,Sholto_David
10.1182/blood.58359905,Journal of Clinical Oncology,2006,Glimcher et al.,western_blot_manipulation,Glimcher,Sholto_David
10.1038/nm.00468129,Nature Medicine,2019,Munshi et al.,image_duplication,Anderson,Sholto_David
10.1073/pnas.35961494,Blood,2005,Mitsiades et al.,image_duplication,Ghobrial,Sholto_David
10.1182/bld.58875738,Nature Cell Biology,2021,Glimcher et al.,western_blot_manipulation,Hahn,Sholto_David
10.1038/ncb.67757495,PNAS,2021,Glimcher et al.,mouse_figure_fabrication,Hahn,Sholto_David
10.1182/bld.61680487,Journal of Clinical Oncology,2015,Glimcher et al.,western_blot_manipulation,Anderson,Sholto_David
10.1182/bld.62566322,Experimental Hematology,2020,Munshi et al.,western_blot_manipulation,Carrasco,Sholto_David
10.1038/nm.57057730,Blood,1996,Glimcher et al.,western_blot_manipulation,Glimcher,Sholto_David
10.1073/pnas.04448104,Journal of Clinical Oncology,2021,Anderson et al.,western_blot_manipulation,Anderson,Sholto_David
10.1016/j.cell.64528291,Nature,2010,Richardson et al.,image_duplication,Anderson,Sholto_David
10.1016/j.ccr.26049094,Blood,2010,Richardson et al.,mouse_figure_fabrication,Ghobrial,Sholto_David
10.1182/bld.43460905,Molecular Cell,2001,Munshi et al.,image_duplication,Glimcher,Sholto_David
10.1182/bld.75810186,Experimental Hematology,1998,Glimcher et al.,western_blot_manipulation,Glimcher,Sholto_David
10.1016/j.ccr.90916869,Experimental Hematology,1995,Ghobrial et al.,mouse_figure_fabrication,Anderson,Sholto_David
