paper_id	paper_doi	researcher_group	journal	year	fig_pair	similarity_score	verdict	method	researcher_confirmed_identity	review_status	notes
UPD2-0018	10.1182/bld.anderson-0017	Anderson	Blood	2018	Fig.3C	0.4712	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0019	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2015	Fig.4C	0.6393	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0020	10.1182/bld.anderson-0019	Anderson	Blood	2003	Fig.2C	0.8482	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0021	10.1182/bld.anderson-0020	Anderson	Blood	2007	Fig.2C	0.6327	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0022	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2020	Fig.5C	0.5585	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0023	10.1182/bld.anderson-0022	Anderson	Blood	2000	Fig.5C	0.8861	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0024	10.1182/bld.anderson-0023	Anderson	Blood	2005	Fig.5C	0.8423	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0025	10.1038/nm.3867	Anderson	Cancer Cell	2014	Fig.3A	0.671	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0026	10.1182/bld.anderson-0025	Anderson	Blood	2010	Fig.6B	0.475	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0027	10.1182/bld.anderson-0026	Anderson	Blood	2009	Fig.3C	0.8932	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0028	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2009	Fig.2A	0.976	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0029	10.1182/bld.anderson-0028	Anderson	Blood	2019	Fig.5B	0.9406	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0030	10.1182/bld.anderson-0029	Anderson	Blood	2011	Fig.4B	0.8789	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #1
UPD2-0031	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2018	Fig.1C	0.8006	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0032	10.1182/bld.anderson-0031	Anderson	Blood	2004	Fig.1A	0.5956	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0033	10.1182/bld.anderson-0032	Anderson	Blood	2010	Fig.4B	0.5246	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0034	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2021	Fig.3C	0.5097	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0035	10.1182/bld.anderson-0034	Anderson	Blood	2007	Fig.6A	0.6634	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0036	10.1182/bld.anderson-0035	Anderson	Blood	2017	Fig.5A	0.8811	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0037	10.1038/nm.3867	Anderson	Cancer Cell	2004	Fig.5B	0.5753	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0038	10.1182/bld.anderson-0037	Anderson	Blood	2010	Fig.4B	0.5056	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0039	10.1182/bld.anderson-0038	Anderson	Blood	2018	Fig.5C	0.8215	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0040	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2022	Fig.5B	0.512	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0041	10.1182/bld.anderson-0040	Anderson	Blood	2016	Fig.1B	0.4676	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0042	10.1182/bld.anderson-0041	Anderson	Blood	2007	Fig.2A	0.6658	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0043	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2006	Fig.5A	0.473	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0044	10.1182/bld.anderson-0043	Anderson	Blood	2013	Fig.6A	0.486	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0045	10.1182/bld.anderson-0044	Anderson	Blood	2011	Fig.4C	0.7049	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0046	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2005	Fig.4B	0.588	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0047	10.1182/bld.anderson-0046	Anderson	Blood	2017	Fig.6C	0.531	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0048	10.1182/bld.anderson-0047	Anderson	Blood	2004	Fig.1B	0.4513	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0049	10.1038/nm.3867	Anderson	Cancer Cell	2004	Fig.2A	0.7674	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0050	10.1182/bld.anderson-0049	Anderson	Blood	2022	Fig.1A	0.719	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0051	10.1182/bld.anderson-0050	Anderson	Blood	2009	Fig.2B	0.6084	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0052	10.1038/nm.3867	Anderson	Cancer Cell	2016	Fig.5C	0.5511	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0053	10.1182/bld.anderson-0052	Anderson	Blood	2013	Fig.6A	0.9783	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0054	10.1182/bld.anderson-0053	Anderson	Blood	2006	Fig.2A	0.6271	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0055	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2010	Fig.5B	0.6921	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0056	10.1182/bld.anderson-0055	Anderson	Blood	2011	Fig.6B	0.9211	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0057	10.1182/bld.anderson-0056	Anderson	Blood	2007	Fig.3B	0.9193	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0058	10.1038/nm.3867	Anderson	Cancer Cell	2008	Fig.3B	0.6738	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0059	10.1182/bld.anderson-0058	Anderson	Blood	2003	Fig.2A	0.8719	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0060	10.1182/bld.anderson-0059	Anderson	Blood	2015	Fig.1B	0.7557	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #2
UPD2-0061	10.1038/nm.3867	Anderson	Cancer Cell	2014	Fig.6A	0.4979	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0062	10.1182/bld.anderson-0061	Anderson	Blood	2007	Fig.3A	0.6018	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0063	10.1182/bld.anderson-0062	Anderson	Blood	2020	Fig.2C	0.941	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0064	10.1038/nm.3867	Anderson	Cancer Cell	2014	Fig.2C	0.7178	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0065	10.1182/bld.anderson-0064	Anderson	Blood	2008	Fig.5B	0.7229	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0066	10.1182/bld.anderson-0065	Anderson	Blood	2011	Fig.6B	0.9191	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0067	10.1038/nm.3867	Anderson	Cancer Cell	2013	Fig.1A	0.4592	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0068	10.1182/bld.anderson-0067	Anderson	Blood	2003	Fig.3B	0.5614	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0069	10.1182/bld.anderson-0068	Anderson	Blood	2008	Fig.3C	0.9692	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0070	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2007	Fig.5B	0.847	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0071	10.1182/bld.anderson-0070	Anderson	Blood	2018	Fig.2A	0.6293	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0072	10.1182/bld.anderson-0071	Anderson	Blood	2011	Fig.2B	0.4735	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0073	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2003	Fig.5B	0.6204	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0074	10.1182/bld.anderson-0073	Anderson	Blood	2018	Fig.6A	0.6618	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0075	10.1182/bld.anderson-0074	Anderson	Blood	2005	Fig.5B	0.5914	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0076	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2011	Fig.1B	0.8446	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0077	10.1182/bld.anderson-0076	Anderson	Blood	2019	Fig.4B	0.4523	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0078	10.1182/bld.anderson-0077	Anderson	Blood	2007	Fig.3A	0.7104	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0079	10.1038/nm.3867	Anderson	Cancer Cell	2018	Fig.5A	0.6623	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0080	10.1182/bld.anderson-0079	Anderson	Blood	2009	Fig.3A	0.8843	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0081	10.1182/bld.anderson-0080	Anderson	Blood	2008	Fig.4A	0.7628	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0082	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2020	Fig.2B	0.6962	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0083	10.1182/bld.anderson-0082	Anderson	Blood	2002	Fig.5A	0.4805	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0084	10.1182/bld.anderson-0083	Anderson	Blood	2006	Fig.2C	0.6928	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0085	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2000	Fig.3B	0.9153	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0086	10.1182/bld.anderson-0085	Anderson	Blood	2009	Fig.3C	0.8545	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0087	10.1182/bld.anderson-0086	Anderson	Blood	2002	Fig.1B	0.9263	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0088	10.1038/nm.3867	Anderson	Cancer Cell	2012	Fig.4A	0.6233	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0089	10.1182/bld.anderson-0088	Anderson	Blood	2004	Fig.2A	0.9047	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0090	10.1182/bld.anderson-0089	Anderson	Blood	2004	Fig.1B	0.9723	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #3
UPD2-0091	10.1038/nm.3867	Anderson	Cancer Cell	2013	Fig.6B	0.8396	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0092	10.1182/bld.anderson-0091	Anderson	Blood	2015	Fig.6B	0.4861	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0093	10.1182/bld.anderson-0092	Anderson	Blood	2021	Fig.5B	0.7792	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0094	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2012	Fig.6C	0.5108	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0095	10.1182/bld.anderson-0094	Anderson	Blood	2013	Fig.1C	0.9967	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0096	10.1182/bld.anderson-0095	Anderson	Blood	2015	Fig.3A	0.5743	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0097	10.1038/nm.3867	Anderson	Cancer Cell	2009	Fig.3C	0.8085	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0098	10.1182/bld.anderson-0097	Anderson	Blood	2018	Fig.5B	0.6504	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0099	10.1182/bld.anderson-0098	Anderson	Blood	2003	Fig.1A	0.6703	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0100	10.1038/nm.3867	Anderson	Cancer Cell	2008	Fig.2C	0.4601	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0101	10.1182/bld.anderson-0100	Anderson	Blood	2009	Fig.2A	0.7744	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0102	10.1182/bld.anderson-0101	Anderson	Blood	2011	Fig.3B	0.9454	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0103	10.1038/nm.3867	Anderson	Cancer Cell	2020	Fig.6B	0.6803	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0104	10.1182/bld.anderson-0103	Anderson	Blood	2002	Fig.3B	0.5113	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0105	10.1182/bld.anderson-0104	Anderson	Blood	2004	Fig.2C	0.8601	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0106	10.1038/nm.3867	Anderson	Cancer Cell	2016	Fig.1A	0.5999	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0107	10.1182/bld.anderson-0106	Anderson	Blood	2013	Fig.4A	0.4664	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0108	10.1182/bld.anderson-0107	Anderson	Blood	2022	Fig.1C	0.589	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0109	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2016	Fig.5B	0.9264	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0110	10.1182/bld.anderson-0109	Anderson	Blood	2020	Fig.3B	0.8252	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0111	10.1182/bld.anderson-0110	Anderson	Blood	2010	Fig.4C	0.8601	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0112	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2021	Fig.6C	0.685	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0113	10.1182/bld.anderson-0112	Anderson	Blood	2010	Fig.5C	0.4908	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0114	10.1182/bld.anderson-0113	Anderson	Blood	2006	Fig.6A	0.5544	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0115	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2005	Fig.3A	0.9822	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0116	10.1182/bld.anderson-0115	Anderson	Blood	2019	Fig.3A	0.6583	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0117	10.1182/bld.anderson-0116	Anderson	Blood	2021	Fig.1A	0.7347	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0118	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2001	Fig.4A	0.7079	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0119	10.1182/bld.anderson-0118	Anderson	Blood	2000	Fig.4A	0.6819	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0120	10.1182/bld.anderson-0119	Anderson	Blood	2004	Fig.5C	0.8334	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #4
UPD2-0121	10.1038/nm.3867	Anderson	Cancer Cell	2016	Fig.6A	0.845	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0122	10.1182/bld.anderson-0121	Anderson	Blood	2010	Fig.3B	0.7382	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0123	10.1182/bld.anderson-0122	Anderson	Blood	2021	Fig.5B	0.5454	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0124	10.1038/nm.3867	Anderson	Cancer Cell	2020	Fig.5A	0.4995	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0125	10.1182/bld.anderson-0124	Anderson	Blood	2017	Fig.1C	0.6057	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0126	10.1182/bld.anderson-0125	Anderson	Blood	2005	Fig.6A	0.7131	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0127	10.1038/nm.3867	Anderson	Cancer Cell	2016	Fig.4A	0.7735	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0128	10.1182/bld.anderson-0127	Anderson	Blood	2018	Fig.2B	0.8401	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0129	10.1182/bld.anderson-0128	Anderson	Blood	2022	Fig.1A	0.789	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0130	10.1038/nm.3867	Anderson	Cancer Cell	2020	Fig.1B	0.9012	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0131	10.1182/bld.anderson-0130	Anderson	Blood	2010	Fig.4C	0.8117	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0132	10.1182/bld.anderson-0131	Anderson	Blood	2010	Fig.4A	0.8518	SIMILAR	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0133	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2014	Fig.6B	0.5154	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0134	10.1182/bld.anderson-0133	Anderson	Blood	2003	Fig.4C	0.9638	DUPLICATE	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0135	10.1182/bld.anderson-0134	Anderson	Blood	2022	Fig.3A	0.671	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0136	10.1016/j.ccr.2007.02.015	Anderson	Cancer Cell	2004	Fig.3A	0.6311	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
UPD2-0137	10.1182/bld.anderson-0136	Anderson	Blood	2000	Fig.1C	0.693	DISTINCT	ImageTwin_v2.2	Kenneth_C._Anderson	confirmed	Update2 Anderson deep analysis #5
