sample_id,contamination_pct,coverage_x,qc_status,flagged_by
SAMPLE-0081,3.23,82.6,PASS,fastqc
SAMPLE-0082,3.35,76.6,PASS,kraken2
SAMPLE-0083,0.82,33.8,PASS,kraken2
SAMPLE-0084,3.2,39.2,PASS,kraken2
SAMPLE-0085,3.54,69.2,PASS,kraken2
SAMPLE-0086,3.03,50.8,PASS,fastqc
SAMPLE-0087,1.74,69.9,PASS,fastqc
SAMPLE-0088,0.96,35.4,PASS,kraken2
SAMPLE-0089,7.41,77.0,FAIL,fastqc
SAMPLE-0090,1.91,73.7,PASS,fastqc
SAMPLE-0091,3.92,43.8,PASS,kraken2
SAMPLE-0092,3.91,86.6,PASS,fastqc
SAMPLE-0093,4.02,86.7,PASS,kraken2
SAMPLE-0094,3.82,53.0,PASS,fastqc
SAMPLE-0095,0.32,54.6,PASS,fastqc
SAMPLE-0096,0.86,91.2,PASS,kraken2
SAMPLE-0097,3.99,47.8,PASS,fastqc
SAMPLE-0098,2.15,32.8,PASS,fastqc
SAMPLE-0099,3.01,49.3,PASS,fastqc
SAMPLE-0100,1.67,83.5,PASS,fastqc
SAMPLE-0101,4.01,68.9,PASS,kraken2
SAMPLE-0102,3.43,29.2,PASS,kraken2
SAMPLE-0103,1.49,54.8,PASS,kraken2
SAMPLE-0104,4.43,43.3,PASS,kraken2
SAMPLE-0105,5.12,42.2,FAIL,kraken2
SAMPLE-0106,0.89,66.0,PASS,kraken2
SAMPLE-0107,2.81,29.9,PASS,fastqc
SAMPLE-0108,4.42,40.0,PASS,fastqc
SAMPLE-0109,6.03,45.1,FAIL,kraken2
SAMPLE-0110,2.17,28.2,PASS,kraken2
SAMPLE-0111,2.51,90.8,PASS,kraken2
SAMPLE-0112,0.46,67.4,PASS,fastqc
SAMPLE-0113,0.73,89.4,PASS,fastqc
SAMPLE-0114,2.51,43.6,PASS,kraken2
SAMPLE-0115,1.1,85.3,PASS,kraken2
SAMPLE-0116,1.07,81.6,PASS,fastqc
SAMPLE-0117,15.14,44.6,FAIL,kraken2
SAMPLE-0118,1.33,71.6,PASS,kraken2
SAMPLE-0119,2.52,86.3,PASS,kraken2
SAMPLE-0120,1.23,63.1,PASS,kraken2
SAMPLE-0121,2.12,63.1,PASS,fastqc
SAMPLE-0122,1.3,79.4,PASS,fastqc
SAMPLE-0123,1.01,81.2,PASS,fastqc
SAMPLE-0124,0.28,32.2,PASS,fastqc
SAMPLE-0125,0.34,47.6,PASS,fastqc
SAMPLE-0126,4.53,45.1,PASS,kraken2
SAMPLE-0127,1.52,76.6,PASS,fastqc
