complaint_id,date,model,lot,failure_mode,outcome,mdr_submitted
CMP-10079,2021-09-07,Nimbus-Flex,LOT-9803-2021,battery_failure,no_harm,Y
CMP-10080,2019-09-27,Nimbus-II-Flex,LOT-6370-2019,battery_failure,near_miss,Y
CMP-10081,2023-08-25,Nimbus-II-Plus,LOT-7677-2023,battery_failure,no_harm,Y
CMP-10082,2022-03-18,Nimbus-II-Plus,LOT-5625-2022,battery_failure,no_harm,N
CMP-10083,2023-03-10,Nimbus-II-EMS,LOT-3963-2023,battery_failure,no_harm,Y
CMP-10084,2024-10-07,Nimbus-Flex,LOT-3598-2024,battery_failure,no_harm,N
CMP-10085,2022-05-08,Nimbus-II-Flex,LOT-9682-2022,battery_failure,no_harm,N
CMP-10086,2024-07-10,Nimbus-II-EpiD,LOT-6252-2024,battery_failure,no_harm,Y
CMP-10087,2019-04-06,Nimbus-PainPro,LOT-7828-2019,battery_failure,no_harm,Y
CMP-10088,2019-09-12,Nimbus-II-EpiD,LOT-5463-2019,battery_failure,no_harm,Y
CMP-10089,2023-02-18,Nimbus-II-Flex,LOT-3861-2023,battery_failure,no_harm,Y
CMP-10090,2024-11-27,Nimbus-II-EpiD,LOT-8384-2024,battery_failure,serious_injury,Y
CMP-10091,2023-03-03,Nimbus-II-Plus,LOT-2631-2023,battery_failure,no_harm,N
CMP-10092,2019-11-12,Nimbus-II-Plus,LOT-1883-2019,battery_failure,no_harm,N
CMP-10093,2020-09-02,Nimbus-II-EpiD,LOT-2276-2020,battery_failure,no_harm,Y
CMP-10094,2022-06-23,Nimbus-II-EpiD,LOT-4174-2022,battery_failure,no_harm,N
CMP-10095,2021-11-05,Nimbus-II-Flex,LOT-7452-2021,battery_failure,no_harm,N
CMP-10096,2022-12-28,Nimbus-Admin,LOT-4262-2022,battery_failure,no_harm,N
CMP-10097,2019-10-26,Nimbus-II-EpiD,LOT-2072-2019,battery_failure,no_harm,Y
CMP-10098,2020-07-19,Nimbus-II-EpiD,LOT-8074-2020,battery_failure,no_harm,N
CMP-10099,2024-07-15,Nimbus-Flex,LOT-8383-2024,battery_failure,patient_discomfort,N
CMP-10100,2024-05-07,Nimbus-II-EpiD,LOT-8422-2024,battery_failure,patient_discomfort,Y
CMP-10101,2021-09-08,Nimbus-II-Flex,LOT-6583-2021,battery_failure,no_harm,Y
CMP-10102,2019-04-09,Nimbus-PainPro,LOT-3171-2019,battery_failure,no_harm,Y
CMP-10103,2019-07-07,Nimbus-PainPro,LOT-3083-2019,battery_failure,near_miss,Y
CMP-10104,2024-04-22,Nimbus-II-EpiD,LOT-7756-2024,battery_failure,no_harm,Y
CMP-10105,2023-05-16,Nimbus-Admin,LOT-9462-2023,battery_failure,near_miss,Y
CMP-10106,2021-02-16,Nimbus-Flex,LOT-3733-2021,battery_failure,no_harm,N
CMP-10107,2024-09-20,Nimbus-II-EpiD,LOT-1058-2024,battery_failure,no_harm,N
CMP-10108,2023-09-27,Nimbus-II-EpiD,LOT-7137-2023,battery_failure,near_miss,Y
CMP-10109,2023-10-02,Nimbus-Flex,LOT-2403-2023,battery_failure,near_miss,N
CMP-10110,2020-03-09,Nimbus-PainPro,LOT-5111-2020,battery_failure,near_miss,N
CMP-10111,2024-10-25,Nimbus-II-EMS,LOT-9684-2024,battery_failure,no_harm,N
CMP-10112,2021-05-20,Nimbus-II-EpiD,LOT-5524-2021,battery_failure,no_harm,Y
CMP-10113,2023-06-01,Nimbus-II-EMS,LOT-2718-2023,battery_failure,no_harm,Y
CMP-10114,2024-02-12,Nimbus-II-EpiD,LOT-7271-2024,battery_failure,patient_discomfort,Y
CMP-10115,2019-11-20,Nimbus-II-PainPRO,LOT-1337-2019,battery_failure,no_harm,N
CMP-10116,2024-02-05,Nimbus-II-PainPRO,LOT-9623-2024,battery_failure,no_harm,N
CMP-10117,2021-01-01,Nimbus-II-EMS,LOT-2094-2021,battery_failure,no_harm,Y
CMP-10118,2024-12-06,Nimbus-II-PainPRO,LOT-6566-2024,battery_failure,no_harm,Y
CMP-10119,2021-08-17,Nimbus-II-PainPRO,LOT-6650-2021,battery_failure,near_miss,Y
CMP-10120,2020-02-06,Nimbus-II-Plus,LOT-7309-2020,battery_failure,near_miss,Y
CMP-10121,2022-07-05,Nimbus-II-EMS,LOT-2130-2022,battery_failure,no_harm,Y
CMP-10122,2022-06-23,Nimbus-II-EpiD,LOT-2317-2022,battery_failure,near_miss,Y
CMP-10123,2019-11-06,Nimbus-II-Flex,LOT-7785-2019,battery_failure,near_miss,N
CMP-10124,2019-02-06,Nimbus-II-EpiD,LOT-4851-2019,battery_failure,near_miss,N
CMP-10125,2019-09-08,Nimbus-Flex,LOT-2598-2019,battery_failure,near_miss,Y
CMP-10126,2021-12-18,Nimbus-II-PainPRO,LOT-9609-2021,battery_failure,no_harm,Y
CMP-10127,2022-02-08,Nimbus-PainPro,LOT-2886-2022,battery_failure,serious_injury,Y
CMP-10128,2021-05-18,Nimbus-II-EpiD,LOT-5183-2021,battery_failure,no_harm,Y
CMP-10129,2021-06-18,Nimbus-II-Plus,LOT-8791-2021,battery_failure,no_harm,Y
CMP-10130,2019-09-03,Nimbus-II-EpiD,LOT-3693-2019,battery_failure,no_harm,N
CMP-10131,2023-07-15,Nimbus-II-EpiD,LOT-4725-2023,battery_failure,no_harm,N
CMP-10132,2019-10-06,Nimbus-PainPro,LOT-3324-2019,battery_failure,patient_discomfort,Y
CMP-10133,2020-01-09,Nimbus-Flex,LOT-5404-2020,battery_failure,no_harm,N
CMP-10134,2023-09-07,Nimbus-II-PainPRO,LOT-2433-2023,battery_failure,no_harm,Y
CMP-10135,2023-04-04,Nimbus-Flex,LOT-9802-2023,battery_failure,no_harm,N
CMP-10136,2019-07-05,Nimbus-Flex,LOT-3109-2019,battery_failure,no_harm,N
CMP-10137,2021-02-13,Nimbus-Flex,LOT-9986-2021,battery_failure,no_harm,Y
CMP-10138,2020-01-15,Nimbus-II-EpiD,LOT-7460-2020,battery_failure,near_miss,N
CMP-10139,2021-09-28,Nimbus-II-EMS,LOT-4530-2021,battery_failure,no_harm,Y
CMP-10140,2020-08-12,Nimbus-Admin,LOT-9863-2020,battery_failure,serious_injury,Y
CMP-10141,2022-12-05,Nimbus-PainPro,LOT-8633-2022,battery_failure,near_miss,N
CMP-10142,2023-07-20,Nimbus-Flex,LOT-1979-2023,battery_failure,serious_injury,Y
CMP-10143,2021-06-21,Nimbus-Admin,LOT-8656-2021,battery_failure,no_harm,N
CMP-10144,2022-03-26,Nimbus-PainPro,LOT-1967-2022,battery_failure,no_harm,N
CMP-10145,2022-06-27,Nimbus-II-PainPRO,LOT-7756-2022,battery_failure,no_harm,N
CMP-10146,2022-09-18,Nimbus-II-EpiD,LOT-6189-2022,battery_failure,no_harm,N
CMP-10147,2022-01-12,Nimbus-II-PainPRO,LOT-5202-2022,battery_failure,death,Y
CMP-10148,2024-11-12,Nimbus-II-PainPRO,LOT-4270-2024,battery_failure,no_harm,N
CMP-10149,2022-12-18,Nimbus-PainPro,LOT-3559-2022,battery_failure,no_harm,Y
CMP-10150,2022-09-27,Nimbus-PainPro,LOT-9485-2022,battery_failure,no_harm,Y
CMP-10151,2021-06-19,Nimbus-II-Plus,LOT-3363-2021,battery_failure,no_harm,Y
CMP-10152,2019-05-24,Nimbus-PainPro,LOT-4801-2019,battery_failure,no_harm,N
CMP-10153,2022-05-06,Nimbus-II-EMS,LOT-2784-2022,battery_failure,near_miss,Y
CMP-10154,2020-07-28,Nimbus-Admin,LOT-7482-2020,battery_failure,no_harm,N
CMP-10155,2022-01-18,Nimbus-PainPro,LOT-4096-2022,battery_failure,no_harm,N
CMP-10156,2021-02-13,Nimbus-II-Flex,LOT-5109-2021,battery_failure,no_harm,N
CMP-10157,2021-11-15,Nimbus-II-EpiD,LOT-1395-2021,battery_failure,no_harm,N
CMP-10158,2023-02-22,Nimbus-II-Flex,LOT-4223-2023,battery_failure,no_harm,Y
CMP-10159,2023-10-06,Nimbus-II-PainPRO,LOT-3467-2023,battery_failure,no_harm,Y
CMP-10160,2022-08-05,Nimbus-Flex,LOT-7109-2022,battery_failure,no_harm,Y
CMP-10161,2024-01-13,Nimbus-II-PainPRO,LOT-8059-2024,battery_failure,near_miss,N
CMP-10162,2022-09-22,Nimbus-II-Plus,LOT-3735-2022,battery_failure,no_harm,N
CMP-10163,2023-02-16,Nimbus-II-Plus,LOT-4612-2023,battery_failure,no_harm,N
CMP-10164,2023-11-18,Nimbus-II-EMS,LOT-5855-2023,battery_failure,no_harm,Y
CMP-10165,2023-08-17,Nimbus-II-Flex,LOT-1641-2023,battery_failure,no_harm,N
CMP-10166,2023-02-18,Nimbus-II-EMS,LOT-5649-2023,battery_failure,no_harm,N
CMP-10167,2021-09-14,Nimbus-II-EMS,LOT-4059-2021,battery_failure,no_harm,Y
CMP-10168,2022-07-01,Nimbus-II-EMS,LOT-2822-2022,battery_failure,near_miss,Y
CMP-10169,2022-07-14,Nimbus-II-EMS,LOT-9864-2022,battery_failure,no_harm,Y
CMP-10170,2021-08-07,Nimbus-II-Flex,LOT-8231-2021,battery_failure,near_miss,Y
CMP-10171,2020-12-02,Nimbus-II-EMS,LOT-5349-2020,battery_failure,no_harm,N
CMP-10172,2021-01-06,Nimbus-Admin,LOT-8047-2021,battery_failure,no_harm,N
CMP-10173,2022-03-27,Nimbus-Flex,LOT-2907-2022,battery_failure,no_harm,Y
CMP-10174,2023-11-05,Nimbus-PainPro,LOT-4692-2023,battery_failure,serious_injury,Y
CMP-10175,2020-10-28,Nimbus-II-Plus,LOT-6209-2020,battery_failure,serious_injury,Y
CMP-10176,2022-01-16,Nimbus-II-EpiD,LOT-8193-2022,battery_failure,no_harm,N
CMP-10177,2024-07-06,Nimbus-PainPro,LOT-7610-2024,battery_failure,no_harm,Y
CMP-10178,2021-12-12,Nimbus-Flex,LOT-9858-2021,battery_failure,no_harm,N
CMP-10179,2023-09-24,Nimbus-II-EMS,LOT-3993-2023,battery_failure,serious_injury,Y
CMP-10180,2024-05-15,Nimbus-II-EpiD,LOT-2826-2024,battery_failure,no_harm,N
CMP-10181,2021-09-07,Nimbus-II-PainPRO,LOT-4067-2021,battery_failure,no_harm,N
CMP-10182,2022-04-18,Nimbus-II-PainPRO,LOT-6958-2022,battery_failure,no_harm,N
CMP-10183,2020-12-07,Nimbus-II-Flex,LOT-2437-2020,battery_failure,no_harm,Y
CMP-10184,2021-03-02,Nimbus-II-PainPRO,LOT-7645-2021,battery_failure,no_harm,Y
CMP-10185,2022-06-12,Nimbus-II-EMS,LOT-6611-2022,battery_failure,no_harm,Y
CMP-10186,2020-02-03,Nimbus-II-Flex,LOT-9362-2020,battery_failure,no_harm,Y
CMP-10187,2022-05-24,Nimbus-Flex,LOT-9794-2022,battery_failure,no_harm,Y
CMP-10188,2024-05-07,Nimbus-Admin,LOT-7022-2024,battery_failure,no_harm,Y
CMP-10189,2022-12-16,Nimbus-II-Plus,LOT-9552-2022,battery_failure,patient_discomfort,Y
CMP-10190,2021-07-17,Nimbus-II-Plus,LOT-8418-2021,battery_failure,patient_discomfort,N
CMP-10191,2020-10-03,Nimbus-PainPro,LOT-5486-2020,battery_failure,no_harm,N
CMP-10192,2021-10-15,Nimbus-II-EpiD,LOT-3737-2021,battery_failure,patient_discomfort,Y
CMP-10193,2022-12-28,Nimbus-Admin,LOT-5010-2022,battery_failure,no_harm,Y
CMP-10194,2021-05-26,Nimbus-II-EMS,LOT-4623-2021,battery_failure,near_miss,Y
CMP-10195,2020-09-11,Nimbus-II-EMS,LOT-9872-2020,battery_failure,no_harm,N
CMP-10196,2022-12-05,Nimbus-II-PainPRO,LOT-6393-2022,battery_failure,near_miss,N
CMP-10197,2022-05-13,Nimbus-II-Plus,LOT-3981-2022,battery_failure,no_harm,Y
CMP-10198,2024-11-10,Nimbus-II-Flex,LOT-2520-2024,battery_failure,no_harm,N
CMP-10199,2022-02-16,Nimbus-II-Flex,LOT-5063-2022,battery_failure,no_harm,Y
CMP-10200,2022-11-05,Nimbus-II-Plus,LOT-6240-2022,battery_failure,no_harm,N
CMP-10201,2021-08-19,Nimbus-II-PainPRO,LOT-3877-2021,battery_failure,near_miss,N
CMP-10202,2022-03-21,Nimbus-II-Flex,LOT-5795-2022,battery_failure,no_harm,Y
CMP-10203,2020-10-24,Nimbus-II-EpiD,LOT-4731-2020,battery_failure,no_harm,Y
CMP-10204,2023-11-16,Nimbus-II-Plus,LOT-1260-2023,battery_failure,no_harm,Y
CMP-10205,2024-09-17,Nimbus-II-PainPRO,LOT-8419-2024,battery_failure,patient_discomfort,N
CMP-10206,2020-09-28,Nimbus-II-EpiD,LOT-7855-2020,battery_failure,near_miss,N
CMP-10207,2024-05-28,Nimbus-II-PainPRO,LOT-1674-2024,battery_failure,patient_discomfort,Y
CMP-10208,2020-10-18,Nimbus-Admin,LOT-2031-2020,battery_failure,near_miss,N
CMP-10209,2022-06-03,Nimbus-II-EMS,LOT-8129-2022,battery_failure,no_harm,Y
CMP-10210,2020-08-19,Nimbus-PainPro,LOT-6458-2020,battery_failure,no_harm,Y
CMP-10211,2024-08-07,Nimbus-Flex,LOT-1339-2024,battery_failure,no_harm,Y
CMP-10212,2021-12-15,Nimbus-Flex,LOT-1277-2021,battery_failure,no_harm,N
CMP-10213,2020-09-10,Nimbus-II-EMS,LOT-1223-2020,battery_failure,no_harm,N
CMP-10214,2020-12-22,Nimbus-II-Flex,LOT-4737-2020,battery_failure,no_harm,Y
CMP-10215,2022-07-28,Nimbus-II-Flex,LOT-3542-2022,battery_failure,patient_discomfort,N
CMP-10216,2019-01-02,Nimbus-PainPro,LOT-2268-2019,battery_failure,no_harm,Y
CMP-10217,2021-04-06,Nimbus-II-EMS,LOT-3540-2021,battery_failure,no_harm,N
CMP-10218,2021-03-20,Nimbus-Admin,LOT-7215-2021,battery_failure,no_harm,Y
CMP-10219,2022-03-23,Nimbus-Flex,LOT-8015-2022,battery_failure,patient_discomfort,N
CMP-10220,2024-04-11,Nimbus-II-EpiD,LOT-9911-2024,battery_failure,serious_injury,Y
CMP-10221,2019-03-10,Nimbus-II-EMS,LOT-4574-2019,battery_failure,no_harm,N
CMP-10222,2020-09-25,Nimbus-II-PainPRO,LOT-6653-2020,battery_failure,near_miss,N
CMP-10223,2021-02-25,Nimbus-PainPro,LOT-6243-2021,battery_failure,near_miss,N
CMP-10224,2020-09-16,Nimbus-Admin,LOT-5703-2020,battery_failure,no_harm,N
CMP-10225,2022-03-10,Nimbus-II-EMS,LOT-8775-2022,battery_failure,no_harm,Y
CMP-10226,2021-02-04,Nimbus-Admin,LOT-4250-2021,battery_failure,no_harm,Y
CMP-10227,2024-12-10,Nimbus-PainPro,LOT-5049-2024,battery_failure,near_miss,Y
CMP-10228,2020-01-11,Nimbus-II-EMS,LOT-5711-2020,battery_failure,no_harm,Y
CMP-10229,2020-07-02,Nimbus-II-EpiD,LOT-3396-2020,battery_failure,patient_discomfort,Y
CMP-10230,2019-08-24,Nimbus-II-Plus,LOT-6795-2019,battery_failure,no_harm,N
CMP-10231,2022-03-12,Nimbus-Admin,LOT-5705-2022,battery_failure,no_harm,Y
CMP-10232,2023-09-23,Nimbus-PainPro,LOT-5020-2023,battery_failure,no_harm,Y
CMP-10233,2023-11-23,Nimbus-PainPro,LOT-8066-2023,battery_failure,near_miss,N
CMP-10234,2019-06-08,Nimbus-II-EpiD,LOT-1713-2019,battery_failure,no_harm,N
CMP-10235,2023-09-04,Nimbus-II-EpiD,LOT-1451-2023,battery_failure,patient_discomfort,N
CMP-10236,2021-06-05,Nimbus-II-Plus,LOT-2631-2021,battery_failure,no_harm,Y
CMP-10237,2020-02-18,Nimbus-II-Flex,LOT-8908-2020,battery_failure,no_harm,Y
CMP-10238,2020-03-22,Nimbus-Admin,LOT-8343-2020,battery_failure,no_harm,N
CMP-10239,2019-12-09,Nimbus-II-PainPRO,LOT-4032-2019,battery_failure,no_harm,N
CMP-10240,2023-05-03,Nimbus-Admin,LOT-2155-2023,battery_failure,death,Y
CMP-10241,2023-04-01,Nimbus-PainPro,LOT-9720-2023,battery_failure,no_harm,Y
CMP-10242,2023-11-28,Nimbus-II-Flex,LOT-3190-2023,battery_failure,no_harm,Y
CMP-10243,2019-07-16,Nimbus-II-EMS,LOT-3851-2019,battery_failure,no_harm,N
CMP-10244,2021-08-05,Nimbus-II-PainPRO,LOT-2456-2021,battery_failure,near_miss,Y
CMP-10245,2021-04-16,Nimbus-II-Flex,LOT-1343-2021,battery_failure,no_harm,Y
CMP-10246,2022-11-05,Nimbus-II-EMS,LOT-6335-2022,battery_failure,near_miss,Y
CMP-10247,2023-07-05,Nimbus-II-EpiD,LOT-6445-2023,battery_failure,patient_discomfort,N
CMP-10248,2021-12-20,Nimbus-II-Plus,LOT-2833-2021,battery_failure,serious_injury,Y
CMP-10249,2021-01-13,Nimbus-II-Plus,LOT-7283-2021,battery_failure,no_harm,N
CMP-10250,2019-07-04,Nimbus-Flex,LOT-5745-2019,battery_failure,near_miss,Y
CMP-10251,2023-06-12,Nimbus-II-PainPRO,LOT-1114-2023,battery_failure,no_harm,N
CMP-10252,2019-11-14,Nimbus-II-Plus,LOT-5345-2019,battery_failure,no_harm,Y
CMP-10253,2019-03-14,Nimbus-II-EpiD,LOT-6886-2019,battery_failure,no_harm,Y
CMP-10254,2023-09-21,Nimbus-II-PainPRO,LOT-8442-2023,battery_failure,patient_discomfort,N
CMP-10255,2021-03-03,Nimbus-Admin,LOT-9919-2021,battery_failure,no_harm,Y
CMP-10256,2022-01-05,Nimbus-Admin,LOT-9053-2022,battery_failure,no_harm,N
CMP-10257,2023-10-15,Nimbus-II-EMS,LOT-1079-2023,battery_failure,no_harm,N
CMP-10258,2021-04-15,Nimbus-PainPro,LOT-3068-2021,battery_failure,serious_injury,Y
CMP-10259,2020-12-15,Nimbus-II-PainPRO,LOT-1015-2020,battery_failure,no_harm,Y
CMP-10260,2019-09-04,Nimbus-II-Flex,LOT-2784-2019,battery_failure,serious_injury,Y
CMP-10261,2024-11-14,Nimbus-Admin,LOT-7589-2024,battery_failure,no_harm,Y
CMP-10262,2020-05-13,Nimbus-II-PainPRO,LOT-5526-2020,battery_failure,no_harm,Y
CMP-10263,2024-12-23,Nimbus-PainPro,LOT-9198-2024,battery_failure,no_harm,Y
CMP-10264,2024-02-14,Nimbus-II-EpiD,LOT-1079-2024,battery_failure,no_harm,N
CMP-10265,2021-11-03,Nimbus-II-Plus,LOT-5744-2021,battery_failure,near_miss,N
CMP-10266,2022-04-25,Nimbus-PainPro,LOT-4901-2022,battery_failure,no_harm,Y
CMP-10267,2021-05-10,Nimbus-II-Flex,LOT-8436-2021,battery_failure,serious_injury,Y
CMP-10268,2021-11-20,Nimbus-II-EMS,LOT-4929-2021,battery_failure,near_miss,Y
CMP-10269,2023-09-16,Nimbus-Flex,LOT-5683-2023,battery_failure,no_harm,Y
CMP-10270,2022-09-06,Nimbus-II-EpiD,LOT-4702-2022,battery_failure,no_harm,Y
CMP-10271,2021-06-24,Nimbus-II-PainPRO,LOT-5912-2021,battery_failure,no_harm,Y
CMP-10272,2022-12-13,Nimbus-II-EpiD,LOT-9404-2022,battery_failure,near_miss,N
CMP-10273,2020-09-05,Nimbus-PainPro,LOT-5514-2020,battery_failure,near_miss,Y
CMP-10274,2019-06-02,Nimbus-II-Plus,LOT-4881-2019,battery_failure,near_miss,N
CMP-10275,2022-01-14,Nimbus-Admin,LOT-4915-2022,battery_failure,no_harm,N
CMP-10276,2022-03-09,Nimbus-II-EMS,LOT-4896-2022,battery_failure,no_harm,Y
CMP-10277,2019-01-25,Nimbus-PainPro,LOT-9234-2019,battery_failure,no_harm,Y
CMP-10278,2024-05-09,Nimbus-II-EpiD,LOT-8411-2024,battery_failure,near_miss,Y
CMP-10279,2021-05-08,Nimbus-PainPro,LOT-2845-2021,battery_failure,no_harm,N
CMP-10280,2023-04-10,Nimbus-II-EMS,LOT-9205-2023,battery_failure,no_harm,N
