doi,journal,year,lead_author,issue_type,researcher_group,flagged_by
10.1126/sci.8254821,Nature,2011,Glimcher et al.,image_duplication,Ghobrial,Sholto_David
10.1126/sci.8642750,Blood,2005,Munshi et al.,image_duplication,Hahn,Sholto_David
10.1002/jco.9531940,Nature Medicine,2011,Carrasco et al.,image_duplication,Anderson,Sholto_David
10.1038/nm.7417119,Science,2004,Ghobrial et al.,western_blot_manipulation,Glimcher,Sholto_David
10.1016/j.ccr.9324261,Experimental Hematology,2022,Mitsiades et al.,western_blot_manipulation,Ghobrial,Sholto_David
10.1016/j.ccr.5830946,Science,2020,Carrasco et al.,western_blot_manipulation,Ghobrial,Sholto_David
10.1038/nm.2683223,Cell,2015,Anderson et al.,image_duplication,Anderson,Sholto_David
10.1038/nm.0724575,Experimental Hematology,2011,Richardson et al.,image_duplication,Glimcher,Sholto_David
10.1016/j.ccr.2675875,Nature Medicine,2007,Hahn et al.,mouse_figure_fabrication,Hahn,Sholto_David
10.1182/bld.7590216,Experimental Hematology,2012,Carrasco et al.,image_duplication,Glimcher,Sholto_David
10.1002/jco.7388358,Molecular Cell,2013,Carrasco et al.,image_duplication,Ghobrial,Sholto_David
10.1038/nm.3873454,Journal of Clinical Oncology,1999,Anderson et al.,western_blot_manipulation,Ghobrial,Sholto_David
10.1016/j.ccr.2050955,Cell,2009,Ghobrial et al.,mouse_figure_fabrication,Anderson,Sholto_David
10.1016/j.ccr.2174606,Cancer Cell,1999,Ghobrial et al.,western_blot_manipulation,Ghobrial,Sholto_David
10.1038/nm.5631597,Science,2012,Anderson et al.,western_blot_manipulation,Anderson,Sholto_David
10.1002/jco.1867677,Experimental Hematology,2002,Glimcher et al.,western_blot_manipulation,Anderson,Sholto_David
10.1182/bld.8141585,Nature,2018,Mitsiades et al.,image_duplication,Anderson,Sholto_David
10.1126/sci.6684103,Science,2018,Munshi et al.,western_blot_manipulation,Hahn,Sholto_David
10.1016/j.ccr.0401523,Cancer Cell,1998,Carrasco et al.,image_duplication,Hahn,Sholto_David
10.1038/nm.5185821,Oncogene,2006,Carrasco et al.,western_blot_manipulation,Anderson,Sholto_David
10.1182/blood.3025480,Cancer Cell,2017,Glimcher et al.,image_duplication,Anderson,Sholto_David
10.1002/jco.3519171,Blood,2002,Hahn et al.,image_duplication,Glimcher,Sholto_David
10.1126/sci.7333769,Cell,2003,Hahn et al.,western_blot_manipulation,Anderson,Sholto_David
10.1002/jco.2353270,Experimental Hematology,2006,Ghobrial et al.,mouse_figure_fabrication,Anderson,Sholto_David
10.1002/jco.6626679,Molecular Cell,2005,Hahn et al.,mouse_figure_fabrication,Ghobrial,Sholto_David
10.1126/sci.5151571,Oncogene,2002,Glimcher et al.,western_blot_manipulation,Hahn,Sholto_David
10.1002/jco.9967996,Molecular Cell,2001,Richardson et al.,image_duplication,Ghobrial,Sholto_David
10.1182/bld.9832396,Nature,2008,Richardson et al.,image_duplication,Glimcher,Sholto_David
10.1182/blood.2943399,Oncogene,2021,Richardson et al.,image_duplication,Glimcher,Sholto_David
10.1016/j.ccr.8450937,Cell,2019,Carrasco et al.,image_duplication,Anderson,Sholto_David
