asset_tag,device_category,serial_number,hospital,acquisition_year,condition_rating
ARCH2024-0088,Cardiac Monitor,GEN-N3G8TR,Hosp-A,2021,Good
ARCH2024-0089,Ventilator,GEN-3FLP2B,Hosp-B,2016,Fair
ARCH2024-0090,Ventilator,GEN-IZ4I68,Hosp-A,2019,Good
ARCH2024-0091,Cardiac Monitor,GEN-RZBYTB,Hosp-A,2018,Fair
ARCH2024-0092,Cardiac Monitor,GEN-WZ57KE,Hosp-A,2014,Fair
ARCH2024-0093,Echocardiograph,GEN-1Q71CD,Hosp-A,2018,Fair
ARCH2024-0094,Echocardiograph,GEN-W3TQVO,Hosp-A,2023,Poor
ARCH2024-0095,Infusion Pump,GEN-R113J1,Hosp-B,2020,Good
ARCH2024-0096,Cardiac Monitor,GEN-8Q1DHP,Hosp-A,2016,Good
ARCH2024-0097,EP Recording System,GEN-15084H,Hosp-A,2020,Poor
ARCH2024-0098,Echocardiograph,GEN-0MA9BB,Hosp-B,2016,Poor
ARCH2024-0099,Defibrillator,GEN-KF8HCD,Hosp-A,2018,Poor
ARCH2024-0100,Defibrillator,GEN-ARHDJG,Hosp-B,2021,Fair
ARCH2024-0101,EP Recording System,GEN-5T0Y5X,Hosp-B,2018,Good
ARCH2024-0102,EP Recording System,GEN-R3U4ZX,Hosp-B,2016,Poor
ARCH2024-0103,Infusion Pump,GEN-2P94IZ,Hosp-A,2017,Poor
ARCH2024-0104,Cardiac Monitor,GEN-OM7P6W,Hosp-B,2014,Poor
ARCH2024-0105,Ventilator,GEN-7PK5XQ,Hosp-B,2021,Fair
ARCH2024-0106,EP Recording System,GEN-BSNG5P,Hosp-B,2014,Good
ARCH2024-0107,EP Recording System,GEN-385KKJ,Hosp-A,2020,Good
ARCH2024-0108,Cardiac Monitor,GEN-07EFLC,Hosp-A,2020,Fair
ARCH2024-0109,Defibrillator,GEN-B2KM01,Hosp-A,2021,Poor
ARCH2024-0110,Infusion Pump,GEN-ATZICR,Hosp-A,2021,Poor
ARCH2024-0111,Ventilator,GEN-GYKE4S,Hosp-B,2019,Good
ARCH2024-0112,Infusion Pump,GEN-P9879W,Hosp-A,2019,Fair
ARCH2024-0113,Ventilator,GEN-L8D2AB,Hosp-B,2017,Poor
ARCH2024-0114,Ventilator,GEN-0M7IFK,Hosp-A,2023,Poor
ARCH2024-0115,Ventilator,GEN-GSRBST,Hosp-B,2018,Good
ARCH2024-0116,Defibrillator,GEN-WXIZH1,Hosp-B,2018,Poor
ARCH2024-0117,Ventilator,GEN-0TFB05,Hosp-A,2021,Good
ARCH2024-0118,Infusion Pump,GEN-Q8LE42,Hosp-A,2019,Fair
ARCH2024-0119,EP Recording System,GEN-J4EX57,Hosp-A,2021,Good
ARCH2024-0120,Ventilator,GEN-YQXO18,Hosp-A,2019,Good
ARCH2024-0121,Defibrillator,GEN-TB2TMC,Hosp-B,2015,Fair
ARCH2024-0122,Ventilator,GEN-1Z7TSS,Hosp-B,2019,Poor
ARCH2024-0123,Defibrillator,GEN-1MCC32,Hosp-A,2020,Good
ARCH2024-0124,EP Recording System,GEN-JU5J0Y,Hosp-B,2014,Fair
ARCH2024-0125,Ventilator,GEN-GV73LS,Hosp-B,2019,Good
ARCH2024-0126,Infusion Pump,GEN-SGSD2J,Hosp-A,2019,Good
ARCH2024-0127,Ventilator,GEN-NMJ1B3,Hosp-B,2015,Fair
ARCH2024-0128,Ventilator,GEN-OZ8KCE,Hosp-B,2017,Poor
ARCH2024-0129,Echocardiograph,GEN-NSXRC3,Hosp-A,2023,Poor
ARCH2024-0130,Echocardiograph,GEN-51PY9S,Hosp-A,2014,Good
ARCH2024-0131,Cardiac Monitor,GEN-WHK407,Hosp-B,2015,Good
ARCH2024-0132,Ventilator,GEN-MYDT49,Hosp-B,2017,Poor
ARCH2024-0133,EP Recording System,GEN-EZFQM1,Hosp-A,2014,Fair
ARCH2024-0134,Ventilator,GEN-VX05C0,Hosp-B,2016,Poor
ARCH2024-0135,Echocardiograph,GEN-0BWJCR,Hosp-B,2018,Poor
ARCH2024-0136,Cardiac Monitor,GEN-XNUGYF,Hosp-B,2016,Poor
ARCH2024-0137,Cardiac Monitor,GEN-8I5MSS,Hosp-B,2017,Poor
ARCH2024-0138,Cardiac Monitor,GEN-OID77V,Hosp-B,2019,Poor
ARCH2024-0139,Ventilator,GEN-M7573R,Hosp-B,2019,Good
ARCH2024-0140,Defibrillator,GEN-B3THO1,Hosp-B,2018,Good
ARCH2024-0141,Defibrillator,GEN-V887PP,Hosp-A,2023,Good
ARCH2024-0142,Echocardiograph,GEN-0OQG8S,Hosp-A,2015,Poor
ARCH2024-0143,Cardiac Monitor,GEN-77VKJ1,Hosp-B,2021,Good
ARCH2024-0144,Cardiac Monitor,GEN-9U9APB,Hosp-B,2022,Good
ARCH2024-0145,Infusion Pump,GEN-XO7L4M,Hosp-B,2023,Fair
ARCH2024-0146,Infusion Pump,GEN-U2H52O,Hosp-B,2018,Good
ARCH2024-0147,Defibrillator,GEN-BB2F5M,Hosp-B,2016,Poor
ARCH2024-0148,Ventilator,GEN-QC65R2,Hosp-A,2018,Fair
ARCH2024-0149,Cardiac Monitor,GEN-M2KXO7,Hosp-B,2023,Fair
ARCH2024-0150,Echocardiograph,GEN-T7BAF8,Hosp-B,2016,Fair
ARCH2024-0151,Ventilator,GEN-1RIKQP,Hosp-B,2020,Good
ARCH2024-0152,Defibrillator,GEN-2WZUZ1,Hosp-A,2016,Fair
ARCH2024-0153,Infusion Pump,GEN-349YT8,Hosp-B,2020,Good
ARCH2024-0154,Echocardiograph,GEN-7BH151,Hosp-B,2017,Fair
ARCH2024-0155,Ventilator,GEN-CUEVNT,Hosp-B,2021,Good
ARCH2024-0156,Echocardiograph,GEN-RNZGM1,Hosp-A,2017,Good
ARCH2024-0157,Ventilator,GEN-1QRJNE,Hosp-A,2017,Good
ARCH2024-0158,Defibrillator,GEN-9YLFG0,Hosp-B,2022,Good
ARCH2024-0159,Echocardiograph,GEN-UUQ91B,Hosp-A,2014,Fair
ARCH2024-0160,Defibrillator,GEN-B0B5MQ,Hosp-B,2023,Poor
ARCH2024-0161,Ventilator,GEN-AROQZT,Hosp-A,2014,Poor
ARCH2024-0162,Echocardiograph,GEN-M6ZRAE,Hosp-A,2017,Fair
ARCH2024-0163,Defibrillator,GEN-CQTPGU,Hosp-A,2022,Poor
ARCH2024-0164,Ventilator,GEN-Q2AIYR,Hosp-B,2018,Good
ARCH2024-0165,EP Recording System,GEN-HM0WZQ,Hosp-A,2016,Fair
ARCH2024-0166,Cardiac Monitor,GEN-UPQSR5,Hosp-A,2016,Good
ARCH2024-0167,Infusion Pump,GEN-LKMLWV,Hosp-A,2018,Fair
ARCH2024-0168,Defibrillator,GEN-XO5T86,Hosp-B,2018,Fair
ARCH2024-0169,Echocardiograph,GEN-Q346L0,Hosp-B,2022,Fair
ARCH2024-0170,Infusion Pump,GEN-SA7ZDW,Hosp-B,2017,Fair
ARCH2024-0171,Infusion Pump,GEN-X58UWL,Hosp-A,2020,Good
ARCH2024-0172,Cardiac Monitor,GEN-SZ3Z4I,Hosp-B,2020,Poor
ARCH2024-0173,EP Recording System,GEN-UOIL1V,Hosp-A,2016,Fair
ARCH2024-0174,Defibrillator,GEN-DHFSIH,Hosp-B,2015,Poor
ARCH2024-0175,Ventilator,GEN-BPLMGI,Hosp-A,2023,Good
ARCH2024-0176,EP Recording System,GEN-4DSK20,Hosp-B,2017,Good
ARCH2024-0177,Defibrillator,GEN-31C570,Hosp-B,2014,Good
ARCH2024-0178,Cardiac Monitor,GEN-RV2AC8,Hosp-A,2022,Poor
ARCH2024-0179,Echocardiograph,GEN-5WOL11,Hosp-A,2014,Poor
ARCH2024-0180,EP Recording System,GEN-6WGFFR,Hosp-A,2015,Good
ARCH2024-0181,Echocardiograph,GEN-IV6S09,Hosp-B,2014,Good
ARCH2024-0182,Infusion Pump,GEN-9MVUZY,Hosp-A,2019,Poor
ARCH2024-0183,EP Recording System,GEN-XY6VAO,Hosp-B,2015,Good
ARCH2024-0184,Infusion Pump,GEN-7J3T9P,Hosp-A,2021,Poor
ARCH2024-0185,Defibrillator,GEN-E7AKVR,Hosp-A,2018,Good
ARCH2024-0186,Cardiac Monitor,GEN-QPSCFU,Hosp-A,2019,Poor
ARCH2024-0187,Infusion Pump,GEN-QYMZX7,Hosp-A,2021,Good
ARCH2024-0188,Ventilator,GEN-WS0YUF,Hosp-A,2020,Poor
ARCH2024-0189,Infusion Pump,GEN-W1L9S7,Hosp-B,2014,Good
ARCH2024-0190,Defibrillator,GEN-U0IXZ3,Hosp-B,2019,Poor
ARCH2024-0191,EP Recording System,GEN-QDEAZ3,Hosp-A,2017,Good
ARCH2024-0192,EP Recording System,GEN-V9QC32,Hosp-A,2018,Poor
ARCH2024-0193,EP Recording System,GEN-XGVIVC,Hosp-A,2019,Fair
ARCH2024-0194,Infusion Pump,GEN-PT5GU7,Hosp-A,2019,Poor
ARCH2024-0195,Defibrillator,GEN-MXCGQG,Hosp-B,2016,Poor
ARCH2024-0196,Defibrillator,GEN-EMZ7MX,Hosp-A,2016,Good
ARCH2024-0197,Defibrillator,GEN-QI7K5K,Hosp-B,2017,Good
ARCH2024-0198,Cardiac Monitor,GEN-U581QY,Hosp-A,2016,Good
ARCH2024-0199,Infusion Pump,GEN-BCAAZM,Hosp-A,2017,Good
ARCH2024-0200,EP Recording System,GEN-0MHGYQ,Hosp-A,2022,Good
