order_id,symbol,side,quantity,expected_settlement_utc,actual_settlement_utc,closing_price_usd,vwap_usd,price_diff_usd,price_diff_vwap_usd
AROS-020241103041,ES,SELL,49,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5150.96,5160.13,-269.07,-156.67
AROS-020241103042,RTY,SELL,18,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4764.18,4760.13,206.04,144.45
AROS-020241103043,NQ,SELL,40,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4779.8,4774.84,-38.88,226.62
AROS-020241103044,RTY,SELL,20,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5356.94,5349.92,-464.26,28.42
AROS-020241103045,ES,BUY,19,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4942.81,4942.22,-30.41,335.76
AROS-020241103046,RTY,BUY,28,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4995.18,5003.55,-387.69,365.31
AROS-020241103047,RTY,SELL,46,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4723.95,4715.9,143.82,409.49
AROS-020241103048,RTY,SELL,17,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5473.0,5475.55,180.83,145.24
AROS-020241103049,YM,SELL,1,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5720.92,5714.94,230.45,368.06
AROS-020241103050,YM,BUY,35,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5564.46,5557.88,-23.05,416.32
AROS-020241103051,YM,SELL,4,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5343.8,5348.59,129.61,-361.78
AROS-020241103052,YM,SELL,8,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5645.79,5655.21,-272.31,277.7
AROS-020241103053,YM,SELL,25,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5312.52,5306.34,-417.3,-251.82
AROS-020241103054,NQ,BUY,30,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5138.85,5138.36,374.9,44.83
AROS-020241103055,NQ,SELL,48,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4701.11,4691.8,-349.31,186.24
AROS-020241103056,YM,BUY,39,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5315.73,5307.94,-484.77,92.77
AROS-020241103057,ES,SELL,29,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4802.47,4797.52,278.53,220.81
AROS-020241103058,RTY,BUY,13,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4867.31,4861.83,320.07,346.95
AROS-020241103059,YM,BUY,14,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4730.7,4739.23,177.34,287.46
AROS-020241103060,NQ,SELL,1,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4960.39,4964.42,-327.56,-263.36
AROS-020241103061,RTY,SELL,23,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4987.03,4985.02,-391.8,358.25
AROS-020241103062,RTY,SELL,10,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4813.02,4815.6,-261.71,-122.65
AROS-020241103063,ES,SELL,42,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4849.48,4842.11,-369.08,118.48
AROS-020241103064,NQ,BUY,12,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5125.46,5118.42,38.02,405.65
AROS-020241103065,RTY,BUY,21,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5772.39,5770.43,-148.78,232.81
AROS-020241103066,YM,BUY,24,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5218.64,5213.6,-5.57,456.99
AROS-020241103067,NQ,BUY,3,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4799.59,4808.37,434.95,-431.79
AROS-020241103068,ES,SELL,10,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5064.51,5059.25,-474.35,-400.29
AROS-020241103069,RTY,SELL,8,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4952.77,4948.98,-477.03,-159.44
AROS-020241103070,YM,BUY,30,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5704.22,5707.95,346.24,446.36
AROS-020241103071,NQ,BUY,7,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5737.54,5740.19,-421.94,361.61
AROS-020241103072,YM,SELL,10,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4963.23,4964.04,348.97,139.08
AROS-020241103073,RTY,BUY,33,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5372.91,5365.81,32.58,-262.08
AROS-020241103074,RTY,BUY,3,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5274.6,5267.96,75.06,75.96
AROS-020241103075,RTY,BUY,11,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5701.77,5706.26,118.56,-282.7
AROS-020241103076,NQ,BUY,13,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5219.45,5211.23,416.96,475.73
AROS-020241103077,RTY,SELL,7,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5570.11,5561.64,-79.17,-90.91
AROS-020241103078,ES,BUY,40,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4927.67,4937.04,208.88,182.18
AROS-020241103079,YM,SELL,28,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4785.54,4783.13,-377.15,143.52
AROS-020241103080,ES,SELL,30,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5217.91,5214.15,-439.17,89.88
AROS-020241103081,YM,SELL,18,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4699.76,4707.42,-440.4,156.71
AROS-020241103082,RTY,BUY,25,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5018.29,5023.66,81.24,-216.45
AROS-020241103083,YM,SELL,16,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5593.42,5598.86,-447.32,456.8
AROS-020241103084,RTY,BUY,39,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5759.02,5763.04,-406.42,457.95
AROS-020241103085,ES,SELL,46,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,4575.37,4566.99,339.85,-110.79
AROS-020241103086,RTY,BUY,22,2024-11-04T21:00:00Z,2024-11-04T22:00:00Z,5278.24,5271.73,333.19,-449.86

# Detail record 0000: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0001: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0002: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0003: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0004: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0005: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0006: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0007: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0008: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0009: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0010: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0011: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0012: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0013: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0014: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0015: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0016: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0017: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0018: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0019: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0020: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0021: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0022: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0023: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0024: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0025: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0026: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0027: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0028: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0029: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0030: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0031: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0032: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0033: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0034: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0035: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0036: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0037: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0038: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0039: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0040: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0041: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0042: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0043: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0044: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0045: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0046: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0047: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0048: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0049: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0050: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0051: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0052: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0053: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0054: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0055: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0056: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0057: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0058: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0059: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0060: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0061: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0062: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0063: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0064: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0065: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0066: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0067: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0068: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0069: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0070: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0071: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0072: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0073: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0074: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0075: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0076: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0077: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0078: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0079: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0080: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0081: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0082: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0083: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0084: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0085: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0086: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0087: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0088: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0089: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0090: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0091: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0092: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0093: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0094: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0095: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0096: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0097: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0098: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0099: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0100: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0101: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0102: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0103: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0104: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0105: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0106: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0107: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0108: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0109: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0110: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0111: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0112: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0113: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0114: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0115: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0116: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0117: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0118: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0119: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0120: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0121: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0122: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0123: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0124: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0125: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0126: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0127: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0128: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0129: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0130: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0131: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0132: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0133: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0134: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0135: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0136: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0137: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0138: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0139: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0140: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0141: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0142: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0143: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0144: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0145: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0146: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0147: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0148: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0149: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0150: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0151: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0152: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0153: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0154: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0155: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0156: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0157: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0158: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0159: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0160: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0161: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0162: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0163: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0164: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0165: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0166: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0167: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0168: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0169: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0170: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0171: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0172: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0173: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0174: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0175: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0176: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0177: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0178: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0179: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0180: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0181: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0182: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0183: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0184: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0185: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0186: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0187: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0188: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0189: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0190: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0191: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0192: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0193: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0194: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0195: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0196: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0197: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0198: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0199: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0200: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0201: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0202: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0203: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0204: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0205: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0206: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0207: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0208: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0209: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0210: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0211: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0212: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0213: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0214: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0215: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0216: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0217: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0218: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0219: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0220: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0221: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0222: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0223: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0224: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0225: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0226: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0227: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0228: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0229: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0230: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0231: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0232: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0233: full audit trail entry for SEC submission — ArtemisQ Capital
# Detail record 0234: full audit trail entry for SEC submission — ArtemisQ Capital
