date,variant,users,bot_flagged,paid_conversion_rate,revenue_per_visitor,plan_selection_distribution,time_on_pricing_page,support_chat_initiated,free_trial_signups,page_scroll_depth,cta_click_rate,avg_revenue_per_conversion
2023-09-22,v2_social_proof,271,1,0.0515,1.1381,0.4675,71.1,0.072,0.0944,0.5596,0.171,94.89
2023-09-23,control,270,32,0.0445,0.9585,0.5954,89.4,0.0599,0.08,0.7263,0.1944,87.65
2023-09-23,v1_simplified,270,0,0.0461,0.9514,0.4528,62.2,0.0763,0.1064,0.5557,0.1898,68.59
2023-09-23,v2_social_proof,261,1,0.0491,1.6121,0.4757,58.3,0.0457,0.0932,0.7572,0.1521,75.46
2023-09-24,control,266,31,0.0412,1.287,0.5289,46.4,0.0289,0.065,0.7632,0.1207,90.3
2023-09-24,v1_simplified,269,1,0.0435,1.3468,0.4816,95.0,0.0311,0.0647,0.7049,0.1837,66.64
2023-09-24,v2_social_proof,251,1,0.0526,1.3134,0.4373,94.9,0.0242,0.0718,0.7202,0.1467,69.97
2023-09-25,control,267,32,0.0479,1.3959,0.5063,75.7,0.0229,0.0968,0.7405,0.104,78.62
2023-09-25,v1_simplified,259,1,0.0515,1.6827,0.4525,115.8,0.0794,0.0608,0.6303,0.1971,92.83
2023-09-25,v2_social_proof,264,1,0.0538,1.3194,0.5192,54.8,0.0261,0.0511,0.6696,0.1866,89.47
2023-09-26,control,271,32,0.0413,0.8102,0.4647,109.8,0.0275,0.0512,0.6306,0.134,84.79
2023-09-26,v1_simplified,255,2,0.0493,1.5726,0.5862,98.7,0.0438,0.0511,0.5907,0.1009,91.01
2023-09-26,v2_social_proof,266,1,0.0517,1.1447,0.4534,71.0,0.0693,0.0694,0.5847,0.1615,67.07
2023-09-27,control,266,31,0.0482,1.1314,0.4709,75.2,0.0665,0.1086,0.7324,0.1934,59.22
2023-09-27,v1_simplified,253,1,0.047,1.5334,0.5774,90.0,0.0754,0.09,0.7952,0.1314,59.52
2023-09-27,v2_social_proof,275,2,0.0476,1.208,0.5604,85.8,0.0279,0.0728,0.6639,0.1181,77.02
2023-09-28,control,274,32,0.0416,0.9943,0.5761,109.3,0.0223,0.0905,0.7819,0.193,61.77
2023-09-28,v1_simplified,270,0,0.0505,1.5188,0.4564,102.1,0.0399,0.1045,0.7001,0.1227,69.91
2023-09-28,v2_social_proof,270,2,0.0438,1.5576,0.4277,47.0,0.0707,0.0928,0.6694,0.1653,89.8
2023-09-29,control,263,31,0.0386,1.0723,0.5786,97.4,0.0556,0.0988,0.7144,0.1602,76.98
2023-09-29,v1_simplified,269,2,0.0472,1.0109,0.4737,92.3,0.0359,0.0944,0.692,0.1978,93.84
2023-09-29,v2_social_proof,253,0,0.0491,1.464,0.5038,73.5,0.0492,0.0879,0.7524,0.127,90.63
2023-09-30,control,253,30,0.0396,1.5744,0.5138,64.9,0.0667,0.1012,0.7531,0.1214,60.86
2023-09-30,v1_simplified,252,1,0.0487,1.3722,0.5915,107.0,0.0245,0.0705,0.6338,0.1221,82.24
2023-09-30,v2_social_proof,254,2,0.0513,1.7355,0.5573,94.4,0.0586,0.0598,0.6596,0.1766,84.93
2023-10-01,control,258,30,0.0392,1.6989,0.5135,107.9,0.0368,0.0764,0.7218,0.1462,60.25
2023-10-01,v1_simplified,259,2,0.0493,1.0693,0.4934,57.0,0.029,0.0998,0.7033,0.1241,73.33
2023-10-01,v2_social_proof,250,0,0.0564,1.7425,0.5199,46.4,0.0534,0.0676,0.5916,0.1908,92.12
2023-10-02,control,264,31,0.045,0.899,0.4373,116.5,0.0565,0.1016,0.6419,0.1734,87.15
2023-10-02,v1_simplified,273,1,0.0478,1.0422,0.593,79.7,0.0409,0.1066,0.6054,0.1075,81.78
2023-10-02,v2_social_proof,269,2,0.0536,1.3666,0.5297,114.7,0.0644,0.106,0.6813,0.1431,82.87
2023-10-03,control,262,31,0.0379,1.0943,0.4565,90.2,0.0596,0.0946,0.7205,0.1944,85.38
2023-10-03,v1_simplified,266,1,0.0499,0.8502,0.5391,82.5,0.0715,0.0706,0.73,0.1122,94.19
2023-10-03,v2_social_proof,270,1,0.0547,1.3468,0.4034,109.8,0.0591,0.0554,0.6057,0.1712,55.6
2023-10-04,control,269,32,0.0408,0.9713,0.5322,118.5,0.0658,0.065,0.6329,0.151,85.25
2023-10-04,v1_simplified,267,2,0.051,1.0384,0.4117,118.2,0.0202,0.0609,0.6261,0.1388,91.72
2023-10-04,v2_social_proof,271,2,0.0538,1.2699,0.4271,46.1,0.0237,0.063,0.5849,0.1018,55.33
2023-10-05,control,250,30,0.042,1.1862,0.4801,84.6,0.0578,0.0826,0.7273,0.1734,94.38
2023-10-05,v1_simplified,271,0,0.0497,1.3784,0.4284,103.2,0.0638,0.0885,0.7715,0.1959,71.09
2023-10-05,v2_social_proof,271,1,0.0499,1.5217,0.4106,96.0,0.028,0.0653,0.6523,0.1744,62.84
2023-10-06,control,268,32,0.0408,0.9048,0.5436,101.4,0.041,0.0777,0.7896,0.1866,89.02
2023-10-06,v1_simplified,250,0,0.0489,1.6269,0.5781,68.9,0.0318,0.0606,0.6195,0.1321,88.98
2023-10-06,v2_social_proof,255,2,0.0558,1.4356,0.502,97.3,0.025,0.1156,0.6989,0.1747,59.14
2023-10-07,control,252,30,0.0381,1.2101,0.4113,94.6,0.0233,0.0818,0.6703,0.1115,77.65
2023-10-07,v1_simplified,272,1,0.046,1.2779,0.5375,115.9,0.0693,0.0974,0.566,0.1238,77.6
2023-10-07,v2_social_proof,259,1,0.0509,1.2914,0.5127,75.8,0.0356,0.1068,0.698,0.131,87.53
2023-10-08,control,253,30,0.0387,0.9096,0.5856,74.1,0.0788,0.1077,0.7487,0.1518,57.43
2023-10-08,v1_simplified,273,1,0.0512,1.786,0.4665,53.2,0.0746,0.0817,0.5711,0.1896,60.4
2023-10-08,v2_social_proof,259,0,0.0509,1.5498,0.474,96.1,0.0208,0.1156,0.7943,0.1937,63.51
2023-10-09,control,271,32,0.0422,1.6239,0.5882,84.0,0.0438,0.0719,0.5721,0.189,56.97
2023-10-09,v1_simplified,270,2,0.0495,1.2295,0.5027,65.8,0.0791,0.0977,0.7014,0.1704,78.31
2023-10-09,v2_social_proof,268,0,0.0519,1.0048,0.4254,81.5,0.0709,0.0634,0.659,0.1877,64.15
2023-10-10,control,262,31,0.0374,1.3334,0.5533,70.6,0.0594,0.0963,0.5882,0.1934,60.1
2023-10-10,v1_simplified,253,2,0.0535,1.2812,0.4673,109.7,0.0548,0.071,0.5797,0.1942,94.5
2023-10-10,v2_social_proof,260,2,0.0547,1.1041,0.4696,81.6,0.0365,0.0723,0.6193,0.1512,59.39
2023-10-11,control,260,31,0.0396,0.8202,0.4933,92.7,0.0394,0.0848,0.5823,0.1777,60.8
2023-10-11,v1_simplified,264,2,0.0522,1.0609,0.5391,86.9,0.0686,0.1192,0.702,0.1512,60.77
2023-10-11,v2_social_proof,261,0,0.0522,0.9222,0.5076,85.1,0.0523,0.1162,0.7894,0.1756,59.86
2023-10-12,control,272,32,0.0396,1.7172,0.4305,63.1,0.0635,0.0703,0.5713,0.1711,71.94
2023-10-12,v1_simplified,273,2,0.0441,1.7839,0.4271,54.7,0.0401,0.0858,0.6834,0.1615,73.68
2023-10-12,v2_social_proof,262,0,0.0495,1.0561,0.5485,110.2,0.0788,0.0729,0.762,0.1765,81.93
2023-10-13,control,256,30,0.0385,0.8519,0.4533,117.2,0.0752,0.103,0.6488,0.1906,68.9
2023-10-13,v1_simplified,258,2,0.0507,1.1293,0.4049,102.4,0.0446,0.0718,0.6048,0.138,57.45
2023-10-13,v2_social_proof,260,2,0.0561,0.8772,0.5432,49.4,0.0636,0.1011,0.6616,0.1521,84.98
2023-10-14,control,262,31,0.0382,1.6141,0.5778,95.3,0.0406,0.0964,0.6998,0.1539,93.62
2023-10-14,v1_simplified,259,2,0.052,0.9442,0.5367,49.3,0.0475,0.0676,0.7865,0.1694,85.67
2023-10-14,v2_social_proof,265,0,0.0555,1.5706,0.4434,48.2,0.0479,0.0985,0.5693,0.1209,66.72
2023-10-15,control,264,31,0.0442,1.3651,0.4301,69.3,0.0497,0.1034,0.5847,0.162,84.34
2023-10-15,v1_simplified,257,1,0.0478,1.7693,0.5935,61.7,0.0415,0.1051,0.747,0.1163,55.25
2023-10-15,v2_social_proof,253,1,0.0487,1.473,0.4281,47.1,0.0728,0.0891,0.7346,0.1456,76.24
2023-10-16,control,261,31,0.0459,0.9956,0.4752,63.8,0.0519,0.0836,0.7877,0.1084,93.46
2023-10-16,v1_simplified,265,2,0.0476,1.4131,0.4432,57.4,0.0238,0.0882,0.7333,0.1724,71.75
2023-10-16,v2_social_proof,259,1,0.0558,1.3411,0.5928,111.1,0.0643,0.0546,0.7179,0.1699,81.9
2023-10-17,control,273,32,0.0382,0.9229,0.5762,87.2,0.0415,0.0582,0.6684,0.1833,79.28
2023-10-17,v1_simplified,273,0,0.0483,0.9763,0.442,117.7,0.0795,0.0992,0.7846,0.1904,58.03
2023-10-17,v2_social_proof,259,0,0.0445,1.7847,0.5582,54.7,0.0728,0.0536,0.6536,0.1139,77.79
2023-10-18,control,259,31,0.0454,0.8328,0.5678,107.4,0.0234,0.1068,0.6912,0.1573,55.11
2023-10-18,v1_simplified,265,0,0.0536,1.6404,0.4021,105.7,0.0726,0.0674,0.7293,0.1177,73.11
2023-10-18,v2_social_proof,256,0,0.052,1.679,0.4993,84.4,0.0326,0.087,0.6912,0.1391,74.56
2023-10-19,control,264,31,0.0478,1.0707,0.4909,100.5,0.0622,0.0639,0.5519,0.1096,81.61
2023-10-19,v1_simplified,263,2,0.0501,0.9013,0.4858,48.3,0.0795,0.107,0.7173,0.1343,60.1
2023-10-19,v2_social_proof,273,1,0.054,1.0048,0.436,81.3,0.0547,0.0901,0.6225,0.1339,79.47
2023-10-20,control,262,31,0.0382,1.5347,0.5397,81.1,0.0402,0.0926,0.7562,0.1037,57.49
2023-10-20,v1_simplified,260,1,0.0493,1.777,0.5577,81.4,0.028,0.1026,0.5627,0.1038,77.24
2023-10-20,v2_social_proof,273,1,0.0542,1.7269,0.445,54.4,0.0573,0.0792,0.6327,0.1089,60.35
2023-10-21,control,267,32,0.0364,1.5998,0.5919,52.2,0.0323,0.1053,0.7628,0.1432,81.02
2023-10-21,v1_simplified,253,1,0.0469,0.9139,0.5011,56.4,0.0513,0.0835,0.6841,0.1326,79.97
2023-10-21,v2_social_proof,251,0,0.0547,1.1456,0.5306,89.4,0.0715,0.0929,0.7226,0.1926,93.62
2023-10-22,control,259,31,0.043,0.8239,0.5028,77.0,0.0235,0.0939,0.5517,0.1161,67.09
2023-10-22,v1_simplified,270,0,0.0437,0.9462,0.5728,67.7,0.0628,0.1188,0.5616,0.1595,84.16
2023-10-22,v2_social_proof,256,0,0.0537,0.9899,0.5164,59.4,0.0425,0.0713,0.5642,0.103,85.3
2023-10-23,control,250,30,0.0401,1.608,0.5258,66.9,0.0286,0.0571,0.6262,0.1528,68.45
2023-10-23,v1_simplified,273,1,0.0503,1.5882,0.4305,55.8,0.0207,0.1007,0.7652,0.1333,57.72
2023-10-23,v2_social_proof,264,1,0.0512,1.2933,0.5026,62.9,0.0261,0.0959,0.7743,0.109,68.97
2023-10-24,control,264,31,0.0394,1.3444,0.4381,103.6,0.0429,0.0791,0.5567,0.1438,68.29
2023-10-24,v1_simplified,272,0,0.0443,1.2924,0.4277,89.2,0.0778,0.0675,0.5596,0.1244,75.14
2023-10-24,v2_social_proof,256,1,0.0556,1.6331,0.5871,57.9,0.069,0.0882,0.764,0.1893,58.08
2023-10-25,control,271,32,0.0414,1.2363,0.4766,116.3,0.0723,0.0553,0.5796,0.1257,86.91
2023-10-25,v1_simplified,253,2,0.0479,1.1685,0.4302,65.8,0.0203,0.0808,0.7868,0.1001,83.91
2023-10-25,v2_social_proof,261,2,0.0569,1.227,0.4918,83.8,0.0278,0.0801,0.7966,0.1325,89.19
2023-10-26,control,255,30,0.042,1.0468,0.459,59.8,0.0349,0.0988,0.6551,0.1341,71.3
2023-10-26,v1_simplified,252,1,0.0448,1.6616,0.4427,54.6,0.0658,0.0696,0.6955,0.1898,60.85
2023-10-26,v2_social_proof,266,1,0.0523,1.0817,0.4199,84.7,0.0559,0.0548,0.7664,0.1179,83.98
2023-10-27,control,260,31,0.0409,0.93,0.5312,96.6,0.0326,0.0639,0.7909,0.1955,61.87
2023-10-27,v1_simplified,250,2,0.049,1.7878,0.4697,46.5,0.0413,0.1009,0.7318,0.1228,71.3
2023-10-27,v2_social_proof,255,2,0.0575,1.5397,0.4013,86.7,0.0673,0.0973,0.6284,0.1758,81.58
2023-10-28,control,265,31,0.0381,1.3046,0.5314,101.7,0.0445,0.0607,0.665,0.137,77.99
2023-10-28,v1_simplified,252,2,0.0492,1.045,0.4026,65.4,0.0595,0.0558,0.6117,0.1816,61.45
2023-10-28,v2_social_proof,273,1,0.0487,1.0646,0.4205,51.1,0.0368,0.1051,0.5836,0.1897,57.44
2023-10-29,control,268,32,0.0375,1.4619,0.406,71.3,0.0231,0.1124,0.552,0.1232,82.44
2023-10-29,v1_simplified,254,0,0.0483,1.7571,0.4267,112.4,0.0781,0.0605,0.684,0.1841,70.15
2023-10-29,v2_social_proof,261,2,0.0492,1.3755,0.5977,103.9,0.0775,0.1097,0.6551,0.1887,88.15
2023-10-30,control,271,32,0.0427,0.9237,0.4066,95.2,0.0778,0.12,0.6287,0.1061,63.84
2023-10-30,v1_simplified,254,0,0.0527,1.2674,0.5318,90.3,0.0746,0.0775,0.6673,0.1122,86.2
2023-10-30,v2_social_proof,255,0,0.0534,1.5278,0.454,100.6,0.0436,0.0567,0.6601,0.1869,73.29
2023-10-31,control,262,31,0.0394,0.844,0.5185,95.4,0.0629,0.0712,0.6612,0.193,70.25
2023-10-31,v1_simplified,264,2,0.0507,1.1526,0.552,82.2,0.0564,0.0544,0.7838,0.1063,76.16
2023-10-31,v2_social_proof,268,1,0.0495,1.5281,0.4423,46.6,0.0485,0.0919,0.7866,0.1765,75.88
2023-11-01,control,257,30,0.0416,1.1392,0.4473,84.8,0.0232,0.1154,0.7284,0.1021,86.82
2023-11-01,v1_simplified,263,2,0.0532,1.5515,0.5154,60.4,0.0786,0.0782,0.6505,0.1103,85.69
2023-11-01,v2_social_proof,271,2,0.0548,1.162,0.4204,80.3,0.0272,0.067,0.7294,0.1268,70.15
2023-11-02,control,274,32,0.0398,1.6492,0.4184,56.0,0.0717,0.0611,0.559,0.1721,76.75
2023-11-02,v1_simplified,271,2,0.0551,0.8837,0.4968,118.6,0.0772,0.1016,0.6629,0.1514,93.71
2023-11-02,v2_social_proof,257,2,0.0522,0.9246,0.4031,69.5,0.0361,0.0931,0.6275,0.1261,75.4
2023-11-03,control,260,31,0.0455,1.1721,0.4563,100.6,0.057,0.0898,0.5843,0.1792,66.97
2023-11-03,v1_simplified,257,0,0.0495,1.4226,0.5708,95.3,0.0669,0.0759,0.7299,0.18,78.81
2023-11-03,v2_social_proof,263,0,0.0516,0.9135,0.5697,46.0,0.0519,0.1115,0.6689,0.1823,88.68
2023-11-04,control,252,30,0.0401,1.3156,0.4093,106.4,0.04,0.0737,0.5571,0.146,87.06
2023-11-04,v1_simplified,271,2,0.0442,1.4796,0.5287,55.5,0.0681,0.0673,0.7657,0.1135,75.66
2023-11-04,v2_social_proof,253,2,0.0498,1.0544,0.5376,106.7,0.0274,0.0865,0.6543,0.1296,82.18
2023-11-05,control,271,32,0.0395,0.8172,0.4454,88.5,0.0535,0.0813,0.6056,0.1812,64.04
2023-11-05,v1_simplified,263,1,0.0474,1.7163,0.5319,108.6,0.0583,0.0773,0.7464,0.1223,90.96
2023-11-05,v2_social_proof,255,2,0.0568,1.0633,0.4748,54.1,0.0379,0.1048,0.6404,0.1558,72.5
2023-11-06,control,257,30,0.0406,1.4741,0.451,107.1,0.0438,0.0884,0.6947,0.1263,80.65
2023-11-06,v1_simplified,260,2,0.0495,1.121,0.5341,106.9,0.0462,0.0551,0.582,0.1542,57.0
2023-11-06,v2_social_proof,258,0,0.0525,1.4003,0.5136,76.1,0.0472,0.1154,0.756,0.1142,67.53
2023-11-07,control,269,32,0.0381,1.4577,0.4957,69.2,0.0623,0.0505,0.7236,0.1823,70.88
2023-11-07,v1_simplified,261,2,0.0462,1.3134,0.5183,111.7,0.0529,0.0554,0.5835,0.1034,83.79
2023-11-07,v2_social_proof,275,0,0.0529,1.0183,0.4627,116.5,0.0796,0.091,0.6287,0.1223,73.28
2023-11-08,control,252,30,0.0412,1.2181,0.463,100.1,0.0543,0.101,0.7423,0.1569,84.85
2023-11-08,v1_simplified,251,2,0.0504,1.3354,0.5537,103.7,0.0799,0.0519,0.6682,0.1764,69.96
2023-11-08,v2_social_proof,265,2,0.0554,1.4012,0.5345,86.8,0.0773,0.1098,0.77,0.1043,64.46
2023-11-09,control,274,32,0.0365,1.5044,0.4499,117.6,0.0351,0.0913,0.7842,0.1239,83.9
2023-11-09,v1_simplified,262,2,0.049,1.7977,0.5602,86.7,0.0486,0.1059,0.763,0.1785,60.7
2023-11-09,v2_social_proof,262,2,0.0524,1.1814,0.556,119.8,0.0711,0.1106,0.6475,0.1653,65.2
2023-11-10,control,253,30,0.0412,1.6645,0.4125,82.6,0.0386,0.1126,0.7789,0.1156,61.53
2023-11-10,v1_simplified,256,0,0.0482,0.8668,0.4009,107.7,0.0286,0.1165,0.6751,0.1107,86.09
2023-11-10,v2_social_proof,275,1,0.0465,1.6392,0.5936,47.8,0.0252,0.0633,0.7367,0.1565,75.72
