# NetFlow v9 export — period 2026-05-22 18:00 to 2026-05-23 06:00 UTC
# Fields: timestamp|src_ip|dst_ip|src_port|dst_port|proto|bytes|packets|flags
1748000405|10.0.10.26|2.109.142.198|25726|8443|UDP|45138|35|ACK
1748000410|10.0.3.235|11.246.171.48|42496|3389|UDP|60273|95|SYN
1748000420|10.0.4.159|160.201.232.208|62098|443|TCP|62953|57|RST
1748000428|10.0.5.92|102.133.182.72|20201|25|TCP|20086|167|RST
1748000433|10.0.7.136|197.228.132.22|35221|443|UDP|14652|22|SYN-ACK
1748000445|10.0.8.124|11.246.171.48|8146|80|TCP|3335|8|
1748000448|10.0.3.235|73.194.181.104|12807|53|UDP|65218|46|SYN-ACK
1748000456|10.0.5.9|94.30.194.145|38888|8080|ICMP|6274|11|SYN-ACK
1748000466|10.0.8.91|19.74.6.247|45724|3389|ICMP|43413|125|ACK
1748000474|10.0.8.106|31.62.59.131|28256|80|UDP|53051|204|
1748000483|10.0.8.106|173.28.24.138|62322|8080|ICMP|40211|75|FIN
1748000491|10.0.8.106|2.109.142.198|49996|53|TCP|59110|67|FIN
1748000496|10.0.10.177|62.39.17.103|6624|22|TCP|64211|178|SYN-ACK
1748000506|10.0.8.106|94.30.194.145|1651|25|TCP|50888|92|
1748000513|10.0.10.68|19.74.6.247|32492|22|ICMP|49249|40|
1748000521|10.0.4.135|76.109.213.145|34890|443|TCP|1408|1|FIN
1748000528|10.0.8.106|62.167.28.211|27383|3389|ICMP|64248|490|ACK
1748000541|10.0.4.27|110.55.148.177|41806|53|UDP|64321|72|SYN-ACK
1748000545|10.0.9.14|161.35.132.177|9967|443|UDP|63826|651|SYN
1748000557|10.0.8.91|95.215.94.143|14266|8443|UDP|50935|77|RST
1748000562|10.0.1.175|33.124.222.177|10919|3389|ICMP|30388|349|SYN
1748000571|10.0.9.14|43.47.77.53|58540|80|ICMP|17436|27|SYN
1748000576|10.0.4.8|165.172.175.234|10898|3389|UDP|3296|3|SYN
1748000586|10.0.1.151|31.62.59.131|10401|8080|ICMP|55557|46|RST
1748000596|10.0.4.159|173.28.24.138|8232|22|UDP|56310|39|SYN-ACK
1748000601|10.0.5.92|19.74.6.247|1780|22|TCP|55315|96|SYN-ACK
1748000609|10.0.10.26|73.194.181.104|17385|443|UDP|36184|26|SYN-ACK
1748000616|10.0.10.177|62.39.17.103|64536|53|TCP|42703|190|ACK
1748000628|10.0.10.111|41.57.18.19|60835|8080|ICMP|59857|254|SYN-ACK
1748000634|10.0.1.4|43.47.77.53|20021|53|ICMP|37830|49|SYN-ACK
1748000642|10.0.1.4|62.167.28.211|42805|80|TCP|55443|44|SYN
1748000652|10.0.4.159|161.35.132.177|32837|443|TCP|38252|56|
1748000657|10.0.1.175|31.62.59.131|33586|80|TCP|27980|105|
1748000668|10.0.10.26|62.167.28.211|8989|8080|UDP|23475|23|ACK
1748000672|10.0.4.8|102.133.182.72|27765|3389|TCP|42877|56|SYN
1748000680|10.0.10.111|31.62.59.131|23817|8443|ICMP|55658|39|RST
1748000689|10.0.8.91|76.109.213.145|60994|3389|TCP|37955|55|ACK
1748000701|10.0.8.91|19.74.6.247|47793|22|UDP|58448|83|FIN
1748000706|10.0.4.27|82.33.101.102|14180|53|TCP|34688|35|SYN-ACK
1748000715|10.0.8.91|73.194.181.104|63327|8443|UDP|19848|26|ACK
1748000723|10.0.4.135|33.124.222.177|16409|8080|TCP|31707|24|SYN
1748000733|10.0.1.4|160.201.232.208|2666|3389|ICMP|44341|104|SYN-ACK
1748000741|10.0.10.26|76.190.47.223|53094|53|ICMP|61408|127|SYN
1748000744|10.0.8.106|62.167.28.211|11170|80|TCP|24655|37|SYN
1748000753|10.0.10.68|202.173.110.118|53401|80|UDP|32444|54|SYN-ACK
1748000761|10.0.8.111|110.55.148.177|35828|80|TCP|1836|3|SYN-ACK
1748000771|10.0.8.106|112.101.43.181|31819|25|ICMP|21151|22|RST
1748000776|10.0.8.124|64.16.96.112|44689|53|ICMP|61012|103|SYN-ACK
1748000784|10.0.7.136|22.254.171.202|34696|3389|UDP|39436|30|
1748000793|10.0.10.177|165.172.175.234|5909|25|UDP|23298|30|RST
1748000801|10.0.10.111|165.172.175.234|57301|80|UDP|42945|58|SYN
1748000813|10.0.5.92|62.167.28.211|45100|8080|UDP|45891|150|SYN
1748000820|10.0.3.235|160.201.232.208|5289|22|TCP|18791|16|SYN
1748000826|10.0.1.175|197.228.132.22|5741|3389|ICMP|15187|118|SYN
1748000836|10.0.4.159|62.167.28.211|3090|443|ICMP|41299|34|
1748000842|10.0.4.159|33.124.222.177|7126|53|UDP|28362|35|
1748000853|10.0.9.14|43.47.77.53|54799|8443|TCP|35350|23|SYN
1748000857|10.0.8.106|19.74.6.247|57469|22|ICMP|43771|192|ACK
1748000869|10.0.5.92|76.190.47.223|36373|25|UDP|19702|56|ACK
1748000877|10.0.10.26|73.194.181.104|1841|22|ICMP|3904|2|
1748000884|10.0.8.106|112.101.43.181|50175|8443|ICMP|40517|30|FIN
1748000890|10.0.7.136|73.194.181.104|17814|25|UDP|8314|19|RST
1748000896|10.0.10.26|220.233.63.160|28569|8080|UDP|433|1|SYN-ACK
1748000907|10.0.5.92|82.33.101.102|37216|80|UDP|12068|11|ACK
1748000917|10.0.4.27|43.47.77.53|21268|53|UDP|2695|2|SYN
1748000920|10.0.4.8|76.190.47.223|44644|443|UDP|32341|70|RST
1748000928|10.0.10.26|62.39.17.103|22666|22|UDP|54263|43|SYN
1748000938|10.0.9.14|165.172.175.234|31158|443|TCP|14468|36|SYN-ACK
1748000949|10.0.3.235|19.74.6.247|52665|22|TCP|20206|14|SYN-ACK
1748000954|10.0.5.92|22.254.171.202|21291|443|ICMP|24429|93|
1748000963|10.0.1.175|197.228.132.22|45724|3389|TCP|39162|45|SYN-ACK
1748000973|10.0.1.175|173.28.24.138|31519|25|UDP|35014|123|ACK
1748000976|10.0.4.27|161.35.132.177|23670|443|TCP|30887|30|SYN-ACK
1748000989|10.0.8.111|41.57.18.19|19881|25|ICMP|6424|7|RST
1748000996|10.0.4.27|218.206.91.157|37149|3389|TCP|33863|41|FIN
1748001005|10.0.5.92|161.35.132.177|28406|22|TCP|64039|125|RST
1748001013|10.0.10.111|173.28.24.138|32906|3389|ICMP|877|1|RST
1748001021|10.0.5.9|173.28.24.138|11228|443|ICMP|3934|3|SYN-ACK
1748001028|10.0.8.106|173.28.24.138|7737|53|ICMP|30219|20|RST
1748001035|10.0.8.91|33.124.222.177|9104|3389|UDP|43094|94|SYN-ACK
1748001044|10.0.8.111|19.74.6.247|54449|80|TCP|11633|11|RST
1748001050|10.0.8.111|45.99.169.200|59368|25|UDP|13055|34|SYN-ACK
1748001057|10.0.10.177|43.47.77.53|1124|8080|UDP|61680|42|RST
1748001067|10.0.5.9|22.254.171.202|57439|22|TCP|22501|24|ACK
1748001077|10.0.4.135|82.33.101.102|3384|22|ICMP|13473|21|FIN
1748001082|10.0.9.14|94.30.194.145|64123|25|ICMP|32379|431|FIN
1748001090|10.0.4.159|45.99.169.200|30469|80|UDP|36266|35|RST
1748001101|10.0.1.175|160.201.232.208|19498|8080|UDP|57981|221|SYN
1748001107|10.0.8.124|165.172.175.234|19471|53|UDP|15364|83|
1748001115|10.0.10.26|102.133.182.72|63039|80|UDP|16747|28|
1748001125|10.0.4.27|62.39.17.103|49545|8443|ICMP|62154|86|FIN
1748001132|10.0.10.68|43.47.77.53|48817|8443|ICMP|64248|97|
1748001140|10.0.10.111|62.39.17.103|12365|3389|TCP|36944|37|
1748001149|10.0.4.135|102.133.182.72|64090|53|TCP|32195|43|SYN
1748001156|10.0.4.8|220.233.63.160|8923|3389|TCP|47021|69|SYN
1748001165|10.0.1.175|202.173.110.118|15352|443|TCP|33151|77|FIN
1748001173|10.0.9.14|160.201.232.208|9921|80|UDP|54833|126|FIN
1748001177|10.0.3.235|110.55.148.177|56182|8080|UDP|53599|43|SYN-ACK
1748001187|10.0.1.4|2.109.142.198|38867|3389|ICMP|27358|82|RST
1748001196|10.0.3.235|165.172.175.234|24235|8080|ICMP|20789|31|FIN
1748001205|10.0.9.14|31.62.59.131|50586|53|ICMP|44622|52|SYN-ACK
1748001208|10.0.5.92|161.35.132.177|25473|3389|TCP|27346|59|SYN-ACK
1748001218|10.0.10.177|33.124.222.177|40023|3389|TCP|57184|65|SYN
1748001229|10.0.10.68|161.35.132.177|36371|3389|TCP|3298|3|FIN
1748001235|10.0.10.26|94.30.194.145|49865|443|ICMP|53703|42|ACK
1748001243|10.0.9.14|64.16.96.112|59999|8443|UDP|62311|80|RST
1748001248|10.0.10.68|218.206.91.157|61589|3389|ICMP|59064|329|
1748001259|10.0.7.136|218.206.91.157|41095|53|ICMP|41535|256|
1748001267|10.0.1.175|73.194.181.104|9508|53|ICMP|52190|70|SYN
1748001277|10.0.10.26|112.101.43.181|52006|25|ICMP|51974|83|RST
1748001282|10.0.8.106|62.39.17.103|21672|3389|ICMP|51288|53|FIN
1748001288|10.0.8.124|160.201.232.208|18825|22|UDP|593|1|SYN-ACK
1748001299|10.0.7.136|76.190.47.223|5992|8443|TCP|17860|14|RST
1748001308|10.0.4.27|19.74.6.247|57241|8443|UDP|15704|54|SYN
1748001315|10.0.1.151|95.215.94.143|11418|8080|ICMP|63761|42|FIN
1748001321|10.0.10.26|173.28.24.138|1533|53|ICMP|37775|69|FIN
1748001333|10.0.1.175|114.204.7.164|26285|80|UDP|17986|40|RST
1748001340|10.0.10.68|218.206.91.157|12769|8080|TCP|40346|178|ACK
1748001349|10.0.10.68|43.47.77.53|64613|8080|ICMP|64293|91|ACK
1748001357|10.0.1.175|19.74.6.247|61340|53|TCP|48208|36|
1748001361|10.0.10.177|45.99.169.200|41184|80|ICMP|17502|21|ACK
1748001373|10.0.4.8|45.99.169.200|28917|8080|TCP|2667|5|ACK
1748001376|10.0.8.111|94.30.194.145|33795|22|ICMP|13097|23|ACK
1748001384|10.0.10.68|33.124.222.177|50330|53|UDP|10492|19|RST
1748001396|10.0.4.135|43.47.77.53|60082|3389|TCP|9160|7|
1748001402|10.0.4.159|43.47.77.53|61719|8080|UDP|49905|71|
1748001413|10.0.7.136|82.33.101.102|16734|80|ICMP|47390|48|SYN-ACK
1748001416|10.0.9.14|160.201.232.208|23221|53|ICMP|18520|13|RST
1748001424|10.0.10.26|114.204.7.164|18613|80|TCP|40771|299|
1748001433|10.0.4.159|62.39.17.103|29787|53|UDP|1496|1|SYN-ACK
1748001440|10.0.4.27|218.206.91.157|57895|25|ICMP|27746|81|FIN
1748001452|10.0.1.175|173.28.24.138|13222|8443|UDP|22921|24|SYN
1748001461|10.0.8.91|173.28.24.138|39421|53|UDP|15306|121|SYN
1748001467|10.0.5.92|112.101.43.181|65432|22|TCP|40405|51|SYN-ACK
1748001476|10.0.4.8|82.33.101.102|51656|25|TCP|2682|2|RST
1748001483|10.0.8.124|112.101.43.181|17802|80|TCP|27520|72|SYN
1748001491|10.0.10.26|202.173.110.118|33561|53|UDP|15522|29|
1748001497|10.0.8.111|22.254.171.202|15539|3389|ICMP|43574|75|SYN
1748001506|10.0.8.91|33.124.222.177|35738|443|UDP|19853|257|ACK
1748001512|10.0.8.124|110.55.148.177|10354|53|ICMP|61771|44|FIN
1748001524|10.0.10.68|11.246.171.48|10269|22|TCP|23604|59|RST
1748001529|10.0.10.26|110.55.148.177|34379|443|UDP|10518|13|SYN-ACK
1748001541|10.0.8.106|95.215.94.143|51254|80|TCP|40178|55|
1748001546|10.0.10.177|41.57.18.19|52034|8080|ICMP|15218|59|SYN-ACK
1748001557|10.0.8.106|19.74.6.247|31884|22|TCP|7918|37|RST
1748001564|10.0.4.135|161.35.132.177|51721|80|TCP|53419|37|SYN
1748001568|10.0.5.9|94.30.194.145|60275|3389|TCP|166|1|SYN-ACK
1748001577|10.0.1.175|161.35.132.177|31540|80|ICMP|6113|68|FIN
1748001588|10.0.8.91|197.228.132.22|41460|8443|UDP|13014|9|
1748001596|10.0.8.106|173.28.24.138|63042|8080|UDP|51923|47|SYN-ACK
1748001603|10.0.8.124|73.194.181.104|56040|8443|TCP|3285|21|FIN
1748001608|10.0.4.159|31.62.59.131|46399|53|UDP|10021|85|FIN
1748001618|10.0.4.159|94.30.194.145|26892|443|TCP|5604|3|FIN
1748001627|10.0.4.8|102.133.182.72|1563|3389|TCP|26848|20|
1748001635|10.0.10.177|110.55.148.177|48031|22|ICMP|4934|5|ACK
1748001644|10.0.5.9|110.55.148.177|37296|53|TCP|55068|162|
1748001648|10.0.5.92|160.201.232.208|25084|80|UDP|54454|64|ACK
1748001661|10.0.4.159|19.74.6.247|51632|3389|TCP|37509|99|SYN
1748001668|10.0.5.9|165.172.175.234|5603|53|UDP|15994|14|
1748001672|10.0.4.159|94.30.194.145|22668|53|UDP|11134|15|RST
1748001685|10.0.4.159|160.201.232.208|55519|3389|ICMP|14908|10|FIN
1748001688|10.0.9.14|112.101.43.181|54724|443|TCP|2257|1|RST
1748001701|10.0.4.8|76.190.47.223|47416|22|UDP|61345|53|
1748001705|10.0.7.136|112.101.43.181|51358|8443|ICMP|18456|12|SYN
1748001717|10.0.10.177|202.173.110.118|39872|53|TCP|43915|42|SYN-ACK
1748001722|10.0.3.235|112.101.43.181|44785|443|ICMP|28330|21|ACK
1748001729|10.0.5.92|64.16.96.112|6369|80|ICMP|2815|2|
1748001738|10.0.5.9|31.62.59.131|5118|25|UDP|23869|17|FIN
1748001748|10.0.4.135|82.33.101.102|53856|3389|ICMP|36991|27|RST
1748001757|10.0.4.135|76.109.213.145|4371|22|UDP|9506|28|SYN
1748001763|10.0.10.177|110.55.148.177|57092|8443|TCP|21754|47|FIN
1748001773|10.0.4.159|165.172.175.234|56487|22|UDP|36194|102|SYN-ACK
1748001780|10.0.4.8|11.246.171.48|49864|80|UDP|60911|86|FIN
1748001787|10.0.1.151|45.99.169.200|22395|443|UDP|40863|118|SYN-ACK
1748001796|10.0.10.177|76.190.47.223|13664|3389|TCP|52399|37|ACK
1748001800|10.0.4.27|165.172.175.234|48623|8080|UDP|52677|41|FIN
1748001811|10.0.3.235|41.57.18.19|22402|8080|ICMP|42435|100|ACK
1748001816|10.0.10.177|112.101.43.181|16239|25|ICMP|52051|264|ACK
1748001824|10.0.5.92|73.194.181.104|39347|3389|ICMP|23444|19|FIN
1748001835|10.0.3.235|202.173.110.118|32013|8443|TCP|9813|15|SYN
1748001842|10.0.10.177|102.133.182.72|9408|25|UDP|53111|73|SYN-ACK
1748001851|10.0.10.111|31.62.59.131|15471|53|TCP|16448|23|SYN-ACK
1748001861|10.0.8.111|202.173.110.118|56041|8443|UDP|13434|14|ACK
1748001865|10.0.8.106|202.173.110.118|10327|8443|UDP|43997|31|SYN-ACK
1748001876|10.0.5.92|94.30.194.145|60507|8080|ICMP|19363|18|FIN
1748001885|10.0.5.9|218.206.91.157|33045|22|ICMP|24009|43|SYN
1748001893|10.0.1.4|165.172.175.234|63063|3389|UDP|30695|33|
1748001896|10.0.4.27|76.190.47.223|34198|80|UDP|312|1|RST
1748001906|10.0.8.124|11.246.171.48|14488|53|UDP|14506|13|SYN-ACK
1748001916|10.0.8.91|82.33.101.102|60417|80|TCP|27294|27|FIN
1748001920|10.0.1.4|102.133.182.72|54889|25|UDP|53622|153|FIN
1748001932|10.0.4.8|197.228.132.22|46163|25|TCP|27258|38|ACK
1748001941|10.0.1.4|114.204.7.164|58175|3389|TCP|55841|79|FIN
1748001944|10.0.8.91|173.28.24.138|21852|22|UDP|40496|146|SYN-ACK
1748001955|10.0.10.68|114.204.7.164|9623|8443|ICMP|61759|71|ACK
1748001965|10.0.1.175|102.133.182.72|49047|25|ICMP|61057|47|RST
1748001970|10.0.8.124|95.215.94.143|52881|22|UDP|15587|17|RST
1748001979|10.0.1.4|64.16.96.112|4686|80|UDP|61656|42|ACK
1748001985|10.0.4.135|31.62.59.131|22072|80|UDP|11460|17|
1748001995|10.0.5.92|218.206.91.157|9369|8080|UDP|15934|32|SYN
1748002001|10.0.10.26|19.74.6.247|33886|80|ICMP|27262|35|RST
1748002009|10.0.4.159|94.30.194.145|14805|8080|TCP|56116|49|SYN
1748002021|10.0.1.4|220.233.63.160|59441|8080|ICMP|31400|73|RST
1748002025|10.0.7.136|62.39.17.103|37093|443|UDP|48034|163|FIN
1748002037|10.0.1.4|114.204.7.164|45773|53|UDP|7665|20|
1748002041|10.0.10.177|160.201.232.208|16074|22|ICMP|52183|93|RST
1748002052|10.0.9.14|218.206.91.157|50203|443|ICMP|9277|15|
1748002058|10.0.5.92|76.109.213.145|2974|8443|ICMP|12704|13|FIN
1748002068|10.0.10.111|220.233.63.160|17264|8443|TCP|29119|69|
1748002075|10.0.7.136|160.201.232.208|18298|25|UDP|26452|93|SYN-ACK
1748002081|10.0.4.135|19.74.6.247|38742|8080|TCP|11190|10|FIN
1748002092|10.0.4.135|114.204.7.164|7312|53|UDP|33002|92|SYN
1748002100|10.0.4.27|218.206.91.157|40820|443|ICMP|43789|268|SYN-ACK
1748002106|10.0.10.68|33.124.222.177|15554|80|ICMP|57164|60|FIN
1748002117|10.0.3.235|31.62.59.131|36352|8080|UDP|37860|51|
1748002122|10.0.10.26|114.204.7.164|53856|53|TCP|53197|338|SYN
1748002132|10.0.4.8|112.101.43.181|29200|3389|TCP|55374|73|
1748002140|10.0.4.135|197.228.132.22|62617|3389|UDP|38506|44|FIN
1748002149|10.0.8.106|76.109.213.145|1838|53|UDP|47243|202|
1748002154|10.0.10.68|43.47.77.53|42648|80|TCP|32520|70|RST
1748002162|10.0.4.135|161.35.132.177|12645|8443|ICMP|57620|48|
1748002171|10.0.1.4|112.101.43.181|64614|80|ICMP|39510|28|RST
1748002178|10.0.7.136|197.228.132.22|1588|25|ICMP|16466|14|SYN-ACK
1748002186|10.0.10.68|22.254.171.202|65151|443|UDP|46620|38|FIN
1748002195|10.0.1.4|165.172.175.234|19700|53|TCP|4865|49|
1748002202|10.0.3.235|94.30.194.145|44209|8443|ICMP|55046|331|ACK
1748002211|10.0.7.136|110.55.148.177|30919|443|ICMP|22284|15|SYN
1748002218|10.0.10.111|197.228.132.22|57258|3389|UDP|37815|30|ACK
1748002224|10.0.1.4|112.101.43.181|39704|3389|TCP|17255|68|RST
1748002232|10.0.1.4|62.39.17.103|45483|8443|ICMP|8879|21|SYN
1748002244|10.0.4.8|64.16.96.112|39136|8080|UDP|16675|14|FIN
1748002252|10.0.4.159|173.28.24.138|42410|25|UDP|62955|147|RST
1748002258|10.0.1.175|165.172.175.234|61214|443|UDP|53062|91|FIN
1748002269|10.0.8.91|218.206.91.157|9753|3389|TCP|40242|42|RST
1748002272|10.0.8.91|94.30.194.145|55817|53|TCP|60476|71|ACK
1748002282|10.0.4.135|31.62.59.131|8954|443|ICMP|56281|138|SYN-ACK
1748002290|10.0.1.4|197.228.132.22|11855|8080|TCP|43459|64|RST
1748002296|10.0.4.27|22.254.171.202|63987|8443|ICMP|11661|8|
1748002307|10.0.8.111|19.74.6.247|38478|80|TCP|43267|64|SYN-ACK
1748002317|10.0.8.124|197.228.132.22|25379|53|UDP|18660|18|SYN-ACK
1748002323|10.0.8.111|95.215.94.143|12571|3389|TCP|11504|7|SYN-ACK
1748002329|10.0.10.177|62.39.17.103|2362|3389|ICMP|273|1|RST
1748002337|10.0.1.4|102.133.182.72|47365|25|ICMP|64098|58|SYN
1748002348|10.0.4.8|165.172.175.234|36809|8443|ICMP|11720|15|FIN
1748002355|10.0.8.124|95.215.94.143|10441|25|TCP|19460|115|SYN
1748002361|10.0.3.235|197.228.132.22|53273|25|TCP|22768|20|RST
1748002370|10.0.1.151|2.109.142.198|38478|3389|UDP|45281|141|SYN
1748002380|10.0.1.151|114.204.7.164|22213|22|UDP|15278|32|SYN-ACK
1748002385|10.0.10.68|82.33.101.102|46097|3389|UDP|29345|26|FIN
1748002397|10.0.8.91|2.109.142.198|24780|80|UDP|53346|80|SYN
1748002400|10.0.10.26|161.35.132.177|59892|8443|TCP|28499|29|ACK
1748002410|10.0.4.8|11.246.171.48|52433|8080|TCP|1224|2|RST
1748002418|10.0.5.9|62.167.28.211|28129|53|ICMP|6042|8|FIN
1748002427|10.0.8.91|31.62.59.131|48762|8443|ICMP|36167|67|FIN
1748002435|10.0.10.68|73.194.181.104|15673|3389|TCP|25740|17|SYN-ACK
1748002441|10.0.10.26|218.206.91.157|25016|25|UDP|32621|446|SYN
1748002453|10.0.8.111|218.206.91.157|38719|25|TCP|60512|199|SYN-ACK
1748002459|10.0.8.91|33.124.222.177|64534|25|TCP|26365|246|
1748002464|10.0.1.4|202.173.110.118|16933|8080|TCP|11640|60|SYN-ACK
1748002474|10.0.1.175|62.39.17.103|19459|8080|TCP|14420|13|SYN-ACK
1748002481|10.0.7.136|64.16.96.112|17207|8443|UDP|13527|17|SYN-ACK
1748002489|10.0.3.235|43.47.77.53|57708|8443|TCP|1760|3|SYN
1748002497|10.0.10.68|45.99.169.200|11463|80|ICMP|42153|43|
1748002507|10.0.8.106|202.173.110.118|46142|3389|TCP|55481|287|RST
1748002515|10.0.5.9|76.109.213.145|16320|53|TCP|63127|380|FIN
1748002523|10.0.8.106|114.204.7.164|29367|8443|TCP|8788|127|FIN
1748002532|10.0.7.136|76.109.213.145|11260|8080|ICMP|43397|33|SYN
1748002541|10.0.9.14|2.109.142.198|48303|53|ICMP|36427|26|SYN-ACK
1748002548|10.0.5.92|76.109.213.145|17423|80|ICMP|36082|31|ACK
1748002557|10.0.8.91|165.172.175.234|58145|8443|UDP|35743|297|SYN
1748002564|10.0.4.8|43.47.77.53|13975|8080|ICMP|48743|115|RST
1748002572|10.0.10.177|76.109.213.145|18338|3389|ICMP|49737|168|FIN
1748002579|10.0.3.235|220.233.63.160|27164|8080|TCP|16555|42|FIN
1748002588|10.0.8.111|160.201.232.208|61825|8080|UDP|64069|68|ACK
1748002596|10.0.5.9|62.39.17.103|13808|8080|UDP|6982|5|FIN
1748002602|10.0.10.177|110.55.148.177|53410|22|TCP|5247|4|ACK
1748002612|10.0.8.124|160.201.232.208|28878|53|TCP|23729|21|FIN
1748002616|10.0.1.4|64.16.96.112|55457|3389|UDP|619|1|ACK
1748002627|10.0.10.26|41.57.18.19|20465|25|ICMP|3448|13|SYN-ACK
1748002632|10.0.4.159|110.55.148.177|62325|443|UDP|65035|61|FIN
1748002642|10.0.4.8|102.133.182.72|42127|8080|UDP|45581|36|SYN
1748002649|10.0.4.27|33.124.222.177|35553|3389|ICMP|9984|9|SYN-ACK
1748002659|10.0.8.91|11.246.171.48|55701|443|ICMP|46869|40|SYN-ACK
1748002666|10.0.8.91|45.99.169.200|59172|8443|TCP|52514|51|FIN
1748002677|10.0.7.136|31.62.59.131|43909|443|ICMP|46227|32|SYN
1748002682|10.0.9.14|64.16.96.112|31096|25|TCP|21691|166|FIN
1748002689|10.0.4.135|110.55.148.177|43914|22|UDP|44719|106|RST
1748002698|10.0.9.14|114.204.7.164|17657|80|UDP|28113|22|FIN
1748002708|10.0.4.8|33.124.222.177|18562|80|UDP|31597|339|RST
1748002715|10.0.7.136|102.133.182.72|27090|8080|TCP|51670|94|SYN-ACK
1748002720|10.0.8.106|82.33.101.102|19205|8080|ICMP|56197|48|RST
1748002732|10.0.10.177|62.167.28.211|54452|443|UDP|47942|110|RST
1748002741|10.0.8.91|19.74.6.247|64890|25|ICMP|44544|40|SYN
1748002744|10.0.9.14|114.204.7.164|5872|22|UDP|2125|2|SYN-ACK
1748002755|10.0.1.4|82.33.101.102|15399|8080|UDP|60628|65|
1748002762|10.0.10.68|76.109.213.145|52892|22|ICMP|15651|25|
