date,tx_id,amount_usd,status,report_type
2025-12-08,MXT-A-00356,135.42,SETTLED,TC05
2025-12-09,MXT-A-00400,48.4,SETTLED,TC05
2025-12-09,MXT-A-00401,72.94,SETTLED,TC05
2025-12-09,MXT-A-00402,396.17,SETTLED,TC05
2025-12-09,MXT-A-00403,23.1,SETTLED,TC05
2025-12-09,MXT-A-00404,1038.59,SETTLED,TC05
2025-12-10,MXT-A-00450,40.1,SETTLED,TC05
2025-12-10,MXT-A-00451,135.67,SETTLED,TC05
2025-12-10,MXT-A-00452,1232.87,SETTLED,TC05
2025-12-10,MXT-A-00453,455.68,SETTLED,TC05
2025-12-10,MXT-A-00454,331.32,SETTLED,TC05
2025-12-10,MXT-A-00455,144.46,SETTLED,TC05
2025-12-10,MXT-A-00456,33.32,SETTLED,TC05
2025-12-11,MXT-A-00500,236.42,SETTLED,TC05
2025-12-11,MXT-A-00501,698.44,SETTLED,TC05
2025-12-11,MXT-A-00502,363.34,SETTLED,TC05
2025-12-11,MXT-A-00503,179.3,SETTLED,TC05
2025-12-11,MXT-A-00504,208.83,SETTLED,TC05
2025-12-12,MXT-A-00550,81.69,SETTLED,TC05
2025-12-12,MXT-A-00551,15.2,SETTLED,TC05
2025-12-12,MXT-A-00552,227.57,SETTLED,TC05
2025-12-12,MXT-A-00553,190.57,SETTLED,TC05
2025-12-12,MXT-A-00554,22.75,SETTLED,TC05
2025-12-12,MXT-A-00555,807.69,SETTLED,TC05
2025-12-12,MXT-A-00556,110.3,SETTLED,TC05
2025-12-12,MXT-A-00557,159.51,SETTLED,TC05
2025-12-13,MXT-A-00600,8.1,SETTLED,TC05
2025-12-13,MXT-A-00601,507.45,SETTLED,TC05
2025-12-13,MXT-A-00602,607.75,SETTLED,TC05
2025-12-13,MXT-A-00603,114.36,SETTLED,TC05
2025-12-13,MXT-A-00604,514.13,SETTLED,TC05
2025-12-14,MXT-A-00650,49.61,SETTLED,TC05
2025-12-14,MXT-A-00651,47.2,SETTLED,TC05
2025-12-14,MXT-A-00652,3.64,SETTLED,TC05
2025-12-14,MXT-A-00653,509.63,SETTLED,TC05
2025-12-14,MXT-A-00654,193.93,SETTLED,TC05
2025-12-14,MXT-A-00655,9.63,SETTLED,TC05
2025-12-14,MXT-A-00656,98.76,SETTLED,TC05
2025-12-15,MXT-A-00700,272.02,SETTLED,TC05
2025-12-15,MXT-A-00701,289.4,SETTLED,TC05
2025-12-15,MXT-A-00702,75.92,SETTLED,TC05
2025-12-15,MXT-A-00703,895.11,SETTLED,TC05
2025-12-15,MXT-A-00704,6.94,SETTLED,TC05
2025-12-15,MXT-A-00705,185.84,SETTLED,TC05
2025-12-15,MXT-A-00706,17.24,SETTLED,TC05
2025-12-15,MXT-A-00707,317.18,SETTLED,TC05
2025-12-16,MXT-A-00750,573.8,SETTLED,TC05
2025-12-16,MXT-A-00751,387.37,SETTLED,TC05
2025-12-16,MXT-A-00752,28.65,SETTLED,TC05
2025-12-16,MXT-A-00753,238.1,SETTLED,TC05
2025-12-16,MXT-A-00754,392.04,SETTLED,TC05
2025-12-17,MXT-A-00800,560.54,SETTLED,TC05
2025-12-17,MXT-A-00801,12.82,SETTLED,TC05
2025-12-17,MXT-A-00802,37.37,SETTLED,TC05
2025-12-17,MXT-A-00803,80.47,SETTLED,TC05
2025-12-17,MXT-A-00804,314.79,SETTLED,TC05
2025-12-17,MXT-A-00805,652.06,SETTLED,TC05
2025-12-17,MXT-A-00806,89.24,SETTLED,TC05
2025-12-17,MXT-A-00807,476.61,SETTLED,TC05
2025-12-18,MXT-A-00850,28.66,SETTLED,TC05
2025-12-18,MXT-A-00851,1031.1,SETTLED,TC05
2025-12-18,MXT-A-00852,561.13,SETTLED,TC05
2025-12-18,MXT-A-00853,426.92,SETTLED,TC05
2025-12-18,MXT-A-00854,428.14,SETTLED,TC05
2025-12-18,MXT-A-00855,169.2,SETTLED,TC05
2025-12-18,MXT-A-00856,151.89,SETTLED,TC05
2025-12-18,MXT-A-00857,918.94,SETTLED,TC05
2025-12-19,MXT-A-00900,13.17,SETTLED,TC05
2025-12-19,MXT-A-00901,926.75,SETTLED,TC05
2025-12-19,MXT-A-00902,467.82,SETTLED,TC05
2025-12-19,MXT-A-00903,189.43,SETTLED,TC05
2025-12-19,MXT-A-00904,505.66,SETTLED,TC05
2025-12-20,MXT-A-00950,1132.5,SETTLED,TC05
2025-12-20,MXT-A-00951,86.22,SETTLED,TC05
2025-12-20,MXT-A-00952,45.19,SETTLED,TC05
2025-12-20,MXT-A-00953,400.35,SETTLED,TC05
2025-12-20,MXT-A-00954,16.2,SETTLED,TC05
2025-12-21,MXT-A-01000,152.03,SETTLED,TC05
2025-12-21,MXT-A-01001,524.1,SETTLED,TC05
2025-12-21,MXT-A-01002,420.96,SETTLED,TC05
2025-12-21,MXT-A-01003,857.33,SETTLED,TC05
2025-12-21,MXT-A-01004,53.86,SETTLED,TC05
2025-12-21,MXT-A-01005,212.35,SETTLED,TC05
2025-12-22,MXT-A-01050,32.7,SETTLED,TC05
2025-12-22,MXT-A-01051,185.85,SETTLED,TC05
2025-12-22,MXT-A-01052,182.33,SETTLED,TC05
2025-12-22,MXT-A-01053,18.14,SETTLED,TC05
2025-12-22,MXT-A-01054,164.29,SETTLED,TC05
2025-12-22,MXT-A-01055,828.14,SETTLED,TC05
2025-12-22,MXT-A-01056,995.7,SETTLED,TC05
2025-12-22,MXT-A-01057,389.68,SETTLED,TC05
2025-12-23,MXT-A-01100,245.34,SETTLED,TC05
2025-12-23,MXT-A-01101,61.55,SETTLED,TC05
2025-12-23,MXT-A-01102,246.25,SETTLED,TC05
2025-12-23,MXT-A-01103,158.53,SETTLED,TC05
2025-12-23,MXT-A-01104,198.44,SETTLED,TC05
2025-12-23,MXT-A-01105,642.93,SETTLED,TC05
2025-12-23,MXT-A-01106,124.32,SETTLED,TC05
2025-12-23,MXT-A-01107,584.63,SETTLED,TC05
2025-12-24,MXT-A-01150,87.92,SETTLED,TC05
2025-12-24,MXT-A-01151,546.89,SETTLED,TC05
2025-12-24,MXT-A-01152,213.13,SETTLED,TC05
2025-12-24,MXT-A-01153,486.67,SETTLED,TC05
2025-12-24,MXT-A-01154,141.45,SETTLED,TC05
2025-12-24,MXT-A-01155,132.19,SETTLED,TC05
2025-12-24,MXT-A-01156,130.26,SETTLED,TC05
2025-12-24,MXT-A-01157,56.94,SETTLED,TC05
2025-12-25,MXT-A-01200,341.6,SETTLED,TC05
2025-12-25,MXT-A-01201,159.7,SETTLED,TC05
2025-12-25,MXT-A-01202,295.85,SETTLED,TC05
2025-12-25,MXT-A-01203,372.57,SETTLED,TC05
2025-12-25,MXT-A-01204,1038.76,SETTLED,TC05
2025-12-25,MXT-A-01205,46.53,SETTLED,TC05
2025-12-25,MXT-A-01206,32.37,SETTLED,TC05
2025-12-25,MXT-A-01207,693.36,SETTLED,TC05
2025-12-26,MXT-A-01250,247.63,SETTLED,TC05
2025-12-26,MXT-A-01251,1014.12,SETTLED,TC05
2025-12-26,MXT-A-01252,693.14,SETTLED,TC05
2025-12-26,MXT-A-01253,31.17,SETTLED,TC05
2025-12-26,MXT-A-01254,378.23,SETTLED,TC05
2025-12-26,MXT-A-01255,525.95,SETTLED,TC05
2025-12-26,MXT-A-01256,102.92,SETTLED,TC05
2025-12-27,MXT-A-01300,104.0,SETTLED,TC05
2025-12-27,MXT-A-01301,71.3,SETTLED,TC05
2025-12-27,MXT-A-01302,149.1,SETTLED,TC05
2025-12-27,MXT-A-01303,4.85,SETTLED,TC05
2025-12-27,MXT-A-01304,81.18,SETTLED,TC05
2025-12-27,MXT-A-01305,777.93,SETTLED,TC05
2025-12-27,MXT-A-01306,508.32,SETTLED,TC05
2025-12-27,MXT-A-01307,14.2,SETTLED,TC05
2025-12-28,MXT-A-01350,404.24,SETTLED,TC05
2025-12-28,MXT-A-01351,258.65,SETTLED,TC05
2025-12-28,MXT-A-01352,297.6,SETTLED,TC05
2025-12-28,MXT-A-01353,1683.79,SETTLED,TC05
2025-12-28,MXT-A-01354,623.6,SETTLED,TC05
2025-12-28,MXT-A-01355,446.84,SETTLED,TC05
2025-12-28,MXT-A-01356,313.09,SETTLED,TC05
2025-12-29,MXT-A-01400,36.26,SETTLED,TC05
2025-12-29,MXT-A-01401,71.88,SETTLED,TC05
2025-12-29,MXT-A-01402,942.97,SETTLED,TC05
2025-12-29,MXT-A-01403,643.52,SETTLED,TC05
2025-12-29,MXT-A-01404,319.14,SETTLED,TC05
2025-12-29,MXT-A-01405,141.97,SETTLED,TC05
2025-12-29,MXT-A-01406,128.34,SETTLED,TC05
2025-12-30,MXT-A-01450,218.92,SETTLED,TC05
2025-12-30,MXT-A-01451,57.08,SETTLED,TC05
2025-12-30,MXT-A-01452,251.9,SETTLED,TC05
2025-12-30,MXT-A-01453,74.92,SETTLED,TC05
2025-12-30,MXT-A-01454,22.78,SETTLED,TC05
2025-12-30,MXT-A-01455,229.0,SETTLED,TC05
2025-12-30,MXT-A-01456,703.93,SETTLED,TC05
2025-12-30,MXT-A-01457,399.54,SETTLED,TC05
2025-12-31,MXT-A-01500,48.4,SETTLED,TC05
2025-12-31,MXT-A-01501,47.98,SETTLED,TC05
2025-12-31,MXT-A-01502,86.1,SETTLED,TC05
2025-12-31,MXT-A-01503,400.78,SETTLED,TC05
2025-12-31,MXT-A-01504,464.74,SETTLED,TC05
2025-12-31,MXT-A-01505,750.99,SETTLED,TC05
2025-12-31,MXT-A-01506,475.64,SETTLED,TC05
2026-01-01,MXT-A-01550,10.42,SETTLED,TC05
2026-01-01,MXT-A-01551,56.46,SETTLED,TC05
2026-01-01,MXT-A-01552,664.17,SETTLED,TC05
2026-01-01,MXT-A-01553,342.74,SETTLED,TC05
2026-01-01,MXT-A-01554,452.04,SETTLED,TC05
2026-01-01,MXT-A-01555,346.42,SETTLED,TC05
2026-01-01,MXT-A-01556,421.98,SETTLED,TC05
2026-01-02,MXT-A-01600,48.58,SETTLED,TC05
2026-01-02,MXT-A-01601,43.04,SETTLED,TC05
2026-01-02,MXT-A-01602,8.36,SETTLED,TC05
2026-01-02,MXT-A-01603,33.85,SETTLED,TC05
2026-01-02,MXT-A-01604,141.53,SETTLED,TC05
2026-01-02,MXT-A-01605,469.62,SETTLED,TC05
2026-01-02,MXT-A-01606,52.2,SETTLED,TC05
2026-01-03,MXT-A-01650,29.83,SETTLED,TC05
2026-01-03,MXT-A-01651,30.94,SETTLED,TC05
2026-01-03,MXT-A-01652,324.67,SETTLED,TC05
2026-01-03,MXT-A-01653,59.02,SETTLED,TC05
2026-01-03,MXT-A-01654,195.53,SETTLED,TC05
2026-01-03,MXT-A-01655,751.73,SETTLED,TC05
2026-01-03,MXT-A-01656,311.67,SETTLED,TC05
2026-01-03,MXT-A-01657,341.11,SETTLED,TC05
2026-01-04,MXT-A-01700,96.83,SETTLED,TC05
2026-01-04,MXT-A-01701,60.72,SETTLED,TC05
2026-01-04,MXT-A-01702,96.61,SETTLED,TC05
2026-01-04,MXT-A-01703,60.31,SETTLED,TC05
2026-01-04,MXT-A-01704,68.72,SETTLED,TC05
2026-01-04,MXT-A-01705,229.25,SETTLED,TC05
2026-01-04,MXT-A-01706,262.96,SETTLED,TC05
2026-01-05,MXT-A-01750,543.68,SETTLED,TC05
2026-01-05,MXT-A-01751,195.06,SETTLED,TC05
2026-01-05,MXT-A-01752,123.03,SETTLED,TC05
2026-01-05,MXT-A-01753,36.59,SETTLED,TC05
2026-01-05,MXT-A-01754,124.53,SETTLED,TC05
2026-01-06,MXT-A-01800,64.6,SETTLED,TC05
2026-01-06,MXT-A-01801,212.07,SETTLED,TC05
2026-01-06,MXT-A-01802,77.17,SETTLED,TC05
2026-01-06,MXT-A-01803,818.16,SETTLED,TC05
2026-01-06,MXT-A-01804,384.65,SETTLED,TC05
2026-01-06,MXT-A-01805,563.4,SETTLED,TC05
2026-01-06,MXT-A-01806,1788.89,SETTLED,TC05
2026-01-07,MXT-A-01850,42.14,SETTLED,TC05
2026-01-07,MXT-A-01851,1009.06,SETTLED,TC05
2026-01-07,MXT-A-01852,62.51,SETTLED,TC05
2026-01-07,MXT-A-01853,337.25,SETTLED,TC05
2026-01-07,MXT-A-01854,25.91,SETTLED,TC05
2026-01-07,MXT-A-01855,405.2,SETTLED,TC05
2026-01-07,MXT-A-01856,50.37,SETTLED,TC05
2026-01-08,MXT-A-01900,72.0,SETTLED,TC05
2026-01-08,MXT-A-01901,68.24,SETTLED,TC05
2026-01-08,MXT-A-01902,75.64,SETTLED,TC05
2026-01-08,MXT-A-01903,503.25,SETTLED,TC05
2026-01-08,MXT-A-01904,39.1,SETTLED,TC05
2026-01-08,MXT-A-01905,214.91,SETTLED,TC05
2026-01-09,MXT-A-01950,75.65,SETTLED,TC05
2026-01-09,MXT-A-01951,415.55,SETTLED,TC05
2026-01-09,MXT-A-01952,482.18,SETTLED,TC05
2026-01-09,MXT-A-01953,654.04,SETTLED,TC05
2026-01-09,MXT-A-01954,280.64,SETTLED,TC05
2026-01-09,MXT-A-01955,185.86,SETTLED,TC05
2026-01-09,MXT-A-01956,7.54,SETTLED,TC05
2026-01-09,MXT-A-01957,288.83,SETTLED,TC05
2026-01-10,MXT-A-02000,152.31,SETTLED,TC05
2026-01-10,MXT-A-02001,1011.32,SETTLED,TC05
2026-01-10,MXT-A-02002,26.86,SETTLED,TC05
2026-01-10,MXT-A-02003,222.42,SETTLED,TC05
2026-01-10,MXT-A-02004,6.22,SETTLED,TC05
2026-01-10,MXT-A-02005,153.76,SETTLED,TC05
2026-01-11,MXT-A-02050,31.47,SETTLED,TC05
2026-01-11,MXT-A-02051,287.07,SETTLED,TC05
2026-01-11,MXT-A-02052,296.18,SETTLED,TC05
2026-01-11,MXT-A-02053,560.95,SETTLED,TC05
2026-01-11,MXT-A-02054,515.2,SETTLED,TC05
2026-01-11,MXT-A-02055,410.78,SETTLED,TC05
2026-01-12,MXT-A-02100,449.26,SETTLED,TC05
2026-01-12,MXT-A-02101,757.42,SETTLED,TC05
2026-01-12,MXT-A-02102,366.18,SETTLED,TC05
2026-01-12,MXT-A-02103,439.09,SETTLED,TC05
2026-01-12,MXT-A-02104,88.28,SETTLED,TC05
2026-01-12,MXT-A-02105,445.29,SETTLED,TC05
2026-01-12,MXT-A-02106,169.01,SETTLED,TC05
2026-01-13,MXT-A-02150,168.62,SETTLED,TC05
2026-01-13,MXT-A-02151,242.3,SETTLED,TC05
2026-01-13,MXT-A-02152,765.19,SETTLED,TC05
2026-01-13,MXT-A-02153,381.56,SETTLED,TC05
2026-01-13,MXT-A-02154,88.27,SETTLED,TC05
2026-01-13,MXT-A-02155,142.59,SETTLED,TC05
2026-01-13,MXT-A-02156,1364.26,SETTLED,TC05
2026-01-13,MXT-A-02157,411.44,SETTLED,TC05
2026-01-14,MXT-A-02200,746.29,SETTLED,TC05
2026-01-14,MXT-A-02201,185.13,SETTLED,TC05
2026-01-14,MXT-A-02202,169.47,SETTLED,TC05
2026-01-14,MXT-A-02203,722.46,SETTLED,TC05
2026-01-14,MXT-A-02204,211.03,SETTLED,TC05
2026-01-14,MXT-A-02205,811.48,SETTLED,TC05
2026-01-14,MXT-A-02206,1065.91,SETTLED,TC05
2026-01-14,MXT-A-02207,557.58,SETTLED,TC05
2026-01-15,MXT-A-02250,105.07,SETTLED,TC05
2026-01-15,MXT-A-02251,389.15,SETTLED,TC05
2026-01-15,MXT-A-02252,902.87,SETTLED,TC05
2026-01-15,MXT-A-02253,557.75,SETTLED,TC05
2026-01-15,MXT-A-02254,485.15,SETTLED,TC05
2026-01-15,MXT-A-02255,72.32,SETTLED,TC05
2026-01-15,MXT-A-02256,116.34,SETTLED,TC05
2026-01-16,MXT-A-02300,54.44,SETTLED,TC05
2026-01-16,MXT-A-02301,384.68,SETTLED,TC05
2026-01-16,MXT-A-02302,548.27,SETTLED,TC05
2026-01-16,MXT-A-02303,200.79,SETTLED,TC05
2026-01-16,MXT-A-02304,9.27,SETTLED,TC05
2026-01-17,MXT-A-02350,676.88,SETTLED,TC05
2026-01-17,MXT-A-02351,33.02,SETTLED,TC05
2026-01-17,MXT-A-02352,369.48,SETTLED,TC05
2026-01-17,MXT-A-02353,159.48,SETTLED,TC05
2026-01-17,MXT-A-02354,37.11,SETTLED,TC05
2026-01-17,MXT-A-02355,759.8,SETTLED,TC05
2026-01-18,MXT-A-02400,33.07,SETTLED,TC05
2026-01-18,MXT-A-02401,371.1,SETTLED,TC05
2026-01-18,MXT-A-02402,166.99,SETTLED,TC05
2026-01-18,MXT-A-02403,337.11,SETTLED,TC05
2026-01-18,MXT-A-02404,783.0,SETTLED,TC05
2026-01-18,MXT-A-02405,146.32,SETTLED,TC05
2026-01-18,MXT-A-02406,24.57,SETTLED,TC05
2026-01-18,MXT-A-02407,288.43,SETTLED,TC05
2026-01-19,MXT-A-02450,40.36,SETTLED,TC05
2026-01-19,MXT-A-02451,107.58,SETTLED,TC05
2026-01-19,MXT-A-02452,131.49,SETTLED,TC05
2026-01-19,MXT-A-02453,46.42,SETTLED,TC05
2026-01-19,MXT-A-02454,103.82,SETTLED,TC05
2026-01-20,MXT-A-02500,75.79,SETTLED,TC05
2026-01-20,MXT-A-02501,393.22,SETTLED,TC05
2026-01-20,MXT-A-02502,179.23,SETTLED,TC05
2026-01-20,MXT-A-02503,263.19,SETTLED,TC05
2026-01-20,MXT-A-02504,202.48,SETTLED,TC05
2026-01-20,MXT-A-02505,126.15,SETTLED,TC05
2026-01-20,MXT-A-02506,431.5,SETTLED,TC05
2026-01-20,MXT-A-02507,105.27,SETTLED,TC05
2026-01-21,MXT-A-02550,593.12,SETTLED,TC05
2026-01-21,MXT-A-02551,24.53,SETTLED,TC05
2026-01-21,MXT-A-02552,162.46,SETTLED,TC05
2026-01-21,MXT-A-02553,357.31,SETTLED,TC05
2026-01-21,MXT-A-02554,592.69,SETTLED,TC05
2026-01-21,MXT-A-02555,184.87,SETTLED,TC05
2026-01-21,MXT-A-02556,299.91,SETTLED,TC05
2026-01-21,MXT-A-02557,292.41,SETTLED,TC05
2026-01-22,MXT-A-02600,363.36,SETTLED,TC05
2026-01-22,MXT-A-02601,664.07,SETTLED,TC05
2026-01-22,MXT-A-02602,208.1,SETTLED,TC05
2026-01-22,MXT-A-02603,331.26,SETTLED,TC05
2026-01-22,MXT-A-02604,444.36,SETTLED,TC05
2026-01-22,MXT-A-02605,38.69,SETTLED,TC05
2026-01-22,MXT-A-02606,49.61,SETTLED,TC05
2026-01-23,MXT-A-02650,430.95,SETTLED,TC05
2026-01-23,MXT-A-02651,822.43,SETTLED,TC05
2026-01-23,MXT-A-02652,656.49,SETTLED,TC05
2026-01-23,MXT-A-02653,767.76,SETTLED,TC05
2026-01-23,MXT-A-02654,22.96,SETTLED,TC05
2026-01-23,MXT-A-02655,420.57,SETTLED,TC05
2026-01-23,MXT-A-02656,101.52,SETTLED,TC05
2026-01-24,MXT-A-02700,80.13,SETTLED,TC05
2026-01-24,MXT-A-02701,169.79,SETTLED,TC05
2026-01-24,MXT-A-02702,194.82,SETTLED,TC05
2026-01-24,MXT-A-02703,524.31,SETTLED,TC05
2026-01-24,MXT-A-02704,225.48,SETTLED,TC05
2026-01-24,MXT-A-02705,161.77,SETTLED,TC05
2026-01-24,MXT-A-02706,201.13,SETTLED,TC05
2026-01-24,MXT-A-02707,97.17,SETTLED,TC05
2026-01-25,MXT-A-02750,6.46,SETTLED,TC05
2026-01-25,MXT-A-02751,300.37,SETTLED,TC05
2026-01-25,MXT-A-02752,109.76,SETTLED,TC05
2026-01-25,MXT-A-02753,93.32,SETTLED,TC05
2026-01-25,MXT-A-02754,330.9,SETTLED,TC05
2026-01-25,MXT-A-02755,342.48,SETTLED,TC05
2026-01-25,MXT-A-02756,450.12,SETTLED,TC05
2026-01-25,MXT-A-02757,543.2,SETTLED,TC05
2026-01-26,MXT-A-02800,271.0,SETTLED,TC05
2026-01-26,MXT-A-02801,520.14,SETTLED,TC05
2026-01-26,MXT-A-02802,403.57,SETTLED,TC05
2026-01-26,MXT-A-02803,436.86,SETTLED,TC05
2026-01-26,MXT-A-02804,245.85,SETTLED,TC05
2026-01-27,MXT-A-02850,155.37,SETTLED,TC05
2026-01-27,MXT-A-02851,99.28,SETTLED,TC05
2026-01-27,MXT-A-02852,18.46,SETTLED,TC05
2026-01-27,MXT-A-02853,300.3,SETTLED,TC05
2026-01-27,MXT-A-02854,95.07,SETTLED,TC05
2026-01-28,MXT-A-02900,543.38,SETTLED,TC05
2026-01-28,MXT-A-02901,115.65,SETTLED,TC05
2026-01-28,MXT-A-02902,66.27,SETTLED,TC05
2026-01-28,MXT-A-02903,33.24,SETTLED,TC05
2026-01-28,MXT-A-02904,394.09,SETTLED,TC05
2026-01-28,MXT-A-02905,112.26,SETTLED,TC05
2026-01-28,MXT-A-02906,228.76,SETTLED,TC05
2026-01-29,MXT-A-02950,168.45,SETTLED,TC05
2026-01-29,MXT-A-02951,213.88,SETTLED,TC05
2026-01-29,MXT-A-02952,77.3,SETTLED,TC05
2026-01-29,MXT-A-02953,457.54,SETTLED,TC05
2026-01-29,MXT-A-02954,474.31,SETTLED,TC05
2026-01-29,MXT-A-02955,232.06,SETTLED,TC05
2026-01-30,MXT-A-03000,331.17,SETTLED,TC05
2026-01-30,MXT-A-03001,909.91,SETTLED,TC05
2026-01-30,MXT-A-03002,61.66,SETTLED,TC05
2026-01-30,MXT-A-03003,642.52,SETTLED,TC05
2026-01-30,MXT-A-03004,161.5,SETTLED,TC05
2026-01-30,MXT-A-03005,165.23,SETTLED,TC05
2026-01-30,MXT-A-03006,162.49,SETTLED,TC05
2026-01-31,MXT-A-03050,88.33,SETTLED,TC05
2026-01-31,MXT-A-03051,166.04,SETTLED,TC05
2026-01-31,MXT-A-03052,194.85,SETTLED,TC05
2026-01-31,MXT-A-03053,244.47,SETTLED,TC05
2026-01-31,MXT-A-03054,139.29,SETTLED,TC05
2026-01-31,MXT-A-03055,47.96,SETTLED,TC05
2026-02-01,MXT-A-03100,148.69,SETTLED,TC05
2026-02-01,MXT-A-03101,276.76,SETTLED,TC05
2026-02-01,MXT-A-03102,472.81,SETTLED,TC05
2026-02-01,MXT-A-03103,679.96,SETTLED,TC05
2026-02-01,MXT-A-03104,561.41,SETTLED,TC05
2026-02-01,MXT-A-03105,191.98,SETTLED,TC05
2026-02-02,MXT-A-03150,192.38,SETTLED,TC05
2026-02-02,MXT-A-03151,40.06,SETTLED,TC05
2026-02-02,MXT-A-03152,390.74,SETTLED,TC05
2026-02-02,MXT-A-03153,61.78,SETTLED,TC05
2026-02-02,MXT-A-03154,44.84,SETTLED,TC05
2026-02-02,MXT-A-03155,89.41,SETTLED,TC05
2026-02-02,MXT-A-03156,211.8,SETTLED,TC05
2026-02-03,MXT-A-03200,20.26,SETTLED,TC05
2026-02-03,MXT-A-03201,92.37,SETTLED,TC05
2026-02-03,MXT-A-03202,173.03,SETTLED,TC05
2026-02-03,MXT-A-03203,319.23,SETTLED,TC05
2026-02-03,MXT-A-03204,139.92,SETTLED,TC05
2026-02-04,MXT-A-03250,8.06,SETTLED,TC05
2026-02-04,MXT-A-03251,415.72,SETTLED,TC05
2026-02-04,MXT-A-03252,132.66,SETTLED,TC05
2026-02-04,MXT-A-03253,3.29,SETTLED,TC05
2026-02-04,MXT-A-03254,241.91,SETTLED,TC05
2026-02-04,MXT-A-03255,259.54,SETTLED,TC05
2026-02-05,MXT-A-03300,147.91,SETTLED,TC05
2026-02-05,MXT-A-03301,142.47,SETTLED,TC05
2026-02-05,MXT-A-03302,518.21,SETTLED,TC05
2026-02-05,MXT-A-03303,357.09,SETTLED,TC05
2026-02-05,MXT-A-03304,65.06,SETTLED,TC05
2026-02-05,MXT-A-03305,134.67,SETTLED,TC05
2026-02-05,MXT-A-03306,126.72,SETTLED,TC05
2026-02-06,MXT-A-03350,342.55,SETTLED,TC05
2026-02-06,MXT-A-03351,282.4,SETTLED,TC05
2026-02-06,MXT-A-03352,47.57,SETTLED,TC05
2026-02-06,MXT-A-03353,20.61,SETTLED,TC05
2026-02-06,MXT-A-03354,31.39,SETTLED,TC05
2026-02-06,MXT-A-03355,74.0,SETTLED,TC05
2026-02-06,MXT-A-03356,143.23,SETTLED,TC05
2026-02-06,MXT-A-03357,438.94,SETTLED,TC05
2026-02-07,MXT-A-03400,61.23,SETTLED,TC05
2026-02-07,MXT-A-03401,453.49,SETTLED,TC05
2026-02-07,MXT-A-03402,632.96,SETTLED,TC05
2026-02-07,MXT-A-03403,163.37,SETTLED,TC05
2026-02-07,MXT-A-03404,18.23,SETTLED,TC05
2026-02-07,MXT-A-03405,744.23,SETTLED,TC05
2026-02-08,MXT-A-03450,570.75,SETTLED,TC05
2026-02-08,MXT-A-03451,123.2,SETTLED,TC05
