paper_id	paper_doi	researcher_group	journal	year	fig_pair	similarity_score	verdict	method	review_status	notes
PID-0057	10.1182/bld.9000056	Ghobrial	Oncogene	1998	Fig.2B-vs-Fig.8A	0.8271	SIMILAR	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-09-15
PID-0058	10.1182/bld.9000057	Ghobrial	Blood	2008	Fig.3B-vs-Fig.7B	0.5741	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-10-15
PID-0059	10.1182/bld.9000058	Anderson	Nature Medicine	2002	Fig.2C-vs-Fig.1B	0.8473	SIMILAR	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-11-15
PID-0060	10.1182/bld.9000059	Glimcher	Blood	2014	Fig.6D-vs-Fig.7C	0.6796	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #2, scan date 2024-12-15
PID-0061	10.1182/bld.9000060	Hahn	Cancer Cell	2000	Fig.8A-vs-Fig.1A	0.9698	DUPLICATE	ImageTwin_v2.1	pending	Batch analysis #2, scan date 2024-01-15
PID-0062	10.1182/bld.9000061	Glimcher	Nature Medicine	2006	Fig.7A-vs-Fig.2D	0.751	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #2, scan date 2024-02-15
PID-0063	10.1182/bld.9000062	Anderson	Science	2004	Fig.5C-vs-Fig.6B	0.7885	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-03-15
PID-0064	10.1182/bld.9000063	Ghobrial	Oncogene	2005	Fig.6D-vs-Fig.2B	0.9049	SIMILAR	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-04-15
PID-0065	10.1182/bld.9000064	Anderson	Nature Medicine	2021	Fig.7C-vs-Fig.3B	0.6788	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-05-15
PID-0066	10.1182/bld.9000065	Hahn	Science	2019	Fig.2D-vs-Fig.7B	0.4543	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #2, scan date 2024-06-15
PID-0067	10.1182/bld.9000066	Anderson	Science	2000	Fig.7C-vs-Fig.2C	0.711	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-07-15
PID-0068	10.1182/bld.9000067	Hahn	Molecular Cell	2020	Fig.4C-vs-Fig.6A	0.6903	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #2, scan date 2024-08-15
PID-0069	10.1182/bld.9000068	Ghobrial	Science	2018	Fig.7B-vs-Fig.4B	0.6341	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #2, scan date 2024-09-15
PID-0070	10.1182/bld.9000069	Glimcher	Nature Medicine	2019	Fig.3A-vs-Fig.4C	0.6176	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #2, scan date 2024-10-15
PID-0071	10.1182/bld.9000070	Glimcher	Molecular Cell	2003	Fig.1D-vs-Fig.7B	0.9501	DUPLICATE	ImageTwin_v2.1	pending	Batch analysis #2, scan date 2024-11-15
PID-0072	10.1182/bld.9000071	Hahn	Oncogene	1999	Fig.4A-vs-Fig.3A	0.9504	DUPLICATE	ImageTwin_v2.1	reviewed	Batch analysis #2, scan date 2024-12-15
PID-0073	10.1182/bld.9000072	Anderson	PNAS	2018	Fig.4B-vs-Fig.3B	0.834	SIMILAR	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-01-15
PID-0074	10.1182/bld.9000073	Glimcher	Nature Medicine	2008	Fig.1D-vs-Fig.5B	0.8757	SIMILAR	ImageTwin_v2.1	pending	Batch analysis #2, scan date 2024-02-15
PID-0075	10.1182/bld.9000074	Glimcher	Cancer Cell	2002	Fig.4A-vs-Fig.8D	0.6339	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-03-15
PID-0076	10.1182/bld.9000075	Ghobrial	Cancer Cell	2005	Fig.2A-vs-Fig.3B	0.9578	DUPLICATE	ImageTwin_v2.1	disputed	Batch analysis #2, scan date 2024-04-15
PID-0077	10.1182/bld.9000076	Hahn	PNAS	2007	Fig.5A-vs-Fig.3D	0.8344	SIMILAR	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-05-15
PID-0078	10.1182/bld.9000077	Anderson	Leukemia	2016	Fig.5D-vs-Fig.3C	0.9901	DUPLICATE	ImageTwin_v2.1	disputed	Batch analysis #2, scan date 2024-06-15
PID-0079	10.1182/bld.9000078	Glimcher	PNAS	2003	Fig.2C-vs-Fig.1C	0.7494	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #2, scan date 2024-07-15
PID-0080	10.1182/bld.9000079	Glimcher	Cancer Cell	2016	Fig.5D-vs-Fig.5B	0.9971	DUPLICATE	ImageTwin_v2.1	reviewed	Batch analysis #2, scan date 2024-08-15
PID-0081	10.1182/bld.9000080	Anderson	PNAS	1998	Fig.3B-vs-Fig.1D	0.8556	SIMILAR	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-09-15
PID-0082	10.1182/bld.9000081	Ghobrial	PNAS	2014	Fig.1A-vs-Fig.8D	0.6258	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-10-15
PID-0083	10.1182/bld.9000082	Anderson	Leukemia	2022	Fig.6D-vs-Fig.2C	0.6558	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #2, scan date 2024-11-15
PID-0084	10.1182/bld.9000083	Glimcher	Oncogene	2002	Fig.3C-vs-Fig.1C	0.6728	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #2, scan date 2024-12-15
PID-0085	10.1182/bld.9000084	Ghobrial	Blood	2008	Fig.5B-vs-Fig.2A	0.5881	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #2, scan date 2024-01-15
PID-0086	10.1182/bld.9000085	Ghobrial	Nature Medicine	1998	Fig.7D-vs-Fig.7C	0.8283	SIMILAR	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-02-15
PID-0087	10.1182/bld.9000086	Hahn	PNAS	2010	Fig.2C-vs-Fig.5C	0.9551	DUPLICATE	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-03-15
PID-0088	10.1182/bld.9000087	Glimcher	Molecular Cell	2002	Fig.2A-vs-Fig.6B	0.9893	DUPLICATE	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-04-15
PID-0089	10.1182/bld.9000088	Hahn	PNAS	2002	Fig.5B-vs-Fig.1C	0.8949	SIMILAR	ImageTwin_v2.1	disputed	Batch analysis #2, scan date 2024-05-15
PID-0090	10.1182/bld.9000089	Ghobrial	Molecular Cell	2005	Fig.1C-vs-Fig.1D	0.5927	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #2, scan date 2024-06-15
PID-0091	10.1182/bld.9000090	Anderson	Leukemia	2006	Fig.4A-vs-Fig.6D	0.6472	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-07-15
PID-0092	10.1182/bld.9000091	Anderson	Blood	2022	Fig.4D-vs-Fig.3C	0.9571	DUPLICATE	ImageTwin_v2.1	disputed	Batch analysis #2, scan date 2024-08-15
PID-0093	10.1182/bld.9000092	Glimcher	Leukemia	2020	Fig.6A-vs-Fig.8C	0.8453	SIMILAR	ImageTwin_v2.1	pending	Batch analysis #2, scan date 2024-09-15
PID-0094	10.1182/bld.9000093	Anderson	PNAS	1998	Fig.4B-vs-Fig.7C	0.9588	DUPLICATE	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-10-15
PID-0095	10.1182/bld.9000094	Anderson	Cancer Cell	1999	Fig.2D-vs-Fig.4D	0.9468	SIMILAR	ImageTwin_v2.1	reviewed	Batch analysis #2, scan date 2024-11-15
PID-0096	10.1182/bld.9000095	Hahn	Cancer Cell	2011	Fig.3D-vs-Fig.7A	0.6158	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-12-15
PID-0097	10.1182/bld.9000096	Anderson	Nature Medicine	1998	Fig.2C-vs-Fig.1D	0.5028	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #2, scan date 2024-01-15
PID-0098	10.1182/bld.9000097	Hahn	Nature Medicine	2001	Fig.2B-vs-Fig.4A	0.9506	DUPLICATE	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-02-15
PID-0099	10.1182/bld.9000098	Ghobrial	Blood	2021	Fig.8C-vs-Fig.3A	0.8373	SIMILAR	ImageTwin_v2.1	confirmed	Batch analysis #2, scan date 2024-03-15
PID-0100	10.1182/bld.9000099	Glimcher	Blood	2022	Fig.8D-vs-Fig.1A	0.6841	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #2, scan date 2024-04-15
PID-0101	10.1182/bld.9000100	Hahn	Nature Medicine	2001	Fig.3D-vs-Fig.2C	0.861	SIMILAR	ImageTwin_v2.1	reviewed	Batch analysis #3, scan date 2024-05-15
PID-0102	10.1182/bld.9000101	Anderson	PNAS	2002	Fig.3B-vs-Fig.8B	0.8073	SIMILAR	ImageTwin_v2.1	pending	Batch analysis #3, scan date 2024-06-15
PID-0103	10.1182/bld.9000102	Anderson	Nature Medicine	2012	Fig.6C-vs-Fig.2D	0.6039	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #3, scan date 2024-07-15
PID-0104	10.1182/bld.9000103	Glimcher	Molecular Cell	2002	Fig.3B-vs-Fig.3D	0.9275	SIMILAR	ImageTwin_v2.1	pending	Batch analysis #3, scan date 2024-08-15
PID-0105	10.1182/bld.9000104	Glimcher	Blood	2019	Fig.7A-vs-Fig.6C	0.8873	SIMILAR	ImageTwin_v2.1	reviewed	Batch analysis #3, scan date 2024-09-15
PID-0106	10.1182/bld.9000105	Hahn	Blood	2012	Fig.3C-vs-Fig.7B	0.992	DUPLICATE	ImageTwin_v2.1	confirmed	Batch analysis #3, scan date 2024-10-15
PID-0107	10.1182/bld.9000106	Glimcher	Science	2016	Fig.3B-vs-Fig.6A	0.7916	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #3, scan date 2024-11-15
PID-0108	10.1182/bld.9000107	Anderson	PNAS	1999	Fig.1A-vs-Fig.6A	0.9007	SIMILAR	ImageTwin_v2.1	confirmed	Batch analysis #3, scan date 2024-12-15
PID-0109	10.1182/bld.9000108	Hahn	Molecular Cell	2001	Fig.8C-vs-Fig.6B	0.6034	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #3, scan date 2024-01-15
PID-0110	10.1182/bld.9000109	Hahn	Oncogene	2018	Fig.2B-vs-Fig.4C	0.7285	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #3, scan date 2024-02-15
PID-0111	10.1182/bld.9000110	Hahn	Blood	2008	Fig.5B-vs-Fig.6C	0.6193	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #3, scan date 2024-03-15
PID-0112	10.1182/bld.9000111	Ghobrial	PNAS	2008	Fig.4A-vs-Fig.3B	0.8692	SIMILAR	ImageTwin_v2.1	reviewed	Batch analysis #3, scan date 2024-04-15
PID-0113	10.1182/bld.9000112	Ghobrial	Oncogene	2013	Fig.1B-vs-Fig.1B	0.6245	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #3, scan date 2024-05-15
PID-0114	10.1182/bld.9000113	Anderson	Cancer Cell	2011	Fig.5C-vs-Fig.6A	0.5111	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #3, scan date 2024-06-15
PID-0115	10.1182/bld.9000114	Anderson	Cancer Cell	2017	Fig.6D-vs-Fig.6D	0.9706	DUPLICATE	ImageTwin_v2.1	confirmed	Batch analysis #3, scan date 2024-07-15
PID-0116	10.1182/bld.9000115	Ghobrial	Blood	2014	Fig.7A-vs-Fig.1A	0.6242	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #3, scan date 2024-08-15
PID-0117	10.1182/bld.9000116	Glimcher	Science	2018	Fig.3C-vs-Fig.3D	0.7808	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #3, scan date 2024-09-15
PID-0118	10.1182/bld.9000117	Glimcher	Leukemia	2007	Fig.5A-vs-Fig.7C	0.6088	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #3, scan date 2024-10-15
PID-0119	10.1182/bld.9000118	Anderson	Cancer Cell	2015	Fig.8A-vs-Fig.1B	0.4744	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #3, scan date 2024-11-15
PID-0120	10.1182/bld.9000119	Glimcher	Molecular Cell	2008	Fig.7D-vs-Fig.6D	0.9068	SIMILAR	ImageTwin_v2.1	pending	Batch analysis #3, scan date 2024-12-15
PID-0121	10.1182/bld.9000120	Anderson	Cancer Cell	2010	Fig.5D-vs-Fig.4B	0.9119	SIMILAR	ImageTwin_v2.1	reviewed	Batch analysis #3, scan date 2024-01-15
PID-0122	10.1182/bld.9000121	Ghobrial	Leukemia	2005	Fig.1A-vs-Fig.3D	0.509	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #3, scan date 2024-02-15
PID-0123	10.1182/bld.9000122	Ghobrial	Science	2021	Fig.7A-vs-Fig.7C	0.5747	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #3, scan date 2024-03-15
PID-0124	10.1182/bld.9000123	Glimcher	Leukemia	2004	Fig.3C-vs-Fig.7B	0.8115	SIMILAR	ImageTwin_v2.1	pending	Batch analysis #3, scan date 2024-04-15
PID-0125	10.1182/bld.9000124	Ghobrial	Science	2009	Fig.7D-vs-Fig.1B	0.808	SIMILAR	ImageTwin_v2.1	confirmed	Batch analysis #3, scan date 2024-05-15
PID-0126	10.1182/bld.9000125	Hahn	Molecular Cell	2020	Fig.8D-vs-Fig.3D	0.9924	DUPLICATE	ImageTwin_v2.1	disputed	Batch analysis #3, scan date 2024-06-15
PID-0127	10.1182/bld.9000126	Anderson	Leukemia	2022	Fig.2B-vs-Fig.7C	0.7263	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #3, scan date 2024-07-15
PID-0128	10.1182/bld.9000127	Ghobrial	Oncogene	2002	Fig.5D-vs-Fig.6B	0.521	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #3, scan date 2024-08-15
PID-0129	10.1182/bld.9000128	Anderson	Blood	2005	Fig.1A-vs-Fig.3B	0.675	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #3, scan date 2024-09-15
PID-0130	10.1182/bld.9000129	Hahn	Leukemia	2003	Fig.7C-vs-Fig.5D	0.5055	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #3, scan date 2024-10-15
PID-0131	10.1182/bld.9000130	Hahn	Oncogene	1998	Fig.3A-vs-Fig.3B	0.4852	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #3, scan date 2024-11-15
PID-0132	10.1182/bld.9000131	Ghobrial	PNAS	2009	Fig.1B-vs-Fig.8C	0.7934	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #3, scan date 2024-12-15
PID-0133	10.1182/bld.9000132	Anderson	Oncogene	2004	Fig.3B-vs-Fig.7D	0.7729	DISTINCT	ImageTwin_v2.1	pending	Batch analysis #3, scan date 2024-01-15
PID-0134	10.1182/bld.9000133	Anderson	PNAS	1999	Fig.5B-vs-Fig.6D	0.9014	SIMILAR	ImageTwin_v2.1	confirmed	Batch analysis #3, scan date 2024-02-15
PID-0135	10.1182/bld.9000134	Hahn	Leukemia	2017	Fig.7D-vs-Fig.3B	0.8797	SIMILAR	ImageTwin_v2.1	pending	Batch analysis #3, scan date 2024-03-15
PID-0136	10.1182/bld.9000135	Hahn	Leukemia	2014	Fig.2D-vs-Fig.2A	0.6712	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #3, scan date 2024-04-15
PID-0137	10.1182/bld.9000136	Glimcher	PNAS	2016	Fig.8D-vs-Fig.3A	0.6676	DISTINCT	ImageTwin_v2.1	reviewed	Batch analysis #3, scan date 2024-05-15
PID-0138	10.1182/bld.9000137	Hahn	Molecular Cell	1999	Fig.5B-vs-Fig.8B	0.583	DISTINCT	ImageTwin_v2.1	confirmed	Batch analysis #3, scan date 2024-06-15
PID-0139	10.1182/bld.9000138	Glimcher	Molecular Cell	2016	Fig.7A-vs-Fig.5C	0.5964	DISTINCT	ImageTwin_v2.1	disputed	Batch analysis #3, scan date 2024-07-15
PID-0140	10.1182/bld.9000139	Anderson	PNAS	1999	Fig.6A-vs-Fig.4B	0.889	SIMILAR	ImageTwin_v2.1	pending	Batch analysis #3, scan date 2024-08-15
PID-0141	10.1182/bld.9000140	Ghobrial	Blood	2018	Fig.5B-vs-Fig.2C	0.8097	SIMILAR	ImageTwin_v2.1	confirmed	Batch analysis #3, scan date 2024-09-15
