date,description,debit_usd,credit_usd,balance_usd
2026-04-02,Sound Transit Pass,487.76,,63030.49
2026-04-07,Puget Sound Energy,103.64,,62926.85
2026-04-13,Safeway Seattle,374.12,,62552.73
2026-04-22,Verizon Wireless,159.10,,62393.63
2026-04-01,PayPal Transfer,62.56,,62331.07
2026-04-17,Puget Sound Energy,276.56,,62054.51
2026-05-01,Employer ACH Payroll,,8125.00,70179.51
2026-05-15,Employer ACH Payroll,,8125.00,78304.51
2026-05-06,Fidelity Rollover,314.03,,77990.48
2026-05-15,PayPal Transfer,163.04,,77827.44
2026-05-24,Target Corporation,327.01,,77500.43
2026-05-07,Puget Sound Energy,283.95,,77216.48
2026-05-11,PayPal Transfer,303.34,,76913.14
2026-05-25,Employer ACH Payroll,471.62,,76441.52
2026-05-19,Starbucks Coffee,338.50,,76103.02
2026-05-16,PCC Community Markets,408.73,,75694.29
2026-05-17,Employer ACH Payroll,363.79,,75330.50
2026-05-21,Netflix Subscription,350.12,,74980.38
2026-05-03,Netflix Subscription,100.05,,74880.33
2026-05-19,PCC Community Markets,213.24,,74667.09
2026-05-20,Fidelity Rollover,51.23,,74615.86
2026-05-09,Schwab Wire Transfer,253.97,,74361.89
2026-05-28,Whole Foods Market,417.69,,73944.20
2026-05-20,Amazon Prime,40.79,,73903.41
2026-05-01,Netflix Subscription,209.99,,73693.42
2026-05-22,Spotify Premium,207.03,,73486.39
2026-05-26,Starbucks Coffee,370.67,,73115.72
2026-05-14,Venmo Settlement,445.18,,72670.54
2026-05-22,Schwab Wire Transfer,469.41,,72201.13
2026-05-14,Kaiser Permanente Insurance,63.79,,72137.34
2026-06-01,Employer ACH Payroll,,8125.00,80262.34
2026-06-15,Employer ACH Payroll,,8125.00,88387.34
2026-06-24,PayPal Transfer,498.64,,87888.70
2026-06-05,Fidelity Rollover,170.23,,87718.47
2026-06-05,Whole Foods Market,420.38,,87298.09
2026-06-07,Starbucks Coffee,428.70,,86869.39
2026-06-28,Puget Sound Energy,311.47,,86557.92
2026-06-23,PCC Community Markets,184.67,,86373.25
2026-06-23,Employer ACH Payroll,40.41,,86332.84
2026-06-26,Safeway Seattle,129.65,,86203.19
2026-06-26,Verizon Wireless,302.90,,85900.29
2026-06-17,Schwab Wire Transfer,407.43,,85492.86
2026-06-03,Puget Sound Energy,117.54,,85375.32
2026-06-01,Fidelity Rollover,353.47,,85021.85
2026-06-17,Sound Transit Pass,319.01,,84702.84
2026-06-24,Puget Sound Energy,460.72,,84242.12
2026-06-27,King County Metro,446.31,,83795.81
2026-07-01,Employer ACH Payroll,,8125.00,91920.81
2026-07-15,Employer ACH Payroll,,8125.00,100045.81
2026-07-07,Puget Sound Energy,227.63,,99818.18
2026-07-18,REI Co-op Purchase,278.32,,99539.86
2026-07-14,Netflix Subscription,330.92,,99208.94
2026-07-27,Kaiser Permanente Insurance,474.60,,98734.34
2026-07-10,Kaiser Permanente Insurance,368.26,,98366.08
2026-07-27,Sound Transit Pass,435.96,,97930.12
2026-07-13,Venmo Settlement,432.92,,97497.20
2026-07-08,Schwab Wire Transfer,341.43,,97155.77
2026-07-23,Employer ACH Payroll,443.17,,96712.60
2026-07-21,Venmo Settlement,156.81,,96555.79
2026-07-14,Sound Transit Pass,229.96,,96325.83
2026-07-28,REI Co-op Purchase,216.79,,96109.04
2026-07-22,Puget Sound Energy,329.83,,95779.21
2026-07-19,Spotify Premium,491.60,,95287.61
2026-07-02,REI Co-op Purchase,436.44,,94851.17
2026-07-18,Target Corporation,397.55,,94453.62
2026-07-03,Safeway Seattle,293.59,,94160.03
2026-07-08,Microsoft RSU Vesting,314.68,,93845.35
2026-07-16,Target Corporation,329.70,,93515.65
2026-08-01,Employer ACH Payroll,,8125.00,101640.65
2026-08-15,Employer ACH Payroll,,8125.00,109765.65
2026-08-13,Venmo Settlement,488.06,,109277.59
2026-08-15,Starbucks Coffee,393.30,,108884.29
2026-08-12,Spotify Premium,268.48,,108615.81
2026-08-05,Sound Transit Pass,222.42,,108393.39
2026-08-07,PayPal Transfer,271.66,,108121.73
2026-08-07,Netflix Subscription,273.19,,107848.54
2026-08-08,Fidelity Rollover,328.79,,107519.75
2026-08-27,Apple iCloud Storage,67.17,,107452.58
2026-08-03,PCC Community Markets,259.51,,107193.07
2026-08-05,Kaiser Permanente Insurance,453.08,,106739.99
2026-08-25,PCC Community Markets,69.81,,106670.18
2026-08-16,Apple iCloud Storage,159.43,,106510.75
2026-08-27,Amazon Prime,362.97,,106147.78
2026-08-21,PCC Community Markets,77.58,,106070.20
2026-08-13,Puget Sound Energy,314.81,,105755.39
2026-08-09,Microsoft RSU Vesting,306.39,,105449.00
2026-08-10,Venmo Settlement,122.96,,105326.04
2026-08-18,Sound Transit Pass,190.55,,105135.49
2026-08-25,PayPal Transfer,500.63,,104634.86
2026-08-10,Fidelity Rollover,83.32,,104551.54
2026-08-10,PayPal Transfer,205.75,,104345.79
2026-08-06,Zelle Payment Received,32.97,,104312.82
2026-09-01,Employer ACH Payroll,,8125.00,112437.82
2026-09-15,Employer ACH Payroll,,8125.00,120562.82
2026-09-02,Schwab Wire Transfer,372.47,,120190.35
2026-09-08,Amazon Prime,36.84,,120153.51
2026-09-15,PayPal Transfer,123.66,,120029.85
2026-09-24,Employer ACH Payroll,155.09,,119874.76
2026-09-13,Microsoft RSU Vesting,411.16,,119463.60
2026-09-13,Amazon Prime,502.72,,118960.88
2026-09-02,Employer ACH Payroll,180.80,,118780.08
2026-09-19,Sound Transit Pass,485.61,,118294.47
2026-09-24,Target Corporation,453.74,,117840.73
2026-09-10,Zelle Payment Received,222.60,,117618.13
2026-09-17,REI Co-op Purchase,520.00,,117098.13
2026-09-25,Venmo Settlement,72.45,,117025.68
2026-09-26,Puget Sound Energy,93.11,,116932.57
2026-09-20,Apple iCloud Storage,36.56,,116896.01
2026-09-17,Zelle Payment Received,26.19,,116869.82
2026-09-18,Apple iCloud Storage,322.41,,116547.41
2026-09-04,Safeway Seattle,130.99,,116416.42
2026-09-09,Safeway Seattle,250.63,,116165.79
2026-09-10,Employer ACH Payroll,519.99,,115645.80
2026-09-24,Venmo Settlement,218.33,,115427.47
2026-09-26,Kaiser Permanente Insurance,382.66,,115044.81
2026-10-01,Employer ACH Payroll,,8125.00,123169.81
2026-10-15,Employer ACH Payroll,,8125.00,131294.81
2026-10-07,Schwab Wire Transfer,32.58,,131262.23
2026-10-17,Schwab Wire Transfer,94.18,,131168.05
2026-10-16,Schwab Wire Transfer,289.65,,130878.40
2026-10-14,Whole Foods Market,108.88,,130769.52
2026-10-07,Target Corporation,154.85,,130614.67
2026-10-15,Puget Sound Energy,266.34,,130348.33
2026-10-06,PayPal Transfer,240.86,,130107.47
2026-10-25,King County Metro,213.90,,129893.57
2026-10-12,Starbucks Coffee,459.26,,129434.31
2026-10-21,Venmo Settlement,54.02,,129380.29
2026-10-18,Zelle Payment Received,369.02,,129011.27
2026-10-28,King County Metro,343.98,,128667.29
2026-10-10,Target Corporation,390.06,,128277.23
2026-10-15,Safeway Seattle,449.81,,127827.42
2026-10-18,Verizon Wireless,354.58,,127472.84
2026-10-28,Microsoft RSU Vesting,175.77,,127297.07
2026-10-24,REI Co-op Purchase,257.36,,127039.71
2026-10-15,Target Corporation,502.93,,126536.78
2026-10-25,Employer ACH Payroll,147.24,,126389.54
2026-11-01,Employer ACH Payroll,,8125.00,134514.54
2026-11-15,Employer ACH Payroll,,8125.00,142639.54
2026-11-17,Zelle Payment Received,191.42,,142448.12
2026-11-13,Zelle Payment Received,452.80,,141995.32
2026-11-07,Apple iCloud Storage,425.85,,141569.47
2026-11-08,Starbucks Coffee,256.60,,141312.87
2026-11-24,Zelle Payment Received,304.45,,141008.42
2026-11-22,REI Co-op Purchase,473.63,,140534.79
2026-11-25,Puget Sound Energy,432.09,,140102.70
2026-11-02,Spotify Premium,155.34,,139947.36
2026-11-15,PCC Community Markets,263.43,,139683.93
2026-11-24,PayPal Transfer,483.06,,139200.87
2026-11-28,Verizon Wireless,519.51,,138681.36
2026-11-16,Zelle Payment Received,136.50,,138544.86
2026-11-08,King County Metro,227.92,,138316.94
2026-11-21,Kaiser Permanente Insurance,491.17,,137825.77
2026-11-04,Fidelity Rollover,43.46,,137782.31
2026-11-03,Zelle Payment Received,306.76,,137475.55
2026-11-28,Venmo Settlement,19.25,,137456.30
2026-11-06,Netflix Subscription,173.30,,137283.00
2026-11-06,Venmo Settlement,475.09,,136807.91
2026-11-13,REI Co-op Purchase,446.05,,136361.86
2026-12-01,Employer ACH Payroll,,8125.00,144486.86
2026-12-15,Employer ACH Payroll,,8125.00,152611.86
2026-12-03,Whole Foods Market,471.23,,152140.63
2026-12-01,King County Metro,292.76,,151847.87
2026-12-23,Netflix Subscription,52.97,,151794.90
2026-12-26,Amazon Prime,182.89,,151612.01
2026-12-19,Kaiser Permanente Insurance,275.40,,151336.61
2026-12-24,Spotify Premium,392.19,,150944.42
2026-12-17,King County Metro,504.13,,150440.29
2026-12-03,Schwab Wire Transfer,160.74,,150279.55
2026-12-24,Zelle Payment Received,218.86,,150060.69
2026-12-20,PayPal Transfer,63.64,,149997.05
2026-12-14,Verizon Wireless,101.59,,149895.46
2026-12-26,Puget Sound Energy,72.21,,149823.25
2026-12-23,Netflix Subscription,324.04,,149499.21
2026-12-12,Spotify Premium,236.56,,149262.65
2026-12-28,Apple iCloud Storage,231.15,,149031.50
2026-12-22,Spotify Premium,87.47,,148944.03
2026-12-20,REI Co-op Purchase,268.58,,148675.45
