customer_id,signup_date,last_active,plan_type,monthly_spend,support_tickets
CUST000101,2023-01-04,2026-02-12,basic,33.28,5
CUST000102,2024-08-02,2025-10-15,basic,22.66,3
CUST000103,2024-06-23,2025-12-29,premium,97.44,13
CUST000104,2024-09-16,2026-02-28,basic,32.16,5
CUST000105,2023-07-17,2026-03-25,standard,70.86,15
CUST000106,2023-04-17,2025-10-23,standard,49.86,2
CUST000107,2022-10-08,2025-10-18,basic,0.00,3
CUST000108,2023-08-28,2026-01-03,standard,47.90,4
CUST000109,2023-07-13,2/13/2026,basic,39.74,2
CUST000110,2022-06-04,2026-02-19,standard,50.15,5
CUST000111,2024-01-20,2026-03-04,standard,40.63,3
CUST000112,2024-02-20,2025-10-15,premium,83.13,0
CUST000113,3/30/2023,10/13/2025,basic,39.72,12
CUST000114,2024-10-05,2026-02-26,basic,41.62,3
CUST000115,2024-05-08,2025-10-28,standard,46.95,0
CUST000116,7/27/2023,2026-03-19,standard,49.78,1
CUST000117,2024-01-05,2026-03-12,standard,48.54,3
CUST000118,2022-02-13,2026-03-15,standard,50.96,4
CUST000119,2023-03-19,2026-01-27,basic,19.43,8
CUST000120,8/14/2022,2025-10-09,premium,84.89,1
CUST000121,9/17/2022,2025-12-10,standard,73.55,2
CUST000122,2022-03-30,10/10/2025,standard,60.61,13
CUST000123,2024-06-27,2026-03-09,premium,99.16,1
CUST000124,2023-10-28,12/20/2025,premium,114.79,4
CUST000125,2023-03-17,2025-12-07,standard,50.28,3
CUST000126,2023-10-03,10/8/2025,basic,43.61,3
CUST000127,2022-07-17,2025-12-22,premium,116.73,4
CUST000128,2024-05-16,2026-03-14,premium,120.03,4
CUST000129,2022-08-10,2025-12-28,premium,102.57,12
CUST000130,2022-02-23,2025-10-23,premium,137.21,1
CUST000131,2023-12-20,3/26/2026,basic,19.30,0
CUST000132,2023-03-17,2025-12-21,standard,55.34,5
CUST000133,2022-04-18,2026-02-16,basic,33.54,2
CUST000134,2024-04-28,2026-01-17,basic,30.37,0
CUST000135,2023-09-24,2026-03-16,basic,44.53,1
CUST000136,2023-06-08,2026-01-12,basic,15.23,12
CUST000137,2023-12-27,2026-03-09,standard,73.39,3
CUST000138,2024-04-08,2025-10-15,standard,45.18,2
CUST000139,2024-01-12,2026-03-05,standard,44.76,3
CUST000140,2023-11-27,2026-01-30,basic,20.04,0
CUST000141,2023-12-21,2025-10-13,premium,92.72,1
CUST000142,2022-06-04,2026-02-10,premium,122.10,4
CUST000143,2023-10-24,10/18/2025,basic,28.19,5
CUST000144,2024-11-05,2026-03-09,basic,28.56,2
CUST000145,2024-11-04,2025-12-19,standard,64.94,13
CUST000146,9/1/2024,2025-11-19,basic,16.86,2
CUST000147,2022-03-22,2026-01-23,standard,84.59,4
CUST000148,4/17/2024,2025-12-31,standard,42.36,2
CUST000149,2023-08-05,2026-01-22,standard,69.55,11
CUST000150,2023-09-28,2025-10-11,standard,57.64,0
CUST000151,2022-09-19,2025-10-07,standard,82.62,18
CUST000152,2024-01-13,2026-01-07,basic,21.43,9
CUST000153,2022-07-27,2025-11-18,standard,77.58,11
CUST000154,11/12/2022,2026-02-14,basic,35.79,1
CUST000155,2023-05-02,2025-12-04,standard,73.86,9
CUST000156,2023-02-02,2025-12-23,standard,65.67,2
CUST000157,2022-11-28,2026-02-04,standard,46.23,5
CUST000158,2024-11-22,2026-02-24,basic,37.89,4
CUST000159,2023-03-31,2025-12-02,premium,144.79,3
CUST000160,2024-02-07,2026-01-29,basic,42.92,8
CUST000161,2022-10-12,2025-09-28,standard,67.69,9
CUST000162,2024-05-16,2026-02-27,standard,50.69,1
CUST000163,2022-08-16,11/20/2025,standard,40.74,1
CUST000164,12/24/2023,2026-01-25,standard,48.43,4
CUST000165,2024-11-05,2025-11-18,standard,57.57,5
CUST000166,2024-01-02,3/10/2026,basic,36.99,4
CUST000167,2023-11-25,2025-10-14,basic,38.37,5
CUST000168,2024-07-26,2026-03-18,basic,16.31,0
CUST000169,2024-08-27,2026-01-22,basic,34.41,0
CUST000170,2024-01-24,2025-12-06,premium,130.75,8
CUST000171,2024-11-29,2026-01-18,standard,72.72,4
CUST000172,2022-07-30,2026-03-07,basic,23.87,5
CUST000173,2022-03-28,2025-12-27,standard,59.57,0
CUST000174,2022-11-24,2026-03-20,basic,33.23,7
CUST000175,2022-03-08,2025-10-24,basic,28.50,3
CUST000176,2024-03-26,2026-01-06,standard,51.23,5
CUST000177,2022-08-30,2026-01-19,standard,71.68,4
CUST000178,2022-09-09,2026-02-21,premium,108.90,7
CUST000179,2023-12-13,2026-03-11,standard,53.07,1
CUST000180,2024-01-11,2025-11-17,basic,0.00,13
CUST000181,2022-09-23,2025-10-22,premium,79.93,5
CUST000182,2022-06-01,2026-02-23,premium,123.18,5
CUST000183,2023-01-08,2026-02-22,standard,80.98,0
CUST000184,2023-04-07,2025-12-29,premium,113.92,0
CUST000185,2022-09-14,2025-10-18,basic,31.00,1
CUST000186,2023-11-23,2025-11-03,basic,40.91,5
CUST000187,2024-05-03,2025-10-20,standard,62.41,2
CUST000188,2024-04-11,2026-01-10,standard,70.99,3
CUST000189,10/3/2023,2026-01-05,standard,78.73,11
CUST000190,2022-09-08,2026-01-18,standard,46.34,3
CUST000191,2022-11-24,2026-01-03,premium,129.08,1
CUST000192,2023-09-24,11/20/2025,basic,43.36,1
CUST000193,10/10/2024,2025-10-26,premium,0.00,4
CUST000194,2023-06-26,2025-12-24,standard,56.47,4
CUST000195,2024-03-02,2025-11-18,standard,64.74,15
CUST000196,11/26/2023,11/5/2025,premium,131.62,4
CUST000197,2023-11-14,2025-11-26,standard,46.70,15
CUST000198,2023-09-05,10/27/2025,basic,39.85,5
CUST000199,2023-11-10,2025-10-06,basic,27.50,5
CUST000200,2023-06-28,2025-10-11,standard,74.93,5
CUST000201,2/18/2024,2026-02-18,premium,93.16,5
CUST000202,2022-11-07,2025-12-12,standard,58.47,17
CUST000203,2024-09-06,2025-11-13,standard,83.05,4
CUST000204,2023-06-26,2025-10-22,standard,83.08,2
CUST000205,2023-08-15,2025-09-28,basic,36.15,2
CUST000206,2023-08-13,2026-02-24,standard,64.44,11
CUST000207,2023-08-13,2026-03-07,basic,28.27,3
CUST000208,2023-07-11,2026-02-20,basic,37.23,0
CUST000209,2022-04-18,2026-03-02,standard,0.00,1
CUST000210,2024-04-13,2025-10-11,premium,140.88,1
CUST000211,2022-05-02,2026-03-05,standard,50.45,6
CUST000212,2022-12-27,2026-03-18,premium,104.77,5
CUST000213,2022-01-19,2026-01-10,standard,44.83,14
CUST000214,2024-10-29,2025-11-28,basic,39.26,5
CUST000215,2023-11-22,2026-01-11,standard,74.08,5
CUST000216,6/27/2022,2025-12-15,standard,48.32,2
CUST000217,7/3/2024,1/18/2026,premium,97.65,11
CUST000218,2023-09-21,2026-02-15,standard,62.61,10
CUST000219,2024-01-23,2025-10-21,basic,43.72,3
CUST000220,8/22/2024,2025-11-10,standard,77.15,15
CUST000221,2024-01-11,2026-03-08,premium,83.42,22
CUST000222,6/23/2024,2026-02-26,standard,72.26,4
CUST000223,2024-04-30,2025-12-01,standard,65.15,2
CUST000224,3/23/2023,2025-10-30,basic,27.71,6
CUST000225,2022-03-06,2026-01-13,standard,74.60,29
CUST000226,2024-02-13,2025-12-21,basic,43.92,11
CUST000227,2022-09-18,2026-01-29,premium,131.71,14
CUST000228,2024-08-01,2025-12-29,basic,20.65,6
CUST000229,2022-02-02,2026-01-25,basic,18.03,4
CUST000230,2022-04-01,2025-12-15,standard,64.29,8
CUST000231,2023-10-16,2025-10-31,standard,70.26,2
CUST000232,2024-04-26,2026-01-10,basic,31.70,5
CUST000233,2024-10-12,2026-03-15,premium,145.62,4
CUST000234,2024-02-10,2026-02-08,standard,61.31,8
CUST000235,2024-05-03,2025-11-05,standard,57.48,2
CUST000236,7/9/2022,11/10/2025,standard,48.57,5
CUST000237,2023-03-21,2025-11-25,basic,42.21,0
CUST000238,2024-09-07,2026-01-24,standard,71.67,1
CUST000239,2024-01-06,2026-01-08,basic,30.38,0
CUST000240,10/18/2023,2026-02-03,standard,58.63,1
CUST000241,2024-05-05,2026-01-11,basic,24.90,1
CUST000242,2023-06-12,2025-11-22,premium,123.13,1
CUST000243,2024-09-27,2/8/2026,premium,115.66,0
CUST000244,2022-04-10,2026-03-26,standard,77.91,5
CUST000245,2022-05-04,10/20/2025,standard,0.00,6
CUST000246,7/17/2023,2025-11-10,premium,76.29,8
CUST000247,2023-01-29,2025-10-20,standard,76.68,3
CUST000248,2023-05-14,2025-09-30,basic,35.52,6
CUST000249,2022-04-25,2025-10-15,basic,20.14,3
CUST000250,7/15/2022,11/12/2025,premium,92.23,15
CUST000251,2023-07-29,2025-11-08,standard,41.48,9
CUST000252,2024-03-26,2026-03-08,basic,31.92,3
CUST000253,10/14/2022,2025-10-02,standard,62.54,12
CUST000254,2024-03-23,2026-01-03,basic,23.20,11
CUST000255,2024-02-18,2026-03-06,standard,53.29,0
CUST000256,2022-11-12,12/18/2025,basic,18.20,2
CUST000257,2022-06-28,2/8/2026,standard,0.00,0
CUST000258,2023-10-27,2025-12-19,basic,27.41,14
CUST000259,2022-12-14,2025-10-03,standard,46.25,3
CUST000260,2023-09-06,11/24/2025,standard,56.25,13
CUST000261,2023-09-16,2026-03-26,premium,99.92,2
CUST000262,2022-10-06,2026-01-10,basic,43.42,2
CUST000263,2024-10-02,2025-10-31,standard,54.66,3
CUST000264,2023-01-04,2025-10-04,standard,41.21,22
CUST000265,2024-04-17,2025-10-06,standard,68.50,5
CUST000266,7/8/2024,2025-10-25,standard,58.04,5
CUST000267,2022-06-24,2026-02-28,standard,69.59,5
CUST000268,2024-03-29,2026-01-02,premium,107.28,2
CUST000269,2023-03-29,12/3/2025,standard,60.84,5
CUST000270,2022-08-03,2026-01-11,standard,83.28,5
CUST000271,2/28/2023,11/14/2025,standard,61.43,5
CUST000272,2022-08-24,2026-03-22,premium,123.60,1
CUST000273,2022-11-24,2026-01-02,standard,83.13,3
CUST000274,2024-03-21,2026-03-20,standard,79.74,3
CUST000275,5/9/2022,2025-10-31,basic,41.16,2
CUST000276,2024-09-29,2025-11-12,premium,98.51,3
CUST000277,2022-12-20,2025-10-06,standard,53.39,0
CUST000278,2022-08-28,2026-02-09,standard,46.36,4
CUST000279,2022-12-21,2025-11-05,basic,23.67,3
CUST000280,2024-09-19,2026-02-21,basic,26.52,5
CUST000281,2024-06-28,2025-11-22,basic,31.96,6
CUST000282,2024-07-25,2025-11-03,standard,74.47,0
CUST000283,2024-01-22,2025-11-09,premium,78.12,12
CUST000284,2023-09-02,2026-03-19,standard,55.69,7
CUST000285,2023-12-20,2025-10-22,standard,47.47,1
CUST000286,2023-07-30,2025-10-26,standard,54.56,10
CUST000287,2022-07-15,2026-02-21,premium,133.93,20
CUST000288,2023-10-22,2026-01-23,standard,70.43,4
CUST000289,2022-06-04,2025-10-16,standard,74.60,5
CUST000290,2024-09-26,2026-01-03,standard,79.10,13
CUST000291,2024-03-25,2026-01-31,premium,136.86,2
CUST000292,2024-09-20,2025-12-30,premium,132.17,5
CUST000293,2022-11-20,2025-12-05,standard,84.63,5
CUST000294,2023-07-16,2026-03-04,standard,51.27,5
CUST000295,2023-04-25,2025-12-08,standard,71.67,3
CUST000296,2024-06-30,2026-03-25,basic,25.31,3
CUST000297,2022-07-02,2026-03-01,basic,26.03,3
CUST000298,2022-10-20,2026-03-10,standard,40.38,3
CUST000299,2024-04-23,2025-10-21,standard,78.70,0
CUST000300,2023-12-21,2025-12-08,basic,19.19,0
CUST000301,2023-08-07,2025-10-02,basic,40.41,15
CUST000302,2022-04-22,1/25/2026,standard,45.07,4
CUST000303,2024-01-10,2026-01-05,basic,40.82,2
CUST000304,2022-05-30,2026-03-23,standard,40.62,0
CUST000305,2024-10-23,2025-12-11,standard,58.10,4
CUST000306,2024-11-13,2026-02-03,premium,86.65,4
CUST000307,5/16/2022,2026-01-07,standard,72.85,7
CUST000308,2022-04-23,2026-01-07,standard,69.61,0
CUST000309,2023-12-12,2025-11-14,standard,77.01,2
CUST000310,2022-08-30,3/20/2026,basic,27.88,2
CUST000311,2024-07-21,2025-11-17,basic,29.99,2
CUST000312,2022-08-25,2026-01-28,standard,40.12,6
CUST000313,2022-03-14,2025-11-06,standard,72.13,1
CUST000314,2023-07-10,2026-03-08,standard,45.37,0
CUST000315,4/1/2024,2026-03-10,premium,139.95,7
CUST000316,2023-09-15,2025-10-19,basic,26.05,22
CUST000317,2022-11-05,2026-03-26,premium,76.79,5
CUST000318,2022-01-03,2025-10-10,standard,73.21,1
CUST000319,2022-05-03,2026-02-19,standard,44.19,14
CUST000320,2022-06-23,2025-10-30,basic,19.01,15
CUST000321,2023-08-21,2026-01-20,premium,144.45,5
CUST000322,2023-02-20,2026-02-21,standard,66.31,1
CUST000323,2024-01-04,2/2/2026,standard,60.85,10
CUST000324,2023-11-03,2026-02-18,basic,0.00,4
CUST000325,2022-12-23,2026-03-20,premium,139.10,4
CUST000326,2022-10-14,2026-02-24,basic,39.91,12
CUST000327,2023-06-15,2026-03-08,basic,16.93,8
CUST000328,2022-09-08,2026-03-17,premium,78.80,12
CUST000329,2023-12-26,2026-02-01,premium,0.00,1
CUST000330,2023-08-28,2025-11-20,standard,64.78,2
CUST000331,2023-05-26,2025-10-17,premium,115.77,3
CUST000332,2024-09-19,12/29/2025,premium,0.00,1
CUST000333,2023-07-30,3/13/2026,standard,61.23,4
CUST000334,2023-05-09,2026-01-18,standard,75.61,9
CUST000335,2022-12-22,2026-02-10,basic,0.00,15
CUST000336,2022-10-19,11/3/2025,premium,137.75,33
CUST000337,2023-04-22,2025-10-24,basic,30.79,4
CUST000338,2023-10-25,2026-03-12,basic,32.60,14
CUST000339,2024-03-21,2025-10-28,basic,24.05,1
CUST000340,2024-09-24,2025-10-12,basic,36.22,4
CUST000341,2022-12-26,2025-12-21,basic,0.00,5
CUST000342,2022-03-08,2026-02-09,standard,81.45,15
CUST000343,2022-06-09,2026-01-26,basic,24.59,0
CUST000344,11/19/2023,12/3/2025,basic,21.29,2
CUST000345,2024-03-01,2025-12-05,standard,83.61,12
CUST000346,2023-04-07,2/14/2026,standard,75.96,0
CUST000347,2022-12-15,2025-12-21,basic,17.25,26
CUST000348,2022-03-05,2025-12-07,premium,87.37,7
CUST000349,2023-06-28,10/9/2025,basic,22.13,4
CUST000350,1/8/2022,2025-12-08,basic,39.72,3
CUST000351,2023-08-21,2026-03-07,standard,45.20,10
CUST000352,2024-02-21,12/23/2025,basic,16.34,2
CUST000353,7/18/2022,2026-03-06,standard,76.37,4
CUST000354,5/7/2024,2025-11-10,standard,82.14,1
CUST000355,2022-03-13,2025-11-19,standard,63.26,4
CUST000356,2022-12-09,2026-02-01,standard,45.68,5
CUST000357,2023-06-13,2026-01-05,premium,143.56,3
CUST000358,2024-11-30,2025-11-30,premium,75.93,12
CUST000359,2022-07-25,2026-02-28,standard,44.54,4
CUST000360,2024-09-21,2025-11-01,standard,41.69,1
CUST000361,3/21/2024,2026-01-02,standard,42.22,2
CUST000362,2023-09-13,2026-01-07,basic,29.75,0
CUST000363,2024-06-26,2026-01-04,basic,27.50,1
CUST000364,2024-09-19,2025-11-15,premium,136.58,1
CUST000365,2022-03-01,2026-02-11,basic,39.99,13
CUST000366,2024-01-25,2025-11-29,standard,68.59,0
CUST000367,2024-08-29,2025-10-28,standard,55.49,7
CUST000368,2023-03-15,2026-01-30,standard,70.50,3
CUST000369,2022-01-19,2025-11-26,premium,123.55,0
CUST000370,2023-07-18,2025-12-09,premium,138.87,1
CUST000371,2024-03-24,2025-10-29,basic,30.35,2
CUST000372,2022-08-10,2025-11-24,basic,44.65,2
CUST000373,2023-09-04,2026-02-07,basic,37.96,15
CUST000374,2022-02-22,2025-10-11,standard,53.30,6
CUST000375,2023-12-04,2026-01-30,standard,68.72,5
CUST000376,2023-01-06,2026-01-11,basic,18.84,4
CUST000377,2023-11-19,2025-10-11,basic,25.66,11
CUST000378,2022-08-30,2025-11-27,basic,34.03,4
CUST000379,2024-02-21,2025-11-12,basic,16.62,9
CUST000380,7/26/2024,2026-02-19,basic,36.47,8
CUST000381,2023-03-05,2026-02-12,standard,47.13,8
CUST000382,2024-09-04,12/19/2025,basic,31.01,26
CUST000383,2022-01-09,2025-10-18,standard,50.18,7
CUST000384,2022-04-04,2026-01-10,premium,109.19,4
CUST000385,2023-12-03,2025-11-22,basic,0.00,28
CUST000386,2023-03-09,2026-03-22,standard,47.60,5
CUST000387,4/10/2022,2025-10-26,premium,0.00,0
CUST000388,2022-09-11,2025-11-07,basic,36.06,5
CUST000389,7/7/2023,10/19/2025,standard,46.17,15
CUST000390,2023-02-11,2025-10-23,basic,22.89,1
CUST000391,2024-10-13,2026-02-02,standard,61.63,0
CUST000392,2024-10-08,2026-02-17,premium,133.46,5
CUST000393,2023-08-30,2026-01-19,standard,44.49,0
CUST000394,2024-05-22,2026-02-26,basic,37.75,1
CUST000395,2024-06-15,2025-10-19,basic,36.99,2
CUST000396,2023-07-11,12/19/2025,standard,61.52,1
CUST000397,2022-11-23,2026-03-01,standard,66.58,8
CUST000398,2022-09-25,11/24/2025,premium,83.47,0
CUST000399,2023-04-04,2025-10-07,premium,113.93,4
CUST000400,2023-12-10,2025-10-09,standard,57.32,15
CUST000401,2024-08-19,2025-11-21,premium,80.61,1
CUST000402,2024-02-15,2025-12-14,premium,80.91,4
CUST000403,9/1/2022,11/20/2025,standard,40.80,0
CUST000404,9/16/2023,2025-11-17,standard,69.46,2
CUST000405,2024-07-19,1/2/2026,standard,67.89,5
CUST000406,3/31/2023,2026-03-27,basic,39.90,14
CUST000407,2024-10-05,2026-02-20,premium,130.69,2
CUST000408,2024-03-15,2026-01-31,standard,0.00,12
CUST000409,2022-09-10,2025-12-02,standard,0.00,3
CUST000410,2024-06-05,10/29/2025,standard,62.87,15
CUST000411,2023-10-22,2025-11-18,premium,106.40,5
CUST000412,2023-08-26,2025-12-02,standard,46.22,5
CUST000413,2023-10-05,2025-11-06,standard,49.04,2
CUST000414,2022-12-31,2025-11-19,standard,68.66,14
CUST000415,2024-05-04,10/6/2025,standard,77.86,3
CUST000416,2022-10-25,3/14/2026,standard,49.00,10
CUST000417,2023-08-28,2026-02-03,standard,41.45,14
CUST000418,2023-05-02,2025-11-17,standard,0.00,5
CUST000419,2023-10-03,2025-11-06,basic,37.31,3
CUST000420,2024-01-24,10/28/2025,standard,67.15,25
CUST000421,2022-12-22,2025-11-16,basic,16.22,2
CUST000422,2023-11-08,2025-11-28,standard,46.97,2
CUST000423,2023-09-09,2025-11-22,standard,64.76,5
CUST000424,2022-05-20,2025-11-18,basic,31.29,2
CUST000425,2024-01-09,1/11/2026,basic,37.58,4
CUST000426,2023-12-10,2025-12-03,basic,34.27,6
CUST000427,2022-08-21,2025-12-19,basic,36.72,4
CUST000428,7/1/2024,2025-11-23,basic,41.95,4
CUST000429,2022-01-16,2025-10-18,basic,35.11,12
CUST000430,2024-06-10,10/13/2025,premium,80.41,0
CUST000431,2022-04-22,2026-02-10,standard,65.11,1
CUST000432,2024-04-08,2025-12-07,basic,26.69,0
CUST000433,2022-04-04,9/29/2025,premium,101.83,2
CUST000434,2024-06-15,2025-12-20,standard,69.73,4
CUST000435,8/28/2023,2025-10-16,basic,35.32,11
CUST000436,2022-10-17,2026-02-24,basic,32.18,4
CUST000437,2023-12-06,2026-02-01,standard,69.07,1
CUST000438,2022-08-23,2026-02-09,standard,65.53,4
CUST000439,2022-05-18,2026-01-22,basic,36.77,2
CUST000440,2023-08-07,2025-10-20,basic,20.80,2
CUST000441,2024-01-17,2026-01-06,premium,87.65,1
CUST000442,2024-01-07,2026-02-21,standard,54.92,3
CUST000443,2022-12-26,2025-10-13,standard,77.88,14
CUST000444,6/4/2022,2026-03-23,premium,122.37,15
CUST000445,2024-08-24,2025-10-11,standard,56.46,4
CUST000446,2024-11-11,2026-03-04,standard,62.60,4
CUST000447,11/23/2022,2026-02-10,standard,65.46,13
CUST000448,2023-04-20,2026-03-11,basic,22.02,4
CUST000449,2024-07-20,2026-03-16,basic,34.46,4
CUST000450,2022-12-23,2025-12-21,standard,56.44,0
CUST000451,11/23/2024,2025-12-14,basic,41.03,3
CUST000452,2024-06-19,2026-02-13,basic,30.44,1
CUST000453,2022-08-31,2025-10-09,basic,39.34,13
CUST000454,4/21/2024,2026-03-22,basic,18.84,1
CUST000455,2022-04-25,2026-02-13,basic,20.40,15
CUST000456,2023-08-04,2026-03-06,basic,33.20,3
CUST000457,1/8/2023,2025-10-19,standard,51.90,13
CUST000458,2022-09-28,2026-02-28,basic,30.68,8
CUST000459,2022-03-21,11/11/2025,standard,45.29,1
CUST000460,2024-06-02,2025-11-14,standard,79.37,3
CUST000461,2024-02-20,2025-12-28,standard,73.36,7
CUST000462,2022-06-21,2026-01-14,standard,64.47,0
CUST000463,8/30/2022,2025-11-14,basic,34.64,2
CUST000464,2023-06-04,2026-01-20,premium,106.77,2
CUST000465,2024-09-15,2026-02-10,standard,64.97,2
CUST000466,2022-10-10,2025-10-10,basic,21.89,19
CUST000467,2022-04-17,2/14/2026,standard,68.61,13
CUST000468,2023-03-31,2025-12-23,basic,16.13,3
CUST000469,2022-04-28,2026-02-11,standard,59.75,5
CUST000470,11/11/2024,2025-11-15,standard,67.68,2
CUST000471,2023-07-20,2025-12-15,basic,0.00,4
CUST000472,2023-08-06,2025-11-04,premium,101.11,15
CUST000473,2022-01-10,2026-01-20,basic,30.19,4
CUST000474,2023-06-12,2025-11-10,premium,118.12,3
CUST000475,2024-07-28,2025-10-04,standard,66.41,0
CUST000476,3/28/2023,2025-10-05,standard,76.01,2
CUST000477,2023-05-24,2026-01-13,basic,35.21,8
CUST000478,2023-07-06,2026-02-09,premium,126.23,9
CUST000479,4/15/2023,2026-02-04,premium,137.73,0
CUST000480,2024-10-05,2025-10-21,basic,40.71,11
