# Dataset Provenance Log — Cross-Ancestry GWAS Pipeline
# Generated automatically by pipeline provenance tracker v1.2
# Format: ISO8601_UTC | event_type | dataset_id | pipeline_stage | run_id

2024-10-15T09:22:11Z | FIRST_ACCESS | ukbb_gwas_summary_v1/ | stage_1_ingest | run_001
2025-10-16T12:54:12Z | ACCESS | finngen_r10_summary/ | stage_4_ld | run_015
2025-08-05T14:34:45Z | ACCESS | ld_reference_EUR_v2/ | stage_5_prs | run_016
2025-09-16T08:23:34Z | ACCESS | prs_output_EUR_v1/ | stage_3_harmonise | run_017
2025-04-01T18:29:07Z | ACCESS | calibration_output_v2/ | stage_4_ld | run_018
2025-11-11T13:43:41Z | ACCESS | ukbb_gwas_summary_v1/ | stage_6_calib | run_019
2025-04-22T12:16:07Z | ACCESS | ld_reference_EUR_v2/ | stage_5_prs | run_020
2025-10-25T17:20:53Z | ACCESS | harmonized_gwas_v2/ | stage_6_calib | run_021
2025-04-15T18:16:25Z | ACCESS | ld_reference_EUR_v2/ | stage_4_ld | run_022
2025-12-23T10:10:35Z | ACCESS | calibration_output_v2/ | stage_3_harmonise | run_023
2025-09-11T14:31:22Z | ACCESS | ukbb_gwas_summary_v1/ | stage_3_harmonise | run_024
2025-03-06T18:19:04Z | ACCESS | finngen_r10_summary/ | stage_4_ld | run_025
2025-07-25T08:11:50Z | ACCESS | calibration_output_v2/ | stage_5_prs | run_026
2025-04-21T15:45:56Z | ACCESS | prs_output_EUR_v1/ | stage_5_prs | run_027
2025-09-12T12:33:16Z | ACCESS | ukbb_gwas_summary_v1/ | stage_6_calib | run_028
2025-11-09T15:09:21Z | ACCESS | ld_reference_EUR_v2/ | stage_6_calib | run_029
2025-11-01T11:45:48Z | ACCESS | finngen_r10_summary/ | stage_3_harmonise | run_030
2025-09-05T14:45:46Z | ACCESS | finngen_r10_summary/ | stage_4_ld | run_031
2025-09-23T14:52:22Z | ACCESS | ukbb_gwas_summary_v1/ | stage_6_calib | run_032
2025-11-17T16:20:38Z | ACCESS | harmonized_gwas_v2/ | stage_5_prs | run_033
2025-06-22T12:48:59Z | ACCESS | harmonized_gwas_v2/ | stage_5_prs | run_034
2025-05-17T18:01:27Z | ACCESS | finngen_r10_summary/ | stage_4_ld | run_035
2025-06-01T14:20:27Z | ACCESS | harmonized_gwas_v2/ | stage_5_prs | run_036
2025-08-28T08:08:48Z | ACCESS | prs_output_EUR_v1/ | stage_5_prs | run_037
2025-07-28T18:45:38Z | ACCESS | prs_output_EUR_v1/ | stage_4_ld | run_038
2025-04-24T16:10:15Z | ACCESS | harmonized_gwas_v2/ | stage_5_prs | run_039
2025-11-19T15:53:24Z | ACCESS | harmonized_gwas_v2/ | stage_4_ld | run_040
2025-08-17T08:36:19Z | ACCESS | prs_output_EUR_v1/ | stage_6_calib | run_041
2025-07-13T09:21:10Z | ACCESS | finngen_r10_summary/ | stage_5_prs | run_042
2025-11-20T16:21:56Z | ACCESS | ukbb_gwas_summary_v1/ | stage_4_ld | run_043
2025-06-16T12:28:00Z | ACCESS | prs_output_EUR_v1/ | stage_5_prs | run_044
2025-08-19T09:11:33Z | ACCESS | ukbb_gwas_summary_v1/ | stage_3_harmonise | run_045
2025-10-26T17:38:58Z | ACCESS | ukbb_gwas_summary_v1/ | stage_3_harmonise | run_046
2025-05-07T08:38:11Z | ACCESS | finngen_r10_summary/ | stage_4_ld | run_047
2025-08-18T15:45:32Z | ACCESS | calibration_output_v2/ | stage_3_harmonise | run_048
2025-10-19T16:18:18Z | ACCESS | finngen_r10_summary/ | stage_4_ld | run_049
2025-10-05T08:36:13Z | ACCESS | prs_output_EUR_v1/ | stage_3_harmonise | run_050
2025-04-21T15:38:21Z | ACCESS | prs_output_EUR_v1/ | stage_6_calib | run_051
2025-06-01T14:57:56Z | ACCESS | finngen_r10_summary/ | stage_5_prs | run_052
2025-06-07T11:46:51Z | ACCESS | ld_reference_EUR_v2/ | stage_4_ld | run_053
2025-03-23T08:39:52Z | ACCESS | ld_reference_EUR_v2/ | stage_3_harmonise | run_054
2025-09-10T12:18:31Z | ACCESS | finngen_r10_summary/ | stage_3_harmonise | run_055
2025-11-04T11:11:25Z | ACCESS | calibration_output_v2/ | stage_5_prs | run_056
2025-04-07T12:13:51Z | ACCESS | ukbb_gwas_summary_v1/ | stage_5_prs | run_057
2025-10-09T12:33:06Z | ACCESS | harmonized_gwas_v2/ | stage_3_harmonise | run_058
2025-09-16T17:26:00Z | ACCESS | ld_reference_EUR_v2/ | stage_3_harmonise | run_059
2025-03-13T09:57:51Z | ACCESS | finngen_r10_summary/ | stage_4_ld | run_060
2025-08-25T14:56:32Z | ACCESS | prs_output_EUR_v1/ | stage_6_calib | run_061
2025-04-08T15:05:35Z | ACCESS | finngen_r10_summary/ | stage_6_calib | run_062
2025-10-06T18:44:54Z | ACCESS | calibration_output_v2/ | stage_5_prs | run_063
2025-10-12T09:00:00Z | ACCESS | harmonized_gwas_v2/ | stage_5_prs | run_064
2025-04-18T17:33:40Z | ACCESS | prs_output_EUR_v1/ | stage_4_ld | run_065
2025-08-18T08:59:57Z | ACCESS | finngen_r10_summary/ | stage_6_calib | run_066
2025-11-06T18:16:30Z | ACCESS | calibration_output_v2/ | stage_6_calib | run_067
2025-04-11T12:49:47Z | ACCESS | finngen_r10_summary/ | stage_5_prs | run_068
2025-11-25T12:07:38Z | ACCESS | finngen_r10_summary/ | stage_3_harmonise | run_069
2025-10-03T16:25:44Z | ACCESS | ukbb_gwas_summary_v1/ | stage_6_calib | run_070
2025-09-23T08:22:01Z | ACCESS | calibration_output_v2/ | stage_4_ld | run_071
2025-09-25T15:41:34Z | ACCESS | ukbb_gwas_summary_v1/ | stage_6_calib | run_072
2025-07-26T18:09:17Z | ACCESS | prs_output_EUR_v1/ | stage_6_calib | run_073
2025-10-12T11:34:45Z | ACCESS | finngen_r10_summary/ | stage_5_prs | run_074
2025-04-17T15:53:31Z | ACCESS | ukbb_gwas_summary_v1/ | stage_3_harmonise | run_075
2025-10-08T15:46:54Z | ACCESS | prs_output_EUR_v1/ | stage_3_harmonise | run_076
2025-07-03T18:15:22Z | ACCESS | harmonized_gwas_v2/ | stage_4_ld | run_077
2025-05-04T10:59:06Z | ACCESS | finngen_r10_summary/ | stage_4_ld | run_078
2025-05-27T16:17:16Z | ACCESS | ld_reference_EUR_v2/ | stage_5_prs | run_079
2025-11-28T12:59:05Z | ACCESS | ukbb_gwas_summary_v1/ | stage_5_prs | run_080
2025-07-04T16:09:21Z | ACCESS | calibration_output_v2/ | stage_4_ld | run_081
2025-11-17T14:35:01Z | ACCESS | finngen_r10_summary/ | stage_3_harmonise | run_082
2025-03-01T12:25:55Z | ACCESS | harmonized_gwas_v2/ | stage_4_ld | run_083
2025-09-10T11:59:56Z | ACCESS | ld_reference_EUR_v2/ | stage_3_harmonise | run_084
2025-03-14T08:27:52Z | ACCESS | harmonized_gwas_v2/ | stage_5_prs | run_085
