date,channel,sessions,add_to_cart,checkouts,orders,conversion_rate_pct,add_to_cart_rate_pct,cart_to_checkout_rate_pct
2025-06-07,tmall,155729,10762,7061,6782,4.36,6.91,65.61
2025-06-07,jd,75607,5070,3143,3022,4.0,6.71,61.99
2025-06-07,douyin,119259,8926,5768,5609,4.7,7.48,64.62
2025-06-07,kuaishou,130052,8915,5545,5377,4.13,6.85,62.2
2025-06-08,tmall,102288,7416,4461,4167,4.07,7.25,60.15
2025-06-08,jd,85995,5838,3548,3363,3.91,6.79,60.77
2025-06-08,douyin,127597,9044,6186,5934,4.65,7.09,68.4
2025-06-08,kuaishou,242283,16611,10941,10387,4.29,6.86,65.87
2025-06-09,tmall,106047,7946,4813,4594,4.33,7.49,60.57
2025-06-09,jd,202743,14643,9811,9050,4.46,7.22,67.0
2025-06-09,douyin,76569,4888,3148,3040,3.97,6.38,64.4
2025-06-09,kuaishou,186092,12853,8859,8410,4.52,6.91,68.93
2025-06-10,tmall,110108,7409,4813,4665,4.24,6.73,64.96
2025-06-10,jd,189480,12201,7647,7483,3.95,6.44,62.68
2025-06-10,douyin,193253,13017,8589,7988,4.13,6.74,65.98
2025-06-10,kuaishou,243052,16955,11399,10852,4.46,6.98,67.23
2025-06-11,tmall,149053,10499,6696,6458,4.33,7.04,63.78
2025-06-11,jd,142168,9207,5671,5540,3.9,6.48,61.59
2025-06-11,douyin,90690,6286,3998,3876,4.27,6.93,63.6
2025-06-11,kuaishou,121229,8589,5719,5523,4.56,7.08,66.59
2025-06-12,tmall,138698,10177,6504,6209,4.48,7.34,63.91
2025-06-12,jd,86338,5515,3511,3282,3.8,6.39,63.66
2025-06-12,douyin,86731,5529,3721,3610,4.16,6.37,67.3
2025-06-12,kuaishou,116039,7630,5088,4768,4.11,6.58,66.68
2025-06-13,tmall,333890,23696,14403,13914,4.17,7.1,60.78
2025-06-13,jd,305184,21057,13764,13042,4.27,6.9,65.37
2025-06-13,douyin,617851,43417,27327,26404,4.27,7.03,62.94
2025-06-13,kuaishou,298182,20291,12263,11629,3.9,6.8,60.44
2025-06-14,tmall,312983,22911,14405,13703,4.38,7.32,62.87
2025-06-14,jd,349224,25120,17055,16202,4.64,7.19,67.89
2025-06-14,douyin,626668,39842,26788,26099,4.16,6.36,67.24
2025-06-14,kuaishou,160346,11874,7623,7138,4.45,7.41,64.2
2025-06-15,tmall,523601,33662,22248,21096,4.03,6.43,66.09
2025-06-15,jd,590881,37480,24171,22600,3.82,6.34,64.49
2025-06-15,douyin,446434,31850,21257,20487,4.59,7.13,66.74
2025-06-15,kuaishou,552585,35322,24169,22774,4.12,6.39,68.42
2025-06-16,tmall,482420,30717,21218,19741,4.09,6.37,69.08
2025-06-16,jd,469329,34988,20996,19684,4.19,7.45,60.01
2025-06-16,douyin,687436,44833,31344,28970,4.21,6.52,69.91
2025-06-16,kuaishou,276309,20505,13801,13346,4.83,7.42,67.31
2025-06-17,tmall,299134,21318,13068,12179,4.07,7.13,61.3
2025-06-17,jd,278150,19392,12197,11784,4.24,6.97,62.9
2025-06-17,douyin,484843,31798,19208,18163,3.75,6.56,60.41
2025-06-17,kuaishou,557654,35400,22166,21006,3.77,6.35,62.62
2025-06-18,tmall,343979,22877,15577,14716,4.28,6.65,68.09
2025-06-18,jd,478377,32621,22246,20799,4.35,6.82,68.2
2025-06-18,douyin,207256,14113,8516,7969,3.85,6.81,60.34
2025-06-18,kuaishou,606326,39608,27644,26196,4.32,6.53,69.79
