return_id,order_date,return_date,category,channel,sku_id,quantity,return_reason,return_value_rmb
RET-000039,2025-06-14,2025-06-26,apparel,douyin,APP-0053,1,size_mismatch,180.46
RET-000040,2025-06-04,2025-06-12,apparel,jd,APP-0045,3,size_mismatch,153.75
RET-000041,2025-05-25,2025-05-29,apparel,tmall,APP-0018,2,quality_issue,746.29
RET-000042,2025-06-08,2025-06-11,apparel,douyin,APP-0034,1,changed_mind,440.79
RET-000043,2025-05-27,2025-06-02,apparel,tmall,APP-0001,2,damaged,742.5
RET-000044,2025-06-05,2025-06-08,apparel,tmall,APP-0029,2,size_mismatch,735.71
RET-000045,2025-06-14,2025-06-15,apparel,jd,APP-0017,2,size_mismatch,156.35
RET-000046,2025-06-17,2025-06-22,apparel,douyin,APP-0067,3,changed_mind,339.89
RET-000047,2025-05-31,2025-06-12,apparel,tmall,APP-0002,3,damaged,514.32
RET-000048,2025-06-18,2025-06-27,apparel,jd,APP-0070,2,quality_issue,697.18
RET-000049,2025-05-20,2025-05-22,apparel,douyin,APP-0016,3,quality_issue,728.33
RET-000050,2025-06-18,2025-06-22,apparel,jd,APP-0005,3,damaged,447.14
RET-000051,2025-06-07,2025-06-18,apparel,tmall,APP-0057,2,damaged,389.9
RET-000052,2025-06-04,2025-06-10,apparel,douyin,APP-0034,3,quality_issue,379.68
RET-000053,2025-05-30,2025-06-05,apparel,douyin,APP-0050,2,damaged,436.04
RET-000054,2025-05-20,2025-06-03,apparel,jd,APP-0071,3,quality_issue,538.59
RET-000055,2025-06-12,2025-06-19,apparel,douyin,APP-0022,3,changed_mind,401.01
RET-000056,2025-06-01,2025-06-09,apparel,douyin,APP-0004,2,changed_mind,638.23
RET-000057,2025-05-25,2025-06-02,apparel,jd,APP-0072,3,changed_mind,320.37
RET-000058,2025-05-26,2025-06-07,apparel,douyin,APP-0079,3,quality_issue,355.51
RET-000059,2025-05-17,2025-05-23,apparel,tmall,APP-0078,3,changed_mind,391.66
RET-000060,2025-06-04,2025-06-14,apparel,jd,APP-0031,2,damaged,762.81
RET-000061,2025-05-24,2025-06-06,apparel,jd,APP-0052,2,damaged,101.6
RET-000062,2025-06-10,2025-06-17,apparel,douyin,APP-0050,1,quality_issue,472.61
RET-000063,2025-06-01,2025-06-02,apparel,douyin,APP-0030,2,damaged,613.13
RET-000064,2025-05-17,2025-05-30,apparel,tmall,APP-0055,2,changed_mind,445.66
RET-000065,2025-05-30,2025-06-09,apparel,douyin,APP-0045,2,size_mismatch,162.94
RET-000066,2025-06-14,2025-06-29,apparel,tmall,APP-0004,1,changed_mind,536.47
RET-000067,2025-06-11,2025-06-14,apparel,douyin,APP-0020,3,changed_mind,359.16
RET-000068,2025-06-04,2025-06-10,apparel,jd,APP-0079,1,changed_mind,696.03
RET-000069,2025-06-01,2025-06-12,apparel,jd,APP-0033,3,damaged,38.55
RET-000070,2025-06-15,2025-06-28,apparel,jd,APP-0060,2,damaged,711.38
RET-000071,2025-06-07,2025-06-11,apparel,douyin,APP-0049,3,size_mismatch,559.09
RET-000072,2025-06-06,2025-06-19,apparel,jd,APP-0067,3,size_mismatch,87.8
RET-000073,2025-06-18,2025-06-23,apparel,douyin,APP-0001,2,damaged,129.67
RET-000074,2025-06-13,2025-06-26,apparel,jd,APP-0055,3,size_mismatch,725.89
RET-000075,2025-05-21,2025-06-01,apparel,douyin,APP-0006,2,changed_mind,587.49
RET-000076,2025-06-06,2025-06-11,apparel,jd,APP-0032,3,size_mismatch,657.04
RET-000077,2025-06-18,2025-06-28,apparel,jd,APP-0003,2,changed_mind,550.24
RET-000078,2025-06-14,2025-06-24,apparel,tmall,APP-0039,2,size_mismatch,647.24
RET-000079,2025-05-19,2025-05-29,apparel,tmall,APP-0040,2,changed_mind,682.87
RET-000080,2025-05-30,2025-06-12,apparel,tmall,APP-0037,3,changed_mind,556.52
RET-000081,2025-05-17,2025-05-19,apparel,tmall,APP-0002,2,size_mismatch,531.84
RET-000082,2025-05-24,2025-06-01,apparel,douyin,APP-0031,2,damaged,190.93
RET-000083,2025-06-07,2025-06-13,apparel,tmall,APP-0047,2,changed_mind,662.75
RET-000084,2025-06-12,2025-06-21,apparel,douyin,APP-0075,1,damaged,33.1
RET-000085,2025-06-17,2025-06-27,apparel,jd,APP-0063,1,changed_mind,652.05
RET-000086,2025-05-19,2025-05-25,apparel,tmall,APP-0038,2,changed_mind,566.59
RET-000087,2025-06-08,2025-06-23,apparel,tmall,APP-0013,1,quality_issue,288.07
RET-000088,2025-05-22,2025-05-23,apparel,tmall,APP-0071,2,quality_issue,89.13
RET-000089,2025-05-22,2025-05-30,apparel,tmall,APP-0015,2,quality_issue,597.89
RET-000090,2025-06-07,2025-06-17,apparel,douyin,APP-0065,3,size_mismatch,524.98
RET-000091,2025-05-15,2025-05-23,apparel,douyin,APP-0070,3,quality_issue,752.89
RET-000092,2025-05-30,2025-06-09,apparel,jd,APP-0043,3,quality_issue,233.66
RET-000093,2025-05-25,2025-05-27,apparel,jd,APP-0059,1,quality_issue,162.1
RET-000094,2025-06-15,2025-06-24,apparel,douyin,APP-0046,1,damaged,764.64
RET-000095,2025-05-20,2025-05-26,apparel,douyin,APP-0056,3,quality_issue,574.04
RET-000096,2025-05-25,2025-06-02,apparel,douyin,APP-0029,1,size_mismatch,63.99
RET-000097,2025-06-13,2025-06-27,apparel,jd,APP-0056,3,quality_issue,643.05
RET-000098,2025-05-28,2025-06-01,apparel,jd,APP-0049,3,changed_mind,181.55
RET-000099,2025-06-04,2025-06-13,apparel,douyin,APP-0074,2,damaged,297.85
RET-000100,2025-06-18,2025-06-22,apparel,tmall,APP-0028,3,quality_issue,688.2
RET-000101,2025-06-05,2025-06-20,apparel,jd,APP-0024,1,changed_mind,136.58
RET-000102,2025-06-11,2025-06-20,apparel,tmall,APP-0028,2,damaged,72.68
RET-000103,2025-05-14,2025-05-23,apparel,douyin,APP-0024,2,damaged,98.62
RET-000104,2025-06-13,2025-06-21,apparel,jd,APP-0041,2,size_mismatch,33.61
RET-000105,2025-05-21,2025-05-31,apparel,jd,APP-0063,3,size_mismatch,109.47
RET-000106,2025-05-17,2025-06-01,apparel,jd,APP-0030,1,quality_issue,73.33
RET-000107,2025-05-29,2025-06-10,apparel,jd,APP-0068,1,changed_mind,183.85
RET-000108,2025-05-29,2025-06-11,apparel,tmall,APP-0063,1,changed_mind,503.65
RET-000109,2025-06-10,2025-06-11,apparel,jd,APP-0075,2,changed_mind,194.91
RET-000110,2025-05-26,2025-06-04,apparel,tmall,APP-0042,2,size_mismatch,695.35
RET-000111,2025-05-29,2025-06-13,apparel,jd,APP-0013,2,damaged,324.44
RET-000112,2025-05-21,2025-05-26,apparel,jd,APP-0060,2,damaged,42.35
RET-000113,2025-05-25,2025-06-03,apparel,douyin,APP-0021,2,changed_mind,745.85
RET-000114,2025-06-10,2025-06-20,apparel,tmall,APP-0071,1,damaged,380.71
RET-000115,2025-06-18,2025-06-19,apparel,jd,APP-0040,2,damaged,647.69
RET-000116,2025-05-31,2025-06-06,apparel,tmall,APP-0010,2,quality_issue,288.25
RET-000117,2025-06-19,2025-06-21,apparel,tmall,APP-0029,3,changed_mind,87.37
RET-000118,2025-05-30,2025-06-03,apparel,douyin,APP-0014,3,quality_issue,616.05
RET-000119,2025-05-23,2025-05-31,apparel,douyin,APP-0002,3,size_mismatch,648.8
RET-000120,2025-06-13,2025-06-15,apparel,douyin,APP-0018,2,damaged,533.8
RET-000121,2025-06-11,2025-06-17,apparel,jd,APP-0033,3,size_mismatch,187.62
RET-000122,2025-06-02,2025-06-17,apparel,tmall,APP-0009,2,changed_mind,215.88
RET-000123,2025-05-27,2025-06-06,apparel,jd,APP-0050,1,size_mismatch,352.23
RET-000124,2025-05-15,2025-05-27,apparel,douyin,APP-0067,3,damaged,182.9
RET-000125,2025-06-15,2025-06-27,apparel,jd,APP-0039,1,quality_issue,64.29
RET-000126,2025-06-12,2025-06-14,apparel,jd,APP-0019,2,quality_issue,221.25
RET-000127,2025-05-24,2025-05-25,apparel,tmall,APP-0055,1,quality_issue,103.9
RET-000128,2025-06-06,2025-06-12,apparel,jd,APP-0020,2,quality_issue,716.47
RET-000129,2025-05-14,2025-05-19,apparel,jd,APP-0002,2,damaged,117.76
RET-000130,2025-06-17,2025-06-18,apparel,jd,APP-0003,3,size_mismatch,619.51
RET-000131,2025-05-28,2025-06-11,apparel,tmall,APP-0077,2,quality_issue,583.54
RET-000132,2025-06-02,2025-06-12,apparel,jd,APP-0072,2,size_mismatch,700.24
RET-000133,2025-06-17,2025-06-22,apparel,tmall,APP-0022,3,size_mismatch,226.66
RET-000134,2025-06-14,2025-06-17,apparel,jd,APP-0030,2,quality_issue,451.76
RET-000135,2025-06-07,2025-06-18,apparel,douyin,APP-0073,3,damaged,166.81
RET-000136,2025-05-16,2025-05-27,apparel,jd,APP-0002,2,damaged,664.83
RET-000137,2025-05-31,2025-06-04,apparel,douyin,APP-0058,1,changed_mind,759.27
RET-000138,2025-05-30,2025-06-02,apparel,douyin,APP-0031,1,quality_issue,365.0
RET-000139,2025-05-24,2025-06-06,apparel,douyin,APP-0060,3,damaged,749.91
RET-000140,2025-05-29,2025-06-09,apparel,jd,APP-0043,2,changed_mind,330.21
RET-000141,2025-06-15,2025-06-21,apparel,douyin,APP-0045,2,damaged,36.17
RET-000142,2025-06-12,2025-06-23,apparel,tmall,APP-0074,3,size_mismatch,542.46
RET-000143,2025-05-26,2025-06-02,apparel,jd,APP-0017,2,changed_mind,767.51
RET-000144,2025-05-17,2025-05-23,apparel,jd,APP-0070,3,size_mismatch,325.25
RET-000145,2025-05-15,2025-05-21,apparel,douyin,APP-0025,1,size_mismatch,195.25
RET-000146,2025-05-28,2025-05-29,apparel,tmall,APP-0042,3,damaged,206.91
RET-000147,2025-05-26,2025-06-09,apparel,douyin,APP-0016,3,quality_issue,633.56
RET-000148,2025-05-28,2025-06-11,apparel,tmall,APP-0022,3,damaged,731.9
RET-000149,2025-06-19,2025-07-04,apparel,tmall,APP-0045,1,changed_mind,58.02
RET-000150,2025-05-27,2025-05-30,apparel,douyin,APP-0024,3,damaged,680.26
RET-000151,2025-05-16,2025-05-21,apparel,douyin,APP-0078,2,quality_issue,391.25
RET-000152,2025-05-15,2025-05-29,apparel,douyin,APP-0009,3,changed_mind,720.8
RET-000153,2025-06-16,2025-07-01,apparel,douyin,APP-0020,1,damaged,642.79
RET-000154,2025-06-05,2025-06-19,apparel,tmall,APP-0078,2,quality_issue,154.29
RET-000155,2025-06-02,2025-06-16,apparel,jd,APP-0055,1,damaged,434.82
RET-000156,2025-05-16,2025-05-27,apparel,tmall,APP-0007,2,size_mismatch,471.07
RET-000157,2025-05-27,2025-06-11,apparel,jd,APP-0051,3,quality_issue,642.38
RET-000158,2025-05-21,2025-05-23,apparel,tmall,APP-0028,1,size_mismatch,606.19
RET-000159,2025-05-25,2025-05-28,apparel,douyin,APP-0015,2,changed_mind,348.0
RET-000160,2025-05-20,2025-05-29,apparel,jd,APP-0024,2,size_mismatch,236.35
RET-000161,2025-05-26,2025-06-01,apparel,jd,APP-0018,3,changed_mind,473.93
RET-000162,2025-05-21,2025-05-30,apparel,tmall,APP-0007,3,size_mismatch,536.77
RET-000163,2025-05-15,2025-05-30,apparel,jd,APP-0056,2,size_mismatch,483.04
RET-000164,2025-05-29,2025-05-30,apparel,douyin,APP-0033,3,damaged,435.54
RET-000165,2025-06-18,2025-06-25,apparel,tmall,APP-0057,2,size_mismatch,423.33
RET-000166,2025-06-13,2025-06-19,apparel,tmall,APP-0080,2,damaged,109.97
RET-000167,2025-05-14,2025-05-26,apparel,douyin,APP-0034,3,changed_mind,154.61
RET-000168,2025-05-30,2025-06-08,apparel,douyin,APP-0001,1,quality_issue,517.86
RET-000169,2025-06-13,2025-06-27,apparel,jd,APP-0025,3,quality_issue,702.54
RET-000170,2025-06-09,2025-06-10,apparel,tmall,APP-0042,2,damaged,412.1
RET-000171,2025-05-30,2025-06-06,apparel,douyin,APP-0054,1,quality_issue,263.41
RET-000172,2025-06-16,2025-06-18,apparel,douyin,APP-0002,2,size_mismatch,457.78
RET-000173,2025-06-05,2025-06-06,apparel,douyin,APP-0056,1,quality_issue,146.49
RET-000174,2025-05-28,2025-06-09,apparel,douyin,APP-0051,2,changed_mind,502.66
RET-000175,2025-06-14,2025-06-19,apparel,jd,APP-0021,1,size_mismatch,675.19
RET-000176,2025-06-11,2025-06-25,apparel,tmall,APP-0032,1,size_mismatch,213.47
RET-000177,2025-05-16,2025-05-19,apparel,tmall,APP-0042,3,size_mismatch,460.47
RET-000178,2025-05-14,2025-05-24,apparel,douyin,APP-0058,1,quality_issue,32.29
RET-000179,2025-05-27,2025-06-05,apparel,tmall,APP-0016,3,changed_mind,759.81
RET-000180,2025-06-18,2025-06-20,apparel,douyin,APP-0050,1,quality_issue,92.64
RET-000181,2025-06-02,2025-06-15,apparel,tmall,APP-0004,2,size_mismatch,544.59
RET-000182,2025-05-27,2025-06-02,apparel,jd,APP-0049,3,quality_issue,219.15
RET-000183,2025-06-09,2025-06-21,apparel,douyin,APP-0039,1,changed_mind,49.55
RET-000184,2025-05-20,2025-05-21,apparel,jd,APP-0076,3,quality_issue,103.49
RET-000185,2025-06-02,2025-06-10,apparel,douyin,APP-0020,2,size_mismatch,345.42
RET-000186,2025-05-24,2025-06-01,apparel,jd,APP-0052,3,damaged,179.9
RET-000187,2025-05-18,2025-05-25,apparel,tmall,APP-0018,3,changed_mind,740.44
RET-000188,2025-05-27,2025-05-31,apparel,jd,APP-0048,1,damaged,711.66
RET-000189,2025-06-06,2025-06-15,apparel,tmall,APP-0015,1,damaged,364.05
RET-000190,2025-06-04,2025-06-16,apparel,douyin,APP-0004,3,damaged,431.28
RET-000191,2025-05-16,2025-05-29,apparel,jd,APP-0055,1,quality_issue,262.74
RET-000192,2025-06-17,2025-07-01,apparel,douyin,APP-0031,2,damaged,272.87
RET-000193,2025-06-07,2025-06-15,apparel,tmall,APP-0037,3,quality_issue,700.28
RET-000194,2025-05-17,2025-05-31,apparel,douyin,APP-0039,2,damaged,115.85
RET-000195,2025-06-04,2025-06-06,apparel,jd,APP-0064,1,changed_mind,178.18
RET-000196,2025-06-17,2025-06-26,apparel,jd,APP-0048,3,quality_issue,732.49
RET-000197,2025-05-23,2025-05-31,apparel,tmall,APP-0023,3,size_mismatch,62.95
RET-000198,2025-05-23,2025-05-28,apparel,jd,APP-0070,3,damaged,183.71
RET-000199,2025-06-06,2025-06-18,apparel,tmall,APP-0016,3,quality_issue,140.68
RET-000200,2025-06-01,2025-06-16,apparel,tmall,APP-0057,1,quality_issue,464.37
RET-000201,2025-06-10,2025-06-22,apparel,douyin,APP-0023,2,quality_issue,276.19
RET-000202,2025-06-18,2025-06-21,apparel,jd,APP-0033,2,damaged,763.77
RET-000203,2025-06-17,2025-06-21,apparel,jd,APP-0022,1,quality_issue,542.05
RET-000204,2025-05-22,2025-06-03,apparel,douyin,APP-0056,1,quality_issue,314.25
RET-000205,2025-06-12,2025-06-25,apparel,jd,APP-0040,2,quality_issue,444.07
RET-000206,2025-05-15,2025-05-19,apparel,tmall,APP-0062,3,changed_mind,87.3
RET-000207,2025-05-19,2025-05-29,apparel,douyin,APP-0048,2,damaged,129.59
RET-000208,2025-05-23,2025-06-03,apparel,douyin,APP-0049,3,damaged,197.33
RET-000209,2025-06-11,2025-06-12,apparel,tmall,APP-0015,1,quality_issue,112.25
RET-000210,2025-06-02,2025-06-08,apparel,douyin,APP-0065,2,quality_issue,330.99
RET-000211,2025-05-30,2025-06-08,apparel,douyin,APP-0009,1,changed_mind,513.85
RET-000212,2025-06-10,2025-06-15,apparel,douyin,APP-0057,3,quality_issue,647.01
RET-000213,2025-05-22,2025-05-26,apparel,jd,APP-0018,1,quality_issue,518.41
RET-000214,2025-05-24,2025-06-02,apparel,jd,APP-0076,2,size_mismatch,753.76
RET-000215,2025-06-19,2025-06-20,apparel,tmall,APP-0068,3,size_mismatch,290.62
RET-000216,2025-05-19,2025-05-21,apparel,douyin,APP-0078,3,changed_mind,490.61
RET-000217,2025-06-19,2025-06-27,apparel,jd,APP-0076,3,size_mismatch,224.68
RET-000218,2025-06-06,2025-06-15,apparel,tmall,APP-0012,2,damaged,370.41
RET-000219,2025-05-15,2025-05-17,apparel,tmall,APP-0037,2,changed_mind,534.25
RET-000220,2025-05-30,2025-06-02,apparel,jd,APP-0060,3,quality_issue,618.3
RET-000221,2025-05-24,2025-05-31,apparel,douyin,APP-0064,3,size_mismatch,146.27
RET-000222,2025-05-17,2025-06-01,apparel,jd,APP-0022,1,size_mismatch,667.27
RET-000223,2025-06-10,2025-06-21,apparel,douyin,APP-0050,2,damaged,730.65
RET-000224,2025-06-12,2025-06-21,apparel,jd,APP-0071,2,changed_mind,50.97
RET-000225,2025-06-11,2025-06-20,apparel,douyin,APP-0056,3,size_mismatch,152.59
RET-000226,2025-06-16,2025-06-29,apparel,douyin,APP-0009,2,changed_mind,100.11
RET-000227,2025-06-14,2025-06-26,apparel,jd,APP-0032,2,damaged,302.07
RET-000228,2025-05-23,2025-05-26,apparel,jd,APP-0061,1,damaged,511.15
RET-000229,2025-05-31,2025-06-08,apparel,douyin,APP-0065,1,damaged,322.56
RET-000230,2025-06-11,2025-06-26,apparel,tmall,APP-0022,2,quality_issue,328.86
RET-000231,2025-05-31,2025-06-06,apparel,tmall,APP-0080,1,size_mismatch,565.44
RET-000232,2025-06-05,2025-06-07,apparel,tmall,APP-0040,2,damaged,143.54
RET-000233,2025-05-18,2025-05-31,apparel,jd,APP-0022,1,damaged,117.94
RET-000234,2025-05-22,2025-06-01,apparel,douyin,APP-0032,1,size_mismatch,662.12
RET-000235,2025-06-11,2025-06-16,apparel,jd,APP-0018,2,size_mismatch,730.39
RET-000236,2025-06-13,2025-06-25,apparel,tmall,APP-0008,2,quality_issue,270.94
RET-000237,2025-06-16,2025-06-25,apparel,douyin,APP-0009,1,damaged,225.6
RET-000238,2025-05-27,2025-06-11,apparel,douyin,APP-0061,2,size_mismatch,161.01
RET-000239,2025-05-18,2025-05-26,apparel,jd,APP-0037,3,quality_issue,49.13
RET-000240,2025-05-16,2025-05-30,apparel,douyin,APP-0021,1,damaged,394.88
RET-000241,2025-06-01,2025-06-10,apparel,jd,APP-0011,3,size_mismatch,173.0
RET-000242,2025-05-17,2025-05-31,apparel,tmall,APP-0027,3,size_mismatch,89.5
RET-000243,2025-06-15,2025-06-25,apparel,jd,APP-0080,3,changed_mind,765.19
RET-000244,2025-06-09,2025-06-22,apparel,jd,APP-0023,1,damaged,775.24
RET-000245,2025-06-17,2025-06-18,apparel,douyin,APP-0074,3,quality_issue,782.98
RET-000246,2025-05-19,2025-05-30,apparel,jd,APP-0077,1,damaged,190.64
RET-000247,2025-06-13,2025-06-21,apparel,douyin,APP-0032,3,changed_mind,46.7
RET-000248,2025-06-07,2025-06-17,apparel,jd,APP-0027,1,damaged,746.0
RET-000249,2025-05-26,2025-06-01,apparel,jd,APP-0021,2,damaged,417.91
RET-000250,2025-05-19,2025-05-28,apparel,tmall,APP-0048,2,damaged,426.58
RET-000251,2025-05-18,2025-05-28,apparel,tmall,APP-0041,3,size_mismatch,776.66
RET-000252,2025-06-18,2025-06-21,apparel,douyin,APP-0020,1,changed_mind,326.03
RET-000253,2025-05-29,2025-06-09,apparel,tmall,APP-0039,3,changed_mind,452.55
RET-000254,2025-05-26,2025-06-03,apparel,jd,APP-0030,1,damaged,40.52
RET-000255,2025-06-04,2025-06-13,apparel,tmall,APP-0034,1,size_mismatch,560.33
RET-000256,2025-06-05,2025-06-14,apparel,jd,APP-0026,3,quality_issue,169.85
RET-000257,2025-06-01,2025-06-16,apparel,jd,APP-0025,2,quality_issue,397.17
RET-000258,2025-06-01,2025-06-12,apparel,tmall,APP-0047,1,changed_mind,666.03
RET-000259,2025-05-14,2025-05-20,apparel,jd,APP-0016,3,quality_issue,239.89
RET-000260,2025-06-06,2025-06-21,apparel,douyin,APP-0013,3,damaged,665.52
RET-000261,2025-05-19,2025-06-03,apparel,douyin,APP-0055,1,size_mismatch,78.26
RET-000262,2025-06-04,2025-06-17,apparel,jd,APP-0039,2,size_mismatch,621.61
RET-000263,2025-06-19,2025-07-02,apparel,jd,APP-0077,2,size_mismatch,730.69
RET-000264,2025-05-27,2025-06-03,apparel,tmall,APP-0060,2,changed_mind,773.68
RET-000265,2025-05-21,2025-05-23,apparel,tmall,APP-0056,2,size_mismatch,470.92
RET-000266,2025-05-28,2025-06-12,apparel,jd,APP-0056,3,size_mismatch,356.06
RET-000267,2025-05-19,2025-06-01,apparel,tmall,APP-0043,1,changed_mind,378.25
RET-000268,2025-05-31,2025-06-11,apparel,douyin,APP-0037,3,quality_issue,697.81
RET-000269,2025-06-19,2025-06-20,apparel,jd,APP-0030,3,quality_issue,80.59
RET-000270,2025-06-05,2025-06-09,apparel,tmall,APP-0015,2,changed_mind,637.81
RET-000271,2025-06-03,2025-06-16,apparel,tmall,APP-0076,2,quality_issue,291.17
RET-000272,2025-06-08,2025-06-18,apparel,douyin,APP-0061,1,quality_issue,748.3
RET-000273,2025-05-21,2025-05-28,apparel,tmall,APP-0010,1,size_mismatch,295.81
RET-000274,2025-06-15,2025-06-26,apparel,tmall,APP-0078,3,quality_issue,331.97
RET-000275,2025-05-20,2025-05-25,apparel,douyin,APP-0051,3,damaged,247.99
RET-000276,2025-06-05,2025-06-11,apparel,jd,APP-0042,2,quality_issue,378.81
RET-000277,2025-05-29,2025-06-08,apparel,jd,APP-0056,3,changed_mind,556.85
RET-000278,2025-06-16,2025-06-20,apparel,jd,APP-0058,2,quality_issue,246.19
RET-000279,2025-06-13,2025-06-26,apparel,tmall,APP-0027,1,damaged,361.31
RET-000280,2025-06-08,2025-06-22,apparel,jd,APP-0050,3,damaged,62.08
RET-000281,2025-05-30,2025-06-09,apparel,tmall,APP-0056,1,quality_issue,172.96
RET-000282,2025-05-22,2025-05-29,apparel,tmall,APP-0008,2,quality_issue,494.47
RET-000283,2025-06-05,2025-06-14,apparel,tmall,APP-0027,1,quality_issue,790.99
RET-000284,2025-05-23,2025-05-30,apparel,jd,APP-0008,2,damaged,134.6
RET-000285,2025-05-31,2025-06-03,apparel,tmall,APP-0079,3,size_mismatch,478.97
RET-000286,2025-06-02,2025-06-04,apparel,jd,APP-0062,3,quality_issue,484.23
RET-000287,2025-06-19,2025-06-29,apparel,jd,APP-0068,1,damaged,652.64
RET-000288,2025-05-16,2025-05-24,apparel,douyin,APP-0007,3,size_mismatch,261.48
RET-000289,2025-06-11,2025-06-24,apparel,jd,APP-0040,3,size_mismatch,348.54
RET-000290,2025-06-11,2025-06-20,apparel,tmall,APP-0025,3,size_mismatch,527.85
RET-000291,2025-05-31,2025-06-08,apparel,douyin,APP-0042,1,quality_issue,696.32
RET-000292,2025-05-18,2025-05-24,apparel,jd,APP-0079,2,quality_issue,451.81
RET-000293,2025-05-19,2025-05-22,apparel,jd,APP-0007,3,quality_issue,302.96
RET-000294,2025-05-27,2025-06-04,apparel,douyin,APP-0041,2,changed_mind,547.4
RET-000295,2025-05-25,2025-06-02,apparel,douyin,APP-0066,3,damaged,375.18
RET-000296,2025-05-17,2025-05-24,apparel,douyin,APP-0066,2,changed_mind,511.56
RET-000297,2025-06-04,2025-06-11,apparel,douyin,APP-0052,2,damaged,156.43
RET-000298,2025-06-07,2025-06-18,apparel,jd,APP-0030,1,quality_issue,258.92
RET-000299,2025-05-18,2025-05-19,apparel,tmall,APP-0012,3,changed_mind,297.29
RET-000300,2025-05-27,2025-06-07,apparel,jd,APP-0030,1,quality_issue,660.52
RET-000301,2025-05-20,2025-05-29,apparel,jd,APP-0035,1,size_mismatch,89.34
RET-000302,2025-06-16,2025-06-20,apparel,douyin,APP-0076,3,size_mismatch,599.27
RET-000303,2025-06-07,2025-06-08,apparel,jd,APP-0019,1,quality_issue,691.17
RET-000304,2025-05-26,2025-05-28,apparel,jd,APP-0037,3,size_mismatch,652.62
RET-000305,2025-06-17,2025-06-27,apparel,tmall,APP-0023,3,changed_mind,226.63
RET-000306,2025-06-14,2025-06-20,apparel,jd,APP-0077,1,damaged,203.42
RET-000307,2025-05-15,2025-05-26,apparel,douyin,APP-0036,2,quality_issue,689.39
