LocationID,Borough,Zone,service_zone
117,Queens,South Yards,Boro Zone
118,Brooklyn,Central Bay,Boro Zone
119,Manhattan,West Junction,Yellow Zone
120,Brooklyn,West Village,Boro Zone
121,Manhattan,West Bay,Yellow Zone
122,Manhattan,East Harbor,Yellow Zone
123,Bronx,Central Junction,Boro Zone
124,Bronx,South Square,Boro Zone
125,Manhattan,Lower Village,Yellow Zone
126,Brooklyn,East Gardens,Boro Zone
127,Brooklyn,Central Beach,Boro Zone
128,Bronx,Lower Junction,Boro Zone
129,Manhattan,South Point,Yellow Zone
130,Manhattan,West Heights,Yellow Zone
131,Queens,South Heights,Boro Zone
132,Queens,Upper Park,Airports
133,Manhattan,West Village,Yellow Zone
134,Bronx,East Heights,Boro Zone
135,Bronx,East Harbor,Boro Zone
136,Bronx,West Bay,Boro Zone
137,Bronx,North Square,Boro Zone
138,Queens,East Corners,Airports
139,Staten Island,East Point,Boro Zone
140,Queens,West Point,Boro Zone
141,Queens,East Point,Boro Zone
142,Manhattan,Upper Hill,Yellow Zone
143,Bronx,Central Beach,Boro Zone
144,Bronx,North Village,Boro Zone
145,Staten Island,North Beach,Boro Zone
146,Bronx,Central Hill,Boro Zone
147,Staten Island,West Hill,Boro Zone
148,Manhattan,Central Beach,Yellow Zone
149,Staten Island,West Terminal,Boro Zone
150,Brooklyn,West Hill,Boro Zone
151,Staten Island,Lower Terminal,Boro Zone
152,Staten Island,North Bay,Boro Zone
153,Bronx,South Park,Boro Zone
154,Bronx,North Yards,Boro Zone
155,Queens,East Beach,Boro Zone
156,Manhattan,Lower Beach,Yellow Zone
157,Manhattan,North Junction,Yellow Zone
158,Manhattan,Upper Village,Yellow Zone
159,Queens,Upper Beach,Boro Zone
160,Queens,East Bay,Boro Zone
161,Brooklyn,Lower Gardens,Boro Zone
162,Bronx,North Heights,Boro Zone
163,Staten Island,West Hill,Boro Zone
164,Queens,Central Gardens,Boro Zone
165,Staten Island,South Park,Boro Zone
166,Brooklyn,West Village,Boro Zone
167,Brooklyn,North Beach,Boro Zone
168,Brooklyn,East Harbor,Boro Zone
169,Queens,East Hill,Boro Zone
170,Staten Island,Upper Beach,Boro Zone
171,Staten Island,Lower Hill,Boro Zone
172,Brooklyn,Lower Bay,Boro Zone
173,Queens,Central Yards,Boro Zone
174,Queens,South Harbor,Boro Zone
175,Staten Island,East Beach,Boro Zone
176,Brooklyn,West Hill,Boro Zone
177,Manhattan,Upper Beach,Yellow Zone
178,Brooklyn,Lower Yards,Boro Zone
179,Bronx,East Village,Boro Zone
180,Staten Island,Lower Hill,Boro Zone
181,Staten Island,Central Terminal,Boro Zone
182,Queens,North Yards,Boro Zone
183,Bronx,Central Beach,Boro Zone
184,Queens,West Point,Boro Zone
185,Manhattan,Upper Square,Yellow Zone
186,Manhattan,East Corners,Yellow Zone
187,Staten Island,East Harbor,Boro Zone
188,Staten Island,Lower Terminal,Boro Zone
189,Bronx,South Point,Boro Zone
190,Bronx,North Harbor,Boro Zone
191,Brooklyn,North Terminal,Boro Zone
192,Brooklyn,Upper Square,Boro Zone
193,Queens,West Junction,Boro Zone
194,Bronx,Central Bay,Boro Zone
195,Staten Island,North Hill,Boro Zone
196,Manhattan,North Junction,Yellow Zone
197,Brooklyn,West Yards,Boro Zone
198,Bronx,Lower Park,Boro Zone
199,Bronx,Upper Point,Boro Zone
200,Bronx,West Junction,Boro Zone
201,Bronx,West Yards,Boro Zone
202,Staten Island,West Harbor,Boro Zone
203,Bronx,Central Beach,Boro Zone
204,Queens,East Yards,Boro Zone
205,Bronx,South Point,Boro Zone
206,Queens,Upper Park,Boro Zone
207,Manhattan,South Harbor,Yellow Zone
208,Staten Island,Central Terminal,Boro Zone
209,Brooklyn,North Beach,Boro Zone
210,Queens,East Heights,Boro Zone
211,Bronx,North Hill,Boro Zone
212,Bronx,Lower Heights,Boro Zone
213,Queens,West Village,Boro Zone
214,Bronx,West Gardens,Boro Zone
215,Manhattan,South Heights,Yellow Zone
216,Manhattan,North Point,Yellow Zone
217,Bronx,Central Point,Boro Zone
218,Brooklyn,Central Village,Boro Zone
219,Staten Island,West Harbor,Boro Zone
220,Brooklyn,North Beach,Boro Zone
221,Brooklyn,Lower Yards,Boro Zone
222,Bronx,North Bay,Boro Zone
223,Brooklyn,Central Yards,Boro Zone
224,Staten Island,West Terminal,Boro Zone
225,Brooklyn,Central Village,Boro Zone
226,Queens,West Bay,Boro Zone
227,Staten Island,North Gardens,Boro Zone
228,Staten Island,Central Gardens,Boro Zone
229,Staten Island,Upper Point,Boro Zone
230,Manhattan,North Corners,Yellow Zone
231,Staten Island,East Village,Boro Zone
232,Manhattan,South Beach,Yellow Zone
233,Bronx,West Village,Boro Zone
234,Queens,Lower Bay,Boro Zone
235,Queens,North Point,Boro Zone
236,Bronx,Central Village,Boro Zone
237,Staten Island,West Point,Boro Zone
238,Staten Island,Upper Beach,Boro Zone
239,Staten Island,North Harbor,Boro Zone
240,Bronx,Upper Hill,Boro Zone
241,Manhattan,Central Point,Yellow Zone
242,Bronx,East Corners,Boro Zone
243,Bronx,South Terminal,Boro Zone
244,Brooklyn,Central Corners,Boro Zone
245,Queens,Upper Bay,Boro Zone
246,Manhattan,East Heights,Yellow Zone
247,Manhattan,Lower Corners,Yellow Zone
248,Staten Island,Central Harbor,Boro Zone
249,Queens,Central Hill,Boro Zone
250,Brooklyn,North Corners,Boro Zone
251,Staten Island,Upper Harbor,Boro Zone
252,Staten Island,West Corners,Boro Zone
253,Bronx,Lower Village,Boro Zone
254,Queens,Lower Point,Boro Zone
255,Queens,Lower Corners,Boro Zone
256,Manhattan,West Square,Yellow Zone
257,Manhattan,South Yards,Yellow Zone
258,Brooklyn,Upper Beach,Boro Zone
259,Manhattan,Upper Park,Yellow Zone
260,Manhattan,Upper Square,Yellow Zone
261,Queens,East Beach,Boro Zone
262,Staten Island,East Park,Boro Zone
263,Bronx,West Square,Boro Zone
264,Bronx,South Beach,Boro Zone
265,Unknown,NV,N/A
