study_id,paper_doi,condition,participant_id,dv_primary,dv_secondary,manipulation_check,age,gender,education,session_date,response_time_ms,attrition_flag,note
S0016,10.1177/0956797614520714,treatment_a,P00016,2.671,4.637,5.64,27,F,PhD,2019-09-28,913904,1,upd1_extended_row_16
S0017,10.1037/pspa0000226,treatment_b,P00017,2.162,4.225,4.33,51,F,PhD,2019-04-25,2062895,0,upd1_extended_row_17
S0018,10.1177/0956797615575277,control,P00018,6.564,3.372,5.61,28,M,Other,2019-07-06,747634,0,upd1_extended_row_18
S0019,10.1073/pnas.1209746109,treatment_a,P00019,6.305,3.298,3.05,62,M,MA,2019-12-05,1333512,0,upd1_extended_row_19
S0020,10.1037/pspa0000226,treatment_a,P00020,3.772,2.756,5.51,18,NB,BA,2019-08-26,1538393,1,upd1_extended_row_20
S0021,10.1177/0956797615575277,treatment_b,P00021,5.294,2.248,4.51,65,F,Other,2019-09-09,629334,0,upd1_extended_row_21
S0022,10.1177/0956797615575277,treatment_a,P00022,3.19,4.647,4.16,40,F,Other,2019-11-14,2258159,0,upd1_extended_row_22
S0023,10.1177/0956797615575277,control,P00023,2.89,4.384,5.23,23,NB,Other,2019-05-05,819566,0,upd1_extended_row_23
S0024,10.1177/0956797614520714,treatment_b,P00024,4.195,3.458,3.67,46,M,MA,2019-01-16,858394,0,upd1_extended_row_24
S0025,10.1073/pnas.1209746109,treatment_b,P00025,5.207,4.162,4.78,27,M,BA,2019-08-01,601017,0,upd1_extended_row_25
S0026,10.1177/0956797614520714,control,P00026,3.954,2.715,5.25,23,M,HS,2019-11-28,886403,0,upd1_extended_row_26
S0027,10.1177/0956797614520714,treatment_a,P00027,3.241,2.886,4.52,29,F,BA,2019-03-24,990576,0,upd1_extended_row_27
S0028,10.1177/0956797614520714,treatment_b,P00028,3.911,2.279,4.9,25,M,PhD,2019-06-11,797443,0,upd1_extended_row_28
S0029,10.1177/0956797615575277,control,P00029,5.5,3.508,5.54,59,M,BA,2019-04-10,697492,0,upd1_extended_row_29
S0030,10.1177/0956797614520714,treatment_b,P00030,7.021,3.59,4.74,63,M,BA,2019-04-07,2351496,0,upd1_extended_row_30
S0031,10.1177/0956797614520714,treatment_b,P00031,4.657,3.371,3.2,55,M,BA,2019-01-24,1578399,0,upd1_extended_row_31
S0032,10.1073/pnas.1209746109,treatment_a,P00032,4.685,2.472,4.17,36,F,PhD,2019-06-03,954136,0,upd1_extended_row_32
S0033,10.1073/pnas.1209746109,control,P00033,2.911,4.898,5.89,56,M,Other,2019-01-24,1262232,0,upd1_extended_row_33
S0034,10.1177/0956797614520714,control,P00034,5.392,3.808,4.18,42,M,PhD,2019-09-15,1672176,0,upd1_extended_row_34
S0035,10.1177/0956797614520714,treatment_a,P00035,4.288,4.514,5.84,46,M,PhD,2019-04-05,2205334,0,upd1_extended_row_35
S0036,10.1177/0956797615575277,treatment_a,P00036,4.939,3.8,6.06,43,F,BA,2019-05-11,2317872,1,upd1_extended_row_36
S0037,10.1073/pnas.1209746109,treatment_b,P00037,2.662,4.063,4.52,30,M,PhD,2019-03-04,2053195,0,upd1_extended_row_37
S0038,10.1073/pnas.1209746109,treatment_a,P00038,2.976,4.086,5.69,62,F,HS,2019-02-23,601742,0,upd1_extended_row_38
S0039,10.1073/pnas.1209746109,control,P00039,4.259,4.596,5.43,56,M,BA,2019-10-23,1978689,0,upd1_extended_row_39
S0040,10.1177/0956797614520714,treatment_a,P00040,5.225,4.224,5.34,35,M,HS,2019-07-07,1853126,0,upd1_extended_row_40
S0041,10.1037/pspa0000226,treatment_b,P00041,4.022,4.562,4.84,28,M,BA,2019-01-04,2076298,0,upd1_extended_row_41
S0042,10.1177/0956797615575277,treatment_b,P00042,3.579,4.521,5.39,44,F,HS,2019-05-24,1952229,0,upd1_extended_row_42
S0043,10.1037/pspa0000226,control,P00043,3.813,4.665,4.15,60,M,PhD,2019-01-09,675064,0,upd1_extended_row_43
S0044,10.1177/0956797615575277,treatment_b,P00044,3.058,2.886,4.71,59,M,HS,2019-10-23,1403971,0,upd1_extended_row_44
S0045,10.1177/0956797615575277,treatment_b,P00045,2.501,3.254,4.53,21,F,Other,2019-04-09,1411704,0,upd1_extended_row_45
S0046,10.1177/0956797615575277,control,P00046,5.127,3.386,5.86,47,F,Other,2019-01-05,1896624,0,upd1_extended_row_46
S0047,10.1177/0956797614520714,treatment_a,P00047,4.638,2.254,4.24,43,F,BA,2019-05-13,1871570,0,upd1_extended_row_47
S0048,10.1177/0956797614520714,control,P00048,4.387,2.353,5.04,52,M,MA,2019-05-05,680030,0,upd1_extended_row_48
S0049,10.1073/pnas.1209746109,treatment_b,P00049,4.565,3.471,5.35,50,F,MA,2019-08-15,673505,0,upd1_extended_row_49
S0050,10.1177/0956797614520714,treatment_a,P00050,4.316,4.258,5.44,48,F,HS,2019-01-17,1231671,0,upd1_extended_row_50
S0051,10.1177/0956797615575277,treatment_a,P00051,3.997,4.09,5.51,42,M,Other,2019-09-14,1437425,0,upd1_extended_row_51
S0052,10.1177/0956797615575277,treatment_b,P00052,5.623,5.208,4.81,38,M,PhD,2019-11-25,2253792,0,upd1_extended_row_52
S0053,10.1073/pnas.1209746109,treatment_a,P00053,5.179,4.139,4.15,27,F,HS,2019-09-13,1236209,1,upd1_extended_row_53
S0054,10.1177/0956797614520714,treatment_b,P00054,6.025,2.119,4.78,38,F,MA,2019-02-25,1419850,0,upd1_extended_row_54
S0055,10.1073/pnas.1209746109,control,P00055,4.886,4.557,5.16,30,M,BA,2019-03-03,462626,0,upd1_extended_row_55
S0056,10.1177/0956797614520714,treatment_b,P00056,2.081,2.492,4.75,24,F,PhD,2019-10-22,528553,0,upd1_extended_row_56
S0057,10.1177/0956797614520714,treatment_a,P00057,5.759,2.99,4.47,32,M,HS,2019-12-13,2398423,0,upd1_extended_row_57
S0058,10.1073/pnas.1209746109,treatment_a,P00058,2.605,4.63,4.48,32,F,Other,2019-02-18,2152523,0,upd1_extended_row_58
S0059,10.1073/pnas.1209746109,control,P00059,3.559,3.665,4.56,21,NB,BA,2019-10-14,964419,0,upd1_extended_row_59
S0060,10.1177/0956797615575277,control,P00060,3.792,4.819,4.63,19,M,PhD,2019-04-08,1286180,0,upd1_extended_row_60
S0061,10.1037/pspa0000226,treatment_a,P00061,3.38,4.529,4.39,65,F,BA,2019-01-15,1754115,0,upd1_extended_row_61
S0062,10.1073/pnas.1209746109,treatment_b,P00062,2.979,3.534,6.2,65,F,Other,2019-02-13,485315,0,upd1_extended_row_62
S0063,10.1177/0956797614520714,treatment_a,P00063,3.535,2.397,5.71,40,F,PhD,2019-12-23,2049032,0,upd1_extended_row_63
S0064,10.1037/pspa0000226,treatment_b,P00064,5.825,2.857,5.34,61,F,PhD,2019-05-11,1131044,0,upd1_extended_row_64
S0065,10.1073/pnas.1209746109,treatment_b,P00065,5.643,5.293,4.23,61,F,Other,2019-02-16,1027561,0,upd1_extended_row_65
S0066,10.1073/pnas.1209746109,treatment_a,P00066,3.926,3.492,6.11,65,M,BA,2019-09-04,1713598,0,upd1_extended_row_66
S0067,10.1177/0956797614520714,control,P00067,2.782,4.805,6.19,38,M,MA,2019-07-20,983989,0,upd1_extended_row_67
S0068,10.1177/0956797614520714,control,P00068,3.849,5.275,5.39,34,M,PhD,2019-03-20,411347,0,upd1_extended_row_68
S0069,10.1177/0956797614520714,control,P00069,5.867,4.686,5.85,56,F,BA,2019-01-10,1001060,0,upd1_extended_row_69
S0070,10.1037/pspa0000226,treatment_a,P00070,3.463,2.392,4.77,39,M,Other,2019-10-11,1721126,0,upd1_extended_row_70
S0071,10.1177/0956797614520714,treatment_a,P00071,4.271,4.332,6.09,33,M,HS,2019-09-28,1815766,0,upd1_extended_row_71
S0072,10.1073/pnas.1209746109,treatment_b,P00072,4.319,4.696,5.57,21,F,PhD,2019-10-10,873839,0,upd1_extended_row_72
S0073,10.1073/pnas.1209746109,treatment_b,P00073,3.524,3.234,5.21,41,F,PhD,2019-10-25,400344,0,upd1_extended_row_73
S0074,10.1177/0956797614520714,treatment_a,P00074,3.065,4.591,5.63,62,F,HS,2019-10-04,1072708,1,upd1_extended_row_74
S0075,10.1177/0956797614520714,treatment_a,P00075,3.959,3.71,4.96,27,F,Other,2019-09-01,449958,0,upd1_extended_row_75
S0076,10.1177/0956797615575277,treatment_a,P00076,7.178,3.654,3.98,35,F,HS,2019-01-15,1296647,0,upd1_extended_row_76
S0077,10.1177/0956797614520714,control,P00077,4.177,2.758,4.28,23,M,BA,2019-05-01,1466132,0,upd1_extended_row_77
S0078,10.1037/pspa0000226,treatment_b,P00078,5.271,4.49,6.13,35,M,PhD,2019-10-13,895434,0,upd1_extended_row_78
S0079,10.1037/pspa0000226,treatment_b,P00079,2.477,3.397,5.25,59,M,MA,2019-10-07,1971304,0,upd1_extended_row_79
S0080,10.1073/pnas.1209746109,treatment_b,P00080,6.839,4.325,4.35,19,F,HS,2019-02-04,2274881,0,upd1_extended_row_80
S0081,10.1073/pnas.1209746109,treatment_a,P00081,4.533,4.579,5.15,27,F,PhD,2019-11-08,244518,0,upd1_extended_row_81
S0082,10.1073/pnas.1209746109,treatment_b,P00082,4.374,3.995,4.54,24,NB,MA,2019-06-11,1375339,0,upd1_extended_row_82
S0083,10.1073/pnas.1209746109,treatment_a,P00083,2.691,2.971,5.84,56,F,HS,2019-08-14,403273,0,upd1_extended_row_83
S0084,10.1177/0956797615575277,treatment_a,P00084,2.433,2.264,4.7,23,NB,MA,2019-07-06,1693557,0,upd1_extended_row_84
S0085,10.1073/pnas.1209746109,treatment_a,P00085,4.856,3.444,5.76,63,F,MA,2019-01-24,956793,0,upd1_extended_row_85
S0086,10.1177/0956797615575277,control,P00086,3.154,1.41,5.04,65,NB,PhD,2019-03-28,1412788,0,upd1_extended_row_86
S0087,10.1177/0956797615575277,treatment_b,P00087,4.263,2.939,3.47,36,F,PhD,2019-02-13,494395,0,upd1_extended_row_87
S0088,10.1037/pspa0000226,treatment_a,P00088,3.546,4.263,5.38,37,F,BA,2019-05-28,2218352,0,upd1_extended_row_88
S0089,10.1037/pspa0000226,treatment_a,P00089,6.411,4.109,5.0,21,M,MA,2019-02-11,677018,0,upd1_extended_row_89
S0090,10.1177/0956797615575277,treatment_b,P00090,4.792,3.484,4.76,60,NB,HS,2019-06-28,744511,0,upd1_extended_row_90
S0091,10.1073/pnas.1209746109,treatment_b,P00091,4.863,5.664,5.32,58,F,PhD,2019-07-19,1426965,0,upd1_extended_row_91
S0092,10.1177/0956797615575277,treatment_a,P00092,4.045,3.035,5.48,23,NB,MA,2019-02-22,895702,0,upd1_extended_row_92
S0093,10.1073/pnas.1209746109,control,P00093,4.714,4.219,4.98,45,F,PhD,2019-01-14,921332,0,upd1_extended_row_93
S0094,10.1073/pnas.1209746109,treatment_a,P00094,4.034,3.624,5.62,25,F,Other,2019-04-28,2373274,0,upd1_extended_row_94
S0095,10.1177/0956797614520714,treatment_a,P00095,5.025,3.393,6.13,53,F,BA,2019-08-20,1286703,1,upd1_extended_row_95
S0096,10.1177/0956797615575277,treatment_b,P00096,4.795,2.636,5.27,26,NB,HS,2019-01-03,508014,0,upd1_extended_row_96
S0097,10.1177/0956797614520714,treatment_b,P00097,5.136,4.065,5.26,51,NB,HS,2019-06-23,262713,0,upd1_extended_row_97
S0098,10.1037/pspa0000226,treatment_b,P00098,4.988,3.188,4.69,30,NB,PhD,2019-04-17,1510855,0,upd1_extended_row_98
S0099,10.1177/0956797615575277,treatment_b,P00099,5.259,4.733,3.85,35,M,BA,2019-10-12,240213,0,upd1_extended_row_99
S0100,10.1037/pspa0000226,treatment_b,P00100,3.896,5.825,5.0,22,M,HS,2019-05-17,2090368,0,upd1_extended_row_100
S0101,10.1037/pspa0000226,treatment_b,P00101,5.115,3.645,5.62,44,F,Other,2019-06-23,1398024,0,upd1_extended_row_101
S0102,10.1073/pnas.1209746109,treatment_a,P00102,3.519,3.387,5.46,37,NB,PhD,2019-11-11,896264,1,upd1_extended_row_102
S0103,10.1073/pnas.1209746109,treatment_b,P00103,2.546,4.228,4.54,62,F,HS,2019-05-25,503673,0,upd1_extended_row_103
S0104,10.1037/pspa0000226,treatment_b,P00104,5.377,4.337,5.45,48,NB,BA,2019-01-03,1857226,0,upd1_extended_row_104
S0105,10.1073/pnas.1209746109,treatment_b,P00105,3.943,3.131,4.75,29,F,Other,2019-09-14,2294674,0,upd1_extended_row_105
S0106,10.1177/0956797614520714,treatment_a,P00106,2.609,3.964,5.18,32,F,MA,2019-09-28,2344066,0,upd1_extended_row_106
S0107,10.1177/0956797614520714,treatment_b,P00107,4.091,4.132,3.57,32,M,Other,2019-12-04,2039503,0,upd1_extended_row_107
S0108,10.1073/pnas.1209746109,treatment_a,P00108,4.815,3.116,4.93,24,F,HS,2019-03-22,2307373,0,upd1_extended_row_108
S0109,10.1177/0956797615575277,treatment_b,P00109,5.952,2.72,4.71,27,M,HS,2019-05-24,1343440,0,upd1_extended_row_109
S0110,10.1177/0956797614520714,treatment_b,P00110,4.364,6.761,4.12,28,F,BA,2019-09-28,2102803,0,upd1_extended_row_110
S0111,10.1177/0956797615575277,control,P00111,4.793,3.788,3.98,39,M,MA,2019-01-20,2183683,0,upd1_extended_row_111
S0112,10.1037/pspa0000226,treatment_b,P00112,2.711,5.81,4.48,50,F,BA,2019-01-15,1180239,0,upd1_extended_row_112
S0113,10.1037/pspa0000226,control,P00113,5.457,3.833,4.58,62,F,MA,2019-03-08,1048101,0,upd1_extended_row_113
S0114,10.1073/pnas.1209746109,treatment_b,P00114,4.666,5.075,4.75,19,M,HS,2019-11-26,905321,1,upd1_extended_row_114
S0115,10.1177/0956797615575277,treatment_a,P00115,4.827,5.287,4.36,24,M,HS,2019-11-16,266544,0,upd1_extended_row_115
S0116,10.1073/pnas.1209746109,treatment_b,P00116,6.325,3.956,5.2,44,NB,HS,2019-07-20,729937,0,upd1_extended_row_116
S0117,10.1177/0956797614520714,control,P00117,5.201,3.167,4.84,58,F,PhD,2019-05-22,699182,0,upd1_extended_row_117
S0118,10.1073/pnas.1209746109,treatment_a,P00118,4.532,3.769,4.99,60,F,BA,2019-11-04,363571,0,upd1_extended_row_118
S0119,10.1177/0956797614520714,treatment_b,P00119,5.016,3.631,4.55,64,F,BA,2019-12-26,1344207,0,upd1_extended_row_119
S0120,10.1177/0956797615575277,treatment_b,P00120,5.826,2.739,4.91,53,F,Other,2019-04-22,248049,1,upd1_extended_row_120
S0121,10.1073/pnas.1209746109,control,P00121,5.605,2.396,5.06,27,NB,PhD,2019-08-12,847335,0,upd1_extended_row_121
S0122,10.1177/0956797615575277,control,P00122,3.233,3.151,3.56,24,F,Other,2019-01-24,1968941,0,upd1_extended_row_122
S0123,10.1073/pnas.1209746109,control,P00123,3.743,4.742,4.82,38,NB,BA,2019-11-06,1319495,0,upd1_extended_row_123
S0124,10.1073/pnas.1209746109,control,P00124,5.59,3.52,5.09,63,F,BA,2019-10-26,266140,0,upd1_extended_row_124
S0125,10.1037/pspa0000226,treatment_b,P00125,4.983,2.413,5.67,37,M,PhD,2019-02-12,573982,0,upd1_extended_row_125
S0126,10.1073/pnas.1209746109,control,P00126,4.569,2.196,6.09,51,M,PhD,2019-06-08,638514,0,upd1_extended_row_126
S0127,10.1177/0956797614520714,treatment_b,P00127,3.413,4.156,5.46,49,F,PhD,2019-09-05,2290749,0,upd1_extended_row_127
S0128,10.1073/pnas.1209746109,treatment_a,P00128,3.499,1.548,3.79,41,F,BA,2019-10-09,594507,0,upd1_extended_row_128
S0129,10.1177/0956797614520714,control,P00129,3.047,3.651,4.21,60,F,BA,2019-01-06,1836896,0,upd1_extended_row_129
S0130,10.1073/pnas.1209746109,treatment_a,P00130,7.484,3.924,3.76,45,M,MA,2019-11-12,1958471,0,upd1_extended_row_130
S0131,10.1073/pnas.1209746109,treatment_b,P00131,4.72,3.754,4.9,44,F,BA,2019-08-17,1112012,0,upd1_extended_row_131
S0132,10.1037/pspa0000226,control,P00132,4.033,4.59,4.49,42,F,Other,2019-01-05,1825734,0,upd1_extended_row_132
S0133,10.1177/0956797614520714,treatment_b,P00133,5.678,3.392,5.63,47,F,PhD,2019-06-17,2344247,1,upd1_extended_row_133
S0134,10.1073/pnas.1209746109,treatment_a,P00134,4.946,4.382,4.79,54,M,HS,2019-12-10,750493,0,upd1_extended_row_134
S0135,10.1037/pspa0000226,treatment_b,P00135,3.577,4.145,4.65,32,F,PhD,2019-06-09,2233925,0,upd1_extended_row_135
S0136,10.1037/pspa0000226,control,P00136,4.715,3.926,4.89,64,M,Other,2019-03-24,1805154,0,upd1_extended_row_136
S0137,10.1073/pnas.1209746109,treatment_a,P00137,5.028,4.49,5.61,65,NB,HS,2019-08-08,472344,0,upd1_extended_row_137
S0138,10.1177/0956797615575277,control,P00138,5.687,2.713,5.21,54,NB,MA,2019-03-10,1011301,0,upd1_extended_row_138
S0139,10.1037/pspa0000226,control,P00139,5.288,3.775,4.81,60,M,Other,2019-03-12,1007874,0,upd1_extended_row_139
S0140,10.1177/0956797614520714,control,P00140,2.821,3.234,4.81,18,M,PhD,2019-01-04,2139988,1,upd1_extended_row_140
S0141,10.1073/pnas.1209746109,treatment_a,P00141,4.516,4.408,5.42,60,F,MA,2019-09-21,855593,0,upd1_extended_row_141
S0142,10.1037/pspa0000226,treatment_b,P00142,2.447,3.528,4.53,50,NB,HS,2019-06-04,2009306,0,upd1_extended_row_142
S0143,10.1073/pnas.1209746109,treatment_a,P00143,5.925,4.102,5.1,49,NB,Other,2019-12-08,845187,0,upd1_extended_row_143
S0144,10.1177/0956797614520714,treatment_a,P00144,3.592,4.557,6.17,38,F,MA,2019-05-16,1318011,0,upd1_extended_row_144
S0145,10.1177/0956797614520714,control,P00145,4.16,4.146,4.39,61,F,PhD,2019-01-01,956499,0,upd1_extended_row_145
S0146,10.1177/0956797615575277,control,P00146,5.388,3.816,5.38,30,M,Other,2019-09-17,1098874,0,upd1_extended_row_146
S0147,10.1037/pspa0000226,treatment_a,P00147,5.69,4.271,4.76,56,F,MA,2019-10-18,2178865,0,upd1_extended_row_147
S0148,10.1177/0956797615575277,control,P00148,5.182,3.676,5.19,31,M,BA,2019-02-24,1710825,0,upd1_extended_row_148
S0149,10.1073/pnas.1209746109,treatment_a,P00149,4.764,4.223,5.06,22,F,MA,2019-03-14,1200731,0,upd1_extended_row_149
S0150,10.1177/0956797614520714,treatment_b,P00150,5.668,5.411,4.93,64,M,BA,2019-07-05,309321,0,upd1_extended_row_150
S0151,10.1073/pnas.1209746109,control,P00151,5.058,4.289,5.18,32,M,HS,2019-07-02,1099284,0,upd1_extended_row_151
S0152,10.1073/pnas.1209746109,control,P00152,3.729,6.558,3.39,21,F,MA,2019-11-19,1888009,0,upd1_extended_row_152
S0153,10.1177/0956797614520714,treatment_a,P00153,4.708,4.267,5.58,27,F,MA,2019-05-18,1170411,0,upd1_extended_row_153
S0154,10.1037/pspa0000226,treatment_b,P00154,5.593,4.918,5.8,57,M,BA,2019-06-10,1410749,0,upd1_extended_row_154
S0155,10.1037/pspa0000226,treatment_a,P00155,3.906,3.081,5.25,45,F,PhD,2019-06-04,1089760,0,upd1_extended_row_155
S0156,10.1177/0956797615575277,control,P00156,7.293,3.218,4.88,20,M,MA,2019-04-08,2331082,0,upd1_extended_row_156
S0157,10.1073/pnas.1209746109,treatment_b,P00157,6.723,3.29,3.37,26,F,BA,2019-04-07,1551125,0,upd1_extended_row_157
S0158,10.1037/pspa0000226,control,P00158,3.383,3.332,4.48,58,M,HS,2019-06-05,1360541,0,upd1_extended_row_158
S0159,10.1073/pnas.1209746109,treatment_b,P00159,4.495,3.102,4.58,62,F,HS,2019-11-24,578459,0,upd1_extended_row_159
S0160,10.1073/pnas.1209746109,control,P00160,6.413,5.015,4.13,56,NB,Other,2019-01-28,1351007,0,upd1_extended_row_160
S0161,10.1177/0956797614520714,control,P00161,3.45,3.765,4.25,30,NB,Other,2019-01-19,1679987,0,upd1_extended_row_161
S0162,10.1037/pspa0000226,control,P00162,2.86,4.201,5.29,27,M,HS,2019-06-23,2053266,0,upd1_extended_row_162
S0163,10.1177/0956797614520714,control,P00163,3.419,3.991,4.23,58,M,PhD,2019-09-01,2347386,0,upd1_extended_row_163
S0164,10.1177/0956797615575277,treatment_a,P00164,4.088,5.439,4.75,45,M,BA,2019-12-22,862534,0,upd1_extended_row_164
S0165,10.1073/pnas.1209746109,treatment_a,P00165,4.125,5.677,5.14,38,M,PhD,2019-10-03,335456,0,upd1_extended_row_165
S0166,10.1073/pnas.1209746109,treatment_b,P00166,3.563,3.613,6.08,46,M,MA,2019-03-15,212585,0,upd1_extended_row_166
S0167,10.1177/0956797615575277,control,P00167,3.349,4.365,5.84,24,F,BA,2019-06-14,1889413,0,upd1_extended_row_167
S0168,10.1073/pnas.1209746109,treatment_a,P00168,5.963,3.434,3.96,36,NB,BA,2019-01-25,1727023,0,upd1_extended_row_168
S0169,10.1177/0956797615575277,control,P00169,4.778,3.206,6.48,64,M,Other,2019-10-21,1594563,0,upd1_extended_row_169
S0170,10.1073/pnas.1209746109,treatment_a,P00170,3.366,4.617,5.05,24,F,BA,2019-02-09,876226,0,upd1_extended_row_170
S0171,10.1177/0956797615575277,control,P00171,2.302,3.538,4.59,38,F,Other,2019-07-02,1711982,0,upd1_extended_row_171
S0172,10.1037/pspa0000226,treatment_b,P00172,5.791,3.533,5.18,27,F,HS,2019-01-20,2246002,1,upd1_extended_row_172
S0173,10.1037/pspa0000226,control,P00173,4.315,2.168,4.86,40,M,MA,2019-12-10,1312866,0,upd1_extended_row_173
S0174,10.1177/0956797614520714,control,P00174,6.086,3.533,5.43,31,F,BA,2019-12-19,2355762,0,upd1_extended_row_174
S0175,10.1073/pnas.1209746109,control,P00175,3.223,3.085,4.27,38,F,BA,2019-02-18,1687692,0,upd1_extended_row_175
S0176,10.1177/0956797614520714,control,P00176,3.047,4.108,5.35,32,NB,MA,2019-03-24,563588,0,upd1_extended_row_176
S0177,10.1177/0956797615575277,treatment_b,P00177,4.503,4.704,6.53,40,F,BA,2019-03-02,202081,0,upd1_extended_row_177
S0178,10.1177/0956797615575277,treatment_a,P00178,2.936,3.929,5.13,46,F,HS,2019-12-12,2146637,0,upd1_extended_row_178
S0179,10.1177/0956797614520714,control,P00179,4.442,4.034,4.3,50,F,Other,2019-12-22,2046325,1,upd1_extended_row_179
S0180,10.1073/pnas.1209746109,treatment_a,P00180,5.749,4.218,5.21,50,F,HS,2019-10-21,1846118,0,upd1_extended_row_180
S0181,10.1073/pnas.1209746109,treatment_b,P00181,4.568,3.68,5.36,25,F,Other,2019-01-10,341584,0,upd1_extended_row_181
S0182,10.1177/0956797615575277,control,P00182,2.051,3.641,5.62,58,F,HS,2019-06-16,855730,0,upd1_extended_row_182
S0183,10.1177/0956797615575277,treatment_a,P00183,4.746,2.918,4.68,25,M,HS,2019-04-16,935379,0,upd1_extended_row_183
S0184,10.1177/0956797615575277,treatment_b,P00184,5.996,4.366,4.32,45,F,MA,2019-02-08,899352,0,upd1_extended_row_184
S0185,10.1037/pspa0000226,treatment_b,P00185,3.956,2.09,5.97,21,M,PhD,2019-09-21,2151042,0,upd1_extended_row_185
S0186,10.1177/0956797615575277,treatment_a,P00186,6.295,2.74,5.84,45,F,MA,2019-11-11,1706063,0,upd1_extended_row_186
S0187,10.1037/pspa0000226,treatment_b,P00187,4.848,3.783,5.16,32,F,BA,2019-01-14,828147,0,upd1_extended_row_187
S0188,10.1177/0956797614520714,treatment_b,P00188,3.83,3.42,4.62,43,F,Other,2019-06-18,1852660,0,upd1_extended_row_188
S0189,10.1177/0956797614520714,treatment_b,P00189,5.361,2.355,4.55,45,M,BA,2019-11-24,2357643,0,upd1_extended_row_189
S0190,10.1177/0956797614520714,treatment_b,P00190,4.989,3.736,5.66,19,M,BA,2019-11-28,759829,0,upd1_extended_row_190
S0191,10.1177/0956797614520714,control,P00191,4.14,4.351,3.88,45,M,BA,2019-10-19,680671,1,upd1_extended_row_191
S0192,10.1177/0956797614520714,control,P00192,5.189,4.735,5.59,55,F,MA,2019-06-06,262242,0,upd1_extended_row_192
S0193,10.1177/0956797614520714,treatment_b,P00193,4.626,4.047,4.64,64,M,Other,2019-09-13,329932,0,upd1_extended_row_193
S0194,10.1177/0956797614520714,control,P00194,5.22,3.804,5.58,48,F,MA,2019-10-05,828677,0,upd1_extended_row_194
S0195,10.1037/pspa0000226,treatment_b,P00195,5.79,4.5,4.58,45,M,HS,2019-09-02,2000786,0,upd1_extended_row_195
S0196,10.1177/0956797614520714,treatment_b,P00196,4.43,1.924,4.91,47,NB,BA,2019-10-16,2353103,1,upd1_extended_row_196
S0197,10.1177/0956797615575277,treatment_b,P00197,5.684,3.772,5.98,64,NB,MA,2019-01-13,1301747,0,upd1_extended_row_197
S0198,10.1037/pspa0000226,treatment_b,P00198,4.81,3.846,3.29,37,F,MA,2019-08-10,301886,0,upd1_extended_row_198
S0199,10.1177/0956797615575277,control,P00199,5.055,3.291,5.72,40,F,BA,2019-03-22,854159,0,upd1_extended_row_199
S0200,10.1073/pnas.1209746109,treatment_b,P00200,5.037,2.572,3.98,35,F,BA,2019-08-07,550672,0,upd1_extended_row_200
S0201,10.1177/0956797614520714,treatment_b,P00201,3.757,4.057,6.37,46,NB,PhD,2019-01-12,1109479,0,upd1_extended_row_201
S0202,10.1177/0956797615575277,treatment_a,P00202,1.831,3.338,4.58,19,F,PhD,2019-10-23,2345809,0,upd1_extended_row_202
