order_id,trigger_time_utc,trigger_time_system_local,timezone_offset_system,cme_settle_reference_utc,delta_target,delta_actual,offset_minutes,status
DHG-000015,2024-11-03T20:19:18Z,2024-11-03T16:19:18,-04:00,2024-11-03T20:00:00Z,0.2465,1.0852,60,OFFSET_DST_ERROR
DHG-000016,2024-11-03T20:06:08Z,2024-11-03T16:06:08,-04:00,2024-11-03T20:00:00Z,0.4284,0.2437,60,OFFSET_DST_ERROR
DHG-000017,2024-11-03T20:09:56Z,2024-11-03T16:09:56,-04:00,2024-11-03T20:00:00Z,-1.0456,-1.8247,60,OFFSET_DST_ERROR
DHG-000018,2024-11-03T19:45:08Z,2024-11-03T15:45:08,-04:00,2024-11-03T20:00:00Z,-2.3644,1.0392,60,OFFSET_DST_ERROR
DHG-000019,2024-11-03T19:42:04Z,2024-11-03T15:42:04,-04:00,2024-11-03T20:00:00Z,0.7254,-2.4036,60,OFFSET_DST_ERROR
DHG-000020,2024-11-03T20:09:17Z,2024-11-03T16:09:17,-04:00,2024-11-03T20:00:00Z,0.4708,0.3597,60,OFFSET_DST_ERROR
DHG-000021,2024-11-03T20:03:58Z,2024-11-03T16:03:58,-04:00,2024-11-03T20:00:00Z,1.371,-0.2904,60,OFFSET_DST_ERROR
DHG-000022,2024-11-03T20:20:52Z,2024-11-03T16:20:52,-04:00,2024-11-03T20:00:00Z,-1.7566,-1.6708,60,OFFSET_DST_ERROR
DHG-000023,2024-11-03T19:56:28Z,2024-11-03T15:56:28,-04:00,2024-11-03T20:00:00Z,1.6999,-1.642,60,OFFSET_DST_ERROR
DHG-000024,2024-11-03T19:44:36Z,2024-11-03T15:44:36,-04:00,2024-11-03T20:00:00Z,0.5089,-1.7731,60,OFFSET_DST_ERROR
DHG-000025,2024-11-03T19:58:14Z,2024-11-03T15:58:14,-04:00,2024-11-03T20:00:00Z,-0.9528,-1.5898,60,OFFSET_DST_ERROR
DHG-000026,2024-11-03T19:53:10Z,2024-11-03T15:53:10,-04:00,2024-11-03T20:00:00Z,-1.4915,2.0212,60,OFFSET_DST_ERROR
DHG-000027,2024-11-03T20:24:41Z,2024-11-03T16:24:41,-04:00,2024-11-03T20:00:00Z,-1.3558,0.9835,60,OFFSET_DST_ERROR
DHG-000028,2024-11-03T19:50:46Z,2024-11-03T15:50:46,-04:00,2024-11-03T20:00:00Z,-1.5864,-0.2095,60,OFFSET_DST_ERROR
DHG-000029,2024-11-03T19:51:16Z,2024-11-03T15:51:16,-04:00,2024-11-03T20:00:00Z,-2.2692,2.2853,60,OFFSET_DST_ERROR
DHG-000030,2024-11-03T20:02:53Z,2024-11-03T16:02:53,-04:00,2024-11-03T20:00:00Z,2.1639,2.0091,60,OFFSET_DST_ERROR
DHG-000031,2024-11-03T19:52:30Z,2024-11-03T15:52:30,-04:00,2024-11-03T20:00:00Z,-0.0272,1.1451,60,OFFSET_DST_ERROR
DHG-000032,2024-11-03T20:04:31Z,2024-11-03T16:04:31,-04:00,2024-11-03T20:00:00Z,-0.6812,0.3956,60,OFFSET_DST_ERROR
DHG-000033,2024-11-03T19:30:16Z,2024-11-03T15:30:16,-04:00,2024-11-03T20:00:00Z,-2.4201,1.9098,60,OFFSET_DST_ERROR
DHG-000034,2024-11-03T20:14:51Z,2024-11-03T16:14:51,-04:00,2024-11-03T20:00:00Z,-2.0829,-2.0124,60,OFFSET_DST_ERROR
DHG-000035,2024-11-03T19:44:32Z,2024-11-03T15:44:32,-04:00,2024-11-03T20:00:00Z,1.5351,-0.1083,60,OFFSET_DST_ERROR
DHG-000036,2024-11-03T19:55:58Z,2024-11-03T15:55:58,-04:00,2024-11-03T20:00:00Z,-1.7155,-1.8403,60,OFFSET_DST_ERROR
DHG-000037,2024-11-03T20:28:45Z,2024-11-03T16:28:45,-04:00,2024-11-03T20:00:00Z,-1.7695,-1.2882,60,OFFSET_DST_ERROR
DHG-000038,2024-11-03T19:57:38Z,2024-11-03T15:57:38,-04:00,2024-11-03T20:00:00Z,1.058,1.299,60,OFFSET_DST_ERROR
DHG-000039,2024-11-03T19:37:38Z,2024-11-03T15:37:38,-04:00,2024-11-03T20:00:00Z,2.2055,-0.2247,60,OFFSET_DST_ERROR
DHG-000040,2024-11-03T19:50:59Z,2024-11-03T15:50:59,-04:00,2024-11-03T20:00:00Z,0.3771,-1.7256,60,OFFSET_DST_ERROR
DHG-000041,2024-11-03T19:49:48Z,2024-11-03T15:49:48,-04:00,2024-11-03T20:00:00Z,-2.2204,-0.3238,60,OFFSET_DST_ERROR
DHG-000042,2024-11-03T20:05:23Z,2024-11-03T16:05:23,-04:00,2024-11-03T20:00:00Z,-0.8156,1.1459,60,OFFSET_DST_ERROR
DHG-000043,2024-11-03T19:50:31Z,2024-11-03T15:50:31,-04:00,2024-11-03T20:00:00Z,1.3083,1.6526,60,OFFSET_DST_ERROR
DHG-000044,2024-11-03T19:40:41Z,2024-11-03T15:40:41,-04:00,2024-11-03T20:00:00Z,0.9542,-0.6593,60,OFFSET_DST_ERROR
DHG-000045,2024-11-03T20:05:32Z,2024-11-03T16:05:32,-04:00,2024-11-03T20:00:00Z,0.0191,0.4304,60,OFFSET_DST_ERROR
DHG-000046,2024-11-03T19:51:10Z,2024-11-03T15:51:10,-04:00,2024-11-03T20:00:00Z,-1.6162,0.5717,60,OFFSET_DST_ERROR
DHG-000047,2024-11-03T20:23:33Z,2024-11-03T16:23:33,-04:00,2024-11-03T20:00:00Z,1.115,-0.0608,60,OFFSET_DST_ERROR
DHG-000048,2024-11-03T19:52:55Z,2024-11-03T15:52:55,-04:00,2024-11-03T20:00:00Z,-0.7479,-1.094,60,OFFSET_DST_ERROR
DHG-000049,2024-11-03T20:20:15Z,2024-11-03T16:20:15,-04:00,2024-11-03T20:00:00Z,1.8562,-1.1302,60,OFFSET_DST_ERROR
DHG-000050,2024-11-03T20:02:52Z,2024-11-03T16:02:52,-04:00,2024-11-03T20:00:00Z,2.3591,1.0368,60,OFFSET_DST_ERROR
DHG-000051,2024-11-03T19:52:41Z,2024-11-03T15:52:41,-04:00,2024-11-03T20:00:00Z,1.0447,-0.2008,60,OFFSET_DST_ERROR
DHG-000052,2024-11-03T20:08:28Z,2024-11-03T16:08:28,-04:00,2024-11-03T20:00:00Z,1.8127,1.559,60,OFFSET_DST_ERROR
DHG-000053,2024-11-03T19:49:47Z,2024-11-03T15:49:47,-04:00,2024-11-03T20:00:00Z,1.6904,1.2346,60,OFFSET_DST_ERROR
DHG-000054,2024-11-03T20:27:45Z,2024-11-03T16:27:45,-04:00,2024-11-03T20:00:00Z,-2.4218,0.5329,60,OFFSET_DST_ERROR
DHG-000055,2024-11-03T20:05:16Z,2024-11-03T16:05:16,-04:00,2024-11-03T20:00:00Z,-1.0407,-1.1974,60,OFFSET_DST_ERROR
DHG-000056,2024-11-03T20:19:02Z,2024-11-03T16:19:02,-04:00,2024-11-03T20:00:00Z,-2.3022,1.0768,60,OFFSET_DST_ERROR
DHG-000057,2024-11-03T19:48:44Z,2024-11-03T15:48:44,-04:00,2024-11-03T20:00:00Z,1.7256,2.444,60,OFFSET_DST_ERROR
DHG-000058,2024-11-03T20:05:12Z,2024-11-03T16:05:12,-04:00,2024-11-03T20:00:00Z,-0.9126,-1.4975,60,OFFSET_DST_ERROR
DHG-000059,2024-11-03T19:53:56Z,2024-11-03T15:53:56,-04:00,2024-11-03T20:00:00Z,1.3851,1.892,60,OFFSET_DST_ERROR
DHG-000060,2024-11-03T20:08:20Z,2024-11-03T16:08:20,-04:00,2024-11-03T20:00:00Z,-1.38,-1.194,60,OFFSET_DST_ERROR
DHG-000061,2024-11-03T20:01:42Z,2024-11-03T16:01:42,-04:00,2024-11-03T20:00:00Z,-1.1749,-0.9637,60,OFFSET_DST_ERROR
DHG-000062,2024-11-03T20:06:20Z,2024-11-03T16:06:20,-04:00,2024-11-03T20:00:00Z,2.4558,-0.2039,60,OFFSET_DST_ERROR
DHG-000063,2024-11-03T19:44:25Z,2024-11-03T15:44:25,-04:00,2024-11-03T20:00:00Z,0.4511,1.3614,60,OFFSET_DST_ERROR
DHG-000064,2024-11-03T19:45:04Z,2024-11-03T15:45:04,-04:00,2024-11-03T20:00:00Z,-1.3705,0.9974,60,OFFSET_DST_ERROR
DHG-000065,2024-11-03T19:40:26Z,2024-11-03T15:40:26,-04:00,2024-11-03T20:00:00Z,-0.6065,0.8352,60,OFFSET_DST_ERROR
DHG-000066,2024-11-03T20:13:52Z,2024-11-03T16:13:52,-04:00,2024-11-03T20:00:00Z,-1.2327,1.4973,60,OFFSET_DST_ERROR
DHG-000067,2024-11-03T19:39:29Z,2024-11-03T15:39:29,-04:00,2024-11-03T20:00:00Z,-1.2142,-1.5536,60,OFFSET_DST_ERROR
DHG-000068,2024-11-03T19:46:25Z,2024-11-03T15:46:25,-04:00,2024-11-03T20:00:00Z,-0.2303,-0.236,60,OFFSET_DST_ERROR
DHG-000069,2024-11-03T20:05:01Z,2024-11-03T16:05:01,-04:00,2024-11-03T20:00:00Z,-1.4614,-0.885,60,OFFSET_DST_ERROR
DHG-000070,2024-11-03T20:03:57Z,2024-11-03T16:03:57,-04:00,2024-11-03T20:00:00Z,-1.7898,-2.2763,60,OFFSET_DST_ERROR
DHG-000071,2024-11-03T20:00:30Z,2024-11-03T16:00:30,-04:00,2024-11-03T20:00:00Z,-1.8554,1.502,60,OFFSET_DST_ERROR
DHG-000072,2024-11-03T20:18:30Z,2024-11-03T16:18:30,-04:00,2024-11-03T20:00:00Z,2.2994,-1.488,60,OFFSET_DST_ERROR
DHG-000073,2024-11-03T20:16:05Z,2024-11-03T16:16:05,-04:00,2024-11-03T20:00:00Z,2.1975,1.774,60,OFFSET_DST_ERROR
DHG-000074,2024-11-03T20:26:26Z,2024-11-03T16:26:26,-04:00,2024-11-03T20:00:00Z,-1.5881,-1.2154,60,OFFSET_DST_ERROR
DHG-000075,2024-11-03T20:05:15Z,2024-11-03T16:05:15,-04:00,2024-11-03T20:00:00Z,1.1505,1.724,60,OFFSET_DST_ERROR
DHG-000076,2024-11-03T19:47:44Z,2024-11-03T15:47:44,-04:00,2024-11-03T20:00:00Z,-0.8794,-0.6433,60,OFFSET_DST_ERROR
DHG-000077,2024-11-03T20:23:00Z,2024-11-03T16:23:00,-04:00,2024-11-03T20:00:00Z,-1.2893,1.3121,60,OFFSET_DST_ERROR
DHG-000078,2024-11-03T20:07:44Z,2024-11-03T16:07:44,-04:00,2024-11-03T20:00:00Z,-1.602,-0.8126,60,OFFSET_DST_ERROR
DHG-000079,2024-11-03T20:18:37Z,2024-11-03T16:18:37,-04:00,2024-11-03T20:00:00Z,1.9193,0.1208,60,OFFSET_DST_ERROR
DHG-000080,2024-11-03T20:11:39Z,2024-11-03T16:11:39,-04:00,2024-11-03T20:00:00Z,-1.1626,-2.1639,60,OFFSET_DST_ERROR
DHG-000081,2024-11-03T19:59:17Z,2024-11-03T15:59:17,-04:00,2024-11-03T20:00:00Z,-0.4513,0.9499,60,OFFSET_DST_ERROR
DHG-000082,2024-11-03T20:07:02Z,2024-11-03T16:07:02,-04:00,2024-11-03T20:00:00Z,0.19,-0.4262,60,OFFSET_DST_ERROR
DHG-000083,2024-11-03T20:11:28Z,2024-11-03T16:11:28,-04:00,2024-11-03T20:00:00Z,-0.1813,1.7208,60,OFFSET_DST_ERROR
DHG-000084,2024-11-03T19:36:28Z,2024-11-03T15:36:28,-04:00,2024-11-03T20:00:00Z,-0.9367,2.0226,60,OFFSET_DST_ERROR
DHG-000085,2024-11-03T19:35:00Z,2024-11-03T15:35:00,-04:00,2024-11-03T20:00:00Z,-1.8273,0.919,60,OFFSET_DST_ERROR
DHG-000086,2024-11-03T20:13:32Z,2024-11-03T16:13:32,-04:00,2024-11-03T20:00:00Z,-1.2776,2.3719,60,OFFSET_DST_ERROR
DHG-000087,2024-11-03T20:28:14Z,2024-11-03T16:28:14,-04:00,2024-11-03T20:00:00Z,2.1155,-2.3196,60,OFFSET_DST_ERROR
DHG-000088,2024-11-03T19:44:43Z,2024-11-03T15:44:43,-04:00,2024-11-03T20:00:00Z,-1.473,0.9426,60,OFFSET_DST_ERROR
DHG-000089,2024-11-03T19:35:10Z,2024-11-03T15:35:10,-04:00,2024-11-03T20:00:00Z,1.5214,1.01,60,OFFSET_DST_ERROR
DHG-000090,2024-11-03T19:48:44Z,2024-11-03T15:48:44,-04:00,2024-11-03T20:00:00Z,-1.122,-1.1113,60,OFFSET_DST_ERROR
DHG-000091,2024-11-03T20:02:00Z,2024-11-03T16:02:00,-04:00,2024-11-03T20:00:00Z,-1.9245,2.1618,60,OFFSET_DST_ERROR
DHG-000092,2024-11-03T19:40:39Z,2024-11-03T15:40:39,-04:00,2024-11-03T20:00:00Z,-2.3841,0.1096,60,OFFSET_DST_ERROR
DHG-000093,2024-11-03T19:53:09Z,2024-11-03T15:53:09,-04:00,2024-11-03T20:00:00Z,0.2529,0.5632,60,OFFSET_DST_ERROR
DHG-000094,2024-11-03T20:25:14Z,2024-11-03T16:25:14,-04:00,2024-11-03T20:00:00Z,1.4531,0.2453,60,OFFSET_DST_ERROR
DHG-000095,2024-11-03T20:15:29Z,2024-11-03T16:15:29,-04:00,2024-11-03T20:00:00Z,-1.289,1.3051,60,OFFSET_DST_ERROR
DHG-000096,2024-11-03T19:47:33Z,2024-11-03T15:47:33,-04:00,2024-11-03T20:00:00Z,1.4286,-0.2371,60,OFFSET_DST_ERROR
DHG-000097,2024-11-03T19:57:59Z,2024-11-03T15:57:59,-04:00,2024-11-03T20:00:00Z,-1.3907,2.3777,60,OFFSET_DST_ERROR
DHG-000098,2024-11-03T20:10:30Z,2024-11-03T16:10:30,-04:00,2024-11-03T20:00:00Z,-0.7797,0.1545,60,OFFSET_DST_ERROR
DHG-000099,2024-11-03T20:26:44Z,2024-11-03T16:26:44,-04:00,2024-11-03T20:00:00Z,0.4219,-1.6278,60,OFFSET_DST_ERROR
DHG-000100,2024-11-03T19:43:30Z,2024-11-03T15:43:30,-04:00,2024-11-03T20:00:00Z,2.0432,-2.1286,60,OFFSET_DST_ERROR
DHG-000101,2024-11-03T19:48:19Z,2024-11-03T15:48:19,-04:00,2024-11-03T20:00:00Z,-2.1161,-1.6483,60,OFFSET_DST_ERROR
DHG-000102,2024-11-03T19:55:09Z,2024-11-03T15:55:09,-04:00,2024-11-03T20:00:00Z,-0.2782,-2.1094,60,OFFSET_DST_ERROR
DHG-000103,2024-11-03T20:01:18Z,2024-11-03T16:01:18,-04:00,2024-11-03T20:00:00Z,-0.8235,1.7021,60,OFFSET_DST_ERROR
DHG-000104,2024-11-03T19:37:37Z,2024-11-03T15:37:37,-04:00,2024-11-03T20:00:00Z,-1.8682,0.8599,60,OFFSET_DST_ERROR
DHG-000105,2024-11-03T20:05:45Z,2024-11-03T16:05:45,-04:00,2024-11-03T20:00:00Z,-2.042,1.966,60,OFFSET_DST_ERROR
DHG-000106,2024-11-03T20:12:57Z,2024-11-03T16:12:57,-04:00,2024-11-03T20:00:00Z,1.1356,-1.3147,60,OFFSET_DST_ERROR
DHG-000107,2024-11-03T19:51:54Z,2024-11-03T15:51:54,-04:00,2024-11-03T20:00:00Z,-1.6319,-1.7516,60,OFFSET_DST_ERROR
DHG-000108,2024-11-03T19:39:36Z,2024-11-03T15:39:36,-04:00,2024-11-03T20:00:00Z,1.779,2.4869,60,OFFSET_DST_ERROR
DHG-000109,2024-11-03T19:44:18Z,2024-11-03T15:44:18,-04:00,2024-11-03T20:00:00Z,1.7426,2.1223,60,OFFSET_DST_ERROR
DHG-000110,2024-11-03T19:41:15Z,2024-11-03T15:41:15,-04:00,2024-11-03T20:00:00Z,-2.3202,1.2575,60,OFFSET_DST_ERROR
DHG-000111,2024-11-03T20:05:50Z,2024-11-03T16:05:50,-04:00,2024-11-03T20:00:00Z,1.5756,-1.1718,60,OFFSET_DST_ERROR
DHG-000112,2024-11-03T20:27:24Z,2024-11-03T16:27:24,-04:00,2024-11-03T20:00:00Z,1.6582,0.3889,60,OFFSET_DST_ERROR
DHG-000113,2024-11-03T19:52:00Z,2024-11-03T15:52:00,-04:00,2024-11-03T20:00:00Z,-2.1559,0.5569,60,OFFSET_DST_ERROR
DHG-000114,2024-11-03T19:46:54Z,2024-11-03T15:46:54,-04:00,2024-11-03T20:00:00Z,2.1748,-0.0084,60,OFFSET_DST_ERROR
DHG-000115,2024-11-03T20:02:12Z,2024-11-03T16:02:12,-04:00,2024-11-03T20:00:00Z,2.2007,-2.0547,60,OFFSET_DST_ERROR
DHG-000116,2024-11-03T19:33:51Z,2024-11-03T15:33:51,-04:00,2024-11-03T20:00:00Z,1.1462,1.9741,60,OFFSET_DST_ERROR
DHG-000117,2024-11-03T20:11:20Z,2024-11-03T16:11:20,-04:00,2024-11-03T20:00:00Z,1.781,0.2615,60,OFFSET_DST_ERROR
DHG-000118,2024-11-03T20:07:39Z,2024-11-03T16:07:39,-04:00,2024-11-03T20:00:00Z,2.3631,-2.1147,60,OFFSET_DST_ERROR
DHG-000119,2024-11-03T19:45:26Z,2024-11-03T15:45:26,-04:00,2024-11-03T20:00:00Z,1.5134,-1.8193,60,OFFSET_DST_ERROR
DHG-000120,2024-11-03T20:09:57Z,2024-11-03T16:09:57,-04:00,2024-11-03T20:00:00Z,0.1398,2.1817,60,OFFSET_DST_ERROR
DHG-000121,2024-11-03T19:50:54Z,2024-11-03T15:50:54,-04:00,2024-11-03T20:00:00Z,-0.8529,-2.0962,60,OFFSET_DST_ERROR
DHG-000122,2024-11-03T20:05:35Z,2024-11-03T16:05:35,-04:00,2024-11-03T20:00:00Z,-1.9823,-0.3106,60,OFFSET_DST_ERROR
DHG-000123,2024-11-03T20:05:26Z,2024-11-03T16:05:26,-04:00,2024-11-03T20:00:00Z,1.0179,0.4574,60,OFFSET_DST_ERROR
DHG-000124,2024-11-03T20:05:09Z,2024-11-03T16:05:09,-04:00,2024-11-03T20:00:00Z,1.5325,2.2762,60,OFFSET_DST_ERROR
DHG-000125,2024-11-03T20:14:24Z,2024-11-03T16:14:24,-04:00,2024-11-03T20:00:00Z,-2.1898,-1.6156,60,OFFSET_DST_ERROR
DHG-000126,2024-11-03T20:14:01Z,2024-11-03T16:14:01,-04:00,2024-11-03T20:00:00Z,0.9502,-0.5419,60,OFFSET_DST_ERROR
DHG-000127,2024-11-03T20:02:28Z,2024-11-03T16:02:28,-04:00,2024-11-03T20:00:00Z,1.3671,-1.0795,60,OFFSET_DST_ERROR
DHG-000128,2024-11-03T20:16:34Z,2024-11-03T16:16:34,-04:00,2024-11-03T20:00:00Z,1.9894,-2.163,60,OFFSET_DST_ERROR
DHG-000129,2024-11-03T20:14:56Z,2024-11-03T16:14:56,-04:00,2024-11-03T20:00:00Z,0.0765,1.7986,60,OFFSET_DST_ERROR
DHG-000130,2024-11-03T20:23:37Z,2024-11-03T16:23:37,-04:00,2024-11-03T20:00:00Z,-1.2299,0.3337,60,OFFSET_DST_ERROR
DHG-000131,2024-11-03T19:52:14Z,2024-11-03T15:52:14,-04:00,2024-11-03T20:00:00Z,0.8588,-2.3921,60,OFFSET_DST_ERROR
DHG-000132,2024-11-03T20:08:14Z,2024-11-03T16:08:14,-04:00,2024-11-03T20:00:00Z,-0.7125,-0.3807,60,OFFSET_DST_ERROR
DHG-000133,2024-11-03T19:45:04Z,2024-11-03T15:45:04,-04:00,2024-11-03T20:00:00Z,0.5164,2.2387,60,OFFSET_DST_ERROR
DHG-000134,2024-11-03T19:52:59Z,2024-11-03T15:52:59,-04:00,2024-11-03T20:00:00Z,2.0304,0.9701,60,OFFSET_DST_ERROR
DHG-000135,2024-11-03T19:39:02Z,2024-11-03T15:39:02,-04:00,2024-11-03T20:00:00Z,-0.3825,1.1596,60,OFFSET_DST_ERROR
DHG-000136,2024-11-03T20:23:33Z,2024-11-03T16:23:33,-04:00,2024-11-03T20:00:00Z,0.8363,-0.1937,60,OFFSET_DST_ERROR
DHG-000137,2024-11-03T19:37:52Z,2024-11-03T15:37:52,-04:00,2024-11-03T20:00:00Z,0.1044,0.2,60,OFFSET_DST_ERROR
DHG-000138,2024-11-03T20:27:17Z,2024-11-03T16:27:17,-04:00,2024-11-03T20:00:00Z,0.3401,2.4319,60,OFFSET_DST_ERROR
DHG-000139,2024-11-03T19:44:49Z,2024-11-03T15:44:49,-04:00,2024-11-03T20:00:00Z,-1.8572,-2.4736,60,OFFSET_DST_ERROR
DHG-000140,2024-11-03T19:32:02Z,2024-11-03T15:32:02,-04:00,2024-11-03T20:00:00Z,-0.3114,-1.5434,60,OFFSET_DST_ERROR
DHG-000141,2024-11-03T19:33:44Z,2024-11-03T15:33:44,-04:00,2024-11-03T20:00:00Z,-2.3263,2.0965,60,OFFSET_DST_ERROR
DHG-000142,2024-11-03T19:37:01Z,2024-11-03T15:37:01,-04:00,2024-11-03T20:00:00Z,-1.0635,1.6156,60,OFFSET_DST_ERROR
DHG-000143,2024-11-03T19:49:01Z,2024-11-03T15:49:01,-04:00,2024-11-03T20:00:00Z,-2.437,-1.2063,60,OFFSET_DST_ERROR
DHG-000144,2024-11-03T20:10:47Z,2024-11-03T16:10:47,-04:00,2024-11-03T20:00:00Z,2.1525,1.8115,60,OFFSET_DST_ERROR
DHG-000145,2024-11-03T19:45:14Z,2024-11-03T15:45:14,-04:00,2024-11-03T20:00:00Z,0.5843,0.1578,60,OFFSET_DST_ERROR
DHG-000146,2024-11-03T19:59:16Z,2024-11-03T15:59:16,-04:00,2024-11-03T20:00:00Z,-1.9756,-0.706,60,OFFSET_DST_ERROR
DHG-000147,2024-11-03T19:30:35Z,2024-11-03T15:30:35,-04:00,2024-11-03T20:00:00Z,-1.7891,1.5226,60,OFFSET_DST_ERROR
DHG-000148,2024-11-03T19:45:37Z,2024-11-03T15:45:37,-04:00,2024-11-03T20:00:00Z,-0.1341,-1.766,60,OFFSET_DST_ERROR
DHG-000149,2024-11-03T19:36:17Z,2024-11-03T15:36:17,-04:00,2024-11-03T20:00:00Z,-2.4103,2.0742,60,OFFSET_DST_ERROR
DHG-000150,2024-11-03T19:34:41Z,2024-11-03T15:34:41,-04:00,2024-11-03T20:00:00Z,1.9511,2.2072,60,OFFSET_DST_ERROR
DHG-000151,2024-11-03T20:23:55Z,2024-11-03T16:23:55,-04:00,2024-11-03T20:00:00Z,-0.499,-1.2916,60,OFFSET_DST_ERROR
DHG-000152,2024-11-03T19:38:53Z,2024-11-03T15:38:53,-04:00,2024-11-03T20:00:00Z,0.0566,-0.8667,60,OFFSET_DST_ERROR
DHG-000153,2024-11-03T20:03:22Z,2024-11-03T16:03:22,-04:00,2024-11-03T20:00:00Z,0.2944,0.8267,60,OFFSET_DST_ERROR
DHG-000154,2024-11-03T19:32:26Z,2024-11-03T15:32:26,-04:00,2024-11-03T20:00:00Z,-1.126,-0.6386,60,OFFSET_DST_ERROR
DHG-000155,2024-11-03T19:51:33Z,2024-11-03T15:51:33,-04:00,2024-11-03T20:00:00Z,1.6061,-0.0376,60,OFFSET_DST_ERROR
DHG-000156,2024-11-03T20:10:49Z,2024-11-03T16:10:49,-04:00,2024-11-03T20:00:00Z,0.5158,-0.0654,60,OFFSET_DST_ERROR
DHG-000157,2024-11-03T20:27:53Z,2024-11-03T16:27:53,-04:00,2024-11-03T20:00:00Z,-0.402,-0.4883,60,OFFSET_DST_ERROR
DHG-000158,2024-11-03T19:40:10Z,2024-11-03T15:40:10,-04:00,2024-11-03T20:00:00Z,-0.8607,-1.9341,60,OFFSET_DST_ERROR
DHG-000159,2024-11-03T20:13:51Z,2024-11-03T16:13:51,-04:00,2024-11-03T20:00:00Z,1.8247,1.2966,60,OFFSET_DST_ERROR
DHG-000160,2024-11-03T19:56:29Z,2024-11-03T15:56:29,-04:00,2024-11-03T20:00:00Z,-1.9025,0.6025,60,OFFSET_DST_ERROR
DHG-000161,2024-11-03T20:14:21Z,2024-11-03T16:14:21,-04:00,2024-11-03T20:00:00Z,-0.4702,-1.5854,60,OFFSET_DST_ERROR
DHG-000162,2024-11-03T20:18:20Z,2024-11-03T16:18:20,-04:00,2024-11-03T20:00:00Z,-0.37,-2.4253,60,OFFSET_DST_ERROR
DHG-000163,2024-11-03T19:49:40Z,2024-11-03T15:49:40,-04:00,2024-11-03T20:00:00Z,-1.514,-0.3846,60,OFFSET_DST_ERROR
DHG-000164,2024-11-03T20:25:50Z,2024-11-03T16:25:50,-04:00,2024-11-03T20:00:00Z,1.0013,0.042,60,OFFSET_DST_ERROR
DHG-000165,2024-11-03T20:27:13Z,2024-11-03T16:27:13,-04:00,2024-11-03T20:00:00Z,1.9,1.0121,60,OFFSET_DST_ERROR
DHG-000166,2024-11-03T20:16:12Z,2024-11-03T16:16:12,-04:00,2024-11-03T20:00:00Z,-0.8998,-0.2649,60,OFFSET_DST_ERROR
DHG-000167,2024-11-03T20:17:57Z,2024-11-03T16:17:57,-04:00,2024-11-03T20:00:00Z,-0.0445,-1.1139,60,OFFSET_DST_ERROR
DHG-000168,2024-11-03T19:42:34Z,2024-11-03T15:42:34,-04:00,2024-11-03T20:00:00Z,-0.7765,0.0603,60,OFFSET_DST_ERROR
DHG-000169,2024-11-03T20:26:06Z,2024-11-03T16:26:06,-04:00,2024-11-03T20:00:00Z,-1.8814,-0.6171,60,OFFSET_DST_ERROR
