date,variant,users,activation_rate,day7_retention,feature_adoption_rate,previous_week_logins,avg_session_count
2023-10-11,treatment,75,0.3862,0.3022,0.1929,3.96,2.55
2023-10-12,control,89,0.335,0.3399,0.2505,4.36,2.87
2023-10-12,treatment,79,0.3602,0.2863,0.2302,2.88,2.0
2023-10-13,control,88,0.327,0.3289,0.2283,4.57,2.17
2023-10-13,treatment,76,0.345,0.2975,0.2576,4.42,2.05
2023-10-14,control,90,0.3394,0.3116,0.2408,2.76,2.01
2023-10-14,treatment,84,0.3621,0.3377,0.2023,3.76,2.35
2023-10-15,control,88,0.3587,0.3238,0.2127,3.35,2.45
2023-10-15,treatment,81,0.3741,0.3329,0.2149,2.7,2.97
2023-10-16,control,88,0.3623,0.3027,0.2542,3.45,2.71
2023-10-16,treatment,85,0.3834,0.2942,0.1875,3.68,2.51
2023-10-17,control,85,0.3595,0.328,0.2076,3.02,1.9
2023-10-17,treatment,75,0.3714,0.3315,0.2434,3.94,2.64
2023-10-18,control,90,0.3444,0.298,0.1928,2.56,3.12
2023-10-18,treatment,81,0.3536,0.3171,0.2274,3.93,2.7
2023-10-19,control,92,0.3409,0.3379,0.1888,2.49,2.22
2023-10-19,treatment,83,0.3921,0.3084,0.1919,4.08,2.63
2023-10-20,control,84,0.3612,0.3077,0.2427,4.2,2.08
2023-10-20,treatment,84,0.3583,0.2978,0.1954,3.46,1.88
2023-10-21,control,85,0.3172,0.3039,0.1819,3.09,2.51
2023-10-21,treatment,81,0.3557,0.2857,0.2129,2.25,3.15
2023-10-22,control,91,0.3676,0.3439,0.2429,4.65,2.3
2023-10-22,treatment,84,0.3822,0.2872,0.2444,3.67,1.96
2023-10-23,control,89,0.3525,0.3047,0.2437,4.73,3.0
2023-10-23,treatment,83,0.3716,0.2806,0.2262,4.69,2.4
2023-10-24,control,91,0.3739,0.3169,0.1949,3.73,2.61
2023-10-24,treatment,79,0.3795,0.3025,0.1969,4.58,3.1
2023-10-25,control,88,0.3435,0.3434,0.1974,2.12,1.99
2023-10-25,treatment,79,0.3631,0.3261,0.2007,3.36,2.28
2023-10-26,control,91,0.3414,0.3379,0.219,3.94,2.55
2023-10-26,treatment,81,0.3771,0.2988,0.238,4.69,2.18
2023-10-27,control,92,0.3654,0.3276,0.1893,3.59,3.02
2023-10-27,treatment,84,0.3819,0.337,0.2029,2.24,2.51
2023-10-28,control,90,0.3659,0.3144,0.2068,2.34,2.1
2023-10-28,treatment,78,0.3703,0.348,0.2383,3.87,2.91
2023-10-29,control,91,0.3294,0.2802,0.2194,3.54,2.89
2023-10-29,treatment,79,0.3731,0.3215,0.2137,3.53,3.09
2023-10-30,control,85,0.3438,0.3078,0.1869,3.55,2.23
2023-10-30,treatment,79,0.3826,0.3299,0.1903,2.7,3.18
2023-10-31,control,80,0.3263,0.2999,0.2375,3.19,2.97
2023-10-31,treatment,85,0.3971,0.3068,0.1882,3.39,2.45
