date,variant,users,checkout_conversion_rate,revenue_per_user,cart_abandonment_rate,page_time_on_page,add_to_cart_rate,session_duration,bounce_rate,repeat_visit_rate,impressions,clicks,ctr,avg_order_value,new_users,returning_users,mobile_pct,desktop_pct,tablet_pct
2023-08-21,control,95,0.0788,17.97,0.6728,55.4,0.2294,170.7,0.3286,0.4234,1157,147,0.1271,51.33,57,38,0.4874,0.4161,0.0965
2023-08-21,treatment,97,0.1216,13.67,0.6396,70.0,0.2213,137.5,0.3413,0.3997,1167,81,0.0694,51.51,56,41,0.5458,0.4648,0
2023-08-22,control,113,0.0805,12.35,0.6304,75.6,0.2329,166.9,0.2865,0.4428,1193,78,0.0654,49.72,59,54,0.5128,0.4798,0.0074
2023-08-22,treatment,114,0.1132,12.98,0.6307,70.9,0.2143,174.0,0.3052,0.4085,887,70,0.0789,51.53,55,59,0.5476,0.3822,0.0702
2023-08-23,control,100,0.0799,16.22,0.6273,90.0,0.2143,122.0,0.2818,0.4262,1188,55,0.0463,46.83,59,41,0.5211,0.4257,0.0532
2023-08-23,treatment,97,0.1149,13.7,0.6539,71.1,0.1848,123.7,0.3279,0.4303,1053,140,0.133,61.81,53,44,0.4963,0.4615,0.0422
2023-08-24,control,98,0.0744,12.71,0.639,56.7,0.2212,154.9,0.306,0.3971,1078,126,0.1169,52.37,56,42,0.5298,0.4769,0
2023-08-24,treatment,97,0.118,17.5,0.6361,86.8,0.238,155.5,0.3319,0.4486,912,86,0.0943,50.61,56,41,0.5191,0.4264,0.0545
2023-08-25,control,108,0.0874,13.16,0.6375,79.7,0.2133,147.1,0.2882,0.4161,1121,129,0.1151,63.19,70,38,0.5391,0.3822,0.0787
2023-08-25,treatment,97,0.1175,15.57,0.6475,77.7,0.239,167.7,0.3058,0.4414,1144,140,0.1224,50.74,56,41,0.4796,0.4463,0.0741
2023-08-26,control,114,0.0903,13.5,0.6751,81.4,0.2217,171.8,0.3323,0.3505,898,118,0.1314,47.52,58,56,0.4987,0.3836,0.1177
2023-08-26,treatment,105,0.1154,18.03,0.6655,67.5,0.1919,125.5,0.3083,0.4434,913,108,0.1183,47.73,69,36,0.5477,0.3965,0.0558
2023-08-27,control,103,0.0817,12.42,0.6326,79.8,0.1849,150.1,0.2983,0.3859,1080,77,0.0713,49.23,62,41,0.5144,0.439,0.0466
2023-08-27,treatment,103,0.1129,18.19,0.6729,53.5,0.1925,132.9,0.3105,0.4366,803,137,0.1706,62.17,48,55,0.4782,0.4763,0.0455
2023-08-28,control,100,0.0771,15.45,0.6404,50.4,0.185,133.4,0.3222,0.4246,1188,97,0.0816,46.19,64,36,0.4742,0.4399,0.0859
2023-08-28,treatment,112,0.123,15.89,0.6336,59.9,0.2276,157.9,0.2992,0.3518,839,68,0.081,59.79,52,60,0.5293,0.4314,0.0393
2023-08-29,control,98,0.0893,12.34,0.6245,77.3,0.2365,128.1,0.3429,0.3703,903,70,0.0775,58.81,67,31,0.5157,0.4576,0.0267
2023-08-29,treatment,115,0.1235,14.6,0.629,72.5,0.192,177.2,0.3444,0.3833,1059,68,0.0642,47.08,48,67,0.474,0.3807,0.1453
2023-08-30,control,96,0.0873,12.98,0.6614,69.2,0.2394,164.3,0.3197,0.4231,1053,137,0.1301,50.76,63,33,0.4686,0.4523,0.0791
2023-08-30,treatment,114,0.1138,14.57,0.6693,58.8,0.2093,175.3,0.3153,0.3628,991,56,0.0565,64.99,53,61,0.464,0.4563,0.0797
2023-08-31,control,115,0.0799,16.7,0.6298,79.2,0.213,174.2,0.3312,0.3669,1028,132,0.1284,51.19,54,61,0.4849,0.4193,0.0958
2023-08-31,treatment,112,0.1178,17.43,0.6522,70.7,0.194,175.5,0.2887,0.4115,826,79,0.0956,61.13,49,63,0.5085,0.4634,0.0281
2023-09-01,control,97,0.0685,17.68,0.6792,78.1,0.2071,165.4,0.3002,0.3777,876,127,0.145,48.89,53,44,0.5149,0.4754,0.0097
2023-09-01,treatment,95,0.1141,15.14,0.6538,52.6,0.1937,124.1,0.2867,0.3527,1034,125,0.1209,45.9,58,37,0.491,0.3903,0.1187
2023-09-02,control,96,0.0778,15.9,0.6571,74.8,0.2257,166.4,0.3244,0.3624,880,101,0.1148,50.36,45,51,0.5078,0.4173,0.0749
2023-09-02,treatment,101,0.1176,17.06,0.6266,68.0,0.2208,121.7,0.2875,0.4227,1052,72,0.0684,60.17,53,48,0.5225,0.4496,0.0279
2023-09-03,control,95,0.081,12.47,0.6707,77.4,0.1836,120.7,0.2848,0.3785,845,85,0.1006,56.63,55,40,0.511,0.4189,0.0701
2023-09-03,treatment,105,0.1148,12.4,0.6203,64.2,0.2302,172.9,0.3021,0.3552,965,140,0.1451,54.47,41,64,0.4797,0.4653,0.055
2023-09-04,control,110,0.0812,15.61,0.65,52.5,0.2241,152.6,0.2927,0.3947,905,99,0.1094,56.77,53,57,0.4584,0.4438,0.0978
2023-09-04,treatment,112,0.1172,17.61,0.6537,69.3,0.2198,132.8,0.3022,0.3763,1082,108,0.0998,61.84,66,46,0.5215,0.4624,0.0161
2023-09-05,control,97,0.0875,13.42,0.6761,64.8,0.2245,143.8,0.343,0.3601,1138,119,0.1046,57.61,47,50,0.4597,0.395,0.1453
2023-09-05,treatment,95,0.1192,13.52,0.6421,73.4,0.203,146.1,0.326,0.4137,1108,104,0.0939,46.52,51,44,0.452,0.4515,0.0965
2023-09-06,control,104,0.0906,12.41,0.6289,50.4,0.2038,128.1,0.3378,0.3511,1111,148,0.1332,52.89,43,61,0.5428,0.4477,0.0095
2023-09-06,treatment,100,0.1228,15.23,0.6515,75.2,0.1889,166.9,0.2827,0.4321,917,56,0.0611,48.18,52,48,0.497,0.4267,0.0763
2023-09-07,control,113,0.0804,12.58,0.6215,46.1,0.2084,157.6,0.285,0.4144,1019,74,0.0726,46.73,54,59,0.4682,0.4182,0.1136
2023-09-07,treatment,109,0.1199,13.91,0.6504,60.3,0.1943,122.3,0.3292,0.3689,891,128,0.1437,60.37,50,59,0.4518,0.4669,0.0813
2023-09-08,control,98,0.0802,12.41,0.6748,84.1,0.2358,162.3,0.3369,0.3644,914,50,0.0547,48.94,59,39,0.4819,0.4339,0.0842
2023-09-08,treatment,96,0.1189,16.05,0.6403,76.1,0.2055,162.0,0.2834,0.3772,1152,121,0.105,56.84,55,41,0.5277,0.478,0
2023-09-09,control,110,0.089,13.71,0.6248,52.8,0.2139,120.3,0.3387,0.4449,947,60,0.0634,60.73,54,56,0.4569,0.4197,0.1234
2023-09-09,treatment,95,0.1188,16.54,0.6435,64.6,0.2228,128.8,0.3238,0.4117,998,93,0.0932,52.0,50,45,0.4945,0.4663,0.0392
2023-09-10,control,100,0.0784,14.21,0.6217,76.4,0.2148,179.8,0.3449,0.381,966,115,0.119,64.14,69,31,0.4941,0.4689,0.037
2023-09-10,treatment,113,0.1213,16.82,0.6724,46.6,0.2082,127.1,0.2937,0.3677,863,83,0.0962,46.68,59,54,0.5102,0.383,0.1068
2023-09-11,control,114,0.0816,12.99,0.6399,74.5,0.1962,151.0,0.3413,0.3776,1135,105,0.0925,59.22,40,74,0.5014,0.4429,0.0557
2023-09-11,treatment,105,0.1189,14.57,0.67,85.5,0.1892,148.0,0.3108,0.4211,913,108,0.1183,45.57,53,52,0.4551,0.416,0.1289
2023-09-12,control,98,0.0828,16.72,0.6697,78.3,0.2148,167.3,0.3365,0.3705,996,68,0.0683,58.52,46,52,0.4781,0.4433,0.0786
2023-09-12,treatment,104,0.1247,15.58,0.6283,61.9,0.2293,162.5,0.3434,0.3866,1004,103,0.1026,46.69,67,37,0.4657,0.4679,0.0664
2023-09-13,control,111,0.0808,12.37,0.6508,64.1,0.2069,130.5,0.2968,0.4354,1035,51,0.0493,61.33,56,55,0.5044,0.4579,0.0377
2023-09-13,treatment,99,0.1203,14.51,0.6236,46.1,0.2109,165.6,0.347,0.4253,861,130,0.151,49.86,44,55,0.5181,0.4031,0.0788
2023-09-14,control,97,0.0811,14.06,0.6771,48.2,0.2014,158.9,0.2943,0.4232,1189,92,0.0774,51.5,61,36,0.5212,0.4538,0.025
2023-09-14,treatment,103,0.1142,12.9,0.6618,66.6,0.2299,127.2,0.3314,0.4108,903,61,0.0676,59.71,58,45,0.5052,0.4677,0.0271
2023-09-15,control,113,0.0829,12.62,0.6722,74.7,0.2342,169.8,0.3351,0.3551,1189,84,0.0706,58.77,58,55,0.5352,0.4526,0.0122
2023-09-15,treatment,107,0.1147,17.49,0.6475,59.9,0.208,177.0,0.3293,0.3638,934,65,0.0696,64.26,67,40,0.5457,0.4099,0.0444
2023-09-16,control,100,0.0836,17.25,0.6302,81.5,0.1825,166.8,0.2849,0.3899,1172,87,0.0742,49.29,67,33,0.5145,0.4283,0.0572
2023-09-16,treatment,96,0.1219,12.35,0.6698,82.0,0.2257,122.4,0.3063,0.4143,982,106,0.1079,48.35,60,36,0.4961,0.4411,0.0628
2023-09-17,control,105,0.0794,16.87,0.6733,60.9,0.2089,174.5,0.3384,0.363,1200,137,0.1142,57.95,46,59,0.4767,0.4106,0.1127
2023-09-17,treatment,111,0.1217,16.11,0.6652,70.8,0.1859,131.6,0.2945,0.4115,885,147,0.1661,50.63,51,60,0.4605,0.3891,0.1504
2023-09-18,control,95,0.0832,16.11,0.6485,66.0,0.1953,153.4,0.3462,0.4051,996,60,0.0602,55.77,50,45,0.4918,0.4704,0.0378
2023-09-18,treatment,109,0.1193,12.68,0.6388,66.8,0.2216,121.6,0.3246,0.3841,956,71,0.0743,48.56,48,61,0.5081,0.3983,0.0936
2023-09-19,control,114,0.0823,16.92,0.6774,63.0,0.2168,155.6,0.3362,0.4488,1183,130,0.1099,49.67,56,58,0.5323,0.388,0.0797
2023-09-19,treatment,101,0.1235,14.49,0.6744,63.9,0.1841,122.3,0.3425,0.3735,1005,119,0.1184,47.85,53,48,0.4506,0.3852,0.1642
2023-09-20,control,99,0.0773,12.54,0.6762,74.2,0.1956,143.0,0.3362,0.3656,938,99,0.1055,63.58,48,51,0.5202,0.3856,0.0942
2023-09-20,treatment,96,0.1126,13.01,0.6432,74.6,0.2137,161.8,0.2945,0.3646,870,63,0.0724,59.48,49,47,0.5233,0.4059,0.0708
2023-09-21,control,114,0.0866,16.75,0.6361,53.8,0.1879,128.0,0.3042,0.3841,1095,81,0.074,53.73,43,71,0.4725,0.4776,0.0499
2023-09-21,treatment,101,0.1228,12.51,0.674,56.8,0.1929,157.6,0.3388,0.4274,1157,87,0.0752,54.61,49,52,0.4605,0.4547,0.0848
2023-09-22,control,105,0.0823,14.33,0.6558,52.8,0.2086,170.5,0.3109,0.3805,1004,72,0.0717,64.23,41,64,0.4811,0.4336,0.0853
2023-09-22,treatment,104,0.1248,14.02,0.6503,56.8,0.1816,142.1,0.3049,0.3753,1193,141,0.1182,50.99,46,58,0.5345,0.4404,0.0251
2023-09-23,control,111,0.0728,15.1,0.6635,74.4,0.2021,172.8,0.3191,0.4002,910,123,0.1352,57.09,40,71,0.4515,0.4551,0.0934
2023-09-23,treatment,98,0.1196,14.08,0.638,51.0,0.2145,164.2,0.2883,0.3603,960,61,0.0635,57.21,52,46,0.4795,0.4589,0.0616
2023-09-24,control,108,0.074,16.54,0.6353,70.8,0.1905,146.8,0.3344,0.3728,854,135,0.1581,46.12,69,39,0.4798,0.4552,0.065
2023-09-24,treatment,98,0.1271,15.34,0.6489,46.4,0.2088,177.1,0.2888,0.3566,1038,53,0.0511,45.18,56,42,0.5132,0.4274,0.0594
2023-09-25,control,114,0.0855,15.0,0.6585,78.0,0.2077,149.6,0.2975,0.4336,846,114,0.1348,58.32,47,67,0.4921,0.4258,0.0821
2023-09-25,treatment,107,0.1271,15.0,0.6204,51.3,0.2322,137.5,0.3176,0.3888,1057,123,0.1164,58.09,50,57,0.4904,0.4,0.1096
2023-09-26,control,108,0.0806,15.32,0.6736,76.7,0.1901,139.2,0.3176,0.4116,992,125,0.126,45.26,67,41,0.5111,0.4205,0.0684
2023-09-26,treatment,102,0.111,16.14,0.6226,81.8,0.2124,164.7,0.2844,0.4225,1191,118,0.0991,61.97,62,40,0.4625,0.3942,0.1433
2023-09-27,control,104,0.0877,15.65,0.6702,69.2,0.2169,158.5,0.3351,0.389,1195,102,0.0854,63.33,50,54,0.4528,0.4585,0.0887
2023-09-27,treatment,97,0.1168,18.21,0.662,72.4,0.1811,132.7,0.3259,0.3891,1183,98,0.0828,64.96,41,56,0.5245,0.458,0.0175
2023-09-28,control,111,0.08,12.38,0.6477,83.1,0.183,167.9,0.3254,0.3854,830,87,0.1048,50.03,69,42,0.4508,0.3956,0.1536
2023-09-28,treatment,113,0.1131,15.89,0.6662,46.5,0.2291,163.4,0.3333,0.3685,1055,118,0.1118,50.77,47,66,0.4977,0.425,0.0773
2023-09-29,control,99,0.0858,14.63,0.6573,66.8,0.2273,174.4,0.3073,0.4378,931,63,0.0677,63.4,63,36,0.513,0.3958,0.0912
2023-09-29,treatment,105,0.1149,16.96,0.6719,69.3,0.21,128.3,0.3254,0.3847,1079,76,0.0704,61.85,67,38,0.4873,0.4512,0.0615
2023-09-30,control,111,0.0891,14.69,0.643,75.2,0.1867,139.6,0.3145,0.3804,909,142,0.1562,48.24,52,59,0.5449,0.4472,0.0079
2023-09-30,treatment,102,0.1204,13.21,0.6307,60.2,0.204,137.9,0.2857,0.4494,857,74,0.0863,56.94,64,38,0.5475,0.4115,0.041
2023-10-01,control,96,0.0895,13.42,0.6283,49.2,0.204,125.1,0.3375,0.4226,1082,134,0.1238,45.23,59,37,0.4927,0.4666,0.0407
2023-10-01,treatment,114,0.1174,17.23,0.6356,64.0,0.1804,165.7,0.2836,0.4394,1082,103,0.0952,64.35,45,69,0.4738,0.3959,0.1303
2023-10-02,control,113,0.0764,13.07,0.6739,64.7,0.1899,176.2,0.3443,0.3573,825,132,0.16,54.21,40,73,0.5137,0.3865,0.0998
2023-10-02,treatment,114,0.114,17.97,0.6539,84.8,0.1925,154.9,0.3377,0.4433,1050,95,0.0905,45.81,51,63,0.4833,0.3992,0.1175
2023-10-03,control,105,0.0769,15.62,0.641,47.5,0.212,177.3,0.3317,0.4402,977,50,0.0512,63.04,40,65,0.4637,0.429,0.1073
2023-10-03,treatment,108,0.1239,16.56,0.6503,82.0,0.2302,179.3,0.3467,0.4334,849,60,0.0707,48.64,42,66,0.5034,0.4548,0.0418
2023-10-04,control,106,0.075,17.56,0.6501,50.6,0.2095,170.9,0.3388,0.3634,925,136,0.147,61.9,67,39,0.5056,0.4003,0.0941
2023-10-04,treatment,109,0.1237,13.23,0.6396,66.2,0.1953,166.6,0.3085,0.4398,1004,115,0.1145,56.32,65,44,0.5283,0.436,0.0357
2023-10-05,control,108,0.0809,12.73,0.6382,57.8,0.2136,144.4,0.2866,0.3854,932,71,0.0762,55.26,50,58,0.4603,0.4293,0.1104
2023-10-05,treatment,114,0.1261,17.92,0.6524,77.0,0.2015,136.2,0.3481,0.3681,840,52,0.0619,56.35,55,59,0.4803,0.3988,0.1209
2023-10-06,control,101,0.0864,17.81,0.6707,66.8,0.203,169.3,0.3143,0.4414,834,60,0.0719,58.67,70,31,0.4771,0.438,0.0849
2023-10-06,treatment,112,0.1223,14.27,0.6638,81.6,0.1806,123.3,0.3336,0.3515,960,113,0.1177,50.8,46,66,0.4766,0.4543,0.0691
2023-10-07,control,97,0.0849,17.71,0.6339,62.7,0.2233,122.9,0.3383,0.3825,880,150,0.1705,54.38,57,40,0.4917,0.3871,0.1212
2023-10-07,treatment,101,0.1122,15.84,0.6721,51.4,0.1902,176.9,0.2828,0.4004,1085,72,0.0664,62.74,53,48,0.4856,0.4118,0.1026
2023-10-08,control,102,0.0787,12.37,0.6332,58.3,0.181,137.9,0.295,0.3804,974,108,0.1109,64.16,59,43,0.5455,0.4169,0.0376
2023-10-08,treatment,109,0.1183,15.78,0.6381,65.1,0.1856,149.2,0.2813,0.3832,1080,87,0.0806,46.6,57,52,0.4607,0.4146,0.1247
2023-10-09,control,99,0.0854,17.63,0.6515,49.6,0.2186,165.1,0.3325,0.4277,867,118,0.1361,53.08,69,30,0.5358,0.399,0.0652
2023-10-09,treatment,101,0.1169,18.48,0.6683,46.3,0.2292,132.8,0.3416,0.4203,1198,75,0.0626,50.35,42,59,0.498,0.4247,0.0773
2023-10-10,control,103,0.0775,15.12,0.6276,71.8,0.2245,154.0,0.3276,0.4346,836,110,0.1316,47.01,57,46,0.5092,0.4464,0.0444
2023-10-10,treatment,102,0.1355,15.74,0.6382,79.1,0.2291,161.9,0.3402,0.4388,951,98,0.103,60.74,60,42,0.5147,0.3843,0.101
2023-10-11,control,97,0.0804,14.06,0.6464,70.6,0.2145,138.0,0.3432,0.3593,872,79,0.0906,60.22,40,57,0.5279,0.4565,0.0156
2023-10-11,treatment,101,0.1142,16.8,0.6475,60.5,0.1827,151.0,0.3242,0.4138,1197,102,0.0852,54.09,58,43,0.4554,0.3826,0.162
2023-10-12,control,106,0.0873,17.47,0.6718,65.6,0.2344,140.5,0.2807,0.4287,1044,110,0.1054,57.02,56,50,0.5261,0.4659,0.008
2023-10-12,treatment,98,0.1134,15.77,0.6514,53.2,0.2242,175.0,0.282,0.4396,874,139,0.159,47.59,57,41,0.4682,0.4288,0.103
2023-10-13,control,100,0.0856,17.98,0.6636,46.4,0.2334,125.5,0.324,0.4393,1149,125,0.1088,60.15,50,50,0.5267,0.449,0.0243
2023-10-13,treatment,104,0.1198,15.13,0.6688,81.0,0.208,127.8,0.3348,0.4113,1123,75,0.0668,46.83,49,55,0.548,0.4474,0.0046
2023-10-14,control,106,0.0853,14.33,0.6311,86.2,0.2071,134.5,0.3015,0.396,894,97,0.1085,57.21,53,53,0.5119,0.4031,0.085
2023-10-14,treatment,100,0.1154,16.53,0.6284,81.2,0.1868,127.4,0.3484,0.3855,802,106,0.1322,63.67,64,36,0.4822,0.42,0.0978
2023-10-15,control,101,0.0872,17.58,0.6572,76.7,0.2031,124.3,0.3212,0.4049,820,133,0.1622,61.53,48,53,0.5355,0.4471,0.0174
2023-10-15,treatment,110,0.1151,14.69,0.6522,66.0,0.211,121.3,0.2903,0.4399,1195,113,0.0946,49.27,67,43,0.4992,0.3985,0.1023
2023-10-16,control,95,0.0808,15.66,0.632,60.9,0.2248,172.7,0.3011,0.4036,901,102,0.1132,47.76,49,46,0.5459,0.4652,0
2023-10-16,treatment,115,0.1095,16.21,0.6472,61.6,0.2122,156.2,0.3027,0.35,1015,98,0.0966,49.06,60,55,0.4976,0.47,0.0324
2023-10-17,control,95,0.0802,12.62,0.6215,80.7,0.1823,154.7,0.338,0.4347,860,70,0.0814,59.77,44,51,0.4808,0.4251,0.0941
2023-10-17,treatment,99,0.1177,17.49,0.6395,64.7,0.2361,156.3,0.3034,0.3781,969,141,0.1455,49.69,66,33,0.4532,0.4765,0.0703
2023-10-18,control,101,0.0797,13.62,0.6665,88.6,0.1911,169.6,0.2992,0.4396,981,132,0.1346,53.83,68,33,0.4883,0.4659,0.0458
2023-10-18,treatment,96,0.1164,15.78,0.6553,48.0,0.1847,166.5,0.2995,0.3569,1103,74,0.0671,58.49,66,30,0.4548,0.4156,0.1296
2023-10-19,control,97,0.0896,12.04,0.6704,68.1,0.2211,135.7,0.3104,0.4282,1036,66,0.0637,51.46,48,49,0.5311,0.4656,0.0033
2023-10-19,treatment,107,0.1221,15.69,0.6353,83.9,0.1899,179.9,0.3215,0.3762,1198,88,0.0735,60.8,53,54,0.4877,0.4384,0.0739
2023-10-20,control,100,0.0781,16.8,0.6355,70.7,0.2268,151.6,0.3365,0.3749,1105,84,0.076,54.27,41,59,0.5008,0.4694,0.0298
2023-10-20,treatment,105,0.12,15.02,0.67,64.3,0.1867,138.2,0.3106,0.4365,855,97,0.1135,52.61,48,57,0.5477,0.43,0.0223
2023-10-21,control,112,0.0837,17.04,0.6222,88.4,0.2356,155.2,0.3268,0.3999,1038,86,0.0829,52.11,42,70,0.4854,0.3909,0.1237
2023-10-21,treatment,104,0.1197,15.16,0.6349,55.1,0.2014,143.0,0.3312,0.402,884,92,0.1041,54.47,70,34,0.5065,0.4309,0.0626
2023-10-22,control,101,0.0809,12.89,0.6465,79.1,0.2374,157.9,0.3001,0.4259,882,112,0.127,61.03,66,35,0.54,0.4119,0.0481
2023-10-22,treatment,111,0.1278,15.01,0.6565,71.6,0.2285,124.3,0.2961,0.3741,1140,101,0.0886,59.24,63,48,0.4805,0.4456,0.0739
2023-10-23,control,101,0.0816,13.77,0.6409,64.6,0.2292,177.1,0.3397,0.4284,868,51,0.0588,48.5,43,58,0.5366,0.4277,0.0357
2023-10-23,treatment,100,0.128,15.25,0.6566,84.2,0.2295,165.9,0.3167,0.3856,1107,94,0.0849,63.74,47,53,0.5104,0.4029,0.0867
2023-10-24,control,106,0.083,16.4,0.6228,47.2,0.2142,161.0,0.3136,0.3527,1145,111,0.0969,45.85,44,62,0.5485,0.4377,0.0138
2023-10-24,treatment,97,0.1206,13.25,0.6229,45.3,0.2182,174.4,0.2841,0.3643,1028,86,0.0837,50.45,61,36,0.4764,0.4423,0.0813
