hostname,ip,os_version,ssh_version,env,cve_2024_6387_vulnerable,cve_2024_6409_vulnerable,patch_required,errata_applicable
host-p0015-scan.example.com,10.117.172.157,RHEL 9.4,OpenSSH_9.6p1,prod,true,false,true,RHSA-2024:4340
host-p0016-scan.example.com,10.92.233.96,RHEL 8.10,OpenSSH_8.7p1,prod,true,true,true,RHSA-2024:4340
host-s0017-scan.example.com,10.82.148.229,RHEL 9.4,OpenSSH_9.6p1,staging,true,false,true,RHSA-2024:4340
host-p0018-scan.example.com,10.117.115.156,Ubuntu 22.04,OpenSSH_8.8p1,prod,true,true,true,RHSA-2024:4340
host-d0019-scan.example.com,10.111.111.24,RHEL 9.4,OpenSSH_9.8p1,dev,false,false,false,N/A
host-d0020-scan.example.com,10.106.236.53,RHEL 9.4,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4340
host-d0021-scan.example.com,10.91.205.132,RHEL 8.10,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4340
host-p0022-scan.example.com,10.86.144.134,RHEL 9.4,OpenSSH_9.6p1,prod,true,false,true,RHSA-2024:4340
host-d0023-scan.example.com,10.89.99.226,RHEL 8.10,OpenSSH_8.7p1,dev,true,true,true,RHSA-2024:4312
host-d0024-scan.example.com,10.101.155.138,Ubuntu 22.04,OpenSSH_9.6p1,dev,true,false,true,RHSA-2024:4340
host-s0025-scan.example.com,10.102.165.227,RHEL 9.4,OpenSSH_9.3p2,staging,true,false,true,RHSA-2024:4340
host-p0026-scan.example.com,10.95.44.40,RHEL 9.4,OpenSSH_8.8p1,prod,true,true,true,RHSA-2024:4312
host-d0027-scan.example.com,10.93.155.160,Ubuntu 22.04,OpenSSH_8.9p1,dev,true,false,true,RHSA-2024:4312
host-p0028-scan.example.com,10.100.84.192,RHEL 8.10,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4340
host-p0029-scan.example.com,10.110.248.88,RHEL 8.10,OpenSSH_8.7p1,prod,true,true,true,RHSA-2024:4340
host-p0030-scan.example.com,10.100.161.247,RHEL 9.4,OpenSSH_8.7p1,prod,true,true,true,RHSA-2024:4312
host-d0031-scan.example.com,10.83.215.102,RHEL 8.10,OpenSSH_8.7p1,dev,true,true,true,RHSA-2024:4340
host-p0032-scan.example.com,10.94.108.117,Ubuntu 22.04,OpenSSH_8.7p1,prod,true,true,true,RHSA-2024:4340
host-d0033-scan.example.com,10.113.106.64,RHEL 8.10,OpenSSH_9.3p2,dev,true,false,true,RHSA-2024:4312
host-p0034-scan.example.com,10.101.229.69,RHEL 9.4,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4340
host-p0035-scan.example.com,10.116.209.75,Ubuntu 22.04,OpenSSH_8.7p1,prod,true,true,true,RHSA-2024:4312
host-s0036-scan.example.com,10.117.205.190,Ubuntu 22.04,OpenSSH_9.6p1,staging,true,false,true,RHSA-2024:4340
host-p0037-scan.example.com,10.107.100.208,RHEL 8.10,OpenSSH_8.8p1,prod,true,true,true,RHSA-2024:4340
host-s0038-scan.example.com,10.94.31.103,RHEL 8.10,OpenSSH_9.8p1,staging,false,false,false,N/A
host-s0039-scan.example.com,10.107.119.200,RHEL 9.4,OpenSSH_8.8p1,staging,true,true,true,RHSA-2024:4312
host-p0040-scan.example.com,10.118.213.49,Ubuntu 22.04,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4340
host-s0041-scan.example.com,10.92.12.45,RHEL 9.4,OpenSSH_9.3p2,staging,true,false,true,RHSA-2024:4340
host-p0042-scan.example.com,10.92.242.184,RHEL 9.4,OpenSSH_9.8p1,prod,false,false,false,N/A
host-d0043-scan.example.com,10.102.50.242,Ubuntu 22.04,OpenSSH_9.8p1,dev,false,false,false,N/A
host-p0044-scan.example.com,10.80.152.65,RHEL 8.10,OpenSSH_8.7p1,prod,true,true,true,RHSA-2024:4340
host-p0045-scan.example.com,10.114.1.51,RHEL 9.4,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4340
host-d0046-scan.example.com,10.109.24.224,Ubuntu 22.04,OpenSSH_9.6p1,dev,true,false,true,RHSA-2024:4312
host-p0047-scan.example.com,10.112.157.29,Ubuntu 22.04,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4312
host-p0048-scan.example.com,10.100.253.76,RHEL 8.10,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4340
host-p0049-scan.example.com,10.89.91.187,RHEL 9.4,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4340
host-p0050-scan.example.com,10.109.109.210,RHEL 9.4,OpenSSH_9.8p1,prod,false,false,false,N/A
host-d0051-scan.example.com,10.87.222.204,RHEL 8.10,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4340
host-d0052-scan.example.com,10.93.63.235,RHEL 8.10,OpenSSH_9.6p1,dev,true,false,true,RHSA-2024:4312
host-d0053-scan.example.com,10.110.63.86,Ubuntu 22.04,OpenSSH_8.9p1,dev,true,false,true,RHSA-2024:4340
host-p0054-scan.example.com,10.81.92.216,RHEL 9.4,OpenSSH_9.6p1,prod,true,false,true,RHSA-2024:4312
host-p0055-scan.example.com,10.85.61.211,RHEL 9.4,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4340
host-d0056-scan.example.com,10.99.116.37,RHEL 9.4,OpenSSH_9.8p1,dev,false,false,false,N/A
host-p0057-scan.example.com,10.86.107.15,RHEL 9.4,OpenSSH_9.8p1,prod,false,false,false,N/A
host-s0058-scan.example.com,10.81.114.250,RHEL 9.4,OpenSSH_8.9p1,staging,true,false,true,RHSA-2024:4340
host-d0059-scan.example.com,10.116.38.93,RHEL 9.4,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4312
host-d0060-scan.example.com,10.107.17.127,RHEL 8.10,OpenSSH_9.8p1,dev,false,false,false,N/A
host-d0061-scan.example.com,10.110.16.202,RHEL 8.10,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4340
host-p0062-scan.example.com,10.99.89.34,RHEL 8.10,OpenSSH_9.8p1,prod,false,false,false,N/A
host-d0063-scan.example.com,10.104.56.248,RHEL 8.10,OpenSSH_8.7p1,dev,true,true,true,RHSA-2024:4312
host-p0064-scan.example.com,10.91.11.62,RHEL 9.4,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4312
host-p0065-scan.example.com,10.92.53.105,RHEL 8.10,OpenSSH_8.7p1,prod,true,true,true,RHSA-2024:4340
host-s0066-scan.example.com,10.91.119.147,RHEL 8.10,OpenSSH_9.6p1,staging,true,false,true,RHSA-2024:4340
host-d0067-scan.example.com,10.80.38.37,RHEL 8.10,OpenSSH_8.7p1,dev,true,true,true,RHSA-2024:4340
host-p0068-scan.example.com,10.93.219.105,RHEL 9.4,OpenSSH_9.8p1,prod,false,false,false,N/A
host-p0069-scan.example.com,10.117.206.241,RHEL 9.4,OpenSSH_9.8p1,prod,false,false,false,N/A
host-p0070-scan.example.com,10.84.195.216,Ubuntu 22.04,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4340
host-d0071-scan.example.com,10.113.157.242,RHEL 9.4,OpenSSH_9.3p2,dev,true,false,true,RHSA-2024:4340
host-p0072-scan.example.com,10.85.203.33,RHEL 8.10,OpenSSH_9.8p1,prod,false,false,false,N/A
host-s0073-scan.example.com,10.82.86.207,Ubuntu 22.04,OpenSSH_9.3p2,staging,true,false,true,RHSA-2024:4340
host-p0074-scan.example.com,10.88.137.119,Ubuntu 22.04,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4340
host-d0075-scan.example.com,10.106.5.66,RHEL 8.10,OpenSSH_8.7p1,dev,true,true,true,RHSA-2024:4340
host-d0076-scan.example.com,10.99.22.149,Ubuntu 22.04,OpenSSH_9.8p1,dev,false,false,false,N/A
host-p0077-scan.example.com,10.119.79.3,Ubuntu 22.04,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4312
host-p0078-scan.example.com,10.81.55.213,Ubuntu 22.04,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4312
host-d0079-scan.example.com,10.115.20.71,RHEL 9.4,OpenSSH_9.6p1,dev,true,false,true,RHSA-2024:4312
host-d0080-scan.example.com,10.106.159.111,Ubuntu 22.04,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4340
host-p0081-scan.example.com,10.116.185.124,RHEL 9.4,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4312
host-s0082-scan.example.com,10.86.108.231,RHEL 8.10,OpenSSH_9.3p2,staging,true,false,true,RHSA-2024:4312
host-p0083-scan.example.com,10.113.251.101,Ubuntu 22.04,OpenSSH_9.6p1,prod,true,false,true,RHSA-2024:4340
host-d0084-scan.example.com,10.104.233.112,RHEL 8.10,OpenSSH_8.7p1,dev,true,true,true,RHSA-2024:4340
host-s0085-scan.example.com,10.111.101.189,Ubuntu 22.04,OpenSSH_8.9p1,staging,true,false,true,RHSA-2024:4340
host-s0086-scan.example.com,10.80.223.86,RHEL 8.10,OpenSSH_8.9p1,staging,true,false,true,RHSA-2024:4340
host-d0087-scan.example.com,10.107.26.129,RHEL 8.10,OpenSSH_8.9p1,dev,true,false,true,RHSA-2024:4312
host-s0088-scan.example.com,10.100.225.13,Ubuntu 22.04,OpenSSH_8.9p1,staging,true,false,true,RHSA-2024:4312
host-s0089-scan.example.com,10.101.169.80,Ubuntu 22.04,OpenSSH_8.8p1,staging,true,true,true,RHSA-2024:4312
host-s0090-scan.example.com,10.97.170.41,Ubuntu 22.04,OpenSSH_8.8p1,staging,true,true,true,RHSA-2024:4312
host-p0091-scan.example.com,10.91.31.77,RHEL 8.10,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4340
host-p0092-scan.example.com,10.116.147.51,RHEL 8.10,OpenSSH_8.8p1,prod,true,true,true,RHSA-2024:4340
host-d0093-scan.example.com,10.117.23.227,RHEL 9.4,OpenSSH_8.9p1,dev,true,false,true,RHSA-2024:4312
host-s0094-scan.example.com,10.118.92.118,RHEL 8.10,OpenSSH_9.6p1,staging,true,false,true,RHSA-2024:4312
host-d0095-scan.example.com,10.109.202.189,Ubuntu 22.04,OpenSSH_8.9p1,dev,true,false,true,RHSA-2024:4340
host-s0096-scan.example.com,10.116.21.119,Ubuntu 22.04,OpenSSH_9.6p1,staging,true,false,true,RHSA-2024:4312
host-s0097-scan.example.com,10.96.132.90,RHEL 8.10,OpenSSH_8.9p1,staging,true,false,true,RHSA-2024:4312
host-d0098-scan.example.com,10.118.229.199,RHEL 9.4,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4340
host-p0099-scan.example.com,10.113.235.32,RHEL 8.10,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4340
host-d0100-scan.example.com,10.102.170.40,Ubuntu 22.04,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4312
host-p0101-scan.example.com,10.102.252.51,RHEL 8.10,OpenSSH_9.6p1,prod,true,false,true,RHSA-2024:4312
host-d0102-scan.example.com,10.102.36.90,Ubuntu 22.04,OpenSSH_9.3p2,dev,true,false,true,RHSA-2024:4312
host-p0103-scan.example.com,10.107.48.176,Ubuntu 22.04,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4340
host-s0104-scan.example.com,10.81.156.74,RHEL 8.10,OpenSSH_8.9p1,staging,true,false,true,RHSA-2024:4340
host-d0105-scan.example.com,10.90.100.85,RHEL 8.10,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4312
host-p0106-scan.example.com,10.115.107.212,RHEL 9.4,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4340
host-s0107-scan.example.com,10.82.219.177,Ubuntu 22.04,OpenSSH_8.7p1,staging,true,true,true,RHSA-2024:4340
host-p0108-scan.example.com,10.113.49.35,RHEL 9.4,OpenSSH_8.8p1,prod,true,true,true,RHSA-2024:4340
host-d0109-scan.example.com,10.119.214.94,RHEL 8.10,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4340
host-p0110-scan.example.com,10.112.63.198,Ubuntu 22.04,OpenSSH_9.6p1,prod,true,false,true,RHSA-2024:4340
host-d0111-scan.example.com,10.116.146.133,RHEL 8.10,OpenSSH_9.8p1,dev,false,false,false,N/A
host-p0112-scan.example.com,10.120.27.53,Ubuntu 22.04,OpenSSH_8.7p1,prod,true,true,true,RHSA-2024:4340
host-p0113-scan.example.com,10.85.64.110,RHEL 9.4,OpenSSH_9.6p1,prod,true,false,true,RHSA-2024:4340
host-s0114-scan.example.com,10.83.152.52,RHEL 9.4,OpenSSH_9.8p1,staging,false,false,false,N/A
host-d0115-scan.example.com,10.92.159.25,RHEL 8.10,OpenSSH_9.3p2,dev,true,false,true,RHSA-2024:4340
host-p0116-scan.example.com,10.117.4.211,RHEL 9.4,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4340
host-p0117-scan.example.com,10.117.228.81,Ubuntu 22.04,OpenSSH_8.8p1,prod,true,true,true,RHSA-2024:4340
host-p0118-scan.example.com,10.82.5.37,Ubuntu 22.04,OpenSSH_8.8p1,prod,true,true,true,RHSA-2024:4340
host-s0119-scan.example.com,10.93.74.173,RHEL 8.10,OpenSSH_8.8p1,staging,true,true,true,RHSA-2024:4340
host-p0120-scan.example.com,10.105.115.175,RHEL 8.10,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4340
host-s0121-scan.example.com,10.89.34.104,RHEL 9.4,OpenSSH_9.8p1,staging,false,false,false,N/A
host-p0122-scan.example.com,10.92.76.50,Ubuntu 22.04,OpenSSH_8.8p1,prod,true,true,true,RHSA-2024:4340
host-d0123-scan.example.com,10.120.101.247,RHEL 9.4,OpenSSH_8.7p1,dev,true,true,true,RHSA-2024:4340
host-s0124-scan.example.com,10.80.79.239,RHEL 8.10,OpenSSH_8.7p1,staging,true,true,true,RHSA-2024:4340
host-d0125-scan.example.com,10.107.15.191,Ubuntu 22.04,OpenSSH_8.9p1,dev,true,false,true,RHSA-2024:4340
host-p0126-scan.example.com,10.113.249.111,RHEL 9.4,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4340
host-d0127-scan.example.com,10.98.236.21,RHEL 9.4,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4340
host-p0128-scan.example.com,10.93.98.47,RHEL 9.4,OpenSSH_9.8p1,prod,false,false,false,N/A
host-p0129-scan.example.com,10.116.28.57,RHEL 9.4,OpenSSH_8.7p1,prod,true,true,true,RHSA-2024:4312
host-s0130-scan.example.com,10.81.176.105,RHEL 8.10,OpenSSH_8.7p1,staging,true,true,true,RHSA-2024:4312
host-s0131-scan.example.com,10.89.162.36,RHEL 9.4,OpenSSH_9.8p1,staging,false,false,false,N/A
host-d0132-scan.example.com,10.113.60.223,Ubuntu 22.04,OpenSSH_8.7p1,dev,true,true,true,RHSA-2024:4312
host-p0133-scan.example.com,10.103.228.159,RHEL 9.4,OpenSSH_8.8p1,prod,true,true,true,RHSA-2024:4312
host-s0134-scan.example.com,10.96.56.2,Ubuntu 22.04,OpenSSH_9.6p1,staging,true,false,true,RHSA-2024:4340
host-p0135-scan.example.com,10.110.189.81,RHEL 8.10,OpenSSH_8.8p1,prod,true,true,true,RHSA-2024:4312
host-p0136-scan.example.com,10.110.145.47,RHEL 8.10,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4340
host-p0137-scan.example.com,10.105.170.145,RHEL 9.4,OpenSSH_9.6p1,prod,true,false,true,RHSA-2024:4340
host-p0138-scan.example.com,10.116.214.12,RHEL 8.10,OpenSSH_9.6p1,prod,true,false,true,RHSA-2024:4340
host-d0139-scan.example.com,10.92.190.14,RHEL 9.4,OpenSSH_9.3p2,dev,true,false,true,RHSA-2024:4340
host-d0140-scan.example.com,10.117.17.92,RHEL 8.10,OpenSSH_9.3p2,dev,true,false,true,RHSA-2024:4340
host-p0141-scan.example.com,10.111.108.4,RHEL 8.10,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4340
host-d0142-scan.example.com,10.120.210.39,Ubuntu 22.04,OpenSSH_9.8p1,dev,false,false,false,N/A
host-p0143-scan.example.com,10.112.155.130,RHEL 9.4,OpenSSH_8.8p1,prod,true,true,true,RHSA-2024:4312
host-d0144-scan.example.com,10.114.238.243,RHEL 8.10,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4340
host-d0145-scan.example.com,10.104.22.144,RHEL 8.10,OpenSSH_9.6p1,dev,true,false,true,RHSA-2024:4340
host-s0146-scan.example.com,10.96.69.48,RHEL 9.4,OpenSSH_9.8p1,staging,false,false,false,N/A
host-d0147-scan.example.com,10.116.6.206,RHEL 9.4,OpenSSH_9.3p2,dev,true,false,true,RHSA-2024:4340
host-d0148-scan.example.com,10.108.56.3,Ubuntu 22.04,OpenSSH_9.8p1,dev,false,false,false,N/A
host-s0149-scan.example.com,10.112.3.148,RHEL 8.10,OpenSSH_9.6p1,staging,true,false,true,RHSA-2024:4312
host-d0150-scan.example.com,10.91.229.112,Ubuntu 22.04,OpenSSH_8.9p1,dev,true,false,true,RHSA-2024:4312
host-p0151-scan.example.com,10.95.94.103,RHEL 8.10,OpenSSH_8.7p1,prod,true,true,true,RHSA-2024:4312
host-p0152-scan.example.com,10.82.123.56,Ubuntu 22.04,OpenSSH_9.6p1,prod,true,false,true,RHSA-2024:4340
host-p0153-scan.example.com,10.97.129.58,RHEL 9.4,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4312
host-p0154-scan.example.com,10.116.74.90,RHEL 9.4,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4312
host-p0155-scan.example.com,10.81.48.175,Ubuntu 22.04,OpenSSH_9.8p1,prod,false,false,false,N/A
host-s0156-scan.example.com,10.105.222.120,Ubuntu 22.04,OpenSSH_9.3p2,staging,true,false,true,RHSA-2024:4312
host-p0157-scan.example.com,10.100.149.128,RHEL 9.4,OpenSSH_9.8p1,prod,false,false,false,N/A
host-d0158-scan.example.com,10.103.99.124,Ubuntu 22.04,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4340
host-d0159-scan.example.com,10.81.20.229,Ubuntu 22.04,OpenSSH_9.8p1,dev,false,false,false,N/A
host-d0160-scan.example.com,10.98.100.85,RHEL 9.4,OpenSSH_8.9p1,dev,true,false,true,RHSA-2024:4340
host-p0161-scan.example.com,10.88.97.1,Ubuntu 22.04,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4340
host-s0162-scan.example.com,10.99.132.34,Ubuntu 22.04,OpenSSH_8.7p1,staging,true,true,true,RHSA-2024:4340
host-p0163-scan.example.com,10.101.28.161,Ubuntu 22.04,OpenSSH_9.6p1,prod,true,false,true,RHSA-2024:4312
host-p0164-scan.example.com,10.115.21.130,Ubuntu 22.04,OpenSSH_9.6p1,prod,true,false,true,RHSA-2024:4312
host-s0165-scan.example.com,10.114.200.137,RHEL 9.4,OpenSSH_8.7p1,staging,true,true,true,RHSA-2024:4312
host-s0166-scan.example.com,10.115.244.123,RHEL 9.4,OpenSSH_8.8p1,staging,true,true,true,RHSA-2024:4340
host-s0167-scan.example.com,10.92.68.209,RHEL 8.10,OpenSSH_8.9p1,staging,true,false,true,RHSA-2024:4312
host-s0168-scan.example.com,10.83.34.60,Ubuntu 22.04,OpenSSH_8.9p1,staging,true,false,true,RHSA-2024:4340
host-p0169-scan.example.com,10.109.69.56,Ubuntu 22.04,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4340
host-p0170-scan.example.com,10.87.228.38,Ubuntu 22.04,OpenSSH_8.7p1,prod,true,true,true,RHSA-2024:4340
host-d0171-scan.example.com,10.85.238.171,Ubuntu 22.04,OpenSSH_8.9p1,dev,true,false,true,RHSA-2024:4340
host-s0172-scan.example.com,10.118.200.123,RHEL 8.10,OpenSSH_8.9p1,staging,true,false,true,RHSA-2024:4312
host-p0173-scan.example.com,10.117.137.253,Ubuntu 22.04,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4312
host-s0174-scan.example.com,10.115.189.27,RHEL 8.10,OpenSSH_8.8p1,staging,true,true,true,RHSA-2024:4340
host-d0175-scan.example.com,10.110.195.164,RHEL 9.4,OpenSSH_9.8p1,dev,false,false,false,N/A
host-s0176-scan.example.com,10.105.242.24,RHEL 9.4,OpenSSH_8.7p1,staging,true,true,true,RHSA-2024:4312
host-p0177-scan.example.com,10.108.33.132,Ubuntu 22.04,OpenSSH_9.3p2,prod,true,false,true,RHSA-2024:4340
host-p0178-scan.example.com,10.93.217.236,Ubuntu 22.04,OpenSSH_9.8p1,prod,false,false,false,N/A
host-p0179-scan.example.com,10.112.165.3,RHEL 8.10,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4312
host-s0180-scan.example.com,10.84.215.175,RHEL 9.4,OpenSSH_9.6p1,staging,true,false,true,RHSA-2024:4340
host-p0181-scan.example.com,10.96.166.89,Ubuntu 22.04,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4340
host-d0182-scan.example.com,10.102.196.157,Ubuntu 22.04,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4340
host-p0183-scan.example.com,10.119.13.231,RHEL 8.10,OpenSSH_8.8p1,prod,true,true,true,RHSA-2024:4340
host-s0184-scan.example.com,10.101.231.90,RHEL 9.4,OpenSSH_9.6p1,staging,true,false,true,RHSA-2024:4340
host-s0185-scan.example.com,10.99.146.159,Ubuntu 22.04,OpenSSH_9.6p1,staging,true,false,true,RHSA-2024:4312
host-d0186-scan.example.com,10.87.41.204,Ubuntu 22.04,OpenSSH_9.8p1,dev,false,false,false,N/A
host-d0187-scan.example.com,10.91.118.68,RHEL 8.10,OpenSSH_8.9p1,dev,true,false,true,RHSA-2024:4340
host-d0188-scan.example.com,10.86.29.128,Ubuntu 22.04,OpenSSH_9.3p2,dev,true,false,true,RHSA-2024:4340
host-s0189-scan.example.com,10.89.1.235,RHEL 9.4,OpenSSH_9.3p2,staging,true,false,true,RHSA-2024:4340
host-d0190-scan.example.com,10.117.50.53,RHEL 8.10,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4340
host-p0191-scan.example.com,10.112.4.138,RHEL 8.10,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4340
host-p0192-scan.example.com,10.103.168.25,Ubuntu 22.04,OpenSSH_9.6p1,prod,true,false,true,RHSA-2024:4340
host-d0193-scan.example.com,10.119.158.55,RHEL 9.4,OpenSSH_8.9p1,dev,true,false,true,RHSA-2024:4312
host-d0194-scan.example.com,10.96.60.98,RHEL 8.10,OpenSSH_8.9p1,dev,true,false,true,RHSA-2024:4312
host-d0195-scan.example.com,10.100.114.72,Ubuntu 22.04,OpenSSH_9.6p1,dev,true,false,true,RHSA-2024:4312
host-d0196-scan.example.com,10.93.138.231,Ubuntu 22.04,OpenSSH_8.7p1,dev,true,true,true,RHSA-2024:4340
host-d0197-scan.example.com,10.89.75.81,RHEL 9.4,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4340
host-s0198-scan.example.com,10.82.66.211,RHEL 8.10,OpenSSH_8.9p1,staging,true,false,true,RHSA-2024:4312
host-s0199-scan.example.com,10.108.34.175,Ubuntu 22.04,OpenSSH_9.6p1,staging,true,false,true,RHSA-2024:4340
host-s0200-scan.example.com,10.100.115.155,Ubuntu 22.04,OpenSSH_8.7p1,staging,true,true,true,RHSA-2024:4312
host-p0201-scan.example.com,10.102.127.216,Ubuntu 22.04,OpenSSH_9.6p1,prod,true,false,true,RHSA-2024:4312
host-p0202-scan.example.com,10.92.124.28,RHEL 9.4,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4312
host-d0203-scan.example.com,10.94.111.30,RHEL 8.10,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4340
host-p0204-scan.example.com,10.92.31.226,RHEL 8.10,OpenSSH_9.8p1,prod,false,false,false,N/A
host-s0205-scan.example.com,10.116.88.158,Ubuntu 22.04,OpenSSH_8.8p1,staging,true,true,true,RHSA-2024:4340
host-s0206-scan.example.com,10.99.61.112,RHEL 8.10,OpenSSH_9.8p1,staging,false,false,false,N/A
host-s0207-scan.example.com,10.99.99.122,RHEL 9.4,OpenSSH_8.7p1,staging,true,true,true,RHSA-2024:4312
host-d0208-scan.example.com,10.104.38.163,Ubuntu 22.04,OpenSSH_9.3p2,dev,true,false,true,RHSA-2024:4340
host-p0209-scan.example.com,10.101.113.23,RHEL 9.4,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4340
host-p0210-scan.example.com,10.85.210.29,RHEL 8.10,OpenSSH_8.8p1,prod,true,true,true,RHSA-2024:4340
host-d0211-scan.example.com,10.90.119.54,Ubuntu 22.04,OpenSSH_8.9p1,dev,true,false,true,RHSA-2024:4312
host-p0212-scan.example.com,10.83.104.99,RHEL 8.10,OpenSSH_8.7p1,prod,true,true,true,RHSA-2024:4340
host-p0213-scan.example.com,10.120.73.236,RHEL 9.4,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4340
host-p0214-scan.example.com,10.109.67.229,Ubuntu 22.04,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4340
host-s0215-scan.example.com,10.105.16.170,Ubuntu 22.04,OpenSSH_8.7p1,staging,true,true,true,RHSA-2024:4312
host-d0216-scan.example.com,10.118.132.152,Ubuntu 22.04,OpenSSH_8.8p1,dev,true,true,true,RHSA-2024:4340
host-s0217-scan.example.com,10.117.14.221,Ubuntu 22.04,OpenSSH_8.9p1,staging,true,false,true,RHSA-2024:4340
host-p0218-scan.example.com,10.96.136.236,RHEL 8.10,OpenSSH_9.8p1,prod,false,false,false,N/A
host-d0219-scan.example.com,10.108.27.163,RHEL 8.10,OpenSSH_8.7p1,dev,true,true,true,RHSA-2024:4312
host-p0220-scan.example.com,10.80.120.24,Ubuntu 22.04,OpenSSH_8.7p1,prod,true,true,true,RHSA-2024:4312
host-p0221-scan.example.com,10.114.199.37,Ubuntu 22.04,OpenSSH_8.9p1,prod,true,false,true,RHSA-2024:4340
