date,category,channel,gmv_v1_rmb_million,gmv_v2_rmb_million,delta_rmb_million,delta_pct,is_bug_date,v1_method,v2_method
2025-05-15,beauty,kuaishou,12.739,9.506,-3.233,-25.38,yes,method1,method2
2025-05-15,home,tmall,104.712,78.137,-26.575,-25.38,yes,method1,method2
2025-05-15,home,jd,40.419,30.161,-10.258,-25.38,yes,method1,method2
2025-05-15,home,douyin,37.696,28.129,-9.567,-25.38,yes,method1,method2
2025-05-15,home,kuaishou,8.796,6.564,-2.232,-25.38,yes,method1,method2
2025-05-15,food,tmall,46.94,35.027,-11.913,-25.38,yes,method1,method2
2025-05-15,food,jd,18.119,13.52,-4.599,-25.38,yes,method1,method2
2025-05-15,food,douyin,16.898,12.61,-4.288,-25.38,yes,method1,method2
2025-05-15,food,kuaishou,3.943,2.942,-1.001,-25.39,yes,method1,method2
2025-05-16,apparel,tmall,209.903,156.632,-53.271,-25.38,yes,method1,method2
2025-05-16,apparel,jd,81.023,60.46,-20.563,-25.38,yes,method1,method2
2025-05-16,apparel,douyin,75.565,56.388,-19.177,-25.38,yes,method1,method2
2025-05-16,apparel,kuaishou,17.632,13.157,-4.475,-25.38,yes,method1,method2
2025-05-16,electronics,tmall,380.449,283.896,-96.553,-25.38,yes,method1,method2
2025-05-16,electronics,jd,146.853,109.584,-37.269,-25.38,yes,method1,method2
2025-05-16,electronics,douyin,136.962,102.202,-34.76,-25.38,yes,method1,method2
2025-05-16,electronics,kuaishou,31.958,23.847,-8.111,-25.38,yes,method1,method2
2025-05-16,beauty,tmall,137.749,102.79,-34.959,-25.38,yes,method1,method2
2025-05-16,beauty,jd,53.171,39.677,-13.494,-25.38,yes,method1,method2
2025-05-16,beauty,douyin,49.59,37.004,-12.586,-25.38,yes,method1,method2
2025-05-16,beauty,kuaishou,11.571,8.634,-2.937,-25.38,yes,method1,method2
2025-05-16,home,tmall,95.112,70.974,-24.138,-25.38,yes,method1,method2
2025-05-16,home,jd,36.713,27.396,-9.317,-25.38,yes,method1,method2
2025-05-16,home,douyin,34.24,25.551,-8.689,-25.38,yes,method1,method2
2025-05-16,home,kuaishou,7.989,5.962,-2.027,-25.37,yes,method1,method2
2025-05-16,food,tmall,42.637,31.816,-10.821,-25.38,yes,method1,method2
2025-05-16,food,jd,16.458,12.281,-4.177,-25.38,yes,method1,method2
2025-05-16,food,douyin,15.349,11.454,-3.895,-25.38,yes,method1,method2
2025-05-16,food,kuaishou,3.581,2.673,-0.908,-25.36,yes,method1,method2
2025-05-17,apparel,tmall,225.128,167.993,-57.135,-25.38,yes,method1,method2
2025-05-17,apparel,jd,86.899,64.845,-22.054,-25.38,yes,method1,method2
2025-05-17,apparel,douyin,81.046,60.478,-20.568,-25.38,yes,method1,method2
2025-05-17,apparel,kuaishou,18.911,14.111,-4.8,-25.38,yes,method1,method2
2025-05-17,electronics,tmall,408.044,304.488,-103.556,-25.38,yes,method1,method2
2025-05-17,electronics,jd,157.505,117.532,-39.973,-25.38,yes,method1,method2
2025-05-17,electronics,douyin,146.896,109.616,-37.28,-25.38,yes,method1,method2
2025-05-17,electronics,kuaishou,34.276,25.577,-8.699,-25.38,yes,method1,method2
2025-05-17,beauty,tmall,147.74,110.245,-37.495,-25.38,yes,method1,method2
2025-05-17,beauty,jd,57.028,42.555,-14.473,-25.38,yes,method1,method2
2025-05-17,beauty,douyin,53.186,39.688,-13.498,-25.38,yes,method1,method2
2025-05-17,beauty,kuaishou,12.41,9.261,-3.149,-25.37,yes,method1,method2
2025-05-17,home,tmall,102.011,76.122,-25.889,-25.38,yes,method1,method2
2025-05-17,home,jd,39.376,29.383,-9.993,-25.38,yes,method1,method2
2025-05-17,home,douyin,36.724,27.404,-9.32,-25.38,yes,method1,method2
2025-05-17,home,kuaishou,8.569,6.394,-2.175,-25.38,yes,method1,method2
2025-05-17,food,tmall,45.729,34.124,-11.605,-25.38,yes,method1,method2
2025-05-17,food,jd,17.651,13.172,-4.479,-25.38,yes,method1,method2
2025-05-17,food,douyin,16.462,12.284,-4.178,-25.38,yes,method1,method2
2025-05-17,food,kuaishou,3.841,2.866,-0.975,-25.38,yes,method1,method2
2025-05-18,apparel,tmall,184.174,137.433,-46.741,-25.38,yes,method1,method2
2025-05-18,apparel,jd,71.091,53.049,-18.042,-25.38,yes,method1,method2
2025-05-18,apparel,douyin,66.303,49.476,-16.827,-25.38,yes,method1,method2
2025-05-18,apparel,kuaishou,15.471,11.544,-3.927,-25.38,yes,method1,method2
2025-05-18,electronics,tmall,333.816,249.097,-84.719,-25.38,yes,method1,method2
2025-05-18,electronics,jd,128.853,96.152,-32.701,-25.38,yes,method1,method2
2025-05-18,electronics,douyin,120.174,89.675,-30.499,-25.38,yes,method1,method2
2025-05-18,electronics,kuaishou,28.041,20.924,-7.117,-25.38,yes,method1,method2
2025-05-18,beauty,tmall,120.864,90.19,-30.674,-25.38,yes,method1,method2
2025-05-18,beauty,jd,46.654,34.814,-11.84,-25.38,yes,method1,method2
2025-05-18,beauty,douyin,43.511,32.469,-11.042,-25.38,yes,method1,method2
2025-05-18,beauty,kuaishou,10.153,7.576,-2.577,-25.38,yes,method1,method2
2025-05-18,home,tmall,83.454,62.274,-21.18,-25.38,yes,method1,method2
2025-05-18,home,jd,32.213,24.038,-8.175,-25.38,yes,method1,method2
2025-05-18,home,douyin,30.043,22.419,-7.624,-25.38,yes,method1,method2
2025-05-18,home,kuaishou,7.01,5.231,-1.779,-25.38,yes,method1,method2
2025-05-18,food,tmall,37.41,27.916,-9.494,-25.38,yes,method1,method2
2025-05-18,food,jd,14.44,10.776,-3.664,-25.37,yes,method1,method2
2025-05-18,food,douyin,13.468,10.05,-3.418,-25.38,yes,method1,method2
2025-05-18,food,kuaishou,3.142,2.345,-0.797,-25.37,yes,method1,method2
2025-05-19,apparel,tmall,195.324,145.753,-49.571,-25.38,yes,method1,method2
2025-05-19,apparel,jd,75.395,56.261,-19.134,-25.38,yes,method1,method2
2025-05-19,apparel,douyin,70.317,52.471,-17.846,-25.38,yes,method1,method2
2025-05-19,apparel,kuaishou,16.407,12.243,-4.164,-25.38,yes,method1,method2
2025-05-19,electronics,tmall,354.025,264.178,-89.847,-25.38,yes,method1,method2
2025-05-19,electronics,jd,136.654,101.973,-34.681,-25.38,yes,method1,method2
2025-05-19,electronics,douyin,127.449,95.104,-32.345,-25.38,yes,method1,method2
2025-05-19,electronics,kuaishou,29.738,22.191,-7.547,-25.38,yes,method1,method2
2025-05-19,beauty,tmall,128.181,95.651,-32.53,-25.38,yes,method1,method2
2025-05-19,beauty,jd,49.478,36.921,-12.557,-25.38,yes,method1,method2
2025-05-19,beauty,douyin,46.145,34.434,-11.711,-25.38,yes,method1,method2
2025-05-19,beauty,kuaishou,10.767,8.035,-2.732,-25.37,yes,method1,method2
2025-05-19,home,tmall,88.506,66.044,-22.462,-25.38,yes,method1,method2
2025-05-19,home,jd,34.163,25.493,-8.67,-25.38,yes,method1,method2
2025-05-19,home,douyin,31.862,23.776,-8.086,-25.38,yes,method1,method2
2025-05-19,home,kuaishou,7.435,5.548,-1.887,-25.38,yes,method1,method2
2025-05-19,food,tmall,39.675,29.606,-10.069,-25.38,yes,method1,method2
2025-05-19,food,jd,15.315,11.428,-3.887,-25.38,yes,method1,method2
2025-05-19,food,douyin,14.283,10.658,-3.625,-25.38,yes,method1,method2
2025-05-19,food,kuaishou,3.333,2.487,-0.846,-25.38,yes,method1,method2
2025-05-20,apparel,tmall,160.127,119.489,-40.638,-25.38,yes,method1,method2
2025-05-20,apparel,jd,61.809,46.123,-15.686,-25.38,yes,method1,method2
2025-05-20,apparel,douyin,57.646,43.016,-14.63,-25.38,yes,method1,method2
2025-05-20,apparel,kuaishou,13.451,10.037,-3.414,-25.38,yes,method1,method2
2025-05-20,electronics,tmall,290.23,216.573,-73.657,-25.38,yes,method1,method2
2025-05-20,electronics,jd,112.029,83.597,-28.432,-25.38,yes,method1,method2
2025-05-20,electronics,douyin,104.483,77.966,-26.517,-25.38,yes,method1,method2
2025-05-20,electronics,kuaishou,24.379,18.192,-6.187,-25.38,yes,method1,method2
2025-05-20,beauty,tmall,105.083,78.414,-26.669,-25.38,yes,method1,method2
2025-05-20,beauty,jd,40.562,30.268,-10.294,-25.38,yes,method1,method2
2025-05-20,beauty,douyin,37.83,28.229,-9.601,-25.38,yes,method1,method2
2025-05-20,beauty,kuaishou,8.827,6.587,-2.24,-25.38,yes,method1,method2
2025-05-20,home,tmall,72.557,54.143,-18.414,-25.38,yes,method1,method2
2025-05-20,home,jd,28.007,20.899,-7.108,-25.38,yes,method1,method2
2025-05-20,home,douyin,26.121,19.492,-6.629,-25.38,yes,method1,method2
2025-05-20,home,kuaishou,6.095,4.548,-1.547,-25.38,yes,method1,method2
2025-05-20,food,tmall,32.526,24.271,-8.255,-25.38,yes,method1,method2
2025-05-20,food,jd,12.555,9.369,-3.186,-25.38,yes,method1,method2
2025-05-20,food,douyin,11.709,8.738,-2.971,-25.37,yes,method1,method2
2025-05-20,food,kuaishou,2.732,2.039,-0.693,-25.37,yes,method1,method2
2025-05-21,apparel,tmall,249.815,186.415,-63.4,-25.38,yes,method1,method2
2025-05-21,apparel,jd,96.429,71.956,-24.473,-25.38,yes,method1,method2
2025-05-21,apparel,douyin,89.934,67.109,-22.825,-25.38,yes,method1,method2
2025-05-21,apparel,kuaishou,20.984,15.659,-5.325,-25.38,yes,method1,method2
2025-05-21,electronics,tmall,452.79,337.878,-114.912,-25.38,yes,method1,method2
2025-05-21,electronics,jd,174.777,130.421,-44.356,-25.38,yes,method1,method2
2025-05-21,electronics,douyin,163.004,121.636,-41.368,-25.38,yes,method1,method2
2025-05-21,electronics,kuaishou,38.034,28.382,-9.652,-25.38,yes,method1,method2
2025-05-21,beauty,tmall,163.941,122.335,-41.606,-25.38,yes,method1,method2
2025-05-21,beauty,jd,63.281,47.221,-16.06,-25.38,yes,method1,method2
2025-05-21,beauty,douyin,59.019,44.041,-14.978,-25.38,yes,method1,method2
2025-05-21,beauty,kuaishou,13.771,10.276,-3.495,-25.38,yes,method1,method2
2025-05-21,home,tmall,113.198,84.469,-28.729,-25.38,yes,method1,method2
2025-05-21,home,jd,43.694,32.605,-11.089,-25.38,yes,method1,method2
2025-05-21,home,douyin,40.751,30.409,-10.342,-25.38,yes,method1,method2
2025-05-21,home,kuaishou,9.509,7.095,-2.414,-25.39,yes,method1,method2
2025-05-21,food,tmall,50.744,37.866,-12.878,-25.38,yes,method1,method2
2025-05-21,food,jd,19.587,14.616,-4.971,-25.38,yes,method1,method2
2025-05-21,food,douyin,18.268,13.632,-4.636,-25.38,yes,method1,method2
2025-05-21,food,kuaishou,4.262,3.181,-1.081,-25.36,yes,method1,method2
2025-05-22,apparel,tmall,168.852,125.999,-42.853,-25.38,yes,method1,method2
2025-05-22,apparel,jd,65.177,48.636,-16.541,-25.38,yes,method1,method2
2025-05-22,apparel,douyin,60.787,45.36,-15.427,-25.38,yes,method1,method2
2025-05-22,apparel,kuaishou,14.184,10.584,-3.6,-25.38,yes,method1,method2
2025-05-22,electronics,tmall,306.043,228.373,-77.67,-25.38,yes,method1,method2
2025-05-22,electronics,jd,118.133,88.152,-29.981,-25.38,yes,method1,method2
2025-05-22,electronics,douyin,110.176,82.214,-27.962,-25.38,yes,method1,method2
2025-05-22,electronics,kuaishou,25.708,19.183,-6.525,-25.38,yes,method1,method2
2025-05-22,beauty,tmall,110.809,82.687,-28.122,-25.38,yes,method1,method2
2025-05-22,beauty,jd,42.772,31.917,-10.855,-25.38,yes,method1,method2
2025-05-22,beauty,douyin,39.891,29.767,-10.124,-25.38,yes,method1,method2
2025-05-22,beauty,kuaishou,9.308,6.946,-2.362,-25.38,yes,method1,method2
2025-05-22,home,tmall,76.511,57.093,-19.418,-25.38,yes,method1,method2
2025-05-22,home,jd,29.533,22.038,-7.495,-25.38,yes,method1,method2
2025-05-22,home,douyin,27.544,20.554,-6.99,-25.38,yes,method1,method2
2025-05-22,home,kuaishou,6.427,4.796,-1.631,-25.38,yes,method1,method2
2025-05-22,food,tmall,34.298,25.594,-8.704,-25.38,yes,method1,method2
2025-05-22,food,jd,13.239,9.879,-3.36,-25.38,yes,method1,method2
2025-05-22,food,douyin,12.347,9.214,-3.133,-25.37,yes,method1,method2
2025-05-22,food,kuaishou,2.881,2.15,-0.731,-25.37,yes,method1,method2
2025-05-23,apparel,tmall,181.378,181.378,0.0,0.0,no,method2,method2
2025-05-23,apparel,jd,70.012,70.012,0.0,0.0,no,method2,method2
2025-05-23,apparel,douyin,65.296,65.296,0.0,0.0,no,method2,method2
2025-05-23,apparel,kuaishou,15.236,15.236,0.0,0.0,no,method2,method2
2025-05-23,electronics,tmall,328.748,328.748,0.0,0.0,no,method2,method2
2025-05-23,electronics,jd,126.897,126.897,0.0,0.0,no,method2,method2
2025-05-23,electronics,douyin,118.349,118.349,0.0,0.0,no,method2,method2
2025-05-23,electronics,kuaishou,27.615,27.615,0.0,0.0,no,method2,method2
2025-05-23,beauty,tmall,119.029,119.029,0.0,0.0,no,method2,method2
2025-05-23,beauty,jd,45.945,45.945,0.0,0.0,no,method2,method2
2025-05-23,beauty,douyin,42.851,42.851,0.0,0.0,no,method2,method2
2025-05-23,beauty,kuaishou,9.998,9.998,0.0,0.0,no,method2,method2
2025-05-23,home,tmall,82.187,82.187,0.0,0.0,no,method2,method2
2025-05-23,home,jd,31.724,31.724,0.0,0.0,no,method2,method2
2025-05-23,home,douyin,29.587,29.587,0.0,0.0,no,method2,method2
2025-05-23,home,kuaishou,6.904,6.904,0.0,0.0,no,method2,method2
2025-05-23,food,tmall,36.842,36.842,0.0,0.0,no,method2,method2
2025-05-23,food,jd,14.221,14.221,0.0,0.0,no,method2,method2
2025-05-23,food,douyin,13.263,13.263,0.0,0.0,no,method2,method2
2025-05-23,food,kuaishou,3.095,3.095,0.0,0.0,no,method2,method2
2025-05-24,apparel,tmall,159.064,159.064,0.0,0.0,no,method2,method2
2025-05-24,apparel,jd,61.399,61.399,0.0,0.0,no,method2,method2
2025-05-24,apparel,douyin,57.263,57.263,0.0,0.0,no,method2,method2
2025-05-24,apparel,kuaishou,13.361,13.361,0.0,0.0,no,method2,method2
2025-05-24,electronics,tmall,288.303,288.303,0.0,0.0,no,method2,method2
2025-05-24,electronics,jd,111.285,111.285,0.0,0.0,no,method2,method2
2025-05-24,electronics,douyin,103.789,103.789,0.0,0.0,no,method2,method2
2025-05-24,electronics,kuaishou,24.217,24.217,0.0,0.0,no,method2,method2
2025-05-24,beauty,tmall,104.385,104.385,0.0,0.0,no,method2,method2
2025-05-24,beauty,jd,40.293,40.293,0.0,0.0,no,method2,method2
2025-05-24,beauty,douyin,37.579,37.579,0.0,0.0,no,method2,method2
2025-05-24,beauty,kuaishou,8.768,8.768,0.0,0.0,no,method2,method2
2025-05-24,home,tmall,72.076,72.076,0.0,0.0,no,method2,method2
2025-05-24,home,jd,27.821,27.821,0.0,0.0,no,method2,method2
2025-05-24,home,douyin,25.947,25.947,0.0,0.0,no,method2,method2
2025-05-24,home,kuaishou,6.054,6.054,0.0,0.0,no,method2,method2
2025-05-24,food,tmall,32.31,32.31,0.0,0.0,no,method2,method2
2025-05-24,food,jd,12.472,12.472,0.0,0.0,no,method2,method2
2025-05-24,food,douyin,11.632,11.632,0.0,0.0,no,method2,method2
2025-05-24,food,kuaishou,2.714,2.714,0.0,0.0,no,method2,method2
2025-05-25,apparel,tmall,168.478,168.478,0.0,0.0,no,method2,method2
2025-05-25,apparel,jd,65.033,65.033,0.0,0.0,no,method2,method2
2025-05-25,apparel,douyin,60.652,60.652,0.0,0.0,no,method2,method2
2025-05-25,apparel,kuaishou,14.152,14.152,0.0,0.0,no,method2,method2
2025-05-25,electronics,tmall,305.367,305.367,0.0,0.0,no,method2,method2
2025-05-25,electronics,jd,117.872,117.872,0.0,0.0,no,method2,method2
2025-05-25,electronics,douyin,109.932,109.932,0.0,0.0,no,method2,method2
2025-05-25,electronics,kuaishou,25.651,25.651,0.0,0.0,no,method2,method2
2025-05-25,beauty,tmall,110.564,110.564,0.0,0.0,no,method2,method2
2025-05-25,beauty,jd,42.678,42.678,0.0,0.0,no,method2,method2
2025-05-25,beauty,douyin,39.803,39.803,0.0,0.0,no,method2,method2
2025-05-25,beauty,kuaishou,9.287,9.287,0.0,0.0,no,method2,method2
2025-05-25,home,tmall,76.342,76.342,0.0,0.0,no,method2,method2
2025-05-25,home,jd,29.468,29.468,0.0,0.0,no,method2,method2
2025-05-25,home,douyin,27.483,27.483,0.0,0.0,no,method2,method2
2025-05-25,home,kuaishou,6.413,6.413,0.0,0.0,no,method2,method2
2025-05-25,food,tmall,34.222,34.222,0.0,0.0,no,method2,method2
2025-05-25,food,jd,13.21,13.21,0.0,0.0,no,method2,method2
2025-05-25,food,douyin,12.32,12.32,0.0,0.0,no,method2,method2
2025-05-25,food,kuaishou,2.875,2.875,0.0,0.0,no,method2,method2
2025-05-26,apparel,tmall,161.396,161.396,0.0,0.0,no,method2,method2
2025-05-26,apparel,jd,62.299,62.299,0.0,0.0,no,method2,method2
2025-05-26,apparel,douyin,58.102,58.102,0.0,0.0,no,method2,method2
2025-05-26,apparel,kuaishou,13.557,13.557,0.0,0.0,no,method2,method2
2025-05-26,electronics,tmall,292.53,292.53,0.0,0.0,no,method2,method2
2025-05-26,electronics,jd,112.917,112.917,0.0,0.0,no,method2,method2
2025-05-26,electronics,douyin,105.311,105.311,0.0,0.0,no,method2,method2
2025-05-26,electronics,kuaishou,24.573,24.573,0.0,0.0,no,method2,method2
2025-05-26,beauty,tmall,105.916,105.916,0.0,0.0,no,method2,method2
2025-05-26,beauty,jd,40.884,40.884,0.0,0.0,no,method2,method2
2025-05-26,beauty,douyin,38.13,38.13,0.0,0.0,no,method2,method2
2025-05-26,beauty,kuaishou,8.897,8.897,0.0,0.0,no,method2,method2
2025-05-26,home,tmall,73.132,73.132,0.0,0.0,no,method2,method2
2025-05-26,home,jd,28.229,28.229,0.0,0.0,no,method2,method2
2025-05-26,home,douyin,26.328,26.328,0.0,0.0,no,method2,method2
2025-05-26,home,kuaishou,6.143,6.143,0.0,0.0,no,method2,method2
2025-05-26,food,tmall,32.784,32.784,0.0,0.0,no,method2,method2
2025-05-26,food,jd,12.654,12.654,0.0,0.0,no,method2,method2
2025-05-26,food,douyin,11.802,11.802,0.0,0.0,no,method2,method2
2025-05-26,food,kuaishou,2.754,2.754,0.0,0.0,no,method2,method2
2025-05-27,apparel,tmall,182.983,182.983,0.0,0.0,no,method2,method2
2025-05-27,apparel,jd,70.632,70.632,0.0,0.0,no,method2,method2
2025-05-27,apparel,douyin,65.874,65.874,0.0,0.0,no,method2,method2
2025-05-27,apparel,kuaishou,15.371,15.371,0.0,0.0,no,method2,method2
2025-05-27,electronics,tmall,331.657,331.657,0.0,0.0,no,method2,method2
2025-05-27,electronics,jd,128.02,128.02,0.0,0.0,no,method2,method2
2025-05-27,electronics,douyin,119.397,119.397,0.0,0.0,no,method2,method2
2025-05-27,electronics,kuaishou,27.859,27.859,0.0,0.0,no,method2,method2
2025-05-27,beauty,tmall,120.083,120.083,0.0,0.0,no,method2,method2
2025-05-27,beauty,jd,46.352,46.352,0.0,0.0,no,method2,method2
2025-05-27,beauty,douyin,43.23,43.23,0.0,0.0,no,method2,method2
2025-05-27,beauty,kuaishou,10.087,10.087,0.0,0.0,no,method2,method2
2025-05-27,home,tmall,82.914,82.914,0.0,0.0,no,method2,method2
2025-05-27,home,jd,32.005,32.005,0.0,0.0,no,method2,method2
2025-05-27,home,douyin,29.849,29.849,0.0,0.0,no,method2,method2
2025-05-27,home,kuaishou,6.965,6.965,0.0,0.0,no,method2,method2
2025-05-27,food,tmall,37.169,37.169,0.0,0.0,no,method2,method2
2025-05-27,food,jd,14.347,14.347,0.0,0.0,no,method2,method2
2025-05-27,food,douyin,13.381,13.381,0.0,0.0,no,method2,method2
2025-05-27,food,kuaishou,3.122,3.122,0.0,0.0,no,method2,method2
2025-05-28,apparel,tmall,117.911,117.911,0.0,0.0,no,method2,method2
2025-05-28,apparel,jd,45.514,45.514,0.0,0.0,no,method2,method2
2025-05-28,apparel,douyin,42.448,42.448,0.0,0.0,no,method2,method2
2025-05-28,apparel,kuaishou,9.905,9.905,0.0,0.0,no,method2,method2
2025-05-28,electronics,tmall,213.714,213.714,0.0,0.0,no,method2,method2
2025-05-28,electronics,jd,82.494,82.494,0.0,0.0,no,method2,method2
2025-05-28,electronics,douyin,76.937,76.937,0.0,0.0,no,method2,method2
2025-05-28,electronics,kuaishou,17.952,17.952,0.0,0.0,no,method2,method2
2025-05-28,beauty,tmall,77.379,77.379,0.0,0.0,no,method2,method2
2025-05-28,beauty,jd,29.868,29.868,0.0,0.0,no,method2,method2
2025-05-28,beauty,douyin,27.856,27.856,0.0,0.0,no,method2,method2
2025-05-28,beauty,kuaishou,6.5,6.5,0.0,0.0,no,method2,method2
2025-05-28,home,tmall,53.428,53.428,0.0,0.0,no,method2,method2
2025-05-28,home,jd,20.623,20.623,0.0,0.0,no,method2,method2
2025-05-28,home,douyin,19.234,19.234,0.0,0.0,no,method2,method2
2025-05-28,home,kuaishou,4.488,4.488,0.0,0.0,no,method2,method2
2025-05-28,food,tmall,23.951,23.951,0.0,0.0,no,method2,method2
2025-05-28,food,jd,9.245,9.245,0.0,0.0,no,method2,method2
2025-05-28,food,douyin,8.622,8.622,0.0,0.0,no,method2,method2
2025-05-28,food,kuaishou,2.012,2.012,0.0,0.0,no,method2,method2
2025-05-29,apparel,tmall,179.161,179.161,0.0,0.0,no,method2,method2
2025-05-29,apparel,jd,69.156,69.156,0.0,0.0,no,method2,method2
2025-05-29,apparel,douyin,64.498,64.498,0.0,0.0,no,method2,method2
2025-05-29,apparel,kuaishou,15.05,15.05,0.0,0.0,no,method2,method2
2025-05-29,electronics,tmall,324.73,324.73,0.0,0.0,no,method2,method2
2025-05-29,electronics,jd,125.346,125.346,0.0,0.0,no,method2,method2
2025-05-29,electronics,douyin,116.903,116.903,0.0,0.0,no,method2,method2
2025-05-29,electronics,kuaishou,27.277,27.277,0.0,0.0,no,method2,method2
2025-05-29,beauty,tmall,117.575,117.575,0.0,0.0,no,method2,method2
2025-05-29,beauty,jd,45.384,45.384,0.0,0.0,no,method2,method2
2025-05-29,beauty,douyin,42.327,42.327,0.0,0.0,no,method2,method2
2025-05-29,beauty,kuaishou,9.876,9.876,0.0,0.0,no,method2,method2
2025-05-29,home,tmall,81.183,81.183,0.0,0.0,no,method2,method2
2025-05-29,home,jd,31.336,31.336,0.0,0.0,no,method2,method2
2025-05-29,home,douyin,29.226,29.226,0.0,0.0,no,method2,method2
2025-05-29,home,kuaishou,6.819,6.819,0.0,0.0,no,method2,method2
2025-05-29,food,tmall,36.392,36.392,0.0,0.0,no,method2,method2
2025-05-29,food,jd,14.047,14.047,0.0,0.0,no,method2,method2
2025-05-29,food,douyin,13.101,13.101,0.0,0.0,no,method2,method2
2025-05-29,food,kuaishou,3.057,3.057,0.0,0.0,no,method2,method2
2025-05-30,apparel,tmall,138.41,138.41,0.0,0.0,no,method2,method2
2025-05-30,apparel,jd,53.426,53.426,0.0,0.0,no,method2,method2
2025-05-30,apparel,douyin,49.828,49.828,0.0,0.0,no,method2,method2
2025-05-30,apparel,kuaishou,11.626,11.626,0.0,0.0,no,method2,method2
2025-05-30,electronics,tmall,250.868,250.868,0.0,0.0,no,method2,method2
