user_id,segment,plan_type,experiment_id,variant,metric_value,session_count,days_active,revenue_usd,is_converted,cohort_week
u0000028,at_risk,free,exp003,control,0.6749,23,45,54.39,0,2023-W42
u0000029,casual,free,exp002,control,0.5534,10,19,36.42,0,2023-W46
u0000030,casual,starter,exp004,control,0.393,11,14,87.04,0,2023-W46
u0000031,power_user,starter,exp002,treatment,0.5839,23,5,8.28,0,2023-W39
u0000032,casual,pro,exp004,treatment,0.4092,4,6,102.82,0,2023-W45
u0000033,at_risk,free,exp003,treatment,0.9021,17,26,112.47,0,2023-W38
u0000034,casual,free,exp003,control,0.0302,25,83,99.54,1,2023-W46
u0000035,new_user,free,exp001,control,0.8138,15,89,101.38,0,2023-W41
u0000036,at_risk,starter,exp002,treatment,0.5278,15,33,5.44,0,2023-W37
u0000037,new_user,free,exp001,treatment,0.6206,24,39,12.53,0,2023-W37
u0000038,power_user,pro,exp001,control,0.6373,19,77,26.55,0,2023-W43
u0000039,power_user,free,exp003,control,0.8422,30,71,69.11,1,2023-W44
u0000040,at_risk,free,exp001,treatment,0.8983,18,60,33.17,1,2023-W44
u0000041,casual,starter,exp002,control,0.4985,17,36,87.34,0,2023-W44
u0000042,power_user,free,exp004,treatment,0.017,8,64,74.29,1,2023-W36
u0000043,casual,free,exp003,treatment,0.3896,1,89,90.46,0,2023-W39
u0000044,casual,free,exp002,treatment,0.6793,14,29,4.47,0,2023-W41
u0000045,casual,starter,exp002,control,0.0941,18,24,87.48,0,2023-W36
u0000046,casual,free,exp002,control,0.7175,13,59,88.7,0,2023-W46
u0000047,at_risk,starter,exp002,treatment,0.6966,4,45,79.32,0,2023-W41
u0000048,at_risk,free,exp004,treatment,0.3794,21,65,88.42,1,2023-W37
u0000049,casual,starter,exp003,treatment,0.1787,22,88,8.56,1,2023-W37
u0000050,new_user,free,exp003,treatment,0.5545,10,48,103.18,0,2023-W41
u0000051,new_user,pro,exp001,control,0.4603,6,61,89.55,0,2023-W41
u0000052,casual,enterprise,exp001,treatment,0.9411,24,59,54.63,0,2023-W42
u0000053,at_risk,free,exp004,control,0.4191,17,88,55.16,0,2023-W42
u0000054,at_risk,free,exp001,control,0.8519,3,82,33.22,0,2023-W39
u0000055,power_user,free,exp002,control,0.8209,24,36,3.65,0,2023-W36
u0000056,at_risk,starter,exp003,treatment,0.2427,19,75,89.86,0,2023-W44
u0000057,casual,free,exp001,treatment,0.0106,30,57,115.74,0,2023-W40
u0000058,casual,free,exp002,treatment,0.0976,2,16,94.79,0,2023-W35
u0000059,casual,free,exp004,control,0.084,1,52,3.77,1,2023-W41
u0000060,power_user,starter,exp001,control,0.4862,2,6,77.91,0,2023-W42
u0000061,at_risk,free,exp002,control,0.7878,14,85,12.94,1,2023-W45
u0000062,power_user,enterprise,exp002,control,0.37,24,59,118.23,0,2023-W36
u0000063,casual,pro,exp001,treatment,0.2342,1,1,74.01,0,2023-W37
u0000064,champion,free,exp002,control,0.4652,6,80,73.12,0,2023-W46
u0000065,power_user,starter,exp004,control,0.1585,3,18,1.21,0,2023-W42
u0000066,casual,pro,exp001,control,0.3139,25,84,68.1,0,2023-W46
u0000067,casual,free,exp002,control,0.2514,3,68,71.35,0,2023-W42
u0000068,at_risk,starter,exp004,treatment,0.2509,7,15,112.73,0,2023-W36
u0000069,at_risk,free,exp003,treatment,0.8075,9,47,58.0,1,2023-W40
u0000070,power_user,pro,exp003,treatment,0.2174,5,24,90.72,0,2023-W44
u0000071,new_user,free,exp004,control,0.0198,18,85,101.47,1,2023-W36
u0000072,power_user,free,exp001,treatment,0.3807,19,4,64.94,0,2023-W41
u0000073,casual,free,exp002,control,0.695,19,31,119.34,0,2023-W40
u0000074,at_risk,free,exp003,control,0.6879,27,73,113.46,1,2023-W41
u0000075,new_user,free,exp003,control,0.7896,6,56,115.56,0,2023-W43
u0000076,at_risk,free,exp004,treatment,0.1944,6,3,109.9,0,2023-W43
u0000077,champion,free,exp004,control,0.126,5,13,119.18,0,2023-W46
u0000078,at_risk,free,exp003,control,0.6859,9,35,57.59,1,2023-W45
u0000079,casual,pro,exp004,treatment,0.8698,20,79,52.24,0,2023-W44
u0000080,casual,free,exp004,treatment,0.8709,27,50,19.46,1,2023-W37
u0000081,casual,enterprise,exp004,control,0.7151,8,25,7.13,0,2023-W41
u0000082,champion,starter,exp002,treatment,0.8843,2,73,44.13,0,2023-W37
u0000083,at_risk,free,exp002,control,0.0609,13,38,38.23,0,2023-W44
u0000084,power_user,free,exp002,treatment,0.2849,29,89,11.17,0,2023-W44
u0000085,new_user,starter,exp002,control,0.935,20,3,40.35,0,2023-W41
u0000086,new_user,free,exp003,control,0.5313,29,63,99.17,0,2023-W46
u0000087,at_risk,free,exp001,treatment,0.4261,23,69,37.04,0,2023-W41
u0000088,new_user,free,exp002,control,0.1042,5,59,52.65,0,2023-W39
u0000089,at_risk,free,exp004,treatment,0.4188,6,44,19.72,0,2023-W37
u0000090,at_risk,starter,exp004,control,0.7458,2,54,49.82,0,2023-W36
u0000091,at_risk,starter,exp004,control,0.6074,23,46,87.7,1,2023-W44
u0000092,champion,free,exp002,control,0.4784,30,10,16.22,0,2023-W45
u0000093,power_user,free,exp001,control,0.785,21,43,59.22,0,2023-W46
u0000094,casual,free,exp004,control,0.4759,19,58,74.41,0,2023-W39
u0000095,power_user,starter,exp003,treatment,0.4423,28,35,30.12,0,2023-W39
u0000096,casual,enterprise,exp003,control,0.8277,7,57,41.2,0,2023-W40
u0000097,at_risk,free,exp001,control,0.4322,5,23,92.04,0,2023-W40
u0000098,casual,free,exp001,control,0.2761,24,49,56.97,0,2023-W37
u0000099,power_user,free,exp004,treatment,0.8957,27,84,53.69,0,2023-W38
u0000100,new_user,free,exp003,control,0.3012,3,50,102.21,0,2023-W36
u0000101,casual,enterprise,exp003,control,0.7725,29,37,68.37,0,2023-W44
u0000102,casual,free,exp001,treatment,0.539,18,88,78.77,1,2023-W41
u0000103,new_user,starter,exp001,control,0.8585,17,87,87.33,0,2023-W39
u0000104,at_risk,starter,exp001,treatment,0.9097,27,51,104.39,0,2023-W41
u0000105,power_user,enterprise,exp003,treatment,0.1095,23,70,36.73,0,2023-W36
u0000106,power_user,free,exp001,control,0.3327,25,55,113.56,0,2023-W40
u0000107,new_user,free,exp003,control,0.4932,12,9,9.08,0,2023-W35
u0000108,power_user,starter,exp002,control,0.1543,25,44,37.81,0,2023-W40
u0000109,new_user,free,exp004,treatment,0.9464,28,18,43.82,0,2023-W43
u0000110,power_user,free,exp004,control,0.9047,18,65,27.49,0,2023-W39
u0000111,power_user,free,exp003,treatment,0.7532,6,24,65.65,0,2023-W35
u0000112,new_user,starter,exp003,treatment,0.4914,19,85,4.26,0,2023-W45
u0000113,at_risk,free,exp002,treatment,0.3341,14,16,106.02,0,2023-W44
u0000114,power_user,free,exp004,control,0.0783,28,31,69.3,0,2023-W44
u0000115,casual,free,exp002,control,0.8281,17,38,29.76,0,2023-W44
u0000116,at_risk,free,exp002,treatment,0.8357,9,30,60.33,0,2023-W41
u0000117,at_risk,free,exp003,treatment,0.672,12,82,72.74,0,2023-W36
u0000118,casual,free,exp004,control,0.4416,30,18,30.05,0,2023-W38
u0000119,new_user,free,exp004,treatment,0.8513,3,18,93.01,0,2023-W46
u0000120,new_user,pro,exp002,control,0.9424,24,40,17.36,0,2023-W35
u0000121,at_risk,pro,exp002,control,0.0998,15,11,99.46,0,2023-W43
u0000122,at_risk,starter,exp004,control,0.8987,7,81,31.15,0,2023-W39
u0000123,new_user,free,exp001,treatment,0.1877,10,76,95.78,0,2023-W44
u0000124,at_risk,free,exp002,control,0.2205,25,26,112.26,0,2023-W40
u0000125,new_user,free,exp004,treatment,0.5511,15,25,112.69,0,2023-W44
u0000126,casual,pro,exp004,treatment,0.0745,5,68,12.04,0,2023-W36
u0000127,new_user,free,exp004,control,0.2442,2,2,111.66,1,2023-W36
u0000128,at_risk,free,exp003,control,0.2483,13,84,20.14,0,2023-W46
u0000129,champion,free,exp001,control,0.0722,15,60,57.55,0,2023-W40
u0000130,at_risk,pro,exp004,control,0.3192,22,85,43.6,0,2023-W41
u0000131,power_user,free,exp003,treatment,0.1897,13,84,2.13,0,2023-W37
u0000132,new_user,free,exp004,control,0.3955,3,52,62.31,0,2023-W44
u0000133,at_risk,pro,exp002,treatment,0.8221,12,48,60.7,0,2023-W36
u0000134,casual,starter,exp002,treatment,0.337,9,18,95.83,0,2023-W40
u0000135,power_user,free,exp003,control,0.665,20,82,43.01,0,2023-W46
u0000136,casual,free,exp002,treatment,0.289,14,43,57.12,0,2023-W46
u0000137,at_risk,free,exp001,treatment,0.3545,28,69,54.44,0,2023-W37
u0000138,at_risk,free,exp001,treatment,0.7976,19,68,99.92,0,2023-W38
u0000139,champion,pro,exp003,control,0.7383,11,69,25.4,0,2023-W42
u0000140,casual,free,exp001,treatment,0.5132,5,33,70.62,1,2023-W37
u0000141,casual,free,exp002,treatment,0.3417,14,13,99.49,0,2023-W35
u0000142,casual,free,exp003,control,0.0935,10,56,69.44,0,2023-W37
u0000143,power_user,free,exp004,control,0.0795,5,24,93.17,0,2023-W44
u0000144,champion,free,exp003,control,0.3138,6,89,29.56,0,2023-W42
u0000145,at_risk,free,exp002,control,0.5074,18,71,53.1,0,2023-W42
u0000146,casual,starter,exp003,control,0.1334,30,65,50.61,0,2023-W43
u0000147,casual,free,exp001,control,0.295,19,28,66.27,0,2023-W39
u0000148,new_user,free,exp004,treatment,0.0825,13,13,103.32,1,2023-W36
u0000149,casual,enterprise,exp002,control,0.014,11,41,112.95,0,2023-W46
u0000150,champion,starter,exp003,treatment,0.6897,26,77,113.19,0,2023-W39
u0000151,power_user,free,exp003,treatment,0.3539,13,15,7.25,0,2023-W46
u0000152,champion,free,exp001,treatment,0.2864,29,68,6.22,0,2023-W40
u0000153,casual,starter,exp001,treatment,0.2815,27,68,74.72,0,2023-W44
u0000154,casual,free,exp004,treatment,0.0334,7,34,10.86,0,2023-W40
u0000155,casual,starter,exp001,control,0.4783,29,74,89.88,0,2023-W39
u0000156,at_risk,free,exp003,treatment,0.6072,16,5,81.09,0,2023-W39
u0000157,power_user,free,exp001,treatment,0.6156,6,52,94.32,1,2023-W38
u0000158,casual,pro,exp002,control,0.1092,20,10,30.05,0,2023-W41
u0000159,power_user,free,exp004,control,0.4395,9,68,24.15,0,2023-W44
u0000160,new_user,free,exp004,treatment,0.615,23,45,88.03,0,2023-W42
u0000161,at_risk,free,exp002,control,0.0941,30,16,2.17,0,2023-W46
u0000162,new_user,free,exp002,treatment,0.941,8,67,100.73,0,2023-W45
u0000163,casual,free,exp002,control,0.5763,9,55,36.36,0,2023-W37
u0000164,new_user,free,exp004,treatment,0.2521,22,41,92.18,0,2023-W39
u0000165,casual,starter,exp001,control,0.4626,23,55,26.86,0,2023-W43
u0000166,casual,free,exp002,treatment,0.6537,11,67,32.55,0,2023-W43
u0000167,at_risk,free,exp002,control,0.4437,16,69,84.38,1,2023-W38
u0000168,casual,free,exp003,control,0.7732,21,84,35.38,1,2023-W39
u0000169,new_user,starter,exp004,treatment,0.8189,2,72,1.5,0,2023-W39
u0000170,casual,free,exp003,control,0.6267,25,57,35.46,0,2023-W35
u0000171,casual,free,exp004,treatment,0.4873,10,61,107.81,0,2023-W38
u0000172,new_user,free,exp003,treatment,0.8083,18,38,2.37,0,2023-W35
u0000173,casual,enterprise,exp004,treatment,0.2883,10,48,106.79,0,2023-W40
u0000174,new_user,starter,exp001,treatment,0.8123,6,41,112.64,0,2023-W38
u0000175,casual,free,exp002,treatment,0.7568,21,33,28.06,0,2023-W40
u0000176,at_risk,free,exp004,treatment,0.4767,27,10,45.87,0,2023-W43
u0000177,casual,starter,exp002,treatment,0.1169,15,55,114.83,0,2023-W38
u0000178,new_user,free,exp002,control,0.5233,6,45,92.75,0,2023-W36
u0000179,casual,free,exp001,treatment,0.2108,28,73,78.8,0,2023-W46
u0000180,new_user,enterprise,exp004,control,0.5951,29,24,17.86,0,2023-W41
u0000181,casual,free,exp003,control,0.7504,15,16,12.73,1,2023-W38
u0000182,champion,free,exp004,treatment,0.5894,15,1,17.94,0,2023-W37
u0000183,casual,free,exp004,control,0.7549,15,16,103.46,0,2023-W41
u0000184,casual,free,exp002,control,0.8924,15,13,66.15,0,2023-W42
u0000185,casual,free,exp004,control,0.2203,26,18,111.64,0,2023-W37
u0000186,power_user,free,exp003,control,0.4095,27,82,80.41,0,2023-W46
u0000187,casual,starter,exp002,treatment,0.2551,24,44,91.38,0,2023-W43
u0000188,casual,enterprise,exp001,control,0.5505,9,34,23.61,0,2023-W38
u0000189,new_user,free,exp001,treatment,0.2807,1,88,112.65,1,2023-W38
u0000190,casual,starter,exp004,control,0.6938,26,54,13.88,0,2023-W43
u0000191,at_risk,starter,exp004,treatment,0.0652,17,72,55.48,0,2023-W45
u0000192,new_user,free,exp004,treatment,0.8911,2,72,99.23,1,2023-W37
u0000193,casual,pro,exp003,treatment,0.9317,26,46,29.75,0,2023-W41
u0000194,power_user,free,exp001,treatment,0.4213,20,56,60.5,1,2023-W45
u0000195,power_user,free,exp004,control,0.5354,24,62,95.34,0,2023-W36
u0000196,at_risk,starter,exp002,control,0.4418,1,63,53.69,0,2023-W42
u0000197,new_user,enterprise,exp001,treatment,0.4888,19,44,29.91,0,2023-W37
u0000198,new_user,free,exp004,treatment,0.8024,16,34,69.81,0,2023-W36
u0000199,casual,free,exp001,control,0.2832,15,81,5.77,0,2023-W35
u0000200,casual,free,exp004,treatment,0.6933,5,56,26.44,0,2023-W42
u0000201,casual,free,exp001,control,0.0813,4,90,66.15,1,2023-W40
u0000202,at_risk,free,exp002,treatment,0.7967,22,47,6.23,0,2023-W38
u0000203,at_risk,free,exp003,treatment,0.6622,20,21,57.55,0,2023-W35
u0000204,new_user,free,exp004,treatment,0.4628,15,70,110.08,0,2023-W40
u0000205,casual,free,exp003,treatment,0.4965,16,21,27.33,0,2023-W37
u0000206,new_user,free,exp002,control,0.8465,26,38,103.74,0,2023-W42
u0000207,at_risk,free,exp002,control,0.7319,25,43,72.63,0,2023-W38
u0000208,casual,starter,exp001,control,0.2994,18,27,104.89,0,2023-W46
u0000209,new_user,free,exp002,treatment,0.151,3,25,15.1,0,2023-W36
u0000210,casual,starter,exp004,control,0.9431,29,59,60.8,0,2023-W37
u0000211,casual,starter,exp001,treatment,0.927,28,17,68.56,0,2023-W39
u0000212,casual,pro,exp003,treatment,0.8378,9,66,10.98,0,2023-W46
u0000213,power_user,free,exp004,treatment,0.1614,6,57,56.2,0,2023-W40
u0000214,at_risk,free,exp001,treatment,0.6291,19,64,31.61,1,2023-W40
u0000215,champion,starter,exp002,control,0.8501,25,65,11.15,0,2023-W46
u0000216,champion,free,exp001,control,0.7525,2,37,107.2,0,2023-W46
u0000217,champion,pro,exp004,treatment,0.3433,26,89,34.82,0,2023-W44
u0000218,casual,free,exp003,treatment,0.8428,18,70,5.29,0,2023-W36
u0000219,power_user,free,exp003,treatment,0.2034,24,5,64.18,0,2023-W41
u0000220,casual,free,exp004,treatment,0.8866,12,55,102.03,0,2023-W42
u0000221,casual,starter,exp002,control,0.8133,23,9,94.5,0,2023-W46
u0000222,new_user,free,exp001,control,0.8403,27,52,82.57,0,2023-W35
u0000223,new_user,free,exp002,control,0.6632,3,41,88.31,0,2023-W43
u0000224,new_user,starter,exp001,treatment,0.5703,22,71,27.6,0,2023-W38
u0000225,new_user,starter,exp001,control,0.8573,6,53,9.18,0,2023-W39
u0000226,new_user,free,exp003,treatment,0.5966,11,39,52.88,1,2023-W46
u0000227,casual,free,exp001,control,0.637,25,65,47.1,0,2023-W37
u0000228,champion,free,exp004,treatment,0.6114,11,21,27.49,0,2023-W38
u0000229,casual,free,exp001,treatment,0.1303,15,71,69.02,0,2023-W35
u0000230,at_risk,free,exp002,treatment,0.6018,24,83,40.52,0,2023-W44
u0000231,new_user,free,exp003,control,0.6428,15,12,58.09,0,2023-W39
u0000232,new_user,free,exp004,treatment,0.6627,27,72,27.68,0,2023-W46
u0000233,champion,starter,exp003,treatment,0.1851,24,31,76.09,0,2023-W38
u0000234,casual,free,exp002,control,0.442,14,18,42.71,0,2023-W38
u0000235,casual,starter,exp001,treatment,0.3679,18,82,93.18,0,2023-W39
u0000236,at_risk,free,exp001,treatment,0.7844,28,16,89.63,0,2023-W45
u0000237,casual,free,exp001,control,0.1173,12,21,2.62,0,2023-W46
u0000238,power_user,free,exp004,control,0.8681,19,7,68.57,0,2023-W38
u0000239,new_user,free,exp004,control,0.2055,15,37,3.38,0,2023-W39
u0000240,casual,free,exp003,control,0.7081,14,55,42.16,0,2023-W41
u0000241,power_user,free,exp002,control,0.4799,1,78,50.26,0,2023-W37
u0000242,power_user,free,exp002,treatment,0.1054,23,5,74.7,0,2023-W43
u0000243,casual,free,exp001,treatment,0.2219,14,81,19.65,0,2023-W43
u0000244,casual,starter,exp002,control,0.866,3,74,8.2,1,2023-W40
u0000245,casual,free,exp002,treatment,0.7563,3,65,28.28,1,2023-W40
u0000246,champion,enterprise,exp004,treatment,0.9071,20,67,53.16,0,2023-W41
u0000247,casual,free,exp003,control,0.8274,24,77,89.6,0,2023-W44
u0000248,at_risk,pro,exp003,control,0.8614,23,30,5.59,0,2023-W45
u0000249,casual,free,exp003,control,0.0326,17,61,111.33,0,2023-W35
u0000250,new_user,pro,exp001,treatment,0.4913,28,25,107.46,0,2023-W37
u0000251,new_user,free,exp004,control,0.4382,16,19,89.6,0,2023-W44
u0000252,casual,starter,exp004,control,0.062,16,65,88.66,0,2023-W35
u0000253,casual,free,exp003,control,0.7308,19,35,52.56,0,2023-W44
u0000254,at_risk,enterprise,exp004,treatment,0.8713,17,76,61.96,0,2023-W45
u0000255,casual,free,exp002,treatment,0.7128,19,35,116.75,0,2023-W42
u0000256,at_risk,pro,exp001,treatment,0.0368,22,3,111.16,0,2023-W40
u0000257,new_user,free,exp002,treatment,0.7307,26,77,68.34,0,2023-W41
u0000258,casual,pro,exp003,control,0.6404,17,29,34.53,0,2023-W37
u0000259,casual,free,exp004,treatment,0.4174,11,31,30.74,0,2023-W38
u0000260,casual,free,exp004,control,0.1269,5,22,99.86,1,2023-W37
u0000261,at_risk,starter,exp004,treatment,0.4371,18,19,115.64,0,2023-W36
u0000262,at_risk,pro,exp003,treatment,0.3731,12,26,53.35,0,2023-W41
u0000263,power_user,free,exp004,control,0.4633,7,38,102.74,0,2023-W41
u0000264,power_user,free,exp002,control,0.3383,20,79,44.02,1,2023-W40
u0000265,at_risk,pro,exp004,treatment,0.7429,14,65,21.32,0,2023-W37
u0000266,new_user,free,exp001,treatment,0.4047,10,19,85.56,0,2023-W41
u0000267,casual,free,exp001,treatment,0.7538,8,86,14.99,0,2023-W38
u0000268,power_user,free,exp001,treatment,0.6945,1,17,78.24,0,2023-W42
u0000269,casual,free,exp002,control,0.6767,27,83,64.39,0,2023-W46
u0000270,power_user,starter,exp004,control,0.768,27,48,107.07,0,2023-W41
u0000271,at_risk,free,exp002,treatment,0.5908,11,4,61.29,1,2023-W46
u0000272,power_user,pro,exp003,control,0.082,19,3,85.95,0,2023-W40
u0000273,new_user,free,exp002,treatment,0.8072,17,84,87.52,1,2023-W36
u0000274,casual,starter,exp003,control,0.7891,19,12,105.24,0,2023-W41
u0000275,champion,pro,exp001,control,0.5396,25,51,52.74,0,2023-W41
u0000276,casual,free,exp003,treatment,0.1746,23,11,27.16,0,2023-W38
u0000277,new_user,free,exp003,treatment,0.4342,20,57,9.17,1,2023-W36
u0000278,power_user,pro,exp001,treatment,0.4573,27,57,46.62,0,2023-W38
u0000279,at_risk,free,exp001,control,0.8261,12,50,92.02,0,2023-W40
u0000280,casual,pro,exp003,control,0.2934,21,47,23.81,0,2023-W38
u0000281,new_user,free,exp004,control,0.3954,5,23,44.44,0,2023-W42
u0000282,new_user,free,exp003,treatment,0.1804,10,84,30.81,1,2023-W43
u0000283,casual,free,exp004,control,0.2618,15,13,117.18,0,2023-W35
u0000284,casual,enterprise,exp001,control,0.4171,24,87,9.7,1,2023-W42
u0000285,casual,enterprise,exp004,control,0.2753,9,87,40.72,0,2023-W39
u0000286,casual,starter,exp003,control,0.0196,25,28,0.35,0,2023-W39
u0000287,casual,free,exp002,treatment,0.2625,7,36,46.04,0,2023-W40
u0000288,new_user,starter,exp002,control,0.1385,3,9,78.18,0,2023-W45
u0000289,new_user,free,exp003,treatment,0.7014,12,38,45.75,0,2023-W45
u0000290,at_risk,starter,exp001,treatment,0.3924,8,62,85.01,0,2023-W45
u0000291,casual,free,exp003,treatment,0.6606,19,85,101.31,0,2023-W43
u0000292,power_user,free,exp004,control,0.8537,10,2,17.95,0,2023-W37
u0000293,casual,free,exp003,control,0.5588,1,6,110.15,0,2023-W40
u0000294,casual,free,exp001,control,0.1978,21,40,99.63,0,2023-W40
u0000295,casual,free,exp004,treatment,0.4272,12,64,0.97,1,2023-W36
u0000296,at_risk,pro,exp004,control,0.5345,24,8,105.78,0,2023-W45
u0000297,new_user,free,exp001,treatment,0.8018,20,5,79.74,0,2023-W36
u0000298,casual,free,exp001,control,0.0147,16,42,0.63,0,2023-W41
u0000299,new_user,starter,exp003,treatment,0.4791,8,30,25.16,0,2023-W37
u0000300,casual,free,exp004,treatment,0.1538,9,16,47.88,1,2023-W40
u0000301,power_user,free,exp003,control,0.2555,30,9,17.81,0,2023-W36
u0000302,casual,free,exp003,control,0.5475,21,38,67.91,0,2023-W38
u0000303,power_user,free,exp004,control,0.5915,25,39,49.16,0,2023-W37
u0000304,power_user,enterprise,exp001,control,0.086,8,37,21.25,1,2023-W42
u0000305,casual,free,exp002,treatment,0.2838,23,85,75.11,1,2023-W44
u0000306,casual,starter,exp002,control,0.8379,15,47,71.26,0,2023-W43
u0000307,casual,pro,exp001,control,0.6968,23,87,88.71,0,2023-W37
u0000308,casual,free,exp004,treatment,0.277,17,47,60.49,1,2023-W46
u0000309,casual,free,exp003,control,0.3474,18,13,37.94,0,2023-W39
u0000310,new_user,free,exp003,control,0.5047,2,45,99.59,0,2023-W40
u0000311,champion,pro,exp004,control,0.6921,27,64,0.48,0,2023-W40
u0000312,casual,free,exp004,treatment,0.7533,8,11,94.67,0,2023-W36
u0000313,champion,free,exp004,treatment,0.7151,16,37,93.16,0,2023-W46
u0000314,casual,pro,exp002,control,0.0478,25,63,11.81,0,2023-W37
u0000315,power_user,free,exp001,treatment,0.2625,9,52,112.6,0,2023-W39
u0000316,casual,enterprise,exp004,treatment,0.2047,6,80,27.63,0,2023-W38
u0000317,casual,free,exp003,control,0.1935,10,27,47.94,0,2023-W42
u0000318,new_user,pro,exp002,treatment,0.7104,14,30,47.95,0,2023-W40
u0000319,casual,pro,exp001,treatment,0.73,1,39,28.77,0,2023-W42
u0000320,power_user,starter,exp003,treatment,0.6736,12,27,9.55,0,2023-W44
u0000321,casual,free,exp004,control,0.1616,17,66,33.18,0,2023-W41
u0000322,casual,pro,exp001,treatment,0.9411,15,35,38.09,0,2023-W44
u0000323,at_risk,starter,exp003,treatment,0.3485,5,90,37.7,0,2023-W43
u0000324,at_risk,free,exp004,control,0.651,20,64,103.7,0,2023-W35
u0000325,casual,free,exp003,control,0.7968,8,54,70.85,0,2023-W45
u0000326,casual,pro,exp002,treatment,0.3763,5,81,114.44,0,2023-W36
u0000327,casual,enterprise,exp002,control,0.1509,1,86,14.6,0,2023-W46
u0000328,new_user,free,exp003,control,0.5132,14,49,8.79,0,2023-W42
u0000329,casual,starter,exp001,control,0.7745,6,69,67.72,0,2023-W44
u0000330,casual,pro,exp001,control,0.5052,24,16,38.12,0,2023-W44
u0000331,casual,free,exp001,treatment,0.9385,29,44,82.54,0,2023-W46
u0000332,casual,free,exp003,treatment,0.8855,16,42,88.69,0,2023-W44
u0000333,power_user,free,exp004,treatment,0.5513,4,7,98.43,0,2023-W39
u0000334,casual,free,exp004,treatment,0.2627,9,8,32.41,0,2023-W35
u0000335,at_risk,free,exp003,treatment,0.5631,22,35,41.2,0,2023-W46
u0000336,at_risk,free,exp004,treatment,0.6247,24,23,110.93,0,2023-W39
u0000337,at_risk,pro,exp002,control,0.6256,19,78,92.25,0,2023-W35
u0000338,power_user,enterprise,exp001,control,0.155,22,79,105.69,0,2023-W44
u0000339,casual,free,exp003,treatment,0.2958,16,38,58.76,0,2023-W40
u0000340,casual,starter,exp003,control,0.5807,14,74,106.7,0,2023-W36
u0000341,casual,free,exp003,treatment,0.696,18,77,97.73,0,2023-W39
u0000342,casual,free,exp002,treatment,0.7012,21,25,81.76,0,2023-W46
u0000343,casual,free,exp001,treatment,0.1153,22,73,101.03,1,2023-W38
u0000344,at_risk,free,exp004,control,0.7825,26,17,105.76,0,2023-W46
u0000345,at_risk,free,exp004,treatment,0.1054,23,5,34.94,0,2023-W36
u0000346,casual,free,exp001,control,0.1617,23,21,37.08,1,2023-W37
u0000347,at_risk,free,exp001,control,0.8465,4,15,32.86,0,2023-W44
u0000348,at_risk,free,exp003,control,0.6147,27,70,63.66,0,2023-W38
u0000349,new_user,free,exp003,treatment,0.1488,28,68,65.8,0,2023-W41
u0000350,casual,free,exp002,control,0.369,11,87,61.04,0,2023-W42
u0000351,casual,free,exp002,control,0.1853,28,1,21.8,0,2023-W44
u0000352,casual,free,exp003,treatment,0.9182,3,88,119.67,0,2023-W45
u0000353,at_risk,starter,exp002,treatment,0.1558,15,59,24.41,1,2023-W40
u0000354,new_user,free,exp004,treatment,0.4422,11,39,32.35,0,2023-W45
u0000355,power_user,free,exp004,control,0.2126,22,14,56.88,0,2023-W43
