asset_id,device_type,make,model,serial_no,year_acquired,condition,ward
RGH-ASSET-0164,Vent,Medtronic,Ven-623,VNT-JWXZUX,2024,Fair,Cardiology Ward 1
RGH-ASSET-0014,Defib,Zoll,Def-446,DEF-N0O1P2,2018,Fair,Cardiology Ward 1
RGH-ASSET-0091,Defib,Mindray,Def-411,DEF-CNRL8X,2016,Fair,CICU
RGH-ASSET-0172,Echo,Philips,Ech-620,ECH-0TR58P,2017,Excellent,Cardiology Ward 1
RGH-ASSET-0035,Monitor,Siemens,Mon-527,MON-H3REM5,2022,Poor,Cardiology Ward 2
RGH-ASSET-0094,IV Pump,Mindray,IV -542,INF-RC85EH,2025,Excellent,Cath Suite
RGH-ASSET-0020,EPR,Siemens,EPR-666,EPR-F8G9H0,2023,Fair,Echo Room
RGH-ASSET-0045,Echo,Mindray,Ech-881,ECH-W6ATVD,2023,Fair,EP Lab
RGH-ASSET-0058,EPR,Medtronic,EPR-224,EPR-YX4L4O,2025,Excellent,Cardiology Ward 1
RGH-ASSET-0135,Echo,Philips,Ech-989,ECH-QZ05EV,2023,Poor,Echo Room
RGH-ASSET-0044,IV Pump,Zoll,IV -666,INF-ISS8JL,2021,Good,Cardiology Ward 1
RGH-ASSET-0115,Defib,Zoll,Def-993,DEF-B792ZI,2021,Poor,Cath Suite
RGH-ASSET-0159,Defib,Medtronic,Def-472,DEF-FU4B9S,2023,Fair,Cardiology Ward 1
RGH-ASSET-0011,Defib,Zoll,Def-628,DEF-E1F2G3,2024,Excellent,EP Lab
RGH-ASSET-0156,Vent,Philips,Ven-201,VNT-2GRXPU,2020,Good,Echo Room
RGH-ASSET-0136,Defib,Siemens,Def-753,DEF-QY5SXA,2020,Good,Echo Room
RGH-ASSET-0063,Echo,Medtronic,Ech-810,ECH-QE97N6,2016,Fair,CICU
RGH-ASSET-0089,Echo,Mindray,Ech-897,ECH-34MPYO,2023,Poor,EP Lab
RGH-ASSET-0171,Vent,BSci,Ven-345,VNT-DL14WC,2016,Fair,Cardiology Ward 2
RGH-ASSET-0109,IV Pump,Siemens,IV -829,INF-B5O1R9,2023,Fair,EP Lab
RGH-ASSET-0002,Echo,Philips,Ech-306,ECH-D4E5F6,2024,Fair,Cardiology Ward 1
RGH-ASSET-0049,Echo,Mindray,Ech-616,ECH-Z3095H,2020,Poor,Echo Room
RGH-ASSET-0158,Defib,Medtronic,Def-225,DEF-6GVGT2,2015,Fair,Cardiology Ward 2
RGH-ASSET-0004,Echo,Philips,Ech-928,ECH-J0K1L2,2024,Fair,EP Lab
RGH-ASSET-0104,Echo,Medtronic,Ech-775,ECH-TPBWSX,2016,Excellent,Echo Room
RGH-ASSET-0032,EPR,BSci,EPR-641,EPR-FSRQ8S,2016,Fair,Cardiology Ward 1
RGH-ASSET-0137,Monitor,BSci,Mon-727,MON-B3LPVO,2016,Poor,Cardiology Ward 1
RGH-ASSET-0132,IV Pump,GE,IV -696,INF-RYDC1A,2015,Good,Cath Suite
