grant_id,pi_last,nih_institute,amount_usd,fiscal_year,project_title,associated_paper_doi
R01CA100030,Ghobrial,NHLBI,699402,2005,Cancer research project #30,10.1182/bld.2000030
R01CA100031,Ghobrial,NHLBI,1026616,2005,Cancer research project #31,10.1182/bld.2000031
R01CA100032,Ghobrial,NIAID,886217,2014,Cancer research project #32,10.1182/bld.2000032
R01CA100033,Ghobrial,NHLBI,503450,2019,Cancer research project #33,10.1182/bld.2000033
R01CA100034,Glimcher,NIAID,796441,2001,Cancer research project #34,10.1182/bld.2000034
R01CA100035,Hahn,NHLBI,395475,2021,Cancer research project #35,10.1182/bld.2000035
R01CA100036,Ghobrial,NCI,407991,2013,Cancer research project #36,10.1182/bld.2000036
R01CA100037,Ghobrial,NCI,520228,2012,Cancer research project #37,10.1182/bld.2000037
R01CA100038,Hahn,NIAID,658249,2009,Cancer research project #38,10.1182/bld.2000038
R01CA100039,Ghobrial,NHLBI,451708,2004,Cancer research project #39,10.1182/bld.2000039
R01CA100040,Anderson,NCI,514475,2014,Cancer research project #40,10.1182/bld.2000040
R01CA100041,Anderson,NCI,738837,2002,Cancer research project #41,10.1182/bld.2000041
R01CA100042,Hahn,NCI,672003,2022,Cancer research project #42,10.1182/bld.2000042
R01CA100043,Hahn,NHLBI,848378,2009,Cancer research project #43,10.1182/bld.2000043
R01CA100044,Glimcher,NCI,937368,2003,Cancer research project #44,10.1182/bld.2000044
R01CA100045,Glimcher,NHLBI,1171121,2003,Cancer research project #45,10.1182/bld.2000045
R01CA100046,Hahn,NHLBI,806533,2019,Cancer research project #46,10.1182/bld.2000046
R01CA100047,Ghobrial,NIAID,454026,2005,Cancer research project #47,10.1182/bld.2000047
R01CA100048,Anderson,NIAID,428542,2021,Cancer research project #48,10.1182/bld.2000048
R01CA100049,Ghobrial,NHLBI,648738,2005,Cancer research project #49,10.1182/bld.2000049
R01CA100050,Anderson,NCI,263694,2019,Cancer research project #50,10.1182/bld.2000050
R01CA100051,Glimcher,NIAID,777721,2011,Cancer research project #51,10.1182/bld.2000051
R01CA100052,Hahn,NCI,1051421,2010,Cancer research project #52,10.1182/bld.2000052
R01CA100053,Anderson,NCI,738580,2007,Cancer research project #53,10.1182/bld.2000053
R01CA100054,Hahn,NCI,600546,2007,Cancer research project #54,10.1182/bld.2000054
R01CA100055,Anderson,NCI,747384,2019,Cancer research project #55,10.1182/bld.2000055
R01CA100056,Hahn,NIAID,795501,2005,Cancer research project #56,10.1182/bld.2000056
R01CA100057,Glimcher,NCI,656835,2008,Cancer research project #57,10.1182/bld.2000057
R01CA100058,Anderson,NHLBI,399195,2006,Cancer research project #58,10.1182/bld.2000058
R01CA100059,Glimcher,NHLBI,447631,2021,Cancer research project #59,10.1182/bld.2000059
R01CA100060,Anderson,NCI,992334,2019,Cancer research project #60,10.1182/bld.2000060
R01CA100061,Ghobrial,NIAID,320854,2008,Cancer research project #61,10.1182/bld.2000061
R01CA100062,Hahn,NIAID,963721,2015,Cancer research project #62,10.1182/bld.2000062
R01CA100063,Anderson,NCI,655454,2019,Cancer research project #63,10.1182/bld.2000063
R01CA100064,Ghobrial,NHLBI,1041608,2002,Cancer research project #64,10.1182/bld.2000064
R01CA100065,Hahn,NHLBI,922953,2006,Cancer research project #65,10.1182/bld.2000065
R01CA100066,Hahn,NHLBI,336212,2009,Cancer research project #66,10.1182/bld.2000066
R01CA100067,Anderson,NHLBI,398973,2020,Cancer research project #67,10.1182/bld.2000067
R01CA100068,Ghobrial,NHLBI,680494,2021,Cancer research project #68,10.1182/bld.2000068
R01CA100069,Glimcher,NHLBI,391823,2006,Cancer research project #69,10.1182/bld.2000069
R01CA100070,Hahn,NIAID,913665,2022,Cancer research project #70,10.1182/bld.2000070
R01CA100071,Anderson,NCI,288495,2006,Cancer research project #71,10.1182/bld.2000071
R01CA100072,Anderson,NIAID,1086395,2005,Cancer research project #72,10.1182/bld.2000072
R01CA100073,Ghobrial,NHLBI,439996,2021,Cancer research project #73,10.1182/bld.2000073
R01CA100074,Glimcher,NHLBI,999819,2020,Cancer research project #74,10.1182/bld.2000074
R01CA100075,Hahn,NHLBI,924526,2006,Cancer research project #75,10.1182/bld.2000075
R01CA100076,Ghobrial,NIAID,1003075,2015,Cancer research project #76,10.1182/bld.2000076
R01CA100077,Ghobrial,NCI,322458,2012,Cancer research project #77,10.1182/bld.2000077
R01CA100078,Ghobrial,NHLBI,731298,2015,Cancer research project #78,10.1182/bld.2000078
R01CA100079,Anderson,NHLBI,1187319,2006,Cancer research project #79,10.1182/bld.2000079
R01CA100080,Glimcher,NIAID,463813,2020,Cancer research project #80,10.1182/bld.2000080
R01CA100081,Glimcher,NIAID,682359,2012,Cancer research project #81,10.1182/bld.2000081
R01CA100082,Glimcher,NHLBI,538016,2022,Cancer research project #82,10.1182/bld.2000082
R01CA100083,Ghobrial,NHLBI,868056,2004,Cancer research project #83,10.1182/bld.2000083
R01CA100084,Anderson,NCI,338919,2004,Cancer research project #84,10.1182/bld.2000084
R01CA100085,Glimcher,NHLBI,338134,2022,Cancer research project #85,10.1182/bld.2000085
R01CA100086,Hahn,NHLBI,1048119,2016,Cancer research project #86,10.1182/bld.2000086
R01CA100087,Anderson,NCI,801336,2006,Cancer research project #87,10.1182/bld.2000087
R01CA100088,Ghobrial,NIAID,917738,2009,Cancer research project #88,10.1182/bld.2000088
R01CA100089,Glimcher,NHLBI,576553,2013,Cancer research project #89,10.1182/bld.2000089
R01CA100090,Anderson,NHLBI,814480,2018,Cancer research project #90,10.1182/bld.2000090
R01CA100091,Glimcher,NHLBI,664810,2013,Cancer research project #91,10.1182/bld.2000091
R01CA100092,Ghobrial,NCI,1180020,2005,Cancer research project #92,10.1182/bld.2000092
R01CA100093,Glimcher,NHLBI,941968,2019,Cancer research project #93,10.1182/bld.2000093
R01CA100094,Anderson,NHLBI,856215,2020,Cancer research project #94,10.1182/bld.2000094
R01CA100095,Anderson,NIAID,949959,2014,Cancer research project #95,10.1182/bld.2000095
R01CA100096,Hahn,NCI,352655,2022,Cancer research project #96,10.1182/bld.2000096
R01CA100097,Anderson,NIAID,837420,2005,Cancer research project #97,10.1182/bld.2000097
R01CA100098,Hahn,NIAID,505194,2016,Cancer research project #98,10.1182/bld.2000098
R01CA100099,Anderson,NHLBI,870129,2004,Cancer research project #99,10.1182/bld.2000099
R01CA100100,Ghobrial,NIAID,276881,2013,Cancer research project #100,10.1182/bld.2000100
R01CA100101,Anderson,NIAID,759192,2006,Cancer research project #101,10.1182/bld.2000101
R01CA100102,Ghobrial,NIAID,976127,2015,Cancer research project #102,10.1182/bld.2000102
R01CA100103,Ghobrial,NCI,1183778,2016,Cancer research project #103,10.1182/bld.2000103
R01CA100104,Hahn,NHLBI,431281,2018,Cancer research project #104,10.1182/bld.2000104
R01CA100105,Glimcher,NIAID,368436,2001,Cancer research project #105,10.1182/bld.2000105
R01CA100106,Glimcher,NIAID,793709,2015,Cancer research project #106,10.1182/bld.2000106
R01CA100107,Hahn,NIAID,1125997,2013,Cancer research project #107,10.1182/bld.2000107
R01CA100108,Glimcher,NHLBI,773211,2013,Cancer research project #108,10.1182/bld.2000108
R01CA100109,Ghobrial,NHLBI,266766,2018,Cancer research project #109,10.1182/bld.2000109
R01CA100110,Anderson,NCI,419828,2021,Cancer research project #110,10.1182/bld.2000110
R01CA100111,Glimcher,NIAID,473015,2008,Cancer research project #111,10.1182/bld.2000111
R01CA100112,Anderson,NHLBI,1158231,2022,Cancer research project #112,10.1182/bld.2000112
R01CA100113,Glimcher,NHLBI,1026690,2016,Cancer research project #113,10.1182/bld.2000113
R01CA100114,Glimcher,NCI,786246,2020,Cancer research project #114,10.1182/bld.2000114
R01CA100115,Anderson,NHLBI,1107757,2019,Cancer research project #115,10.1182/bld.2000115
R01CA100116,Hahn,NIAID,281348,2017,Cancer research project #116,10.1182/bld.2000116
R01CA100117,Anderson,NHLBI,1163987,2019,Cancer research project #117,10.1182/bld.2000117
R01CA100118,Anderson,NIAID,1149576,2004,Cancer research project #118,10.1182/bld.2000118
R01CA100119,Ghobrial,NIAID,381149,2011,Cancer research project #119,10.1182/bld.2000119
R01CA100120,Hahn,NHLBI,408268,2008,Cancer research project #120,10.1182/bld.2000120
R01CA100121,Glimcher,NHLBI,838688,2003,Cancer research project #121,10.1182/bld.2000121
R01CA100122,Hahn,NHLBI,456062,2002,Cancer research project #122,10.1182/bld.2000122
R01CA100123,Ghobrial,NHLBI,267526,2014,Cancer research project #123,10.1182/bld.2000123
R01CA100124,Glimcher,NHLBI,641720,2013,Cancer research project #124,10.1182/bld.2000124
R01CA100125,Ghobrial,NHLBI,912541,2014,Cancer research project #125,10.1182/bld.2000125
R01CA100126,Hahn,NIAID,1031114,2014,Cancer research project #126,10.1182/bld.2000126
R01CA100127,Ghobrial,NIAID,647953,2017,Cancer research project #127,10.1182/bld.2000127
R01CA100128,Ghobrial,NCI,763841,2021,Cancer research project #128,10.1182/bld.2000128
R01CA100129,Glimcher,NCI,662876,2022,Cancer research project #129,10.1182/bld.2000129
R01CA100130,Hahn,NCI,547031,2010,Cancer research project #130,10.1182/bld.2000130
R01CA100131,Hahn,NCI,863916,2012,Cancer research project #131,10.1182/bld.2000131
R01CA100132,Hahn,NIAID,251415,2010,Cancer research project #132,10.1182/bld.2000132
R01CA100133,Hahn,NCI,295187,2005,Cancer research project #133,10.1182/bld.2000133
R01CA100134,Hahn,NHLBI,1001799,2004,Cancer research project #134,10.1182/bld.2000134
R01CA100135,Anderson,NHLBI,330479,2002,Cancer research project #135,10.1182/bld.2000135
R01CA100136,Hahn,NHLBI,660567,2010,Cancer research project #136,10.1182/bld.2000136
R01CA100137,Hahn,NHLBI,783997,2018,Cancer research project #137,10.1182/bld.2000137
R01CA100138,Ghobrial,NHLBI,660289,2002,Cancer research project #138,10.1182/bld.2000138
R01CA100139,Ghobrial,NCI,619074,2016,Cancer research project #139,10.1182/bld.2000139
R01CA100140,Glimcher,NCI,1185540,2015,Cancer research project #140,10.1182/bld.2000140
R01CA100141,Ghobrial,NHLBI,517925,2019,Cancer research project #141,10.1182/bld.2000141
R01CA100142,Glimcher,NIAID,844103,2006,Cancer research project #142,10.1182/bld.2000142
R01CA100143,Anderson,NHLBI,592357,2020,Cancer research project #143,10.1182/bld.2000143
R01CA100144,Glimcher,NCI,689040,2006,Cancer research project #144,10.1182/bld.2000144
R01CA100145,Glimcher,NHLBI,495244,2022,Cancer research project #145,10.1182/bld.2000145
R01CA100146,Anderson,NHLBI,259249,2003,Cancer research project #146,10.1182/bld.2000146
R01CA100147,Anderson,NCI,921113,2007,Cancer research project #147,10.1182/bld.2000147
R01CA100148,Hahn,NHLBI,1005825,2019,Cancer research project #148,10.1182/bld.2000148
R01CA100149,Hahn,NIAID,788287,2003,Cancer research project #149,10.1182/bld.2000149
R01CA100150,Anderson,NHLBI,815620,2022,Cancer research project #150,10.1182/bld.2000150
