step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
663,CASH-OUT,198814.7,C6697162,956609.38,757794.68,C8202792,1001351.54,1200166.24,0,0
219,CASH-OUT,286514.65,C3652497,3350847.03,3064332.38,C6783670,1662607.38,1949122.03,0,0
458,CASH-OUT,122126.06,C2577453,2938233.56,2816107.5,C9050574,135938.11,258064.17,0,0
10,TRANSFER,157127.56,C8247664,2624772.85,2467645.29,C9745237,844742.28,1001869.84,0,0
105,PAYMENT,294049.31,C6968200,2450710.49,2156661.18,M595703,765384.63,1059433.94,0,0
174,CASH-OUT,363614.47,C8207388,120942.03,0,C5380944,1189437.51,1553051.98,0,0
450,CASH-OUT,104951.64,C1342790,1941428.53,1836476.89,C2283319,1812868.77,1917820.41,0,0
273,CASH-OUT,353851.74,C6875484,730778.51,376926.77,C6977126,891564.93,1245416.67,0,0
170,CASH-IN,154924.11,C6762918,4738881.81,4583957.7,C6994040,1765603.05,1920527.16,0,0
680,CASH-OUT,280155.59,C3902281,2132098.55,1851942.96,C6522443,48815.9,328971.49,0,0
522,DEBIT,47432.15,C1597482,535822.16,488390.01,C9101905,1994960.87,2042393.02,0,0
23,CASH-IN,10773.87,C7013217,2338543.58,2327769.71,C9163338,811534.07,822307.94,0,0
79,TRANSFER,128313.34,C9695836,2921300.38,2792987.04,C4868719,1747172.49,1747172.49,1,0
680,PAYMENT,548013.39,C3765891,4143723.87,3595710.48,M287697,1587202.51,2135215.9,0,0
285,CASH-OUT,65321.51,C9978579,2609791.54,2544470.03,C2451101,732195.0,797516.51,0,0
675,CASH-OUT,50621.61,C9044721,3661069.59,3610447.98,C8523838,1452232.81,1502854.42,0,0
99,CASH-OUT,23502.63,C9336448,1419470.6,1395967.97,C4918973,1585908.42,1609411.05,0,0
270,CASH-OUT,116541.64,C6278724,4511723.96,4395182.32,C4842949,59192.29,59192.29,1,0
571,CASH-IN,610204.88,C1421518,4311258.42,3701053.54,C8098722,1898035.99,2508240.87,0,0
692,TRANSFER,46592.9,C9167709,1524323.76,1477730.86,C5145304,471053.76,517646.66,0,0
120,DEBIT,120752.03,C9334681,4744157.96,4623405.93,C4031110,967434.93,1088186.96,0,0
419,CASH-IN,5451.28,C1601437,850083.38,844632.1,C1836898,1946644.55,1952095.83,0,0
503,CASH-OUT,113589.34,C2527187,2114204.13,2000614.79,C5694247,1804916.68,1918506.02,0,0
626,TRANSFER,113779.59,C3274754,2307868.86,2194089.27,C7162835,1749396.34,1863175.93,0,0
167,TRANSFER,444292.99,C5973655,4846655.72,4402362.73,C2923721,736716.94,1181009.93,0,1
264,CASH-IN,61660.17,C8415450,2063512.29,2001852.12,C4739133,1448447.62,1510107.79,0,0
178,DEBIT,146014.6,C9111358,3550334.12,3404319.52,C4127147,1342252.7,1488267.3,0,0
724,CASH-IN,218685.49,C8309672,1056266.87,837581.38,C7481537,791614.09,1010299.58,0,0
127,TRANSFER,300830.25,C6699394,1091372.39,790542.14,C6184518,1187433.29,1488263.54,0,1
557,CASH-OUT,90237.51,C3147205,585329.59,495092.08,C1433173,1169168.2,1259405.71,0,0
431,CASH-IN,57901.09,C3163258,3409725.5,3351824.41,C5027574,1054242.46,1112143.55,0,0
508,PAYMENT,222633.96,C9757483,3852177.4,3629543.44,M337021,863526.2,1086160.16,0,0
390,PAYMENT,700603.26,C4351588,185784.91,0,M319207,412341.3,1112944.56,0,0
437,CASH-IN,143556.52,C9789430,3021281.47,2877724.95,C7007479,1009020.1,1152576.62,0,0
531,PAYMENT,29941.0,C6065004,3487994.27,3458053.27,M575037,1796340.79,1826281.79,0,0
546,CASH-IN,183.7,C5498766,1475124.1,1474940.4,C7592492,1824923.97,1825107.67,0,0
238,PAYMENT,109163.19,C1270761,4262158.66,4152995.47,M529236,812866.28,922029.47,0,0
261,CASH-OUT,219012.14,C1679073,1154925.91,935913.77,C3015437,114209.99,333222.13,0,0
100,TRANSFER,308939.3,C2582075,3813945.29,3505005.99,C8375450,435609.13,744548.43,0,1
77,TRANSFER,60092.28,C6316150,1488338.78,1428246.5,C5866649,609522.5,669614.78,0,0
367,CASH-IN,40791.18,C1324198,2507439.87,2466648.69,C9346377,243284.8,284075.98,0,0
352,TRANSFER,491597.84,C2031456,4175073.78,3683475.94,C7331922,473998.15,965595.99,0,1
570,PAYMENT,156462.29,C1219806,4384424.09,4227961.8,M510371,971162.65,1127624.94,0,0
442,TRANSFER,538488.02,C7760765,3123666.26,2585178.24,C7274161,605949.39,605949.39,1,1
21,CASH-OUT,369322.57,C7418562,4297884.83,3928562.26,C9535801,1813716.34,2183038.91,0,0
379,CASH-OUT,588695.83,C9635562,4855406.91,4266711.08,C6741841,801717.32,1390413.15,0,0
530,CASH-OUT,98259.62,C8102367,952030.98,853771.36,C8325006,1198466.67,1296726.29,0,0
111,CASH-IN,115427.15,C4394053,1707969.09,1592541.94,C6672348,438718.8,554145.95,0,0
561,PAYMENT,72779.29,C3190488,2754049.69,2681270.4,M914534,706489.87,779269.16,0,0
64,CASH-IN,25743.72,C7379134,937048.79,911305.07,C7763821,1581012.6,1606756.32,0,0
565,CASH-IN,260167.11,C9432536,675276.1,415108.99,C8089997,1508427.84,1768594.95,0,0
218,CASH-OUT,347469.0,C3171377,606323.24,258854.24,C7732686,310591.02,310591.02,1,0
357,CASH-IN,266911.12,C7526136,3209667.73,2942756.61,C1342918,1864977.77,2131888.89,0,0
674,DEBIT,211034.12,C8922807,4564787.8,4353753.68,C9682203,942551.69,1153585.81,0,0
40,CASH-OUT,31413.82,C5590215,293990.53,262576.71,C1278094,1477994.02,1509407.84,0,0
489,TRANSFER,23150.91,C6141829,3591547.44,3568396.53,C2569821,1842812.78,1865963.69,0,0
234,CASH-IN,21100.74,C6919462,1281639.12,1260538.38,C2909386,839982.87,861083.61,0,0
510,CASH-OUT,216460.75,C8621737,4840827.2,4624366.45,C8393987,227359.19,443819.94,0,0
307,CASH-IN,4762.99,C8795071,455910.02,451147.03,C7889906,903299.65,908062.64,0,0
586,TRANSFER,63759.12,C8383401,2165206.83,2101447.71,C9553428,215678.94,279438.06,0,0
561,CASH-IN,36725.02,C3232888,2638533.44,2601808.42,C9378380,429643.91,466368.93,0,0
83,TRANSFER,370177.75,C4340376,1637581.92,1267404.17,C3934013,1205500.5,1205500.5,1,1
38,CASH-OUT,82635.69,C3994505,3415771.61,3333135.92,C2719719,1668174.41,1750810.1,0,0
238,PAYMENT,178687.65,C7276568,3939652.0,3760964.35,M557747,1624478.38,1803166.03,0,0
338,CASH-IN,69545.9,C1935410,3104111.36,3034565.46,C1745233,1748472.99,1818018.89,0,0
47,CASH-IN,375247.75,C1712788,4345126.73,3969878.98,C1914440,323300.23,698547.98,0,0
392,DEBIT,556429.79,C3853811,1308893.74,752463.95,C2738233,978635.39,1535065.18,0,0
264,CASH-OUT,188948.01,C3496306,4253747.56,4064799.55,C1637443,761397.31,950345.32,0,0
102,TRANSFER,118810.26,C8735571,4414117.84,4295307.58,C3915395,1848476.58,1967286.84,0,0
372,CASH-IN,103735.17,C9277033,2205056.65,2101321.48,C9872735,1339519.11,1443254.28,0,0
549,CASH-OUT,412529.8,C8328056,3068921.8,2656392.0,C7316918,1809703.72,2222233.52,0,0
589,CASH-OUT,47301.65,C8556360,2430441.81,2383140.16,C3929629,1048900.47,1096202.12,0,0
24,CASH-IN,177146.78,C9770689,1163705.05,986558.27,C7652078,493760.96,670907.74,0,0
439,CASH-OUT,133613.27,C2470162,820252.15,686638.88,C9008243,358004.83,491618.1,0,0
20,PAYMENT,525635.94,C4864063,4288705.05,3763069.11,M906492,1880738.5,2406374.44,0,0
435,CASH-OUT,32299.98,C7126676,2263088.36,2230788.38,C3471747,901117.35,933417.33,0,0
665,TRANSFER,73850.79,C8971329,3852152.28,3778301.49,C5898193,1018298.41,1092149.2,0,0
653,CASH-OUT,12711.92,C4371497,4015265.67,4002553.75,C7946995,1380837.01,1393548.93,0,0
520,CASH-OUT,6935.15,C4970110,235163.38,228228.23,C3403063,561333.13,568268.28,0,0
428,CASH-OUT,97294.96,C4070287,3608725.98,3511431.02,C5638702,244849.21,342144.17,0,0
395,TRANSFER,27488.86,C6378717,4556719.33,4529230.47,C6445755,872859.04,900347.9,0,0
503,CASH-IN,397470.81,C2401053,4863454.94,4465984.13,C5950672,562597.33,960068.14,0,0
514,PAYMENT,529682.86,C6450154,4664755.55,4135072.69,M208172,29127.19,558810.05,0,0
127,CASH-IN,11284.36,C9251584,2750731.43,2739447.07,C8138534,1075264.94,1086549.3,0,0
301,CASH-OUT,88459.35,C5743181,1683364.98,1594905.63,C8613197,1530164.39,1618623.74,0,0
289,CASH-IN,23526.82,C3478635,571728.34,548201.52,C8123426,700720.57,724247.39,0,0
694,TRANSFER,45749.02,C7818119,2677704.01,2631954.99,C3521011,1658223.39,1703972.41,0,0
87,DEBIT,846791.19,C1484176,279685.48,0,C6037301,88141.82,934933.01,0,0
582,CASH-OUT,48261.29,C3263957,3511977.5,3463716.21,C2268951,1754551.74,1802813.03,0,0
729,PAYMENT,69352.52,C8232956,1298437.5,1229084.98,M455927,1763066.32,1832418.84,0,0
28,CASH-IN,320229.69,C7710537,4362822.11,4042592.42,C6420859,1280205.53,1600435.22,0,0
670,CASH-IN,51621.19,C3937212,652361.53,600740.34,C5045781,112525.94,164147.13,0,0
164,PAYMENT,283748.56,C4235513,1258219.74,974471.18,M678415,1828111.36,2111859.92,0,0
664,PAYMENT,281590.22,C8779212,4731680.26,4450090.04,M405689,1131752.88,1413343.1,0,0
98,CASH-OUT,715696.5,C1162360,973387.2,257690.7,C5361409,747918.21,1463614.71,0,0
285,CASH-OUT,195149.64,C7822749,3471364.58,3276214.94,C1722809,56917.58,252067.22,0,0
721,TRANSFER,168252.61,C9193918,2329706.95,2161454.34,C1397849,61465.44,229718.05,0,0
140,CASH-OUT,180682.34,C1763873,4646276.95,4465594.61,C3645215,956874.55,1137556.89,0,0
309,CASH-IN,619471.09,C8602396,3022903.6,2403432.51,C8358257,65753.7,685224.79,0,0
128,CASH-IN,153813.61,C2229222,3176754.17,3022940.56,C6662473,1293009.45,1446823.06,0,0
520,DEBIT,162204.09,C1370740,4728399.78,4566195.69,C2466675,1302595.2,1464799.29,0,0
185,CASH-OUT,544981.06,C5578808,1858863.34,1313882.28,C8425237,101674.66,646655.72,0,0
726,DEBIT,18482.36,C2389876,333759.37,315277.01,C3130692,1860144.16,1878626.52,0,0
741,CASH-IN,248721.85,C5538713,1665817.34,1417095.49,C5746754,1086345.56,1335067.41,0,0
420,CASH-OUT,154057.58,C1154334,2279405.14,2125347.56,C5657149,2208.84,156266.42,0,0
443,CASH-OUT,172408.62,C2462911,3257363.96,3084955.34,C7231868,636486.58,808895.2,0,0
284,PAYMENT,98675.5,C3795785,2237584.5,2138909.0,M963291,211790.58,310466.08,0,0
625,CASH-IN,162951.54,C8307917,4045900.32,3882948.78,C7220168,5996.44,168947.98,0,0
595,CASH-OUT,5873.88,C7720383,4035751.75,4029877.87,C7380828,21225.11,27098.99,0,0
290,CASH-OUT,255496.49,C5428479,1869909.55,1614413.06,C5729422,1986765.25,2242261.74,0,0
563,CASH-IN,357316.87,C7016796,135511.32,0,C3748734,1930825.98,2288142.85,0,0
380,CASH-OUT,92576.24,C3020073,3561570.31,3468994.07,C3218746,1090676.13,1183252.37,0,0
671,DEBIT,71775.95,C9028228,3952755.97,3880980.02,C3076457,1517762.45,1589538.4,0,0
578,CASH-OUT,316649.93,C5509042,4390218.83,4073568.9,C7041320,1397362.83,1714012.76,0,0
476,TRANSFER,277829.55,C3834083,3115366.2,2837536.65,C2652950,893701.68,1171531.23,0,1
698,CASH-OUT,267439.46,C2468174,2767842.8,2500403.34,C9698953,211290.78,478730.24,0,0
600,TRANSFER,346750.44,C1192818,2594954.54,2248204.1,C7160676,1584965.23,1931715.67,0,1
57,CASH-IN,263431.31,C5648413,4493939.44,4230508.13,C3228231,825279.3,1088710.61,0,0
72,CASH-IN,95213.44,C4694391,898116.09,802902.65,C4463925,626826.16,722039.6,0,0
686,PAYMENT,218899.4,C6703874,3373574.63,3154675.23,M628708,647398.4,866297.8,0,0
514,CASH-OUT,59033.74,C8318714,3357159.57,3298125.83,C4393144,1817057.11,1876090.85,0,0
537,CASH-IN,66906.76,C5374882,2371465.12,2304558.36,C9632381,28419.26,95326.02,0,0
135,TRANSFER,69506.47,C5664298,4427645.43,4358138.96,C4409780,211872.38,281378.85,0,0
63,CASH-OUT,85067.89,C4271845,4103519.32,4018451.43,C1019266,875677.25,960745.14,0,0
161,CASH-IN,47444.54,C8064505,4585179.73,4537735.19,C6469732,1035586.58,1083031.12,0,0
604,CASH-IN,178174.57,C6895279,3799058.7,3620884.13,C8008920,1130751.28,1308925.85,0,0
603,PAYMENT,312754.23,C3023914,4606073.74,4293319.51,M506308,763092.35,1075846.58,0,0
730,TRANSFER,79983.01,C2332025,2181772.07,2101789.06,C5651561,1352303.59,1432286.6,0,0
326,CASH-IN,17514.56,C3832869,2237289.21,2219774.65,C4761504,797899.1,815413.66,0,0
177,PAYMENT,248572.88,C1781802,412018.94,163446.06,M147890,513524.37,762097.25,0,0
432,CASH-OUT,464783.37,C8758290,4533046.14,4068262.77,C1869395,1361964.5,1826747.87,0,0
272,PAYMENT,99804.74,C6226009,1260154.11,1160349.37,M416928,328376.44,428181.18,0,0
692,CASH-OUT,82255.46,C8508899,3160109.67,3077854.21,C1867224,1655978.72,1738234.18,0,0
207,CASH-IN,27473.5,C8778227,1686545.07,1659071.57,C6870609,1230841.64,1258315.14,0,0
111,TRANSFER,289658.2,C5774214,3431011.56,3141353.36,C3242076,123731.74,123731.74,1,1
269,CASH-IN,219791.59,C4010493,2309005.83,2089214.24,C4150970,774402.26,994193.85,0,0
269,TRANSFER,129851.71,C9786361,3440983.85,3311132.14,C3878338,613604.8,743456.51,0,0
496,PAYMENT,384807.46,C6594118,2503649.72,2118842.26,M410685,1837192.34,2221999.8,0,0
577,CASH-OUT,22871.75,C5908548,547452.21,524580.46,C3666907,634759.35,657631.1,0,0
358,TRANSFER,199252.58,C5301794,99140.94,0,C2607629,113493.29,312745.87,0,0
527,CASH-OUT,229108.44,C5944158,2334392.22,2105283.78,C2723355,214299.36,443407.8,0,0
106,PAYMENT,467956.05,C1583071,4897303.0,4429346.95,M202908,1471773.85,1939729.9,0,0
17,CASH-OUT,345739.18,C3727174,3470636.68,3124897.5,C3929343,1001359.91,1347099.09,0,0
596,CASH-IN,18854.8,C5572041,847366.63,828511.83,C7959226,1441413.79,1460268.59,0,0
678,DEBIT,41325.5,C3701216,4995449.3,4954123.8,C6554692,1706839.52,1748165.02,0,0
503,CASH-IN,349348.74,C6765321,731117.0,381768.26,C6907900,591422.39,940771.13,0,0
508,DEBIT,202892.33,C1604794,4069265.36,3866373.03,C9542493,1311176.65,1514068.98,0,0
561,TRANSFER,12178.05,C6019337,555796.0,543617.95,C4505840,607350.79,607350.79,1,0
51,CASH-OUT,159390.53,C1097802,2365662.12,2206271.59,C5358675,853735.64,1013126.17,0,0
413,CASH-IN,205391.92,C3367515,262578.56,57186.64,C2410077,1819874.19,2025266.11,0,0
651,CASH-OUT,77689.11,C7575899,2397012.49,2319323.38,C9640235,603834.56,681523.67,0,0
54,CASH-OUT,462307.35,C7970303,886869.94,424562.59,C2250870,1238230.38,1700537.73,0,0
594,PAYMENT,3921.2,C1557120,1094071.52,1090150.32,M470200,1819639.23,1823560.43,0,0
42,CASH-OUT,276032.97,C8361800,4648365.25,4372332.28,C5549871,414005.91,690038.88,0,0
435,PAYMENT,50373.19,C3649042,1149008.67,1098635.48,M421859,1314559.61,1364932.8,0,0
222,CASH-OUT,39982.51,C7113630,31756.74,0,C5056527,938730.22,978712.73,0,0
723,CASH-OUT,256785.07,C1786310,3513720.29,3256935.22,C9467184,1936169.99,2192955.06,0,0
215,TRANSFER,23988.14,C4986883,3692302.35,3668314.21,C9860549,1222798.43,1246786.57,0,0
163,CASH-OUT,28524.12,C5773743,3816267.13,3787743.01,C4303133,1784586.98,1813111.1,0,0
367,CASH-OUT,263074.23,C7637675,1770303.63,1507229.4,C4744036,1690586.41,1953660.64,0,0
556,CASH-OUT,237284.74,C5914551,3730014.31,3492729.57,C9158703,328983.29,566268.03,0,0
526,PAYMENT,134013.35,C7210276,2503907.12,2369893.77,M373659,34922.15,168935.5,0,0
718,CASH-IN,449545.22,C4234995,1384798.35,935253.13,C5075680,896148.71,1345693.93,0,0
520,CASH-OUT,138286.67,C9193600,1721827.18,1583540.51,C3650442,1772343.38,1910630.05,0,0
555,PAYMENT,118095.18,C6078794,607877.94,489782.76,M247423,45473.92,163569.1,0,0
612,CASH-OUT,155195.94,C9164744,4820151.68,4664955.74,C5578730,739393.81,894589.75,0,0
537,CASH-OUT,49512.48,C5614198,2089107.77,2039595.29,C8845659,896235.58,945748.06,0,0
435,CASH-IN,295981.37,C9877216,1109914.59,813933.22,C7182227,302987.72,598969.09,0,0
38,TRANSFER,189335.96,C4848364,2645743.28,2456407.32,C6351846,14374.39,203710.35,0,0
358,CASH-OUT,669520.36,C1632846,448480.5,0,C4594486,268045.56,937565.92,0,0
95,CASH-OUT,10180.99,C7426457,1125836.65,1115655.66,C8992642,196584.34,206765.33,0,0
133,CASH-OUT,496416.72,C2805488,2578599.52,2082182.8,C1384472,1582278.45,2078695.17,0,0
568,CASH-OUT,49362.39,C1075541,2336563.82,2287201.43,C5700956,490793.49,540155.88,0,0
685,PAYMENT,41041.48,C5604337,3635766.86,3594725.38,M486229,1239537.53,1280579.01,0,0
340,CASH-OUT,270405.65,C5805139,4765263.24,4494857.59,C2970654,1281431.08,1551836.73,0,0
339,CASH-OUT,243755.16,C9506532,3923185.45,3679430.29,C1661683,1110254.04,1354009.2,0,0
736,TRANSFER,32202.07,C8402422,4636195.47,4603993.4,C4608282,1514709.45,1546911.52,0,0
133,PAYMENT,4206.28,C3218576,2906435.75,2902229.47,M675981,1356354.12,1360560.4,0,0
467,CASH-OUT,80871.21,C1051694,4260000.59,4179129.38,C7856275,904493.3,985364.51,0,0
242,PAYMENT,151624.64,C8303081,3149402.27,2997777.63,M196452,53333.86,204958.5,0,0
411,CASH-OUT,70455.2,C8176258,2078798.34,2008343.14,C8141060,1730214.47,1800669.67,0,0
316,TRANSFER,69632.58,C5637209,4575920.84,4506288.26,C4151415,45073.89,114706.47,0,0
109,PAYMENT,622793.55,C5968479,973255.17,350461.62,M394069,254557.19,877350.74,0,0
664,CASH-OUT,39716.71,C5491846,2448555.18,2408838.47,C2656479,278328.96,318045.67,0,0
483,TRANSFER,946734.2,C6644409,1899398.08,952663.88,C7630776,1662969.54,2609703.74,0,1
118,TRANSFER,128735.78,C4087000,4515637.85,4386902.07,C7357974,230323.48,359059.26,0,0
422,CASH-OUT,39331.51,C5734364,2355966.03,2316634.52,C5412955,485871.8,525203.31,0,0
266,CASH-OUT,279183.16,C4612730,1885541.48,1606358.32,C1671671,1729292.61,2008475.77,0,0
10,DEBIT,5736.68,C6004508,3794494.35,3788757.67,C6728498,279783.11,285519.79,0,0
391,CASH-OUT,286622.4,C8109937,127394.65,0,C6013714,53905.46,340527.86,0,0
210,TRANSFER,92681.76,C2833788,38169.67,0,C8281330,1474397.87,1567079.63,0,0
635,PAYMENT,232450.71,C2997895,4494987.77,4262537.06,M303427,1092515.47,1324966.18,0,0
163,CASH-OUT,11027.71,C3052386,4687499.37,4676471.66,C1514210,1212254.68,1223282.39,0,0
630,CASH-IN,115378.25,C5151991,1338908.96,1223530.71,C3817282,272103.91,387482.16,0,0
249,TRANSFER,128235.56,C6254434,3111143.03,2982907.47,C7163163,662855.64,791091.2,0,0
484,CASH-IN,652158.88,C8594832,2471226.28,1819067.4,C6075452,1442895.65,2095054.53,0,0
115,CASH-OUT,171401.81,C7669893,3800818.84,3629417.03,C6902435,784570.19,784570.19,1,0
736,CASH-OUT,72643.31,C9211595,765264.24,692620.93,C8313211,1496574.66,1569217.97,0,0
10,PAYMENT,44008.33,C1701878,4468083.77,4424075.44,M862997,522040.02,566048.35,0,0
443,PAYMENT,47358.64,C3214385,344162.96,296804.32,M814207,334452.46,381811.1,0,0
630,PAYMENT,392628.73,C7153400,1437576.07,1044947.34,M602615,1195174.5,1587803.23,0,0
536,CASH-OUT,194725.67,C1505641,105913.11,0,C9683833,487299.0,682024.67,0,0
520,PAYMENT,114180.01,C3719530,4002832.66,3888652.65,M219706,724024.56,838204.57,0,0
272,CASH-OUT,129890.37,C4588192,1553466.49,1423576.12,C2304060,1031288.38,1161178.75,0,0
697,TRANSFER,90298.62,C6754632,3037971.91,2947673.29,C1478088,747900.0,838198.62,0,0
661,CASH-OUT,242741.36,C3636617,2758549.89,2515808.53,C7790920,865012.45,1107753.81,0,0
381,TRANSFER,122564.13,C7678965,367275.92,244711.79,C3425177,777865.09,777865.09,1,0
90,CASH-IN,45465.47,C9206177,36689.8,0,C2474761,352817.33,398282.8,0,0
235,CASH-OUT,75398.55,C4191501,3023174.91,2947776.36,C1461968,604222.94,679621.49,0,0
238,CASH-OUT,451274.64,C1472005,863297.12,412022.48,C1645493,810567.73,1261842.37,0,0
357,CASH-OUT,176761.71,C6451965,3642325.61,3465563.9,C1668059,1632996.39,1809758.1,0,0
712,CASH-OUT,19374.02,C4110453,1025666.67,1006292.65,C3289774,947336.73,966710.75,0,0
519,PAYMENT,64694.43,C9106489,1550116.64,1485422.21,M717893,165660.1,230354.53,0,0
98,CASH-OUT,14399.5,C2854948,2721633.78,2707234.28,C5899348,563005.01,577404.51,0,0
275,PAYMENT,149836.48,C3518643,4339381.75,4189545.27,M447028,147660.9,297497.38,0,0
332,PAYMENT,21695.82,C3517392,1296563.69,1274867.87,M687769,1736130.79,1757826.61,0,0
46,DEBIT,635498.45,C8650709,3299769.33,2664270.88,C2511387,1022096.68,1657595.13,0,0
271,PAYMENT,141973.67,C1215361,3003704.79,2861731.12,M560332,1353132.99,1495106.66,0,0
653,CASH-OUT,145003.55,C2964553,4456022.88,4311019.33,C3918667,1215736.27,1360739.82,0,0
647,DEBIT,102421.42,C3894892,3010732.31,2908310.89,C1637684,1591953.4,1694374.82,0,0
8,CASH-IN,1266.98,C7112337,1998190.12,1996923.14,C1402025,1425067.88,1426334.86,0,0
241,DEBIT,195757.12,C1289271,1389697.84,1193940.72,C1096286,730781.89,926539.01,0,0
538,CASH-OUT,218420.25,C2007287,4065580.23,3847159.98,C6158597,933735.81,1152156.06,0,0
583,CASH-IN,282057.41,C3522976,3490548.03,3208490.62,C2768811,252091.01,534148.42,0,0
184,CASH-IN,340343.27,C7687635,1634094.52,1293751.25,C3145091,981471.36,1321814.63,0,0
384,CASH-OUT,63218.32,C5698200,2724988.51,2661770.19,C4736122,1370064.08,1433282.4,0,0
197,TRANSFER,295242.34,C2028828,2713429.39,2418187.05,C2254247,1563625.48,1858867.82,0,1
515,CASH-OUT,78632.63,C1870542,4124127.97,4045495.34,C8598428,1266299.7,1344932.33,0,0
688,CASH-IN,87604.95,C3949592,3558589.84,3470984.89,C7175477,15211.62,102816.57,0,0
740,CASH-IN,257595.56,C1002897,3212484.07,2954888.51,C1569667,983362.27,1240957.83,0,0
140,TRANSFER,131772.76,C4227090,4953114.57,4821341.81,C9147223,1247742.93,1379515.69,0,0
720,PAYMENT,1611.36,C8461557,1130213.2,1128601.84,M700776,1106314.33,1107925.69,0,0
559,TRANSFER,91979.75,C4408312,159991.89,68012.14,C9199422,1722425.16,1814404.91,0,0
419,CASH-IN,226124.04,C3444856,2897723.51,2671599.47,C7615678,930076.57,1156200.61,0,0
225,CASH-OUT,69445.71,C8851054,4306685.67,4237239.96,C6228828,1540497.98,1609943.69,0,0
141,CASH-OUT,397965.84,C3328928,1667676.31,1269710.47,C8044124,863148.92,1261114.76,0,0
36,CASH-IN,60770.81,C2744907,865429.79,804658.98,C8460487,1138470.17,1199240.98,0,0
388,CASH-IN,70915.52,C7012840,1535099.0,1464183.48,C7832782,1882417.0,1953332.52,0,0
552,TRANSFER,218612.17,C4912794,1794685.58,1576073.41,C4229464,1594204.76,1812816.93,0,1
582,CASH-OUT,410271.55,C3760648,4377058.84,3966787.29,C4102476,1376517.66,1786789.21,0,0
183,CASH-OUT,42992.7,C3796482,3202423.61,3159430.91,C4330674,280697.57,323690.27,0,0
535,CASH-OUT,252194.76,C6798244,3756085.46,3503890.7,C6644700,1386871.11,1639065.87,0,0
