sample_id	ref_genome	variant_count	snp_count	indel_count	pass_rate	run_date
SAMPLE-0042	GRCh38.p14	4367	3883	484	0.88	2024-11-04
SAMPLE-0043	GRCh38.p14	4564	4024	540	0.919	2024-11-05
SAMPLE-0044	GRCh38.p14	4094	3851	243	0.942	2024-11-05
SAMPLE-0045	GRCh38.p14	5045	4629	416	0.906	2024-11-16
SAMPLE-0046	GRCh38.p14	4699	4339	360	0.89	2024-11-28
SAMPLE-0047	GRCh38.p14	5347	4780	567	0.952	2024-11-25
SAMPLE-0048	GRCh38.p14	3989	3678	311	0.926	2024-11-24
SAMPLE-0049	GRCh38.p14	4032	3771	261	0.871	2024-11-15
SAMPLE-0050	GRCh38.p14	4060	3685	375	0.932	2024-11-28
SAMPLE-0051	GRCh38.p14	4755	4268	487	0.947	2024-11-11
SAMPLE-0052	GRCh38.p14	3971	3562	409	0.887	2024-11-24
SAMPLE-0053	GRCh38.p14	5008	4693	315	0.958	2024-11-16
SAMPLE-0054	GRCh38.p14	6146	5450	696	0.936	2024-11-17
SAMPLE-0055	GRCh38.p14	6236	5808	428	0.976	2024-11-10
SAMPLE-0056	GRCh38.p14	4994	4639	355	0.928	2024-11-18
SAMPLE-0057	GRCh38.p14	4576	4047	529	0.96	2024-11-07
SAMPLE-0058	GRCh38.p14	5255	4648	607	0.942	2024-11-14
SAMPLE-0059	GRCh38.p14	4240	3988	252	0.942	2024-11-21
SAMPLE-0060	GRCh38.p14	5635	5158	477	0.974	2024-11-22
SAMPLE-0061	GRCh38.p14	6440	5985	455	0.922	2024-11-17
SAMPLE-0062	GRCh38.p14	5394	5077	317	0.878	2024-11-01
SAMPLE-0063	GRCh38.p14	3999	3704	295	0.875	2024-11-09
SAMPLE-0064	GRCh38.p14	6214	5823	391	0.95	2024-11-15
SAMPLE-0065	GRCh38.p14	4768	4328	440	0.906	2024-11-08
SAMPLE-0066	GRCh38.p14	6387	6029	358	0.942	2024-11-02
SAMPLE-0067	GRCh38.p14	5764	5142	622	0.911	2024-11-20
SAMPLE-0068	GRCh38.p14	4684	4377	307	0.939	2024-11-25
SAMPLE-0069	GRCh38.p14	6337	5872	465	0.964	2024-11-23
SAMPLE-0070	GRCh38.p14	4873	4371	502	0.971	2024-11-13
SAMPLE-0071	GRCh38.p14	5053	4664	389	0.961	2024-11-23
SAMPLE-0072	GRCh38.p14	3826	3410	416	0.892	2024-11-13
SAMPLE-0073	GRCh38.p14	4395	3895	500	0.889	2024-11-17
SAMPLE-0074	GRCh38.p14	5039	4653	386	0.911	2024-11-24
SAMPLE-0075	GRCh38.p14	5693	5401	292	0.979	2024-11-06
SAMPLE-0076	GRCh38.p14	5574	4985	589	0.907	2024-11-21
SAMPLE-0077	GRCh38.p14	6182	5735	447	0.899	2024-11-01
SAMPLE-0078	GRCh38.p14	5119	4689	430	0.974	2024-11-05
SAMPLE-0079	GRCh38.p14	5876	5253	623	0.936	2024-11-09
SAMPLE-0080	GRCh38.p14	5352	4768	584	0.913	2024-11-13
SAMPLE-0081	GRCh38.p14	5589	5098	491	0.943	2024-11-22
SAMPLE-0082	GRCh38.p14	4514	4183	331	0.938	2024-11-04
SAMPLE-0083	GRCh38.p14	4571	4334	237	0.894	2024-11-12
SAMPLE-0084	GRCh38.p14	6378	6029	349	0.948	2024-11-01
SAMPLE-0085	GRCh38.p14	4106	3757	349	0.874	2024-11-20
SAMPLE-0086	GRCh38.p14	5607	5209	398	0.896	2024-11-01
SAMPLE-0087	GRCh38.p14	6029	5367	662	0.977	2024-11-07
SAMPLE-0088	GRCh38.p14	5660	5127	533	0.87	2024-11-06
SAMPLE-0089	GRCh38.p14	4352	4003	349	0.97	2024-11-14
SAMPLE-0090	GRCh38.p14	5968	5603	365	0.904	2024-11-14
SAMPLE-0091	GRCh38.p14	5450	5132	318	0.897	2024-11-19
SAMPLE-0092	GRCh38.p14	6194	5851	343	0.967	2024-11-01
SAMPLE-0093	GRCh38.p14	6498	5983	515	0.879	2024-11-27
SAMPLE-0094	GRCh38.p14	6495	5801	694	0.877	2024-11-27
SAMPLE-0095	GRCh38.p14	5956	5494	462	0.938	2024-11-16
SAMPLE-0096	GRCh38.p14	5184	4617	567	0.887	2024-11-10
SAMPLE-0097	GRCh38.p14	5020	4642	378	0.871	2024-11-26
SAMPLE-0098	GRCh38.p14	4090	3790	300	0.89	2024-11-04
SAMPLE-0099	GRCh38.p14	4577	4143	434	0.909	2024-11-06
SAMPLE-0100	GRCh38.p14	3952	3639	313	0.9	2024-11-26
SAMPLE-0101	GRCh38.p14	6475	5879	596	0.874	2024-11-08
SAMPLE-0102	GRCh38.p14	5268	4834	434	0.915	2024-11-23
SAMPLE-0103	GRCh38.p14	4592	4274	318	0.928	2024-11-03
SAMPLE-0104	GRCh38.p14	5129	4810	319	0.894	2024-11-02
SAMPLE-0105	GRCh38.p14	5242	4835	407	0.94	2024-11-21
SAMPLE-0106	GRCh38.p14	4513	3978	535	0.911	2024-11-16
SAMPLE-0107	GRCh38.p14	4463	4197	266	0.919	2024-11-01
SAMPLE-0108	GRCh38.p14	4945	4586	359	0.894	2024-11-25
SAMPLE-0109	GRCh38.p14	6453	6086	367	0.929	2024-11-04
SAMPLE-0110	GRCh38.p14	5071	4600	471	0.974	2024-11-23
SAMPLE-0111	GRCh38.p14	5303	4670	633	0.909	2024-11-20
SAMPLE-0112	GRCh38.p14	4886	4507	379	0.953	2024-11-21
SAMPLE-0113	GRCh38.p14	4461	3982	479	0.977	2024-11-17
SAMPLE-0114	GRCh38.p14	5489	4909	580	0.98	2024-11-18
SAMPLE-0115	GRCh38.p14	4971	4644	327	0.951	2024-11-12
SAMPLE-0116	GRCh38.p14	4139	3711	428	0.936	2024-11-12
SAMPLE-0117	GRCh38.p14	6011	5572	439	0.965	2024-11-19
SAMPLE-0118	GRCh38.p14	4336	4117	219	0.97	2024-11-19
SAMPLE-0119	GRCh38.p14	3907	3707	200	0.951	2024-11-24
SAMPLE-0120	GRCh38.p14	4238	3792	446	0.929	2024-11-12
SAMPLE-0121	GRCh38.p14	5905	5318	587	0.888	2024-11-22
SAMPLE-0122	GRCh38.p14	5537	5110	427	0.921	2024-11-16
SAMPLE-0123	GRCh38.p14	4581	4239	342	0.898	2024-11-14
SAMPLE-0124	GRCh38.p14	5348	4789	559	0.922	2024-11-02
SAMPLE-0125	GRCh38.p14	6002	5642	360	0.893	2024-11-26
SAMPLE-0126	GRCh38.p14	5176	4767	409	0.958	2024-11-24
SAMPLE-0127	GRCh38.p14	4370	4069	301	0.979	2024-11-13
