sample_id,read1_path,read2_path,size_gb,md5_stub
SAMPLE-0046,/seq_data/raw/SAMPLE-0046_R1.fastq.gz,/seq_data/raw/SAMPLE-0046_R2.fastq.gz,6.55,47b4dd0b
SAMPLE-0047,/seq_data/raw/SAMPLE-0047_R1.fastq.gz,/seq_data/raw/SAMPLE-0047_R2.fastq.gz,4.38,b63455d1
SAMPLE-0048,/seq_data/raw/SAMPLE-0048_R1.fastq.gz,/seq_data/raw/SAMPLE-0048_R2.fastq.gz,7.13,d3fd64c0
SAMPLE-0049,/seq_data/raw/SAMPLE-0049_R1.fastq.gz,/seq_data/raw/SAMPLE-0049_R2.fastq.gz,4.61,cadc927c
SAMPLE-0050,/seq_data/raw/SAMPLE-0050_R1.fastq.gz,/seq_data/raw/SAMPLE-0050_R2.fastq.gz,3.16,1ee3e416
SAMPLE-0051,/seq_data/raw/SAMPLE-0051_R1.fastq.gz,/seq_data/raw/SAMPLE-0051_R2.fastq.gz,2.27,d1f8d1b6
SAMPLE-0052,/seq_data/raw/SAMPLE-0052_R1.fastq.gz,/seq_data/raw/SAMPLE-0052_R2.fastq.gz,6.76,ec5e6dc1
SAMPLE-0053,/seq_data/raw/SAMPLE-0053_R1.fastq.gz,/seq_data/raw/SAMPLE-0053_R2.fastq.gz,4.56,76d6110e
SAMPLE-0054,/seq_data/raw/SAMPLE-0054_R1.fastq.gz,/seq_data/raw/SAMPLE-0054_R2.fastq.gz,5.41,cc4e2ffe
SAMPLE-0055,/seq_data/raw/SAMPLE-0055_R1.fastq.gz,/seq_data/raw/SAMPLE-0055_R2.fastq.gz,2.61,01f5730d
SAMPLE-0056,/seq_data/raw/SAMPLE-0056_R1.fastq.gz,/seq_data/raw/SAMPLE-0056_R2.fastq.gz,6.52,6ef1d168
SAMPLE-0057,/seq_data/raw/SAMPLE-0057_R1.fastq.gz,/seq_data/raw/SAMPLE-0057_R2.fastq.gz,6.7,f4440529
SAMPLE-0058,/seq_data/raw/SAMPLE-0058_R1.fastq.gz,/seq_data/raw/SAMPLE-0058_R2.fastq.gz,3.16,f6f072e3
SAMPLE-0059,/seq_data/raw/SAMPLE-0059_R1.fastq.gz,/seq_data/raw/SAMPLE-0059_R2.fastq.gz,2.51,2c5610c6
SAMPLE-0060,/seq_data/raw/SAMPLE-0060_R1.fastq.gz,/seq_data/raw/SAMPLE-0060_R2.fastq.gz,6.63,ea4e5472
SAMPLE-0061,/seq_data/raw/SAMPLE-0061_R1.fastq.gz,/seq_data/raw/SAMPLE-0061_R2.fastq.gz,5.27,d5cd799e
SAMPLE-0062,/seq_data/raw/SAMPLE-0062_R1.fastq.gz,/seq_data/raw/SAMPLE-0062_R2.fastq.gz,6.96,03ee7580
SAMPLE-0063,/seq_data/raw/SAMPLE-0063_R1.fastq.gz,/seq_data/raw/SAMPLE-0063_R2.fastq.gz,6.63,e6804da7
SAMPLE-0064,/seq_data/raw/SAMPLE-0064_R1.fastq.gz,/seq_data/raw/SAMPLE-0064_R2.fastq.gz,8.3,0c8341ae
SAMPLE-0065,/seq_data/raw/SAMPLE-0065_R1.fastq.gz,/seq_data/raw/SAMPLE-0065_R2.fastq.gz,2.28,23b25fe0
SAMPLE-0066,/seq_data/raw/SAMPLE-0066_R1.fastq.gz,/seq_data/raw/SAMPLE-0066_R2.fastq.gz,5.04,0ab2dd26
SAMPLE-0067,/seq_data/raw/SAMPLE-0067_R1.fastq.gz,/seq_data/raw/SAMPLE-0067_R2.fastq.gz,8.09,4342c9f9
SAMPLE-0068,/seq_data/raw/SAMPLE-0068_R1.fastq.gz,/seq_data/raw/SAMPLE-0068_R2.fastq.gz,6.79,d6f63c91
SAMPLE-0069,/seq_data/raw/SAMPLE-0069_R1.fastq.gz,/seq_data/raw/SAMPLE-0069_R2.fastq.gz,2.59,e6f01d2f
SAMPLE-0070,/seq_data/raw/SAMPLE-0070_R1.fastq.gz,/seq_data/raw/SAMPLE-0070_R2.fastq.gz,5.96,63a09f05
SAMPLE-0071,/seq_data/raw/SAMPLE-0071_R1.fastq.gz,/seq_data/raw/SAMPLE-0071_R2.fastq.gz,5.42,19d0d4d1
SAMPLE-0072,/seq_data/raw/SAMPLE-0072_R1.fastq.gz,/seq_data/raw/SAMPLE-0072_R2.fastq.gz,4.43,5bc79f60
SAMPLE-0073,/seq_data/raw/SAMPLE-0073_R1.fastq.gz,/seq_data/raw/SAMPLE-0073_R2.fastq.gz,2.71,51779bc9
SAMPLE-0074,/seq_data/raw/SAMPLE-0074_R1.fastq.gz,/seq_data/raw/SAMPLE-0074_R2.fastq.gz,2.17,682743dc
SAMPLE-0075,/seq_data/raw/SAMPLE-0075_R1.fastq.gz,/seq_data/raw/SAMPLE-0075_R2.fastq.gz,4.89,9a82d97d
SAMPLE-0076,/seq_data/raw/SAMPLE-0076_R1.fastq.gz,/seq_data/raw/SAMPLE-0076_R2.fastq.gz,2.87,73263a65
SAMPLE-0077,/seq_data/raw/SAMPLE-0077_R1.fastq.gz,/seq_data/raw/SAMPLE-0077_R2.fastq.gz,6.37,bc76a32a
SAMPLE-0078,/seq_data/raw/SAMPLE-0078_R1.fastq.gz,/seq_data/raw/SAMPLE-0078_R2.fastq.gz,8.17,edcc2bd5
SAMPLE-0079,/seq_data/raw/SAMPLE-0079_R1.fastq.gz,/seq_data/raw/SAMPLE-0079_R2.fastq.gz,3.75,cf242b0a
SAMPLE-0080,/seq_data/raw/SAMPLE-0080_R1.fastq.gz,/seq_data/raw/SAMPLE-0080_R2.fastq.gz,4.34,dc536c36
SAMPLE-0081,/seq_data/raw/SAMPLE-0081_R1.fastq.gz,/seq_data/raw/SAMPLE-0081_R2.fastq.gz,2.88,cdf6c28e
SAMPLE-0082,/seq_data/raw/SAMPLE-0082_R1.fastq.gz,/seq_data/raw/SAMPLE-0082_R2.fastq.gz,6.48,0b69f85b
SAMPLE-0083,/seq_data/raw/SAMPLE-0083_R1.fastq.gz,/seq_data/raw/SAMPLE-0083_R2.fastq.gz,6.4,a851a247
SAMPLE-0084,/seq_data/raw/SAMPLE-0084_R1.fastq.gz,/seq_data/raw/SAMPLE-0084_R2.fastq.gz,6.86,89b0f25c
SAMPLE-0085,/seq_data/raw/SAMPLE-0085_R1.fastq.gz,/seq_data/raw/SAMPLE-0085_R2.fastq.gz,5.03,bd308572
SAMPLE-0086,/seq_data/raw/SAMPLE-0086_R1.fastq.gz,/seq_data/raw/SAMPLE-0086_R2.fastq.gz,7.44,003d756e
SAMPLE-0087,/seq_data/raw/SAMPLE-0087_R1.fastq.gz,/seq_data/raw/SAMPLE-0087_R2.fastq.gz,6.89,5a3d23dc
SAMPLE-0088,/seq_data/raw/SAMPLE-0088_R1.fastq.gz,/seq_data/raw/SAMPLE-0088_R2.fastq.gz,7.34,1e929863
SAMPLE-0089,/seq_data/raw/SAMPLE-0089_R1.fastq.gz,/seq_data/raw/SAMPLE-0089_R2.fastq.gz,5.12,2e19e5bf
SAMPLE-0090,/seq_data/raw/SAMPLE-0090_R1.fastq.gz,/seq_data/raw/SAMPLE-0090_R2.fastq.gz,6.96,68eda8c4
SAMPLE-0091,/seq_data/raw/SAMPLE-0091_R1.fastq.gz,/seq_data/raw/SAMPLE-0091_R2.fastq.gz,4.13,12f6d9bd
SAMPLE-0092,/seq_data/raw/SAMPLE-0092_R1.fastq.gz,/seq_data/raw/SAMPLE-0092_R2.fastq.gz,5.97,6c1fd0a8
SAMPLE-0093,/seq_data/raw/SAMPLE-0093_R1.fastq.gz,/seq_data/raw/SAMPLE-0093_R2.fastq.gz,7.6,92d21976
SAMPLE-0094,/seq_data/raw/SAMPLE-0094_R1.fastq.gz,/seq_data/raw/SAMPLE-0094_R2.fastq.gz,2.57,e04ef600
SAMPLE-0095,/seq_data/raw/SAMPLE-0095_R1.fastq.gz,/seq_data/raw/SAMPLE-0095_R2.fastq.gz,2.78,514991ee
SAMPLE-0096,/seq_data/raw/SAMPLE-0096_R1.fastq.gz,/seq_data/raw/SAMPLE-0096_R2.fastq.gz,2.73,c710f8f5
SAMPLE-0097,/seq_data/raw/SAMPLE-0097_R1.fastq.gz,/seq_data/raw/SAMPLE-0097_R2.fastq.gz,3.0,30a01858
SAMPLE-0098,/seq_data/raw/SAMPLE-0098_R1.fastq.gz,/seq_data/raw/SAMPLE-0098_R2.fastq.gz,4.12,cb7697aa
SAMPLE-0099,/seq_data/raw/SAMPLE-0099_R1.fastq.gz,/seq_data/raw/SAMPLE-0099_R2.fastq.gz,2.58,5146ef81
SAMPLE-0100,/seq_data/raw/SAMPLE-0100_R1.fastq.gz,/seq_data/raw/SAMPLE-0100_R2.fastq.gz,2.63,28f3fb8f
SAMPLE-0101,/seq_data/raw/SAMPLE-0101_R1.fastq.gz,/seq_data/raw/SAMPLE-0101_R2.fastq.gz,7.97,04a959c8
SAMPLE-0102,/seq_data/raw/SAMPLE-0102_R1.fastq.gz,/seq_data/raw/SAMPLE-0102_R2.fastq.gz,4.3,ec5625e7
SAMPLE-0103,/seq_data/raw/SAMPLE-0103_R1.fastq.gz,/seq_data/raw/SAMPLE-0103_R2.fastq.gz,8.35,d441a4a3
SAMPLE-0104,/seq_data/raw/SAMPLE-0104_R1.fastq.gz,/seq_data/raw/SAMPLE-0104_R2.fastq.gz,6.48,eab060d9
SAMPLE-0105,/seq_data/raw/SAMPLE-0105_R1.fastq.gz,/seq_data/raw/SAMPLE-0105_R2.fastq.gz,4.56,811d7a53
SAMPLE-0106,/seq_data/raw/SAMPLE-0106_R1.fastq.gz,/seq_data/raw/SAMPLE-0106_R2.fastq.gz,2.46,f54d5d86
SAMPLE-0107,/seq_data/raw/SAMPLE-0107_R1.fastq.gz,/seq_data/raw/SAMPLE-0107_R2.fastq.gz,6.45,01d7e7e8
SAMPLE-0108,/seq_data/raw/SAMPLE-0108_R1.fastq.gz,/seq_data/raw/SAMPLE-0108_R2.fastq.gz,6.28,96f1d83b
SAMPLE-0109,/seq_data/raw/SAMPLE-0109_R1.fastq.gz,/seq_data/raw/SAMPLE-0109_R2.fastq.gz,6.28,ee7a4a78
SAMPLE-0110,/seq_data/raw/SAMPLE-0110_R1.fastq.gz,/seq_data/raw/SAMPLE-0110_R2.fastq.gz,6.84,ac5aae1e
SAMPLE-0111,/seq_data/raw/SAMPLE-0111_R1.fastq.gz,/seq_data/raw/SAMPLE-0111_R2.fastq.gz,4.57,bc3f133f
SAMPLE-0112,/seq_data/raw/SAMPLE-0112_R1.fastq.gz,/seq_data/raw/SAMPLE-0112_R2.fastq.gz,7.61,3712e2ed
SAMPLE-0113,/seq_data/raw/SAMPLE-0113_R1.fastq.gz,/seq_data/raw/SAMPLE-0113_R2.fastq.gz,5.52,306af19a
SAMPLE-0114,/seq_data/raw/SAMPLE-0114_R1.fastq.gz,/seq_data/raw/SAMPLE-0114_R2.fastq.gz,8.1,854c6455
SAMPLE-0115,/seq_data/raw/SAMPLE-0115_R1.fastq.gz,/seq_data/raw/SAMPLE-0115_R2.fastq.gz,3.7,f6a8e3b3
SAMPLE-0116,/seq_data/raw/SAMPLE-0116_R1.fastq.gz,/seq_data/raw/SAMPLE-0116_R2.fastq.gz,4.38,7a703a60
SAMPLE-0117,/seq_data/raw/SAMPLE-0117_R1.fastq.gz,/seq_data/raw/SAMPLE-0117_R2.fastq.gz,5.42,0913751e
SAMPLE-0118,/seq_data/raw/SAMPLE-0118_R1.fastq.gz,/seq_data/raw/SAMPLE-0118_R2.fastq.gz,3.01,22ca6ad5
SAMPLE-0119,/seq_data/raw/SAMPLE-0119_R1.fastq.gz,/seq_data/raw/SAMPLE-0119_R2.fastq.gz,5.53,9b7f014e
SAMPLE-0120,/seq_data/raw/SAMPLE-0120_R1.fastq.gz,/seq_data/raw/SAMPLE-0120_R2.fastq.gz,2.78,2286bff9
SAMPLE-0121,/seq_data/raw/SAMPLE-0121_R1.fastq.gz,/seq_data/raw/SAMPLE-0121_R2.fastq.gz,3.04,4b3e3e3b
SAMPLE-0122,/seq_data/raw/SAMPLE-0122_R1.fastq.gz,/seq_data/raw/SAMPLE-0122_R2.fastq.gz,5.47,ef80781f
SAMPLE-0123,/seq_data/raw/SAMPLE-0123_R1.fastq.gz,/seq_data/raw/SAMPLE-0123_R2.fastq.gz,6.69,e97819e4
SAMPLE-0124,/seq_data/raw/SAMPLE-0124_R1.fastq.gz,/seq_data/raw/SAMPLE-0124_R2.fastq.gz,4.1,b70b6463
SAMPLE-0125,/seq_data/raw/SAMPLE-0125_R1.fastq.gz,/seq_data/raw/SAMPLE-0125_R2.fastq.gz,2.88,62f894dc
SAMPLE-0126,/seq_data/raw/SAMPLE-0126_R1.fastq.gz,/seq_data/raw/SAMPLE-0126_R2.fastq.gz,5.86,c943a280
SAMPLE-0127,/seq_data/raw/SAMPLE-0127_R1.fastq.gz,/seq_data/raw/SAMPLE-0127_R2.fastq.gz,3.09,f3f66c4b
