transaction_id,customer_id,date,order_value
TXN00000229,CUST002502,2023-05-13,386.91
TXN00000230,CUST004958,9/23/2023,459.59
TXN00000231,CUST004498,5/28/2024,148.50
TXN00000232,CUST007588,2023-12-13,36.20
TXN00000233,CUST005069,2024-06-30,389.81
TXN00000234,CUST004733,2023-06-23,133.12
TXN00000235,CUST005155,2023-03-15,318.54
TXN00000236,CUST006378,2023-11-13,111.37
TXN00000237,CUST004606,2024-11-15,149.31
TXN00000238,CUST001762,2024-03-25,178.35
TXN00000239,CUST002274,2024-11-18,33.07
TXN00000240,CUST004492,2023-05-24,126.33
TXN00000241,CUST004613,2023-12-12,223.70
TXN00000242,CUST000885,2024-06-21,165.53
TXN00000243,CUST000572,2023-09-26,97.73
TXN00000244,CUST003528,4/12/2024,139.03
TXN00000245,CUST008393,2024-12-01,63.82
TXN00000246,CUST006615,2024-01-01,148.65
TXN00000247,CUST007355,6/12/2023,11.46
TXN00000248,CUST003637,2024-03-24,69.32
TXN00000249,CUST000916,2023-08-30,456.55
TXN00000250,CUST005969,2023-10-28,197.34
TXN00000251,CUST001053,2023-07-18,14.20
TXN00000252,CUST002421,2023-05-06,364.36
TXN00000253,CUST000106,2023-03-02,189.80
TXN00000254,CUST008386,2024-01-03,102.48
TXN00000255,CUST000406,2024-12-10,50.38
TXN00000256,CUST006287,2024-09-06,119.51
TXN00000257,CUST002978,2023-06-27,43.82
TXN00000258,CUST000310,2024-02-17,104.44
TXN00000259,CUST007536,2023-10-17,156.19
TXN00000260,CUST007730,2024-12-19,48.89
TXN00000261,CUST000377,2023-07-28,210.66
TXN00000262,CUST007830,2024-04-09,365.50
TXN00000263,CUST006170,2023-12-21,18.37
TXN00000264,CUST003298,2023-06-27,135.19
TXN00000265,CUST003066,2024-08-21,59.51
TXN00000266,CUST001342,2023-01-15,194.50
TXN00000267,CUST005698,2024-08-05,155.50
TXN00000268,CUST008101,2024-02-02,44.40
TXN00000269,CUST001517,2024-03-18,181.23
TXN00000270,CUST000882,2024-12-20,87.26
TXN00000271,CUST002846,2024-09-13,398.89
TXN00000272,CUST004356,2024-08-07,108.96
TXN00000273,CUST000647,2023-11-05,134.18
TXN00000274,CUST000981,2024-01-02,362.32
TXN00000275,CUST000712,2024-06-29,383.38
TXN00000276,CUST000733,2023-05-11,281.72
TXN00000277,CUST002956,2024-07-25,187.55
TXN00000278,CUST007514,2024-02-25,61.37
TXN00000279,CUST008183,2023-02-23,146.06
TXN00000280,CUST003234,2024-05-07,141.85
TXN00000281,CUST006080,2023-11-28,491.31
TXN00000282,CUST000768,2023-04-29,121.26
TXN00000283,CUST005345,2023-09-18,183.54
TXN00000284,CUST004096,2024-04-28,173.31
TXN00000285,CUST003683,2023-11-28,76.08
TXN00000286,CUST006954,2024-12-16,172.27
TXN00000287,CUST001660,2024-01-24,65.35
TXN00000288,CUST008088,2023-03-12,43.73
TXN00000289,CUST008091,2024-01-01,78.64
TXN00000290,CUST001121,2024-10-07,331.20
TXN00000291,CUST007073,2023-02-25,473.00
TXN00000292,CUST003914,2023-03-03,44.12
TXN00000293,CUST000070,2024-07-14,56.67
TXN00000294,CUST000593,2024-07-04,314.35
TXN00000295,CUST003017,11/26/2023,54.99
TXN00000296,CUST002027,2023-10-07,130.50
TXN00000297,CUST001099,2023-01-19,76.63
TXN00000298,CUST007195,2024-06-20,53.40
TXN00000299,CUST002723,2023-01-19,180.83
TXN00000300,CUST003429,2024-06-13,177.77
TXN00000301,CUST000894,2024-02-15,97.29
TXN00000302,CUST005105,2023-04-05,192.72
TXN00000303,CUST001817,2024-09-05,48.54
TXN00000304,CUST005355,2023-12-27,21.70
TXN00000305,CUST006255,2023-03-26,80.72
TXN00000306,CUST008033,2024-08-02,180.74
TXN00000307,CUST003019,2024-03-01,149.08
TXN00000308,CUST004628,2023-11-12,165.10
TXN00000309,CUST007928,2023-08-20,81.67
TXN00000310,CUST004524,2023-11-19,185.97
TXN00000311,CUST005593,2024-08-11,328.12
TXN00000312,CUST000617,2024-05-04,73.17
TXN00000313,CUST000049,4/8/2024,108.15
TXN00000314,CUST005345,2023-07-08,35.60
TXN00000315,CUST001706,2023-06-05,194.22
TXN00000316,CUST005420,2024-06-12,81.99
TXN00000317,CUST008082,2023-11-13,65.51
TXN00000318,CUST004255,2023-05-24,119.86
TXN00000319,CUST000798,2023-04-09,163.57
TXN00000320,CUST000867,2023-08-25,133.37
TXN00000321,CUST001064,2023-11-24,12.22
TXN00000322,CUST003181,2023-06-27,311.93
TXN00000323,CUST005553,2024-03-07,23.09
TXN00000324,CUST006938,10/31/2023,58.10
TXN00000325,CUST002613,2023-12-14,36.53
TXN00000326,CUST005569,2023-11-13,95.44
TXN00000327,CUST004175,2024-07-23,183.96
TXN00000328,CUST004169,2024-01-11,55.91
TXN00000329,CUST006132,11/23/2024,96.66
TXN00000330,CUST002443,10/20/2024,49.11
TXN00000331,CUST007452,2023-06-14,466.24
TXN00000332,CUST000669,2023-01-16,34.68
TXN00000333,CUST001826,2024-02-08,47.56
TXN00000334,CUST003040,2023-02-06,80.27
TXN00000335,CUST003949,2024-12-13,82.48
TXN00000336,CUST006825,2024-01-11,143.46
TXN00000337,CUST008320,2023-10-12,210.47
TXN00000338,CUST007819,2024-12-07,140.46
TXN00000339,CUST000297,2023-11-20,114.77
TXN00000340,CUST002068,2023-02-01,43.11
TXN00000341,CUST007275,2023-01-10,130.48
TXN00000342,CUST002701,2024-03-06,178.15
TXN00000343,CUST005998,2024-09-21,193.00
TXN00000344,CUST005487,2024-01-17,110.23
TXN00000345,CUST005312,2024-07-12,154.36
TXN00000346,CUST006247,2023-07-21,128.31
TXN00000347,CUST003035,2024-11-28,157.82
TXN00000348,CUST007814,2023-10-08,432.05
TXN00000349,CUST001690,2023-09-26,283.90
TXN00000350,CUST005871,2023-01-05,489.36
TXN00000351,CUST002373,2024-02-23,382.99
TXN00000352,CUST001415,2024-06-24,240.33
TXN00000353,CUST003335,2023-09-17,158.31
TXN00000354,CUST000042,2024-04-29,31.05
TXN00000355,CUST007315,2024-09-04,55.62
TXN00000356,CUST001150,2024-10-16,92.50
TXN00000357,CUST003753,2023-09-28,105.45
TXN00000358,CUST004354,2023-10-08,295.36
TXN00000359,CUST002188,2024-05-09,216.91
TXN00000360,CUST006582,2023-03-22,151.76
TXN00000361,CUST004048,2024-04-27,171.45
TXN00000362,CUST004798,2023-12-22,82.46
TXN00000363,CUST007546,2024-05-12,150.30
TXN00000364,CUST003612,2024-03-12,79.03
TXN00000365,CUST007835,2023-03-18,51.72
TXN00000366,CUST007210,2024-10-18,66.83
TXN00000367,CUST000098,2024-04-14,102.72
TXN00000368,CUST001801,2023-12-08,215.28
TXN00000369,CUST001812,2023-11-13,29.04
TXN00000370,CUST008258,2023-02-25,338.88
TXN00000371,CUST001410,2024-04-16,32.45
TXN00000372,CUST006062,2024-03-27,54.34
TXN00000373,CUST000570,2023-12-13,61.17
TXN00000374,CUST001920,2023-07-16,198.11
TXN00000375,CUST001527,2023-04-21,154.29
TXN00000376,CUST006483,2024-04-19,224.64
TXN00000377,CUST001874,2023-09-01,36.64
TXN00000378,CUST000685,2024-03-09,167.33
TXN00000379,CUST002459,2024-03-21,74.54
TXN00000380,CUST003372,2024-05-20,83.40
TXN00000381,CUST005151,12/8/2023,377.72
TXN00000382,CUST004236,2024-02-11,40.78
TXN00000383,CUST001917,2024-02-02,57.21
TXN00000384,CUST007840,2023-12-15,59.99
TXN00000385,CUST004563,2023-08-19,168.79
TXN00000386,CUST007753,2024-08-21,60.66
TXN00000387,CUST001981,2024-11-09,123.16
TXN00000388,CUST000807,2024-08-16,326.53
TXN00000389,CUST007880,2023-01-13,95.57
TXN00000390,CUST005361,2023-05-23,188.63
TXN00000391,CUST005382,2023-12-29,88.37
TXN00000392,CUST004522,2024-01-19,171.94
TXN00000393,CUST002360,2023-05-26,101.75
TXN00000394,CUST005139,2023-06-19,53.30
TXN00000395,CUST007773,2024-09-14,132.69
TXN00000396,CUST003566,2024-08-18,39.30
TXN00000397,CUST001237,2024-11-04,137.35
TXN00000398,CUST005314,2024-02-26,199.35
TXN00000399,CUST002342,2023-09-09,448.25
TXN00000400,CUST005260,2024-06-27,99.85
TXN00000401,CUST004149,9/13/2024,26.41
TXN00000402,CUST002876,2024-11-08,168.37
TXN00000403,CUST006559,2023-10-03,296.54
TXN00000404,CUST004657,2023-01-12,36.44
TXN00000405,CUST000195,2024-03-14,239.21
TXN00000406,CUST006286,2023-12-30,49.30
TXN00000407,CUST006284,2024-07-21,117.72
TXN00000408,CUST005507,2023-02-14,202.90
TXN00000409,CUST006387,2024-10-22,63.39
TXN00000410,CUST004593,2023-07-06,71.87
TXN00000411,CUST004504,2024-11-08,54.14
TXN00000412,CUST000355,2024-04-19,48.94
TXN00000413,CUST001556,2023-01-29,299.93
TXN00000414,CUST003150,2023-07-10,163.23
TXN00000415,CUST008039,6/11/2023,261.30
TXN00000416,CUST002134,2024-08-21,179.52
TXN00000417,CUST001248,2024-06-07,51.04
TXN00000418,CUST007855,2024-12-15,125.26
TXN00000419,CUST000450,2023-06-02,52.72
TXN00000420,CUST007348,2024-03-07,28.47
TXN00000421,CUST007898,2024-12-14,30.59
TXN00000422,CUST000730,2023-09-16,159.33
TXN00000423,CUST000123,2024-02-24,246.85
TXN00000424,CUST008247,2023-06-02,144.75
TXN00000425,CUST005688,2023-03-21,28.65
TXN00000426,CUST004716,2023-11-24,122.19
TXN00000427,CUST001981,2024-08-05,186.94
TXN00000428,CUST003384,2024-03-16,34.81
TXN00000429,CUST002352,2024-07-11,484.60
TXN00000430,CUST000340,4/5/2024,196.87
TXN00000431,CUST000945,2024-07-28,55.59
TXN00000432,CUST002796,2023-06-03,35.02
TXN00000433,CUST006692,2023-08-03,137.58
TXN00000434,CUST006752,2024-06-06,148.62
TXN00000435,CUST000301,2023-06-29,25.44
TXN00000436,CUST000858,2024-04-03,27.95
TXN00000437,CUST003560,2024-09-22,89.53
TXN00000438,CUST001005,2/19/2023,78.22
TXN00000439,CUST008157,2023-05-21,169.42
TXN00000440,CUST006308,2023-02-24,115.48
TXN00000441,CUST007289,2024-02-19,312.45
TXN00000442,CUST000194,2023-04-12,188.67
TXN00000443,CUST003908,2024-01-23,85.33
TXN00000444,CUST000953,2024-12-10,67.01
TXN00000445,CUST005321,2024-10-30,16.38
TXN00000446,CUST000813,2024-10-27,197.37
TXN00000447,CUST001370,2024-08-16,73.36
TXN00000448,CUST005679,2023-02-20,52.38
TXN00000449,CUST004833,3/25/2024,100.72
TXN00000450,CUST003477,2023-03-06,128.11
TXN00000451,CUST002558,2024-11-22,110.35
TXN00000452,CUST006743,2023-10-12,61.94
TXN00000453,CUST008262,2024-02-18,90.36
TXN00000454,CUST008407,2024-11-22,89.66
TXN00000455,CUST006294,2024-05-15,153.44
TXN00000456,CUST005240,2024-02-17,131.02
TXN00000457,CUST000407,3/5/2023,475.13
TXN00000458,CUST006575,2024-05-03,424.76
TXN00000459,CUST005030,2023-01-05,250.32
TXN00000460,CUST007340,2024-07-27,38.76
TXN00000461,CUST004982,2024-07-05,12.63
TXN00000462,CUST003878,2024-07-21,95.95
TXN00000463,CUST006758,2024-03-01,181.74
TXN00000464,CUST000756,2024-10-03,104.08
TXN00000465,CUST008361,2024-12-04,87.73
TXN00000466,CUST001524,2024-03-09,94.93
TXN00000467,CUST004504,2024-11-11,69.19
TXN00000468,CUST001218,2023-01-04,176.97
TXN00000469,CUST002770,2024-11-12,194.49
TXN00000470,CUST005943,2023-03-30,189.51
TXN00000471,CUST001600,2023-05-01,188.04
TXN00000472,CUST007237,2024-10-19,106.17
TXN00000473,CUST002532,2024-09-12,157.23
TXN00000474,CUST003833,2023-03-23,187.77
TXN00000475,CUST001894,2023-05-10,183.86
TXN00000476,CUST003638,2023-11-10,182.23
TXN00000477,CUST004829,2023-01-06,189.44
TXN00000478,CUST005927,2023-08-19,17.11
TXN00000479,CUST005088,2024-12-01,13.97
TXN00000480,CUST005466,2023-09-14,142.87
TXN00000481,CUST000324,2023-03-11,145.65
TXN00000482,CUST003018,2024-11-20,15.24
TXN00000483,CUST000337,2023-02-23,13.06
TXN00000484,CUST007512,2023-01-20,134.23
TXN00000485,CUST006643,1/25/2024,47.07
TXN00000486,CUST001481,2024-03-11,70.52
TXN00000487,CUST003884,2023-11-29,84.67
TXN00000488,CUST005415,5/21/2023,148.42
TXN00000489,CUST000225,2024-07-12,88.03
TXN00000490,CUST002704,2024-07-01,31.69
TXN00000491,CUST003602,2023-01-22,54.10
TXN00000492,CUST004327,2024-02-16,98.50
TXN00000493,CUST003652,2024-06-24,338.83
TXN00000494,CUST007382,2023-01-08,14.49
TXN00000495,CUST007440,2023-04-14,122.56
TXN00000496,CUST000446,2023-02-16,52.22
TXN00000497,CUST001682,2023-11-27,59.51
TXN00000498,CUST001536,2024-05-21,88.81
TXN00000499,CUST001766,2024-05-15,178.38
TXN00000500,CUST003105,2024-02-22,117.31
TXN00000501,CUST007627,2024-11-17,82.64
TXN00000502,CUST004386,5/19/2024,154.66
TXN00000503,CUST002800,2023-10-23,373.48
TXN00000504,CUST007875,2023-10-29,338.26
TXN00000505,CUST000596,2023-08-27,196.95
TXN00000506,CUST002849,2024-01-04,113.39
TXN00000507,CUST005288,2023-11-11,436.14
TXN00000508,CUST005498,2024-02-28,63.04
TXN00000509,CUST001615,2023-07-02,138.17
TXN00000510,CUST002263,2023-03-07,43.84
TXN00000511,CUST000702,2024-02-03,158.09
TXN00000512,CUST003285,2024-01-14,25.38
TXN00000513,CUST001725,2023-05-20,135.71
TXN00000514,CUST007940,2024-12-13,95.18
TXN00000515,CUST006951,10/22/2023,94.71
TXN00000516,CUST008190,2023-07-18,375.66
TXN00000517,CUST003282,2024-04-29,197.96
TXN00000518,CUST003360,2024-09-06,190.56
TXN00000519,CUST005278,2024-01-26,42.72
TXN00000520,CUST004996,3/5/2024,158.54
TXN00000521,CUST004624,12/9/2023,63.91
TXN00000522,CUST003867,2024-11-30,195.97
TXN00000523,CUST001830,2023-06-08,182.57
TXN00000524,CUST001938,2024-01-23,87.63
TXN00000525,CUST001896,2023-02-08,42.70
TXN00000526,CUST001972,2024-01-27,192.67
TXN00000527,CUST006849,2023-10-24,58.55
TXN00000528,CUST007961,2023-07-19,112.83
TXN00000529,CUST001920,11/14/2023,110.98
TXN00000530,CUST002820,2023-08-21,115.58
TXN00000531,CUST007448,2023-02-08,193.19
TXN00000532,CUST008165,3/10/2024,173.48
TXN00000533,CUST003430,2024-08-26,336.18
TXN00000534,CUST008038,12/5/2023,46.14
TXN00000535,CUST008051,1/14/2023,97.37
TXN00000536,CUST004556,2023-08-14,155.86
TXN00000537,CUST006226,2024-08-23,27.27
TXN00000538,CUST003162,2023-05-30,83.89
TXN00000539,CUST001163,2024-09-02,75.05
TXN00000540,CUST003862,2023-07-01,253.77
TXN00000541,CUST000815,2024-01-07,100.23
TXN00000542,CUST000211,2024-12-10,12.83
TXN00000543,CUST007025,2023-03-15,64.10
TXN00000544,CUST003409,2/27/2024,453.19
TXN00000545,CUST001222,6/27/2024,133.80
TXN00000546,CUST003361,2023-12-12,196.43
TXN00000547,CUST003934,2024-01-13,158.97
TXN00000548,CUST008296,2023-01-04,156.43
TXN00000549,CUST007172,2023-08-07,24.05
TXN00000550,CUST000073,2024-08-07,65.57
TXN00000551,CUST008092,9/21/2023,13.16
TXN00000552,CUST005632,10/7/2024,152.61
TXN00000553,CUST000175,2024-11-01,1513.81
TXN00000554,CUST001889,2023-07-20,452.58
TXN00000555,CUST003150,2024-10-22,49.59
TXN00000556,CUST004797,2023-04-18,139.60
TXN00000557,CUST007763,2024-03-19,17.61
TXN00000558,CUST008277,2023-07-15,93.22
TXN00000559,CUST000251,2024-01-21,22.55
TXN00000560,CUST008136,2024-03-25,82.12
TXN00000561,CUST005799,10/27/2024,59.82
TXN00000562,CUST002002,2024-05-17,144.53
TXN00000563,CUST007752,2024-09-17,62.92
TXN00000564,CUST008165,2024-03-13,180.47
TXN00000565,CUST005162,2023-06-22,55.20
TXN00000566,CUST002566,2023-09-05,68.50
TXN00000567,CUST004221,2023-08-11,113.89
TXN00000568,CUST000993,2024-08-05,68.14
TXN00000569,CUST008294,2023-12-07,431.12
TXN00000570,CUST002387,2023-05-18,67.56
TXN00000571,CUST006144,2023-01-25,147.09
TXN00000572,CUST001343,2024-07-05,45.46
TXN00000573,CUST002369,12/2/2024,32.31
TXN00000574,CUST004285,2023-05-31,497.45
TXN00000575,CUST005965,2024-09-24,162.24
TXN00000576,CUST008118,2023-11-21,425.13
TXN00000577,CUST008076,2024-03-30,29.18
TXN00000578,CUST006172,2023-09-10,170.34
TXN00000579,CUST000449,2024-03-14,291.36
TXN00000580,CUST005169,2024-12-01,115.14
TXN00000581,CUST004980,2024-10-15,94.06
