study_id,paper_doi,condition,participant_id,dv_primary,dv_secondary,manipulation_check,age,gender,education,session_date,response_time_ms,attrition_flag,note
S0040,10.1177/0956797614520714,treatment_a,P00040,3.504,3.352,4.33,65,F,Other,2019-10-10,1883202,0,combined_row_40
S0041,10.1073/pnas.1209746109,treatment_a,P00041,4.208,4.729,3.98,47,M,PhD,2019-11-07,2324019,0,combined_row_41
S0042,10.1177/0956797614520714,treatment_b,P00042,3.657,4.733,5.49,58,F,MA,2019-02-27,1165110,0,combined_row_42
S0043,10.1177/0956797614520714,control,P00043,4.722,4.021,6.09,22,M,PhD,2019-11-19,995520,0,combined_row_43
S0044,10.1037/pspa0000226,treatment_a,P00044,4.334,3.389,5.27,62,M,HS,2019-07-08,917722,0,combined_row_44
S0045,10.1037/pspa0000226,control,P00045,1.992,3.091,5.31,47,NB,Other,2019-09-20,1510844,0,combined_row_45
S0046,10.1037/pspa0000226,treatment_b,P00046,4.943,4.554,3.45,45,F,PhD,2019-03-24,2170928,0,combined_row_46
S0047,10.1177/0956797614520714,treatment_b,P00047,4.145,5.338,4.41,46,M,MA,2019-04-09,1588646,0,combined_row_47
S0048,10.1073/pnas.1209746109,control,P00048,4.586,4.316,5.64,27,NB,BA,2019-02-14,1889595,0,combined_row_48
S0049,10.1037/pspa0000226,treatment_a,P00049,6.598,4.449,3.95,62,M,Other,2019-07-16,204729,0,combined_row_49
S0050,10.1177/0956797615575277,treatment_a,P00050,5.816,5.149,3.42,44,F,Other,2019-10-08,2227782,0,combined_row_50
S0051,10.1037/pspa0000226,treatment_a,P00051,5.568,3.948,4.65,28,M,BA,2019-10-18,293105,0,combined_row_51
S0052,10.1073/pnas.1209746109,control,P00052,3.398,3.497,4.66,47,F,HS,2019-05-13,1553016,0,combined_row_52
S0053,10.1177/0956797615575277,treatment_a,P00053,4.583,2.923,5.02,34,M,PhD,2019-01-24,398462,0,combined_row_53
S0054,10.1177/0956797615575277,control,P00054,2.234,2.879,3.87,59,M,HS,2019-04-07,265479,0,combined_row_54
S0055,10.1177/0956797614520714,control,P00055,3.917,3.873,5.85,34,F,BA,2019-10-20,660385,0,combined_row_55
S0056,10.1177/0956797614520714,treatment_a,P00056,4.067,3.96,5.11,37,F,PhD,2019-07-23,1011855,1,combined_row_56
S0057,10.1177/0956797614520714,control,P00057,4.169,3.079,4.42,54,M,MA,2019-09-14,1734286,1,combined_row_57
S0058,10.1177/0956797615575277,control,P00058,2.511,4.78,3.79,24,M,MA,2019-11-27,2108286,0,combined_row_58
S0059,10.1037/pspa0000226,control,P00059,4.184,1.477,4.82,52,M,PhD,2019-07-27,1305732,0,combined_row_59
S0060,10.1177/0956797614520714,control,P00060,6.663,3.622,5.86,47,F,Other,2019-11-13,1590949,1,combined_row_60
S0061,10.1177/0956797615575277,control,P00061,3.38,3.866,4.97,56,NB,MA,2019-09-01,2346891,0,combined_row_61
S0062,10.1073/pnas.1209746109,control,P00062,5.471,3.605,4.09,33,NB,PhD,2019-11-23,2238653,0,combined_row_62
S0063,10.1073/pnas.1209746109,control,P00063,4.165,4.681,5.05,41,M,Other,2019-09-12,1964692,0,combined_row_63
S0064,10.1177/0956797615575277,treatment_a,P00064,6.271,3.591,4.39,34,F,HS,2019-12-07,1503504,0,combined_row_64
S0065,10.1177/0956797614520714,control,P00065,4.789,4.813,4.65,51,F,MA,2019-02-27,994188,0,combined_row_65
S0066,10.1177/0956797615575277,control,P00066,1.253,3.345,6.19,26,F,HS,2019-01-18,1405309,0,combined_row_66
S0067,10.1177/0956797614520714,treatment_b,P00067,5.445,3.031,5.73,48,M,PhD,2019-06-06,395489,0,combined_row_67
S0068,10.1037/pspa0000226,control,P00068,3.376,4.199,4.27,22,F,HS,2019-03-05,1454378,0,combined_row_68
S0069,10.1177/0956797614520714,control,P00069,3.337,3.467,4.09,51,M,PhD,2019-08-10,1978642,0,combined_row_69
S0070,10.1073/pnas.1209746109,treatment_b,P00070,3.554,4.199,4.91,31,NB,BA,2019-05-22,520524,0,combined_row_70
S0071,10.1177/0956797614520714,treatment_b,P00071,4.578,3.83,3.98,36,M,BA,2019-05-23,1365806,0,combined_row_71
S0072,10.1037/pspa0000226,control,P00072,4.993,3.017,3.32,58,F,BA,2019-07-04,1122919,0,combined_row_72
S0073,10.1177/0956797615575277,control,P00073,5.151,4.035,4.53,54,F,PhD,2019-02-15,1455450,0,combined_row_73
S0074,10.1177/0956797615575277,treatment_b,P00074,6.366,2.864,4.79,56,M,PhD,2019-12-11,1230119,1,combined_row_74
S0075,10.1177/0956797614520714,treatment_b,P00075,5.307,2.79,8.0,61,F,Other,2019-01-25,914803,0,combined_row_75
S0076,10.1037/pspa0000226,treatment_a,P00076,3.062,4.298,5.96,58,M,HS,2019-08-12,1892736,0,combined_row_76
S0077,10.1073/pnas.1209746109,control,P00077,3.613,5.014,4.54,53,M,PhD,2019-02-11,1238637,0,combined_row_77
S0078,10.1037/pspa0000226,treatment_b,P00078,7.309,3.82,4.97,52,M,PhD,2019-01-07,2354492,0,combined_row_78
S0079,10.1037/pspa0000226,treatment_b,P00079,4.135,3.904,4.95,36,M,PhD,2019-02-01,1183686,0,combined_row_79
S0080,10.1177/0956797615575277,treatment_b,P00080,5.132,4.718,5.07,32,M,PhD,2019-02-21,825801,0,combined_row_80
S0081,10.1177/0956797615575277,treatment_b,P00081,4.156,2.904,4.1,47,F,BA,2019-07-07,2311716,0,combined_row_81
S0082,10.1177/0956797614520714,control,P00082,4.649,3.539,6.39,44,F,Other,2019-05-27,190759,0,combined_row_82
S0083,10.1177/0956797615575277,treatment_b,P00083,2.955,3.164,5.58,48,F,MA,2019-09-25,1762133,0,combined_row_83
S0084,10.1177/0956797615575277,control,P00084,3.522,4.46,4.93,42,F,PhD,2019-01-11,2163806,0,combined_row_84
S0085,10.1037/pspa0000226,treatment_a,P00085,6.622,3.684,4.73,20,F,Other,2019-10-11,600959,0,combined_row_85
S0086,10.1037/pspa0000226,control,P00086,3.937,2.819,4.86,64,F,PhD,2019-11-05,493852,0,combined_row_86
S0087,10.1177/0956797615575277,treatment_a,P00087,3.637,3.166,5.63,61,F,PhD,2019-06-21,2226600,0,combined_row_87
S0088,10.1073/pnas.1209746109,treatment_b,P00088,5.018,4.955,5.47,36,F,HS,2019-07-04,601557,0,combined_row_88
S0089,10.1177/0956797615575277,control,P00089,6.551,4.257,4.79,27,F,Other,2019-07-19,935213,0,combined_row_89
S0090,10.1073/pnas.1209746109,treatment_b,P00090,5.62,4.662,4.19,33,M,Other,2019-03-08,2114202,0,combined_row_90
S0091,10.1037/pspa0000226,treatment_a,P00091,3.218,2.13,4.36,52,F,HS,2019-08-12,1434743,0,combined_row_91
S0092,10.1037/pspa0000226,treatment_b,P00092,4.714,3.799,6.55,30,M,PhD,2019-02-08,1779557,0,combined_row_92
S0093,10.1177/0956797615575277,treatment_b,P00093,3.571,6.186,4.65,54,NB,HS,2019-10-24,2263425,0,combined_row_93
S0094,10.1177/0956797615575277,control,P00094,3.694,3.144,4.54,58,F,Other,2019-05-22,753693,0,combined_row_94
S0095,10.1073/pnas.1209746109,treatment_a,P00095,4.575,3.572,4.72,36,F,PhD,2019-03-07,734318,0,combined_row_95
S0096,10.1177/0956797615575277,treatment_b,P00096,4.978,3.082,4.99,28,F,PhD,2019-05-24,1600674,0,combined_row_96
S0097,10.1037/pspa0000226,control,P00097,6.482,5.614,5.82,43,F,MA,2019-02-26,1834965,1,combined_row_97
S0098,10.1073/pnas.1209746109,treatment_a,P00098,3.017,2.785,5.98,34,F,PhD,2019-11-12,634436,0,combined_row_98
S0099,10.1037/pspa0000226,control,P00099,2.399,2.329,4.48,59,M,PhD,2019-12-10,1892516,0,combined_row_99
S0100,10.1073/pnas.1209746109,control,P00100,5.953,3.449,5.88,24,F,Other,2019-03-13,2082719,0,combined_row_100
S0101,10.1037/pspa0000226,treatment_b,P00101,4.466,3.279,4.69,49,F,PhD,2019-05-02,1734115,0,combined_row_101
S0102,10.1037/pspa0000226,control,P00102,4.779,4.053,4.71,61,F,Other,2019-11-12,433965,0,combined_row_102
S0103,10.1177/0956797614520714,control,P00103,6.624,3.272,5.46,58,F,HS,2019-01-26,1578838,0,combined_row_103
S0104,10.1177/0956797614520714,treatment_b,P00104,4.951,4.27,6.45,53,F,Other,2019-04-27,1157267,0,combined_row_104
S0105,10.1177/0956797614520714,treatment_b,P00105,6.872,3.832,5.26,34,F,HS,2019-11-28,288129,0,combined_row_105
S0106,10.1177/0956797615575277,control,P00106,5.0,3.664,4.92,34,M,BA,2019-12-14,2386562,0,combined_row_106
S0107,10.1073/pnas.1209746109,treatment_a,P00107,3.422,4.072,4.27,32,F,HS,2019-12-26,2367124,0,combined_row_107
S0108,10.1073/pnas.1209746109,control,P00108,3.769,5.545,4.99,45,NB,HS,2019-08-23,2040435,1,combined_row_108
S0109,10.1073/pnas.1209746109,treatment_a,P00109,4.156,3.591,4.82,53,NB,MA,2019-07-20,1416890,0,combined_row_109
S0110,10.1037/pspa0000226,control,P00110,6.178,3.919,4.62,59,NB,Other,2019-12-28,1081872,0,combined_row_110
S0111,10.1177/0956797614520714,treatment_a,P00111,3.801,4.639,4.69,45,F,MA,2019-06-05,2169223,1,combined_row_111
S0112,10.1073/pnas.1209746109,control,P00112,4.77,2.447,5.55,41,F,Other,2019-01-19,1562635,0,combined_row_112
S0113,10.1037/pspa0000226,treatment_a,P00113,6.502,2.272,3.42,21,F,Other,2019-05-12,614532,0,combined_row_113
S0114,10.1177/0956797614520714,control,P00114,5.743,3.445,4.53,24,F,Other,2019-06-04,1348399,0,combined_row_114
S0115,10.1037/pspa0000226,treatment_b,P00115,6.688,3.535,4.13,19,F,MA,2019-01-06,1326179,0,combined_row_115
S0116,10.1177/0956797615575277,treatment_a,P00116,3.373,3.462,5.41,27,F,PhD,2019-02-05,308585,0,combined_row_116
S0117,10.1177/0956797614520714,treatment_a,P00117,3.54,4.197,4.12,54,F,HS,2019-01-05,840224,0,combined_row_117
S0118,10.1073/pnas.1209746109,treatment_b,P00118,5.898,4.649,5.42,45,M,Other,2019-08-14,1325744,0,combined_row_118
S0119,10.1073/pnas.1209746109,treatment_a,P00119,3.614,4.113,4.6,60,F,HS,2019-04-13,409772,1,combined_row_119
S0120,10.1177/0956797615575277,control,P00120,3.252,3.966,3.65,36,F,HS,2019-01-16,1986298,0,combined_row_120
S0121,10.1037/pspa0000226,treatment_b,P00121,4.094,2.785,5.72,22,M,HS,2019-07-01,2108349,0,combined_row_121
S0122,10.1177/0956797615575277,treatment_b,P00122,2.617,2.973,5.35,58,M,MA,2019-02-13,267478,0,combined_row_122
S0123,10.1177/0956797614520714,treatment_b,P00123,2.722,4.142,4.45,24,F,PhD,2019-10-13,2377658,1,combined_row_123
S0124,10.1177/0956797615575277,treatment_b,P00124,5.481,3.368,5.61,28,M,Other,2019-11-04,2318893,0,combined_row_124
S0125,10.1177/0956797615575277,treatment_a,P00125,4.186,2.153,5.23,27,F,BA,2019-03-20,821182,0,combined_row_125
S0126,10.1073/pnas.1209746109,control,P00126,3.691,5.007,4.66,47,F,Other,2019-08-22,1535633,0,combined_row_126
S0127,10.1177/0956797615575277,control,P00127,3.246,4.174,4.03,55,M,MA,2019-09-03,1481944,0,combined_row_127
S0128,10.1073/pnas.1209746109,control,P00128,2.927,3.297,5.48,59,M,Other,2019-10-17,1792636,0,combined_row_128
S0129,10.1073/pnas.1209746109,treatment_a,P00129,5.814,3.166,5.41,50,F,HS,2019-08-04,1620482,0,combined_row_129
S0130,10.1073/pnas.1209746109,treatment_b,P00130,6.014,3.646,4.82,63,M,PhD,2019-09-17,845829,0,combined_row_130
S0131,10.1177/0956797615575277,treatment_a,P00131,3.584,4.244,3.85,59,F,HS,2019-06-04,1801367,0,combined_row_131
S0132,10.1177/0956797614520714,treatment_a,P00132,3.278,4.958,5.58,40,F,PhD,2019-03-20,535337,0,combined_row_132
S0133,10.1037/pspa0000226,treatment_b,P00133,5.069,2.208,4.28,65,NB,Other,2019-02-21,1955895,0,combined_row_133
S0134,10.1073/pnas.1209746109,treatment_a,P00134,2.523,3.001,6.83,39,M,BA,2019-04-05,829887,1,combined_row_134
S0135,10.1073/pnas.1209746109,treatment_b,P00135,4.798,2.106,5.17,39,F,BA,2019-10-13,826982,0,combined_row_135
S0136,10.1177/0956797614520714,treatment_b,P00136,4.278,2.944,5.31,61,NB,BA,2019-08-20,1375074,0,combined_row_136
S0137,10.1037/pspa0000226,control,P00137,3.491,3.636,5.32,30,F,Other,2019-08-15,1361836,0,combined_row_137
S0138,10.1037/pspa0000226,control,P00138,3.24,4.46,3.69,26,F,HS,2019-11-16,1736976,0,combined_row_138
S0139,10.1073/pnas.1209746109,treatment_b,P00139,5.827,2.353,4.7,35,M,Other,2019-03-27,2014892,0,combined_row_139
S0140,10.1177/0956797614520714,treatment_a,P00140,6.487,5.356,3.78,44,M,PhD,2019-09-12,1168924,0,combined_row_140
S0141,10.1073/pnas.1209746109,treatment_a,P00141,4.667,4.578,6.03,39,F,BA,2019-01-10,2161619,0,combined_row_141
S0142,10.1177/0956797614520714,treatment_b,P00142,5.608,2.579,5.21,23,M,MA,2019-04-27,807130,0,combined_row_142
S0143,10.1037/pspa0000226,control,P00143,4.645,3.146,5.43,58,F,PhD,2019-02-04,2276435,0,combined_row_143
S0144,10.1073/pnas.1209746109,treatment_b,P00144,5.114,3.133,4.94,27,F,PhD,2019-01-20,1659817,0,combined_row_144
S0145,10.1037/pspa0000226,control,P00145,4.24,3.473,5.3,51,F,Other,2019-09-18,265288,0,combined_row_145
S0146,10.1037/pspa0000226,control,P00146,4.429,2.132,3.3,34,NB,HS,2019-06-26,463365,0,combined_row_146
S0147,10.1073/pnas.1209746109,treatment_b,P00147,4.4,2.994,5.97,59,F,PhD,2019-12-16,944529,0,combined_row_147
S0148,10.1073/pnas.1209746109,treatment_b,P00148,4.915,3.963,4.13,36,F,HS,2019-04-02,1503704,0,combined_row_148
S0149,10.1037/pspa0000226,treatment_b,P00149,4.177,3.841,4.6,21,NB,MA,2019-05-04,1723584,0,combined_row_149
S0150,10.1037/pspa0000226,treatment_b,P00150,3.714,1.706,5.74,39,F,PhD,2019-12-16,1720764,0,combined_row_150
S0151,10.1177/0956797615575277,control,P00151,4.43,3.439,3.81,52,F,MA,2019-02-03,1555395,0,combined_row_151
S0152,10.1177/0956797615575277,treatment_a,P00152,3.161,3.042,4.49,62,M,MA,2019-08-02,1658740,0,combined_row_152
S0153,10.1037/pspa0000226,treatment_a,P00153,3.14,2.575,6.12,43,F,Other,2019-12-22,851032,0,combined_row_153
S0154,10.1177/0956797614520714,treatment_b,P00154,5.131,3.378,4.23,26,M,BA,2019-11-12,1698969,0,combined_row_154
S0155,10.1073/pnas.1209746109,treatment_b,P00155,5.248,4.608,4.4,22,F,BA,2019-09-12,1849475,0,combined_row_155
S0156,10.1177/0956797615575277,control,P00156,5.442,4.0,4.95,29,M,Other,2019-07-18,673925,0,combined_row_156
S0157,10.1177/0956797615575277,treatment_b,P00157,0.705,4.799,4.6,49,F,HS,2019-03-28,490596,0,combined_row_157
S0158,10.1037/pspa0000226,control,P00158,7.107,4.675,3.05,38,NB,MA,2019-12-03,1397867,0,combined_row_158
S0159,10.1177/0956797614520714,treatment_b,P00159,4.032,2.448,5.35,32,M,BA,2019-03-08,2252078,1,combined_row_159
S0160,10.1177/0956797615575277,treatment_a,P00160,5.51,4.177,4.04,57,M,HS,2019-05-13,2187666,0,combined_row_160
S0161,10.1037/pspa0000226,treatment_b,P00161,7.376,4.878,4.45,61,F,MA,2019-03-27,943208,0,combined_row_161
S0162,10.1177/0956797614520714,treatment_a,P00162,3.477,1.988,4.97,25,F,BA,2019-05-06,859338,0,combined_row_162
S0163,10.1177/0956797614520714,treatment_a,P00163,5.873,3.447,4.93,30,NB,Other,2019-05-05,1450138,0,combined_row_163
S0164,10.1073/pnas.1209746109,treatment_b,P00164,4.975,3.038,4.17,55,F,BA,2019-11-20,1596079,0,combined_row_164
S0165,10.1073/pnas.1209746109,control,P00165,7.051,4.871,5.08,31,F,PhD,2019-10-21,307028,0,combined_row_165
S0166,10.1177/0956797615575277,treatment_b,P00166,3.567,4.796,4.75,61,M,MA,2019-08-03,431293,0,combined_row_166
S0167,10.1037/pspa0000226,treatment_a,P00167,3.433,3.982,5.99,38,NB,MA,2019-07-05,1734158,0,combined_row_167
S0168,10.1073/pnas.1209746109,treatment_a,P00168,6.373,3.824,5.41,46,F,BA,2019-02-02,1397237,0,combined_row_168
S0169,10.1037/pspa0000226,control,P00169,7.017,3.349,5.72,64,F,BA,2019-03-16,2338912,0,combined_row_169
S0170,10.1177/0956797615575277,treatment_a,P00170,1.924,5.946,5.28,50,M,BA,2019-04-19,1660149,1,combined_row_170
S0171,10.1177/0956797615575277,treatment_a,P00171,2.611,2.804,4.69,18,M,PhD,2019-03-09,1714182,0,combined_row_171
S0172,10.1177/0956797615575277,control,P00172,3.63,2.851,5.61,30,F,Other,2019-05-03,1800464,0,combined_row_172
S0173,10.1177/0956797615575277,treatment_b,P00173,4.244,3.39,5.79,39,F,MA,2019-03-07,2315414,0,combined_row_173
S0174,10.1073/pnas.1209746109,control,P00174,4.313,5.181,5.31,48,F,PhD,2019-03-20,2342187,0,combined_row_174
S0175,10.1177/0956797615575277,control,P00175,3.2,4.576,5.59,50,F,Other,2019-08-23,1437412,0,combined_row_175
S0176,10.1073/pnas.1209746109,treatment_a,P00176,3.154,3.588,5.34,44,F,MA,2019-12-28,291766,0,combined_row_176
S0177,10.1177/0956797615575277,treatment_b,P00177,4.926,2.276,3.87,55,M,BA,2019-09-21,1774633,0,combined_row_177
S0178,10.1177/0956797614520714,control,P00178,3.601,2.545,4.45,30,M,PhD,2019-06-14,815148,0,combined_row_178
S0179,10.1177/0956797614520714,treatment_a,P00179,2.85,3.786,3.47,64,M,BA,2019-09-07,1543356,0,combined_row_179
S0180,10.1037/pspa0000226,treatment_b,P00180,4.914,2.187,6.4,47,F,MA,2019-09-12,1288815,0,combined_row_180
S0181,10.1177/0956797614520714,control,P00181,4.317,4.545,7.12,36,NB,BA,2019-12-23,2231027,0,combined_row_181
S0182,10.1177/0956797615575277,treatment_b,P00182,3.275,5.266,4.42,35,F,HS,2019-10-22,1772552,0,combined_row_182
S0183,10.1037/pspa0000226,treatment_a,P00183,6.581,3.342,4.83,63,M,MA,2019-08-21,1255603,0,combined_row_183
S0184,10.1177/0956797614520714,control,P00184,5.457,4.137,4.44,53,NB,MA,2019-03-04,1183621,0,combined_row_184
S0185,10.1177/0956797614520714,treatment_b,P00185,4.559,4.211,4.56,61,F,HS,2019-09-06,1886693,0,combined_row_185
S0186,10.1037/pspa0000226,treatment_a,P00186,5.688,2.916,3.91,36,F,MA,2019-11-02,555225,0,combined_row_186
S0187,10.1177/0956797614520714,treatment_b,P00187,4.334,2.05,6.76,44,F,HS,2019-07-26,2257790,0,combined_row_187
S0188,10.1177/0956797615575277,control,P00188,5.129,4.964,5.06,24,F,MA,2019-08-21,2379151,0,combined_row_188
S0189,10.1177/0956797614520714,treatment_b,P00189,3.73,3.918,5.36,47,NB,MA,2019-12-06,239073,0,combined_row_189
S0190,10.1177/0956797615575277,treatment_b,P00190,4.965,3.53,4.53,57,NB,PhD,2019-07-17,1555424,0,combined_row_190
S0191,10.1073/pnas.1209746109,control,P00191,5.858,3.682,5.09,42,F,PhD,2019-05-11,1446452,0,combined_row_191
S0192,10.1073/pnas.1209746109,treatment_a,P00192,4.445,3.013,3.99,21,NB,HS,2019-08-10,849900,0,combined_row_192
S0193,10.1177/0956797615575277,treatment_b,P00193,6.477,5.148,4.69,32,F,PhD,2019-03-15,1747096,0,combined_row_193
S0194,10.1037/pspa0000226,treatment_b,P00194,6.091,4.34,3.58,33,NB,Other,2019-02-17,2053796,0,combined_row_194
S0195,10.1177/0956797615575277,control,P00195,5.008,3.582,5.82,30,F,Other,2019-03-06,1556225,0,combined_row_195
S0196,10.1037/pspa0000226,control,P00196,2.22,3.194,3.85,49,M,Other,2019-08-26,413353,0,combined_row_196
S0197,10.1037/pspa0000226,treatment_a,P00197,3.087,3.35,4.68,19,M,MA,2019-01-24,1093944,0,combined_row_197
S0198,10.1073/pnas.1209746109,treatment_a,P00198,3.589,3.617,5.24,21,M,PhD,2019-01-10,1894912,0,combined_row_198
S0199,10.1177/0956797614520714,treatment_b,P00199,6.213,3.624,2.79,42,M,PhD,2019-07-03,737799,0,combined_row_199
S0200,10.1177/0956797615575277,control,P00200,6.31,4.285,5.89,51,F,BA,2019-01-25,275358,0,combined_row_200
S0201,10.1037/pspa0000226,treatment_b,P00201,4.257,2.872,4.58,47,F,BA,2019-05-07,653304,1,combined_row_201
S0202,10.1037/pspa0000226,treatment_b,P00202,5.096,3.988,3.35,19,F,BA,2019-02-04,320829,0,combined_row_202
S0203,10.1073/pnas.1209746109,control,P00203,4.428,2.889,5.06,21,F,Other,2019-05-08,1517579,0,combined_row_203
S0204,10.1177/0956797615575277,control,P00204,5.336,3.64,5.42,60,F,BA,2019-07-10,1334079,1,combined_row_204
S0205,10.1177/0956797614520714,treatment_b,P00205,3.838,2.766,5.7,59,NB,PhD,2019-09-11,1926192,0,combined_row_205
S0206,10.1177/0956797615575277,treatment_a,P00206,4.82,4.251,5.91,33,F,MA,2019-12-05,2122068,0,combined_row_206
S0207,10.1037/pspa0000226,treatment_a,P00207,3.897,3.63,5.02,59,M,PhD,2019-06-03,978937,1,combined_row_207
S0208,10.1037/pspa0000226,treatment_b,P00208,5.308,3.598,4.86,22,F,Other,2019-12-22,1090233,0,combined_row_208
S0209,10.1177/0956797615575277,treatment_a,P00209,4.703,3.758,6.89,25,NB,PhD,2019-04-23,1037790,0,combined_row_209
S0210,10.1177/0956797614520714,treatment_b,P00210,3.319,3.481,5.59,47,F,MA,2019-05-09,1688458,0,combined_row_210
S0211,10.1037/pspa0000226,treatment_a,P00211,7.256,5.275,3.5,31,F,MA,2019-07-02,1108090,0,combined_row_211
S0212,10.1073/pnas.1209746109,treatment_a,P00212,4.938,2.674,4.65,64,M,MA,2019-03-07,1563555,0,combined_row_212
S0213,10.1177/0956797614520714,treatment_a,P00213,1.768,3.125,4.29,49,NB,PhD,2019-08-06,1657133,0,combined_row_213
S0214,10.1037/pspa0000226,control,P00214,6.237,4.775,4.5,59,M,Other,2019-01-27,491764,0,combined_row_214
S0215,10.1073/pnas.1209746109,control,P00215,2.533,4.705,5.15,18,F,Other,2019-08-12,433546,0,combined_row_215
S0216,10.1037/pspa0000226,treatment_b,P00216,6.368,3.697,5.01,53,M,HS,2019-01-17,1332346,0,combined_row_216
