sku_id,category,sku_name,inventory_units,unit_cost_rmb,inventory_value_rmb,warehouse,snapshot_date
APP-0042,apparel,Apparel SKU 0042,3909,613.75,2399148.75,WH-CD,2025-06-10
APP-0043,apparel,Apparel SKU 0043,2031,98.21,199464.51,WH-CD,2025-06-10
APP-0044,apparel,Apparel SKU 0044,4656,697.34,3246815.04,WH-BJ,2025-06-10
APP-0045,apparel,Apparel SKU 0045,4793,278.62,1335425.66,WH-GZ,2025-06-10
APP-0046,apparel,Apparel SKU 0046,3146,171.99,541080.54,WH-CD,2025-06-10
APP-0047,apparel,Apparel SKU 0047,500,285.59,142795.0,WH-SH,2025-06-10
APP-0048,apparel,Apparel SKU 0048,1028,633.97,651721.16,WH-BJ,2025-06-10
APP-0049,apparel,Apparel SKU 0049,3968,1684.62,6684572.16,WH-BJ,2025-06-10
APP-0050,apparel,Apparel SKU 0050,4055,875.75,3551166.25,WH-GZ,2025-06-10
APP-0051,apparel,Apparel SKU 0051,165,627.37,103516.05,WH-SH,2025-06-10
APP-0052,apparel,Apparel SKU 0052,301,337.67,101638.67,WH-SH,2025-06-10
APP-0053,apparel,Apparel SKU 0053,337,1449.67,488538.79,WH-BJ,2025-06-10
APP-0054,apparel,Apparel SKU 0054,281,1334.39,374963.59,WH-GZ,2025-06-10
APP-0055,apparel,Apparel SKU 0055,283,244.01,69054.83,WH-SH,2025-06-10
APP-0056,apparel,Apparel SKU 0056,1562,1363.17,2129271.54,WH-GZ,2025-06-10
APP-0057,apparel,Apparel SKU 0057,2427,913.47,2216991.69,WH-GZ,2025-06-10
APP-0058,apparel,Apparel SKU 0058,1519,874.11,1327773.09,WH-GZ,2025-06-10
APP-0059,apparel,Apparel SKU 0059,3083,1069.77,3298100.91,WH-GZ,2025-06-10
APP-0060,apparel,Apparel SKU 0060,4995,1582.99,7907035.05,WH-BJ,2025-06-10
APP-0061,apparel,Apparel SKU 0061,3765,153.2,576798.0,WH-GZ,2025-06-10
APP-0062,apparel,Apparel SKU 0062,4630,1516.19,7019959.7,WH-SH,2025-06-10
APP-0063,apparel,Apparel SKU 0063,2048,1034.95,2119577.6,WH-GZ,2025-06-10
APP-0064,apparel,Apparel SKU 0064,1959,382.22,748768.98,WH-GZ,2025-06-10
APP-0065,apparel,Apparel SKU 0065,2585,138.1,356988.5,WH-CD,2025-06-10
APP-0066,apparel,Apparel SKU 0066,2729,1904.47,5197298.63,WH-CD,2025-06-10
APP-0067,apparel,Apparel SKU 0067,2880,1083.04,3119155.2,WH-CD,2025-06-10
APP-0068,apparel,Apparel SKU 0068,147,1328.1,195230.7,WH-SH,2025-06-10
APP-0069,apparel,Apparel SKU 0069,2400,1560.47,3745128.0,WH-CD,2025-06-10
APP-0070,apparel,Apparel SKU 0070,2891,360.18,1041280.38,WH-SH,2025-06-10
APP-0071,apparel,Apparel SKU 0071,2310,1896.41,4380707.1,WH-BJ,2025-06-10
APP-0072,apparel,Apparel SKU 0072,1461,1504.67,2198322.87,WH-SH,2025-06-10
APP-0073,apparel,Apparel SKU 0073,3679,368.82,1356888.78,WH-SH,2025-06-10
APP-0074,apparel,Apparel SKU 0074,1098,882.46,968941.08,WH-SH,2025-06-10
APP-0075,apparel,Apparel SKU 0075,834,346.23,288755.82,WH-CD,2025-06-10
APP-0076,apparel,Apparel SKU 0076,4198,1615.79,6783086.42,WH-BJ,2025-06-10
APP-0077,apparel,Apparel SKU 0077,2921,1742.18,5088907.78,WH-SH,2025-06-10
APP-0078,apparel,Apparel SKU 0078,1607,798.25,1282787.75,WH-CD,2025-06-10
APP-0079,apparel,Apparel SKU 0079,3611,948.2,3423950.2,WH-CD,2025-06-10
APP-0080,apparel,Apparel SKU 0080,2751,879.38,2419174.38,WH-SH,2025-06-10
ELE-0001,electronics,Electronics SKU 0001,2553,164.59,420198.27,WH-BJ,2025-06-10
ELE-0002,electronics,Electronics SKU 0002,4560,911.55,4156668.0,WH-GZ,2025-06-10
ELE-0003,electronics,Electronics SKU 0003,2980,286.92,855021.6,WH-GZ,2025-06-10
ELE-0004,electronics,Electronics SKU 0004,3406,1482.11,5048066.66,WH-CD,2025-06-10
ELE-0005,electronics,Electronics SKU 0005,299,551.92,165024.08,WH-GZ,2025-06-10
ELE-0006,electronics,Electronics SKU 0006,1113,334.75,372576.75,WH-CD,2025-06-10
ELE-0007,electronics,Electronics SKU 0007,2236,1751.69,3916778.84,WH-CD,2025-06-10
ELE-0008,electronics,Electronics SKU 0008,209,1170.91,244720.19,WH-CD,2025-06-10
ELE-0009,electronics,Electronics SKU 0009,2001,1373.47,2748313.47,WH-GZ,2025-06-10
ELE-0010,electronics,Electronics SKU 0010,1137,1861.17,2116150.29,WH-BJ,2025-06-10
ELE-0011,electronics,Electronics SKU 0011,573,374.74,214726.02,WH-GZ,2025-06-10
ELE-0012,electronics,Electronics SKU 0012,3508,1184.86,4156488.88,WH-SH,2025-06-10
ELE-0013,electronics,Electronics SKU 0013,315,21.29,6706.35,WH-BJ,2025-06-10
ELE-0014,electronics,Electronics SKU 0014,1320,916.16,1209331.2,WH-GZ,2025-06-10
ELE-0015,electronics,Electronics SKU 0015,733,1472.49,1079335.17,WH-CD,2025-06-10
ELE-0016,electronics,Electronics SKU 0016,2100,1087.33,2283393.0,WH-SH,2025-06-10
ELE-0017,electronics,Electronics SKU 0017,823,382.95,315167.85,WH-CD,2025-06-10
ELE-0018,electronics,Electronics SKU 0018,1050,1844.49,1936714.5,WH-GZ,2025-06-10
ELE-0019,electronics,Electronics SKU 0019,2754,857.86,2362546.44,WH-GZ,2025-06-10
ELE-0020,electronics,Electronics SKU 0020,3857,75.89,292707.73,WH-CD,2025-06-10
ELE-0021,electronics,Electronics SKU 0021,474,832.22,394472.28,WH-SH,2025-06-10
ELE-0022,electronics,Electronics SKU 0022,937,523.29,490322.73,WH-GZ,2025-06-10
ELE-0023,electronics,Electronics SKU 0023,2176,631.33,1373774.08,WH-SH,2025-06-10
ELE-0024,electronics,Electronics SKU 0024,4369,756.16,3303663.04,WH-SH,2025-06-10
ELE-0025,electronics,Electronics SKU 0025,1151,1375.62,1583338.62,WH-BJ,2025-06-10
ELE-0026,electronics,Electronics SKU 0026,2545,794.76,2022664.2,WH-BJ,2025-06-10
ELE-0027,electronics,Electronics SKU 0027,162,939.26,152160.12,WH-CD,2025-06-10
ELE-0028,electronics,Electronics SKU 0028,4155,29.68,123320.4,WH-SH,2025-06-10
ELE-0029,electronics,Electronics SKU 0029,2025,1058.24,2142936.0,WH-GZ,2025-06-10
ELE-0030,electronics,Electronics SKU 0030,4030,119.8,482794.0,WH-GZ,2025-06-10
ELE-0031,electronics,Electronics SKU 0031,1576,1205.19,1899379.44,WH-SH,2025-06-10
ELE-0032,electronics,Electronics SKU 0032,3348,935.22,3131116.56,WH-CD,2025-06-10
ELE-0033,electronics,Electronics SKU 0033,4617,1840.56,8497865.52,WH-BJ,2025-06-10
ELE-0034,electronics,Electronics SKU 0034,268,1451.18,388916.24,WH-CD,2025-06-10
ELE-0035,electronics,Electronics SKU 0035,572,1675.52,958397.44,WH-GZ,2025-06-10
ELE-0036,electronics,Electronics SKU 0036,4287,1905.69,8169693.03,WH-SH,2025-06-10
ELE-0037,electronics,Electronics SKU 0037,2810,548.13,1540245.3,WH-SH,2025-06-10
ELE-0038,electronics,Electronics SKU 0038,3234,1649.87,5335679.58,WH-GZ,2025-06-10
ELE-0039,electronics,Electronics SKU 0039,1855,783.22,1452873.1,WH-GZ,2025-06-10
ELE-0040,electronics,Electronics SKU 0040,3963,1635.28,6480614.64,WH-GZ,2025-06-10
ELE-0041,electronics,Electronics SKU 0041,3428,1942.08,6657450.24,WH-CD,2025-06-10
ELE-0042,electronics,Electronics SKU 0042,4618,1754.48,8102188.64,WH-SH,2025-06-10
ELE-0043,electronics,Electronics SKU 0043,2868,718.77,2061432.36,WH-SH,2025-06-10
ELE-0044,electronics,Electronics SKU 0044,1204,1665.42,2005165.68,WH-BJ,2025-06-10
ELE-0045,electronics,Electronics SKU 0045,2650,1336.05,3540532.5,WH-BJ,2025-06-10
ELE-0046,electronics,Electronics SKU 0046,1823,1218.66,2221617.18,WH-SH,2025-06-10
ELE-0047,electronics,Electronics SKU 0047,4769,1695.6,8086316.4,WH-GZ,2025-06-10
ELE-0048,electronics,Electronics SKU 0048,4935,1795.98,8863161.3,WH-SH,2025-06-10
ELE-0049,electronics,Electronics SKU 0049,587,1718.57,1008800.59,WH-GZ,2025-06-10
ELE-0050,electronics,Electronics SKU 0050,4304,1791.24,7709496.96,WH-BJ,2025-06-10
ELE-0051,electronics,Electronics SKU 0051,2914,1711.63,4987689.82,WH-CD,2025-06-10
ELE-0052,electronics,Electronics SKU 0052,3099,1837.59,5694691.41,WH-BJ,2025-06-10
ELE-0053,electronics,Electronics SKU 0053,2001,25.34,50705.34,WH-CD,2025-06-10
ELE-0054,electronics,Electronics SKU 0054,3290,274.11,901821.9,WH-GZ,2025-06-10
ELE-0055,electronics,Electronics SKU 0055,4421,577.47,2552994.87,WH-SH,2025-06-10
ELE-0056,electronics,Electronics SKU 0056,4902,852.98,4181307.96,WH-CD,2025-06-10
ELE-0057,electronics,Electronics SKU 0057,334,70.68,23607.12,WH-SH,2025-06-10
ELE-0058,electronics,Electronics SKU 0058,720,840.94,605476.8,WH-BJ,2025-06-10
ELE-0059,electronics,Electronics SKU 0059,3282,1896.64,6224772.48,WH-BJ,2025-06-10
ELE-0060,electronics,Electronics SKU 0060,396,847.38,335562.48,WH-SH,2025-06-10
BEA-0001,beauty,Beauty SKU 0001,718,233.13,167387.34,WH-SH,2025-06-10
BEA-0002,beauty,Beauty SKU 0002,4153,676.84,2810916.52,WH-GZ,2025-06-10
BEA-0003,beauty,Beauty SKU 0003,2945,499.86,1472087.7,WH-BJ,2025-06-10
BEA-0004,beauty,Beauty SKU 0004,2365,388.86,919653.9,WH-SH,2025-06-10
BEA-0005,beauty,Beauty SKU 0005,77,701.91,54047.07,WH-CD,2025-06-10
BEA-0006,beauty,Beauty SKU 0006,4101,278.72,1143030.72,WH-GZ,2025-06-10
BEA-0007,beauty,Beauty SKU 0007,4767,258.99,1234605.33,WH-CD,2025-06-10
BEA-0008,beauty,Beauty SKU 0008,2690,77.97,209739.3,WH-SH,2025-06-10
BEA-0009,beauty,Beauty SKU 0009,3731,1018.1,3798531.1,WH-CD,2025-06-10
BEA-0010,beauty,Beauty SKU 0010,4525,517.68,2342502.0,WH-CD,2025-06-10
BEA-0011,beauty,Beauty SKU 0011,4629,277.73,1285612.17,WH-SH,2025-06-10
BEA-0012,beauty,Beauty SKU 0012,4643,680.21,3158215.03,WH-CD,2025-06-10
BEA-0013,beauty,Beauty SKU 0013,1872,370.52,693613.44,WH-CD,2025-06-10
BEA-0014,beauty,Beauty SKU 0014,2012,619.18,1245790.16,WH-BJ,2025-06-10
BEA-0015,beauty,Beauty SKU 0015,817,1005.67,821632.39,WH-SH,2025-06-10
BEA-0016,beauty,Beauty SKU 0016,618,212.31,131207.58,WH-GZ,2025-06-10
BEA-0017,beauty,Beauty SKU 0017,3007,1534.43,4614031.01,WH-CD,2025-06-10
BEA-0018,beauty,Beauty SKU 0018,3790,1817.41,6887983.9,WH-CD,2025-06-10
BEA-0019,beauty,Beauty SKU 0019,1576,900.74,1419566.24,WH-CD,2025-06-10
BEA-0020,beauty,Beauty SKU 0020,1236,1931.15,2386901.4,WH-GZ,2025-06-10
BEA-0021,beauty,Beauty SKU 0021,3899,1198.63,4673458.37,WH-BJ,2025-06-10
BEA-0022,beauty,Beauty SKU 0022,437,318.8,139315.6,WH-SH,2025-06-10
BEA-0023,beauty,Beauty SKU 0023,3938,766.71,3019303.98,WH-CD,2025-06-10
BEA-0024,beauty,Beauty SKU 0024,1615,1792.92,2895565.8,WH-SH,2025-06-10
BEA-0025,beauty,Beauty SKU 0025,2507,1195.71,2997644.97,WH-CD,2025-06-10
BEA-0026,beauty,Beauty SKU 0026,3866,57.18,221057.88,WH-CD,2025-06-10
BEA-0027,beauty,Beauty SKU 0027,4365,1669.46,7287192.9,WH-BJ,2025-06-10
BEA-0028,beauty,Beauty SKU 0028,340,1719.79,584728.6,WH-SH,2025-06-10
BEA-0029,beauty,Beauty SKU 0029,655,610.03,399569.65,WH-SH,2025-06-10
BEA-0030,beauty,Beauty SKU 0030,1878,460.92,865607.76,WH-SH,2025-06-10
BEA-0031,beauty,Beauty SKU 0031,3957,1825.78,7224611.46,WH-CD,2025-06-10
BEA-0032,beauty,Beauty SKU 0032,80,1740.42,139233.6,WH-SH,2025-06-10
BEA-0033,beauty,Beauty SKU 0033,218,285.9,62326.2,WH-SH,2025-06-10
BEA-0034,beauty,Beauty SKU 0034,2084,1451.72,3025384.48,WH-GZ,2025-06-10
BEA-0035,beauty,Beauty SKU 0035,1499,55.98,83914.02,WH-BJ,2025-06-10
BEA-0036,beauty,Beauty SKU 0036,1521,1604.22,2440018.62,WH-GZ,2025-06-10
BEA-0037,beauty,Beauty SKU 0037,4314,826.99,3567634.86,WH-BJ,2025-06-10
BEA-0038,beauty,Beauty SKU 0038,991,1412.16,1399450.56,WH-SH,2025-06-10
BEA-0039,beauty,Beauty SKU 0039,4225,1512.8,6391580.0,WH-BJ,2025-06-10
BEA-0040,beauty,Beauty SKU 0040,4740,1725.78,8180197.2,WH-BJ,2025-06-10
BEA-0041,beauty,Beauty SKU 0041,550,542.44,298342.0,WH-CD,2025-06-10
BEA-0042,beauty,Beauty SKU 0042,1796,441.83,793526.68,WH-CD,2025-06-10
BEA-0043,beauty,Beauty SKU 0043,3511,465.72,1635142.92,WH-SH,2025-06-10
BEA-0044,beauty,Beauty SKU 0044,570,1363.02,776921.4,WH-GZ,2025-06-10
BEA-0045,beauty,Beauty SKU 0045,2883,115.08,331775.64,WH-CD,2025-06-10
BEA-0046,beauty,Beauty SKU 0046,2067,1735.79,3587877.93,WH-CD,2025-06-10
BEA-0047,beauty,Beauty SKU 0047,3399,936.18,3182075.82,WH-BJ,2025-06-10
BEA-0048,beauty,Beauty SKU 0048,3309,753.93,2494754.37,WH-CD,2025-06-10
BEA-0049,beauty,Beauty SKU 0049,1166,338.32,394481.12,WH-BJ,2025-06-10
BEA-0050,beauty,Beauty SKU 0050,1910,711.04,1358086.4,WH-BJ,2025-06-10
HOM-0001,home,Home SKU 0001,2326,465.64,1083078.64,WH-CD,2025-06-10
HOM-0002,home,Home SKU 0002,2441,1187.58,2898882.78,WH-SH,2025-06-10
HOM-0003,home,Home SKU 0003,338,1855.69,627223.22,WH-CD,2025-06-10
HOM-0004,home,Home SKU 0004,76,959.89,72951.64,WH-BJ,2025-06-10
HOM-0005,home,Home SKU 0005,3547,844.61,2995831.67,WH-SH,2025-06-10
HOM-0006,home,Home SKU 0006,2926,1571.65,4598647.9,WH-CD,2025-06-10
HOM-0007,home,Home SKU 0007,307,1803.01,553524.07,WH-GZ,2025-06-10
HOM-0008,home,Home SKU 0008,4429,1744.66,7727099.14,WH-GZ,2025-06-10
HOM-0009,home,Home SKU 0009,1776,86.99,154494.24,WH-GZ,2025-06-10
HOM-0010,home,Home SKU 0010,3315,459.01,1521618.15,WH-SH,2025-06-10
HOM-0011,home,Home SKU 0011,2474,1705.32,4218961.68,WH-BJ,2025-06-10
HOM-0012,home,Home SKU 0012,1587,630.85,1001158.95,WH-CD,2025-06-10
HOM-0013,home,Home SKU 0013,1567,1251.45,1961022.15,WH-CD,2025-06-10
HOM-0014,home,Home SKU 0014,4330,264.55,1145501.5,WH-CD,2025-06-10
HOM-0015,home,Home SKU 0015,1351,269.8,364499.8,WH-GZ,2025-06-10
HOM-0016,home,Home SKU 0016,4058,309.63,1256478.54,WH-CD,2025-06-10
HOM-0017,home,Home SKU 0017,4876,1093.0,5329468.0,WH-CD,2025-06-10
HOM-0018,home,Home SKU 0018,3854,1059.15,4081964.1,WH-BJ,2025-06-10
HOM-0019,home,Home SKU 0019,2608,1972.33,5143836.64,WH-GZ,2025-06-10
HOM-0020,home,Home SKU 0020,156,1406.19,219365.64,WH-SH,2025-06-10
HOM-0021,home,Home SKU 0021,3883,1674.69,6502821.27,WH-SH,2025-06-10
HOM-0022,home,Home SKU 0022,771,160.83,123999.93,WH-SH,2025-06-10
HOM-0023,home,Home SKU 0023,2268,1288.71,2922794.28,WH-SH,2025-06-10
HOM-0024,home,Home SKU 0024,2273,175.2,398229.6,WH-SH,2025-06-10
HOM-0025,home,Home SKU 0025,296,1046.2,309675.2,WH-BJ,2025-06-10
HOM-0026,home,Home SKU 0026,4908,1543.43,7575154.44,WH-SH,2025-06-10
HOM-0027,home,Home SKU 0027,503,635.09,319450.27,WH-SH,2025-06-10
HOM-0028,home,Home SKU 0028,771,125.0,96375.0,WH-CD,2025-06-10
HOM-0029,home,Home SKU 0029,4521,766.71,3466295.91,WH-GZ,2025-06-10
HOM-0030,home,Home SKU 0030,4186,468.93,1962940.98,WH-BJ,2025-06-10
HOM-0031,home,Home SKU 0031,4288,1804.27,7736709.76,WH-CD,2025-06-10
HOM-0032,home,Home SKU 0032,3621,840.69,3044138.49,WH-CD,2025-06-10
HOM-0033,home,Home SKU 0033,1386,1867.19,2587925.34,WH-CD,2025-06-10
HOM-0034,home,Home SKU 0034,506,955.27,483366.62,WH-BJ,2025-06-10
HOM-0035,home,Home SKU 0035,1630,1126.68,1836488.4,WH-GZ,2025-06-10
HOM-0036,home,Home SKU 0036,3803,486.2,1849018.6,WH-BJ,2025-06-10
HOM-0037,home,Home SKU 0037,152,1866.35,283685.2,WH-SH,2025-06-10
HOM-0038,home,Home SKU 0038,241,144.84,34906.44,WH-BJ,2025-06-10
HOM-0039,home,Home SKU 0039,4654,1693.55,7881781.7,WH-CD,2025-06-10
HOM-0040,home,Home SKU 0040,1060,333.53,353541.8,WH-GZ,2025-06-10
FOO-0001,food,Food SKU 0001,590,49.72,29334.8,WH-CD,2025-06-10
FOO-0002,food,Food SKU 0002,882,1169.45,1031454.9,WH-CD,2025-06-10
FOO-0003,food,Food SKU 0003,622,1818.79,1131287.38,WH-BJ,2025-06-10
FOO-0004,food,Food SKU 0004,1332,465.79,620432.28,WH-GZ,2025-06-10
FOO-0005,food,Food SKU 0005,773,1563.31,1208438.63,WH-GZ,2025-06-10
FOO-0006,food,Food SKU 0006,585,1462.92,855808.2,WH-CD,2025-06-10
FOO-0007,food,Food SKU 0007,2780,1812.31,5038221.8,WH-GZ,2025-06-10
FOO-0008,food,Food SKU 0008,2006,786.96,1578641.76,WH-BJ,2025-06-10
FOO-0009,food,Food SKU 0009,4699,1822.82,8565431.18,WH-CD,2025-06-10
FOO-0010,food,Food SKU 0010,795,904.52,719093.4,WH-CD,2025-06-10
FOO-0011,food,Food SKU 0011,4377,386.98,1693811.46,WH-BJ,2025-06-10
FOO-0012,food,Food SKU 0012,4405,708.56,3121206.8,WH-GZ,2025-06-10
FOO-0013,food,Food SKU 0013,3831,307.92,1179641.52,WH-SH,2025-06-10
FOO-0014,food,Food SKU 0014,3584,1567.07,5616378.88,WH-CD,2025-06-10
FOO-0015,food,Food SKU 0015,1468,1268.64,1862363.52,WH-GZ,2025-06-10
FOO-0016,food,Food SKU 0016,4015,48.5,194727.5,WH-BJ,2025-06-10
FOO-0017,food,Food SKU 0017,2179,614.07,1338058.53,WH-CD,2025-06-10
FOO-0018,food,Food SKU 0018,4168,517.64,2157523.52,WH-SH,2025-06-10
FOO-0019,food,Food SKU 0019,2139,833.24,1782300.36,WH-SH,2025-06-10
FOO-0020,food,Food SKU 0020,2968,1864.84,5534845.12,WH-GZ,2025-06-10
FOO-0021,food,Food SKU 0021,233,162.5,37862.5,WH-CD,2025-06-10
FOO-0022,food,Food SKU 0022,1033,739.18,763572.94,WH-CD,2025-06-10
FOO-0023,food,Food SKU 0023,4018,227.4,913693.2,WH-BJ,2025-06-10
FOO-0024,food,Food SKU 0024,3802,1973.54,7503399.08,WH-SH,2025-06-10
FOO-0025,food,Food SKU 0025,2733,1071.21,2927616.93,WH-CD,2025-06-10
FOO-0026,food,Food SKU 0026,3129,1747.11,5466707.19,WH-BJ,2025-06-10
FOO-0027,food,Food SKU 0027,364,1366.07,497249.48,WH-CD,2025-06-10
FOO-0028,food,Food SKU 0028,594,1014.76,602767.44,WH-BJ,2025-06-10
FOO-0029,food,Food SKU 0029,1913,1293.91,2475249.83,WH-CD,2025-06-10
FOO-0030,food,Food SKU 0030,2727,484.76,1321940.52,WH-SH,2025-06-10
