# contamination_rate: 23.0%
# original_record_count: 51203
# clean_record_count: 39426
# duplicate_count: 11777
# date_range: 2025-01-15 to 2025-02-28
duplicate_id,original_transaction_id,detected_date,affected_date_range
DUP002127,TXN019551,2025-01-15,2025-01-08 to 2025-01-15
DUP002140,TXN032743,2025-01-15,2025-01-10 to 2025-01-15
DUP002206,TXN012150,2025-01-15,2025-01-14 to 2025-01-15
DUP002248,TXN012790,2025-01-15,2025-01-13 to 2025-01-15
DUP002321,TXN034849,2025-01-15,2025-01-09 to 2025-01-15
DUP002336,TXN009621,2025-01-15,2025-01-12 to 2025-01-15
DUP002414,TXN023318,2025-01-15,2025-01-11 to 2025-01-15
DUP002420,TXN006377,2025-01-15,2025-01-12 to 2025-01-15
DUP002464,TXN000872,2025-01-15,2025-01-12 to 2025-01-15
DUP002465,TXN019060,2025-01-15,2025-01-10 to 2025-01-15
DUP002538,TXN011995,2025-01-15,2025-01-13 to 2025-01-15
DUP002611,TXN018152,2025-01-15,2025-01-13 to 2025-01-15
DUP002612,TXN033481,2025-01-15,2025-01-13 to 2025-01-15
DUP002615,TXN020135,2025-01-15,2025-01-13 to 2025-01-15
DUP002679,TXN017201,2025-01-15,2025-01-10 to 2025-01-15
DUP002807,TXN027253,2025-01-15,2025-01-14 to 2025-01-15
DUP002868,TXN031951,2025-01-15,2025-01-09 to 2025-01-15
DUP002896,TXN026856,2025-01-15,2025-01-11 to 2025-01-15
DUP003006,TXN009849,2025-01-15,2025-01-11 to 2025-01-15
DUP003029,TXN031288,2025-01-15,2025-01-09 to 2025-01-15
DUP003069,TXN029701,2025-01-15,2025-01-09 to 2025-01-15
DUP003109,TXN022735,2025-01-15,2025-01-13 to 2025-01-15
DUP003136,TXN031310,2025-01-15,2025-01-10 to 2025-01-15
DUP003220,TXN026791,2025-01-15,2025-01-09 to 2025-01-15
DUP003268,TXN002298,2025-01-15,2025-01-13 to 2025-01-15
DUP003290,TXN019495,2025-01-15,2025-01-10 to 2025-01-15
DUP003351,TXN018871,2025-01-15,2025-01-08 to 2025-01-15
DUP003384,TXN012415,2025-01-15,2025-01-13 to 2025-01-15
DUP003427,TXN007867,2025-01-15,2025-01-12 to 2025-01-15
DUP003473,TXN011067,2025-01-15,2025-01-12 to 2025-01-15
DUP003534,TXN008633,2025-01-15,2025-01-10 to 2025-01-15
DUP003554,TXN023977,2025-01-15,2025-01-14 to 2025-01-15
DUP003580,TXN017742,2025-01-15,2025-01-11 to 2025-01-15
DUP003595,TXN010923,2025-01-15,2025-01-09 to 2025-01-15
DUP003634,TXN028997,2025-01-15,2025-01-11 to 2025-01-15
DUP003636,TXN008304,2025-01-15,2025-01-12 to 2025-01-15
DUP003681,TXN018376,2025-01-15,2025-01-12 to 2025-01-15
DUP003706,TXN037038,2025-01-15,2025-01-09 to 2025-01-15
DUP003731,TXN024845,2025-01-15,2025-01-14 to 2025-01-15
DUP003786,TXN027767,2025-01-15,2025-01-12 to 2025-01-15
DUP003890,TXN001959,2025-01-15,2025-01-10 to 2025-01-15
DUP003900,TXN036148,2025-01-15,2025-01-14 to 2025-01-15
DUP003960,TXN027094,2025-01-15,2025-01-12 to 2025-01-15
DUP004040,TXN003906,2025-01-15,2025-01-11 to 2025-01-15
DUP004062,TXN038731,2025-01-15,2025-01-13 to 2025-01-15
DUP004095,TXN000640,2025-01-15,2025-01-10 to 2025-01-15
DUP004134,TXN008483,2025-01-15,2025-01-09 to 2025-01-15
DUP004158,TXN015175,2025-01-15,2025-01-10 to 2025-01-15
DUP004231,TXN032094,2025-01-15,2025-01-12 to 2025-01-15
DUP004238,TXN027033,2025-01-15,2025-01-09 to 2025-01-15
DUP004351,TXN030579,2025-01-15,2025-01-13 to 2025-01-15
DUP004535,TXN004147,2025-01-15,2025-01-08 to 2025-01-15
DUP004614,TXN024319,2025-01-15,2025-01-13 to 2025-01-15
DUP004628,TXN035815,2025-01-15,2025-01-12 to 2025-01-15
DUP004678,TXN027754,2025-01-15,2025-01-11 to 2025-01-15
DUP004702,TXN005353,2025-01-15,2025-01-12 to 2025-01-15
DUP004719,TXN011413,2025-01-15,2025-01-10 to 2025-01-15
DUP004790,TXN021412,2025-01-15,2025-01-13 to 2025-01-15
DUP004991,TXN007831,2025-01-15,2025-01-10 to 2025-01-15
DUP004999,TXN029609,2025-01-15,2025-01-12 to 2025-01-15
DUP005002,TXN018275,2025-01-15,2025-01-10 to 2025-01-15
DUP005057,TXN033469,2025-01-15,2025-01-08 to 2025-01-15
DUP005077,TXN008728,2025-01-15,2025-01-13 to 2025-01-15
DUP005144,TXN002306,2025-01-15,2025-01-11 to 2025-01-15
DUP005148,TXN022830,2025-01-15,2025-01-12 to 2025-01-15
DUP005177,TXN008818,2025-01-15,2025-01-10 to 2025-01-15
DUP005410,TXN007262,2025-01-15,2025-01-12 to 2025-01-15
DUP005448,TXN033031,2025-01-15,2025-01-10 to 2025-01-15
DUP005483,TXN027811,2025-01-15,2025-01-13 to 2025-01-15
DUP005548,TXN002343,2025-01-15,2025-01-09 to 2025-01-15
DUP005559,TXN023842,2025-01-15,2025-01-11 to 2025-01-15
DUP005573,TXN025888,2025-01-15,2025-01-09 to 2025-01-15
DUP005617,TXN014277,2025-01-15,2025-01-14 to 2025-01-15
DUP005621,TXN002116,2025-01-15,2025-01-14 to 2025-01-15
DUP005635,TXN004502,2025-01-15,2025-01-10 to 2025-01-15
DUP005746,TXN011162,2025-01-15,2025-01-09 to 2025-01-15
DUP005824,TXN021004,2025-01-15,2025-01-14 to 2025-01-15
DUP005827,TXN036918,2025-01-15,2025-01-11 to 2025-01-15
DUP005843,TXN012257,2025-01-15,2025-01-10 to 2025-01-15
DUP005868,TXN015904,2025-01-15,2025-01-09 to 2025-01-15
DUP005961,TXN019075,2025-01-15,2025-01-12 to 2025-01-15
DUP005974,TXN004602,2025-01-15,2025-01-11 to 2025-01-15
DUP006067,TXN019800,2025-01-15,2025-01-13 to 2025-01-15
DUP006072,TXN000798,2025-01-15,2025-01-10 to 2025-01-15
DUP006093,TXN035806,2025-01-15,2025-01-14 to 2025-01-15
DUP006200,TXN037131,2025-01-15,2025-01-08 to 2025-01-15
DUP006317,TXN013367,2025-01-15,2025-01-14 to 2025-01-15
DUP006363,TXN030134,2025-01-15,2025-01-11 to 2025-01-15
DUP006419,TXN030550,2025-01-15,2025-01-12 to 2025-01-15
DUP006473,TXN014104,2025-01-15,2025-01-10 to 2025-01-15
DUP006490,TXN029833,2025-01-15,2025-01-14 to 2025-01-15
DUP006495,TXN006395,2025-01-15,2025-01-08 to 2025-01-15
DUP006513,TXN015925,2025-01-15,2025-01-13 to 2025-01-15
DUP006517,TXN029484,2025-01-15,2025-01-14 to 2025-01-15
DUP006521,TXN038659,2025-01-15,2025-01-11 to 2025-01-15
DUP006551,TXN023362,2025-01-15,2025-01-09 to 2025-01-15
DUP006608,TXN007396,2025-01-15,2025-01-09 to 2025-01-15
DUP006609,TXN017842,2025-01-15,2025-01-14 to 2025-01-15
DUP006667,TXN014091,2025-01-15,2025-01-09 to 2025-01-15
DUP006681,TXN033893,2025-01-15,2025-01-08 to 2025-01-15
DUP006743,TXN017532,2025-01-15,2025-01-14 to 2025-01-15
DUP006775,TXN031257,2025-01-15,2025-01-09 to 2025-01-15
DUP006776,TXN018036,2025-01-15,2025-01-13 to 2025-01-15
DUP006858,TXN037581,2025-01-15,2025-01-10 to 2025-01-15
DUP006900,TXN030054,2025-01-15,2025-01-09 to 2025-01-15
DUP006965,TXN024152,2025-01-15,2025-01-09 to 2025-01-15
DUP007040,TXN013503,2025-01-15,2025-01-12 to 2025-01-15
DUP007052,TXN031506,2025-01-15,2025-01-12 to 2025-01-15
DUP007071,TXN034613,2025-01-15,2025-01-14 to 2025-01-15
DUP007224,TXN013572,2025-01-15,2025-01-09 to 2025-01-15
DUP007234,TXN035071,2025-01-15,2025-01-09 to 2025-01-15
DUP007246,TXN024090,2025-01-15,2025-01-08 to 2025-01-15
DUP007312,TXN032276,2025-01-15,2025-01-12 to 2025-01-15
DUP007313,TXN011073,2025-01-15,2025-01-09 to 2025-01-15
DUP007383,TXN007042,2025-01-15,2025-01-11 to 2025-01-15
DUP007433,TXN007913,2025-01-15,2025-01-09 to 2025-01-15
DUP007435,TXN029289,2025-01-15,2025-01-11 to 2025-01-15
DUP007534,TXN031288,2025-01-15,2025-01-09 to 2025-01-15
DUP007556,TXN000272,2025-01-15,2025-01-14 to 2025-01-15
DUP007583,TXN008287,2025-01-15,2025-01-14 to 2025-01-15
DUP007604,TXN021192,2025-01-15,2025-01-13 to 2025-01-15
DUP007648,TXN001442,2025-01-15,2025-01-14 to 2025-01-15
DUP007695,TXN025266,2025-01-15,2025-01-11 to 2025-01-15
DUP007719,TXN004029,2025-01-15,2025-01-10 to 2025-01-15
DUP007723,TXN031908,2025-01-15,2025-01-12 to 2025-01-15
DUP007725,TXN037353,2025-01-15,2025-01-14 to 2025-01-15
DUP007749,TXN018456,2025-01-15,2025-01-10 to 2025-01-15
DUP007779,TXN038291,2025-01-15,2025-01-11 to 2025-01-15
DUP007799,TXN014500,2025-01-15,2025-01-14 to 2025-01-15
DUP007812,TXN037408,2025-01-15,2025-01-11 to 2025-01-15
DUP007836,TXN011751,2025-01-15,2025-01-12 to 2025-01-15
DUP007912,TXN025684,2025-01-15,2025-01-09 to 2025-01-15
DUP007940,TXN025792,2025-01-15,2025-01-08 to 2025-01-15
DUP007957,TXN023865,2025-01-15,2025-01-14 to 2025-01-15
DUP008042,TXN012346,2025-01-15,2025-01-10 to 2025-01-15
DUP008083,TXN031492,2025-01-15,2025-01-08 to 2025-01-15
DUP008108,TXN003457,2025-01-15,2025-01-14 to 2025-01-15
DUP008156,TXN020527,2025-01-15,2025-01-12 to 2025-01-15
DUP008230,TXN038114,2025-01-15,2025-01-11 to 2025-01-15
DUP008243,TXN034546,2025-01-15,2025-01-12 to 2025-01-15
DUP008285,TXN035592,2025-01-15,2025-01-14 to 2025-01-15
DUP008313,TXN012693,2025-01-15,2025-01-12 to 2025-01-15
DUP008383,TXN024819,2025-01-15,2025-01-09 to 2025-01-15
DUP008440,TXN002119,2025-01-15,2025-01-13 to 2025-01-15
DUP008545,TXN000269,2025-01-15,2025-01-11 to 2025-01-15
DUP008604,TXN013891,2025-01-15,2025-01-09 to 2025-01-15
DUP008639,TXN028619,2025-01-15,2025-01-11 to 2025-01-15
DUP008701,TXN029998,2025-01-15,2025-01-12 to 2025-01-15
DUP008707,TXN020603,2025-01-15,2025-01-13 to 2025-01-15
DUP008843,TXN013383,2025-01-15,2025-01-11 to 2025-01-15
DUP008901,TXN030032,2025-01-15,2025-01-11 to 2025-01-15
DUP008917,TXN009192,2025-01-15,2025-01-09 to 2025-01-15
DUP008961,TXN002266,2025-01-15,2025-01-13 to 2025-01-15
DUP009005,TXN010362,2025-01-15,2025-01-09 to 2025-01-15
DUP009026,TXN019009,2025-01-15,2025-01-09 to 2025-01-15
DUP009047,TXN033545,2025-01-15,2025-01-09 to 2025-01-15
DUP009063,TXN023219,2025-01-15,2025-01-12 to 2025-01-15
DUP009074,TXN023727,2025-01-15,2025-01-12 to 2025-01-15
DUP009086,TXN019054,2025-01-15,2025-01-09 to 2025-01-15
DUP009140,TXN023325,2025-01-15,2025-01-08 to 2025-01-15
DUP009151,TXN016374,2025-01-15,2025-01-14 to 2025-01-15
DUP009227,TXN013957,2025-01-15,2025-01-09 to 2025-01-15
DUP009307,TXN029895,2025-01-15,2025-01-08 to 2025-01-15
DUP009331,TXN035406,2025-01-15,2025-01-11 to 2025-01-15
DUP009395,TXN021519,2025-01-15,2025-01-13 to 2025-01-15
DUP009402,TXN029589,2025-01-15,2025-01-14 to 2025-01-15
DUP009658,TXN010365,2025-01-15,2025-01-09 to 2025-01-15
DUP009670,TXN030493,2025-01-15,2025-01-13 to 2025-01-15
DUP009671,TXN017420,2025-01-15,2025-01-10 to 2025-01-15
DUP009677,TXN022468,2025-01-15,2025-01-13 to 2025-01-15
DUP009704,TXN038373,2025-01-15,2025-01-14 to 2025-01-15
DUP009757,TXN036473,2025-01-15,2025-01-10 to 2025-01-15
DUP009760,TXN008885,2025-01-15,2025-01-12 to 2025-01-15
DUP009779,TXN037396,2025-01-15,2025-01-08 to 2025-01-15
DUP009834,TXN033939,2025-01-15,2025-01-08 to 2025-01-15
DUP009884,TXN032087,2025-01-15,2025-01-14 to 2025-01-15
DUP009900,TXN017555,2025-01-15,2025-01-09 to 2025-01-15
DUP009923,TXN033864,2025-01-15,2025-01-10 to 2025-01-15
DUP009940,TXN033904,2025-01-15,2025-01-11 to 2025-01-15
DUP009991,TXN029367,2025-01-15,2025-01-12 to 2025-01-15
DUP010100,TXN029799,2025-01-15,2025-01-12 to 2025-01-15
DUP010111,TXN011934,2025-01-15,2025-01-12 to 2025-01-15
DUP010133,TXN029143,2025-01-15,2025-01-08 to 2025-01-15
DUP010157,TXN011001,2025-01-15,2025-01-11 to 2025-01-15
DUP010198,TXN020848,2025-01-15,2025-01-13 to 2025-01-15
DUP010212,TXN033830,2025-01-15,2025-01-08 to 2025-01-15
DUP010225,TXN024892,2025-01-15,2025-01-11 to 2025-01-15
DUP010242,TXN032071,2025-01-15,2025-01-14 to 2025-01-15
DUP010317,TXN009499,2025-01-15,2025-01-08 to 2025-01-15
DUP010370,TXN003204,2025-01-15,2025-01-14 to 2025-01-15
DUP010513,TXN010948,2025-01-15,2025-01-09 to 2025-01-15
DUP010578,TXN016627,2025-01-15,2025-01-12 to 2025-01-15
DUP010610,TXN018704,2025-01-15,2025-01-09 to 2025-01-15
DUP010637,TXN038670,2025-01-15,2025-01-14 to 2025-01-15
DUP010859,TXN010046,2025-01-15,2025-01-10 to 2025-01-15
DUP010866,TXN002641,2025-01-15,2025-01-09 to 2025-01-15
DUP010959,TXN034748,2025-01-15,2025-01-13 to 2025-01-15
DUP011168,TXN037254,2025-01-15,2025-01-09 to 2025-01-15
DUP011177,TXN025755,2025-01-15,2025-01-13 to 2025-01-15
DUP011212,TXN005137,2025-01-15,2025-01-08 to 2025-01-15
DUP011222,TXN027770,2025-01-15,2025-01-08 to 2025-01-15
DUP011240,TXN035182,2025-01-15,2025-01-09 to 2025-01-15
DUP011375,TXN024706,2025-01-15,2025-01-10 to 2025-01-15
DUP011380,TXN020755,2025-01-15,2025-01-08 to 2025-01-15
DUP011398,TXN005093,2025-01-15,2025-01-08 to 2025-01-15
DUP011431,TXN036405,2025-01-15,2025-01-08 to 2025-01-15
DUP011464,TXN015714,2025-01-15,2025-01-08 to 2025-01-15
DUP011492,TXN023862,2025-01-15,2025-01-09 to 2025-01-15
DUP011504,TXN030276,2025-01-15,2025-01-09 to 2025-01-15
DUP011579,TXN010688,2025-01-15,2025-01-14 to 2025-01-15
DUP011649,TXN028820,2025-01-15,2025-01-09 to 2025-01-15
DUP011729,TXN006647,2025-01-15,2025-01-12 to 2025-01-15
DUP011751,TXN029355,2025-01-15,2025-01-10 to 2025-01-15
DUP011762,TXN032535,2025-01-15,2025-01-10 to 2025-01-15
DUP000004,TXN036955,2025-01-16,2025-01-14 to 2025-01-16
DUP000070,TXN023468,2025-01-16,2025-01-13 to 2025-01-16
DUP000099,TXN007550,2025-01-16,2025-01-10 to 2025-01-16
DUP000108,TXN032624,2025-01-16,2025-01-15 to 2025-01-16
DUP000155,TXN028842,2025-01-16,2025-01-13 to 2025-01-16
DUP000178,TXN029786,2025-01-16,2025-01-15 to 2025-01-16
DUP000200,TXN015354,2025-01-16,2025-01-12 to 2025-01-16
DUP000211,TXN013362,2025-01-16,2025-01-11 to 2025-01-16
DUP000245,TXN000871,2025-01-16,2025-01-10 to 2025-01-16
DUP000282,TXN034056,2025-01-16,2025-01-11 to 2025-01-16
DUP000312,TXN023057,2025-01-16,2025-01-15 to 2025-01-16
DUP000314,TXN000827,2025-01-16,2025-01-13 to 2025-01-16
DUP000329,TXN023301,2025-01-16,2025-01-14 to 2025-01-16
DUP000362,TXN028812,2025-01-16,2025-01-15 to 2025-01-16
DUP000428,TXN037508,2025-01-16,2025-01-09 to 2025-01-16
DUP000433,TXN011879,2025-01-16,2025-01-10 to 2025-01-16
DUP000450,TXN002376,2025-01-16,2025-01-14 to 2025-01-16
DUP000460,TXN013433,2025-01-16,2025-01-14 to 2025-01-16
DUP000486,TXN033424,2025-01-16,2025-01-15 to 2025-01-16
DUP000516,TXN010763,2025-01-16,2025-01-15 to 2025-01-16
DUP000549,TXN003571,2025-01-16,2025-01-09 to 2025-01-16
DUP000665,TXN007833,2025-01-16,2025-01-09 to 2025-01-16
DUP000673,TXN006243,2025-01-16,2025-01-13 to 2025-01-16
DUP000679,TXN020829,2025-01-16,2025-01-12 to 2025-01-16
DUP000723,TXN017620,2025-01-16,2025-01-10 to 2025-01-16
DUP000781,TXN034249,2025-01-16,2025-01-10 to 2025-01-16
DUP000809,TXN037246,2025-01-16,2025-01-14 to 2025-01-16
DUP000818,TXN029178,2025-01-16,2025-01-13 to 2025-01-16
DUP000893,TXN004403,2025-01-16,2025-01-12 to 2025-01-16
DUP000962,TXN023249,2025-01-16,2025-01-14 to 2025-01-16
DUP000967,TXN010171,2025-01-16,2025-01-13 to 2025-01-16
DUP000971,TXN024179,2025-01-16,2025-01-09 to 2025-01-16
DUP000988,TXN035364,2025-01-16,2025-01-09 to 2025-01-16
DUP001002,TXN008136,2025-01-16,2025-01-10 to 2025-01-16
DUP001021,TXN031119,2025-01-16,2025-01-15 to 2025-01-16
DUP001022,TXN035776,2025-01-16,2025-01-11 to 2025-01-16
DUP001042,TXN022684,2025-01-16,2025-01-14 to 2025-01-16
DUP001048,TXN016840,2025-01-16,2025-01-12 to 2025-01-16
DUP001147,TXN005202,2025-01-16,2025-01-15 to 2025-01-16
DUP001307,TXN029169,2025-01-16,2025-01-12 to 2025-01-16
DUP001339,TXN019769,2025-01-16,2025-01-09 to 2025-01-16
DUP001464,TXN022573,2025-01-16,2025-01-15 to 2025-01-16
DUP001562,TXN004814,2025-01-16,2025-01-15 to 2025-01-16
DUP001623,TXN035802,2025-01-16,2025-01-15 to 2025-01-16
DUP001644,TXN011079,2025-01-16,2025-01-12 to 2025-01-16
DUP001697,TXN014680,2025-01-16,2025-01-11 to 2025-01-16
DUP001700,TXN026457,2025-01-16,2025-01-10 to 2025-01-16
DUP001751,TXN025839,2025-01-16,2025-01-13 to 2025-01-16
DUP001754,TXN011057,2025-01-16,2025-01-10 to 2025-01-16
DUP001765,TXN000953,2025-01-16,2025-01-09 to 2025-01-16
DUP001813,TXN023356,2025-01-16,2025-01-12 to 2025-01-16
DUP001829,TXN032019,2025-01-16,2025-01-09 to 2025-01-16
DUP001852,TXN036412,2025-01-16,2025-01-12 to 2025-01-16
DUP001903,TXN013919,2025-01-16,2025-01-14 to 2025-01-16
DUP001909,TXN038318,2025-01-16,2025-01-15 to 2025-01-16
DUP001972,TXN018114,2025-01-16,2025-01-10 to 2025-01-16
DUP001984,TXN027835,2025-01-16,2025-01-09 to 2025-01-16
DUP002092,TXN038523,2025-01-16,2025-01-12 to 2025-01-16
DUP002136,TXN006356,2025-01-16,2025-01-09 to 2025-01-16
DUP002265,TXN020257,2025-01-16,2025-01-11 to 2025-01-16
DUP002290,TXN030528,2025-01-16,2025-01-11 to 2025-01-16
DUP002312,TXN039332,2025-01-16,2025-01-13 to 2025-01-16
DUP002340,TXN003160,2025-01-16,2025-01-14 to 2025-01-16
DUP002379,TXN023384,2025-01-16,2025-01-15 to 2025-01-16
DUP002402,TXN037234,2025-01-16,2025-01-11 to 2025-01-16
DUP002410,TXN022428,2025-01-16,2025-01-12 to 2025-01-16
DUP002492,TXN021915,2025-01-16,2025-01-09 to 2025-01-16
DUP002574,TXN028658,2025-01-16,2025-01-11 to 2025-01-16
DUP002603,TXN012702,2025-01-16,2025-01-12 to 2025-01-16
DUP002621,TXN002348,2025-01-16,2025-01-13 to 2025-01-16
DUP002821,TXN002522,2025-01-16,2025-01-15 to 2025-01-16
DUP002875,TXN036658,2025-01-16,2025-01-14 to 2025-01-16
DUP002894,TXN031131,2025-01-16,2025-01-14 to 2025-01-16
DUP002895,TXN018145,2025-01-16,2025-01-13 to 2025-01-16
DUP002897,TXN003879,2025-01-16,2025-01-15 to 2025-01-16
DUP002900,TXN030321,2025-01-16,2025-01-12 to 2025-01-16
DUP002917,TXN013970,2025-01-16,2025-01-13 to 2025-01-16
DUP002926,TXN038063,2025-01-16,2025-01-09 to 2025-01-16
DUP002930,TXN031986,2025-01-16,2025-01-10 to 2025-01-16
DUP003032,TXN008463,2025-01-16,2025-01-15 to 2025-01-16
DUP003056,TXN004262,2025-01-16,2025-01-09 to 2025-01-16
DUP003108,TXN023325,2025-01-16,2025-01-10 to 2025-01-16
DUP003131,TXN034177,2025-01-16,2025-01-12 to 2025-01-16
DUP003154,TXN030717,2025-01-16,2025-01-14 to 2025-01-16
DUP003178,TXN026501,2025-01-16,2025-01-11 to 2025-01-16
DUP003195,TXN019474,2025-01-16,2025-01-13 to 2025-01-16
DUP003230,TXN003647,2025-01-16,2025-01-13 to 2025-01-16
DUP003235,TXN005128,2025-01-16,2025-01-10 to 2025-01-16
DUP003246,TXN028084,2025-01-16,2025-01-12 to 2025-01-16
DUP003256,TXN031126,2025-01-16,2025-01-14 to 2025-01-16
DUP003287,TXN016857,2025-01-16,2025-01-13 to 2025-01-16
DUP003292,TXN016184,2025-01-16,2025-01-13 to 2025-01-16
DUP003633,TXN034930,2025-01-16,2025-01-14 to 2025-01-16
DUP003671,TXN013282,2025-01-16,2025-01-09 to 2025-01-16
DUP003691,TXN008657,2025-01-16,2025-01-15 to 2025-01-16
DUP003721,TXN027314,2025-01-16,2025-01-11 to 2025-01-16
DUP003724,TXN011243,2025-01-16,2025-01-10 to 2025-01-16
DUP003809,TXN024954,2025-01-16,2025-01-15 to 2025-01-16
DUP003826,TXN023721,2025-01-16,2025-01-09 to 2025-01-16
DUP003852,TXN011688,2025-01-16,2025-01-15 to 2025-01-16
DUP003974,TXN029166,2025-01-16,2025-01-10 to 2025-01-16
DUP003981,TXN025826,2025-01-16,2025-01-10 to 2025-01-16
DUP003996,TXN013948,2025-01-16,2025-01-10 to 2025-01-16
DUP004044,TXN019939,2025-01-16,2025-01-10 to 2025-01-16
DUP004053,TXN036546,2025-01-16,2025-01-10 to 2025-01-16
DUP004130,TXN018097,2025-01-16,2025-01-10 to 2025-01-16
DUP004141,TXN030553,2025-01-16,2025-01-10 to 2025-01-16
DUP004154,TXN008472,2025-01-16,2025-01-14 to 2025-01-16
DUP004156,TXN028401,2025-01-16,2025-01-15 to 2025-01-16
DUP004186,TXN022997,2025-01-16,2025-01-15 to 2025-01-16
DUP004248,TXN017135,2025-01-16,2025-01-14 to 2025-01-16
DUP004252,TXN031002,2025-01-16,2025-01-12 to 2025-01-16
DUP004289,TXN021937,2025-01-16,2025-01-13 to 2025-01-16
DUP004485,TXN030252,2025-01-16,2025-01-10 to 2025-01-16
DUP004489,TXN035041,2025-01-16,2025-01-14 to 2025-01-16
DUP004491,TXN038466,2025-01-16,2025-01-09 to 2025-01-16
DUP004505,TXN035234,2025-01-16,2025-01-11 to 2025-01-16
DUP004507,TXN019174,2025-01-16,2025-01-15 to 2025-01-16
DUP004590,TXN038113,2025-01-16,2025-01-13 to 2025-01-16
DUP004710,TXN020698,2025-01-16,2025-01-15 to 2025-01-16
DUP004720,TXN023427,2025-01-16,2025-01-09 to 2025-01-16
DUP004739,TXN009533,2025-01-16,2025-01-11 to 2025-01-16
DUP004740,TXN027902,2025-01-16,2025-01-12 to 2025-01-16
