hostname,ip,ssh_version,os,env,owner,is_vulnerable,rhel_version
r8s0023.internal.example.com,10.63.247.137,OpenSSH_8.0p1,RHEL 8,staging,backend,true,8.10
r8p0024.internal.example.com,10.55.126.52,OpenSSH_8.0p1,RHEL 8,prod,backend,true,8.10
r8p0025.internal.example.com,10.78.75.173,OpenSSH_8.0p1,RHEL 8,prod,backend,true,8.10
r8s0026.internal.example.com,10.67.102.53,OpenSSH_8.0p1,RHEL 8,staging,backend,true,8.10
r8p0027.internal.example.com,10.78.151.172,OpenSSH_8.0p1,RHEL 8,prod,devops,true,8.10
r8d0028.internal.example.com,10.55.101.98,OpenSSH_8.0p1,RHEL 8,dev,devops,true,8.10
r8p0029.internal.example.com,10.80.132.49,OpenSSH_8.0p1,RHEL 8,prod,devops,true,8.10
r8s0030.internal.example.com,10.69.81.136,OpenSSH_8.0p1,RHEL 8,staging,sre,true,8.10
r8p0031.internal.example.com,10.61.1.186,OpenSSH_8.0p1,RHEL 8,prod,sre,true,8.10
r8s0032.internal.example.com,10.55.191.57,OpenSSH_8.0p1,RHEL 8,staging,backend,true,8.10
r8p0033.internal.example.com,10.53.228.188,OpenSSH_8.0p1,RHEL 8,prod,backend,true,8.10
r8s0034.internal.example.com,10.75.68.225,OpenSSH_8.0p1,RHEL 8,staging,backend,true,8.10
r8s0035.internal.example.com,10.52.148.227,OpenSSH_8.0p1,RHEL 8,staging,devops,true,8.10
r8s0036.internal.example.com,10.69.187.180,OpenSSH_8.0p1,RHEL 8,staging,sre,true,8.10
r8d0037.internal.example.com,10.59.211.57,OpenSSH_8.0p1,RHEL 8,dev,sre,true,8.10
r8s0038.internal.example.com,10.54.72.203,OpenSSH_8.0p1,RHEL 8,staging,data-infra,true,8.10
r8p0039.internal.example.com,10.71.3.91,OpenSSH_8.0p1,RHEL 8,prod,devops,true,8.10
r8d0040.internal.example.com,10.54.243.32,OpenSSH_8.0p1,RHEL 8,dev,sre,true,8.10
r8s0041.internal.example.com,10.65.122.134,OpenSSH_8.0p1,RHEL 8,staging,sre,true,8.10
r8p0042.internal.example.com,10.70.92.199,OpenSSH_8.0p1,RHEL 8,prod,sre,true,8.10
r8s0043.internal.example.com,10.52.143.141,OpenSSH_8.0p1,RHEL 8,staging,sre,true,8.10
r8s0044.internal.example.com,10.58.201.8,OpenSSH_8.0p1,RHEL 8,staging,devops,true,8.10
r8d0045.internal.example.com,10.60.57.99,OpenSSH_8.0p1,RHEL 8,dev,devops,true,8.10
r8p0046.internal.example.com,10.64.230.62,OpenSSH_8.0p1,RHEL 8,prod,devops,true,8.10
r8p0047.internal.example.com,10.79.164.160,OpenSSH_8.0p1,RHEL 8,prod,devops,true,8.10
r8p0048.internal.example.com,10.60.150.2,OpenSSH_8.0p1,RHEL 8,prod,devops,true,8.10
r8p0049.internal.example.com,10.79.35.108,OpenSSH_8.0p1,RHEL 8,prod,data-infra,true,8.10
r8p0050.internal.example.com,10.63.217.113,OpenSSH_8.0p1,RHEL 8,prod,data-infra,true,8.10
r8d0051.internal.example.com,10.63.220.31,OpenSSH_8.0p1,RHEL 8,dev,data-infra,true,8.10
r8p0052.internal.example.com,10.69.232.77,OpenSSH_8.0p1,RHEL 8,prod,sre,true,8.10
r8d0053.internal.example.com,10.71.161.36,OpenSSH_8.0p1,RHEL 8,dev,data-infra,true,8.10
r8p0054.internal.example.com,10.57.60.148,OpenSSH_8.0p1,RHEL 8,prod,data-infra,true,8.10
r8d0055.internal.example.com,10.52.254.7,OpenSSH_8.0p1,RHEL 8,dev,devops,true,8.10
r8s0056.internal.example.com,10.62.136.228,OpenSSH_8.0p1,RHEL 8,staging,data-infra,true,8.10
r8s0057.internal.example.com,10.77.117.46,OpenSSH_8.0p1,RHEL 8,staging,backend,true,8.10
r8s0058.internal.example.com,10.65.163.152,OpenSSH_8.0p1,RHEL 8,staging,sre,true,8.10
r8d0059.internal.example.com,10.68.61.128,OpenSSH_8.0p1,RHEL 8,dev,sre,true,8.10
r8p0060.internal.example.com,10.69.83.179,OpenSSH_8.0p1,RHEL 8,prod,backend,true,8.10
r8p0061.internal.example.com,10.75.76.76,OpenSSH_8.0p1,RHEL 8,prod,devops,true,8.10
r8d0062.internal.example.com,10.69.213.101,OpenSSH_8.0p1,RHEL 8,dev,devops,true,8.10
r8p0063.internal.example.com,10.62.197.31,OpenSSH_8.0p1,RHEL 8,prod,backend,true,8.10
r8p0064.internal.example.com,10.77.55.23,OpenSSH_8.0p1,RHEL 8,prod,devops,true,8.10
r8p0065.internal.example.com,10.72.95.227,OpenSSH_8.0p1,RHEL 8,prod,backend,true,8.10
r8p0066.internal.example.com,10.74.202.126,OpenSSH_8.0p1,RHEL 8,prod,devops,true,8.10
r8d0067.internal.example.com,10.57.200.18,OpenSSH_8.0p1,RHEL 8,dev,devops,true,8.10
r8p0068.internal.example.com,10.75.27.78,OpenSSH_8.0p1,RHEL 8,prod,backend,true,8.10
r8s0069.internal.example.com,10.66.54.153,OpenSSH_8.0p1,RHEL 8,staging,devops,true,8.10
r8d0070.internal.example.com,10.65.58.102,OpenSSH_8.0p1,RHEL 8,dev,backend,true,8.10
r8s0071.internal.example.com,10.72.5.116,OpenSSH_8.0p1,RHEL 8,staging,backend,true,8.10
r8d0072.internal.example.com,10.51.51.194,OpenSSH_8.0p1,RHEL 8,dev,data-infra,true,8.10
r8p0073.internal.example.com,10.78.57.4,OpenSSH_8.0p1,RHEL 8,prod,backend,true,8.10
r8p0074.internal.example.com,10.70.19.186,OpenSSH_8.0p1,RHEL 8,prod,devops,true,8.10
r8p0075.internal.example.com,10.74.73.36,OpenSSH_8.0p1,RHEL 8,prod,devops,true,8.10
r8d0076.internal.example.com,10.71.93.64,OpenSSH_8.0p1,RHEL 8,dev,backend,true,8.10
r8p0077.internal.example.com,10.66.156.249,OpenSSH_8.0p1,RHEL 8,prod,sre,true,8.10
r8p0078.internal.example.com,10.57.44.235,OpenSSH_8.0p1,RHEL 8,prod,sre,true,8.10
r8d0079.internal.example.com,10.67.128.190,OpenSSH_8.0p1,RHEL 8,dev,sre,true,8.10
r8d0080.internal.example.com,10.53.109.246,OpenSSH_8.0p1,RHEL 8,dev,data-infra,true,8.10
r8p0081.internal.example.com,10.69.142.33,OpenSSH_8.0p1,RHEL 8,prod,sre,true,8.10
r8s0082.internal.example.com,10.58.32.19,OpenSSH_8.0p1,RHEL 8,staging,sre,true,8.10
r8p0083.internal.example.com,10.62.43.23,OpenSSH_8.0p1,RHEL 8,prod,backend,true,8.10
r8d0084.internal.example.com,10.53.22.245,OpenSSH_8.0p1,RHEL 8,dev,devops,true,8.10
r8s0085.internal.example.com,10.62.61.254,OpenSSH_8.0p1,RHEL 8,staging,data-infra,true,8.10
r8d0086.internal.example.com,10.54.229.45,OpenSSH_8.0p1,RHEL 8,dev,data-infra,true,8.10
r8s0087.internal.example.com,10.58.160.134,OpenSSH_8.0p1,RHEL 8,staging,sre,true,8.10
r8s0088.internal.example.com,10.73.53.34,OpenSSH_8.0p1,RHEL 8,staging,backend,true,8.10
r8p0089.internal.example.com,10.67.192.109,OpenSSH_8.0p1,RHEL 8,prod,sre,true,8.10
r8d0090.internal.example.com,10.67.27.56,OpenSSH_8.0p1,RHEL 8,dev,backend,true,8.10
r8s0091.internal.example.com,10.63.124.192,OpenSSH_8.0p1,RHEL 8,staging,devops,true,8.10
r8p0092.internal.example.com,10.56.200.91,OpenSSH_8.0p1,RHEL 8,prod,data-infra,true,8.10
r8d0093.internal.example.com,10.55.16.24,OpenSSH_8.0p1,RHEL 8,dev,backend,true,8.10
r8p0094.internal.example.com,10.59.251.146,OpenSSH_8.0p1,RHEL 8,prod,devops,true,8.10
r8d0095.internal.example.com,10.72.25.107,OpenSSH_8.0p1,RHEL 8,dev,sre,true,8.10
r8p0096.internal.example.com,10.67.4.253,OpenSSH_8.0p1,RHEL 8,prod,devops,true,8.10
r8d0097.internal.example.com,10.69.168.227,OpenSSH_8.0p1,RHEL 8,dev,backend,true,8.10
r8d0098.internal.example.com,10.60.48.240,OpenSSH_8.0p1,RHEL 8,dev,devops,true,8.10
r8s0099.internal.example.com,10.76.152.29,OpenSSH_8.0p1,RHEL 8,staging,data-infra,true,8.10
r8p0100.internal.example.com,10.67.134.16,OpenSSH_8.0p1,RHEL 8,prod,data-infra,true,8.10
r8p0101.internal.example.com,10.77.92.125,OpenSSH_8.0p1,RHEL 8,prod,sre,true,8.10
r8s0102.internal.example.com,10.74.66.39,OpenSSH_8.0p1,RHEL 8,staging,sre,true,8.10
r8s0103.internal.example.com,10.74.163.246,OpenSSH_8.0p1,RHEL 8,staging,backend,true,8.10
r8d0104.internal.example.com,10.59.164.178,OpenSSH_8.0p1,RHEL 8,dev,devops,true,8.10
r8d0105.internal.example.com,10.80.36.13,OpenSSH_8.0p1,RHEL 8,dev,backend,true,8.10
r8p0106.internal.example.com,10.80.56.131,OpenSSH_8.0p1,RHEL 8,prod,devops,true,8.10
r8s0107.internal.example.com,10.64.108.130,OpenSSH_8.0p1,RHEL 8,staging,devops,true,8.10
r8d0108.internal.example.com,10.57.124.57,OpenSSH_8.0p1,RHEL 8,dev,devops,true,8.10
r8p0109.internal.example.com,10.80.195.137,OpenSSH_8.0p1,RHEL 8,prod,devops,true,8.10
r8p0110.internal.example.com,10.59.105.8,OpenSSH_8.0p1,RHEL 8,prod,data-infra,true,8.10
r8d0111.internal.example.com,10.52.124.235,OpenSSH_8.0p1,RHEL 8,dev,sre,true,8.10
r8p0112.internal.example.com,10.79.250.17,OpenSSH_8.0p1,RHEL 8,prod,sre,true,8.10
r8s0113.internal.example.com,10.65.214.129,OpenSSH_8.0p1,RHEL 8,staging,devops,true,8.10
r8s0114.internal.example.com,10.51.164.60,OpenSSH_8.0p1,RHEL 8,staging,devops,true,8.10
r8p0115.internal.example.com,10.51.169.212,OpenSSH_8.0p1,RHEL 8,prod,backend,true,8.10
r8p0116.internal.example.com,10.57.190.172,OpenSSH_8.0p1,RHEL 8,prod,backend,true,8.10
r8p0117.internal.example.com,10.76.93.82,OpenSSH_8.0p1,RHEL 8,prod,data-infra,true,8.10
r8d0118.internal.example.com,10.73.41.96,OpenSSH_8.0p1,RHEL 8,dev,backend,true,8.10
r8s0119.internal.example.com,10.67.174.218,OpenSSH_8.0p1,RHEL 8,staging,backend,true,8.10
r8p0120.internal.example.com,10.78.248.31,OpenSSH_8.0p1,RHEL 8,prod,sre,true,8.10
