date,donor,amount_eur,category,notes
2024-08-24,Hartmann Family Foundation,64569,Restricted,donation cycle 1
2022-09-04,Regional Dev Fund,218039,Project,donation cycle 1
2019-05-25,Biz Assoc,71908,Project,donation cycle 5
2021-04-27,Biz Assoc,76877,Project,donation cycle 8
2020-04-02,Hartmann Family Foundation,204239,Project,donation cycle 2
2022-12-26,Anon,31582,Project,donation cycle 6
2019-02-21,Hartmann Family Foundation,28573,General,donation cycle 6
2023-09-22,Biz Assoc,221821,Project,donation cycle 7
2020-02-15,Anon,176109,Project,donation cycle 7
2024-10-19,Biz Assoc,226049,General,donation cycle 7
2023-05-01,Anon,108116,General,donation cycle 2
2019-08-21,Regional Dev Fund,237930,General,donation cycle 8
2024-01-08,Biz Assoc,170477,General,donation cycle 6
2021-04-16,Anon,99615,General,donation cycle 2
2020-09-27,Hartmann Family Foundation,269306,Restricted,donation cycle 8
2023-06-18,Biz Assoc,295526,Restricted,donation cycle 3
2024-03-13,Anon,52238,Restricted,donation cycle 7
2020-08-03,Anon,33902,Restricted,donation cycle 8
2021-09-26,Regional Dev Fund,288662,General,donation cycle 3
2019-03-21,Hartmann Family Foundation,115542,Restricted,donation cycle 4
2023-03-07,Hartmann Family Foundation,253934,Project,donation cycle 1
2019-01-10,Anon,250793,General,donation cycle 4
2019-08-22,Biz Assoc,187927,Restricted,donation cycle 1
2024-02-07,Hartmann Family Foundation,139130,General,donation cycle 1
2024-11-07,Biz Assoc,151860,General,donation cycle 7
2019-10-17,Anon,1802,Project,donation cycle 3
2022-04-26,Hartmann Family Foundation,207393,Project,donation cycle 2
2022-12-03,Regional Dev Fund,157208,General,donation cycle 7
2024-02-10,Anon,45592,Restricted,donation cycle 3
2023-08-06,Anon,182846,Restricted,donation cycle 1
2022-07-03,Regional Dev Fund,123025,Project,donation cycle 3
2023-11-09,Anon,81972,General,donation cycle 5
2024-10-02,Biz Assoc,118312,Project,donation cycle 1
2021-09-24,Hartmann Family Foundation,230485,Restricted,donation cycle 7
2019-04-19,Regional Dev Fund,64776,Restricted,donation cycle 7
2024-08-23,Anon,255722,General,donation cycle 2
2020-09-09,Biz Assoc,284048,Project,donation cycle 3
2019-10-09,Regional Dev Fund,144343,Project,donation cycle 2
2020-11-03,Anon,100981,Restricted,donation cycle 8
2021-01-22,Biz Assoc,131713,Project,donation cycle 5
2023-12-18,Biz Assoc,110426,Project,donation cycle 3
2019-07-03,Biz Assoc,139222,Project,donation cycle 3
2021-09-18,Regional Dev Fund,212455,General,donation cycle 6
2023-12-19,Biz Assoc,120376,Project,donation cycle 2
2019-12-03,Hartmann Family Foundation,215942,Project,donation cycle 1
2020-12-16,Hartmann Family Foundation,31622,General,donation cycle 6
2023-08-25,Regional Dev Fund,126666,General,donation cycle 5
2023-05-09,Hartmann Family Foundation,1583,General,donation cycle 7
2021-06-24,Regional Dev Fund,46456,General,donation cycle 5
2021-12-21,Hartmann Family Foundation,232506,General,donation cycle 8
2019-08-03,Regional Dev Fund,181519,Restricted,donation cycle 3
2021-10-12,Anon,40608,Project,donation cycle 1
2020-04-11,Hartmann Family Foundation,259510,Project,donation cycle 2
2022-10-19,Anon,95842,Project,donation cycle 5
2021-07-14,Hartmann Family Foundation,12526,Project,donation cycle 8
2023-04-12,Anon,69024,Project,donation cycle 2
2021-11-14,Biz Assoc,174049,Restricted,donation cycle 5
2020-08-13,Biz Assoc,6008,Project,donation cycle 7
2019-02-10,Biz Assoc,284260,Project,donation cycle 5
2022-01-26,Anon,38753,Project,donation cycle 6
2024-07-27,Anon,109528,General,donation cycle 3
2020-11-02,Regional Dev Fund,156265,Restricted,donation cycle 2
2022-07-05,Anon,26874,Restricted,donation cycle 5
2024-09-14,Biz Assoc,43797,Restricted,donation cycle 7
2019-06-11,Hartmann Family Foundation,259202,Project,donation cycle 8
2020-02-19,Hartmann Family Foundation,222632,General,donation cycle 5
2020-06-20,Hartmann Family Foundation,275525,Restricted,donation cycle 4
2023-09-28,Anon,130854,General,donation cycle 6
2022-08-12,Hartmann Family Foundation,116709,Restricted,donation cycle 2
2022-11-12,Biz Assoc,209953,Project,donation cycle 7
2021-10-20,Hartmann Family Foundation,185397,Project,donation cycle 6
2021-03-12,Biz Assoc,3093,General,donation cycle 7
