date,variant,users_cleaned,bot_removed,paid_conversion_rate,paid_conversions,revenue_per_visitor,total_revenue,plan_pct_basic,plan_pct_pro,plan_pct_enterprise,time_on_page_avg_sec,time_on_page_p50_sec,time_on_page_p95_sec,support_chat_rate,free_trial_rate,scroll_depth_avg,cta_click_rate,avg_order_value,sessions,mobile_pct,desktop_pct,new_user_pct,cumulative_users,cumulative_p_value
2023-09-21,control,221,30,0.0495,10,0.9531,210.64,0.3395,0.383,0.2775,104.6,87.5,221.0,0.0311,0.0509,0.5732,0.1445,70.84,221,0.5194,0.4376,0.421,1503,0.2983
2023-09-21,v1_simplified,267,0,0.0432,11,1.4595,389.69,0.4035,0.4035,0.193,72.5,52.4,139.4,0.0361,0.0455,0.629,0.2082,79.74,268,0.4706,0.4738,0.4817,1797,0.3324
2023-09-21,v2_social_proof,247,0,0.0417,10,0.9386,231.83,0.324,0.5091,0.1669,103.7,85.9,169.1,0.0662,0.0731,0.7107,0.1632,80.3,248,0.4504,0.4952,0.4047,1778,0.3087
2023-09-22,control,209,28,0.0459,9,1.6455,343.91,0.353,0.4923,0.1547,90.3,72.3,191.4,0.0441,0.1077,0.6848,0.1563,71.9,209,0.5093,0.4332,0.474,1712,0.302
2023-09-22,v1_simplified,264,0,0.0438,11,1.7415,459.76,0.4484,0.3889,0.1627,63.3,50.1,124.8,0.0387,0.0966,0.6518,0.1577,80.18,267,0.4377,0.5099,0.3896,2061,0.3039
2023-09-22,v2_social_proof,253,0,0.0445,11,1.6583,419.55,0.4298,0.4147,0.1555,124.6,91.3,223.3,0.0486,0.048,0.558,0.2009,56.74,254,0.4421,0.5351,0.4057,2031,0.3047
2023-09-23,control,231,31,0.0448,10,1.68,388.08,0.4182,0.4915,0.0903,110.8,87.0,180.9,0.0682,0.0997,0.6586,0.1079,68.8,233,0.4161,0.5495,0.4698,1943,0.3385
2023-09-23,v1_simplified,254,0,0.0448,11,1.365,346.71,0.3861,0.4791,0.1348,106.2,89.8,219.1,0.0619,0.0968,0.7902,0.1115,90.98,259,0.4195,0.5297,0.4815,2315,0.304
2023-09-23,v2_social_proof,235,0,0.0437,10,0.8851,208.0,0.4724,0.4621,0.0655,104.6,82.6,235.7,0.0225,0.0943,0.5669,0.1109,68.89,238,0.5169,0.4281,0.3595,2266,0.277
2023-09-24,control,214,29,0.0443,9,1.0428,223.16,0.3812,0.4759,0.1429,63.2,52.2,118.1,0.0226,0.1096,0.5973,0.1754,90.43,218,0.457,0.5157,0.32,2157,0.3313
2023-09-24,v1_simplified,240,0,0.0455,10,1.6209,389.02,0.434,0.3969,0.1691,89.5,67.3,183.8,0.0421,0.0528,0.6607,0.1637,84.84,244,0.5173,0.4612,0.4183,2555,0.3076
2023-09-24,v2_social_proof,270,0,0.044,11,1.6694,450.74,0.461,0.4042,0.1348,60.3,48.3,119.9,0.0515,0.0601,0.5628,0.1496,87.69,273,0.4012,0.5679,0.4461,2536,0.3327
2023-09-25,control,209,28,0.0457,9,1.0424,217.86,0.4446,0.4337,0.1217,93.0,79.4,181.2,0.0484,0.0997,0.7846,0.1021,73.45,213,0.4231,0.5423,0.3676,2366,0.328
2023-09-25,v1_simplified,258,0,0.0441,11,0.9878,254.85,0.4797,0.4993,0.021,78.8,58.6,173.4,0.0575,0.0672,0.7887,0.1716,91.19,261,0.4086,0.5417,0.4643,2813,0.2804
2023-09-25,v2_social_proof,269,0,0.0459,12,1.212,326.03,0.448,0.4133,0.1387,61.7,46.1,138.8,0.062,0.0709,0.7195,0.1566,88.07,271,0.4605,0.5064,0.3268,2805,0.3334
2023-09-26,control,230,31,0.0473,10,1.6197,372.53,0.4368,0.4832,0.08,56.6,42.6,116.7,0.064,0.0827,0.8162,0.1492,86.36,230,0.4834,0.4931,0.33,2596,0.3067
2023-09-26,v1_simplified,254,0,0.0466,11,1.3851,351.82,0.3641,0.3842,0.2517,71.3,57.9,120.5,0.056,0.058,0.7969,0.1601,73.64,254,0.4697,0.4807,0.4163,3067,0.2703
2023-09-26,v2_social_proof,244,0,0.0435,10,1.6602,405.09,0.4479,0.4572,0.0949,118.3,102.6,259.0,0.0466,0.075,0.5684,0.1899,70.81,249,0.5157,0.44,0.4458,3049,0.3063
2023-09-27,control,231,31,0.0435,10,1.7357,400.95,0.442,0.478,0.08,61.2,48.2,116.0,0.046,0.087,0.72,0.0927,62.01,233,0.5112,0.4331,0.3783,2827,0.2933
2023-09-27,v1_simplified,259,0,0.0431,11,1.5712,406.94,0.3554,0.4151,0.2295,74.0,57.1,126.5,0.0319,0.092,0.7651,0.1872,63.56,260,0.4186,0.5483,0.4926,3326,0.3298
2023-09-27,v2_social_proof,238,0,0.0482,11,1.054,250.85,0.4469,0.4804,0.0727,121.6,96.1,263.6,0.0691,0.0909,0.6968,0.1182,75.8,238,0.4714,0.4839,0.3336,3287,0.3375
2023-09-28,control,230,31,0.048,11,1.3894,319.56,0.3562,0.4672,0.1766,97.6,76.4,187.7,0.0238,0.0505,0.7784,0.1067,67.61,234,0.4448,0.5341,0.3609,3057,0.2931
2023-09-28,v1_simplified,235,0,0.0411,9,1.6268,382.3,0.3876,0.512,0.1004,56.8,48.5,101.4,0.0681,0.1007,0.6162,0.1614,68.1,238,0.4977,0.4628,0.4277,3561,0.3147
2023-09-28,v2_social_proof,236,0,0.0507,11,1.4365,339.01,0.341,0.4637,0.1953,85.5,70.1,160.3,0.0311,0.1021,0.5986,0.182,69.2,237,0.4303,0.5329,0.4931,3523,0.2963
2023-09-29,control,234,31,0.041,9,0.9947,232.76,0.351,0.3878,0.2612,72.5,63.2,134.8,0.0339,0.0437,0.557,0.0974,59.46,239,0.4049,0.557,0.5147,3291,0.2965
2023-09-29,v1_simplified,248,0,0.0471,11,1.28,317.44,0.4703,0.3999,0.1298,116.7,95.4,266.4,0.0412,0.0891,0.6567,0.1294,54.75,251,0.4699,0.4953,0.3553,3809,0.3137
2023-09-29,v2_social_proof,241,0,0.0417,10,1.3931,335.74,0.4268,0.5138,0.0594,99.7,81.8,174.1,0.0479,0.0448,0.5997,0.1626,76.36,246,0.4485,0.4933,0.4869,3764,0.2898
2023-09-30,control,222,30,0.0457,10,1.5923,353.49,0.4325,0.5034,0.0641,72.4,53.5,143.4,0.038,0.0683,0.7013,0.1688,81.85,227,0.4357,0.5306,0.4876,3513,0.3247
2023-09-30,v1_simplified,250,0,0.0469,11,1.1895,297.38,0.3975,0.493,0.1095,90.1,77.5,199.9,0.0368,0.0614,0.7869,0.1896,82.16,252,0.4932,0.4832,0.3585,4059,0.3049
2023-09-30,v2_social_proof,261,0,0.0452,11,1.4889,388.6,0.3231,0.3913,0.2856,113.5,91.4,198.4,0.0383,0.0865,0.6046,0.1296,72.01,264,0.4833,0.4596,0.4265,4025,0.3152
2023-10-01,control,234,31,0.0433,10,1.2944,302.89,0.4723,0.4211,0.1066,72.0,55.9,119.3,0.0362,0.1008,0.7239,0.1132,56.27,235,0.4436,0.5204,0.5138,3747,0.3381
2023-10-01,v1_simplified,269,0,0.0469,12,1.7492,470.53,0.3259,0.4867,0.1874,64.5,47.9,132.0,0.0213,0.0965,0.6666,0.2096,64.57,272,0.4662,0.5016,0.4721,4328,0.3107
2023-10-01,v2_social_proof,264,0,0.0444,11,0.8604,227.15,0.3436,0.3846,0.2718,94.3,75.9,169.7,0.0524,0.0557,0.7962,0.1944,84.45,264,0.4753,0.4749,0.418,4289,0.3457
2023-10-02,control,238,32,0.047,11,1.1407,271.49,0.3255,0.4172,0.2573,107.3,85.1,217.7,0.0207,0.0867,0.5938,0.1093,57.17,239,0.5195,0.4513,0.4209,3985,0.2892
2023-10-02,v1_simplified,261,0,0.0505,13,1.252,326.77,0.4044,0.4264,0.1692,119.2,94.3,196.2,0.0486,0.1077,0.7135,0.1185,85.73,263,0.4445,0.5156,0.3451,4589,0.2925
2023-10-02,v2_social_proof,257,0,0.0463,11,1.4454,371.47,0.4296,0.482,0.0884,74.1,60.4,142.3,0.0681,0.0699,0.6626,0.1894,68.69,259,0.4571,0.509,0.3592,4546,0.2848
2023-10-03,control,207,28,0.0424,8,1.461,302.43,0.4646,0.4226,0.1128,94.1,82.8,153.5,0.0619,0.0829,0.6234,0.1338,76.44,207,0.4247,0.5196,0.4077,4192,0.2889
2023-10-03,v1_simplified,240,0,0.0476,11,1.6418,394.03,0.3938,0.4152,0.191,55.8,45.2,108.2,0.0553,0.0523,0.6375,0.1466,62.23,245,0.4003,0.5554,0.4358,4829,0.3279
2023-10-03,v2_social_proof,270,0,0.0461,12,1.515,409.05,0.3851,0.4492,0.1657,107.6,80.9,187.0,0.0671,0.0607,0.5388,0.1786,79.17,273,0.4384,0.5125,0.4016,4816,0.2739
2023-10-04,control,224,30,0.0413,9,1.6896,378.47,0.3655,0.3816,0.2529,56.5,46.1,91.3,0.0513,0.0469,0.5697,0.1487,65.9,226,0.4304,0.5266,0.487,4416,0.2965
2023-10-04,v1_simplified,238,0,0.0457,10,1.0965,260.97,0.3787,0.5088,0.1125,74.4,58.5,151.9,0.0656,0.0891,0.7491,0.1798,66.49,242,0.4764,0.473,0.463,5067,0.2928
2023-10-04,v2_social_proof,268,0,0.0507,13,1.4786,396.26,0.3706,0.4948,0.1346,103.3,84.2,180.9,0.0651,0.0717,0.7357,0.1863,77.94,270,0.4832,0.4608,0.5071,5084,0.3302
2023-10-05,control,209,28,0.0377,7,1.0009,209.19,0.3549,0.3862,0.2589,88.7,69.7,176.0,0.0277,0.0495,0.6643,0.1342,69.76,213,0.5143,0.4259,0.447,4625,0.3271
2023-10-05,v1_simplified,251,0,0.0487,12,1.4491,363.72,0.404,0.392,0.204,64.4,47.5,111.9,0.0505,0.0434,0.7023,0.1179,74.13,253,0.4352,0.535,0.3572,5318,0.3266
2023-10-05,v2_social_proof,261,0,0.0429,11,1.0526,274.73,0.3493,0.3919,0.2588,122.5,98.2,199.5,0.0673,0.0583,0.7283,0.169,90.2,263,0.4206,0.5513,0.468,5345,0.3095
2023-10-06,control,230,31,0.0402,9,0.8998,206.95,0.3954,0.4146,0.19,87.3,68.9,158.5,0.0663,0.0415,0.7198,0.1253,57.98,232,0.4204,0.526,0.331,4855,0.2995
2023-10-06,v1_simplified,265,0,0.0501,13,1.0368,274.75,0.3279,0.5015,0.1706,96.4,71.7,177.4,0.0503,0.0514,0.7951,0.1174,65.03,266,0.4023,0.5378,0.4553,5583,0.303
2023-10-06,v2_social_proof,252,0,0.0465,11,0.8793,221.58,0.4064,0.3989,0.1947,105.0,83.4,174.5,0.0299,0.0879,0.5981,0.1742,90.25,254,0.4796,0.4986,0.3529,5597,0.3008
2023-10-07,control,238,32,0.0415,9,1.3184,313.78,0.4527,0.3877,0.1596,65.0,54.3,146.7,0.0687,0.0641,0.6224,0.1332,69.94,240,0.406,0.5374,0.4233,5093,0.3119
2023-10-07,v1_simplified,237,0,0.0432,10,1.385,328.25,0.4117,0.4104,0.1779,67.1,52.4,145.9,0.0401,0.074,0.7311,0.1234,77.92,238,0.4632,0.4815,0.5159,5820,0.289
2023-10-07,v2_social_proof,245,0,0.0415,10,1.2802,313.65,0.429,0.4565,0.1145,90.8,77.3,161.7,0.036,0.0689,0.5755,0.1616,64.83,245,0.5039,0.4731,0.5072,5842,0.328
2023-10-08,control,215,29,0.0501,10,1.2826,275.76,0.4642,0.4618,0.074,73.8,53.7,121.6,0.0599,0.0645,0.6955,0.1328,65.99,215,0.4565,0.4858,0.4412,5308,0.3025
2023-10-08,v1_simplified,261,0,0.0481,12,1.3011,339.59,0.3412,0.4088,0.25,106.8,81.6,223.4,0.032,0.0806,0.618,0.1507,72.76,266,0.4667,0.4797,0.4556,6081,0.3159
2023-10-08,v2_social_proof,257,0,0.0497,12,1.5512,398.66,0.4157,0.4602,0.1241,90.1,76.0,163.4,0.0521,0.0939,0.6455,0.1894,73.23,260,0.4639,0.4832,0.5166,6099,0.3108
2023-10-09,control,235,32,0.0454,10,1.0354,243.32,0.4292,0.4293,0.1415,79.7,60.2,176.1,0.0472,0.0461,0.6901,0.1746,62.99,240,0.4117,0.5332,0.4047,5543,0.2916
2023-10-09,v1_simplified,257,0,0.0462,11,1.109,285.01,0.3234,0.4434,0.2332,63.0,46.6,105.3,0.0265,0.0919,0.6788,0.1687,86.87,262,0.5162,0.4423,0.4907,6338,0.2903
2023-10-09,v2_social_proof,264,0,0.0408,10,1.0663,281.5,0.3595,0.4098,0.2307,123.6,108.1,230.7,0.0685,0.0849,0.6251,0.1453,63.31,268,0.506,0.4529,0.4854,6363,0.2986
2023-10-10,control,235,32,0.043,10,1.3557,318.59,0.3882,0.4964,0.1154,85.0,72.5,178.6,0.0216,0.0743,0.7172,0.1659,66.08,235,0.4956,0.4772,0.4154,5778,0.2901
2023-10-10,v1_simplified,269,0,0.0454,12,1.365,367.19,0.3957,0.4935,0.1108,74.6,63.5,136.4,0.0444,0.0964,0.8157,0.1405,67.55,271,0.4145,0.5622,0.3782,6607,0.3059
2023-10-10,v2_social_proof,255,0,0.0436,11,1.2289,313.37,0.3775,0.4475,0.175,94.0,74.8,200.3,0.0203,0.086,0.5484,0.2016,59.09,256,0.459,0.4849,0.3853,6618,0.2998
2023-10-11,control,219,29,0.0431,9,1.5088,330.43,0.4682,0.4362,0.0956,91.9,69.1,184.1,0.0563,0.0816,0.5572,0.103,69.31,222,0.5036,0.4568,0.4694,5997,0.3423
2023-10-11,v1_simplified,262,0,0.0444,11,1.7071,447.26,0.3544,0.4555,0.1901,75.8,58.7,154.7,0.0497,0.0564,0.7067,0.1193,66.56,267,0.4285,0.5222,0.3821,6869,0.3078
2023-10-11,v2_social_proof,267,0,0.0456,12,1.6474,439.86,0.4127,0.5047,0.0826,122.1,99.9,244.3,0.041,0.0808,0.8141,0.1513,70.89,270,0.4492,0.4942,0.3596,6885,0.3192
2023-10-12,control,214,29,0.0435,9,1.2623,270.13,0.4165,0.4903,0.0932,108.8,93.1,180.1,0.0219,0.0588,0.544,0.1569,58.1,214,0.502,0.4594,0.321,6211,0.3253
2023-10-12,v1_simplified,254,0,0.0445,11,0.9994,253.85,0.3762,0.3908,0.233,64.2,52.6,121.4,0.069,0.0705,0.5735,0.1045,79.26,254,0.4255,0.5347,0.3953,7123,0.303
2023-10-12,v2_social_proof,256,0,0.0457,11,1.5017,384.44,0.351,0.4626,0.1864,67.1,58.7,112.4,0.062,0.0458,0.7458,0.103,89.92,257,0.5198,0.4394,0.5042,7141,0.3258
2023-10-13,control,207,28,0.0424,8,1.18,244.26,0.4209,0.4561,0.123,98.2,84.5,165.8,0.0545,0.0798,0.7554,0.1121,59.76,208,0.5121,0.4468,0.4669,6418,0.34
2023-10-13,v1_simplified,237,0,0.0424,10,1.2108,286.96,0.4459,0.3838,0.1703,110.8,96.8,216.8,0.0215,0.1067,0.5701,0.1105,75.58,241,0.4501,0.5236,0.4432,7360,0.2993
2023-10-13,v2_social_proof,259,0,0.045,11,0.9491,245.82,0.4237,0.4549,0.1214,106.8,79.5,212.4,0.0647,0.0994,0.6154,0.1796,91.29,260,0.4671,0.4934,0.4421,7400,0.3086
2023-10-14,control,220,29,0.045,9,1.5793,347.45,0.4451,0.4365,0.1184,56.9,46.8,126.0,0.0645,0.061,0.6356,0.1214,55.98,220,0.4379,0.5265,0.4043,6638,0.2756
2023-10-14,v1_simplified,259,0,0.0425,11,1.418,367.26,0.4575,0.4181,0.1244,120.6,102.6,232.7,0.042,0.073,0.5659,0.1237,79.22,263,0.4792,0.4868,0.371,7619,0.2974
2023-10-14,v2_social_proof,239,0,0.045,10,1.7187,410.77,0.4389,0.5053,0.0558,124.1,102.0,213.0,0.0271,0.0745,0.7149,0.1321,68.28,240,0.4016,0.5439,0.3796,7639,0.2851
2023-10-15,control,233,31,0.0388,9,0.9528,222.0,0.4699,0.4447,0.0854,68.6,54.2,113.1,0.0356,0.1043,0.7993,0.1335,84.09,237,0.4212,0.5329,0.4084,6871,0.2755
2023-10-15,v1_simplified,244,0,0.0412,10,1.1461,279.65,0.3328,0.4013,0.2659,105.4,83.6,207.3,0.0604,0.0676,0.5982,0.1788,66.97,249,0.4146,0.5354,0.3751,7863,0.2986
2023-10-15,v2_social_proof,244,0,0.0472,11,1.6462,401.67,0.3376,0.4508,0.2116,84.2,63.9,164.0,0.0255,0.0712,0.7744,0.1387,56.04,245,0.4819,0.4847,0.3354,7883,0.3356
2023-10-16,control,218,29,0.0424,9,1.5463,337.09,0.3383,0.4672,0.1945,116.2,91.6,208.0,0.0439,0.0802,0.5235,0.1864,66.76,218,0.4911,0.4756,0.3952,7089,0.3069
2023-10-16,v1_simplified,270,0,0.0428,11,0.9133,246.59,0.4698,0.5118,0.0184,106.0,91.0,224.5,0.0225,0.0565,0.7708,0.1414,60.46,270,0.4854,0.4821,0.3531,8133,0.3182
2023-10-16,v2_social_proof,257,0,0.0478,12,1.3415,344.77,0.3719,0.4999,0.1282,95.0,68.8,167.3,0.0346,0.0558,0.6956,0.1786,80.38,259,0.4262,0.5275,0.3275,8140,0.3247
2023-10-17,control,214,29,0.0402,8,1.4161,303.05,0.4362,0.4613,0.1025,66.2,49.1,147.9,0.0611,0.1017,0.812,0.1128,58.0,217,0.4023,0.539,0.49,7303,0.305
2023-10-17,v1_simplified,243,0,0.0448,10,1.289,313.23,0.3336,0.3952,0.2712,85.5,62.4,175.5,0.0436,0.0782,0.7506,0.0985,54.93,244,0.4186,0.5266,0.4978,8376,0.3182
2023-10-17,v2_social_proof,235,0,0.0487,11,1.6214,381.03,0.3488,0.4127,0.2385,85.5,67.7,182.5,0.026,0.0929,0.5505,0.0919,73.3,239,0.4498,0.5086,0.4278,8375,0.3071
2023-10-18,control,223,30,0.0484,10,1.097,244.63,0.4203,0.452,0.1277,94.4,78.4,207.9,0.0467,0.0691,0.8173,0.2026,84.22,228,0.4968,0.4659,0.4524,7526,0.3333
2023-10-18,v1_simplified,241,0,0.0429,10,1.2887,310.58,0.4091,0.5151,0.0758,81.8,62.6,168.1,0.0457,0.0467,0.5431,0.1758,77.57,244,0.4707,0.4871,0.354,8617,0.2852
2023-10-18,v2_social_proof,254,0,0.0471,11,1.2333,313.26,0.4697,0.4665,0.0638,66.2,49.8,112.2,0.0688,0.1058,0.6941,0.189,80.87,259,0.4614,0.4792,0.4335,8629,0.3294
2023-10-19,control,218,29,0.0383,8,1.5467,337.18,0.3483,0.436,0.2157,122.3,90.0,231.0,0.0426,0.059,0.5345,0.1024,59.51,218,0.5052,0.445,0.4387,7744,0.2855
2023-10-19,v1_simplified,239,0,0.0449,10,1.2878,307.78,0.4522,0.4836,0.0642,79.7,65.3,162.2,0.0227,0.0748,0.721,0.1392,64.97,241,0.4393,0.5315,0.3539,8856,0.3162
2023-10-19,v2_social_proof,247,0,0.0436,10,0.9612,237.42,0.3878,0.4445,0.1677,61.6,45.5,116.5,0.0456,0.0667,0.5474,0.2047,78.69,249,0.4364,0.543,0.471,8876,0.2681
2023-10-20,control,208,28,0.0418,8,1.4074,292.74,0.3562,0.4461,0.1977,119.9,100.2,245.7,0.0448,0.0875,0.6338,0.1628,68.08,209,0.4448,0.5175,0.5088,7952,0.3191
2023-10-20,v1_simplified,238,0,0.0547,13,0.9207,219.13,0.3403,0.4956,0.1641,123.6,94.7,235.1,0.056,0.0899,0.6967,0.0921,89.78,240,0.5061,0.4412,0.3272,9094,0.3237
2023-10-20,v2_social_proof,265,0,0.049,12,0.8557,226.76,0.4119,0.419,0.1691,89.6,72.3,166.2,0.0254,0.0774,0.8077,0.1702,76.92,268,0.4751,0.4745,0.351,9141,0.3133
2023-10-21,control,223,30,0.0492,10,1.5698,350.07,0.3979,0.4177,0.1844,90.0,75.8,177.7,0.0468,0.0956,0.6051,0.1348,68.31,224,0.4189,0.5378,0.3466,8175,0.298
2023-10-21,v1_simplified,235,0,0.0469,11,1.2941,304.11,0.3787,0.5145,0.1068,112.6,91.4,251.8,0.0525,0.0856,0.6114,0.1414,78.15,238,0.4017,0.5764,0.3344,9329,0.325
2023-10-21,v2_social_proof,260,0,0.0424,11,1.55,403.0,0.4104,0.4975,0.0921,80.4,64.9,170.6,0.0292,0.0871,0.7747,0.1014,83.99,265,0.493,0.4657,0.3574,9401,0.3057
2023-10-22,control,231,31,0.0437,10,1.3368,308.8,0.3631,0.4127,0.2242,123.8,96.1,245.9,0.0609,0.0539,0.6051,0.0989,69.86,233,0.4995,0.4407,0.4454,8406,0.3105
2023-10-22,v1_simplified,237,0,0.0437,10,0.8597,203.75,0.3684,0.4127,0.2189,84.3,69.2,166.4,0.0327,0.0578,0.6359,0.1919,81.49,238,0.5111,0.4494,0.3663,9566,0.3226
2023-10-22,v2_social_proof,235,0,0.0536,12,0.8536,200.6,0.4262,0.4158,0.158,121.6,93.5,258.9,0.035,0.0472,0.6426,0.1528,86.21,240,0.4958,0.48,0.3306,9636,0.3119
2023-10-23,control,225,30,0.0407,9,1.6558,372.56,0.4261,0.4074,0.1665,79.1,63.4,176.5,0.0516,0.098,0.6137,0.0921,63.24,230,0.4752,0.4793,0.4974,8631,0.3198
2023-10-23,v1_simplified,253,0,0.0488,12,1.3108,331.63,0.4219,0.4704,0.1077,96.4,71.1,200.7,0.0396,0.1073,0.8017,0.196,75.96,253,0.4521,0.4974,0.4583,9819,0.2992
2023-10-23,v2_social_proof,250,0,0.0429,10,1.6746,418.65,0.3732,0.4637,0.1631,86.6,65.6,156.1,0.0273,0.0453,0.568,0.1274,74.35,254,0.473,0.4932,0.4329,9886,0.2666
2023-10-24,control,219,29,0.0432,9,1.0186,223.07,0.3676,0.4861,0.1463,91.8,71.4,195.8,0.0341,0.1001,0.6179,0.1654,76.64,224,0.4804,0.46,0.4709,8850,0.3296
2023-10-24,v1_simplified,246,0,0.0494,12,1.102,271.09,0.3511,0.4529,0.196,109.8,84.5,231.8,0.0594,0.0567,0.6443,0.1696,80.89,249,0.418,0.5366,0.3317,10065,0.2965
2023-10-24,v2_social_proof,255,0,0.0442,11,0.8561,218.31,0.3346,0.4025,0.2629,119.6,103.9,199.0,0.027,0.106,0.7233,0.115,61.34,256,0.4943,0.4704,0.427,10141,0.3188
2023-10-25,control,222,30,0.0433,9,1.6094,357.29,0.3561,0.4256,0.2183,90.1,74.4,167.6,0.0668,0.0773,0.5509,0.2099,75.21,222,0.4727,0.4866,0.4537,9072,0.3322
2023-10-25,v1_simplified,236,0,0.0443,10,1.5779,372.38,0.379,0.4506,0.1704,65.2,49.8,109.9,0.0213,0.0603,0.6681,0.1897,85.16,236,0.4636,0.479,0.3779,10301,0.3059
2023-10-25,v2_social_proof,249,0,0.0494,12,1.4553,362.37,0.3668,0.4229,0.2103,86.4,71.1,157.8,0.051,0.0831,0.5927,0.1764,74.04,251,0.423,0.5305,0.3929,10390,0.2976
2023-10-26,control,219,29,0.0501,10,1.6524,361.88,0.4169,0.3989,0.1842,92.2,71.5,210.4,0.0623,0.0945,0.5236,0.1202,82.93,220,0.4998,0.458,0.3847,9291,0.3136
2023-10-26,v1_simplified,255,0,0.0481,12,1.4491,369.52,0.4316,0.5127,0.0557,59.3,50.7,96.0,0.0343,0.0409,0.8135,0.1432,91.16,256,0.478,0.4636,0.472,10556,0.2911
2023-10-26,v2_social_proof,261,0,0.05,13,0.8682,226.6,0.3806,0.4486,0.1708,124.1,108.7,219.5,0.0314,0.0415,0.8134,0.1271,67.88,264,0.4361,0.5203,0.4873,10651,0.3036
2023-10-27,control,223,30,0.043,9,0.9654,215.28,0.3343,0.4166,0.2491,111.7,95.0,208.4,0.0671,0.0692,0.5874,0.1068,88.22,227,0.4562,0.5112,0.5129,9514,0.3019
