audit_id,user_id,detection_date,variant,assigned_group,detection_method,bot_score,request_rate_per_min,session_duration_sec,page_views_per_session,ip_address_hash,user_agent_type,is_datacenter_ip,headless_browser_detected,cookie_consistency_score,mouse_movement_score,click_pattern_score,referrer_type,action_taken,final_disposition
AUDIT-EXP003-00011,u_exp003_ctrl_000011,2023-11-04,control,control,rate_limiting,0.8795,190.04,6,3,ip_0ef38,scrapy,1,0,0.1621,0.2633,0.2885,bot_farm,removed,likely_bot
AUDIT-EXP003-00012,u_exp003_ctrl_000012,2023-10-02,control,control,ml_classifier,0.9254,378.21,7,1,ip_11497,headless_chrome,1,1,0.4079,0.2535,0.3621,direct,removed,confirmed_bot
AUDIT-EXP003-00013,u_exp003_ctrl_000013,2023-10-18,control,control,honeypot_trigger,0.765,316.34,7,2,ip_143b8,headless_chrome,1,1,0.0772,0.3266,0.1076,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00014,u_exp003_ctrl_000014,2023-09-27,control,control,rate_limiting,0.9894,178.66,10,4,ip_11aa7,headless_chrome,1,1,0.273,0.3262,0.3398,bot_farm,quarantined,confirmed_bot
AUDIT-EXP003-00015,u_exp003_ctrl_000015,2023-09-15,control,control,honeypot_trigger,0.9449,176.27,1,3,ip_073b1,scrapy,1,0,0.1619,0.1882,0.2818,bot_farm,removed,likely_bot
AUDIT-EXP003-00016,u_exp003_ctrl_000016,2023-09-21,control,control,ml_classifier,0.8652,253.24,10,1,ip_09d95,unknown_bot,0,0,0.401,0.1928,0.3493,bot_farm,removed,likely_bot
AUDIT-EXP003-00017,u_exp003_ctrl_000017,2023-10-09,control,control,captcha_fail,0.8074,227.27,2,1,ip_11ebf,legitimate_browser,0,0,0.161,0.0534,0.4055,bot_farm,quarantined,confirmed_bot
AUDIT-EXP003-00018,u_exp003_ctrl_000018,2023-09-20,control,control,ml_classifier,0.8195,153.56,7,3,ip_08913,curl,1,0,0.1068,0.1789,0.2887,social,removed,confirmed_bot
AUDIT-EXP003-00019,u_exp003_ctrl_000019,2023-09-16,control,control,ip_reputation,0.9476,377.07,6,1,ip_08e72,curl,1,0,0.1059,0.1658,0.2227,bot_farm,removed,likely_bot
AUDIT-EXP003-00020,u_exp003_ctrl_000020,2023-09-15,control,control,captcha_fail,0.8003,81.74,3,1,ip_075b9,python_requests,1,0,0.3204,0.0677,0.3204,direct,removed,confirmed_bot
AUDIT-EXP003-00021,u_exp003_ctrl_000021,2023-10-20,control,control,captcha_fail,0.9518,97.2,8,4,ip_11498,unknown_bot,0,0,0.2974,0.3448,0.1859,bot_farm,flagged_pending,confirmed_bot
AUDIT-EXP003-00022,u_exp003_ctrl_000022,2023-09-21,control,control,ml_classifier,0.8066,361.62,8,2,ip_0408b,headless_chrome,1,1,0.0896,0.1625,0.3545,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00023,u_exp003_ctrl_000023,2023-10-02,control,control,rate_limiting,0.7536,317.94,11,3,ip_0fda6,headless_chrome,1,1,0.2185,0.0985,0.2184,paid_ads,removed,confirmed_bot
AUDIT-EXP003-00024,u_exp003_ctrl_000024,2023-11-09,control,control,captcha_fail,0.8101,346.4,12,1,ip_0e016,headless_chrome,1,1,0.1936,0.2123,0.228,bot_farm,flagged_pending,confirmed_bot
AUDIT-EXP003-00025,u_exp003_ctrl_000025,2023-10-23,control,control,ml_classifier,0.8738,344.02,2,4,ip_1777b,scrapy,1,0,0.3014,0.0568,0.3987,paid_ads,flagged_pending,confirmed_bot
AUDIT-EXP003-00026,u_exp003_ctrl_000026,2023-11-03,control,control,rate_limiting,0.9466,247.54,9,3,ip_0b6bf,headless_chrome,1,1,0.3844,0.2208,0.3728,direct,removed,confirmed_bot
AUDIT-EXP003-00027,u_exp003_ctrl_000027,2023-10-07,control,control,ml_classifier,0.7526,246.6,11,3,ip_1288d,headless_chrome,1,1,0.3739,0.239,0.3364,bot_farm,quarantined,confirmed_bot
AUDIT-EXP003-00028,u_exp003_ctrl_000028,2023-10-05,control,control,captcha_fail,0.8703,194.27,10,2,ip_13bc1,curl,1,0,0.1676,0.0707,0.1963,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00029,u_exp003_ctrl_000029,2023-09-18,control,control,rate_limiting,0.7742,191.23,6,3,ip_0574d,python_requests,1,0,0.409,0.2329,0.2445,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00030,u_exp003_ctrl_000030,2023-09-25,control,control,ml_classifier,0.8496,347.22,9,4,ip_09201,headless_chrome,1,1,0.1703,0.2493,0.1279,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00031,u_exp003_ctrl_000031,2023-11-04,control,control,honeypot_trigger,0.8667,299.05,9,2,ip_16fd0,headless_chrome,1,1,0.261,0.0443,0.1455,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00032,u_exp003_ctrl_000032,2023-10-27,control,control,ip_reputation,0.9151,319.52,10,1,ip_0678d,headless_chrome,1,1,0.1858,0.2508,0.375,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00033,u_exp003_ctrl_000033,2023-10-20,control,control,ml_classifier,0.8703,200.32,3,3,ip_0b204,headless_chrome,1,1,0.262,0.1898,0.1134,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00034,u_exp003_ctrl_000034,2023-10-24,control,control,behavioral_analysis,0.8329,204.16,11,3,ip_139a5,python_requests,1,0,0.2177,0.2763,0.3329,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00035,u_exp003_ctrl_000035,2023-10-01,control,control,honeypot_trigger,0.7936,305.2,10,2,ip_09c9a,scrapy,1,0,0.3135,0.0467,0.3689,email,removed,confirmed_bot
AUDIT-EXP003-00036,u_exp003_ctrl_000036,2023-10-06,control,control,rate_limiting,0.9511,311.99,10,1,ip_112e8,curl,1,0,0.1068,0.1697,0.3087,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00037,u_exp003_ctrl_000037,2023-09-26,control,control,ml_classifier,0.9232,128.44,6,3,ip_1573d,python_requests,1,0,0.0835,0.2826,0.0804,organic_search,removed,likely_bot
AUDIT-EXP003-00038,u_exp003_ctrl_000038,2023-10-18,control,control,rate_limiting,0.9472,247.4,3,1,ip_16c25,unknown_bot,0,0,0.1422,0.0443,0.1579,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00039,u_exp003_ctrl_000039,2023-10-12,control,control,ml_classifier,0.8181,134.94,12,3,ip_1278d,headless_chrome,1,1,0.4126,0.2724,0.1527,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00040,u_exp003_ctrl_000040,2023-10-30,control,control,honeypot_trigger,0.831,177.93,2,4,ip_0458f,scrapy,1,0,0.0794,0.32,0.1886,direct,removed,confirmed_bot
AUDIT-EXP003-00041,u_exp003_ctrl_000041,2023-09-24,control,control,ml_classifier,0.8627,89.06,3,1,ip_10e60,unknown_bot,0,0,0.0772,0.0705,0.102,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00042,u_exp003_ctrl_000042,2023-09-25,control,control,honeypot_trigger,0.8262,319.73,8,3,ip_13276,unknown_bot,0,0,0.3678,0.3287,0.0968,social,removed,confirmed_bot
AUDIT-EXP003-00043,u_exp003_ctrl_000043,2023-10-30,control,control,ml_classifier,0.7774,51.48,4,1,ip_0a902,headless_chrome,1,1,0.2215,0.176,0.1532,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00044,u_exp003_ctrl_000044,2023-10-25,control,control,rate_limiting,0.7333,49.07,12,3,ip_15b04,scrapy,1,0,0.1009,0.1696,0.1304,paid_ads,removed,false_positive_reversed
AUDIT-EXP003-00045,u_exp003_ctrl_000045,2023-11-06,control,control,captcha_fail,0.8782,312.31,5,4,ip_07e2b,headless_chrome,1,1,0.1929,0.2541,0.3375,direct,flagged_pending,likely_bot
AUDIT-EXP003-00046,u_exp003_ctrl_000046,2023-10-06,control,control,ml_classifier,0.7965,249.68,8,3,ip_05373,curl,1,0,0.3292,0.3362,0.2233,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00047,u_exp003_ctrl_000047,2023-10-16,control,control,ml_classifier,0.8963,232.01,1,4,ip_17faa,headless_chrome,1,1,0.0659,0.1875,0.2236,direct,removed,confirmed_bot
AUDIT-EXP003-00048,u_exp003_ctrl_000048,2023-10-12,control,control,captcha_fail,0.7683,256.05,9,4,ip_17cf5,python_requests,1,0,0.437,0.3099,0.3068,organic_search,removed,confirmed_bot
AUDIT-EXP003-00049,u_exp003_ctrl_000049,2023-10-20,control,control,ml_classifier,0.8608,141.62,3,1,ip_0b895,unknown_bot,0,0,0.355,0.289,0.3757,bot_farm,quarantined,confirmed_bot
AUDIT-EXP003-00050,u_exp003_ctrl_000050,2023-10-06,control,control,rate_limiting,0.8943,304.32,10,4,ip_058d7,scrapy,1,0,0.2718,0.2517,0.3979,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00051,u_exp003_ctrl_000051,2023-10-09,control,control,rate_limiting,0.771,217.16,4,1,ip_141ad,headless_chrome,1,1,0.1552,0.0235,0.0892,direct,removed,confirmed_bot
AUDIT-EXP003-00052,u_exp003_ctrl_000052,2023-10-17,control,control,behavioral_analysis,0.8724,360.79,3,4,ip_13e2a,headless_chrome,1,1,0.2849,0.2171,0.1136,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00053,u_exp003_ctrl_000053,2023-09-24,control,control,rate_limiting,0.7926,223.76,12,1,ip_185bd,scrapy,1,0,0.2077,0.2696,0.1364,direct,removed,confirmed_bot
AUDIT-EXP003-00054,u_exp003_ctrl_000054,2023-11-09,control,control,captcha_fail,0.8689,235.59,4,2,ip_1120f,python_requests,1,0,0.3147,0.1082,0.351,paid_ads,removed,confirmed_bot
AUDIT-EXP003-00055,u_exp003_ctrl_000055,2023-11-05,control,control,ip_reputation,0.9065,203.31,1,3,ip_16a25,unknown_bot,0,0,0.1055,0.219,0.3211,bot_farm,flagged_pending,confirmed_bot
AUDIT-EXP003-00056,u_exp003_ctrl_000056,2023-10-14,control,control,rate_limiting,0.8975,177.06,3,3,ip_091c6,scrapy,1,0,0.4083,0.2104,0.1438,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00057,u_exp003_ctrl_000057,2023-10-01,control,control,ml_classifier,0.7482,153.85,11,2,ip_16150,headless_chrome,1,1,0.1124,0.1178,0.3461,direct,removed,confirmed_bot
AUDIT-EXP003-00058,u_exp003_ctrl_000058,2023-11-02,control,control,ml_classifier,0.7449,252.44,8,2,ip_06d6d,unknown_bot,0,0,0.2784,0.1189,0.3172,bot_farm,flagged_pending,confirmed_bot
AUDIT-EXP003-00059,u_exp003_ctrl_000059,2023-10-02,control,control,honeypot_trigger,0.9111,105.53,3,2,ip_0d60d,unknown_bot,0,0,0.1503,0.1134,0.1678,bot_farm,quarantined,confirmed_bot
AUDIT-EXP003-00060,u_exp003_ctrl_000060,2023-09-27,control,control,rate_limiting,0.7416,111.37,12,3,ip_028a1,python_requests,1,0,0.26,0.3177,0.187,bot_farm,removed,likely_bot
AUDIT-EXP003-00061,u_exp003_ctrl_000061,2023-09-17,control,control,ip_reputation,0.8935,218.13,10,1,ip_10c61,scrapy,1,0,0.3709,0.2542,0.3004,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00062,u_exp003_ctrl_000062,2023-11-03,control,control,captcha_fail,0.8385,363.64,6,4,ip_16635,curl,1,0,0.1796,0.1372,0.3594,organic_search,removed,confirmed_bot
AUDIT-EXP003-00063,u_exp003_ctrl_000063,2023-10-14,control,control,honeypot_trigger,0.7546,150.88,12,3,ip_0e640,headless_chrome,1,1,0.1244,0.0397,0.3037,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00064,u_exp003_ctrl_000064,2023-10-24,control,control,rate_limiting,0.7853,246.47,2,3,ip_096b3,python_requests,1,0,0.1809,0.1116,0.2464,direct,removed,confirmed_bot
AUDIT-EXP003-00065,u_exp003_ctrl_000065,2023-10-13,control,control,ml_classifier,0.984,118.4,11,1,ip_0920a,unknown_bot,0,0,0.1729,0.2273,0.2997,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00066,u_exp003_ctrl_000066,2023-11-05,control,control,captcha_fail,0.9175,91.37,3,2,ip_0c133,headless_chrome,1,1,0.2596,0.2736,0.3349,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00067,u_exp003_ctrl_000067,2023-10-19,control,control,ml_classifier,0.9147,312.48,9,1,ip_111fc,headless_chrome,1,1,0.4274,0.264,0.2147,direct,removed,confirmed_bot
AUDIT-EXP003-00068,u_exp003_ctrl_000068,2023-10-30,control,control,ml_classifier,0.8226,109.53,9,1,ip_0a8b9,unknown_bot,0,0,0.3604,0.193,0.4009,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00069,u_exp003_ctrl_000069,2023-10-26,control,control,ml_classifier,0.8824,97.45,11,2,ip_0ab1c,unknown_bot,0,0,0.1,0.2339,0.2865,paid_ads,removed,likely_bot
AUDIT-EXP003-00070,u_exp003_ctrl_000070,2023-10-16,control,control,ml_classifier,0.7867,78.66,8,2,ip_11710,scrapy,1,0,0.3231,0.3466,0.1368,paid_ads,removed,confirmed_bot
AUDIT-EXP003-00071,u_exp003_ctrl_000071,2023-09-27,control,control,captcha_fail,0.8721,220.92,7,1,ip_118c6,headless_chrome,1,1,0.1924,0.2003,0.2328,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00072,u_exp003_ctrl_000072,2023-11-04,control,control,ml_classifier,0.9238,234.07,10,3,ip_0e419,scrapy,1,0,0.1737,0.1382,0.3344,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00073,u_exp003_ctrl_000073,2023-09-30,control,control,ip_reputation,0.8384,144.27,9,3,ip_0b5ae,headless_chrome,1,1,0.409,0.2807,0.1768,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00074,u_exp003_ctrl_000074,2023-10-27,control,control,captcha_fail,0.7933,189.37,8,4,ip_02982,headless_chrome,1,1,0.203,0.2983,0.3381,direct,removed,confirmed_bot
AUDIT-EXP003-00075,u_exp003_ctrl_000075,2023-09-26,control,control,ml_classifier,0.7222,124.18,2,1,ip_1341f,headless_chrome,1,1,0.3161,0.121,0.3717,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00076,u_exp003_ctrl_000076,2023-09-30,control,control,rate_limiting,0.925,317.4,6,1,ip_0a997,headless_chrome,1,1,0.3086,0.3163,0.0889,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00077,u_exp003_ctrl_000077,2023-10-23,control,control,ml_classifier,0.8375,97.55,12,1,ip_06dec,headless_chrome,1,1,0.3035,0.3428,0.4017,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00078,u_exp003_ctrl_000078,2023-10-31,control,control,ml_classifier,0.8785,201.69,10,3,ip_12667,unknown_bot,0,0,0.0877,0.0914,0.4112,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00079,u_exp003_ctrl_000079,2023-09-16,control,control,behavioral_analysis,0.9637,165.0,10,3,ip_0c87d,curl,1,0,0.0636,0.2323,0.1436,social,removed,confirmed_bot
AUDIT-EXP003-00080,u_exp003_ctrl_000080,2023-10-24,control,control,captcha_fail,0.8591,312.52,10,3,ip_06d9d,headless_chrome,1,1,0.2415,0.2553,0.3395,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00081,u_exp003_ctrl_000081,2023-09-19,control,control,ml_classifier,0.9113,327.58,5,2,ip_06c3a,headless_chrome,1,1,0.3605,0.1993,0.2224,bot_farm,flagged_pending,confirmed_bot
AUDIT-EXP003-00082,u_exp003_ctrl_000082,2023-09-22,control,control,rate_limiting,0.9072,200.26,11,2,ip_11670,headless_chrome,1,1,0.1342,0.0916,0.1446,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00083,u_exp003_ctrl_000083,2023-10-10,control,control,captcha_fail,0.7485,246.65,7,3,ip_0f03c,python_requests,1,0,0.3229,0.0878,0.361,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00084,u_exp003_ctrl_000084,2023-10-07,control,control,rate_limiting,0.8014,314.09,12,4,ip_0a4e1,legitimate_browser,0,0,0.1858,0.0983,0.1422,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00085,u_exp003_ctrl_000085,2023-09-18,control,control,ip_reputation,0.9069,142.11,1,3,ip_05574,headless_chrome,1,1,0.2197,0.3095,0.1776,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00086,u_exp003_ctrl_000086,2023-10-14,control,control,ip_reputation,0.8171,152.69,1,1,ip_08099,headless_chrome,1,1,0.207,0.1992,0.1587,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00087,u_exp003_ctrl_000087,2023-09-16,control,control,ml_classifier,0.8731,165.9,5,2,ip_05023,legitimate_browser,0,0,0.0666,0.1266,0.3126,direct,removed,likely_bot
AUDIT-EXP003-00088,u_exp003_ctrl_000088,2023-10-16,control,control,ml_classifier,0.7491,352.37,5,1,ip_1638c,unknown_bot,0,0,0.253,0.2686,0.3081,social,removed,confirmed_bot
AUDIT-EXP003-00089,u_exp003_ctrl_000089,2023-11-01,control,control,ml_classifier,0.9845,224.49,1,4,ip_108ec,curl,1,0,0.1551,0.2946,0.1502,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00090,u_exp003_ctrl_000090,2023-09-16,control,control,ml_classifier,0.8791,208.47,1,1,ip_0c378,python_requests,1,0,0.0831,0.2287,0.3832,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00091,u_exp003_ctrl_000091,2023-11-05,control,control,honeypot_trigger,0.9135,80.55,7,1,ip_166f0,headless_chrome,1,1,0.2685,0.3357,0.2343,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00092,u_exp003_ctrl_000092,2023-09-20,control,control,ml_classifier,0.7649,195.06,2,3,ip_1168b,headless_chrome,1,1,0.3258,0.175,0.2406,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00093,u_exp003_ctrl_000093,2023-10-22,control,control,ml_classifier,0.9236,308.81,8,2,ip_06e3c,headless_chrome,1,1,0.1845,0.3475,0.0834,email,removed,confirmed_bot
AUDIT-EXP003-00094,u_exp003_ctrl_000094,2023-09-26,control,control,rate_limiting,0.8873,270.42,1,2,ip_0eaa0,python_requests,1,0,0.1984,0.023,0.2367,paid_ads,removed,likely_bot
AUDIT-EXP003-00095,u_exp003_ctrl_000095,2023-09-22,control,control,captcha_fail,0.8582,374.33,2,4,ip_09e6c,curl,1,0,0.2315,0.2012,0.0906,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00096,u_exp003_ctrl_000096,2023-10-05,control,control,captcha_fail,0.7803,61.05,3,1,ip_08a20,headless_chrome,1,1,0.3807,0.2437,0.318,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00097,u_exp003_ctrl_000097,2023-10-02,control,control,rate_limiting,0.7955,356.58,5,3,ip_0d151,python_requests,1,0,0.0844,0.0639,0.1346,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00098,u_exp003_ctrl_000098,2023-10-09,control,control,honeypot_trigger,0.7319,144.28,5,3,ip_0a6ce,headless_chrome,1,1,0.2399,0.1588,0.1774,bot_farm,removed,likely_bot
AUDIT-EXP003-00099,u_exp003_ctrl_000099,2023-10-11,control,control,honeypot_trigger,0.9429,162.23,10,1,ip_07f28,headless_chrome,1,1,0.1205,0.2727,0.2923,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00100,u_exp003_ctrl_000100,2023-09-19,control,control,ml_classifier,0.7444,266.02,4,4,ip_16fe2,scrapy,1,0,0.3256,0.1826,0.3518,paid_ads,removed,confirmed_bot
AUDIT-EXP003-00101,u_exp003_ctrl_000101,2023-09-20,control,control,ip_reputation,0.911,170.44,11,4,ip_0291d,legitimate_browser,0,0,0.1737,0.2417,0.1215,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00102,u_exp003_ctrl_000102,2023-11-01,control,control,captcha_fail,0.9091,223.15,6,3,ip_13dc7,unknown_bot,0,0,0.2078,0.2934,0.1128,bot_farm,removed,likely_bot
AUDIT-EXP003-00103,u_exp003_ctrl_000103,2023-10-11,control,control,ml_classifier,0.8474,115.31,11,4,ip_07db9,unknown_bot,0,0,0.383,0.3141,0.3777,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00104,u_exp003_ctrl_000104,2023-11-05,control,control,ip_reputation,0.753,130.5,2,3,ip_13246,curl,1,0,0.3321,0.2749,0.1151,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00105,u_exp003_ctrl_000105,2023-10-02,control,control,rate_limiting,0.9357,102.88,12,3,ip_06b8a,headless_chrome,1,1,0.2081,0.1658,0.191,bot_farm,flagged_pending,confirmed_bot
AUDIT-EXP003-00106,u_exp003_ctrl_000106,2023-11-01,control,control,ml_classifier,0.797,220.19,9,4,ip_05972,unknown_bot,0,0,0.3829,0.1023,0.106,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00107,u_exp003_ctrl_000107,2023-11-04,control,control,ml_classifier,0.9361,149.93,12,1,ip_103dd,scrapy,1,0,0.2765,0.3015,0.202,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00108,u_exp003_ctrl_000108,2023-11-02,control,control,captcha_fail,0.862,159.29,7,4,ip_06ad1,legitimate_browser,0,0,0.0832,0.2157,0.235,paid_ads,removed,confirmed_bot
AUDIT-EXP003-00109,u_exp003_ctrl_000109,2023-10-07,control,control,ml_classifier,0.8825,351.8,8,3,ip_0c13c,scrapy,1,0,0.351,0.2343,0.2613,social,flagged_pending,likely_bot
AUDIT-EXP003-00110,u_exp003_ctrl_000110,2023-10-24,control,control,ml_classifier,0.8712,273.82,8,3,ip_0ae32,headless_chrome,1,1,0.2803,0.2319,0.3439,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00111,u_exp003_ctrl_000111,2023-10-01,control,control,ip_reputation,0.8261,349.36,10,1,ip_07968,headless_chrome,1,1,0.2882,0.1194,0.1218,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00112,u_exp003_ctrl_000112,2023-10-05,control,control,ip_reputation,0.9264,93.52,9,1,ip_0849e,unknown_bot,0,0,0.0994,0.2677,0.279,email,removed,confirmed_bot
AUDIT-EXP003-00113,u_exp003_ctrl_000113,2023-11-09,control,control,ml_classifier,0.8736,333.11,5,4,ip_10fcc,unknown_bot,0,0,0.0662,0.3475,0.197,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00114,u_exp003_ctrl_000114,2023-11-07,control,control,ml_classifier,0.9099,222.81,7,4,ip_0f0c6,scrapy,1,0,0.1035,0.2574,0.2875,email,flagged_pending,confirmed_bot
AUDIT-EXP003-00115,u_exp003_ctrl_000115,2023-10-04,control,control,ml_classifier,0.9079,251.1,5,1,ip_1162e,unknown_bot,0,0,0.0503,0.1955,0.3672,bot_farm,removed,false_positive_reversed
AUDIT-EXP003-00116,u_exp003_ctrl_000116,2023-10-02,control,control,ip_reputation,0.7741,221.69,4,1,ip_082fe,unknown_bot,0,0,0.2824,0.0317,0.3457,direct,removed,confirmed_bot
AUDIT-EXP003-00117,u_exp003_ctrl_000117,2023-10-27,control,control,captcha_fail,0.8364,212.07,1,3,ip_0d335,python_requests,1,0,0.0722,0.2263,0.0966,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00118,u_exp003_ctrl_000118,2023-09-28,control,control,ml_classifier,0.9172,102.89,9,4,ip_17aa2,headless_chrome,1,1,0.1619,0.3119,0.3982,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00119,u_exp003_ctrl_000119,2023-09-22,control,control,ml_classifier,0.9822,351.64,5,3,ip_0e3e3,headless_chrome,1,1,0.3295,0.2236,0.113,bot_farm,quarantined,confirmed_bot
AUDIT-EXP003-00120,u_exp003_ctrl_000120,2023-10-10,control,control,honeypot_trigger,0.7308,288.24,10,1,ip_0b8bb,unknown_bot,0,0,0.2409,0.3461,0.1047,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00121,u_exp003_ctrl_000121,2023-09-17,control,control,ml_classifier,0.9074,180.41,12,3,ip_0e395,unknown_bot,0,0,0.4137,0.2005,0.288,paid_ads,flagged_pending,confirmed_bot
AUDIT-EXP003-00122,u_exp003_ctrl_000122,2023-10-31,control,control,ml_classifier,0.7923,247.6,9,3,ip_0f352,headless_chrome,1,1,0.4171,0.2176,0.2098,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00123,u_exp003_ctrl_000123,2023-10-14,control,control,ip_reputation,0.7296,237.81,8,4,ip_17b3a,scrapy,1,0,0.0609,0.0488,0.2121,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00124,u_exp003_ctrl_000124,2023-10-09,control,control,ml_classifier,0.7226,268.57,11,2,ip_10dc2,headless_chrome,1,1,0.3712,0.2191,0.375,bot_farm,removed,confirmed_bot
AUDIT-EXP003-00125,u_exp003_ctrl_000125,2023-10-19,control,control,ml_classifier,0.8794,255.87,10,3,ip_0a492,scrapy,1,0,0.4144,0.2771,0.3319,paid_ads,removed,likely_bot
AUDIT-EXP003-00126,u_exp003_ctrl_000126,2023-11-07,control,control,ip_reputation,0.9065,231.4,10,2,ip_0e43e,headless_chrome,1,1,0.0846,0.2074,0.337,bot_farm,flagged_pending,confirmed_bot
AUDIT-EXP003-00127,u_exp003_ctrl_000127,2023-10-14,control,control,ml_classifier,0.989,293.89,9,1,ip_11d97,curl,1,0,0.385,0.1434,0.1066,bot_farm,removed,confirmed_bot
