# Imagery Analysis Supplement — area-7
Prepared by: Remote Sensing Unit | Supplement ID: RSU-2026-0712-SUPP
Analysis Date: 2026-05-03 | Reference Imagery: T1 (2024-08-12), T2 (2026-04-23)

## Purpose

This supplement provides detailed pixel-level change statistics for the
area-7 ROI (pixel coordinates: x0=140, y0=200, x1=380, y1=420).
The analysis supports the cross-reference validation required under
DB37/T 4122-2021 Section 2.3.

## NDVI Analysis

T1 (2024-08-12) mean NDVI in ROI: 0.612
T2 (2026-04-23) mean NDVI in ROI: 0.487
Delta NDVI: -0.125 (land-use conversion detected)

Changed pixels (Delta NDVI > 0.15 threshold): 14,823 pixels
Unchanged pixels:                             37,577 pixels
Area conversion rate: 13.3 ha (28.3% of ROI)

## Spectral Band Analysis

Band        | T1 mean | T2 mean | Change
------------|---------|---------|-------
Blue (0.45-0.52 um) | 0.083   | 0.112   | +0.029
Green (0.53-0.59 um)| 0.124   | 0.098   | -0.026
Red (0.63-0.69 um)  | 0.156   | 0.231   | +0.075
NIR (0.76-0.90 um)  | 0.412   | 0.321   | -0.091
SWIR1 (1.55-1.75 um)| 0.198   | 0.267   | +0.069

## Object-Based Change Detection

Segmentation (scale 65) identified 38 changed objects in the ROI.
Mean object size: 0.484 ha | Total changed area: 18.4 ha
Shape index mean: 1.82 (elongated, consistent with field boundaries)
Compactness mean: 0.61

## Appendix A: Pixel-Level Statistics (Full ROI, every 2nd pixel)

Row | Col | T1_Blue | T1_Green | T1_Red | T1_NIR | T2_Blue | T2_Green | T2_Red | T2_NIR | Delta_NDVI | Class
200 | 160 | 0.0796  | 0.1425   | 0.2149 | 0.4420 | 0.0713  | 0.1316   | 0.2759 | 0.3508 | -0.2262    | changed
200 | 162 | 0.0925  | 0.1545   | 0.1899 | 0.4559 | 0.0908  | 0.1522   | 0.2681 | 0.3712 | -0.2506    | changed
200 | 164 | 0.0957  | 0.1204   | 0.1680 | 0.5249 | 0.0870  | 0.1257   | 0.2282 | 0.5217 | -0.1237    | stable
200 | 166 | 0.0723  | 0.1411   | 0.1911 | 0.3774 | 0.0804  | 0.1198   | 0.2503 | 0.2886 | -0.2566    | changed
200 | 168 | 0.0855  | 0.1290   | 0.1473 | 0.4492 | 0.0675  | 0.1379   | 0.2053 | 0.3430 | -0.2550    | changed
200 | 170 | 0.0634  | 0.1600   | 0.1635 | 0.3088 | 0.0643  | 0.1278   | 0.1723 | 0.1676 | -0.3214    | changed
200 | 172 | 0.0762  | 0.1672   | 0.1564 | 0.6007 | 0.1016  | 0.1670   | 0.1533 | 0.5515 | -0.0218    | stable
200 | 174 | 0.1032  | 0.1404   | 0.1281 | 0.4245 | 0.1018  | 0.1374   | 0.1119 | 0.3927 | +0.0201    | stable
200 | 176 | 0.1029  | 0.1208   | 0.1336 | 0.5000 | 0.0906  | 0.1099   | 0.0811 | 0.4077 | +0.0899    | stable
200 | 178 | 0.0990  | 0.1434   | 0.1263 | 0.4660 | 0.1500  | 0.1507   | 0.1259 | 0.3802 | -0.0710    | stable
200 | 180 | 0.1008  | 0.1032   | 0.2021 | 0.5446 | 0.1407  | 0.1226   | 0.3028 | 0.3739 | -0.3536    | changed
200 | 182 | 0.0656  | 0.1733   | 0.1979 | 0.3890 | 0.0920  | 0.1877   | 0.2728 | 0.3283 | -0.2333    | changed
200 | 184 | 0.1083  | 0.1317   | 0.1533 | 0.4460 | 0.1137  | 0.1364   | 0.1423 | 0.3369 | -0.0823    | stable
200 | 186 | 0.1195  | 0.1083   | 0.1503 | 0.5860 | 0.1106  | 0.1413   | 0.2456 | 0.4772 | -0.2713    | changed
200 | 188 | 0.0975  | 0.1583   | 0.2057 | 0.3493 | 0.0806  | 0.1861   | 0.1948 | 0.2787 | -0.0815    | stable
200 | 190 | 0.1185  | 0.1579   | 0.1790 | 0.5531 | 0.1267  | 0.1539   | 0.2698 | 0.4939 | -0.2176    | changed
200 | 192 | 0.1112  | 0.1527   | 0.1656 | 0.3935 | 0.1423  | 0.1496   | 0.2495 | 0.3084 | -0.3020    | changed
200 | 194 | 0.1113  | 0.1184   | 0.1922 | 0.3337 | 0.1011  | 0.1377   | 0.1381 | 0.2352 | -0.0090    | stable
200 | 196 | 0.0978  | 0.1086   | 0.1998 | 0.5659 | 0.1203  | 0.0676   | 0.2469 | 0.4385 | -0.1986    | changed
200 | 198 | 0.0999  | 0.1044   | 0.1574 | 0.4429 | 0.0993  | 0.0973   | 0.2035 | 0.3914 | -0.1597    | changed
200 | 200 | 0.0720  | 0.1378   | 0.2194 | 0.4149 | 0.0754  | 0.1394   | 0.2586 | 0.2949 | -0.2426    | changed
200 | 202 | 0.1192  | 0.1199   | 0.2173 | 0.4093 | 0.1652  | 0.1134   | 0.2468 | 0.3394 | -0.1484    | stable
200 | 204 | 0.0972  | 0.1469   | 0.1837 | 0.3501 | 0.1069  | 0.1313   | 0.2188 | 0.2845 | -0.1812    | changed
200 | 206 | 0.0613  | 0.1359   | 0.1333 | 0.4079 | 0.0587  | 0.1025   | 0.1532 | 0.3375 | -0.1318    | stable
200 | 208 | 0.0976  | 0.1308   | 0.2185 | 0.5679 | 0.1076  | 0.1184   | 0.2618 | 0.4462 | -0.1838    | changed
200 | 210 | 0.0752  | 0.1093   | 0.1712 | 0.5272 | 0.0749  | 0.1183   | 0.1798 | 0.4216 | -0.1076    | stable
200 | 212 | 0.1033  | 0.1693   | 0.1367 | 0.6406 | 0.0951  | 0.2013   | 0.1816 | 0.6279 | -0.0970    | stable
200 | 214 | 0.0811  | 0.1419   | 0.2080 | 0.5674 | 0.0837  | 0.0974   | 0.2287 | 0.5036 | -0.0881    | stable
200 | 216 | 0.1097  | 0.1467   | 0.1472 | 0.6437 | 0.1379  | 0.1246   | 0.1346 | 0.5812 | -0.0039    | stable
200 | 218 | 0.0839  | 0.1232   | 0.2015 | 0.5123 | 0.0835  | 0.1153   | 0.2106 | 0.4263 | -0.0967    | stable
200 | 220 | 0.0624  | 0.1675   | 0.1653 | 0.4678 | 0.0378  | 0.1544   | 0.2196 | 0.4064 | -0.1794    | changed
200 | 222 | 0.0659  | 0.1510   | 0.1370 | 0.5431 | 0.0743  | 0.1189   | 0.2130 | 0.4577 | -0.2323    | changed
200 | 224 | 0.0923  | 0.1462   | 0.1804 | 0.4819 | 0.0905  | 0.1773   | 0.2228 | 0.3652 | -0.2130    | changed
200 | 226 | 0.0660  | 0.1469   | 0.1448 | 0.4145 | 0.0913  | 0.1219   | 0.2228 | 0.3193 | -0.3042    | changed
200 | 228 | 0.1035  | 0.1198   | 0.1825 | 0.4924 | 0.1122  | 0.1469   | 0.2102 | 0.3931 | -0.1560    | changed
200 | 230 | 0.1069  | 0.1222   | 0.2090 | 0.3969 | 0.1320  | 0.1005   | 0.2427 | 0.3389 | -0.1447    | stable
200 | 232 | 0.0903  | 0.1297   | 0.1808 | 0.4724 | 0.1065  | 0.1330   | 0.1764 | 0.3761 | -0.0850    | stable
200 | 234 | 0.0749  | 0.1439   | 0.1398 | 0.5618 | 0.0633  | 0.1314   | 0.2375 | 0.5685 | -0.1908    | changed
200 | 236 | 0.0705  | 0.1453   | 0.1355 | 0.3968 | 0.0864  | 0.1825   | 0.1613 | 0.3150 | -0.1682    | changed
200 | 238 | 0.0623  | 0.1479   | 0.1442 | 0.5708 | 0.0394  | 0.1291   | 0.1935 | 0.5159 | -0.1421    | stable
200 | 240 | 0.1073  | 0.1790   | 0.1676 | 0.4630 | 0.0977  | 0.1797   | 0.2136 | 0.3988 | -0.1660    | changed
200 | 242 | 0.0659  | 0.1281   | 0.1368 | 0.6349 | 0.0774  | 0.0775   | 0.2312 | 0.5663 | -0.2253    | changed
200 | 244 | 0.1059  | 0.1575   | 0.1253 | 0.6390 | 0.1341  | 0.1552   | 0.1602 | 0.5331 | -0.1342    | stable
200 | 246 | 0.1106  | 0.1072   | 0.1812 | 0.6104 | 0.1020  | 0.1275   | 0.2185 | 0.5246 | -0.1303    | stable
200 | 248 | 0.0717  | 0.1632   | 0.2155 | 0.3470 | 0.0750  | 0.1681   | 0.2573 | 0.1555 | -0.4804    | changed
200 | 250 | 0.0620  | 0.1616   | 0.1759 | 0.3803 | 0.0525  | 0.1406   | 0.2209 | 0.3283 | -0.1719    | changed
200 | 252 | 0.0757  | 0.1082   | 0.1578 | 0.5402 | 0.0959  | 0.1199   | 0.2272 | 0.4428 | -0.2261    | changed
200 | 254 | 0.0662  | 0.1628   | 0.2048 | 0.3376 | 0.0826  | 0.1252   | 0.2301 | 0.1637 | -0.4134    | changed
200 | 256 | 0.1049  | 0.1564   | 0.1340 | 0.6157 | 0.1160  | 0.1414   | 0.1275 | 0.5226 | -0.0347    | stable
200 | 258 | 0.0720  | 0.1261   | 0.1411 | 0.6046 | 0.0687  | 0.1349   | 0.2194 | 0.4833 | -0.2460    | changed
200 | 260 | 0.0721  | 0.1003   | 0.1627 | 0.6066 | 0.0828  | 0.1202   | 0.2309 | 0.5278 | -0.1857    | changed
200 | 262 | 0.0930  | 0.1608   | 0.1395 | 0.4117 | 0.0902  | 0.1636   | 0.1839 | 0.2648 | -0.3135    | changed
200 | 264 | 0.0672  | 0.1330   | 0.2086 | 0.5956 | 0.0619  | 0.1205   | 0.2522 | 0.5649 | -0.0985    | stable
200 | 266 | 0.1030  | 0.1413   | 0.2010 | 0.6201 | 0.1464  | 0.1590   | 0.2011 | 0.5365 | -0.0557    | stable
200 | 268 | 0.0930  | 0.1559   | 0.1725 | 0.4830 | 0.0869  | 0.1393   | 0.2083 | 0.4150 | -0.1421    | stable
200 | 270 | 0.1169  | 0.1459   | 0.1980 | 0.5385 | 0.1144  | 0.1327   | 0.2585 | 0.4446 | -0.1976    | changed
200 | 272 | 0.1130  | 0.1663   | 0.2147 | 0.6404 | 0.0931  | 0.1277   | 0.2642 | 0.6109 | -0.1016    | stable
200 | 274 | 0.1075  | 0.1364   | 0.1476 | 0.5295 | 0.0944  | 0.1354   | 0.1795 | 0.4841 | -0.1050    | stable
200 | 276 | 0.1176  | 0.1155   | 0.1461 | 0.5773 | 0.1156  | 0.1276   | 0.1983 | 0.4377 | -0.2197    | changed
200 | 278 | 0.1071  | 0.1107   | 0.1582 | 0.3373 | 0.0915  | 0.1073   | 0.1809 | 0.2494 | -0.2023    | changed
200 | 280 | 0.0657  | 0.1177   | 0.2158 | 0.3747 | 0.0687  | 0.1368   | 0.3028 | 0.3272 | -0.2304    | changed
200 | 282 | 0.0694  | 0.1751   | 0.1596 | 0.3246 | 0.0729  | 0.1918   | 0.2183 | 0.3321 | -0.1340    | stable
200 | 284 | 0.1039  | 0.1390   | 0.1709 | 0.5905 | 0.0759  | 0.1257   | 0.2286 | 0.5944 | -0.1066    | stable
200 | 286 | 0.0757  | 0.1719   | 0.2094 | 0.3161 | 0.0619  | 0.1873   | 0.2838 | 0.2627 | -0.2416    | changed
200 | 288 | 0.0940  | 0.1625   | 0.1339 | 0.3203 | 0.0843  | 0.1783   | 0.1328 | 0.2506 | -0.1031    | stable
200 | 290 | 0.1119  | 0.1068   | 0.1409 | 0.6273 | 0.1260  | 0.0823   | 0.1912 | 0.5452 | -0.1525    | changed
200 | 292 | 0.0915  | 0.1179   | 0.1386 | 0.4349 | 0.0971  | 0.1067   | 0.1690 | 0.3629 | -0.1522    | changed
200 | 294 | 0.0861  | 0.1156   | 0.1990 | 0.5430 | 0.0879  | 0.1508   | 0.2671 | 0.4234 | -0.2372    | changed
200 | 296 | 0.1169  | 0.1326   | 0.1820 | 0.4972 | 0.0833  | 0.1294   | 0.2264 | 0.4579 | -0.1258    | stable
200 | 298 | 0.0716  | 0.1431   | 0.1422 | 0.5235 | 0.0834  | 0.1332   | 0.2596 | 0.4759 | -0.2787    | changed
200 | 300 | 0.0669  | 0.1600   | 0.2112 | 0.4437 | 0.0572  | 0.1412   | 0.2316 | 0.4063 | -0.0811    | stable
200 | 302 | 0.0909  | 0.1365   | 0.1679 | 0.3331 | 0.1091  | 0.1361   | 0.1517 | 0.1928 | -0.2104    | changed
200 | 304 | 0.0631  | 0.1397   | 0.1435 | 0.5495 | 0.0926  | 0.1109   | 0.1690 | 0.4859 | -0.1020    | stable
200 | 306 | 0.0986  | 0.1689   | 0.2126 | 0.5395 | 0.1434  | 0.1908   | 0.2752 | 0.3487 | -0.3168    | changed
200 | 308 | 0.0742  | 0.1249   | 0.1352 | 0.3559 | 0.0553  | 0.1068   | 0.1695 | 0.3367 | -0.1191    | stable
200 | 310 | 0.0819  | 0.1058   | 0.1777 | 0.5545 | 0.0734  | 0.1152   | 0.2430 | 0.4444 | -0.2216    | changed
200 | 312 | 0.0991  | 0.1458   | 0.1996 | 0.5440 | 0.1217  | 0.1373   | 0.2472 | 0.4320 | -0.1911    | changed
200 | 314 | 0.0923  | 0.1418   | 0.1534 | 0.5939 | 0.0782  | 0.1376   | 0.2205 | 0.5346 | -0.1735    | changed
200 | 316 | 0.0604  | 0.1292   | 0.1820 | 0.5276 | 0.0536  | 0.1180   | 0.2250 | 0.4586 | -0.1453    | stable
200 | 318 | 0.0712  | 0.1779   | 0.1684 | 0.5921 | 0.0744  | 0.1607   | 0.1697 | 0.5623 | -0.0208    | stable
200 | 320 | 0.1175  | 0.1719   | 0.2060 | 0.3332 | 0.1052  | 0.1517   | 0.3258 | 0.2753 | -0.3199    | changed
200 | 322 | 0.1138  | 0.1563   | 0.1848 | 0.3147 | 0.1184  | 0.1431   | 0.2396 | 0.2488 | -0.2413    | changed
200 | 324 | 0.0633  | 0.1383   | 0.2054 | 0.6145 | 0.0729  | 0.1718   | 0.2872 | 0.5540 | -0.1818    | changed
200 | 326 | 0.0659  | 0.1645   | 0.1680 | 0.6491 | 0.0459  | 0.1711   | 0.1714 | 0.6381 | -0.0123    | stable
200 | 328 | 0.1077  | 0.1545   | 0.1929 | 0.5623 | 0.1373  | 0.1975   | 0.2320 | 0.5294 | -0.0985    | stable
200 | 330 | 0.0799  | 0.1458   | 0.1494 | 0.4608 | 0.0555  | 0.1539   | 0.2024 | 0.4006 | -0.1816    | changed
200 | 332 | 0.0632  | 0.1282   | 0.2114 | 0.3005 | 0.0478  | 0.1051   | 0.2617 | 0.2066 | -0.2918    | changed
200 | 334 | 0.0908  | 0.1045   | 0.1484 | 0.6484 | 0.1436  | 0.1057   | 0.1348 | 0.5289 | -0.0337    | stable
200 | 336 | 0.0729  | 0.1762   | 0.1415 | 0.4408 | 0.0651  | 0.1478   | 0.1941 | 0.3749 | -0.1963    | changed
200 | 338 | 0.0778  | 0.1230   | 0.1681 | 0.5650 | 0.0991  | 0.1140   | 0.1370 | 0.5761 | +0.0744    | stable
200 | 340 | 0.0972  | 0.1737   | 0.1406 | 0.4689 | 0.1267  | 0.1939   | 0.1825 | 0.3770 | -0.1910    | changed
200 | 342 | 0.1085  | 0.1303   | 0.1449 | 0.6416 | 0.1202  | 0.1041   | 0.1753 | 0.5601 | -0.1082    | stable
200 | 344 | 0.1138  | 0.1698   | 0.1533 | 0.3023 | 0.0967  | 0.1723   | 0.1571 | 0.2552 | -0.0891    | stable
200 | 346 | 0.1048  | 0.1193   | 0.1260 | 0.3759 | 0.1027  | 0.1329   | 0.1452 | 0.3167 | -0.1266    | stable
200 | 348 | 0.0635  | 0.1110   | 0.2132 | 0.6116 | 0.0696  | 0.1231   | 0.2475 | 0.5049 | -0.1409    | stable
200 | 350 | 0.0755  | 0.1187   | 0.1935 | 0.6058 | 0.0702  | 0.1186   | 0.2795 | 0.5281 | -0.2080    | changed
200 | 352 | 0.1039  | 0.1229   | 0.1584 | 0.3324 | 0.0884  | 0.1034   | 0.1846 | 0.1432 | -0.4808    | changed
200 | 354 | 0.1013  | 0.1712   | 0.1382 | 0.6091 | 0.0934  | 0.1715   | 0.1435 | 0.5280 | -0.0575    | stable
200 | 356 | 0.0767  | 0.1344   | 0.1860 | 0.5098 | 0.0745  | 0.1050   | 0.2362 | 0.4719 | -0.1325    | stable
200 | 358 | 0.0945  | 0.1470   | 0.1412 | 0.3558 | 0.0794  | 0.1514   | 0.1175 | 0.2798 | -0.0233    | stable
200 | 360 | 0.1115  | 0.1290   | 0.1208 | 0.6037 | 0.1283  | 0.1224   | 0.1575 | 0.5433 | -0.1160    | stable
200 | 362 | 0.0970  | 0.1356   | 0.1508 | 0.5254 | 0.1514  | 0.1355   | 0.2124 | 0.4580 | -0.1877    | changed
200 | 364 | 0.0645  | 0.1686   | 0.1240 | 0.5158 | 0.0534  | 0.1808   | 0.1812 | 0.4665 | -0.1719    | changed
200 | 366 | 0.0911  | 0.1386   | 0.1476 | 0.5876 | 0.1144  | 0.1472   | 0.2147 | 0.5636 | -0.1502    | changed
200 | 368 | 0.0761  | 0.1131   | 0.1768 | 0.3923 | 0.0513  | 0.1346   | 0.2566 | 0.3215 | -0.2664    | changed
200 | 370 | 0.0639  | 0.1163   | 0.1969 | 0.5295 | 0.0528  | 0.1098   | 0.2428 | 0.3836 | -0.2331    | changed
200 | 372 | 0.0982  | 0.1452   | 0.1644 | 0.5984 | 0.0964  | 0.1379   | 0.2384 | 0.5543 | -0.1705    | changed
200 | 374 | 0.1189  | 0.1736   | 0.2032 | 0.4046 | 0.1155  | 0.1556   | 0.2629 | 0.3149 | -0.2414    | changed
200 | 376 | 0.0807  | 0.1052   | 0.1592 | 0.5869 | 0.1054  | 0.1204   | 0.1708 | 0.5552 | -0.0437    | stable
200 | 378 | 0.0902  | 0.1313   | 0.1259 | 0.3093 | 0.1471  | 0.1639   | 0.1611 | 0.2176 | -0.2722    | changed
202 | 140 | 0.1124  | 0.1659   | 0.1301 | 0.3577 | 0.0943  | 0.1418   | 0.1538 | 0.3049 | -0.1372    | stable
202 | 142 | 0.0650  | 0.1204   | 0.1406 | 0.5630 | 0.0609  | 0.1021   | 0.1343 | 0.5085 | -0.0182    | stable
202 | 144 | 0.0762  | 0.1323   | 0.2117 | 0.4344 | 0.1038  | 0.1220   | 0.2493 | 0.4119 | -0.0988    | stable
202 | 146 | 0.0735  | 0.1237   | 0.1834 | 0.3209 | 0.0021  | 0.1179   | 0.2523 | 0.1825 | -0.4332    | changed
202 | 148 | 0.0985  | 0.1494   | 0.1801 | 0.6333 | 0.0875  | 0.1250   | 0.2675 | 0.5405 | -0.2193    | changed
202 | 150 | 0.0692  | 0.1654   | 0.2029 | 0.4594 | 0.0732  | 0.1805   | 0.2790 | 0.3211 | -0.3171    | changed
202 | 152 | 0.0675  | 0.1293   | 0.1406 | 0.4564 | 0.0760  | 0.1487   | 0.2228 | 0.4174 | -0.2250    | changed
202 | 154 | 0.1066  | 0.1430   | 0.1600 | 0.5643 | 0.1118  | 0.1398   | 0.2058 | 0.4948 | -0.1457    | stable
202 | 156 | 0.0949  | 0.1002   | 0.1357 | 0.3420 | 0.0794  | 0.1188   | 0.1910 | 0.2600 | -0.2789    | changed
202 | 158 | 0.1080  | 0.1456   | 0.2082 | 0.4830 | 0.1046  | 0.1245   | 0.2298 | 0.4314 | -0.0927    | stable
202 | 160 | 0.1011  | 0.1797   | 0.1420 | 0.6456 | 0.0659  | 0.1779   | 0.1851 | 0.5568 | -0.1384    | stable
202 | 162 | 0.1153  | 0.1465   | 0.2120 | 0.3800 | 0.1112  | 0.1249   | 0.2179 | 0.3211 | -0.0923    | stable
202 | 164 | 0.0724  | 0.1629   | 0.2100 | 0.4773 | 0.0707  | 0.1647   | 0.2933 | 0.3555 | -0.2930    | changed
202 | 166 | 0.1079  | 0.1045   | 0.1577 | 0.5335 | 0.0897  | 0.0671   | 0.2268 | 0.4553 | -0.2087    | changed
202 | 168 | 0.0610  | 0.1718   | 0.1827 | 0.3122 | 0.0630  | 0.1629   | 0.1929 | 0.2854 | -0.0683    | stable
202 | 170 | 0.0616  | 0.1139   | 0.1982 | 0.3244 | 0.0599  | 0.1233   | 0.2175 | 0.2905 | -0.0978    | stable
202 | 172 | 0.0676  | 0.1387   | 0.1850 | 0.3645 | 0.0237  | 0.1535   | 0.1781 | 0.2197 | -0.2221    | changed
202 | 174 | 0.1013  | 0.1643   | 0.1399 | 0.5120 | 0.0909  | 0.1308   | 0.1867 | 0.4017 | -0.2054    | changed
202 | 176 | 0.0804  | 0.1630   | 0.1358 | 0.3307 | 0.0644  | 0.1856   | 0.1844 | 0.2267 | -0.3149    | changed
202 | 178 | 0.0789  | 0.1331   | 0.2157 | 0.4998 | 0.0843  | 0.1375   | 0.2176 | 0.4388 | -0.0601    | stable
202 | 180 | 0.0913  | 0.1149   | 0.1607 | 0.5878 | 0.0840  | 0.1313   | 0.2033 | 0.4631 | -0.1807    | changed
202 | 182 | 0.1101  | 0.1124   | 0.1803 | 0.4740 | 0.0910  | 0.1443   | 0.2272 | 0.3855 | -0.1905    | changed
202 | 184 | 0.0976  | 0.1419   | 0.2131 | 0.3224 | 0.0866  | 0.1098   | 0.1987 | 0.2356 | -0.1191    | stable
202 | 186 | 0.0725  | 0.1381   | 0.1710 | 0.5793 | 0.0559  | 0.1417   | 0.1752 | 0.5318 | -0.0398    | stable
202 | 188 | 0.1192  | 0.1415   | 0.1859 | 0.5878 | 0.1053  | 0.1566   | 0.1652 | 0.4693 | -0.0402    | stable
202 | 190 | 0.0928  | 0.1221   | 0.1700 | 0.3317 | 0.0467  | 0.1388   | 0.2048 | 0.2851 | -0.1584    | changed
202 | 192 | 0.0798  | 0.1256   | 0.2110 | 0.5473 | 0.1135  | 0.1405   | 0.2434 | 0.4542 | -0.1413    | stable
202 | 194 | 0.0903  | 0.1319   | 0.1512 | 0.3598 | 0.0890  | 0.1053   | 0.1974 | 0.2758 | -0.2425    | changed
202 | 196 | 0.1129  | 0.1472   | 0.1708 | 0.5442 | 0.1061  | 0.1250   | 0.2280 | 0.4346 | -0.2104    | changed
202 | 198 | 0.1170  | 0.1279   | 0.1649 | 0.6332 | 0.1242  | 0.1485   | 0.2154 | 0.4407 | -0.2434    | changed
202 | 200 | 0.0812  | 0.1478   | 0.1349 | 0.3927 | 0.0546  | 0.1200   | 0.1546 | 0.2873 | -0.1883    | changed
202 | 202 | 0.1011  | 0.1153   | 0.1445 | 0.4250 | 0.1113  | 0.1246   | 0.1922 | 0.3927 | -0.1497    | stable
202 | 204 | 0.1165  | 0.1386   | 0.1763 | 0.5154 | 0.1301  | 0.1149   | 0.2014 | 0.4550 | -0.1039    | stable
202 | 206 | 0.1005  | 0.1078   | 0.1925 | 0.4402 | 0.1188  | 0.1211   | 0.2392 | 0.3143 | -0.2558    | changed
202 | 208 | 0.0632  | 0.1543   | 0.2111 | 0.4045 | 0.0691  | 0.2014   | 0.2278 | 0.3242 | -0.1396    | stable
202 | 210 | 0.0840  | 0.1010   | 0.1953 | 0.5994 | 0.1027  | 0.0774   | 0.2505 | 0.5215 | -0.1575    | changed
202 | 212 | 0.0978  | 0.1174   | 0.1937 | 0.3362 | 0.1201  | 0.1068   | 0.2224 | 0.2552 | -0.2002    | changed
202 | 214 | 0.1158  | 0.1748   | 0.1383 | 0.3438 | 0.1306  | 0.1995   | 0.1661 | 0.2361 | -0.2523    | changed
202 | 216 | 0.0959  | 0.1067   | 0.2162 | 0.6161 | 0.0920  | 0.0803   | 0.2399 | 0.5786 | -0.0667    | stable
202 | 218 | 0.0859  | 0.1712   | 0.1562 | 0.6247 | 0.0704  | 0.1630   | 0.1690 | 0.5386 | -0.0776    | stable
202 | 220 | 0.0610  | 0.1516   | 0.2133 | 0.3363 | 0.0572  | 0.0954   | 0.2343 | 0.1876 | -0.3345    | changed
202 | 222 | 0.0752  | 0.1520   | 0.1913 | 0.5774 | 0.0696  | 0.1710   | 0.2151 | 0.4512 | -0.1480    | stable
202 | 224 | 0.0739  | 0.1451   | 0.1998 | 0.6274 | 0.0569  | 0.1498   | 0.2524 | 0.5949 | -0.1127    | stable
202 | 226 | 0.1144  | 0.1241   | 0.1657 | 0.5170 | 0.1120  | 0.1590   | 0.2477 | 0.4931 | -0.1833    | changed
202 | 228 | 0.1000  | 0.1229   | 0.1316 | 0.5606 | 0.0665  | 0.1310   | 0.1911 | 0.4669 | -0.2007    | changed
202 | 230 | 0.1042  | 0.1540   | 0.1345 | 0.3557 | 0.1186  | 0.1278   | 0.1441 | 0.2660 | -0.1540    | changed
202 | 232 | 0.0926  | 0.1170   | 0.1582 | 0.5785 | 0.0899  | 0.1184   | 0.2303 | 0.5016 | -0.1998    | changed
202 | 234 | 0.0831  | 0.1485   | 0.1537 | 0.3477 | 0.0701  | 0.1543   | 0.2333 | 0.2655 | -0.3223    | changed
202 | 236 | 0.0629  | 0.1790   | 0.1813 | 0.3211 | 0.0601  | 0.1854   | 0.1744 | 0.2380 | -0.1241    | stable
