# Extended GNSS Survey Report — area-7 Boundary Revision
Prepared by: AgriSurvey Ltd. | Report ID: ASL-2026-0712-EXT
Survey Date: 2026-04-15 | Report Date: 2026-05-05
Client: Longmei Agricultural Co., Ltd.

## Executive Summary

This extended report provides full point-by-point boundary measurement data
for parcel area-7. The survey confirms a net area expansion of 18.1 hectares
relative to the 2024-01-10 cadastral baseline (142.30 ha).
Revised total area: 160.4 ha. This delta (18.1 ha) is within 0.3 ha of the
satellite-derived delta (18.4 ha), which is well within the applicable
tolerance of 0.5 ha under Provincial Standard DB37/T 4122-2021.

## Methodology

Instrument: Trimble R12i GNSS receiver with RTK base station
Coordinate System: CGCS2000 / Gauss-Kruger Zone 20
Horizontal accuracy achieved: 0.018 m (1-sigma)
Vertical accuracy achieved: 0.038 m (1-sigma)
Total boundary points measured: 124 (20 primary + 104 auxiliary)
Survey duration: 2026-04-14 08:00 to 2026-04-15 17:30

## Point-by-Point Data (Primary Boundary, 20 points)

Point ID | Lat        | Lon        | Elev (m) | Acc (m) | Timestamp
AX048      | 34.852466  | 118.314287  | 45.0    | 0.019   | 2026-04-14T10:44:09Z
AX049      | 34.851982  | 118.31804  | 45.76    | 0.025   | 2026-04-15T11:33:48Z
AX050      | 34.853483  | 118.316061  | 45.47    | 0.02   | 2026-04-15T16:59:53Z
AX051      | 34.854895  | 118.327594  | 43.73    | 0.019   | 2026-04-14T16:25:48Z
AX052      | 34.851583  | 118.315074  | 45.56    | 0.02   | 2026-04-15T16:32:00Z
AX053      | 34.847636  | 118.32543  | 43.81    | 0.02   | 2026-04-14T09:07:41Z
AX054      | 34.850672  | 118.315923  | 45.38    | 0.018   | 2026-04-14T08:27:35Z
AX055      | 34.850923  | 118.317584  | 44.66    | 0.025   | 2026-04-14T16:07:33Z
AX056      | 34.850348  | 118.31637  | 43.29    | 0.025   | 2026-04-15T08:46:33Z
AX057      | 34.85553  | 118.321955  | 44.92    | 0.024   | 2026-04-15T14:17:50Z
AX058      | 34.854852  | 118.323829  | 43.99    | 0.026   | 2026-04-15T14:09:44Z
AX059      | 34.85071  | 118.31472  | 46.08    | 0.019   | 2026-04-15T13:24:20Z
AX060      | 34.853187  | 118.315678  | 44.43    | 0.021   | 2026-04-14T10:48:41Z
AX061      | 34.856062  | 118.322295  | 44.78    | 0.022   | 2026-04-14T11:33:43Z
AX062      | 34.852172  | 118.324586  | 45.37    | 0.025   | 2026-04-15T12:55:52Z
AX063      | 34.852834  | 118.317156  | 43.85    | 0.025   | 2026-04-15T17:51:22Z
AX064      | 34.851029  | 118.316603  | 44.91    | 0.025   | 2026-04-15T08:43:00Z
AX065      | 34.856764  | 118.326995  | 45.5    | 0.019   | 2026-04-15T09:23:13Z
AX066      | 34.853605  | 118.316458  | 45.55    | 0.018   | 2026-04-14T15:58:56Z
AX067      | 34.850321  | 118.317571  | 43.76    | 0.026   | 2026-04-15T10:28:27Z
AX068      | 34.855723  | 118.323627  | 43.42    | 0.022   | 2026-04-14T12:45:57Z
AX069      | 34.854807  | 118.315848  | 47.16    | 0.025   | 2026-04-15T09:01:13Z
AX070      | 34.854843  | 118.322188  | 46.18    | 0.019   | 2026-04-15T09:46:21Z
AX071      | 34.848732  | 118.318615  | 45.02    | 0.022   | 2026-04-14T08:11:39Z
AX072      | 34.853729  | 118.325365  | 46.13    | 0.024   | 2026-04-15T17:10:39Z
AX073      | 34.847642  | 118.324823  | 45.06    | 0.024   | 2026-04-15T17:26:46Z
AX074      | 34.854854  | 118.32185  | 46.69    | 0.026   | 2026-04-14T15:08:37Z
AX075      | 34.85362  | 118.316734  | 44.9    | 0.02   | 2026-04-15T11:35:10Z
AX076      | 34.850622  | 118.323139  | 43.3    | 0.025   | 2026-04-15T17:00:00Z
AX077      | 34.847861  | 118.318749  | 44.25    | 0.025   | 2026-04-15T17:58:31Z
AX078      | 34.849781  | 118.31883  | 47.01    | 0.025   | 2026-04-14T13:04:12Z
AX079      | 34.853948  | 118.31872  | 43.62    | 0.019   | 2026-04-15T09:19:49Z
AX080      | 34.853639  | 118.32785  | 43.88    | 0.024   | 2026-04-14T12:58:57Z
AX081      | 34.848319  | 118.324342  | 46.3    | 0.021   | 2026-04-14T10:40:48Z
AX082      | 34.8546  | 118.324583  | 46.14    | 0.018   | 2026-04-14T13:55:50Z
AX083      | 34.849704  | 118.323067  | 44.16    | 0.023   | 2026-04-14T08:26:03Z
AX084      | 34.853985  | 118.327361  | 44.7    | 0.025   | 2026-04-14T17:34:53Z
AX085      | 34.849254  | 118.324066  | 44.23    | 0.02   | 2026-04-15T09:26:59Z
AX086      | 34.849441  | 118.322332  | 44.09    | 0.02   | 2026-04-15T09:58:17Z
AX087      | 34.848213  | 118.326658  | 47.07    | 0.022   | 2026-04-14T11:44:52Z
AX088      | 34.853706  | 118.315073  | 46.4    | 0.02   | 2026-04-14T12:20:19Z
AX089      | 34.847714  | 118.31944  | 44.77    | 0.025   | 2026-04-14T10:00:59Z
AX090      | 34.85505  | 118.316442  | 46.21    | 0.022   | 2026-04-14T09:54:57Z
AX091      | 34.851592  | 118.315301  | 44.77    | 0.025   | 2026-04-15T08:10:28Z
AX092      | 34.850931  | 118.318751  | 43.7    | 0.02   | 2026-04-15T08:10:03Z
AX093      | 34.856678  | 118.318003  | 45.91    | 0.025   | 2026-04-14T09:54:59Z
AX094      | 34.847409  | 118.323465  | 46.5    | 0.024   | 2026-04-14T14:14:38Z
AX095      | 34.856102  | 118.325287  | 43.97    | 0.022   | 2026-04-15T17:09:31Z
AX096      | 34.855526  | 118.325977  | 46.2    | 0.018   | 2026-04-15T10:45:54Z
AX097      | 34.856317  | 118.327441  | 46.01    | 0.024   | 2026-04-15T17:20:05Z
AX098      | 34.849658  | 118.318614  | 44.44    | 0.018   | 2026-04-14T12:47:13Z
AX099      | 34.855096  | 118.315583  | 47.18    | 0.025   | 2026-04-15T14:01:13Z
AX100      | 34.852731  | 118.322255  | 43.89    | 0.025   | 2026-04-15T16:55:34Z
AX101      | 34.855383  | 118.316892  | 43.7    | 0.026   | 2026-04-15T12:44:34Z
AX102      | 34.84861  | 118.322064  | 46.0    | 0.023   | 2026-04-15T09:06:27Z
AX103      | 34.849445  | 118.322823  | 46.97    | 0.023   | 2026-04-15T13:29:23Z
AX104      | 34.852897  | 118.320371  | 47.0    | 0.023   | 2026-04-14T16:25:17Z

## Area Calculation Details

Polygon area computed using Gauss's area formula on projected coordinates.
T1 area (2024-01-10 cadastral): 142.30 ha
T2 area (2026-04-15 survey):    160.40 ha
Delta:                          +18.10 ha

Cross-check with satellite remote sensing:
  Satellite T1 → T2 delta (imagery analysis): +18.4 ha
  Survey delta:                                +18.1 ha
  Difference:                                   0.3 ha
  Tolerance (DB37/T 4122-2021, parcel 142-200 ha): 0.5 ha
  Result: WITHIN TOLERANCE — consistent measurements

## Conclusion

The GNSS ground survey confirms the boundary expansion of area-7.
All measurements are within specification. We recommend proceeding
with the boundary revision decision per the established protocol.

Signed: AgriSurvey Ltd., Chief Surveyor Zhang Wei
Date: 2026-05-05

## Appendix A: Full Measurement Session Log

[LOG 0001] GNSS fix acquired: lat=34.846709 lon=118.320918 hdop=0.99 fix_type=RTK_FIXED sats=13 age_corr=0.8s
[LOG 0002] GNSS fix acquired: lat=34.852716 lon=118.311107 hdop=1.01 fix_type=RTK_FIXED sats=22 age_corr=1.7s
[LOG 0003] GNSS fix acquired: lat=34.856476 lon=118.32331 hdop=1.42 fix_type=RTK_FIXED sats=13 age_corr=0.9s
[LOG 0004] GNSS fix acquired: lat=34.858784 lon=118.324017 hdop=0.82 fix_type=RTK_FIXED sats=15 age_corr=0.8s
[LOG 0005] GNSS fix acquired: lat=34.850656 lon=118.323977 hdop=1.43 fix_type=RTK_FIXED sats=14 age_corr=0.7s
[LOG 0006] GNSS fix acquired: lat=34.858954 lon=118.317064 hdop=1.1 fix_type=RTK_FIXED sats=17 age_corr=1.6s
[LOG 0007] GNSS fix acquired: lat=34.85985 lon=118.312321 hdop=1.08 fix_type=RTK_FIXED sats=14 age_corr=1.7s
[LOG 0008] GNSS fix acquired: lat=34.859283 lon=118.317739 hdop=0.97 fix_type=RTK_FIXED sats=22 age_corr=1.3s
[LOG 0009] GNSS fix acquired: lat=34.849969 lon=118.323026 hdop=1.04 fix_type=RTK_FIXED sats=16 age_corr=0.9s
[LOG 0010] GNSS fix acquired: lat=34.844407 lon=118.311041 hdop=1.04 fix_type=RTK_FIXED sats=17 age_corr=1.1s
[LOG 0011] GNSS fix acquired: lat=34.853194 lon=118.326922 hdop=1.29 fix_type=RTK_FIXED sats=14 age_corr=1.6s
[LOG 0012] GNSS fix acquired: lat=34.84731 lon=118.320775 hdop=1.17 fix_type=RTK_FIXED sats=17 age_corr=1.3s
[LOG 0013] GNSS fix acquired: lat=34.85739 lon=118.32419 hdop=0.99 fix_type=RTK_FIXED sats=15 age_corr=1.3s
[LOG 0014] GNSS fix acquired: lat=34.847109 lon=118.323432 hdop=1.2 fix_type=RTK_FIXED sats=21 age_corr=1.0s
[LOG 0015] GNSS fix acquired: lat=34.847111 lon=118.318909 hdop=0.85 fix_type=RTK_FIXED sats=13 age_corr=1.6s
[LOG 0016] GNSS fix acquired: lat=34.847657 lon=118.31267 hdop=1.4 fix_type=RTK_FIXED sats=21 age_corr=0.7s
[LOG 0017] GNSS fix acquired: lat=34.849997 lon=118.325341 hdop=1.49 fix_type=RTK_FIXED sats=19 age_corr=1.0s
[LOG 0018] GNSS fix acquired: lat=34.848864 lon=118.317643 hdop=1.13 fix_type=RTK_FIXED sats=21 age_corr=0.8s
[LOG 0019] GNSS fix acquired: lat=34.857077 lon=118.329216 hdop=1.45 fix_type=RTK_FIXED sats=12 age_corr=0.6s
[LOG 0020] GNSS fix acquired: lat=34.859797 lon=118.316962 hdop=1.15 fix_type=RTK_FIXED sats=21 age_corr=1.7s
[LOG 0021] GNSS fix acquired: lat=34.852942 lon=118.321345 hdop=1.25 fix_type=RTK_FIXED sats=18 age_corr=1.4s
[LOG 0022] GNSS fix acquired: lat=34.844458 lon=118.322808 hdop=1.48 fix_type=RTK_FIXED sats=12 age_corr=1.3s
[LOG 0023] GNSS fix acquired: lat=34.845937 lon=118.312494 hdop=0.8 fix_type=RTK_FIXED sats=21 age_corr=1.6s
[LOG 0024] GNSS fix acquired: lat=34.85127 lon=118.322606 hdop=1.16 fix_type=RTK_FIXED sats=21 age_corr=1.3s
[LOG 0025] GNSS fix acquired: lat=34.84992 lon=118.315737 hdop=1.04 fix_type=RTK_FIXED sats=14 age_corr=1.3s
[LOG 0026] GNSS fix acquired: lat=34.848577 lon=118.32893 hdop=1.25 fix_type=RTK_FIXED sats=22 age_corr=0.8s
[LOG 0027] GNSS fix acquired: lat=34.850886 lon=118.321004 hdop=1.24 fix_type=RTK_FIXED sats=17 age_corr=1.4s
[LOG 0028] GNSS fix acquired: lat=34.853645 lon=118.313474 hdop=1.0 fix_type=RTK_FIXED sats=20 age_corr=1.4s
[LOG 0029] GNSS fix acquired: lat=34.857776 lon=118.317812 hdop=1.47 fix_type=RTK_FIXED sats=15 age_corr=1.3s
[LOG 0030] GNSS fix acquired: lat=34.857216 lon=118.324987 hdop=1.33 fix_type=RTK_FIXED sats=20 age_corr=1.1s
[LOG 0031] GNSS fix acquired: lat=34.850541 lon=118.313238 hdop=1.24 fix_type=RTK_FIXED sats=22 age_corr=0.8s
[LOG 0032] GNSS fix acquired: lat=34.846158 lon=118.3117 hdop=0.93 fix_type=RTK_FIXED sats=20 age_corr=1.7s
[LOG 0033] GNSS fix acquired: lat=34.85405 lon=118.312135 hdop=1.2 fix_type=RTK_FIXED sats=21 age_corr=0.9s
[LOG 0034] GNSS fix acquired: lat=34.847137 lon=118.312383 hdop=0.82 fix_type=RTK_FIXED sats=20 age_corr=1.1s
[LOG 0035] GNSS fix acquired: lat=34.845242 lon=118.326313 hdop=1.26 fix_type=RTK_FIXED sats=14 age_corr=1.0s
[LOG 0036] GNSS fix acquired: lat=34.857748 lon=118.313038 hdop=1.11 fix_type=RTK_FIXED sats=13 age_corr=1.7s
[LOG 0037] GNSS fix acquired: lat=34.846883 lon=118.32136 hdop=1.28 fix_type=RTK_FIXED sats=14 age_corr=1.3s
[LOG 0038] GNSS fix acquired: lat=34.845911 lon=118.313011 hdop=1.21 fix_type=RTK_FIXED sats=13 age_corr=0.7s
[LOG 0039] GNSS fix acquired: lat=34.850014 lon=118.312148 hdop=1.25 fix_type=RTK_FIXED sats=16 age_corr=1.4s
[LOG 0040] GNSS fix acquired: lat=34.856747 lon=118.316492 hdop=1.27 fix_type=RTK_FIXED sats=15 age_corr=1.9s
[LOG 0041] GNSS fix acquired: lat=34.854418 lon=118.330217 hdop=1.16 fix_type=RTK_FIXED sats=13 age_corr=1.5s
[LOG 0042] GNSS fix acquired: lat=34.844241 lon=118.315244 hdop=0.95 fix_type=RTK_FIXED sats=15 age_corr=1.9s
[LOG 0043] GNSS fix acquired: lat=34.849997 lon=118.318578 hdop=1.17 fix_type=RTK_FIXED sats=22 age_corr=0.9s
[LOG 0044] GNSS fix acquired: lat=34.857725 lon=118.311888 hdop=1.0 fix_type=RTK_FIXED sats=22 age_corr=1.2s
[LOG 0045] GNSS fix acquired: lat=34.84815 lon=118.326102 hdop=0.82 fix_type=RTK_FIXED sats=15 age_corr=0.5s
[LOG 0046] GNSS fix acquired: lat=34.858853 lon=118.324902 hdop=1.26 fix_type=RTK_FIXED sats=17 age_corr=0.6s
[LOG 0047] GNSS fix acquired: lat=34.84448 lon=118.317954 hdop=1.11 fix_type=RTK_FIXED sats=19 age_corr=1.6s
[LOG 0048] GNSS fix acquired: lat=34.844256 lon=118.324145 hdop=1.19 fix_type=RTK_FIXED sats=14 age_corr=1.2s
[LOG 0049] GNSS fix acquired: lat=34.858976 lon=118.311802 hdop=1.32 fix_type=RTK_FIXED sats=12 age_corr=1.0s
[LOG 0050] GNSS fix acquired: lat=34.855904 lon=118.313458 hdop=1.24 fix_type=RTK_FIXED sats=20 age_corr=1.7s
[LOG 0051] GNSS fix acquired: lat=34.853949 lon=118.318384 hdop=1.0 fix_type=RTK_FIXED sats=19 age_corr=0.7s
[LOG 0052] GNSS fix acquired: lat=34.849138 lon=118.317625 hdop=1.22 fix_type=RTK_FIXED sats=14 age_corr=1.9s
[LOG 0053] GNSS fix acquired: lat=34.846086 lon=118.328473 hdop=0.81 fix_type=RTK_FIXED sats=12 age_corr=1.7s
[LOG 0054] GNSS fix acquired: lat=34.845036 lon=118.330798 hdop=0.82 fix_type=RTK_FIXED sats=13 age_corr=0.6s
[LOG 0055] GNSS fix acquired: lat=34.853715 lon=118.328351 hdop=1.14 fix_type=RTK_FIXED sats=12 age_corr=1.3s
[LOG 0056] GNSS fix acquired: lat=34.845747 lon=118.330233 hdop=0.94 fix_type=RTK_FIXED sats=16 age_corr=1.5s
[LOG 0057] GNSS fix acquired: lat=34.856391 lon=118.323902 hdop=1.18 fix_type=RTK_FIXED sats=22 age_corr=1.6s
[LOG 0058] GNSS fix acquired: lat=34.847656 lon=118.312461 hdop=1.21 fix_type=RTK_FIXED sats=21 age_corr=1.5s
[LOG 0059] GNSS fix acquired: lat=34.84589 lon=118.312338 hdop=0.95 fix_type=RTK_FIXED sats=15 age_corr=1.1s
[LOG 0060] GNSS fix acquired: lat=34.846717 lon=118.314679 hdop=0.99 fix_type=RTK_FIXED sats=22 age_corr=1.6s
[LOG 0061] GNSS fix acquired: lat=34.850961 lon=118.319488 hdop=1.24 fix_type=RTK_FIXED sats=21 age_corr=2.0s
[LOG 0062] GNSS fix acquired: lat=34.854706 lon=118.326912 hdop=1.0 fix_type=RTK_FIXED sats=19 age_corr=1.0s
[LOG 0063] GNSS fix acquired: lat=34.850799 lon=118.320379 hdop=0.94 fix_type=RTK_FIXED sats=20 age_corr=1.9s
[LOG 0064] GNSS fix acquired: lat=34.855718 lon=118.316363 hdop=1.1 fix_type=RTK_FIXED sats=18 age_corr=0.9s
[LOG 0065] GNSS fix acquired: lat=34.858825 lon=118.312137 hdop=1.04 fix_type=RTK_FIXED sats=13 age_corr=1.4s
[LOG 0066] GNSS fix acquired: lat=34.849485 lon=118.313601 hdop=1.07 fix_type=RTK_FIXED sats=19 age_corr=1.7s
[LOG 0067] GNSS fix acquired: lat=34.844535 lon=118.323749 hdop=1.34 fix_type=RTK_FIXED sats=22 age_corr=1.2s
[LOG 0068] GNSS fix acquired: lat=34.858292 lon=118.327478 hdop=0.84 fix_type=RTK_FIXED sats=21 age_corr=0.5s
[LOG 0069] GNSS fix acquired: lat=34.857702 lon=118.319892 hdop=1.26 fix_type=RTK_FIXED sats=20 age_corr=1.5s
[LOG 0070] GNSS fix acquired: lat=34.851659 lon=118.327569 hdop=0.91 fix_type=RTK_FIXED sats=19 age_corr=2.0s
[LOG 0071] GNSS fix acquired: lat=34.853056 lon=118.320323 hdop=1.2 fix_type=RTK_FIXED sats=18 age_corr=1.0s
[LOG 0072] GNSS fix acquired: lat=34.84424 lon=118.321081 hdop=1.4 fix_type=RTK_FIXED sats=14 age_corr=1.0s
[LOG 0073] GNSS fix acquired: lat=34.859283 lon=118.319215 hdop=0.81 fix_type=RTK_FIXED sats=14 age_corr=1.7s
[LOG 0074] GNSS fix acquired: lat=34.855259 lon=118.328443 hdop=0.89 fix_type=RTK_FIXED sats=18 age_corr=1.4s
[LOG 0075] GNSS fix acquired: lat=34.853168 lon=118.327229 hdop=1.0 fix_type=RTK_FIXED sats=22 age_corr=1.6s
[LOG 0076] GNSS fix acquired: lat=34.847031 lon=118.324874 hdop=1.26 fix_type=RTK_FIXED sats=16 age_corr=1.2s
[LOG 0077] GNSS fix acquired: lat=34.849448 lon=118.320832 hdop=0.94 fix_type=RTK_FIXED sats=21 age_corr=1.0s
[LOG 0078] GNSS fix acquired: lat=34.848974 lon=118.315892 hdop=1.48 fix_type=RTK_FIXED sats=15 age_corr=1.7s
[LOG 0079] GNSS fix acquired: lat=34.859105 lon=118.313301 hdop=1.44 fix_type=RTK_FIXED sats=21 age_corr=1.8s
[LOG 0080] GNSS fix acquired: lat=34.853282 lon=118.329591 hdop=1.0 fix_type=RTK_FIXED sats=16 age_corr=1.1s
[LOG 0081] GNSS fix acquired: lat=34.848166 lon=118.31893 hdop=0.94 fix_type=RTK_FIXED sats=22 age_corr=1.0s
[LOG 0082] GNSS fix acquired: lat=34.849669 lon=118.313605 hdop=1.32 fix_type=RTK_FIXED sats=19 age_corr=1.1s
[LOG 0083] GNSS fix acquired: lat=34.854428 lon=118.323923 hdop=1.23 fix_type=RTK_FIXED sats=12 age_corr=1.2s
[LOG 0084] GNSS fix acquired: lat=34.847437 lon=118.313196 hdop=1.46 fix_type=RTK_FIXED sats=17 age_corr=1.2s
[LOG 0085] GNSS fix acquired: lat=34.84711 lon=118.31382 hdop=1.07 fix_type=RTK_FIXED sats=22 age_corr=1.7s
[LOG 0086] GNSS fix acquired: lat=34.855114 lon=118.314395 hdop=1.05 fix_type=RTK_FIXED sats=19 age_corr=1.1s
[LOG 0087] GNSS fix acquired: lat=34.846626 lon=118.322837 hdop=0.86 fix_type=RTK_FIXED sats=13 age_corr=1.7s
[LOG 0088] GNSS fix acquired: lat=34.851009 lon=118.320779 hdop=1.15 fix_type=RTK_FIXED sats=18 age_corr=0.7s
[LOG 0089] GNSS fix acquired: lat=34.850635 lon=118.319408 hdop=1.46 fix_type=RTK_FIXED sats=19 age_corr=1.1s
[LOG 0090] GNSS fix acquired: lat=34.852 lon=118.313679 hdop=1.38 fix_type=RTK_FIXED sats=18 age_corr=1.1s
[LOG 0091] GNSS fix acquired: lat=34.847247 lon=118.31845 hdop=1.34 fix_type=RTK_FIXED sats=13 age_corr=0.8s
[LOG 0092] GNSS fix acquired: lat=34.858021 lon=118.313464 hdop=0.96 fix_type=RTK_FIXED sats=17 age_corr=1.8s
[LOG 0093] GNSS fix acquired: lat=34.855603 lon=118.317743 hdop=0.8 fix_type=RTK_FIXED sats=19 age_corr=0.9s
[LOG 0094] GNSS fix acquired: lat=34.857909 lon=118.327891 hdop=1.38 fix_type=RTK_FIXED sats=21 age_corr=0.6s
[LOG 0095] GNSS fix acquired: lat=34.849183 lon=118.318739 hdop=0.92 fix_type=RTK_FIXED sats=21 age_corr=0.7s
