hostname,ip,env,os_version,ssh_version_before,ssh_version_after,patch_date,patch_method,patch_package,patch_status,applied_by,ticket_id,notes
host-p0016.internal.example.com,10.13.2.212,prod,Debian 12,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-06T00:46:00Z,dnf_update,openssh-8.0p1-19.el8_10.1,patched,bob.zhang,SEC-2024-1015,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0017.internal.example.com,10.13.152.121,prod,RHEL 8.10,OpenSSH_9.3p2,OpenSSH_9.8p1,2024-07-10T14:59:00Z,dnf_update,openssh-9.8p1,patched,alice.wang,SEC-2024-1016,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0018.internal.example.com,10.68.77.186,prod,RHEL 8.10,OpenSSH_8.7p1,OpenSSH_8.7p1,2024-07-04T13:54:00Z,automated_cron,N/A,failed,ansible-automation,SEC-2024-1017,CVE-2024-6387 remediation — pending patch
host-p0019.internal.example.com,10.76.130.56,prod,RHEL 9.4,OpenSSH_9.3p2,OpenSSH_9.3p2,2024-07-08T18:28:00Z,dnf_update,N/A,pending,sre-user,SEC-2024-1018,CVE-2024-6387 remediation — pending patch
host-p0020.internal.example.com,10.58.121.37,prod,Ubuntu 22.04.4,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-08T23:43:00Z,ansible_playbook,openssh-8.0p1-19.el8_10.1,patched,alice.wang,SEC-2024-1019,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0021.internal.example.com,10.28.23.52,prod,RHEL 8.10,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-06T22:48:00Z,ansible_playbook,openssh-8.0p1-19.el8_10.1,patched,sre-user,SEC-2024-1020,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0022.internal.example.com,10.13.74.47,prod,Ubuntu 22.04.4,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-09T21:27:00Z,automated_cron,openssh-9.8p1,patched,bob.zhang,SEC-2024-1021,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0023.internal.example.com,10.22.103.93,prod,Debian 12,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-04T23:13:00Z,dnf_update,openssh-9.8p1,patched,ansible-automation,SEC-2024-1022,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0024.internal.example.com,10.52.167.37,prod,RHEL 8.10,OpenSSH_8.9p1,OpenSSH_8.9p1,2024-07-05T04:55:00Z,ansible_playbook,N/A,pending,sre-user,SEC-2024-1023,CVE-2024-6387 remediation — pending patch
host-p0025.internal.example.com,10.52.94.69,prod,RHEL 9.4,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-10T17:23:00Z,dnf_update,openssh-8.9p1-3ubuntu0.7,patched,ansible-automation,SEC-2024-1024,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0026.internal.example.com,10.49.78.16,prod,Debian 12,OpenSSH_9.3p2,OpenSSH_9.8p1,2024-07-07T08:46:00Z,automated_cron,openssh-8.7p1-38.el9_4.1,patched,sre-user,SEC-2024-1025,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0027.internal.example.com,10.22.237.163,prod,Debian 12,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-10T08:39:00Z,automated_cron,openssh-8.7p1-38.el9_4.1,patched,bob.zhang,SEC-2024-1026,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0028.internal.example.com,10.15.52.53,prod,Ubuntu 22.04.4,OpenSSH_8.7p1,OpenSSH_8.7p1,2024-07-09T22:25:00Z,manual,N/A,failed,sre-user,SEC-2024-1027,CVE-2024-6387 remediation — pending patch
host-p0029.internal.example.com,10.28.150.203,prod,Ubuntu 22.04.4,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-07T22:42:00Z,dnf_update,openssh-8.9p1-3ubuntu0.7,patched,sre-user,SEC-2024-1028,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0030.internal.example.com,10.5.222.171,prod,Debian 12,OpenSSH_9.3p2,OpenSSH_9.3p2,2024-07-04T20:07:00Z,automated_cron,N/A,pending,bob.zhang,SEC-2024-1029,CVE-2024-6387 remediation — pending patch
host-p0031.internal.example.com,10.63.220.202,prod,Debian 12,OpenSSH_8.9p1,OpenSSH_8.9p1,2024-07-08T17:22:00Z,dnf_update,N/A,pending,ansible-automation,SEC-2024-1030,CVE-2024-6387 remediation — pending patch
host-p0032.internal.example.com,10.56.137.38,prod,Debian 12,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-09T18:53:00Z,manual,openssh-9.8p1,patched,sre-user,SEC-2024-1031,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0033.internal.example.com,10.39.23.174,prod,Debian 12,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-09T01:28:00Z,manual,openssh-8.7p1-38.el9_4.1,patched,sre-user,SEC-2024-1032,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0034.internal.example.com,10.17.226.41,prod,Debian 12,OpenSSH_9.3p2,OpenSSH_9.3p2,2024-07-04T19:27:00Z,manual,N/A,failed,bob.zhang,SEC-2024-1033,CVE-2024-6387 remediation — pending patch
host-p0035.internal.example.com,10.15.129.78,prod,RHEL 8.10,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-08T06:13:00Z,ansible_playbook,openssh-9.8p1,patched,alice.wang,SEC-2024-1034,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0036.internal.example.com,10.13.122.190,prod,Debian 12,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-06T00:58:00Z,dnf_update,openssh-8.0p1-19.el8_10.1,patched,ansible-automation,SEC-2024-1035,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0037.internal.example.com,10.54.234.120,prod,RHEL 9.4,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-08T20:20:00Z,dnf_update,openssh-8.0p1-19.el8_10.1,patched,bob.zhang,SEC-2024-1036,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0038.internal.example.com,10.13.115.172,prod,RHEL 9.4,OpenSSH_9.3p2,OpenSSH_9.3p2,2024-07-07T03:29:00Z,manual,N/A,failed,sre-user,SEC-2024-1037,CVE-2024-6387 remediation — pending patch
host-p0039.internal.example.com,10.13.61.128,prod,Ubuntu 22.04.4,OpenSSH_9.3p2,OpenSSH_9.8p1,2024-07-03T12:26:00Z,manual,openssh-8.0p1-19.el8_10.1,patched,alice.wang,SEC-2024-1038,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-p0040.internal.example.com,10.53.134.153,prod,RHEL 9.4,OpenSSH_8.7p1,OpenSSH_8.7p1,2024-07-08T06:53:00Z,ansible_playbook,N/A,failed,sre-user,SEC-2024-1039,CVE-2024-6387 remediation — pending patch
host-s0041.internal.example.com,10.80.80.120,staging,Debian 12,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-05T20:26:00Z,dnf_update,openssh-8.9p1-3ubuntu0.7,patched,ansible-automation,SEC-2024-1040,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-s0042.internal.example.com,10.3.44.74,staging,RHEL 9.4,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-07T02:28:00Z,manual,openssh-8.0p1-19.el8_10.1,patched,alice.wang,SEC-2024-1041,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-s0043.internal.example.com,10.41.192.100,staging,RHEL 8.10,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-06T05:54:00Z,dnf_update,openssh-8.7p1-38.el9_4.1,patched,ansible-automation,SEC-2024-1042,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-s0044.internal.example.com,10.41.104.152,staging,RHEL 9.4,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-05T09:40:00Z,dnf_update,openssh-8.9p1-3ubuntu0.7,patched,bob.zhang,SEC-2024-1043,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-s0045.internal.example.com,10.69.225.222,staging,Debian 12,OpenSSH_8.7p1,OpenSSH_8.7p1,2024-07-07T13:59:00Z,automated_cron,N/A,failed,alice.wang,SEC-2024-1044,CVE-2024-6387 remediation — pending patch
host-s0046.internal.example.com,10.45.66.58,staging,Debian 12,OpenSSH_8.9p1,OpenSSH_8.9p1,2024-07-06T18:16:00Z,automated_cron,N/A,pending,bob.zhang,SEC-2024-1045,CVE-2024-6387 remediation — pending patch
host-s0047.internal.example.com,10.54.127.166,staging,RHEL 8.10,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-10T17:10:00Z,dnf_update,openssh-8.0p1-19.el8_10.1,patched,alice.wang,SEC-2024-1046,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-s0048.internal.example.com,10.56.62.113,staging,RHEL 9.4,OpenSSH_9.3p2,OpenSSH_9.8p1,2024-07-07T22:38:00Z,ansible_playbook,openssh-8.0p1-19.el8_10.1,patched,alice.wang,SEC-2024-1047,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-s0049.internal.example.com,10.75.101.196,staging,Debian 12,OpenSSH_8.9p1,OpenSSH_8.9p1,2024-07-03T05:11:00Z,ansible_playbook,N/A,pending,alice.wang,SEC-2024-1048,CVE-2024-6387 remediation — pending patch
host-s0050.internal.example.com,10.8.126.91,staging,RHEL 9.4,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-10T23:51:00Z,automated_cron,openssh-9.8p1,patched,sre-user,SEC-2024-1049,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-s0051.internal.example.com,10.32.87.156,staging,RHEL 8.10,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-09T02:35:00Z,dnf_update,openssh-9.8p1,patched,ansible-automation,SEC-2024-1050,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-s0052.internal.example.com,10.52.90.72,staging,RHEL 8.10,OpenSSH_9.3p2,OpenSSH_9.8p1,2024-07-03T13:09:00Z,dnf_update,openssh-8.7p1-38.el9_4.1,patched,sre-user,SEC-2024-1051,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-s0053.internal.example.com,10.41.188.153,staging,RHEL 8.10,OpenSSH_8.9p1,OpenSSH_8.9p1,2024-07-03T10:58:00Z,automated_cron,N/A,pending,sre-user,SEC-2024-1052,CVE-2024-6387 remediation — pending patch
host-s0054.internal.example.com,10.22.180.29,staging,RHEL 8.10,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-10T15:24:00Z,manual,openssh-8.0p1-19.el8_10.1,patched,bob.zhang,SEC-2024-1053,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-s0055.internal.example.com,10.22.225.167,staging,Ubuntu 22.04.4,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-03T06:46:00Z,ansible_playbook,openssh-8.0p1-19.el8_10.1,patched,ansible-automation,SEC-2024-1054,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-s0056.internal.example.com,10.69.193.246,staging,Ubuntu 22.04.4,OpenSSH_8.7p1,OpenSSH_8.7p1,2024-07-09T23:04:00Z,manual,N/A,failed,bob.zhang,SEC-2024-1055,CVE-2024-6387 remediation — pending patch
host-s0057.internal.example.com,10.16.28.166,staging,Debian 12,OpenSSH_8.7p1,OpenSSH_8.7p1,2024-07-05T00:12:00Z,ansible_playbook,N/A,pending,alice.wang,SEC-2024-1056,CVE-2024-6387 remediation — pending patch
host-s0058.internal.example.com,10.79.105.188,staging,Debian 12,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-04T01:31:00Z,dnf_update,openssh-9.8p1,patched,bob.zhang,SEC-2024-1057,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-s0059.internal.example.com,10.74.73.65,staging,Ubuntu 22.04.4,OpenSSH_8.9p1,OpenSSH_8.9p1,2024-07-08T13:04:00Z,ansible_playbook,N/A,failed,alice.wang,SEC-2024-1058,CVE-2024-6387 remediation — pending patch
host-s0060.internal.example.com,10.55.48.219,staging,RHEL 9.4,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-05T23:16:00Z,dnf_update,openssh-8.7p1-38.el9_4.1,patched,bob.zhang,SEC-2024-1059,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-s0061.internal.example.com,10.3.119.68,staging,RHEL 8.10,OpenSSH_9.3p2,OpenSSH_9.3p2,2024-07-08T11:29:00Z,automated_cron,N/A,pending,sre-user,SEC-2024-1060,CVE-2024-6387 remediation — pending patch
host-s0062.internal.example.com,10.32.157.244,staging,RHEL 9.4,OpenSSH_8.7p1,OpenSSH_8.7p1,2024-07-04T03:53:00Z,dnf_update,N/A,failed,bob.zhang,SEC-2024-1061,CVE-2024-6387 remediation — pending patch
host-s0063.internal.example.com,10.58.243.159,staging,Debian 12,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-05T13:08:00Z,manual,openssh-8.7p1-38.el9_4.1,patched,sre-user,SEC-2024-1062,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-s0064.internal.example.com,10.77.131.152,staging,Debian 12,OpenSSH_9.3p2,OpenSSH_9.8p1,2024-07-09T15:45:00Z,ansible_playbook,openssh-8.9p1-3ubuntu0.7,patched,ansible-automation,SEC-2024-1063,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-s0065.internal.example.com,10.14.213.42,staging,RHEL 9.4,OpenSSH_9.3p2,OpenSSH_9.3p2,2024-07-05T01:02:00Z,dnf_update,N/A,pending,ansible-automation,SEC-2024-1064,CVE-2024-6387 remediation — pending patch
host-d0066.internal.example.com,10.69.165.106,dev,Ubuntu 22.04.4,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-10T05:35:00Z,manual,openssh-8.9p1-3ubuntu0.7,patched,sre-user,SEC-2024-1065,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0067.internal.example.com,10.54.33.212,dev,Debian 12,OpenSSH_9.3p2,OpenSSH_9.3p2,2024-07-07T19:14:00Z,automated_cron,N/A,failed,bob.zhang,SEC-2024-1066,CVE-2024-6387 remediation — pending patch
host-d0068.internal.example.com,10.54.5.85,dev,Debian 12,OpenSSH_9.3p2,OpenSSH_9.8p1,2024-07-08T18:38:00Z,manual,openssh-9.8p1,patched,bob.zhang,SEC-2024-1067,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0069.internal.example.com,10.3.173.41,dev,Ubuntu 22.04.4,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-08T12:08:00Z,automated_cron,openssh-8.9p1-3ubuntu0.7,patched,ansible-automation,SEC-2024-1068,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0070.internal.example.com,10.15.27.140,dev,Debian 12,OpenSSH_9.3p2,OpenSSH_9.8p1,2024-07-10T06:57:00Z,ansible_playbook,openssh-8.9p1-3ubuntu0.7,patched,bob.zhang,SEC-2024-1069,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0071.internal.example.com,10.42.68.198,dev,RHEL 8.10,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-07T23:01:00Z,manual,openssh-8.0p1-19.el8_10.1,patched,sre-user,SEC-2024-1070,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0072.internal.example.com,10.70.213.189,dev,Debian 12,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-09T23:09:00Z,dnf_update,openssh-8.0p1-19.el8_10.1,patched,ansible-automation,SEC-2024-1071,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0073.internal.example.com,10.60.67.93,dev,RHEL 9.4,OpenSSH_9.3p2,OpenSSH_9.8p1,2024-07-08T18:14:00Z,manual,openssh-9.8p1,patched,sre-user,SEC-2024-1072,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0074.internal.example.com,10.34.133.83,dev,Ubuntu 22.04.4,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-07T19:39:00Z,automated_cron,openssh-8.9p1-3ubuntu0.7,patched,sre-user,SEC-2024-1073,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0075.internal.example.com,10.30.126.83,dev,RHEL 8.10,OpenSSH_8.7p1,OpenSSH_8.7p1,2024-07-08T09:49:00Z,ansible_playbook,N/A,pending,bob.zhang,SEC-2024-1074,CVE-2024-6387 remediation — pending patch
host-d0076.internal.example.com,10.21.202.242,dev,RHEL 8.10,OpenSSH_9.3p2,OpenSSH_9.8p1,2024-07-09T05:16:00Z,manual,openssh-8.9p1-3ubuntu0.7,patched,sre-user,SEC-2024-1075,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0077.internal.example.com,10.27.29.181,dev,Ubuntu 22.04.4,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-09T10:29:00Z,dnf_update,openssh-8.9p1-3ubuntu0.7,patched,alice.wang,SEC-2024-1076,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0078.internal.example.com,10.66.75.190,dev,RHEL 8.10,OpenSSH_8.7p1,OpenSSH_8.7p1,2024-07-07T16:30:00Z,dnf_update,N/A,failed,bob.zhang,SEC-2024-1077,CVE-2024-6387 remediation — pending patch
host-d0079.internal.example.com,10.78.254.28,dev,Debian 12,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-06T18:01:00Z,dnf_update,openssh-8.0p1-19.el8_10.1,patched,sre-user,SEC-2024-1078,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0080.internal.example.com,10.56.119.16,dev,RHEL 8.10,OpenSSH_9.3p2,OpenSSH_9.8p1,2024-07-09T12:44:00Z,dnf_update,openssh-8.7p1-38.el9_4.1,patched,sre-user,SEC-2024-1079,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0081.internal.example.com,10.77.18.233,dev,Ubuntu 22.04.4,OpenSSH_8.9p1,OpenSSH_8.9p1,2024-07-05T15:21:00Z,dnf_update,N/A,pending,ansible-automation,SEC-2024-1080,CVE-2024-6387 remediation — pending patch
host-d0082.internal.example.com,10.3.169.78,dev,RHEL 8.10,OpenSSH_8.9p1,OpenSSH_8.9p1,2024-07-04T01:48:00Z,manual,N/A,pending,bob.zhang,SEC-2024-1081,CVE-2024-6387 remediation — pending patch
host-d0083.internal.example.com,10.31.219.181,dev,RHEL 8.10,OpenSSH_8.7p1,OpenSSH_8.7p1,2024-07-10T03:18:00Z,automated_cron,N/A,pending,bob.zhang,SEC-2024-1082,CVE-2024-6387 remediation — pending patch
host-d0084.internal.example.com,10.46.204.35,dev,Ubuntu 22.04.4,OpenSSH_9.3p2,OpenSSH_9.8p1,2024-07-09T18:28:00Z,dnf_update,openssh-8.7p1-38.el9_4.1,patched,alice.wang,SEC-2024-1083,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0085.internal.example.com,10.30.13.57,dev,RHEL 9.4,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-03T07:03:00Z,dnf_update,openssh-8.7p1-38.el9_4.1,patched,sre-user,SEC-2024-1084,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0086.internal.example.com,10.23.226.47,dev,RHEL 8.10,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-10T00:38:00Z,automated_cron,openssh-9.8p1,patched,ansible-automation,SEC-2024-1085,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0087.internal.example.com,10.42.132.213,dev,RHEL 8.10,OpenSSH_9.3p2,OpenSSH_9.8p1,2024-07-09T14:12:00Z,manual,openssh-8.0p1-19.el8_10.1,patched,sre-user,SEC-2024-1086,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0088.internal.example.com,10.38.148.67,dev,RHEL 8.10,OpenSSH_9.3p2,OpenSSH_9.3p2,2024-07-04T21:25:00Z,dnf_update,N/A,failed,sre-user,SEC-2024-1087,CVE-2024-6387 remediation — pending patch
host-d0089.internal.example.com,10.64.74.210,dev,RHEL 8.10,OpenSSH_8.7p1,OpenSSH_8.7p1,2024-07-08T13:01:00Z,manual,N/A,pending,bob.zhang,SEC-2024-1088,CVE-2024-6387 remediation — pending patch
host-d0090.internal.example.com,10.5.241.46,dev,RHEL 9.4,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-10T05:55:00Z,dnf_update,openssh-9.8p1,patched,sre-user,SEC-2024-1089,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0091.internal.example.com,10.66.95.79,dev,Ubuntu 22.04.4,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-03T19:02:00Z,manual,openssh-8.7p1-38.el9_4.1,patched,alice.wang,SEC-2024-1090,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0092.internal.example.com,10.59.59.49,dev,RHEL 9.4,OpenSSH_9.3p2,OpenSSH_9.3p2,2024-07-03T12:04:00Z,dnf_update,N/A,pending,sre-user,SEC-2024-1091,CVE-2024-6387 remediation — pending patch
host-d0093.internal.example.com,10.69.127.67,dev,Ubuntu 22.04.4,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-04T01:11:00Z,manual,openssh-9.8p1,patched,ansible-automation,SEC-2024-1092,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0094.internal.example.com,10.2.6.34,dev,RHEL 8.10,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-06T13:58:00Z,manual,openssh-8.9p1-3ubuntu0.7,patched,ansible-automation,SEC-2024-1093,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0095.internal.example.com,10.77.131.116,dev,Ubuntu 22.04.4,OpenSSH_9.3p2,OpenSSH_9.8p1,2024-07-09T14:13:00Z,manual,openssh-9.8p1,patched,sre-user,SEC-2024-1094,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0096.internal.example.com,10.20.70.71,dev,Debian 12,OpenSSH_8.7p1,OpenSSH_8.7p1,2024-07-08T01:13:00Z,automated_cron,N/A,failed,alice.wang,SEC-2024-1095,CVE-2024-6387 remediation — pending patch
host-d0097.internal.example.com,10.27.59.27,dev,Ubuntu 22.04.4,OpenSSH_8.9p1,OpenSSH_9.8p1,2024-07-10T12:15:00Z,manual,openssh-8.0p1-19.el8_10.1,patched,ansible-automation,SEC-2024-1096,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0098.internal.example.com,10.50.164.148,dev,RHEL 8.10,OpenSSH_8.7p1,OpenSSH_9.8p1,2024-07-05T04:53:00Z,ansible_playbook,openssh-8.0p1-19.el8_10.1,patched,ansible-automation,SEC-2024-1097,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
host-d0099.internal.example.com,10.74.53.63,dev,Debian 12,OpenSSH_9.3p2,OpenSSH_9.3p2,2024-07-04T16:12:00Z,manual,N/A,pending,ansible-automation,SEC-2024-1098,CVE-2024-6387 remediation — pending patch
host-d0100.internal.example.com,10.54.5.9,dev,RHEL 9.4,OpenSSH_9.3p2,OpenSSH_9.8p1,2024-07-03T04:48:00Z,ansible_playbook,openssh-8.7p1-38.el9_4.1,patched,ansible-automation,SEC-2024-1099,CVE-2024-6387 remediation — MaxStartups 10:30:100 applied
