return_id,order_id,request_date,resolution_date,type,amount_usd,reason,approved_by,status
RET-92221,NW-2026-03-B154,2026-02-14,2026-03-24,replacement,188.22,wrong_item,agent_002,pending
RET-13015,NW-2026-04-G691,2026-02-14,2026-04-20,store_credit,208.15,wrong_item,supervisor_01,denied
RET-15338,NW-2026-03-E569,2026-03-05,2026-03-05,repair,78.89,not_as_described,agent_001,pending
RET-86324,NW-2026-02-B551,2026-03-09,2026-02-19,refund,366.31,never_received,agent_002,escalated
RET-49160,NW-2026-03-B905,2026-04-19,2026-04-14,refund,112.06,wrong_item,agent_003,approved
RET-10709,NW-2026-04-A165,2026-04-02,2026-02-22,repair,116.45,never_received,agent_003,denied
RET-49558,NW-2026-04-F377,2026-02-26,2026-02-04,refund,394.16,wrong_item,agent_002,denied
RET-99035,NW-2026-04-K515,2026-02-15,2026-04-09,replacement,64.32,wrong_item,agent_002,approved
RET-46105,NW-2026-03-G504,2026-04-16,2026-03-22,refund,257.47,not_as_described,agent_003,approved
RET-58414,NW-2026-03-G467,2026-02-16,2026-03-09,replacement,136.13,damaged,supervisor_01,escalated
RET-69420,NW-2026-03-B439,2026-02-02,2026-03-09,repair,136.75,not_as_described,supervisor_01,denied
RET-36108,NW-2026-03-G514,2026-02-13,2026-02-10,store_credit,369.83,damaged,supervisor_01,approved
RET-33188,NW-2026-03-E189,2026-02-26,2026-03-28,repair,396.11,never_received,agent_002,denied
RET-78493,NW-2026-04-B523,2026-03-01,2026-02-04,store_credit,310.37,never_received,agent_003,denied
RET-16393,NW-2026-02-H887,2026-04-03,2026-04-19,repair,125.02,damaged,supervisor_01,denied
RET-67010,NW-2026-04-F796,2026-04-22,2026-03-28,refund,119.97,never_received,agent_003,denied
RET-22133,NW-2026-02-J914,2026-02-27,2026-02-08,store_credit,319.77,never_received,agent_001,denied
RET-38372,NW-2026-04-G224,2026-04-11,2026-03-10,store_credit,137.29,wrong_item,supervisor_01,escalated
RET-24240,NW-2026-04-D866,2026-04-06,2026-02-08,store_credit,48.79,wrong_item,agent_002,denied
RET-46435,NW-2026-02-K514,2026-04-03,2026-02-06,replacement,102.41,damaged,agent_003,escalated
RET-35906,NW-2026-03-H355,2026-02-11,2026-04-07,store_credit,66.97,unauthorized,agent_002,approved
RET-79073,NW-2026-03-B302,2026-02-15,2026-03-03,repair,346.63,unauthorized,supervisor_01,escalated
RET-26123,NW-2026-04-I597,2026-03-01,2026-02-17,store_credit,169.13,damaged,agent_001,escalated
RET-56550,NW-2026-04-G472,2026-02-17,2026-02-16,repair,287.13,not_as_described,agent_003,approved
RET-37841,NW-2026-04-C388,2026-04-16,2026-04-26,refund,152.39,unauthorized,agent_002,pending
RET-13020,NW-2026-04-F692,2026-03-26,2026-02-28,replacement,169.66,wrong_item,agent_001,escalated
RET-82635,NW-2026-04-D625,2026-03-07,2026-04-20,store_credit,269.18,not_as_described,agent_002,escalated
RET-88855,NW-2026-04-H393,2026-04-07,2026-02-17,refund,330.03,not_as_described,agent_001,approved
RET-66934,NW-2026-02-A992,2026-04-14,2026-04-23,repair,264.63,damaged,agent_003,escalated
RET-67121,NW-2026-03-F799,2026-02-12,2026-03-24,refund,331.07,not_as_described,agent_002,escalated
RET-23988,NW-2026-02-D638,2026-03-22,2026-04-24,repair,326.81,not_as_described,agent_001,denied
RET-77208,NW-2026-03-G739,2026-04-12,2026-02-01,store_credit,151.58,damaged,agent_003,denied
RET-11893,NW-2026-04-G783,2026-02-20,2026-03-21,store_credit,313.31,unauthorized,agent_001,escalated
RET-33278,NW-2026-03-J209,2026-04-06,2026-02-05,repair,305.90,unauthorized,agent_002,approved
RET-89738,NW-2026-03-B406,2026-04-14,2026-03-09,store_credit,375.77,never_received,agent_002,escalated
RET-13092,NW-2026-02-K837,2026-02-21,2026-04-23,repair,49.21,unauthorized,supervisor_01,approved
RET-59117,NW-2026-03-I543,2026-03-10,2026-03-03,repair,96.98,wrong_item,supervisor_01,escalated
RET-70665,NW-2026-02-I150,2026-02-03,2026-02-27,store_credit,114.78,never_received,agent_001,denied
RET-59316,NW-2026-04-C921,2026-04-09,2026-04-04,replacement,87.99,not_as_described,agent_002,denied
RET-24337,NW-2026-03-K697,2026-02-17,2026-03-17,store_credit,325.29,unauthorized,agent_001,denied
RET-48810,NW-2026-04-G647,2026-02-13,2026-04-24,replacement,371.35,wrong_item,agent_003,approved
RET-36811,NW-2026-04-C611,2026-03-27,2026-02-27,repair,156.27,damaged,supervisor_01,denied
RET-89554,NW-2026-03-D980,2026-04-17,2026-04-07,replacement,392.22,not_as_described,agent_002,approved
RET-90244,NW-2026-03-J184,2026-04-22,2026-04-22,repair,249.83,not_as_described,agent_002,denied
RET-80331,NW-2026-02-K931,2026-04-02,2026-02-15,refund,277.42,not_as_described,agent_002,approved
RET-71781,NW-2026-02-F443,2026-02-10,2026-04-11,store_credit,127.39,unauthorized,agent_002,escalated
RET-32787,NW-2026-04-I572,2026-03-15,2026-02-15,refund,196.64,never_received,agent_002,pending
RET-22343,NW-2026-03-I512,2026-03-21,2026-04-24,store_credit,88.15,wrong_item,supervisor_01,escalated
RET-13473,NW-2026-04-E146,2026-02-16,2026-03-13,repair,332.26,not_as_described,supervisor_01,denied
RET-10073,NW-2026-02-J615,2026-02-07,2026-02-02,refund,145.63,wrong_item,agent_001,pending
RET-87775,NW-2026-03-H418,2026-04-20,2026-03-24,replacement,261.02,damaged,agent_002,approved
RET-29950,NW-2026-02-D530,2026-04-09,2026-04-04,replacement,276.08,not_as_described,agent_001,denied
RET-22438,NW-2026-03-F293,2026-03-17,2026-03-20,repair,256.91,unauthorized,agent_002,pending
RET-49693,NW-2026-02-C772,2026-02-26,2026-02-24,store_credit,390.86,never_received,agent_002,pending
RET-88959,NW-2026-03-D448,2026-03-19,2026-02-17,replacement,347.72,damaged,agent_001,approved
RET-54470,NW-2026-02-G720,2026-02-04,2026-02-08,refund,296.28,unauthorized,supervisor_01,pending
RET-75985,NW-2026-02-I115,2026-02-18,2026-02-19,store_credit,344.33,wrong_item,agent_001,denied
RET-70998,NW-2026-02-A160,2026-03-25,2026-02-20,repair,364.71,unauthorized,agent_001,approved
RET-92677,NW-2026-02-D464,2026-04-28,2026-02-11,store_credit,87.82,not_as_described,agent_001,pending
RET-80412,NW-2026-04-D292,2026-04-07,2026-02-24,replacement,314.92,wrong_item,agent_001,pending
RET-77995,NW-2026-02-D351,2026-03-13,2026-03-08,repair,148.35,unauthorized,agent_002,pending
RET-48565,NW-2026-04-B285,2026-04-27,2026-02-22,store_credit,194.67,wrong_item,supervisor_01,approved
RET-75178,NW-2026-03-A717,2026-04-19,2026-03-21,repair,238.26,never_received,agent_002,approved
RET-49343,NW-2026-02-C309,2026-03-04,2026-03-18,repair,298.93,damaged,agent_003,escalated
RET-54890,NW-2026-04-B209,2026-04-01,2026-02-22,repair,296.26,never_received,agent_003,denied
RET-46092,NW-2026-02-C556,2026-04-11,2026-04-02,store_credit,41.18,unauthorized,agent_001,escalated
RET-58891,NW-2026-04-K998,2026-02-10,2026-04-01,store_credit,375.30,unauthorized,agent_001,pending
RET-44072,NW-2026-02-G617,2026-02-27,2026-03-13,replacement,326.70,wrong_item,agent_002,pending
RET-78361,NW-2026-03-I234,2026-03-09,2026-04-23,replacement,318.31,unauthorized,agent_002,approved
RET-87496,NW-2026-03-B837,2026-04-08,2026-03-23,refund,330.33,wrong_item,agent_002,pending
RET-81953,NW-2026-04-D884,2026-04-28,2026-02-17,refund,190.85,not_as_described,agent_001,pending
RET-56259,NW-2026-03-I886,2026-03-11,2026-03-17,refund,110.59,wrong_item,agent_001,escalated
RET-32946,NW-2026-04-A196,2026-04-27,2026-03-13,store_credit,120.69,never_received,supervisor_01,pending
RET-12550,NW-2026-02-D600,2026-04-11,2026-04-21,replacement,206.99,unauthorized,supervisor_01,denied
RET-67163,NW-2026-02-A956,2026-04-09,2026-04-17,replacement,201.60,never_received,agent_003,denied
RET-29276,NW-2026-04-J355,2026-04-09,2026-04-08,replacement,330.89,wrong_item,supervisor_01,approved
RET-57190,NW-2026-02-D724,2026-04-16,2026-03-11,refund,35.68,unauthorized,agent_003,escalated
RET-39302,NW-2026-03-J122,2026-04-24,2026-04-22,store_credit,136.60,wrong_item,supervisor_01,approved
RET-27123,NW-2026-02-K222,2026-03-14,2026-03-07,repair,290.87,unauthorized,agent_001,escalated
RET-27134,NW-2026-03-C102,2026-04-10,2026-02-04,repair,215.33,never_received,agent_002,pending
RET-28775,NW-2026-04-K747,2026-04-22,2026-04-03,refund,112.44,damaged,agent_001,approved
RET-15375,NW-2026-02-E509,2026-03-27,2026-02-16,replacement,361.70,damaged,agent_003,pending
RET-81373,NW-2026-02-D972,2026-03-25,2026-02-23,repair,169.19,damaged,agent_003,denied
RET-88681,NW-2026-02-H290,2026-02-14,2026-02-17,store_credit,214.97,damaged,agent_002,denied
RET-44893,NW-2026-04-A900,2026-03-16,2026-02-13,repair,129.99,damaged,agent_002,escalated
RET-86262,NW-2026-04-D411,2026-03-23,2026-04-15,store_credit,281.32,unauthorized,agent_003,approved
RET-71508,NW-2026-04-D212,2026-03-04,2026-02-13,refund,139.41,never_received,agent_003,pending
RET-76505,NW-2026-02-A238,2026-02-14,2026-03-12,store_credit,246.67,never_received,agent_001,escalated
RET-39049,NW-2026-02-I725,2026-02-18,2026-04-02,refund,130.73,wrong_item,agent_002,escalated
RET-16829,NW-2026-03-C533,2026-03-09,2026-03-01,refund,211.20,never_received,supervisor_01,pending
RET-89888,NW-2026-02-I430,2026-03-10,2026-03-09,repair,39.94,wrong_item,agent_002,denied
RET-89758,NW-2026-03-G381,2026-04-05,2026-02-20,store_credit,149.45,wrong_item,agent_003,approved
RET-42433,NW-2026-02-E783,2026-02-08,2026-02-28,refund,344.51,damaged,agent_001,approved
RET-99889,NW-2026-04-K669,2026-04-14,2026-04-02,store_credit,286.96,unauthorized,agent_003,escalated
RET-45455,NW-2026-02-F466,2026-04-02,2026-02-28,store_credit,373.48,not_as_described,agent_002,pending
RET-49228,NW-2026-04-C967,2026-02-14,2026-02-19,store_credit,386.00,unauthorized,agent_001,approved
RET-17806,NW-2026-02-J516,2026-04-03,2026-04-15,store_credit,76.89,unauthorized,supervisor_01,approved
RET-36402,NW-2026-04-E495,2026-02-22,2026-03-26,store_credit,142.69,never_received,agent_001,escalated
RET-96511,NW-2026-04-H255,2026-03-04,2026-04-14,refund,278.96,never_received,agent_001,denied
RET-23668,NW-2026-04-H993,2026-04-05,2026-02-04,store_credit,185.27,never_received,agent_003,escalated
RET-71397,NW-2026-02-E998,2026-03-03,2026-02-02,replacement,104.50,wrong_item,agent_002,escalated
RET-69259,NW-2026-03-E655,2026-04-11,2026-02-20,store_credit,141.45,unauthorized,supervisor_01,escalated
RET-13693,NW-2026-04-B271,2026-03-03,2026-04-10,repair,180.76,wrong_item,agent_003,escalated
RET-23623,NW-2026-02-B658,2026-04-06,2026-04-07,repair,54.57,never_received,agent_001,denied
RET-82799,NW-2026-03-C119,2026-04-13,2026-04-28,store_credit,68.80,damaged,agent_002,approved
RET-98958,NW-2026-02-J807,2026-04-06,2026-02-02,refund,342.19,not_as_described,agent_002,pending
RET-42882,NW-2026-02-I522,2026-04-19,2026-02-02,refund,327.60,damaged,agent_003,approved
RET-35940,NW-2026-02-F521,2026-02-13,2026-04-08,repair,350.30,not_as_described,agent_001,escalated
RET-87151,NW-2026-03-H142,2026-02-07,2026-02-06,replacement,225.39,not_as_described,agent_003,pending
RET-50098,NW-2026-03-F940,2026-04-12,2026-02-09,store_credit,336.29,not_as_described,supervisor_01,pending
RET-56207,NW-2026-02-A572,2026-03-20,2026-02-13,repair,241.34,unauthorized,agent_001,pending
RET-96147,NW-2026-03-E397,2026-03-23,2026-04-27,replacement,91.21,damaged,agent_002,escalated
RET-83325,NW-2026-04-K868,2026-03-04,2026-02-02,store_credit,236.24,damaged,agent_001,approved
RET-14765,NW-2026-03-E169,2026-04-05,2026-04-01,repair,310.23,not_as_described,agent_001,denied
RET-63418,NW-2026-04-E411,2026-03-03,2026-03-14,store_credit,331.20,unauthorized,agent_002,denied
RET-88113,NW-2026-03-A193,2026-04-11,2026-04-24,repair,259.57,wrong_item,agent_002,pending
RET-72442,NW-2026-02-I179,2026-04-13,2026-04-19,repair,393.98,unauthorized,agent_003,escalated
RET-95256,NW-2026-04-G708,2026-02-02,2026-04-02,store_credit,192.26,wrong_item,agent_003,denied
RET-85010,NW-2026-03-F494,2026-04-02,2026-02-20,repair,292.21,unauthorized,agent_003,denied
RET-28482,NW-2026-04-H704,2026-03-07,2026-02-03,store_credit,382.64,wrong_item,agent_001,approved
RET-65664,NW-2026-02-K162,2026-04-15,2026-03-21,replacement,124.34,not_as_described,agent_002,escalated
RET-57194,NW-2026-04-E776,2026-02-18,2026-02-15,store_credit,231.74,never_received,agent_003,pending
RET-63488,NW-2026-03-H290,2026-03-22,2026-04-04,replacement,275.78,not_as_described,agent_002,approved
RET-90216,NW-2026-03-C635,2026-04-20,2026-04-02,store_credit,85.49,damaged,agent_001,escalated
RET-82482,NW-2026-04-C627,2026-03-16,2026-03-25,store_credit,313.89,never_received,agent_003,pending
RET-21426,NW-2026-04-F315,2026-03-02,2026-04-19,repair,207.75,never_received,agent_001,denied
RET-70622,NW-2026-04-I959,2026-02-28,2026-04-11,repair,251.26,damaged,agent_002,denied
RET-75713,NW-2026-02-F634,2026-04-21,2026-04-14,repair,239.58,unauthorized,agent_003,approved
