txn_id,order_id,txn_date,txn_type,amount_usd,card_last4,gateway_ref,acquirer_code,response_code,auth_code,arn,is_disputed
TXN-933447,NW-2026-02-D233,2026-03-11,chargeback,490.08,6198,GW-6957018,4001,51,AUTH908134,ARN27013375452,Y
TXN-200134,NW-2026-04-A581,2026-03-14,reversal,423.21,3803,GW-3657597,1360,05,AUTH620640,ARN14027091550,N
TXN-642791,NW-2026-02-K940,2026-04-23,chargeback,381.35,9908,GW-4738444,1000,54,AUTH122110,ARN22964091780,N
TXN-495149,NW-2026-02-F992,2026-02-15,auth,15.32,8813,GW-8663323,3639,00,AUTH743407,ARN74658808436,N
TXN-183415,NW-2026-03-B875,2026-03-08,capture,260.29,4131,GW-4455279,6323,51,AUTH110194,ARN31011771751,N
TXN-584534,NW-2026-02-F363,2026-03-26,capture,417.21,1010,GW-8502951,3119,00,AUTH697447,ARN51492721861,N
TXN-825144,NW-2026-04-F778,2026-04-12,refund,210.11,5498,GW-8661496,9026,57,AUTH463871,ARN24538543398,N
TXN-640958,NW-2026-02-F938,2026-03-24,capture,28.91,5362,GW-4496590,4847,54,AUTH555267,ARN15759364486,N
TXN-841272,NW-2026-02-K494,2026-03-24,reversal,287.05,9482,GW-9252178,1311,14,AUTH142975,ARN82495475658,N
TXN-688686,NW-2026-04-H696,2026-02-16,chargeback,193.95,7584,GW-7306921,1139,14,AUTH580094,ARN56875894626,N
TXN-216219,NW-2026-02-C625,2026-03-11,reversal,275.93,9637,GW-2893644,5507,00,AUTH628936,ARN67100034770,Y
TXN-224586,NW-2026-02-E903,2026-03-12,refund,131.60,3584,GW-2113925,9506,51,AUTH587700,ARN48513506360,N
TXN-905901,NW-2026-02-B598,2026-04-24,chargeback,160.27,6008,GW-8308015,4813,05,AUTH717317,ARN95262848248,N
TXN-800774,NW-2026-03-F940,2026-04-03,auth,221.78,6678,GW-2846198,9386,57,AUTH252161,ARN31191350425,N
TXN-819488,NW-2026-04-K938,2026-04-17,refund,237.44,2899,GW-7562335,3831,51,AUTH196134,ARN80704272432,Y
TXN-658745,NW-2026-04-F635,2026-02-21,capture,300.37,6645,GW-7503495,7613,14,AUTH556299,ARN23844153494,N
TXN-721287,NW-2026-04-F892,2026-04-24,chargeback,32.77,1137,GW-1551936,4908,14,AUTH191228,ARN77491413476,N
TXN-614985,NW-2026-04-F204,2026-04-19,auth,486.92,4845,GW-1654499,2150,14,AUTH692163,ARN40601091183,N
TXN-272785,NW-2026-02-J989,2026-02-04,refund,324.19,6899,GW-5533412,6931,00,AUTH359050,ARN62090196955,N
TXN-692097,NW-2026-04-B238,2026-04-23,reversal,250.61,5206,GW-6272485,6767,00,AUTH575225,ARN58935391625,Y
TXN-247935,NW-2026-04-K307,2026-03-26,auth,264.46,6370,GW-6285646,5838,51,AUTH970421,ARN31261397873,N
TXN-243962,NW-2026-03-E217,2026-03-08,auth,95.49,9306,GW-2137132,8565,51,AUTH459787,ARN86859446536,N
TXN-439924,NW-2026-02-C109,2026-03-27,chargeback,45.72,8859,GW-5360685,6658,57,AUTH398107,ARN54762478701,N
TXN-205855,NW-2026-03-C756,2026-04-06,chargeback,487.56,4065,GW-4097909,9916,05,AUTH298254,ARN52711783971,N
TXN-207557,NW-2026-02-C369,2026-04-11,chargeback,283.17,9252,GW-7155017,9876,05,AUTH773465,ARN33111657384,Y
TXN-569953,NW-2026-02-B183,2026-03-17,refund,160.25,8012,GW-7271679,9156,00,AUTH812017,ARN86217357147,N
TXN-677140,NW-2026-04-H568,2026-04-01,refund,123.56,7659,GW-6532587,5494,05,AUTH534770,ARN94581716662,N
TXN-523128,NW-2026-02-D139,2026-03-01,auth,252.31,3744,GW-4144795,1116,54,AUTH129543,ARN13097063388,Y
TXN-885963,NW-2026-03-K319,2026-02-25,auth,386.98,5722,GW-8449600,3932,51,AUTH809569,ARN10565852717,Y
TXN-767324,NW-2026-03-E645,2026-03-04,refund,134.43,2468,GW-5957784,7103,00,AUTH644906,ARN31382985914,N
TXN-312042,NW-2026-02-F527,2026-03-02,capture,367.84,8864,GW-2906277,8485,05,AUTH431627,ARN80254573846,N
TXN-372449,NW-2026-03-A838,2026-02-23,capture,461.89,3151,GW-8387648,7840,57,AUTH671824,ARN76378677629,N
TXN-296323,NW-2026-04-G802,2026-03-09,auth,70.39,5257,GW-9182280,4430,14,AUTH925147,ARN31486316334,N
TXN-726536,NW-2026-04-C303,2026-03-07,auth,443.30,1550,GW-8474819,9227,57,AUTH237196,ARN18577287910,N
TXN-229411,NW-2026-03-H728,2026-02-26,refund,495.91,3292,GW-9761979,7682,51,AUTH318857,ARN66930912625,N
TXN-108767,NW-2026-04-H329,2026-04-21,refund,418.08,8954,GW-5640084,6762,05,AUTH934023,ARN49012518954,Y
TXN-948021,NW-2026-02-B789,2026-04-17,refund,109.48,3692,GW-6155242,8101,51,AUTH182745,ARN82268516371,Y
TXN-940474,NW-2026-03-C355,2026-04-13,reversal,386.30,4719,GW-5477580,4973,54,AUTH799496,ARN98278659846,N
TXN-936211,NW-2026-03-F377,2026-04-01,chargeback,177.43,9847,GW-8375277,2267,14,AUTH362884,ARN30890059647,N
TXN-582796,NW-2026-04-D577,2026-04-10,refund,420.77,9007,GW-4117395,8593,05,AUTH946322,ARN47494203309,N
TXN-217284,NW-2026-02-E437,2026-03-14,auth,68.92,9771,GW-3093385,5253,05,AUTH989313,ARN33740085985,Y
TXN-371512,NW-2026-04-D428,2026-03-25,reversal,459.31,1226,GW-2208494,2338,57,AUTH610985,ARN74512496524,N
TXN-830469,NW-2026-02-C135,2026-04-07,auth,419.67,5389,GW-8782935,1192,51,AUTH198884,ARN79614213123,N
TXN-834320,NW-2026-04-F176,2026-04-21,capture,344.77,7062,GW-7101864,7654,14,AUTH119246,ARN88627185037,N
TXN-282421,NW-2026-04-J565,2026-04-03,chargeback,248.19,8344,GW-4736121,7838,54,AUTH913163,ARN66318346191,Y
TXN-594708,NW-2026-02-F782,2026-03-05,capture,257.01,4771,GW-8943214,8494,54,AUTH706359,ARN91639769766,Y
TXN-126420,NW-2026-02-H373,2026-03-25,auth,417.26,1224,GW-4995798,8066,51,AUTH419233,ARN54452326250,N
TXN-396480,NW-2026-03-A717,2026-02-04,auth,436.87,1018,GW-8865353,6663,05,AUTH707101,ARN71082307344,N
TXN-144171,NW-2026-04-C274,2026-03-02,chargeback,389.42,7299,GW-8686064,4191,05,AUTH715659,ARN82275608646,N
TXN-199992,NW-2026-04-J720,2026-03-16,chargeback,267.28,9339,GW-2960286,7031,51,AUTH623577,ARN91360888934,Y
TXN-433520,NW-2026-04-D143,2026-02-21,chargeback,247.15,7658,GW-3615248,8493,05,AUTH968762,ARN82596395582,N
TXN-300652,NW-2026-03-C440,2026-03-28,auth,300.08,2094,GW-9070347,5858,51,AUTH199146,ARN73058445263,N
TXN-474775,NW-2026-02-H992,2026-02-17,reversal,92.77,2250,GW-7811693,1261,00,AUTH332197,ARN42418835935,N
TXN-618139,NW-2026-02-D317,2026-02-24,chargeback,317.11,3189,GW-1300209,2407,54,AUTH967926,ARN81432781488,Y
TXN-591563,NW-2026-02-D854,2026-04-24,refund,218.18,3639,GW-4254198,4471,51,AUTH409602,ARN98519417956,Y
TXN-823655,NW-2026-04-H326,2026-03-12,refund,45.54,3859,GW-4889082,8722,14,AUTH678545,ARN59602336823,N
TXN-539966,NW-2026-04-A205,2026-03-17,capture,91.10,9185,GW-4575467,3588,54,AUTH613014,ARN33822511332,N
TXN-732486,NW-2026-04-C186,2026-03-22,capture,232.36,1798,GW-2652478,2915,00,AUTH994409,ARN39360942577,Y
TXN-142353,NW-2026-02-J814,2026-03-19,capture,330.07,1952,GW-3552875,6586,54,AUTH958060,ARN97063330458,Y
TXN-534654,NW-2026-03-D212,2026-03-19,refund,263.03,8107,GW-9927904,1381,57,AUTH156001,ARN21473502280,Y
TXN-598951,NW-2026-04-K549,2026-03-07,reversal,174.89,3393,GW-2429537,7387,05,AUTH865087,ARN45436847471,N
TXN-138155,NW-2026-04-E942,2026-02-04,chargeback,494.91,8150,GW-1873052,8780,57,AUTH728190,ARN78530153894,N
TXN-609930,NW-2026-02-A511,2026-04-12,auth,88.34,8143,GW-9993765,2155,51,AUTH572888,ARN99743426686,N
TXN-804224,NW-2026-02-G674,2026-04-15,refund,123.94,7273,GW-4795443,2008,57,AUTH110649,ARN41086262833,N
TXN-764533,NW-2026-03-E331,2026-03-15,reversal,184.04,8366,GW-7702164,4575,57,AUTH138922,ARN79686834681,N
TXN-125215,NW-2026-03-I874,2026-04-01,chargeback,153.23,6780,GW-2419021,1155,00,AUTH614766,ARN76029816784,N
TXN-149849,NW-2026-03-F143,2026-04-01,capture,362.20,1925,GW-7502669,7206,14,AUTH140129,ARN54167812470,N
TXN-812614,NW-2026-03-J524,2026-04-19,capture,52.34,4015,GW-3479153,1388,14,AUTH512399,ARN98071871014,N
TXN-984314,NW-2026-02-K589,2026-04-15,auth,65.41,7018,GW-3868946,4077,51,AUTH310284,ARN10102918094,N
TXN-363506,NW-2026-04-B986,2026-04-08,auth,67.84,3919,GW-8098563,4961,05,AUTH216995,ARN74618015116,Y
TXN-973350,NW-2026-04-F857,2026-03-10,reversal,164.89,4185,GW-9634209,6015,54,AUTH732164,ARN74839655102,N
TXN-330786,NW-2026-02-G125,2026-03-19,auth,425.54,1036,GW-6439774,6184,05,AUTH118047,ARN41308267005,N
TXN-706721,NW-2026-03-D797,2026-02-11,auth,424.67,6183,GW-8931113,6036,05,AUTH754384,ARN60140791870,Y
TXN-529904,NW-2026-03-C467,2026-03-25,refund,106.69,5876,GW-9021319,5586,00,AUTH699048,ARN78544526404,N
TXN-410404,NW-2026-03-C451,2026-03-20,chargeback,387.74,5033,GW-8449279,5332,57,AUTH754260,ARN67137473511,N
TXN-343852,NW-2026-02-F877,2026-03-08,auth,259.29,9827,GW-7387104,1125,05,AUTH456565,ARN54991912190,N
TXN-623699,NW-2026-03-F778,2026-03-03,auth,448.08,2283,GW-5093888,1392,00,AUTH572515,ARN22666412152,N
TXN-433069,NW-2026-03-K922,2026-04-21,refund,333.14,3673,GW-8317668,9557,54,AUTH778308,ARN19356082568,N
TXN-198699,NW-2026-04-H389,2026-04-05,capture,382.45,5880,GW-8099673,2613,51,AUTH346436,ARN33627369339,N
TXN-161696,NW-2026-02-J497,2026-04-27,auth,95.77,8251,GW-8022190,1233,51,AUTH770598,ARN78576410426,N
TXN-206471,NW-2026-03-F642,2026-03-08,auth,309.62,6865,GW-2653922,1043,00,AUTH391911,ARN39254347615,N
TXN-918171,NW-2026-02-E898,2026-03-13,capture,60.26,7809,GW-6602404,5830,05,AUTH745122,ARN45265360072,N
TXN-684952,NW-2026-03-G719,2026-04-18,chargeback,105.98,7326,GW-4310765,6913,00,AUTH435267,ARN18609026849,N
TXN-642440,NW-2026-03-A340,2026-03-21,reversal,418.67,9826,GW-1315107,8322,51,AUTH436530,ARN34908398593,N
TXN-452500,NW-2026-02-J767,2026-02-09,auth,254.26,7600,GW-2059688,7652,00,AUTH563888,ARN56658996767,N
TXN-229979,NW-2026-04-K503,2026-02-12,reversal,229.10,8756,GW-1664553,5729,51,AUTH952559,ARN55154919612,N
TXN-484470,NW-2026-03-G102,2026-04-03,auth,312.42,4930,GW-9700686,6225,05,AUTH616082,ARN42978443457,N
TXN-195872,NW-2026-04-J570,2026-03-08,auth,115.95,4910,GW-6597262,8837,14,AUTH556503,ARN35352276994,N
TXN-928530,NW-2026-03-I403,2026-04-20,auth,327.66,4381,GW-6464536,7151,00,AUTH329531,ARN57473628521,Y
TXN-811750,NW-2026-04-A215,2026-04-24,refund,392.23,9306,GW-6961363,7537,51,AUTH111884,ARN16458924029,Y
TXN-503349,NW-2026-04-F511,2026-04-22,refund,298.00,3819,GW-2362367,3310,00,AUTH169628,ARN15319884762,N
TXN-819229,NW-2026-04-E628,2026-03-15,refund,153.84,6704,GW-5239721,6698,14,AUTH246104,ARN64732626343,Y
TXN-387439,NW-2026-04-H447,2026-04-27,refund,322.22,6102,GW-9138883,6981,05,AUTH139318,ARN72150584748,N
TXN-916891,NW-2026-02-H174,2026-02-21,chargeback,438.16,2792,GW-7380727,7428,05,AUTH420237,ARN94221905956,N
TXN-995734,NW-2026-03-F631,2026-02-22,capture,414.82,2942,GW-1492075,2075,05,AUTH576754,ARN14870870357,Y
TXN-232341,NW-2026-03-K504,2026-04-19,chargeback,329.36,1836,GW-7591585,2613,14,AUTH451839,ARN86073717121,N
TXN-158861,NW-2026-02-A356,2026-04-03,refund,113.28,5131,GW-1959932,5234,00,AUTH621885,ARN35342333901,N
TXN-101738,NW-2026-04-G137,2026-04-21,reversal,280.10,6497,GW-7594563,9104,05,AUTH962639,ARN96113521017,Y
TXN-470124,NW-2026-04-C463,2026-03-20,reversal,97.80,2945,GW-8792333,9848,00,AUTH524425,ARN73237940097,N
TXN-881206,NW-2026-04-C911,2026-04-10,refund,26.28,4861,GW-9349461,7732,00,AUTH988944,ARN22777808294,N
TXN-564992,NW-2026-03-E443,2026-02-17,refund,268.20,9747,GW-3210529,2799,54,AUTH331212,ARN11030294573,N
TXN-224219,NW-2026-04-C328,2026-02-01,reversal,476.73,2147,GW-9150876,4810,51,AUTH650939,ARN21004696351,N
TXN-171915,NW-2026-04-G766,2026-02-16,capture,437.10,3312,GW-7064962,3769,57,AUTH240968,ARN22194719888,N
TXN-798503,NW-2026-04-I333,2026-02-07,refund,368.26,8187,GW-4179742,1774,51,AUTH665777,ARN97217314852,N
TXN-762506,NW-2026-03-I374,2026-04-10,capture,173.79,8821,GW-4984936,2745,51,AUTH635426,ARN45846937799,N
TXN-359735,NW-2026-04-H991,2026-04-20,refund,268.76,5608,GW-1617540,4383,51,AUTH406547,ARN70790551762,N
TXN-130266,NW-2026-02-K822,2026-02-16,auth,451.95,2731,GW-9593573,5471,00,AUTH273212,ARN69354983862,N
TXN-520072,NW-2026-02-H306,2026-02-07,chargeback,83.07,3152,GW-1948600,7095,51,AUTH626136,ARN78253904458,N
TXN-340837,NW-2026-02-H152,2026-02-25,chargeback,329.92,4702,GW-3632385,5582,05,AUTH110302,ARN53968226445,N
TXN-923511,NW-2026-03-K415,2026-03-16,capture,276.95,4927,GW-1919160,1546,54,AUTH702806,ARN24729127805,N
TXN-867005,NW-2026-04-B779,2026-02-07,chargeback,346.43,4325,GW-6211595,7174,54,AUTH710442,ARN41888236346,N
TXN-592353,NW-2026-02-A288,2026-02-14,reversal,497.80,7921,GW-6738695,4817,00,AUTH555880,ARN11406272316,N
TXN-710231,NW-2026-02-C637,2026-03-10,chargeback,116.62,7359,GW-6085268,7001,05,AUTH122540,ARN58634540663,N
TXN-696108,NW-2026-02-F152,2026-02-19,refund,184.99,3731,GW-3518001,2749,05,AUTH925097,ARN22500299355,N
TXN-663657,NW-2026-04-F268,2026-02-21,auth,219.46,8398,GW-8618734,5004,57,AUTH160735,ARN11630569425,N
TXN-589710,NW-2026-02-K997,2026-02-05,reversal,189.13,6137,GW-7255928,2515,05,AUTH327879,ARN31365424603,N
TXN-320799,NW-2026-02-F728,2026-04-12,refund,159.60,9804,GW-5044381,2204,51,AUTH470324,ARN21951426312,N
TXN-385635,NW-2026-02-E154,2026-02-09,chargeback,492.46,3493,GW-3187585,9563,05,AUTH690126,ARN42237200122,Y
TXN-269651,NW-2026-04-J690,2026-04-05,capture,398.86,9954,GW-9732217,1528,57,AUTH328106,ARN32007669642,N
TXN-996735,NW-2026-02-H427,2026-04-07,refund,292.72,2670,GW-4269631,8572,51,AUTH551285,ARN37829032388,N
TXN-251460,NW-2026-03-D270,2026-04-21,reversal,437.12,4739,GW-6760922,7956,00,AUTH200406,ARN95967230544,N
TXN-975593,NW-2026-03-I856,2026-04-23,capture,33.43,2712,GW-6355978,2411,54,AUTH557320,ARN15630410387,N
TXN-578459,NW-2026-04-I230,2026-03-03,refund,355.80,9022,GW-4429455,8600,14,AUTH527138,ARN77567234484,N
TXN-736049,NW-2026-02-C133,2026-02-01,auth,88.26,9341,GW-2873263,7931,57,AUTH873842,ARN63157864084,Y
TXN-353599,NW-2026-04-D720,2026-04-04,refund,81.85,1002,GW-5331630,8732,54,AUTH468346,ARN17477184425,N
TXN-987593,NW-2026-02-C328,2026-03-23,reversal,298.12,4430,GW-1221819,4084,51,AUTH458354,ARN49726486400,Y
TXN-709349,NW-2026-02-E168,2026-03-09,capture,194.85,5931,GW-9876660,2643,00,AUTH561688,ARN83376949534,Y
TXN-245488,NW-2026-02-I473,2026-04-20,reversal,240.85,5918,GW-3027498,6556,00,AUTH695202,ARN70089890756,Y
TXN-927707,NW-2026-03-J212,2026-02-13,chargeback,143.86,3536,GW-9849188,6988,14,AUTH898293,ARN89017902093,N
TXN-921312,NW-2026-03-K817,2026-04-04,reversal,59.44,6514,GW-6890027,3639,51,AUTH239414,ARN33562712820,N
TXN-609838,NW-2026-02-B100,2026-03-20,refund,182.25,9506,GW-9710178,9620,00,AUTH422882,ARN80115998643,N
TXN-405745,NW-2026-02-E455,2026-04-06,refund,72.87,9486,GW-3027065,7106,51,AUTH914429,ARN77174654679,Y
TXN-608546,NW-2026-03-C516,2026-03-11,chargeback,318.85,3714,GW-3675622,4090,00,AUTH272599,ARN66988002222,N
TXN-407260,NW-2026-03-H641,2026-03-28,auth,388.78,4155,GW-4895426,9101,57,AUTH286849,ARN57772936982,N
TXN-597193,NW-2026-03-F537,2026-04-17,capture,297.82,3754,GW-1311406,6418,14,AUTH483314,ARN37832599466,N
TXN-357051,NW-2026-02-G519,2026-03-11,reversal,360.83,7572,GW-6311389,6334,51,AUTH641981,ARN26246953419,N
TXN-626701,NW-2026-02-I115,2026-03-24,refund,389.32,4363,GW-9335376,5548,00,AUTH558810,ARN81594676379,Y
TXN-585007,NW-2026-02-B608,2026-04-23,chargeback,348.53,4050,GW-3062875,6762,57,AUTH916485,ARN28651804873,N
TXN-970497,NW-2026-03-F900,2026-03-28,capture,16.15,5491,GW-4611900,1875,05,AUTH833510,ARN83699216961,N
TXN-713111,NW-2026-02-G781,2026-02-17,capture,155.95,7884,GW-9250663,2446,57,AUTH401781,ARN68462158239,N
TXN-365686,NW-2026-03-J931,2026-02-07,reversal,496.73,4976,GW-5231947,7115,00,AUTH666442,ARN99830195638,N
TXN-411381,NW-2026-02-J465,2026-03-26,reversal,164.81,2737,GW-4461531,2904,57,AUTH829175,ARN42870270790,N
TXN-633051,NW-2026-02-K488,2026-03-02,reversal,327.53,2348,GW-9856192,9002,54,AUTH716173,ARN14326623486,N
TXN-910354,NW-2026-02-A378,2026-02-05,auth,129.87,7530,GW-9217802,1048,57,AUTH972527,ARN38613488932,N
TXN-380673,NW-2026-04-I945,2026-03-11,auth,340.57,2779,GW-5367057,7558,51,AUTH724142,ARN44437400366,Y
TXN-414667,NW-2026-02-J313,2026-03-28,chargeback,106.16,9728,GW-6188765,5520,54,AUTH980963,ARN77361631555,N
TXN-219999,NW-2026-02-F186,2026-02-22,reversal,317.17,5793,GW-7290204,6308,05,AUTH885318,ARN62363440327,N
TXN-179660,NW-2026-04-K975,2026-02-15,chargeback,487.30,9681,GW-6394557,8606,54,AUTH512724,ARN38460092579,N
TXN-832330,NW-2026-04-A781,2026-03-16,capture,261.69,6394,GW-1899191,6406,14,AUTH395531,ARN73850525226,N
TXN-661125,NW-2026-04-C823,2026-04-12,capture,135.00,9590,GW-2612054,6749,00,AUTH702485,ARN90123664145,N
TXN-994808,NW-2026-03-G626,2026-04-15,refund,115.60,3214,GW-8494023,9852,05,AUTH888369,ARN95572732546,N
TXN-239006,NW-2026-04-A591,2026-03-23,reversal,246.31,7736,GW-3397141,3929,51,AUTH136959,ARN10176771476,N
TXN-594850,NW-2026-04-G224,2026-04-04,reversal,316.92,5672,GW-8475180,2484,05,AUTH368879,ARN36942903535,Y
TXN-628349,NW-2026-04-A278,2026-04-27,capture,18.02,3265,GW-2069187,1107,14,AUTH362335,ARN72167722247,N
TXN-353588,NW-2026-02-K897,2026-03-15,capture,467.13,4883,GW-7043562,4391,51,AUTH466005,ARN48286296784,N
TXN-157216,NW-2026-03-G581,2026-03-25,refund,431.53,7048,GW-2639259,5430,00,AUTH735950,ARN13757933428,N
TXN-173818,NW-2026-02-F206,2026-04-23,chargeback,400.82,1303,GW-6230039,2132,05,AUTH176441,ARN17483799757,Y
TXN-336328,NW-2026-03-C329,2026-04-12,auth,439.43,8481,GW-1431472,8524,54,AUTH175680,ARN39804733557,Y
TXN-165665,NW-2026-04-F769,2026-02-12,refund,205.34,7322,GW-3002461,9608,00,AUTH752799,ARN64068242122,N
TXN-824882,NW-2026-04-H122,2026-02-12,refund,310.52,4525,GW-6020396,8493,51,AUTH764165,ARN23258817712,N
TXN-793885,NW-2026-02-K426,2026-04-10,auth,181.19,4596,GW-5746026,5387,54,AUTH433553,ARN14374909605,N
TXN-820449,NW-2026-02-H432,2026-03-23,chargeback,27.12,1510,GW-8943699,5633,54,AUTH381786,ARN96611852264,N
TXN-140805,NW-2026-04-K671,2026-04-21,capture,261.65,2013,GW-8200247,2233,00,AUTH426285,ARN56635136141,N
TXN-153129,NW-2026-02-F273,2026-02-24,refund,397.61,2382,GW-9019448,5876,51,AUTH209196,ARN43497734885,N
TXN-660836,NW-2026-04-K198,2026-02-01,refund,319.23,8845,GW-5728259,7773,54,AUTH861940,ARN96841845651,N
TXN-327518,NW-2026-04-H656,2026-03-28,reversal,493.41,3694,GW-8060415,3816,00,AUTH479203,ARN55598793840,N
TXN-229479,NW-2026-02-E617,2026-02-26,refund,253.58,6929,GW-8111035,8061,00,AUTH979926,ARN71034043128,N
TXN-164870,NW-2026-02-A819,2026-04-16,reversal,142.56,9214,GW-5368016,7927,51,AUTH662839,ARN26529995505,N
TXN-251222,NW-2026-04-E445,2026-02-22,auth,320.84,7428,GW-7937414,8839,05,AUTH432917,ARN54052230523,Y
TXN-816737,NW-2026-03-D411,2026-02-08,capture,494.66,1759,GW-1535768,9049,14,AUTH574232,ARN30335855229,N
TXN-357879,NW-2026-02-J873,2026-03-11,reversal,45.69,9518,GW-8202135,9155,57,AUTH438021,ARN25165552181,N
TXN-352712,NW-2026-02-H124,2026-04-02,auth,258.94,4376,GW-2080862,8330,57,AUTH881714,ARN21434942648,Y
TXN-327644,NW-2026-03-K235,2026-02-17,auth,195.60,1708,GW-2178399,5133,14,AUTH197812,ARN31105679459,N
TXN-724288,NW-2026-03-I425,2026-02-11,capture,460.32,6384,GW-9010222,1153,57,AUTH968882,ARN77264177197,N
TXN-892137,NW-2026-03-H903,2026-03-28,chargeback,380.77,2964,GW-3791542,2164,54,AUTH173071,ARN65177738071,N
TXN-550330,NW-2026-02-I201,2026-04-07,auth,264.99,4432,GW-8419441,8973,00,AUTH896364,ARN45895407149,N
TXN-202995,NW-2026-02-H110,2026-03-20,capture,66.96,7070,GW-4448936,4567,00,AUTH403391,ARN40775746728,N
TXN-906863,NW-2026-02-B643,2026-03-13,refund,358.04,6248,GW-9567636,5153,57,AUTH311072,ARN27379810878,Y
TXN-403375,NW-2026-04-H861,2026-03-26,refund,464.07,8336,GW-1227016,4331,05,AUTH535495,ARN34645691672,N
TXN-645297,NW-2026-02-A187,2026-03-08,reversal,319.67,2489,GW-8920347,2569,54,AUTH370533,ARN17893930872,Y
TXN-562485,NW-2026-02-K920,2026-04-15,reversal,352.89,5012,GW-8383493,8290,51,AUTH671742,ARN18379178571,N
TXN-898414,NW-2026-02-G668,2026-03-13,capture,264.43,6992,GW-7779008,8481,51,AUTH532725,ARN54494346459,Y
TXN-136267,NW-2026-03-I516,2026-04-10,capture,259.31,3088,GW-9497770,1323,54,AUTH844744,ARN37039336234,Y
TXN-780439,NW-2026-04-I924,2026-03-02,refund,248.51,9475,GW-8973818,4677,54,AUTH234898,ARN15524131766,N
TXN-305219,NW-2026-02-D244,2026-03-06,reversal,430.32,6076,GW-3706440,8308,54,AUTH989356,ARN77267082424,Y
TXN-280522,NW-2026-04-D160,2026-04-19,auth,178.83,9748,GW-1015285,9059,54,AUTH855377,ARN61417918997,Y
TXN-600194,NW-2026-03-E458,2026-03-28,capture,279.19,8578,GW-7300868,7911,00,AUTH151646,ARN84816197105,N
TXN-849852,NW-2026-03-H981,2026-03-21,capture,417.54,8078,GW-9471270,9617,00,AUTH793210,ARN35556581358,Y
TXN-301552,NW-2026-03-H162,2026-04-25,auth,142.82,1601,GW-9604011,5836,00,AUTH459583,ARN41877033479,N
TXN-867148,NW-2026-04-I108,2026-04-11,auth,29.77,4481,GW-3322307,7700,14,AUTH411838,ARN38543808266,N
TXN-561081,NW-2026-02-I368,2026-02-16,reversal,69.85,7930,GW-8214523,2343,00,AUTH811062,ARN94858148466,N
