ticker,company_name,sector,listing_status,delisted_date,notes
JYE,Alpha Inc,Technology,DELISTED,2020-05-25,delisted — excluded from revised universe
TCZ,Gamma Inc,Materials,ACTIVE,,active constituent
VO,Beta Holdings,Materials,ACTIVE,,active constituent
UAVU,Beta Inc,Consumer Discretionary,ACTIVE,,active constituent
MMQ,Gamma Group,Materials,ACTIVE,,active constituent
WRIO,Gamma Inc,Healthcare,ACTIVE,,active constituent
ORE,Delta Group,Industrials,ACTIVE,,active constituent
GIX,Gamma Inc,Consumer Discretionary,ACTIVE,,active constituent
ZBCF,Beta Corp,Utilities,ACTIVE,,active constituent
HEIA,Omega Corp,Industrials,ACTIVE,,active constituent
EH,Omega Ltd,Technology,DELISTED,2021-02-02,delisted — excluded from revised universe
MQA,Beta Inc,Industrials,ACTIVE,,active constituent
JKO,Gamma Holdings,Communication Services,DELISTED,2020-06-28,delisted — excluded from revised universe
KH,Gamma Ltd,Financials,ACTIVE,,active constituent
HCK,Gamma Corp,Materials,DELISTED,2020-12-03,delisted — excluded from revised universe
VVV,Omega Holdings,Consumer Discretionary,ACTIVE,,active constituent
KA,Beta Group,Consumer Discretionary,ACTIVE,,active constituent
JQ,Gamma Inc,Real Estate,DELISTED,2019-09-07,delisted — excluded from revised universe
NL,Gamma Group,Healthcare,ACTIVE,,active constituent
GYC,Alpha Corp,Materials,ACTIVE,,active constituent
IA,Gamma Holdings,Materials,ACTIVE,,active constituent
NI,Alpha Inc,Energy,ACTIVE,,active constituent
CVTB,Gamma Corp,Energy,ACTIVE,,active constituent
PAI,Alpha Corp,Energy,ACTIVE,,active constituent
IRFH,Gamma Group,Financials,DELISTED,2021-02-13,delisted — excluded from revised universe
EWXJ,Omega Inc,Industrials,ACTIVE,,active constituent
OPE,Alpha Ltd,Technology,ACTIVE,,active constituent
PRPQ,Alpha Corp,Utilities,DELISTED,2020-03-02,delisted — excluded from revised universe
MT,Alpha Holdings,Technology,ACTIVE,,active constituent
PYFS,Omega Inc,Healthcare,ACTIVE,,active constituent
TYR,Delta Holdings,Materials,ACTIVE,,active constituent
SJ,Beta Inc,Real Estate,ACTIVE,,active constituent
XCYJ,Omega Group,Communication Services,ACTIVE,,active constituent
AL,Gamma Corp,Real Estate,ACTIVE,,active constituent
EXH,Omega Inc,Healthcare,ACTIVE,,active constituent
AZ,Delta Group,Technology,DELISTED,2019-10-23,delisted — excluded from revised universe
OVOR,Alpha Ltd,Financials,ACTIVE,,active constituent
COY,Gamma Inc,Materials,ACTIVE,,active constituent
QTNY,Beta Holdings,Technology,DELISTED,2021-01-11,delisted — excluded from revised universe
WHV,Omega Ltd,Industrials,ACTIVE,,active constituent
FS,Beta Corp,Utilities,ACTIVE,,active constituent
DWW,Omega Corp,Industrials,DELISTED,2022-05-23,delisted — excluded from revised universe
ULR,Omega Group,Real Estate,DELISTED,2020-06-14,delisted — excluded from revised universe
TQ,Delta Inc,Healthcare,DELISTED,2018-01-28,delisted — excluded from revised universe
QP,Gamma Inc,Communication Services,DELISTED,2019-10-25,delisted — excluded from revised universe
EKA,Beta Holdings,Real Estate,ACTIVE,,active constituent
LILI,Omega Ltd,Consumer Discretionary,ACTIVE,,active constituent
GONC,Beta Group,Utilities,ACTIVE,,active constituent
VTO,Omega Ltd,Healthcare,ACTIVE,,active constituent
DIYQ,Gamma Corp,Industrials,ACTIVE,,active constituent
KMXT,Beta Group,Healthcare,ACTIVE,,active constituent
YO,Beta Ltd,Materials,ACTIVE,,active constituent
ZOOS,Alpha Corp,Financials,DELISTED,2021-11-10,delisted — excluded from revised universe
LVF,Delta Inc,Energy,ACTIVE,,active constituent
PNCT,Beta Corp,Materials,ACTIVE,,active constituent
KOUH,Omega Holdings,Healthcare,ACTIVE,,active constituent
JAJ,Beta Ltd,Financials,DELISTED,2019-07-09,delisted — excluded from revised universe
WZV,Alpha Holdings,Utilities,DELISTED,2018-04-19,delisted — excluded from revised universe
YFSF,Gamma Group,Materials,ACTIVE,,active constituent
UXTY,Omega Holdings,Communication Services,ACTIVE,,active constituent
TEEV,Omega Group,Financials,DELISTED,2021-08-19,delisted — excluded from revised universe
JUDG,Omega Ltd,Communication Services,ACTIVE,,active constituent
ADZ,Delta Group,Technology,ACTIVE,,active constituent
IXV,Gamma Ltd,Communication Services,DELISTED,2018-10-25,delisted — excluded from revised universe
QEWV,Alpha Group,Technology,ACTIVE,,active constituent
YLHH,Delta Group,Materials,ACTIVE,,active constituent
BOPM,Gamma Holdings,Energy,ACTIVE,,active constituent
ZSSU,Omega Ltd,Financials,ACTIVE,,active constituent
KGXZ,Beta Holdings,Utilities,ACTIVE,,active constituent
RB,Delta Ltd,Materials,DELISTED,2018-02-18,delisted — excluded from revised universe
JDLS,Gamma Inc,Energy,ACTIVE,,active constituent
WG,Omega Inc,Materials,ACTIVE,,active constituent
CTY,Gamma Holdings,Consumer Discretionary,DELISTED,2018-07-14,delisted — excluded from revised universe
RD,Gamma Inc,Energy,DELISTED,2020-01-11,delisted — excluded from revised universe
MNX,Delta Corp,Materials,ACTIVE,,active constituent
WMD,Alpha Corp,Consumer Discretionary,ACTIVE,,active constituent
JCI,Omega Corp,Real Estate,ACTIVE,,active constituent
OXGD,Gamma Inc,Materials,ACTIVE,,active constituent
MDF,Delta Holdings,Energy,ACTIVE,,active constituent
WVP,Delta Inc,Utilities,DELISTED,2019-03-17,delisted — excluded from revised universe
IGD,Beta Ltd,Energy,DELISTED,2021-10-14,delisted — excluded from revised universe
KGU,Beta Holdings,Financials,ACTIVE,,active constituent
VCG,Omega Inc,Technology,DELISTED,2019-08-24,delisted — excluded from revised universe
ZK,Alpha Holdings,Healthcare,ACTIVE,,active constituent
NNQH,Omega Corp,Communication Services,ACTIVE,,active constituent
XX,Delta Corp,Financials,ACTIVE,,active constituent
QQP,Gamma Holdings,Consumer Discretionary,ACTIVE,,active constituent
DWN,Beta Ltd,Technology,ACTIVE,,active constituent
MDUN,Delta Inc,Energy,ACTIVE,,active constituent
YYA,Beta Corp,Healthcare,ACTIVE,,active constituent
NAK,Alpha Holdings,Utilities,ACTIVE,,active constituent
XMOI,Gamma Corp,Communication Services,ACTIVE,,active constituent
IK,Alpha Corp,Utilities,ACTIVE,,active constituent
UUF,Beta Holdings,Healthcare,ACTIVE,,active constituent
SG,Delta Holdings,Materials,ACTIVE,,active constituent
FIGC,Alpha Corp,Communication Services,ACTIVE,,active constituent
VKEN,Beta Inc,Industrials,ACTIVE,,active constituent
CDFC,Alpha Ltd,Healthcare,ACTIVE,,active constituent
EV,Delta Group,Financials,ACTIVE,,active constituent
RR,Omega Group,Real Estate,ACTIVE,,active constituent
TU,Gamma Holdings,Consumer Discretionary,ACTIVE,,active constituent
GLWL,Beta Corp,Financials,ACTIVE,,active constituent
DZ,Delta Ltd,Technology,DELISTED,2019-09-06,delisted — excluded from revised universe
WGGK,Delta Corp,Materials,ACTIVE,,active constituent
DWVT,Alpha Corp,Communication Services,ACTIVE,,active constituent
RMV,Gamma Ltd,Technology,ACTIVE,,active constituent
DDOS,Gamma Ltd,Healthcare,ACTIVE,,active constituent
DBZ,Gamma Holdings,Energy,ACTIVE,,active constituent
XOK,Omega Group,Communication Services,ACTIVE,,active constituent
FA,Delta Holdings,Healthcare,ACTIVE,,active constituent
SKAO,Delta Inc,Consumer Discretionary,ACTIVE,,active constituent
ZA,Omega Inc,Technology,ACTIVE,,active constituent
HLN,Omega Holdings,Consumer Discretionary,ACTIVE,,active constituent
CDO,Gamma Group,Financials,ACTIVE,,active constituent
IXG,Alpha Holdings,Materials,ACTIVE,,active constituent
NYML,Alpha Corp,Utilities,ACTIVE,,active constituent
TYHW,Beta Group,Financials,DELISTED,2018-11-13,delisted — excluded from revised universe
XTL,Beta Holdings,Communication Services,ACTIVE,,active constituent
XQR,Omega Inc,Industrials,ACTIVE,,active constituent
FWWW,Delta Holdings,Technology,ACTIVE,,active constituent
RAVD,Gamma Corp,Industrials,ACTIVE,,active constituent
OURB,Omega Corp,Real Estate,DELISTED,2021-06-13,delisted — excluded from revised universe
PCE,Gamma Ltd,Energy,ACTIVE,,active constituent
TV,Gamma Holdings,Financials,ACTIVE,,active constituent
WX,Omega Inc,Industrials,ACTIVE,,active constituent
NY,Alpha Holdings,Healthcare,ACTIVE,,active constituent
GM,Beta Holdings,Materials,ACTIVE,,active constituent
KW,Delta Corp,Healthcare,ACTIVE,,active constituent
JS,Omega Corp,Energy,DELISTED,2022-12-12,delisted — excluded from revised universe
INO,Alpha Group,Consumer Discretionary,ACTIVE,,active constituent
ST,Delta Corp,Industrials,ACTIVE,,active constituent
VG,Gamma Holdings,Healthcare,ACTIVE,,active constituent
HXCP,Gamma Inc,Financials,ACTIVE,,active constituent
DGP,Omega Holdings,Industrials,ACTIVE,,active constituent
DNEV,Omega Holdings,Materials,ACTIVE,,active constituent
OT,Beta Group,Industrials,DELISTED,2021-05-19,delisted — excluded from revised universe
PMZS,Omega Inc,Consumer Discretionary,ACTIVE,,active constituent
XYFU,Omega Ltd,Consumer Discretionary,ACTIVE,,active constituent
ZWE,Beta Corp,Materials,ACTIVE,,active constituent
FF,Gamma Ltd,Technology,DELISTED,2020-09-06,delisted — excluded from revised universe
KX,Alpha Ltd,Energy,ACTIVE,,active constituent
QSK,Gamma Holdings,Financials,ACTIVE,,active constituent
TGUW,Gamma Ltd,Materials,DELISTED,2019-01-11,delisted — excluded from revised universe
IH,Alpha Inc,Utilities,ACTIVE,,active constituent
KP,Delta Inc,Consumer Discretionary,ACTIVE,,active constituent
OQ,Delta Ltd,Utilities,ACTIVE,,active constituent
EJ,Omega Ltd,Energy,ACTIVE,,active constituent
KM,Beta Holdings,Real Estate,ACTIVE,,active constituent
EWXT,Gamma Group,Utilities,ACTIVE,,active constituent
TLY,Gamma Corp,Real Estate,ACTIVE,,active constituent
PG,Gamma Ltd,Technology,ACTIVE,,active constituent
CGB,Alpha Corp,Technology,DELISTED,2022-03-05,delisted — excluded from revised universe
UO,Beta Ltd,Industrials,DELISTED,2022-09-03,delisted — excluded from revised universe
BL,Gamma Holdings,Consumer Discretionary,DELISTED,2019-02-15,delisted — excluded from revised universe
UQQG,Beta Corp,Communication Services,ACTIVE,,active constituent
GQ,Omega Ltd,Healthcare,ACTIVE,,active constituent
UTLN,Gamma Group,Consumer Discretionary,ACTIVE,,active constituent
DDJA,Beta Inc,Real Estate,ACTIVE,,active constituent
FW,Gamma Group,Industrials,ACTIVE,,active constituent
TZ,Omega Group,Energy,ACTIVE,,active constituent
OL,Omega Group,Technology,ACTIVE,,active constituent
OFXQ,Gamma Inc,Industrials,ACTIVE,,active constituent
EJH,Beta Holdings,Technology,ACTIVE,,active constituent
BHSK,Alpha Corp,Financials,ACTIVE,,active constituent
YJDA,Alpha Corp,Financials,ACTIVE,,active constituent
FHT,Alpha Ltd,Energy,ACTIVE,,active constituent
EBS,Alpha Group,Materials,ACTIVE,,active constituent
XP,Gamma Inc,Real Estate,ACTIVE,,active constituent
AZR,Alpha Ltd,Financials,ACTIVE,,active constituent
UWQ,Alpha Ltd,Consumer Discretionary,ACTIVE,,active constituent
YZ,Alpha Corp,Energy,ACTIVE,,active constituent
CDDV,Omega Corp,Real Estate,ACTIVE,,active constituent
FYAS,Beta Corp,Communication Services,ACTIVE,,active constituent
STC,Gamma Inc,Healthcare,ACTIVE,,active constituent
ZI,Beta Ltd,Utilities,ACTIVE,,active constituent
TEWK,Omega Inc,Technology,ACTIVE,,active constituent
XPJY,Gamma Corp,Communication Services,DELISTED,2019-03-12,delisted — excluded from revised universe
ZQ,Gamma Group,Financials,ACTIVE,,active constituent
FQSV,Beta Corp,Industrials,ACTIVE,,active constituent
AX,Alpha Ltd,Technology,DELISTED,2020-08-28,delisted — excluded from revised universe
UYKC,Gamma Inc,Utilities,ACTIVE,,active constituent
OLF,Gamma Corp,Consumer Discretionary,ACTIVE,,active constituent
OPNF,Omega Ltd,Technology,DELISTED,2018-12-16,delisted — excluded from revised universe
TVS,Gamma Holdings,Energy,ACTIVE,,active constituent
NFX,Beta Corp,Energy,DELISTED,2018-07-15,delisted — excluded from revised universe
XCEZ,Gamma Ltd,Industrials,ACTIVE,,active constituent
RE,Gamma Holdings,Utilities,ACTIVE,,active constituent
HQSN,Delta Holdings,Real Estate,ACTIVE,,active constituent
DX,Beta Holdings,Industrials,ACTIVE,,active constituent
JOXD,Gamma Inc,Communication Services,ACTIVE,,active constituent
KI,Delta Corp,Communication Services,ACTIVE,,active constituent
YCPO,Delta Holdings,Real Estate,ACTIVE,,active constituent
WGD,Omega Holdings,Energy,ACTIVE,,active constituent
SLO,Delta Inc,Financials,ACTIVE,,active constituent
TKHS,Delta Ltd,Technology,ACTIVE,,active constituent
CFJ,Omega Holdings,Financials,ACTIVE,,active constituent
LKIP,Beta Corp,Utilities,ACTIVE,,active constituent
IPTI,Alpha Holdings,Materials,ACTIVE,,active constituent
QB,Alpha Ltd,Industrials,ACTIVE,,active constituent
HM,Beta Holdings,Healthcare,ACTIVE,,active constituent
UZV,Beta Inc,Technology,ACTIVE,,active constituent
RIG,Omega Ltd,Communication Services,ACTIVE,,active constituent
MSU,Alpha Group,Energy,ACTIVE,,active constituent
LS,Delta Group,Industrials,ACTIVE,,active constituent
AD,Alpha Group,Financials,ACTIVE,,active constituent
KEH,Delta Corp,Real Estate,ACTIVE,,active constituent
TE,Delta Group,Technology,ACTIVE,,active constituent
NOSE,Beta Inc,Energy,ACTIVE,,active constituent
HGBN,Gamma Ltd,Materials,ACTIVE,,active constituent
OE,Beta Inc,Consumer Discretionary,DELISTED,2022-04-06,delisted — excluded from revised universe
EZD,Gamma Group,Technology,ACTIVE,,active constituent
GI,Alpha Corp,Utilities,ACTIVE,,active constituent
TCFK,Beta Holdings,Energy,ACTIVE,,active constituent
YMFB,Beta Ltd,Healthcare,ACTIVE,,active constituent
VH,Delta Inc,Industrials,ACTIVE,,active constituent
UFIF,Delta Inc,Energy,ACTIVE,,active constituent
JBU,Beta Inc,Materials,DELISTED,2020-02-12,delisted — excluded from revised universe
ZFN,Gamma Holdings,Healthcare,ACTIVE,,active constituent
EVV,Gamma Holdings,Technology,ACTIVE,,active constituent
XFQ,Omega Group,Financials,ACTIVE,,active constituent
ZENM,Omega Corp,Consumer Discretionary,ACTIVE,,active constituent
WHZN,Omega Group,Industrials,ACTIVE,,active constituent
HVSX,Omega Holdings,Financials,ACTIVE,,active constituent
SJJ,Beta Ltd,Energy,DELISTED,2018-05-07,delisted — excluded from revised universe
JLHW,Alpha Holdings,Energy,ACTIVE,,active constituent
SUKX,Omega Ltd,Technology,ACTIVE,,active constituent
PUZ,Omega Ltd,Real Estate,ACTIVE,,active constituent
XL,Omega Group,Utilities,ACTIVE,,active constituent
JL,Omega Ltd,Materials,ACTIVE,,active constituent
HZSP,Delta Group,Industrials,ACTIVE,,active constituent
XBAU,Beta Ltd,Real Estate,ACTIVE,,active constituent
HAN,Gamma Inc,Healthcare,ACTIVE,,active constituent
WWK,Gamma Corp,Consumer Discretionary,ACTIVE,,active constituent
ZKSP,Omega Group,Real Estate,ACTIVE,,active constituent
JX,Alpha Holdings,Energy,ACTIVE,,active constituent
ZBR,Omega Ltd,Utilities,ACTIVE,,active constituent
IG,Delta Inc,Real Estate,ACTIVE,,active constituent
ZN,Alpha Corp,Real Estate,ACTIVE,,active constituent
MN,Omega Inc,Energy,ACTIVE,,active constituent
FG,Beta Ltd,Materials,DELISTED,2020-02-25,delisted — excluded from revised universe
JJHI,Alpha Holdings,Utilities,ACTIVE,,active constituent
XKA,Beta Inc,Communication Services,ACTIVE,,active constituent
UCJC,Gamma Holdings,Healthcare,ACTIVE,,active constituent
XWHW,Beta Group,Energy,ACTIVE,,active constituent
WVF,Alpha Ltd,Financials,ACTIVE,,active constituent
BKH,Gamma Inc,Utilities,ACTIVE,,active constituent
WBPZ,Alpha Ltd,Utilities,ACTIVE,,active constituent
IQ,Beta Inc,Technology,ACTIVE,,active constituent
VID,Delta Ltd,Financials,ACTIVE,,active constituent
ZSL,Omega Inc,Energy,ACTIVE,,active constituent
UV,Beta Inc,Energy,ACTIVE,,active constituent
NIFB,Gamma Inc,Financials,ACTIVE,,active constituent
SNXZ,Gamma Group,Healthcare,ACTIVE,,active constituent
EUV,Beta Inc,Real Estate,ACTIVE,,active constituent
PGIP,Delta Group,Consumer Discretionary,ACTIVE,,active constituent
QFZE,Gamma Corp,Consumer Discretionary,ACTIVE,,active constituent
KHG,Beta Holdings,Utilities,ACTIVE,,active constituent
HNPW,Beta Group,Technology,ACTIVE,,active constituent
UR,Beta Corp,Utilities,ACTIVE,,active constituent
JBH,Gamma Holdings,Real Estate,ACTIVE,,active constituent
YW,Beta Inc,Materials,ACTIVE,,active constituent
BQ,Gamma Group,Utilities,DELISTED,2020-07-28,delisted — excluded from revised universe
JNQY,Omega Ltd,Consumer Discretionary,ACTIVE,,active constituent
MJO,Beta Ltd,Communication Services,ACTIVE,,active constituent
GPG,Delta Inc,Materials,ACTIVE,,active constituent
VFAE,Alpha Holdings,Technology,ACTIVE,,active constituent
BZMV,Delta Corp,Financials,ACTIVE,,active constituent
YQV,Alpha Group,Energy,ACTIVE,,active constituent
PRZ,Omega Holdings,Materials,ACTIVE,,active constituent
XAT,Alpha Corp,Industrials,ACTIVE,,active constituent
QM,Alpha Ltd,Materials,ACTIVE,,active constituent
HLKI,Omega Group,Financials,ACTIVE,,active constituent
TF,Delta Inc,Utilities,ACTIVE,,active constituent
NGF,Beta Corp,Technology,ACTIVE,,active constituent
HFGV,Alpha Corp,Communication Services,DELISTED,2020-10-04,delisted — excluded from revised universe
MBB,Beta Ltd,Energy,DELISTED,2019-07-14,delisted — excluded from revised universe
ZEDO,Alpha Holdings,Real Estate,ACTIVE,,active constituent
WOAG,Alpha Holdings,Communication Services,ACTIVE,,active constituent
MW,Beta Inc,Real Estate,DELISTED,2019-01-06,delisted — excluded from revised universe
DGTT,Gamma Inc,Utilities,ACTIVE,,active constituent
BCY,Delta Inc,Healthcare,ACTIVE,,active constituent
JH,Beta Corp,Technology,ACTIVE,,active constituent
INK,Alpha Inc,Industrials,ACTIVE,,active constituent
SHEH,Alpha Group,Technology,DELISTED,2018-09-21,delisted — excluded from revised universe
IE,Gamma Corp,Industrials,ACTIVE,,active constituent
ZNFX,Delta Corp,Real Estate,ACTIVE,,active constituent
PD,Beta Inc,Real Estate,ACTIVE,,active constituent
WWZ,Gamma Corp,Utilities,ACTIVE,,active constituent
QOE,Delta Inc,Real Estate,DELISTED,2021-02-21,delisted — excluded from revised universe
SX,Gamma Inc,Technology,ACTIVE,,active constituent
JYOS,Alpha Corp,Communication Services,DELISTED,2019-07-28,delisted — excluded from revised universe
EG,Omega Inc,Technology,DELISTED,2021-08-26,delisted — excluded from revised universe
PN,Beta Inc,Energy,ACTIVE,,active constituent
AC,Gamma Holdings,Financials,ACTIVE,,active constituent
RIUI,Beta Holdings,Materials,ACTIVE,,active constituent
KMZ,Alpha Inc,Financials,ACTIVE,,active constituent
WA,Omega Group,Financials,ACTIVE,,active constituent
WQNH,Delta Holdings,Real Estate,ACTIVE,,active constituent
VPX,Gamma Corp,Utilities,ACTIVE,,active constituent
QW,Omega Corp,Industrials,ACTIVE,,active constituent
UMF,Beta Ltd,Healthcare,ACTIVE,,active constituent
HTS,Omega Corp,Industrials,DELISTED,2019-03-02,delisted — excluded from revised universe
GJRN,Alpha Holdings,Real Estate,ACTIVE,,active constituent
UIG,Gamma Group,Industrials,ACTIVE,,active constituent
YUPV,Beta Corp,Technology,ACTIVE,,active constituent
KGF,Omega Inc,Technology,ACTIVE,,active constituent
VWK,Delta Ltd,Technology,ACTIVE,,active constituent
KVIN,Omega Corp,Consumer Discretionary,DELISTED,2020-09-08,delisted — excluded from revised universe
GB,Omega Group,Materials,ACTIVE,,active constituent
JE,Alpha Holdings,Consumer Discretionary,ACTIVE,,active constituent
IAZ,Beta Holdings,Healthcare,ACTIVE,,active constituent
GWGU,Delta Holdings,Consumer Discretionary,ACTIVE,,active constituent
NZ,Gamma Holdings,Technology,DELISTED,2018-01-19,delisted — excluded from revised universe
ZS,Beta Inc,Healthcare,DELISTED,2018-01-25,delisted — excluded from revised universe
TY,Delta Group,Materials,ACTIVE,,active constituent
PVLC,Gamma Group,Communication Services,DELISTED,2020-03-09,delisted — excluded from revised universe
EDC,Delta Inc,Financials,DELISTED,2020-03-08,delisted — excluded from revised universe
BM,Alpha Ltd,Healthcare,ACTIVE,,active constituent
LPOU,Delta Inc,Communication Services,DELISTED,2020-03-03,delisted — excluded from revised universe
PV,Beta Inc,Energy,ACTIVE,,active constituent
BZOW,Beta Ltd,Technology,ACTIVE,,active constituent
ELNH,Gamma Inc,Consumer Discretionary,ACTIVE,,active constituent
DQTP,Delta Ltd,Energy,ACTIVE,,active constituent
VFNH,Beta Holdings,Financials,ACTIVE,,active constituent
PNK,Alpha Group,Real Estate,DELISTED,2019-03-28,delisted — excluded from revised universe
JEN,Delta Inc,Healthcare,ACTIVE,,active constituent
TA,Beta Ltd,Energy,ACTIVE,,active constituent
RFS,Gamma Inc,Industrials,ACTIVE,,active constituent
YKMD,Omega Ltd,Financials,ACTIVE,,active constituent
BHIP,Beta Corp,Financials,ACTIVE,,active constituent
RLI,Delta Inc,Technology,ACTIVE,,active constituent
OVO,Beta Holdings,Healthcare,ACTIVE,,active constituent
JYWQ,Delta Holdings,Technology,DELISTED,2019-07-25,delisted — excluded from revised universe
HGEC,Delta Holdings,Healthcare,DELISTED,2021-09-08,delisted — excluded from revised universe
HY,Omega Inc,Financials,ACTIVE,,active constituent
JWT,Alpha Group,Technology,ACTIVE,,active constituent
JEM,Alpha Ltd,Consumer Discretionary,DELISTED,2020-11-16,delisted — excluded from revised universe
BP,Delta Ltd,Energy,ACTIVE,,active constituent
NX,Beta Ltd,Industrials,ACTIVE,,active constituent
AH,Gamma Corp,Communication Services,ACTIVE,,active constituent
IM,Alpha Corp,Technology,ACTIVE,,active constituent
MPF,Beta Corp,Financials,ACTIVE,,active constituent
BKVN,Beta Inc,Industrials,ACTIVE,,active constituent
QCLE,Alpha Ltd,Materials,ACTIVE,,active constituent
TJ,Omega Holdings,Consumer Discretionary,ACTIVE,,active constituent
NLQJ,Gamma Ltd,Industrials,ACTIVE,,active constituent
CZJ,Alpha Inc,Energy,ACTIVE,,active constituent
HJGE,Gamma Holdings,Communication Services,ACTIVE,,active constituent
EPRY,Delta Corp,Utilities,ACTIVE,,active constituent
