symbol,date,open,high,low,close,volume,vwap,vwap_vs_close_diff,notes
ES,2024-11-30,5365.81,5409.1,5260.17,5404.43,1908680,5359.88,-44.55,VWAP reference for TCA analysis
ES,2024-11-06,5962.99,6021.11,5871.92,5952.53,2703575,5952.14,-0.39,VWAP reference for TCA analysis
YM,2024-11-29,4458.97,4474.56,4438.68,4457.54,4627721,4457.44,-0.1,VWAP reference for TCA analysis
NQ,2024-11-21,5220.23,5246.61,5175.74,5202.87,2865495,5211.36,8.49,VWAP reference for TCA analysis
NQ,2024-11-16,5095.47,5176.9,5022.33,5158.15,1686726,5113.21,-44.94,VWAP reference for TCA analysis
RTY,2024-11-04,5212.53,5237.37,5187.15,5199.24,3411278,5209.07,9.83,VWAP reference for TCA analysis
ES,2024-11-30,5778.6,5792.46,5752.14,5772.59,1459332,5773.95,1.36,VWAP reference for TCA analysis
ES,2024-11-19,4844.81,4885.06,4801.98,4882.76,2525873,4853.65,-29.11,VWAP reference for TCA analysis
YM,2024-11-01,4622.76,4698.19,4621.88,4678.72,528003,4655.39,-23.33,VWAP reference for TCA analysis
ES,2024-11-14,5129.77,5218.93,5062.55,5118.45,1967750,5132.43,13.98,VWAP reference for TCA analysis
ES,2024-11-20,4995.11,5065.6,4922.11,5059.47,3413319,5010.57,-48.9,VWAP reference for TCA analysis
NQ,2024-11-29,5066.76,5151.72,4999.89,5039.39,4220653,5064.44,25.05,VWAP reference for TCA analysis
RTY,2024-11-23,4895.36,4955.85,4820.01,4910.01,2173991,4895.31,-14.7,VWAP reference for TCA analysis
YM,2024-11-18,5553.69,5622.84,5470.27,5571.73,2405382,5554.63,-17.1,VWAP reference for TCA analysis
RTY,2024-11-08,4581.68,4671.26,4512.24,4628.49,2786638,4598.42,-30.07,VWAP reference for TCA analysis
RTY,2024-11-04,5283.0,5360.47,5194.22,5232.58,4595155,5267.57,34.99,VWAP reference for TCA analysis
YM,2024-11-07,5831.3,5837.83,5822.53,5823.25,1918740,5828.73,5.48,VWAP reference for TCA analysis
NQ,2024-11-29,4569.41,4642.68,4507.96,4605.11,3790598,4581.29,-23.82,VWAP reference for TCA analysis
YM,2024-11-04,4900.44,4919.77,4821.22,4900.12,617858,4885.39,-14.73,VWAP reference for TCA analysis
NQ,2024-11-17,5991.45,6084.77,5931.86,6052.33,4493125,6015.1,-37.23,VWAP reference for TCA analysis
ES,2024-11-25,4547.39,4624.39,4547.21,4586.46,588696,4576.36,-10.1,VWAP reference for TCA analysis
RTY,2024-11-11,5255.71,5264.19,5189.79,5213.1,1039504,5230.7,17.6,VWAP reference for TCA analysis
RTY,2024-11-06,4475.06,4537.87,4466.1,4467.06,1294334,4486.52,19.46,VWAP reference for TCA analysis
ES,2024-11-17,4759.38,4810.87,4749.58,4783.8,4887353,4775.91,-7.89,VWAP reference for TCA analysis
YM,2024-11-05,5590.08,5684.74,5534.34,5665.38,1247835,5618.64,-46.74,VWAP reference for TCA analysis
NQ,2024-11-09,4439.9,4486.39,4439.45,4444.82,1548480,4452.64,7.82,VWAP reference for TCA analysis
NQ,2024-11-11,5633.28,5712.42,5580.01,5631.97,4921114,5639.42,7.45,VWAP reference for TCA analysis
NQ,2024-11-21,4897.5,4929.28,4891.09,4898.34,3840958,4904.05,5.71,VWAP reference for TCA analysis
YM,2024-11-17,5969.17,6068.96,5937.52,5946.38,196974,5980.51,34.13,VWAP reference for TCA analysis
NQ,2024-11-06,5419.72,5514.61,5324.11,5436.73,2374684,5423.79,-12.94,VWAP reference for TCA analysis
YM,2024-11-09,5712.56,5764.49,5654.55,5735.58,4975636,5716.8,-18.78,VWAP reference for TCA analysis
ES,2024-11-13,5819.19,5840.74,5736.23,5808.07,4517938,5801.06,-7.01,VWAP reference for TCA analysis
ES,2024-11-04,5784.43,5787.67,5772.88,5774.3,4843164,5779.82,5.52,VWAP reference for TCA analysis
ES,2024-11-14,4924.86,4969.01,4903.98,4944.31,4198155,4935.54,-8.77,VWAP reference for TCA analysis
NQ,2024-11-05,5914.8,5974.56,5838.24,5916.91,4345010,5911.13,-5.78,VWAP reference for TCA analysis
NQ,2024-11-19,5275.69,5370.43,5220.45,5234.69,1619967,5275.31,40.62,VWAP reference for TCA analysis
YM,2024-11-06,5363.28,5397.78,5329.64,5331.72,1049780,5355.61,23.89,VWAP reference for TCA analysis
NQ,2024-11-01,5771.4,5799.26,5665.22,5669.34,4739061,5726.31,56.97,VWAP reference for TCA analysis
ES,2024-11-28,5858.02,5883.82,5794.13,5858.35,1805650,5848.58,-9.77,VWAP reference for TCA analysis
RTY,2024-11-03,5421.47,5506.96,5396.11,5434.71,4107152,5439.81,5.1,VWAP reference for TCA analysis
ES,2024-11-26,5043.05,5078.94,4973.55,5057.47,2324153,5038.25,-19.22,VWAP reference for TCA analysis
ES,2024-11-14,4702.32,4718.14,4609.43,4672.37,4417618,4675.56,3.19,VWAP reference for TCA analysis
RTY,2024-11-06,5440.66,5466.44,5437.86,5453.54,2013405,5449.62,-3.92,VWAP reference for TCA analysis
YM,2024-11-18,4846.65,4920.89,4759.11,4902.84,3897927,4857.37,-45.47,VWAP reference for TCA analysis
RTY,2024-11-07,5087.49,5154.24,5085.65,5104.91,2329409,5108.07,3.16,VWAP reference for TCA analysis
RTY,2024-11-10,5177.34,5240.22,5133.92,5222.47,392122,5193.49,-28.98,VWAP reference for TCA analysis
NQ,2024-11-12,5903.57,5958.01,5828.22,5948.76,594326,5909.64,-39.12,VWAP reference for TCA analysis
RTY,2024-11-30,4628.45,4704.08,4566.37,4655.17,4442956,4638.52,-16.65,VWAP reference for TCA analysis
ES,2024-11-09,4459.38,4505.26,4386.74,4392.96,3792597,4436.09,43.13,VWAP reference for TCA analysis
RTY,2024-11-24,5692.52,5721.89,5655.61,5708.58,3218443,5694.65,-13.93,VWAP reference for TCA analysis
YM,2024-11-22,5519.53,5619.54,5473.99,5579.14,1628955,5548.05,-31.09,VWAP reference for TCA analysis
RTY,2024-11-21,4640.1,4716.54,4595.47,4656.4,4596499,4652.13,-4.27,VWAP reference for TCA analysis
YM,2024-11-09,5668.51,5690.23,5617.36,5626.05,2284142,5650.54,24.49,VWAP reference for TCA analysis
NQ,2024-11-16,5274.23,5377.11,5266.26,5266.88,3370587,5296.12,29.24,VWAP reference for TCA analysis
RTY,2024-11-21,5607.21,5611.71,5511.83,5525.38,1607650,5564.03,38.65,VWAP reference for TCA analysis
ES,2024-11-06,4882.31,4888.66,4812.71,4856.53,3618889,4860.05,3.52,VWAP reference for TCA analysis
NQ,2024-11-27,5325.08,5371.71,5220.53,5247.17,2252052,5291.12,43.95,VWAP reference for TCA analysis
NQ,2024-11-02,4614.25,4668.7,4612.72,4616.95,3277446,4628.16,11.21,VWAP reference for TCA analysis
NQ,2024-11-02,4904.73,4947.64,4846.8,4849.55,2062928,4887.18,37.63,VWAP reference for TCA analysis
ES,2024-11-11,4496.95,4510.39,4456.67,4509.91,3859906,4493.48,-16.43,VWAP reference for TCA analysis
RTY,2024-11-23,4939.84,4969.22,4935.4,4957.41,4982991,4950.47,-6.94,VWAP reference for TCA analysis
RTY,2024-11-07,4604.38,4604.62,4577.62,4582.81,4504742,4592.36,9.55,VWAP reference for TCA analysis
ES,2024-11-10,4405.89,4480.1,4389.51,4465.32,4254644,4435.2,-30.12,VWAP reference for TCA analysis
YM,2024-11-15,4973.71,5061.05,4887.3,5049.19,3761641,4992.81,-56.38,VWAP reference for TCA analysis
ES,2024-11-13,4458.2,4529.87,4385.42,4423.99,4960209,4449.37,25.38,VWAP reference for TCA analysis
RTY,2024-11-30,4558.32,4592.96,4522.18,4592.78,3866886,4566.56,-26.22,VWAP reference for TCA analysis
RTY,2024-11-27,4652.52,4695.56,4642.55,4694.74,184928,4671.34,-23.4,VWAP reference for TCA analysis
NQ,2024-11-12,5509.69,5520.16,5406.47,5450.96,461759,5471.82,20.86,VWAP reference for TCA analysis
ES,2024-11-11,5186.34,5289.72,5130.61,5270.06,2042193,5219.18,-50.88,VWAP reference for TCA analysis
NQ,2024-11-15,4974.58,5002.15,4948.36,4980.62,2806984,4976.43,-4.19,VWAP reference for TCA analysis
YM,2024-11-01,4439.13,4516.41,4365.98,4473.77,3784339,4448.82,-24.95,VWAP reference for TCA analysis
RTY,2024-11-29,5450.89,5520.53,5430.22,5447.98,3109093,5462.4,14.42,VWAP reference for TCA analysis
ES,2024-11-14,5109.05,5202.03,5080.91,5102.31,1447381,5123.57,21.26,VWAP reference for TCA analysis
YM,2024-11-21,5108.56,5114.19,5022.77,5090.41,224864,5083.98,-6.43,VWAP reference for TCA analysis
NQ,2024-11-08,4882.87,4963.8,4849.83,4885.04,3391625,4895.39,10.35,VWAP reference for TCA analysis
YM,2024-11-26,4401.05,4425.69,4373.7,4379.83,2354229,4395.07,15.24,VWAP reference for TCA analysis
ES,2024-11-25,5217.99,5238.45,5130.03,5213.62,2657458,5200.02,-13.6,VWAP reference for TCA analysis
NQ,2024-11-11,5995.7,6039.33,5906.49,5934.96,2793021,5969.12,34.16,VWAP reference for TCA analysis
RTY,2024-11-11,5379.28,5477.25,5310.87,5370.29,4591480,5384.42,14.13,VWAP reference for TCA analysis
YM,2024-11-07,4839.18,4910.94,4755.9,4875.84,2150711,4845.47,-30.37,VWAP reference for TCA analysis
RTY,2024-11-10,4553.71,4631.81,4525.8,4624.34,4410726,4583.91,-40.43,VWAP reference for TCA analysis
YM,2024-11-25,5391.83,5469.47,5376.53,5435.17,880260,5418.25,-16.92,VWAP reference for TCA analysis
RTY,2024-11-08,4509.56,4552.23,4487.58,4539.51,509537,4522.22,-17.29,VWAP reference for TCA analysis
RTY,2024-11-02,5545.52,5545.92,5450.23,5455.01,1028660,5499.17,44.16,VWAP reference for TCA analysis
NQ,2024-11-11,5987.87,6058.91,5909.14,5945.1,3806314,5975.25,30.15,VWAP reference for TCA analysis
ES,2024-11-23,4696.08,4710.83,4606.15,4654.31,1534685,4666.84,12.53,VWAP reference for TCA analysis
YM,2024-11-28,4656.97,4665.95,4603.5,4628.64,669743,4638.77,10.13,VWAP reference for TCA analysis
RTY,2024-11-13,5285.16,5342.34,5236.36,5329.44,3144840,5298.32,-31.12,VWAP reference for TCA analysis
ES,2024-11-13,5919.76,5957.88,5829.83,5904.49,884800,5902.99,-1.5,VWAP reference for TCA analysis
RTY,2024-11-01,4625.72,4680.27,4612.17,4674.07,3971773,4648.06,-26.01,VWAP reference for TCA analysis
RTY,2024-11-18,5470.32,5482.64,5418.8,5450.89,1363381,5455.66,4.77,VWAP reference for TCA analysis
RTY,2024-11-16,4646.78,4718.04,4566.58,4662.47,567257,4648.47,-14.0,VWAP reference for TCA analysis
YM,2024-11-05,5816.34,5858.35,5762.71,5800.11,4666513,5809.38,9.27,VWAP reference for TCA analysis
ES,2024-11-27,4517.92,4573.5,4510.98,4515.55,2077856,4529.49,13.94,VWAP reference for TCA analysis
ES,2024-11-28,5166.27,5241.88,5122.8,5156.82,403918,5171.94,15.12,VWAP reference for TCA analysis
YM,2024-11-12,5019.63,5076.71,5004.47,5029.47,3034343,5032.57,3.1,VWAP reference for TCA analysis
YM,2024-11-27,5597.41,5706.64,5536.81,5636.06,1284485,5619.23,-16.83,VWAP reference for TCA analysis
RTY,2024-11-11,5360.5,5424.88,5350.02,5403.35,1518965,5384.69,-18.66,VWAP reference for TCA analysis
ES,2024-11-25,5197.2,5232.87,5121.67,5183.39,4106413,5183.78,0.39,VWAP reference for TCA analysis
ES,2024-11-25,4829.53,4840.73,4798.27,4835.53,3714059,4826.01,-9.52,VWAP reference for TCA analysis
NQ,2024-11-25,4488.61,4518.14,4454.52,4502.34,3357720,4490.9,-11.44,VWAP reference for TCA analysis
ES,2024-11-13,5914.54,5933.18,5838.79,5915.09,2467663,5900.4,-14.69,VWAP reference for TCA analysis
ES,2024-11-13,5854.18,5873.06,5764.06,5816.49,856334,5826.95,10.46,VWAP reference for TCA analysis
YM,2024-11-13,4715.73,4795.07,4640.89,4756.14,4377625,4726.96,-29.18,VWAP reference for TCA analysis
NQ,2024-11-09,5847.33,5908.65,5815.23,5883.92,4212787,5863.78,-20.14,VWAP reference for TCA analysis
YM,2024-11-07,5226.25,5326.5,5182.83,5210.54,3600879,5236.53,25.99,VWAP reference for TCA analysis
YM,2024-11-03,5310.23,5369.81,5254.87,5336.07,494399,5317.74,-18.33,VWAP reference for TCA analysis
RTY,2024-11-30,5633.33,5645.61,5542.62,5636.52,4812389,5614.52,-22.0,VWAP reference for TCA analysis
RTY,2024-11-08,5175.78,5272.86,5153.54,5155.86,464908,5189.51,33.65,VWAP reference for TCA analysis
ES,2024-11-04,5771.35,5776.34,5750.04,5770.55,2889198,5767.07,-3.48,VWAP reference for TCA analysis
YM,2024-11-08,4720.93,4770.81,4715.85,4718.18,2958078,4731.44,13.26,VWAP reference for TCA analysis
NQ,2024-11-22,5827.08,5907.4,5719.31,5801.55,3409482,5813.84,12.29,VWAP reference for TCA analysis
NQ,2024-11-07,5815.72,5853.66,5752.75,5796.63,1412659,5804.69,8.06,VWAP reference for TCA analysis
ES,2024-11-18,5753.38,5866.91,5684.14,5817.53,2368927,5780.49,-37.04,VWAP reference for TCA analysis
NQ,2024-11-02,4460.88,4466.49,4437.82,4447.49,3354837,4453.17,5.68,VWAP reference for TCA analysis
NQ,2024-11-24,5608.66,5613.12,5567.2,5575.24,4300686,5591.06,15.82,VWAP reference for TCA analysis
NQ,2024-11-19,5347.81,5353.71,5246.76,5259.55,3060035,5301.96,42.41,VWAP reference for TCA analysis
NQ,2024-11-10,5813.22,5874.87,5734.71,5760.64,980215,5795.86,35.22,VWAP reference for TCA analysis
ES,2024-11-27,4508.97,4579.12,4502.37,4528.62,2257219,4529.77,1.15,VWAP reference for TCA analysis
NQ,2024-11-08,5556.08,5614.68,5543.55,5586.95,1432373,5575.32,-11.63,VWAP reference for TCA analysis
RTY,2024-11-17,5803.51,5843.08,5727.9,5837.33,1036570,5802.95,-34.38,VWAP reference for TCA analysis
YM,2024-11-26,5222.94,5303.87,5191.12,5273.51,1679990,5247.86,-25.65,VWAP reference for TCA analysis
NQ,2024-11-13,5396.97,5409.54,5344.5,5393.71,3271551,5386.18,-7.53,VWAP reference for TCA analysis
RTY,2024-11-30,5017.01,5110.88,4959.27,5104.81,2280554,5047.99,-56.82,VWAP reference for TCA analysis
NQ,2024-11-07,4411.95,4467.76,4332.23,4379.4,3104717,4397.83,18.43,VWAP reference for TCA analysis
RTY,2024-11-19,5111.22,5135.48,5013.1,5013.33,4591816,5068.28,54.95,VWAP reference for TCA analysis
RTY,2024-11-02,5577.79,5611.74,5495.75,5576.87,3035581,5565.54,-11.33,VWAP reference for TCA analysis
YM,2024-11-18,4539.78,4566.22,4483.3,4509.44,2289789,4524.68,15.24,VWAP reference for TCA analysis
NQ,2024-11-29,5101.24,5177.26,5018.62,5093.66,3709897,5097.69,4.03,VWAP reference for TCA analysis
RTY,2024-11-18,4460.54,4479.36,4371.37,4404.76,4679151,4429.01,24.25,VWAP reference for TCA analysis
NQ,2024-11-13,4886.67,4909.74,4823.09,4825.09,3865641,4861.15,36.06,VWAP reference for TCA analysis
RTY,2024-11-25,5740.89,5747.29,5682.8,5708.13,4728187,5719.78,11.65,VWAP reference for TCA analysis
NQ,2024-11-02,5442.01,5504.31,5350.23,5502.77,4408588,5449.83,-52.94,VWAP reference for TCA analysis
NQ,2024-11-15,5962.12,6020.77,5919.83,5986.11,172925,5972.21,-13.9,VWAP reference for TCA analysis
ES,2024-11-13,4761.01,4797.97,4709.6,4736.66,1706033,4751.31,14.65,VWAP reference for TCA analysis
NQ,2024-11-15,5792.38,5883.74,5768.76,5779.68,962739,5806.14,26.46,VWAP reference for TCA analysis
RTY,2024-11-08,5178.68,5200.91,5145.42,5157.55,1641864,5170.64,13.09,VWAP reference for TCA analysis
NQ,2024-11-25,5132.19,5217.04,5085.74,5152.75,3207494,5146.93,-5.82,VWAP reference for TCA analysis
RTY,2024-11-24,5274.57,5288.47,5183.37,5280.75,114473,5256.79,-23.96,VWAP reference for TCA analysis
NQ,2024-11-16,4765.74,4781.74,4733.13,4765.01,4619053,4761.41,-3.6,VWAP reference for TCA analysis
RTY,2024-11-12,5569.22,5656.92,5494.98,5653.42,4538023,5593.64,-59.78,VWAP reference for TCA analysis
RTY,2024-11-22,5099.31,5110.0,5033.7,5068.56,2705428,5077.89,9.33,VWAP reference for TCA analysis
RTY,2024-11-28,4981.62,5048.98,4971.29,5039.02,1314452,5010.23,-28.79,VWAP reference for TCA analysis
YM,2024-11-25,4676.1,4706.82,4675.73,4688.75,4348077,4686.85,-1.9,VWAP reference for TCA analysis
RTY,2024-11-15,4725.77,4752.67,4639.53,4690.7,4702456,4702.17,11.47,VWAP reference for TCA analysis
NQ,2024-11-26,5980.61,5994.23,5960.53,5981.83,909542,5979.3,-2.53,VWAP reference for TCA analysis
ES,2024-11-21,5052.32,5072.81,5051.32,5067.83,170304,5061.07,-6.76,VWAP reference for TCA analysis
NQ,2024-11-19,4537.99,4593.38,4526.18,4588.05,297578,4561.4,-26.65,VWAP reference for TCA analysis
NQ,2024-11-01,5783.91,5887.89,5725.38,5817.35,3063425,5803.63,-13.72,VWAP reference for TCA analysis
ES,2024-11-21,5036.73,5123.98,5023.81,5067.14,4085122,5062.91,-4.23,VWAP reference for TCA analysis
ES,2024-11-06,5371.21,5423.85,5313.27,5339.01,2248401,5361.84,22.83,VWAP reference for TCA analysis
NQ,2024-11-24,4787.0,4808.58,4749.86,4776.18,2244641,4780.4,4.22,VWAP reference for TCA analysis
RTY,2024-11-17,4860.72,4935.31,4788.32,4803.44,3108941,4846.95,43.51,VWAP reference for TCA analysis
NQ,2024-11-22,5053.6,5073.04,4989.41,5043.55,799075,5039.9,-3.65,VWAP reference for TCA analysis
RTY,2024-11-22,5606.08,5704.09,5508.03,5645.89,3388793,5616.02,-29.87,VWAP reference for TCA analysis
ES,2024-11-14,5607.96,5621.33,5583.29,5599.42,4540705,5603.0,3.58,VWAP reference for TCA analysis
ES,2024-11-06,4977.4,5068.1,4972.41,4988.53,2269862,5001.61,13.08,VWAP reference for TCA analysis
RTY,2024-11-19,5988.75,6063.92,5969.55,6039.87,4490180,6015.52,-24.35,VWAP reference for TCA analysis
ES,2024-11-16,5548.14,5656.52,5475.43,5513.46,4555647,5548.39,34.93,VWAP reference for TCA analysis
ES,2024-11-25,5241.24,5340.4,5181.87,5295.3,1123079,5264.7,-30.6,VWAP reference for TCA analysis
NQ,2024-11-27,4520.72,4520.89,4483.63,4498.32,1498708,4505.89,7.57,VWAP reference for TCA analysis
ES,2024-11-05,5051.56,5063.95,4996.63,5018.4,3435485,5032.64,14.24,VWAP reference for TCA analysis
NQ,2024-11-02,4609.27,4615.23,4564.42,4589.18,1471108,4594.52,5.34,VWAP reference for TCA analysis
RTY,2024-11-19,4581.33,4638.81,4544.76,4566.2,415802,4582.77,16.57,VWAP reference for TCA analysis
YM,2024-11-29,5483.61,5584.21,5461.03,5532.96,3820530,5515.45,-17.51,VWAP reference for TCA analysis
RTY,2024-11-24,4850.58,4861.0,4830.63,4830.9,4899491,4843.28,12.38,VWAP reference for TCA analysis
ES,2024-11-29,5381.43,5425.76,5277.38,5390.34,1815337,5368.73,-21.61,VWAP reference for TCA analysis
RTY,2024-11-23,4403.33,4418.11,4336.73,4375.44,937924,4383.4,7.96,VWAP reference for TCA analysis
ES,2024-11-21,5611.11,5700.78,5550.81,5617.45,3882610,5620.04,2.59,VWAP reference for TCA analysis
NQ,2024-11-16,4825.31,4885.07,4749.39,4837.63,3419981,4824.35,-13.28,VWAP reference for TCA analysis
RTY,2024-11-12,5990.56,5995.88,5947.57,5969.17,255550,5975.8,6.63,VWAP reference for TCA analysis
YM,2024-11-17,5592.62,5616.27,5588.52,5600.02,1206589,5599.36,-0.66,VWAP reference for TCA analysis
ES,2024-11-04,5928.56,5974.48,5909.58,5945.73,2858428,5939.59,-6.14,VWAP reference for TCA analysis
NQ,2024-11-17,5187.81,5200.67,5098.93,5180.91,3385594,5167.08,-13.83,VWAP reference for TCA analysis
YM,2024-11-28,5011.54,5056.84,4970.97,4988.36,3223507,5006.93,18.57,VWAP reference for TCA analysis
YM,2024-11-16,5882.77,5904.47,5857.43,5896.72,3100032,5885.35,-11.37,VWAP reference for TCA analysis
RTY,2024-11-05,4759.27,4812.6,4751.93,4783.86,3362081,4776.91,-6.95,VWAP reference for TCA analysis
ES,2024-11-28,5343.57,5348.2,5284.21,5305.92,4628859,5320.48,14.56,VWAP reference for TCA analysis
YM,2024-11-12,5863.87,5946.61,5763.61,5868.72,3044940,5860.7,-8.02,VWAP reference for TCA analysis
RTY,2024-11-15,4695.64,4744.0,4682.61,4725.83,3959296,4712.02,-13.81,VWAP reference for TCA analysis
NQ,2024-11-06,4955.58,5003.43,4872.07,4955.56,1711416,4946.66,-8.9,VWAP reference for TCA analysis
RTY,2024-11-04,5514.68,5590.24,5455.5,5526.85,1340160,5521.82,-5.03,VWAP reference for TCA analysis
YM,2024-11-29,5075.45,5097.33,5059.35,5076.65,2265016,5077.19,0.54,VWAP reference for TCA analysis
YM,2024-11-01,4885.66,4956.75,4842.22,4956.44,1934156,4910.27,-46.17,VWAP reference for TCA analysis
YM,2024-11-17,4917.49,4980.6,4897.12,4940.3,1640776,4933.88,-6.42,VWAP reference for TCA analysis
RTY,2024-11-28,4492.09,4554.45,4419.17,4460.33,4614594,4481.51,21.18,VWAP reference for TCA analysis
ES,2024-11-15,5144.37,5227.88,5086.7,5102.59,503867,5140.39,37.8,VWAP reference for TCA analysis
ES,2024-11-28,5285.65,5375.54,5262.57,5351.82,4697832,5318.89,-32.93,VWAP reference for TCA analysis
RTY,2024-11-07,4900.78,4989.63,4838.31,4860.04,3241975,4897.19,37.15,VWAP reference for TCA analysis
NQ,2024-11-21,5455.51,5530.65,5405.39,5409.46,4420060,5450.25,40.79,VWAP reference for TCA analysis
ES,2024-11-06,5865.31,5917.86,5830.01,5890.71,2696721,5875.97,-14.74,VWAP reference for TCA analysis
YM,2024-11-14,4868.47,4915.31,4831.53,4864.35,2634853,4869.92,5.57,VWAP reference for TCA analysis
NQ,2024-11-22,4544.33,4616.49,4506.03,4509.81,4808379,4544.16,34.35,VWAP reference for TCA analysis
ES,2024-11-01,4605.47,4612.78,4571.04,4591.33,579341,4595.16,3.83,VWAP reference for TCA analysis
YM,2024-11-01,5199.52,5264.38,5128.67,5199.9,4297292,5198.12,-1.78,VWAP reference for TCA analysis
RTY,2024-11-15,5522.18,5628.92,5454.47,5516.9,4383458,5530.62,13.72,VWAP reference for TCA analysis
YM,2024-11-18,5413.22,5518.05,5403.46,5488.32,1312251,5455.76,-32.56,VWAP reference for TCA analysis
RTY,2024-11-18,5347.83,5427.05,5250.82,5368.16,1425772,5348.47,-19.69,VWAP reference for TCA analysis
NQ,2024-11-12,5554.48,5564.27,5534.28,5545.02,3001629,5549.51,4.49,VWAP reference for TCA analysis
NQ,2024-11-12,5744.9,5780.63,5726.36,5741.24,753455,5748.28,7.04,VWAP reference for TCA analysis
RTY,2024-11-03,4593.77,4666.77,4579.34,4663.55,4916758,4625.86,-37.69,VWAP reference for TCA analysis
NQ,2024-11-09,5729.35,5780.3,5645.12,5662.37,3728243,5704.28,41.91,VWAP reference for TCA analysis
NQ,2024-11-15,5174.48,5267.71,5158.42,5190.07,3131453,5197.67,7.6,VWAP reference for TCA analysis
ES,2024-11-26,5369.7,5383.89,5369.0,5380.29,3059920,5375.72,-4.57,VWAP reference for TCA analysis
NQ,2024-11-08,4968.41,5017.82,4917.78,4971.07,3949425,4968.77,-2.3,VWAP reference for TCA analysis
YM,2024-11-30,4584.82,4670.78,4576.9,4637.55,1489938,4617.51,-20.04,VWAP reference for TCA analysis
YM,2024-11-25,5198.84,5201.45,5154.48,5192.86,720975,5186.91,-5.95,VWAP reference for TCA analysis
NQ,2024-11-24,4426.02,4435.0,4401.86,4426.88,4194763,4422.44,-4.44,VWAP reference for TCA analysis
RTY,2024-11-25,4988.07,4996.92,4926.03,4982.6,1814506,4973.41,-9.19,VWAP reference for TCA analysis
YM,2024-11-14,4588.51,4617.0,4521.84,4575.79,2407271,4575.78,-0.01,VWAP reference for TCA analysis
NQ,2024-11-26,5837.12,5931.31,5797.92,5832.59,1263224,5849.73,17.14,VWAP reference for TCA analysis
NQ,2024-11-20,5460.67,5518.8,5380.03,5489.06,2942606,5462.14,-26.92,VWAP reference for TCA analysis
YM,2024-11-17,5652.53,5688.69,5641.34,5650.29,1527086,5658.21,7.92,VWAP reference for TCA analysis
RTY,2024-11-13,5602.49,5640.37,5588.97,5640.24,4765180,5618.02,-22.22,VWAP reference for TCA analysis
ES,2024-11-18,5887.38,5988.45,5819.72,5840.95,3020153,5884.12,43.17,VWAP reference for TCA analysis
NQ,2024-11-16,5260.2,5299.83,5211.97,5260.55,4977901,5258.14,-2.41,VWAP reference for TCA analysis
RTY,2024-11-01,4485.66,4544.41,4448.66,4488.86,1629086,4491.9,3.04,VWAP reference for TCA analysis
NQ,2024-11-21,4678.22,4685.88,4598.55,4624.39,4329054,4646.76,22.37,VWAP reference for TCA analysis
YM,2024-11-17,5347.3,5442.63,5287.33,5321.69,2642531,5349.74,28.05,VWAP reference for TCA analysis
RTY,2024-11-23,4412.47,4427.34,4373.15,4385.61,2617857,4399.64,14.03,VWAP reference for TCA analysis
RTY,2024-11-14,5014.18,5099.14,4974.53,5020.14,3184281,5027.0,6.86,VWAP reference for TCA analysis
RTY,2024-11-06,5790.55,5889.35,5752.07,5842.87,2847899,5818.71,-24.16,VWAP reference for TCA analysis
ES,2024-11-12,5996.84,6072.56,5957.0,5975.26,3167416,6000.42,25.16,VWAP reference for TCA analysis
