record_id,facility_id,state,device_serial,sw_version,event_date,event_type,battery_health_at_event,reported_soc_pct,actual_soc_pct,rate_programmed_mlhr,rate_actual_mlhr,patient_impact,mdr_submitted,cfr_basis,corrective_action_taken
REC-00018,FAC-MI-142,MI,IVX-300310,5.10.1,2025-08-14,alarm_failure,61.7,61.7,61.7,5.0,5.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00019,FAC-CA-589,CA,IVX-692337,5.10.0,2025-09-08,normal_operation,69.1,69.1,69.1,100.0,100.0,no_harm,Y,21 CFR 803.50(a)(1),No action required
REC-00020,FAC-FL-944,FL,IVX-956691,5.10.0,2025-05-05,alarm_failure,92.8,92.8,92.8,50.0,50.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00021,FAC-MI-203,MI,IVX-881909,5.9.3,2025-07-08,unexpected_shutdown,95.1,13.9,8.7,25.0,25.0,no_harm,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00022,FAC-MI-582,MI,IVX-690066,5.10.0,2025-11-17,rate_deviation,83.9,83.9,83.9,50.0,45.3,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00023,FAC-IL-972,IL,IVX-794937,5.10.1,2025-01-25,battery_soc_error,58.7,89.1,48.3,100.0,100.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00024,FAC-GA-251,GA,IVX-965395,5.10.1,2025-08-11,battery_soc_error,98.1,100,92.2,5.0,5.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00025,FAC-FL-177,FL,IVX-243570,5.10.0,2025-10-03,battery_soc_error,66.3,86.9,54.8,100.0,100.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00026,FAC-TX-548,TX,IVX-822409,5.10.1,2025-11-24,unexpected_shutdown,66.7,11.7,3.0,25.0,25.0,therapy_delay,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00027,FAC-WA-678,WA,IVX-671296,5.10.1,2025-09-26,battery_soc_error,65.7,90.7,46.9,10.0,10.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00028,FAC-MI-614,MI,IVX-464842,5.9.3,2025-09-10,normal_operation,61.1,61.1,61.1,100.0,100.0,therapy_delay,N,N/A,No action required
REC-00029,FAC-CA-720,CA,IVX-439775,5.10.0,2025-11-15,battery_soc_error,97.4,100,81.5,100.0,100.0,near_miss,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00030,FAC-MI-223,MI,IVX-465924,5.10.1,2025-09-25,normal_operation,84.4,84.4,84.4,50.0,50.0,therapy_delay,Y,21 CFR 803.50(a)(1),No action required
REC-00031,FAC-WA-256,WA,IVX-431708,5.10.1,2025-11-27,normal_operation,75.0,75.0,75.0,50.0,50.0,therapy_delay,N,N/A,No action required
REC-00032,FAC-CA-677,CA,IVX-850002,5.10.0,2025-11-04,ui_freeze_dual_zero,83.2,83.2,83.2,25.0,0.0,no_harm,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00033,FAC-MI-159,MI,IVX-969719,5.10.0,2025-06-20,battery_soc_error,67.4,100,48.8,5.0,5.0,therapy_delay,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00034,FAC-WA-388,WA,IVX-291193,5.9.3,2025-10-07,normal_operation,68.3,68.3,68.3,100.0,100.0,no_harm,N,N/A,No action required
REC-00035,FAC-GA-603,GA,IVX-644465,5.10.1,2025-11-17,battery_soc_error,54.4,70.1,41.1,125.0,125.0,therapy_delay,N,N/A,Software updated to 5.10.2
REC-00036,FAC-FL-554,FL,IVX-962534,5.10.1,2025-06-25,unexpected_shutdown,77.6,8.2,0,100.0,100.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00037,FAC-VA-813,VA,IVX-710137,5.10.0,2025-12-28,normal_operation,78.1,78.1,78.1,50.0,50.0,near_miss,N,N/A,No action required
REC-00038,FAC-MI-419,MI,IVX-211723,5.10.0,2025-11-02,unexpected_shutdown,63.6,19.7,7.2,25.0,25.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00039,FAC-CA-571,CA,IVX-649474,5.10.1,2025-08-24,battery_soc_error,56.3,78.9,40.8,5.0,5.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00040,FAC-MI-472,MI,IVX-134819,5.10.1,2025-03-12,normal_operation,54.9,54.9,54.9,10.0,10.0,near_miss,N,N/A,No action required
REC-00041,FAC-FL-849,FL,IVX-361413,5.10.0,2025-06-03,normal_operation,53.4,53.4,53.4,100.0,100.0,no_harm,N,N/A,No action required
REC-00042,FAC-FL-854,FL,IVX-601009,5.10.0,2025-07-14,battery_soc_error,45.8,67.7,40.1,50.0,50.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00043,FAC-VA-917,VA,IVX-333561,5.10.1,2025-11-12,battery_soc_error,48.8,73.4,34.7,25.0,25.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00044,FAC-WA-458,WA,IVX-848704,5.10.1,2025-05-09,rate_deviation,85.9,85.9,85.9,25.0,21.7,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00045,FAC-CA-213,CA,IVX-106803,5.10.1,2025-12-01,ui_freeze_dual_zero,96.1,96.1,96.1,5.0,0.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00046,FAC-GA-109,GA,IVX-890221,5.10.0,2025-01-20,battery_soc_error,86.5,100,65.4,100.0,100.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00047,FAC-GA-364,GA,IVX-602985,5.10.0,2025-02-10,normal_operation,57.7,57.7,57.7,100.0,100.0,no_harm,N,N/A,No action required
REC-00048,FAC-VA-640,VA,IVX-806977,5.9.3,2025-03-09,battery_soc_error,97.5,100,88.5,25.0,25.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00049,FAC-TX-688,TX,IVX-388773,5.10.1,2025-06-18,battery_soc_error,81.0,100,69.1,10.0,10.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00050,FAC-TX-452,TX,IVX-404832,5.10.0,2025-02-22,normal_operation,71.1,71.1,71.1,10.0,10.0,injury,Y,21 CFR 803.50(a)(1),No action required
REC-00051,FAC-TX-681,TX,IVX-525291,5.10.0,2025-10-14,battery_soc_error,61.5,91.4,50.2,5.0,5.0,therapy_delay,N,N/A,Software updated to 5.10.2
REC-00052,FAC-GA-128,GA,IVX-592962,5.10.0,2025-06-13,normal_operation,72.5,72.5,72.5,25.0,25.0,therapy_delay,N,N/A,No action required
REC-00053,FAC-GA-370,GA,IVX-330901,5.10.1,2025-05-26,normal_operation,99.2,99.2,99.2,25.0,25.0,near_miss,N,N/A,No action required
REC-00054,FAC-MI-701,MI,IVX-160737,5.10.0,2025-11-09,normal_operation,46.1,46.1,46.1,5.0,5.0,injury,Y,21 CFR 803.50(a)(1),No action required
REC-00055,FAC-FL-511,FL,IVX-905984,5.9.3,2025-05-23,normal_operation,82.2,82.2,82.2,100.0,100.0,no_harm,N,N/A,No action required
REC-00056,FAC-IL-895,IL,IVX-620163,5.10.1,2025-08-26,battery_soc_error,89.8,100,80.0,10.0,10.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00057,FAC-FL-268,FL,IVX-653507,5.10.0,2025-04-06,alarm_failure,51.6,51.6,51.6,50.0,50.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00058,FAC-CA-141,CA,IVX-322155,5.10.0,2025-05-10,ui_freeze_dual_zero,85.9,85.9,85.9,5.0,0.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00059,FAC-TX-312,TX,IVX-570258,5.10.1,2025-11-10,ui_freeze_dual_zero,83.2,83.2,83.2,50.0,0.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00060,FAC-WA-410,WA,IVX-259333,5.9.3,2025-06-04,battery_soc_error,57.6,69.2,39.2,10.0,10.0,therapy_delay,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00061,FAC-WA-707,WA,IVX-986057,5.10.1,2025-01-17,battery_soc_error,70.8,100,49.3,5.0,5.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00062,FAC-TX-454,TX,IVX-339001,5.9.3,2025-06-15,battery_soc_error,85.7,100,64.3,125.0,125.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00063,FAC-IL-558,IL,IVX-363191,5.10.1,2025-03-22,battery_soc_error,79.2,89.9,63.4,125.0,125.0,therapy_delay,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00064,FAC-MI-513,MI,IVX-982856,5.9.3,2025-12-18,battery_soc_error,84.0,100,78.2,25.0,25.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00065,FAC-IL-848,IL,IVX-467036,5.10.0,2025-04-17,battery_soc_error,55.9,87.4,44.8,5.0,5.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00066,FAC-TX-197,TX,IVX-211020,5.9.3,2025-08-28,battery_soc_error,83.5,100,63.2,10.0,10.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00067,FAC-VA-955,VA,IVX-675162,5.10.0,2025-07-20,normal_operation,68.6,68.6,68.6,50.0,50.0,injury,Y,21 CFR 803.50(a)(1),No action required
REC-00068,FAC-FL-207,FL,IVX-640674,5.10.1,2025-08-01,normal_operation,52.4,52.4,52.4,50.0,50.0,no_harm,Y,21 CFR 803.50(a)(1),No action required
REC-00069,FAC-IL-735,IL,IVX-481343,5.9.3,2025-08-21,ui_freeze_dual_zero,76.0,76.0,76.0,100.0,0.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00070,FAC-VA-998,VA,IVX-252379,5.10.0,2025-02-25,battery_soc_error,94.2,100,87.1,5.0,5.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00071,FAC-IL-120,IL,IVX-747652,5.10.1,2025-04-21,battery_soc_error,71.3,90.1,49.3,5.0,5.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00072,FAC-IL-669,IL,IVX-867711,5.9.3,2025-08-17,battery_soc_error,93.2,100,86.6,25.0,25.0,near_miss,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00073,FAC-FL-482,FL,IVX-809200,5.10.0,2025-12-16,unexpected_shutdown,90.3,19.1,12.8,50.0,50.0,near_miss,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00074,FAC-WA-127,WA,IVX-705161,5.10.0,2025-01-20,unexpected_shutdown,94.8,10.8,0,50.0,50.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00075,FAC-MI-765,MI,IVX-551368,5.10.1,2025-12-20,unexpected_shutdown,67.7,8.3,0.5,50.0,50.0,near_miss,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00076,FAC-GA-704,GA,IVX-374105,5.9.3,2025-06-18,rate_deviation,98.9,98.9,98.9,50.0,52.4,therapy_delay,N,N/A,Software updated to 5.10.2
REC-00077,FAC-TX-487,TX,IVX-790208,5.10.0,2025-08-18,ui_freeze_dual_zero,84.4,84.4,84.4,25.0,0.0,therapy_delay,N,N/A,Software updated to 5.10.2
REC-00078,FAC-FL-369,FL,IVX-149596,5.10.1,2025-08-22,normal_operation,92.8,92.8,92.8,10.0,10.0,near_miss,N,N/A,No action required
REC-00079,FAC-IL-969,IL,IVX-872222,5.10.1,2025-02-04,battery_soc_error,59.5,89.6,34.8,25.0,25.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00080,FAC-WA-453,WA,IVX-264315,5.10.0,2025-05-19,alarm_failure,94.1,94.1,94.1,5.0,5.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00081,FAC-FL-511,FL,IVX-938512,5.10.0,2025-06-11,normal_operation,88.0,88.0,88.0,5.0,5.0,near_miss,N,N/A,No action required
REC-00082,FAC-VA-334,VA,IVX-391849,5.10.0,2025-11-24,alarm_failure,68.3,68.3,68.3,50.0,50.0,therapy_delay,N,N/A,Software updated to 5.10.2
REC-00083,FAC-VA-184,VA,IVX-638752,5.10.0,2025-05-23,normal_operation,55.4,55.4,55.4,50.0,50.0,injury,Y,21 CFR 803.50(a)(1),No action required
REC-00084,FAC-CA-541,CA,IVX-880966,5.10.1,2025-09-16,battery_soc_error,47.4,78.9,37.7,5.0,5.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00085,FAC-TX-217,TX,IVX-474442,5.10.1,2025-02-09,unexpected_shutdown,67.7,12.0,5.2,25.0,25.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00086,FAC-MI-650,MI,IVX-643050,5.10.0,2025-06-05,battery_soc_error,84.4,100,67.9,125.0,125.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00087,FAC-VA-372,VA,IVX-482064,5.10.1,2025-02-10,alarm_failure,82.2,82.2,82.2,100.0,100.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00088,FAC-CA-783,CA,IVX-645058,5.10.0,2025-09-24,battery_soc_error,69.7,96.7,52.0,25.0,25.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00089,FAC-MI-199,MI,IVX-278741,5.10.0,2025-08-06,battery_soc_error,45.2,56.6,30.6,50.0,50.0,therapy_delay,N,N/A,Software updated to 5.10.2
REC-00090,FAC-GA-725,GA,IVX-412557,5.9.3,2025-05-02,battery_soc_error,93.9,100,76.2,100.0,100.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00091,FAC-IL-517,IL,IVX-420509,5.9.3,2025-06-08,alarm_failure,74.6,74.6,74.6,50.0,50.0,therapy_delay,N,N/A,Software updated to 5.10.2
REC-00092,FAC-GA-725,GA,IVX-765681,5.10.0,2025-04-26,unexpected_shutdown,63.6,7.9,0,50.0,50.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00093,FAC-TX-195,TX,IVX-778089,5.10.1,2025-03-13,unexpected_shutdown,83.6,19.6,14.2,25.0,25.0,therapy_delay,N,N/A,Software updated to 5.10.2
REC-00094,FAC-VA-479,VA,IVX-762365,5.9.3,2025-07-23,battery_soc_error,90.2,100,72.2,50.0,50.0,no_harm,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00095,FAC-MI-749,MI,IVX-160121,5.10.0,2025-11-27,ui_freeze_dual_zero,98.5,98.5,98.5,25.0,0.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00096,FAC-MI-882,MI,IVX-391762,5.10.1,2025-05-25,normal_operation,88.2,88.2,88.2,10.0,10.0,injury,Y,21 CFR 803.50(a)(1),No action required
REC-00097,FAC-WA-352,WA,IVX-275541,5.10.1,2025-08-16,normal_operation,87.6,87.6,87.6,10.0,10.0,injury,Y,21 CFR 803.50(a)(1),No action required
REC-00098,FAC-TX-580,TX,IVX-941471,5.10.1,2025-11-03,battery_soc_error,75.8,100,55.0,100.0,100.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00099,FAC-TX-345,TX,IVX-275735,5.10.1,2025-04-22,battery_soc_error,82.0,100,74.9,10.0,10.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00100,FAC-WA-599,WA,IVX-881960,5.10.1,2025-02-03,ui_freeze_dual_zero,72.9,72.9,72.9,125.0,0.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00101,FAC-TX-651,TX,IVX-871315,5.10.1,2025-03-23,ui_freeze_dual_zero,55.0,55.0,55.0,10.0,0.0,therapy_delay,N,N/A,Software updated to 5.10.2
REC-00102,FAC-FL-443,FL,IVX-686842,5.10.1,2025-02-21,battery_soc_error,57.4,90.0,47.8,10.0,10.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00103,FAC-MI-844,MI,IVX-574609,5.10.1,2025-03-07,alarm_failure,86.5,86.5,86.5,10.0,10.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00104,FAC-IL-938,IL,IVX-222664,5.10.1,2025-02-10,unexpected_shutdown,79.8,17.0,11.8,10.0,10.0,therapy_delay,N,N/A,Software updated to 5.10.2
REC-00105,FAC-TX-832,TX,IVX-192888,5.10.0,2025-07-03,normal_operation,68.2,68.2,68.2,5.0,5.0,no_harm,Y,21 CFR 803.50(a)(1),No action required
REC-00106,FAC-WA-940,WA,IVX-809965,5.10.1,2025-09-02,battery_soc_error,45.9,62.0,35.7,50.0,50.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00107,FAC-VA-765,VA,IVX-657462,5.9.3,2025-12-01,alarm_failure,95.1,95.1,95.1,125.0,125.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00108,FAC-GA-359,GA,IVX-176613,5.10.1,2025-07-24,normal_operation,97.1,97.1,97.1,50.0,50.0,therapy_delay,N,N/A,No action required
REC-00109,FAC-FL-752,FL,IVX-102599,5.10.1,2025-11-06,normal_operation,48.1,48.1,48.1,50.0,50.0,therapy_delay,Y,21 CFR 803.50(a)(1),No action required
REC-00110,FAC-FL-367,FL,IVX-412307,5.10.0,2025-05-24,alarm_failure,48.2,48.2,48.2,50.0,50.0,no_harm,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00111,FAC-FL-106,FL,IVX-804860,5.9.3,2025-08-03,normal_operation,66.6,66.6,66.6,100.0,100.0,no_harm,N,N/A,No action required
REC-00112,FAC-IL-833,IL,IVX-203270,5.10.0,2025-12-16,ui_freeze_dual_zero,79.4,79.4,79.4,100.0,0.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00113,FAC-IL-562,IL,IVX-425256,5.10.1,2025-03-25,ui_freeze_dual_zero,65.8,65.8,65.8,5.0,0.0,therapy_delay,N,N/A,Software updated to 5.10.2
REC-00114,FAC-FL-893,FL,IVX-112705,5.10.0,2025-09-08,unexpected_shutdown,99.3,13.1,0,50.0,50.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00115,FAC-VA-893,VA,IVX-210656,5.10.0,2025-07-08,normal_operation,91.0,91.0,91.0,125.0,125.0,near_miss,Y,21 CFR 803.50(a)(1),No action required
REC-00116,FAC-VA-132,VA,IVX-620043,5.10.1,2025-09-23,battery_soc_error,97.4,100,75.9,100.0,100.0,no_harm,N,N/A,Software updated to 5.10.2
REC-00117,FAC-FL-618,FL,IVX-829112,5.10.1,2025-10-26,normal_operation,88.8,88.8,88.8,25.0,25.0,no_harm,Y,21 CFR 803.50(a)(1),No action required
REC-00118,FAC-MI-986,MI,IVX-941628,5.10.0,2025-03-26,normal_operation,48.7,48.7,48.7,125.0,125.0,injury,Y,21 CFR 803.50(a)(1),No action required
REC-00119,FAC-FL-533,FL,IVX-721251,5.10.1,2025-07-16,alarm_failure,86.9,86.9,86.9,10.0,10.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00120,FAC-CA-730,CA,IVX-103012,5.9.3,2025-06-08,alarm_failure,48.7,48.7,48.7,25.0,25.0,near_miss,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00121,FAC-TX-906,TX,IVX-210411,5.10.0,2025-10-22,unexpected_shutdown,79.9,18.2,6.2,125.0,125.0,no_harm,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00122,FAC-MI-574,MI,IVX-669545,5.10.1,2025-10-27,ui_freeze_dual_zero,99.5,99.5,99.5,100.0,0.0,no_harm,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00123,FAC-CA-911,CA,IVX-113983,5.10.0,2025-02-10,ui_freeze_dual_zero,99.5,99.5,99.5,125.0,0.0,therapy_delay,N,N/A,Software updated to 5.10.2
REC-00124,FAC-CA-160,CA,IVX-464335,5.10.0,2025-10-20,battery_soc_error,53.0,69.0,39.3,125.0,125.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00125,FAC-TX-171,TX,IVX-748339,5.10.0,2025-05-03,normal_operation,88.2,88.2,88.2,10.0,10.0,injury,Y,21 CFR 803.50(a)(1),No action required
REC-00126,FAC-VA-326,VA,IVX-160181,5.10.1,2025-04-25,battery_soc_error,58.7,85.3,38.6,5.0,5.0,therapy_delay,N,N/A,Software updated to 5.10.2
REC-00127,FAC-TX-420,TX,IVX-549773,5.9.3,2025-04-17,normal_operation,87.6,87.6,87.6,5.0,5.0,no_harm,Y,21 CFR 803.50(a)(1),No action required
REC-00128,FAC-MI-974,MI,IVX-108046,5.10.1,2025-11-15,normal_operation,90.8,90.8,90.8,10.0,10.0,injury,Y,21 CFR 803.50(a)(1),No action required
REC-00129,FAC-CA-239,CA,IVX-718009,5.10.1,2025-01-02,rate_deviation,93.7,93.7,93.7,5.0,5.5,no_harm,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00130,FAC-TX-944,TX,IVX-723030,5.10.0,2025-08-12,unexpected_shutdown,76.3,8.2,0.1,10.0,10.0,therapy_delay,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00131,FAC-FL-719,FL,IVX-447026,5.10.1,2025-10-16,alarm_failure,81.5,81.5,81.5,10.0,10.0,no_harm,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00132,FAC-VA-653,VA,IVX-573547,5.9.3,2025-07-17,battery_soc_error,81.3,96.1,71.6,50.0,50.0,near_miss,N,N/A,Software updated to 5.10.2
REC-00133,FAC-FL-521,FL,IVX-611888,5.10.0,2025-08-11,battery_soc_error,76.0,100,60.5,100.0,100.0,therapy_delay,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00134,FAC-WA-474,WA,IVX-953814,5.10.1,2025-11-07,battery_soc_error,79.6,100,64.5,25.0,25.0,near_miss,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00135,FAC-MI-641,MI,IVX-805615,5.10.1,2025-09-12,battery_soc_error,54.5,86.1,37.2,50.0,50.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00136,FAC-TX-938,TX,IVX-408903,5.10.0,2025-09-05,battery_soc_error,87.3,100,65.2,25.0,25.0,therapy_delay,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00137,FAC-FL-818,FL,IVX-445025,5.10.1,2025-11-03,battery_soc_error,79.1,93.2,70.0,5.0,5.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00138,FAC-WA-621,WA,IVX-675956,5.9.3,2025-03-20,rate_deviation,65.2,65.2,65.2,50.0,49.8,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00139,FAC-CA-530,CA,IVX-494570,5.10.0,2025-02-04,normal_operation,83.1,83.1,83.1,50.0,50.0,no_harm,N,N/A,No action required
REC-00140,FAC-WA-350,WA,IVX-580576,5.10.1,2025-08-12,battery_soc_error,57.4,71.7,44.5,10.0,10.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00141,FAC-VA-267,VA,IVX-247604,5.10.1,2025-04-04,battery_soc_error,73.1,95.6,52.5,25.0,25.0,no_harm,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00142,FAC-IL-893,IL,IVX-984712,5.10.1,2025-01-28,battery_soc_error,55.0,77.9,40.5,100.0,100.0,therapy_delay,N,N/A,Software updated to 5.10.2
REC-00143,FAC-TX-518,TX,IVX-322721,5.10.1,2025-03-24,normal_operation,94.3,94.3,94.3,50.0,50.0,no_harm,N,N/A,No action required
REC-00144,FAC-FL-985,FL,IVX-427463,5.9.3,2025-05-08,ui_freeze_dual_zero,99.7,99.7,99.7,5.0,0.0,therapy_delay,N,N/A,Software updated to 5.10.2
REC-00145,FAC-IL-196,IL,IVX-696530,5.10.1,2025-05-17,ui_freeze_dual_zero,86.5,86.5,86.5,5.0,0.0,therapy_delay,N,N/A,Software updated to 5.10.2
REC-00146,FAC-CA-368,CA,IVX-324043,5.10.1,2025-03-06,unexpected_shutdown,64.9,18.0,8.0,25.0,25.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00147,FAC-CA-667,CA,IVX-723166,5.10.0,2025-09-25,battery_soc_error,67.9,94.5,53.6,10.0,10.0,injury,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00148,FAC-MI-970,MI,IVX-576165,5.10.1,2025-12-08,ui_freeze_dual_zero,90.4,90.4,90.4,25.0,0.0,near_miss,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
REC-00149,FAC-GA-999,GA,IVX-327068,5.10.0,2025-02-23,rate_deviation,80.6,80.6,80.6,50.0,50.1,near_miss,Y,21 CFR 803.50(a)(1),Software updated to 5.10.2
